that's awesome; I'm glad we live in this wicked sweet world!!
100.00%: 
14.04%:  I
0.02%:  I'll wait
0.02%:  it's more like he gave some
0.02%:  I don't get it
0.02%:  the world we live in is what we make
0.02%:  I kinda made all
0.02%:  in this case
0.02%:  it's got more
0.02%:  these are things
0.02%:  I'll admit that was
0.02%:  we've all since agreed that the
0.02%:  it's still over
0.02%:  I'd like the world
0.02%:  there's like two things I'
0.02%:  I know it's called the
0.02%:  well
0.02%:  this was a weird
0.02%:  he died last week; he
0.02%:  he died last week; I
0.02%:  I made this thing
0.02%:  it's also made him the world
0.02%:  it's a new word
0.02%:  I've made him that one
0.02%:  I'd love to see him write
0.02%:  it's more like he's made all
0.02%:  there's still two
0.02%:  it was more like twelve
0.02%:  I don't work
0.02%:  it's still the same words
0.02%:  I've no idea what it
0.06%:  I've no idea what it's called
0.03%:  I've no idea what it's like!!
0.02%:  I'd love to hear his sem
0.02%:  wait this doesn't seem right I
0.02%:  wait this doesn't seem right I've
0.02%:  he had a
0.02%:  I still like cheese
0.02%:  it gives me the
0.02%:  this still
0.02%:  here's the link
0.02%:  writes
0.02%:  I wrote that while we waited
0.02%:  I've read it and
0.02%:  that's clever
0.02%:  it doesn't matter
1.01%:  it doesn't matter which
0.14%:  it doesn't matter which we
0.17%:  it doesn't matter which we'
0.11%:  it doesn't matter which is
0.05%:  it doesn't matter which side
0.03%:  it doesn't matter which was
0.03%:  it doesn't matter which we've
0.02%:  it doesn't matter which I
0.03%:  it doesn't matter which I'
0.02%:  it doesn't matter which sem
0.02%:  it doesn't matter who
0.02%:  it doesn't matter how
0.02%:  it doesn't matter how well
0.02%:  it's less clear
0.02%:  that's where it all comes
0.02%:  that's made me sick
0.02%:  I think we call these
0.02%:  it was more a
0.02%:  that's the entire
0.02%:  I've heard he was
0.02%:  that third line makes
0.02%:  that's like the cr
0.02%:  what he did was more like sem
0.02%:  there's no 'the
0.02%:  I've no idea what words
0.02%:  I like this new tim
0.02%:  I've kinda messed this whole
0.02%:  it's the world we live in that's sem
0.02%:  all he did was review
0.02%:  all he did was review some
0.02%:  he doesn't get called either
0.02%:  this is how I've come
0.02%:  I can't give
0.02%:  he still gets credit
0.02%:  it's more like he's had a lot
0.02%:  it's made him two
0.02%:  since it
0.02%:  it's called the other
0.02%:  he was called that
0.02%:  I'm glad this is over with
0.02%:  I'd never call him a
0.02%:  I've still got like three
0.02%:  I might've missed a word in the
0.02%:  he's coming over this
0.02%:  he's coming over this week
0.02%:  what I did is
0.02%:  these are all things I'
0.02%:  I'm kinda reg
0.02%:  we all love
0.02%:  I might have done
0.02%:  that's the world I lived
0.02%:  he's more like the middle aged
0.02%:  I've tried this
0.02%:  it's still his
0.02%:  it's still his sem
0.02%:  it's more like he's listed
0.02%:  it's now 
0.02%:  I'm glad we solved that
0.02%:  it's more like he made it
0.02%:  that's a new
0.02%:  I liked his other
0.02%:  he had like
0.02%:  it's a lie;
0.02%:  I said this
0.02%:  it's more like he named his
0.02%:  it's more that he didn
0.02%:  this is like the least
0.02%:  it's a weird thing to have
0.02%:  it's more like his most
0.02%:  no it was
0.02%:  he's asked
0.02%:  it's more like he lives
0.02%:  he also likes
0.02%:  what I did there was sm
0.02%:  this will make more
0.02%:  I'll admit this was the
0.02%:  she's more like the
0.02%:  while we're doing this let's add
0.02%:  this whole time I've made
0.02%:  it's all he writes
0.02%:  I think he's tried
0.02%:  it's given him this
0.02%:  it's more what he said
0.02%:  it's like the worst song I
0.02%:  it's more like a c
0.02%:  it's a three
0.02%:  don't tell
0.02%:  I'm wrong; he's the
0.01%:  it's like the worst thing I've said all decade
0.01%:  all I did was watch
0.01%:  he's still alive and there's two
0.01%:  that's like the worst movie
0.01%:  that makes more sense with
0.01%:  this is the world we still
0.01%:  I've read his thesis
0.01%:  it's kinda clever how the
0.01%:  let's go with that
0.01%:  I've had this weird
0.01%:  it's when he was twelve
0.01%:  now that I've said it's weird
0.01%:  I am making these
0.02%:  I am making these words
0.01%:  I'd never said
0.01%:  it's not clear what he'd
0.01%:  it's what it's called when we write
0.01%:  the same thing
0.01%:  it was math
0.01%:  I'd heard it was his
0.01%:  that's like his real
0.01%:  it's like a thing where we
0.01%:  I've got no idea what he's like;
0.01%:  that's all he's ever talked
0.01%:  it's dated
0.01%:  that's the world we lived in ages
0.01%:  this is all I did
0.01%:  it's more like what I'
0.01%:  since there
0.01%:  this isn't hard
0.01%:  it doesn't work that well as a lim
0.01%:  the god
0.01%:  I made that shit
0.01%:  I think we've made him a
0.01%:  the word in
0.02%:  the word in the middle
0.01%:  it's making me wish we'd called
0.02%:  it's making me wish we'd called the
0.01%:  all I ever
0.02%:  all I ever did
0.01%:  that's a lie; he worked
0.01%:  I added all
0.01%:  I might have killed
0.01%:  I've read this like
0.02%:  I've read this like twice
0.02%:  I've read this like twice now
0.01%:  it made him kind
0.01%:  I'll get
0.01%:  we're making the whole
0.01%:  it's what he did to
0.01%:  I lied a
0.01%:  that's like the worst dad
0.01%:  it's more like he's two
0.01%:  it's called the hal
0.01%:  he wrote it while sick
0.01%:  in real
0.01%:  this is the worst we've talked
0.01%:  I wrote all that while
0.01%:  I'm wrong this
0.01%:  this might not
0.01%:  don't ask
0.05%:  don't ask me how
0.04%:  don't ask me where
0.02%:  don't ask me what
0.02%:  don't ask me where this
0.02%:  don't ask me where this came
0.02%:  don't ask me where I got this
0.02%:  don't ask him
0.02%:  don't ask me where this is
0.01%:  this is all I'm doing here
0.01%:  his grand
0.01%:  that's more his
0.01%:  I lied and he
0.01%:  I've no idea what it's like with
0.01%:  I think he still goes
0.01%:  I was making the word
0.01%:  wait this whole time
0.02%:  wait this whole time I was
0.01%:  all I did was change like
0.02%:  all I did was change like three
0.01%:  that's more like the middle
0.01%:  I think he gets more
0.01%:  did I
0.01%:  I don't see how it
0.02%:  I don't see how it's made
0.02%:  I don't see how it's ever
0.01%:  I don't see how it makes
0.01%:  I'm glad we had this talk; it
0.01%:  it doesn't have to
0.01%:  this is the weak
0.01%:  it's the world we lived in at
0.01%:  this new world makes me sad
0.01%:  it's more like he gives
0.01%:  what he did was more like set
0.01%:  I've chosen
0.01%:  I've made them all
0.01%:  that's a slight
0.01%:  I can't read the
0.01%:  that's the world we lived in last week; I made
0.01%:  I'd like to meet
0.01%:  can we get
0.01%:  I think he did write
0.01%:  what he's done is write
0.01%:  this is a cover
0.01%:  I'm adding that
0.01%:  that's like two
0.01%:  he's said to have worked
0.01%:  it's more like a 
0.01%:  it's weird how all those
0.01%:  I kinda get where
0.02%:  I kinda get where he was
0.01%:  he's still alive and made
0.01%:  I don't care what he likes;
0.01%:  he's still alive; he's great
0.01%:  we think it's the
0.01%:  I lied; he's more like
0.01%:  while we're at it let's make this
0.01%:  all he did was write down that
0.01%:  it was like eight words
0.01%:  I'd never made
0.02%:  I'd never made the
0.01%:  we've all agreed that we don't like to
0.01%:  all he asked
0.01%:  this isn't how I
0.01%:  I think we might still
0.01%:  I think we've said too
0.01%:  the thing'
0.03%:  the thing's called
0.01%:  it's drawn
0.01%:  it's a dish
0.03%:  it's a dish made
0.05%:  it's a dish made with
0.02%:  it's a dish made with gr
0.01%:  it doesn't seem like he was the
0.01%:  I've got all this
0.01%:  I'm still scared
0.01%:  it's hard to tell his
0.01%:  it's more like a h
0.01%:  we don't get
0.01%:  we like him
0.01%:  I lied; that
0.02%:  I lied; that's the
0.01%:  I lied; that was
0.01%:  this does make me wish I'd gone
0.01%:  what I've said there makes little
0.01%:  he's still alive and might read
0.01%:  it's more like named
0.01%:  the second is more
0.01%:  the whole idea's kinda
0.01%:  what I've done there is made
0.01%:  it doesn't seem like his
0.01%:  all I did was go
0.01%:  I've named him
0.01%:  it's weird that I'm doing all
0.02%:  it's weird that I'm doing all these
0.02%:  it's weird that I'm doing all the
0.01%:  we don't call them '
0.01%:  almost
0.01%:  that's this week
0.01%:  we've had like three
0.01%:  I still like it when he gives
0.01%:  I added the last verse
0.01%:  I heard he'
0.01%:  it's weird how well those
0.01%:  I'm kinda glad there's a
0.01%:  it's kinda weird I
0.01%:  I read some
0.01%:  that's a lie; he never
0.01%:  that's all I've got; it
0.01%:  his real name was
0.01%:  we don't give him the
0.01%:  this whole time we're
0.01%:  there's no god
0.01%:  he's still alive so I don
0.01%:  he looked
0.01%:  he's still alive and he wrote me
0.01%:  when I get
0.01%:  I can't do this
0.01%:  that's now the world we'
0.02%:  that's now the world we've
0.01%:  we're a long
0.01%:  I don't recall how we
0.01%:  it's the answer
0.01%:  it's like he's one
0.01%:  he's got a whole
0.01%:  while we're at it I have some
0.01%:  wait I'm making this worse with
0.01%:  it's more like two things
0.01%:  it's made him that;
0.01%:  all I did was come
0.01%:  that's called a
0.01%:  this line makes
0.01%:  we're doing it all
0.01%:  this seems to
0.02%:  this seems to have worked
0.01%:  it made him like the
0.01%:  it was like the 
0.01%:  now that I read
0.01%:  I'm still having some
0.01%:  doesn't make him either
0.01%:  I can't read his
0.01%:  it's all math
0.01%:  I think those words
0.01%:  we'll change
0.01%:  it's worth like two
0.01%:  he died this week at
0.01%:  he doesn't ever
0.01%:  I'd still like that
0.01%:  I'm making these rh
0.01%:  it's made him get awards
0.01%:  it's like these
0.01%:  it's making me wish this were
0.01%:  that last line made me sick
0.01%:  that's not the
0.01%:  wait where'd that
0.04%:  wait where'd that come
0.01%:  it's kinda weird that we've called
0.02%:  it's kinda weird that we've called the
0.01%:  his work was done with
0.01%:  it's more like a met
0.01%:  he made me
0.03%:  he made me write
0.07%:  he made me write this
0.03%:  he made me write this down
0.01%:  he never said he did
0.01%:  he won't like this
0.01%:  wait there's so
0.01%:  it doesn't seem like he did
0.01%:  it was me who wrote his
0.01%:  let's all go
0.01%:  when did I
0.01%:  I'll have to write this
0.01%:  it's kinda how we
0.01%:  I'm making those last two rh
0.01%:  it's made him other
0.01%:  it's kinda weird that we've got a whole
0.01%:  I'd love to hear him sing
0.01%:  those are all
0.01%:  it's kinda tragic how he
0.01%:  it makes me wish I'd never said
0.01%:  wait this doesn't work!!
0.01%:  it's all I've said
0.01%:  he called it a
0.01%:  that's all he ever
0.01%:  I think we might've all
0.01%:  it gave him some credit
0.01%:  I've made him do
0.01%:  that's like what
0.01%:  what he did was set
0.01%:  it made him what we
0.01%:  what I'd like to do is get
0.01%:  it's the world we lived in while we
0.01%:  I'm glad we've talked
0.01%:  he's in charge
0.01%:  I might need a
0.01%:  it's great how
0.01%:  that was when
0.01%:  all the credit is
0.01%:  I think it's good
0.01%:  where did I go with
0.01%:  I think he said it's more
0.01%:  it's more like a middle child;
0.01%:  we'll give him his
0.02%:  we'll give him his doctor
0.02%:  we'll give him his own award
0.01%:  I think we've said this
0.01%:  there was like eight
0.01%:  we'll give him the award and
0.01%:  it's made them
0.01%:  we've all agreed to stick
0.17%:  we've all agreed to stick with the
0.04%:  we've all agreed to stick with the old
0.02%:  we've all agreed to stick with the name
0.02%:  we've all agreed to stick with his
0.01%:  he died last week and his
0.01%:  this makes me wonder what'
0.01%:  I think we've missed a word
0.01%:  that's all I've got; the
0.01%:  this movie
0.01%:  I think it's mis
0.01%:  it's that other
0.01%:  I made the name
0.01%:  it's called things with
0.01%:  I wrote this like 
0.01%:  it's his middle name!!
0.01%:  it's making me wish I'd had
0.01%:  I'd give that
0.01%:  I made this word
0.01%:  I don't see how we'll ever get a
0.01%:  that last line made me throw
0.01%:  it's kinda weird we
0.01%:  we don't give him the credit
0.01%:  it made him world
0.01%:  I'm in
0.01%:  it's the '
0.01%:  it made him write
0.01%:  that line's weird
0.01%:  he did that like
0.01%:  I think he's less
0.01%:  he's never said he liked it
0.01%:  it's less clever
0.01%:  it's hard to get him
0.01%:  I'd read the whole
0.01%:  all I did here was switch
0.01%:  I made the whole '
0.01%:  the two were
0.01%:  it's made him the origin
0.01%:  he still likes it
0.01%:  how do
0.01%:  it's more like the class
0.01%:  let's stick with the word
0.01%:  I don't see how we've made
0.02%:  I don't see how we've made this
0.01%:  he still does
0.01%:  I've heard that'
0.01%:  I'm still kinda mad
0.01%:  I said that twice
0.01%:  I'm kinda scared to
0.01%:  it's still good
0.01%:  he's worked a
0.02%:  he's worked a lot with
0.01%:  that's like the worst all
0.01%:  it's a thing where we
0.01%:  it's making me wish there
0.01%:  I don't like this whole
0.01%:  it's the other sem
0.01%:  wait I've made this
0.01%:  he cares
0.01%:  that is the world we live in; I'
0.02%:  that is the world we live in; I'm glad
0.04%:  that is the world we live in; I'm glad we'
0.01%:  I don't agree with how
0.01%:  it's kinda sad how he
0.01%:  that seems weird now
0.01%:  I think we're all his
0.01%:  that's still like
0.01%:  we're still asking him to
0.01%:  it's more like he calls
0.01%:  I think what we've got
0.01%:  while we're at it I'd still
0.01%:  what I said there was kind
0.01%:  let's call the
0.01%:  he wrote like
0.01%:  this is the c
0.01%:  no it's weird
0.01%:  I made all the
0.02%:  I made all the words
0.01%:  we call him the grand
0.01%:  I had to write this
0.01%:  there is like
0.01%:  he gave a
0.01%:  it's kinda che
0.01%:  the idea was
0.01%:  this idea came
0.01%:  it's kinda weird that he got
0.01%:  that's wrong; he'd
0.01%:  I've no idea what it's like right
0.01%:  he's still alive and works with me!!
0.01%:  the doctor's name was
0.01%:  it's what we call it
0.01%:  it makes him the origin
0.01%:  it doesn't read
0.03%:  it doesn't read well
0.01%:  it doesn't read like
0.01%:  I'd call him a
0.01%:  I think we missed the real
0.01%:  I think he covers
0.01%:  we've got to
0.01%:  having him
0.01%:  it's this last
0.01%:  this idea came to me while
0.01%:  this made me write a song
0.01%:  what I've said there is a
0.01%:  I still have like
0.01%:  all that's right
0.01%:  it was more like he solved
0.01%:  now that we've made the
0.01%:  I might've made those last words
0.01%:  I'd like to have the word
0.01%:  it's hard to get the
0.01%:  the world we live in does
0.01%:  I'm making that last word
0.01%:  wait I think this
0.01%:  wow that's like
0.04%:  wow that's like the worst
0.01%:  he was the origin
0.01%:  that's how I write
0.01%:  that's kinda mis
0.01%:  that's not a
0.01%:  his work was all
0.01%:  I had a
0.03%:  I had a stroke
0.16%:  I had a stroke while
0.02%:  I had a stroke while coming
0.01%:  it's weird how he's listed
0.01%:  what was I
0.01%:  it's kinda hard to tell who's made
0.01%:  it's like the single
0.01%:  all I did was get
0.01%:  the last time
0.01%:  we've all heard this
0.01%:  he thinks it's called
0.01%:  it's this week's cover
0.01%:  I'd like to change that
0.01%:  I'm making the doctor
0.01%:  that's god
0.01%:  all he ever
0.03%:  all he ever did
0.06%:  all he ever did was come
0.01%:  I don't recall who
0.01%:  he's dead and I
0.01%:  that's how I'd write
0.01%:  I added all the
0.01%:  I think he's made it more
0.01%:  wait a sec I
0.01%:  this seems like the wrong
0.01%:  it's more god
0.01%:  all he did was write down the most
0.01%:  it doesn't make him well
0.01%:  I think we might've made a
0.01%:  it's not clear how this
0.01%:  all he talked
0.01%:  I wish he was
0.01%:  it never gets
0.01%:  while we're at it let's give them
0.01%:  I think this was more
0.01%:  it seems his
0.01%:  all I did was write these things
0.01%:  that's kinda great
0.01%:  that's a lie; he's like
0.01%:  he's still alive and has
0.03%:  he's still alive and has worked
0.01%:  it's kinda weird how well that sc
0.01%:  wait this doesn't seem like
0.01%:  that's all I'm doing here is
0.01%:  the world we live in is made
0.01%:  it's a sweet
0.01%:  it made him the world's oldest active
0.01%:  I made that one
0.01%:  it's made him the 
0.01%:  the world's still
0.01%:  we still have like three
0.01%:  this is all I've said
0.01%:  while we're all
0.01%:  that's not how we
0.01%:  the world is still the same;
0.02%:  the world is still the same; I'
0.02%:  the world is still the same; I've
0.01%:  he's alive and he's still
0.01%:  I said the word
0.01%:  these are like
0.01%:  that doesn't make a
0.02%:  that doesn't make a whole
0.01%:  we have it
0.01%:  that's a little mis
0.01%:  I've no idea what their
0.01%:  it's the other vice
0.01%:  this is making more
0.01%:  it's kinda hard to see
0.01%:  I was making them
0.01%:  it's kinda the world
0.32%:  it's kinda the world we lived
0.01%:  these things are called
0.01%:  the movie is
0.05%:  the movie is called
0.01%:  I don't see how we're all
0.01%:  it's more that he's called
0.01%:  it's more like we have
0.01%:  he's that
0.01%:  that's a lie; I'm making this
0.01%:  I've taken this
0.01%:  I think we've all made it clear
0.01%:  this is the same
0.01%:  it's weird that he was called
0.01%:  we're taking the
0.01%:  we don't call him like
0.01%:  I can't tell where
0.01%:  I think we'll have to come
0.01%:  I'm still living
0.01%:  all these things
0.01%:  that's the world we live in; we
0.01%:  we've still got that
0.01%:  I think this verse
0.01%:  it's still the world we've
0.01%:  he had to
0.01%:  that's where I've gone
0.01%:  I'll admit right
0.01%:  no wait he
0.01%:  I see what
0.01%:  it was their
0.01%:  I like them
0.01%:  he's died twice now
0.01%:  it's while
0.01%:  he wrote it with a
0.01%:  I like it with
0.06%:  I like it with cheese
0.01%:  it'll never
0.01%:  this was a review
0.01%:  it's still me who gets
0.02%:  it's still me who gets credit
0.01%:  wait he's the
0.01%:  this whole time I've kind
0.01%:  I think it's more that
0.01%:  that doesn't seem like a real
0.01%:  that's like the worst sim
0.01%:  I'm kinda glad we solved this whole
0.01%:  this is so weird I
0.01%:  no wait that's like
0.01%:  it doesn't work with a
0.01%:  I'm sad
0.01%:  it's hard to tell what's new
0.01%:  wait this makes him
0.01%:  we call him like
0.01%:  the second makes
0.01%:  this has made me weird
0.01%:  we're still having some
0.01%:  it's a little weird how he was
0.01%:  it made him either
0.01%:  wait who
0.01%:  this is a secret
0.01%:  he's given talks
0.01%:  he's given talks with
0.01%:  I might have made it all
0.01%:  wow this is the
0.01%:  that was making
0.01%:  it can
0.02%:  it can'
0.01%:  it's all the same words with
0.01%:  I'm glad we're done
0.10%:  I'm glad we're done with that
0.06%:  I'm glad we're done with this talk
0.04%:  I'm glad we're done with this little
0.02%:  I'm glad we're done with the
0.01%:  he did it all
0.01%:  I think that's a clever
0.01%:  that's wrong; he died like
0.01%:  that's where I come
0.01%:  that makes me cringe with
0.01%:  he worked at the
0.01%:  I wish it had
0.02%:  I wish it had made
0.01%:  this is where we've
0.01%:  this is where we've ended
0.01%:  I don't get how we're all
0.01%:  he's given his
0.01%:  given what
0.01%:  I think we've got the
0.01%:  I don't see him here
0.01%:  it's less a
0.01%:  he's still alive so it's kinda
0.01%:  the met
0.01%:  where's that
0.01%:  sir I think
0.01%:  this is gross
0.01%:  I'd like to see how well
0.01%: ; he
0.01%:  he's dead so we
0.01%:  we can't solve
0.01%:  what I said there made
0.01%:  it's kinda weird that he's a
0.01%:  wait he's still alive I
0.01%:  I'll admit it was
0.01%:  the world we live in is that I'm a
0.01%:  this track
0.01%:  let's strike
0.01%:  what he did in
0.01%:  I can't wait
0.01%:  it's where he gave
0.01%:  that's making his
0.01%:  he doesn't like math
0.01%:  it doesn't work with him
0.01%:  I was there
0.01%:  I've made it the
0.01%:  this is what I've done
0.01%:  we might as
0.03%:  we might as well throw
0.01%:  it's kinda sweet how he calls
0.01%:  what did he even
0.03%:  what did he even write
0.01%:  there he
0.03%:  there he's called
0.01%:  this idea'
0.01%:  that's kinda where we
0.01%:  the last line might
0.01%:  there's like a good
0.01%:  it's not clear how he died
0.01%:  it's all he ever wanted
0.01%:  it's like a real
0.03%:  it's like a real thing
0.01%:  that was like the world
0.03%:  that was like the world we
0.09%:  that was like the world we live
0.01%:  he's on
0.01%:  it's where he was
0.01%:  this is all wrong I've made
0.01%:  I've had this entire
0.01%:  while we're at it let's give the same
0.01%:  he was given credit
0.01%:  don't read it
0.01%:  I'd heard it was called the
0.01%:  it's like what he
0.01%:  that's kinda tragic
0.01%:  it seems like his
0.01%:  I kinda wish he was
0.01%:  he did work with
0.01%:  we've added
0.02%:  we've added the
0.02%:  we've added that
0.01%:  it's like the last
0.01%:  that's their middle names
0.01%:  I've got no idea where this was
0.01%:  it's a thing he wrote called
0.01%:  he said it's more
0.01%:  that review
0.01%:  it's a cool
0.01%:  I've seen this
0.01%:  we've got that
0.01%:  when did he
0.02%:  when did he write
0.01%:  it's signed
0.01%:  we might have to come
0.01%:  it was his other sem
0.01%:  the math was
0.01%:  it's not clear what he'd like
0.01%:  that's nice
0.01%:  he's still alive and he's a
0.01%:  he wrote this down
0.01%:  that doesn't have
0.01%:  I think he's scared
0.01%:  where's the
0.01%:  it all comes
0.01%:  which is more like
0.01%:  it's not worth
0.01%:  wait he's more
0.01%:  all I did was write down what
0.01%:  I think we're well
0.01%:  the head
0.01%:  it's like this song
0.01%:  it's like this song where
0.01%:  I think we've got some
0.01%:  it's a 
0.01%:  I think he'd made
0.01%:  he missed the word
0.01%:  he did a whole
0.01%:  it seems like he's called
0.01%:  this is the second time I've made a
0.01%:  I wish he'd write
0.01%:  it's kinda weird he's still
0.01%:  I've lied to
0.01%:  that's wrong; it's made
0.01%:  wait is
0.01%:  let's stick with math
0.01%:  that song
0.01%:  that's the single
0.01%:  it's a term we
0.01%:  it's like what I
0.01%:  I wrote that while we talked
0.01%:  we call those d
0.01%:  this is making me star
0.01%:  what it's made him is older
0.01%:  it was the mid
0.01%:  that's wrong it's the
0.01%:  it's made him the grand
0.01%:  it's more like he's the mid
0.01%:  his name is right
0.01%:  all credit goes to him
0.01%:  now that we've worked
0.01%:  that's more how
0.01%:  I think we'll give that
0.01%:  it made him do
0.01%:  this is where we come
0.01%:  it made him win the 
0.01%:  he's still got
0.01%:  those are his
0.03%:  those are his middle
0.01%:  this seems like the worst idea I
0.02%:  this seems like the worst idea I've come
0.01%:  I think we're called
0.01%:  that's where it goes
0.01%:  that's the world'
0.01%:  it's more like the two have
0.01%:  we threw
0.01%:  I'm still more
0.01%:  he's a white
0.01%:  I know his
0.01%:  it's having
0.01%:  making him
0.01%:  the lack
0.01%:  I think we might've called
0.01%:  it's more like it
0.09%:  it's more like it's made
0.02%:  it's more like it's given
0.01%:  that's a lie the
0.01%:  I've now made
0.01%:  it made him think
0.01%:  he also did other
0.01%:  I'm still asking
0.01%:  it's a little weird he named
0.01%:  here's the deal
0.01%:  he's still alive right now;
0.01%:  I think we've all mis
0.01%:  I wrote this on
0.01%:  that's the words
0.01%:  he kinda gets
0.02%:  he kinda gets credit
0.01%:  I don't see how he ever
0.01%:  there's all this
0.01%:  it is worth
0.01%:  I've kinda made this
0.01%:  he did it when
0.01%:  it's the world we lived in last week; we had
0.01%:  I think it's the world we'd
0.01%:  we think he wrote
0.01%:  he's still making sem
0.01%:  he's still alive so he's not dead
0.01%:  I've made him a lot
0.01%:  what I'm doing is read the
0.01%:  I can see how
0.01%:  we've made him a
0.01%:  I think we've still
0.01%:  it is named
0.01%:  it's less clear who
0.01%:  ever since I'
0.01%:  that's a lie I'
0.11%:  that's a lie I'm making
0.01%:  it's weird having
0.01%:  this is taking
0.01%:  he's still alive and he writes me
0.01%:  it's given him the title
0.01%:  right now he's still alive
0.01%:  the other is
0.01%:  it was this week
0.01%:  in this world we call
0.01%:  he's died like three
0.01%:  he's died like three times now
0.01%:  while we're making
0.01%:  this is what I'm like
0.01%:  it's a little weird how he's listed
0.01%:  wait he wrote
0.01%:  what I'm doing here is make
0.01%:  it's kinda weird he gets
0.05%:  it's kinda weird he gets called
0.01%:  I kinda messed with his
0.01%:  it's hard to talk when
0.01%:  even I'm sick
0.01%:  I have this weird image
0.01%:  I know the
0.01%:  I might've m
0.01%:  I'm kinda glad this is how
0.01%:  I'm kinda glad this is how we
0.01%:  it was more like when
0.01%:  I might've added in
0.01%:  I can't make this rh
0.01%:  I still think he was
0.01%:  it's the latter while
0.01%:  I write like
0.01%:  he's listed as the
0.01%:  I am the
0.01%:  all I've done here is make
0.01%:  it's the latter I've
0.01%:  when I write these
0.01%:  he's had more
0.01%:  it doesn't have the same
0.01%:  we've all lost
0.01%:  it's called worst
0.01%:  he kinda died
0.01%:  I think he'd more
0.01%:  I'll have to get
0.01%:  it's hard to make these
0.01%:  I'm kinda glad there's still some
0.01%:  what's weird is that I'm doing
0.01%:  what's weird is I think
0.01%:  what it's done is make me wish
0.01%:  this does make me sad
0.01%:  it's not clear we
0.02%:  it's not clear we'
0.01%:  it's making me wish I'd tried
0.01%:  wait there's a lot
0.01%:  he died this week and I
0.01%:  he died this week and I'
0.01%:  I'd like to see the world with
0.01%:  I'm having a weird
0.01%:  it's the other dad
0.01%:  I'd write this
0.01%:  I'd give him the latter
0.01%:  his entire
0.01%:  he never said it was
0.01%:  he's dead so I'
0.01%:  it was like seven
0.01%:  it's hard to decide whose
0.01%:  I have to go write
0.01%:  it's the main
0.01%:  I still don't get what
0.02%:  I still don't get what'
0.01%:  I still don't get what's so hard
0.01%:  that got weird when
0.01%:  there's like a video game called this
0.01%:  it's a little weird how he's a
0.01%:  while we're at it his
0.01%:  we've added the last
0.01%:  I think that was called
0.01%:  that's all I've got to
0.01%:  wait I don't like
0.01%:  let's leave him
0.01%:  this doesn't work as well as it might
0.01%:  we've had it
0.49%:  we've had it wrong all this time;
0.19%:  we've had it wrong all this time!!
0.17%:  we've had it wrong this
0.10%:  we've had it wrong all these
0.07%:  we've had it wrong all this time; we
0.06%:  we've had it wrong all this time; it
0.05%:  we've had it wrong all this time; we'
0.04%:  we've had it wrong the
0.02%:  we've had it wrong all this time; I
0.03%:  we've had it wrong all this time; I'
0.01%:  he got his idea
0.01%:  it's like the second or
0.01%:  what I'd like to see solved is where
0.01%:  I think there's a limit
0.01%:  I'd like to am
0.01%:  that's the second time
0.06%:  that's the second time I've made
0.02%:  that's the second time I've mis
0.01%:  I lied it's the worst
0.01%:  it's like the second hard
0.01%:  it's all come
0.01%:  I think it's the sem
0.01%:  it's a little weird how he's dead now
0.01%:  he died long
0.01%:  it's all I ever wanted
0.01%:  we had that
0.01%:  what I'm doing is c
0.01%:  isn
0.01%:  this is what I was doing
0.01%:  wait I'm wrong this
0.01%:  he's still alive; he's at
0.01%:  what I'm more
0.01%:  there's like seven d
0.01%:  it's the latter case
0.01%:  that's what I called
0.01%:  that's how we came
0.01%:  there's a video game I
0.01%:  that does make
0.03%:  that does make him
0.01%:  we call that work
0.01%:  this is the world we've long
0.01%:  all I wrote
0.01%:  it also made him get
0.01%:  he was given his
0.01%:  it's weird that he gets
0.05%:  it's weird that he gets called
0.01%:  it's kinda great how he
0.01%:  with all
0.02%:  with all these
0.01%:  it doesn't work as well as a lim
0.01%:  we've called the latter
0.01%:  it's a game
0.01%:  it's a game where
0.01%:  it's a crime that
0.01%:  it will make him the
0.01%:  I was making him
0.01%:  it's all the same work
0.01%:  I've kinda lost where
0.01%:  this is almost
0.01%:  all I know is he died
0.01%:  it's kinda hard to get him
0.01%:  he's alive and he wrote
0.01%:  it's like those
0.01%:  I think we'll have to wait
0.01%:  I'd never met
0.01%:  I lied; he's never
0.01%:  I think we agree
0.01%:  he is dead
0.01%:  it was his mom
0.01%:  it's a little weird how I know
0.01%:  that gave me the cre
0.01%:  it was him who made
0.01%:  I kinda came
0.01%:  what he did was solved
0.01%:  it's more like he solved this
0.01%:  it's a rock
0.01%:  we did this
0.01%:  let's switch
0.01%:  here is the
0.01%:  we've had this talk
0.01%:  I'll give him the last
0.02%:  I'll give him the last word
0.01%:  we don't call him god
0.01%:  we've all agreed that we'd like him
0.01%:  I'm glad we had this time
0.01%:  I lied the whole time;
0.01%:  what I've said here is almost
0.01%:  we all agree he
0.02%:  we all agree he's the
0.01%:  wait that's wrong he's dead
0.01%:  we're still doing this
0.01%:  he also made
0.01%:  we're all doing it
0.01%:  it's more like when we
0.01%:  I'd never looked at his
0.01%:  wait I've got this all mess
0.01%:  I'm glad this is the world we live in; come
0.01%:  are
0.01%:  it was like twelve words
0.01%:  I don't recall how the
0.01%:  I'd read this
0.01%:  it's still a secret how
0.01%:  now that we've worked this
0.01%:  where do I get this
0.01%:  I wish he were still alive so we
0.01%:  the main
0.01%:  while we're at it let's give him a new
0.01%:  that makes me wish I didn
0.01%:  he died last week so he
