It's not bad if you're six
      0 100.00%: 
      1 27.08%:  If
    920 26.07%:  It isn't for
    921 26.03%:  It isn't as
    922 25.68%:  It isn't bad
    923 25.12%:  It isn't so
    924 27.62%:  It isn't so bad
    925 25.91%:  It isn't so bad if
    926 29.30%:  It isn't so bad if you
    927 29.61%:  It isn't so bad if you'
    928 31.48%:  It isn't so bad if you're
    929 24.97%:  It isn't easy
    930 24.94%:  It isn't fair
    931 24.92%:  It isn't d
    932 24.90%:  It isn't ready
    933 24.88%:  It isn't due
    934 24.85%:  It isn't board
    935 24.84%:  It isn't far
    936 24.41%:  It isn't bad if
    937 28.26%:  It isn't bad if you
    938 28.56%:  It isn't bad if you'
    939 30.27%:  It isn't bad if you're
    940 24.46%:  It isn't bad if you're 
    941 24.10%:  It isn't bad for
    942 23.90%:  It isn't so bad if you're 
    943 22.17%:  It isn't for you
    944 22.04%:  It isn't a d
    945 21.95%:  It isn't a 
    946 20.70%:  It isn't for us
    947 20.21%:  It isn't as if
    948 21.85%:  It isn't as if you
    949 22.53%:  It isn't as if you'
    950 24.18%:  It isn't as if you're
    951 21.92%:  It isn't as if you'd
    952 22.13%:  It isn't as if you'd be
    953 20.00%:  It isn't for a
    954 19.88%:  It isn't for 
    955 19.87%:  It isn't for s
    956 19.87%:  It isn't so bad for
    957 19.83%:  It isn't as d
    958 19.79%:  It isn't as you
    959 20.96%:  It isn't as you'
    960 23.83%:  It isn't as you'd
    961 19.63%:  It is fun to do
    962 19.61%:  It doesn't say if
    963 19.61%:  it's so fun
    964 21.50%:  it's so fun to
    965 19.60%:  It says on
    966 19.59%:  I'd say it's on to be
    967 19.58%:  If you die it's a sn
    968 19.57%:  It's not bad for 
    969 19.57%:  If you die in a
    970 19.56%:  In a
    971 19.56%:  If you're a snob it's 
    972 19.55%:  it's in a box
    973 19.55%:  It's fine to say
    974 19.55%:  It's not easy for
    975 19.54%:  If you die it's a rob
    976 19.53%:  It's sort of bad in
    977 19.53%:  it's on a
    978 19.51%:  If it's in your best
    979 19.51%:  It's a bit on
    980 19.51%:  It is fun to y
    981 19.50%:  If you die it's a st
    982 19.50%:  It's not bad for us
    983 19.47%:  If you die it's a '
    984 19.47%:  It's a bit uns
    985 19.47%:  It's a bit un
    986 19.47%:  It's a bit dis
    987 19.46%:  If you die it's a bot
    988 19.46%:  It's a bit rude
    989 19.46%:  It's a bit under
    990 19.45%:  If you die it's a b
    991 19.45%:  If you die it's a no
    992 19.45%:  If you die it's a ro
    993 19.45%:  It is fun to be
    994 19.45%:  If it's a true d
    995 19.45%:  It's a bit n
    996 19.44%:  It's a bit iron
    997 19.44%:  It's a bit fun
    998 19.43%:  it does
    999 19.43%:  It's fine to buy
   1000 19.43%:  It's a bit de
