DON'T THINK PEOPLE ACTUALLY USED "ALACK" LIKE THAT
100.00%: 
16.58%:  CAN
0.30%:  DON'T ACTUALLY THINK TH
0.30%:  COULD USE A LITTLE HELP NOTICE
0.30%:  KINDA NEED YOU TO PUT THAT
0.30%:  NEED YOU TO HANDLE THE SIT
0.30%:  NEED TO CALL THE COP
0.33%:  NEED TO CALL THE COPS AND
0.30%:  ASKED YOU E
0.30%: 'LL TAKE ALL THE C
0.30%:  USED TO CALL YOU THAT IN THE 
0.30%:  NEED TO TELL YOU THIS L
0.30%: 'LL CHECK OUT
0.29%:  THINK THAT'S ACTUALLY E
0.29%:  COULDN'T HELP NOTICE THAT A L
0.29%:  COULD USE A LITTLE HELP TODAY AL
0.29%:  HAD THIS
0.29%:  NEED THE KEYS OK
0.29%:  CAN'T TA
1.33%:  CAN'T TAKE THIS
0.43%:  CAN'T TAKE YOU
0.40%:  CAN'T TAKE IT
0.38%:  CAN'T TAKE ANY
0.29%: 'LL TAKE THE KEY
0.29%:  USED TO THINK YOU'D NE
0.29%:  DON'T THINK YOU D
0.29%:  NEED YOU TO CATCH THIS
0.29%:  DON'T ACTUALLY NEED TO A
0.29%:  NEED TO USE THE P
0.29%:  NEED YOU TO HANDLE A
0.29%:  CAN TOTALLY HANDLE THAT S
0.29%:  COULD TELL THE
0.29%:  THINK YOU NEED TO SPELL CHECK A
0.29%:  THINK THAT'S ACTUALLY AN AL
0.29%:  COULD TOTALLY IN
0.46%:  COULD TOTALLY INCLU
0.76%:  COULD TOTALLY INCLUDE THAT
0.70%:  COULD TOTALLY INCLUDE THAT IN A
0.68%:  COULD TOTALLY INCLUDE THE
0.42%:  COULD TOTALLY INCLUDE THESE
0.39%:  COULD TOTALLY INCLUDE THAT IN A P
0.38%:  COULD TOTALLY INCLUDE THIS
0.31%:  COULD TOTALLY INCLUDE THESE IN
0.29%:  KINDA DON'T K
0.29%:  THINK YOU NEED TO PLEASE
0.29%:  THINK YOU CAN AL
0.29%:  DON'T THINK I COULD A
0.29%: 'D LIKE TO TELL YOU THAT IS
0.29%:  COULD TOTALLY CH
0.29%:  ACTUALLY THINK THAT'S CALLED "PL
0.29%:  COULD DO THE
0.29%:  THINK YOU COULD AT LEAST ACT
0.29%:  NEED TO CHECK THAT
0.29%: 'LL LET YOU DO IT IN
0.29%:  CAN'T TAKE THE
0.29%:  NEED YOU TO PICK THE
0.29%:  COULDN'T HELP NOTICE ALL THE LAD
0.29%:  COULD TOTALLY PULL THESE
0.29%:  COULDN'T HELP NOTICE ALL THE TYPE
0.29%:  NEED YOU TO PUT IN
0.29%:  CAN TOTALLY ADD THAT
0.29%:  HOPE THIS
0.29%:  ACTUALLY HAD NO IDEA THIS
0.29%:  ASKED YOU THAT ON
0.45%:  ASKED YOU THAT ONCE AND
0.29%:  CAN TOTALLY L
0.51%:  CAN TOTALLY LEND
0.29%:  CAN TELL YOU THE
0.29%:  CAN TOTALLY PUT THESE
0.29%:  COULD TOTALLY HACK THE
0.29%: 'LL LET YOU SPE
0.29%:  NEED A LITTLE HELP AND YOU
0.29%: 'LL TAKE YOU UP ON THAT AND
0.29%:  CAN SEE YOU L
0.29%:  LIKE THAT
0.39%:  LIKE THAT YOU
0.67%:  LIKE THAT YOU USE
0.38%:  LIKE THAT YOU USED "
1.59%:  LIKE THAT YOU USED "ALACK" AND
2.57%:  LIKE THAT YOU USED "ALACK" AND NOT
1.45%:  LIKE THAT YOU USED "ALACK" IN THAT
1.02%:  LIKE THAT YOU USED "ALACK" IN THE
0.90%:  LIKE THAT YOU USED "ALACK" TH
0.90%:  LIKE THAT YOU USED "ALACK" IN CON
0.69%:  LIKE THAT YOU USED "ALACK" IN A CON
0.54%:  LIKE THAT YOU USED "ALACK" IN THE CON
0.50%:  LIKE THAT YOU USED "ALACK" AND NOT THE
0.50%:  LIKE THAT YOU USED "ALACK" AND THAT
0.42%:  LIKE THAT YOU USED "ALACK" IN THAT CON
0.33%:  LIKE THAT ONE
0.29%:  THINK YOU COULD TELL THE
0.29%: 'LL A
0.39%: 'LL ASK YOU THE
0.38%: 'LL ASK YOU ALL
0.97%: 'LL ASK YOU ALL THE
0.32%: 'LL ASK THE
0.29%:  KINDA NEED THAT C
0.29%:  STILL LO
0.29%:  THINK IT'S P
0.29%:  THINK YOU SHOULD APP
0.29%:  HAD NO IDEA YOU LIST
0.29%:  NEED YOU TO CALL A
0.29%:  THINK YOU CAN USE THE
0.29%:  CAN TELL YOU ONE S
0.29%:  CAN DO SO
0.29%:  ACTUALLY CO
0.77%:  ACTUALLY COULDN
0.29%:  NEED TO CATCH THE
0.29%:  KINDA THINK YOU SHOULD E
0.29%:  COULD USE A HAND A
0.29%:  NEED TO STEAL YOU
0.29%: 'LL CALL THE POLICE AND SUE YOU AND THE
0.29%:  KINDA THINK YOU SHOULD TAKE C
0.29%:  NEED TO USE THE LAT
0.29%: 'LL TELL YOU A ST
0.29%:  CAN SEE THE C
0.29%:  NEED TO CHECK THE OIL AND
0.29%:  COULD TOTALLY USE A HAND HE
0.29%:  PUT THE KEYS IN THE CON
0.29%:  KINDA NEED THE KEYS T
0.29%: 'LL LET YOU TAKE THE S
0.29%:  KINDA NEED TO HE
0.29%:  COULD LO
0.29%: 'D LIKE TO TELL YOU THAT I NE
0.29%:  THINK YOU NEED TO SPELL THAT "
0.29%:  NEED TO TAKE THIS
0.29%: 'D LIKE TO THANK YOU AND E
0.29%:  COULDN'T HELP NOTICE ALL THE TUD
0.29%:  THINK SH
0.29%: 'LL PUT THAT IN THE
0.29%:  CAN SEE YOU DON'T LI
0.57%:  CAN SEE YOU DON'T LIKE IT
0.55%:  CAN SEE YOU DON'T LIKE THAT
0.39%:  CAN SEE YOU DON'T LIKE THE
0.29%:  THINK YOU SHOULD AD
0.29%:  THINK YOU SHOULD TAKE A CALL
0.28%:  ASKED YOU TO KEEP A
0.28%:  KINDA THINK THAT'S YOU
0.28%:  PUT THE KEYS IN THE PLACE I
0.28%:  THINK YOU DID A
0.28%:  DON'T ACTUALLY THINK HE SA
0.31%:  DON'T ACTUALLY THINK HE SAID "
0.28%: 'D LIKE TO CHECK OUT A
0.28%:  NEED TO CALL THE POLICE STAT AND
0.28%:  THINK YOU SHOULD TAKE T
0.28%:  CAN SEE THAT AND AL
0.28%: 'LL HELP YOU DO
0.43%: 'LL HELP YOU DO THAT L
0.28%:  HOPE YOU LE
0.28%:  CAN TELL THAT'S THE
0.28%:  DON'T SPEAK "
0.28%:  COULD USE A LITTLE HELP TO H
0.28%:  PUT THE KEYS IN THE POCKET I'
0.28%:  NOTICE THAT
1.14%:  NOTICE THAT YOU'
0.65%:  NOTICE THAT YOU USE
0.36%:  NOTICE THAT YOU USE THE
0.34%:  NOTICE THAT YOU USED THE P
0.31%:  NOTICE THAT YOU D
0.28%:  NOTICE THAT YOU USED AN
0.28%:  DON'T THINK YOU SAID THAT
0.28%:  DON'T ACTUALLY THINK I K
0.28%:  THINK YOU'LL SA
0.28%:  NEED YOU TO STAND UP
0.28%:  PUT THE KEYS IN THE TO
0.28%: 'D LIKE TO CON
0.28%:  COULDN'T HELP IT I H
0.71%:  COULDN'T HELP IT I HAD TO A
0.49%:  COULDN'T HELP IT I HAD TO S
0.28%:  STILL NEED TO CHECK THE PO
0.28%:  COULD TELL THAT YOU
0.28%:  PUT THE KEYS IN THE CUP AND
0.28%:  USED TO THINK YOU N
0.28%: 'LL LET YOU DO THAT AT
0.28%:  CHECKED OUT SO
0.28%:  PUT YOU IN ALL THE
0.28%:  NEED TO TELL YOU ALL THE ST
0.28%:  HAD NO IDEA YOU ACT
0.28%:  COULD USE THAT H
0.28%:  CAN DO ALL
0.59%:  CAN DO ALL THAT
0.28%:  THINK YOU NEED TO DIAL
0.28%: 'LL ASK YOU THAT
0.28%:  COULD USE A LITTLE HELP IN "
0.28%:  COULD USE A LITTLE TIP ON
0.28%: 'D LIKE TO THANK ALL THE PLAYS AND
0.28%:  HOPE THAT YOU
0.28%:  CAN TOTALLY K
0.40%:  CAN TOTALLY KEE
0.57%:  CAN TOTALLY KEEP THIS
0.98%:  CAN TOTALLY KEEP THIS UP ALL N
0.29%:  CAN TOTALLY KEEP THAT
0.28%:  COULD TOTALLY END
0.28%:  THINK YOU NEED TO SPELL "ALACK" C
0.28%:  CAN TOTALLY NOTICE
0.28%:  ACTUALLY THINK I CAN HE
0.28%:  CAN'T STOP Y
0.28%:  KINDA THINK THAT'S AL
0.28%: 'LL TOTALLY LE
0.28%:  CAN SAY
0.28%:  COULD USE A LITTLE HELP IN K
0.28%:  NEED TO CLEAN
0.29%:  NEED TO CLEAN THE
0.28%: 'D LIKE TO PUT YOU
0.28%:  LIKE THAT YOU USED "ALACK" IN THE P
0.28%:  COULDN'T HELP NOTICES THE "
0.28%:  CAN TOTALLY TOT
0.28%:  COULD DO THAT IN
0.28%:  NEED THE KEYS TH
0.28%:  THINK YOU SPOKE THE L
0.28%:  NEED THE KEYS AND I'LL
0.28%:  CAN SEE IT IN
0.28%: 'LL LET YOU IN ON A LITTLE S
0.28%:  THINK THAT YOU AND
0.28%:  PUT YOU IN ALL CAPS AND THAT
0.28%:  CAN TOTALLY TAKE THIS
0.28%:  CAN SEE YOU LICK
0.28%:  DON'T THINK THAT IS PO
0.28%:  DON'T ACTUALLY SPEAK O
0.37%:  DON'T ACTUALLY SPEAK OLDEN
0.28%:  NEED TO CHECK E
0.28%:  COULDN'T HELP NO
0.28%:  COULD CALL YOU THAT AND
0.28%:  COULD USE A LITTLE HELP ANY
0.28%:  CAN SEE YOU THINK
0.28%:  CAN TOTALLY HANDLE THAT SO
0.28%:  CAN P
0.28%:  HOPE YOU SU
7.47%:  HOPE YOU SUCCEED IN THAT
3.26%:  HOPE YOU SUCCEED IN THAT E
1.45%:  HOPE YOU SUCCEED AT
1.26%:  HOPE YOU SUCCEED AT THAT AND
1.03%:  HOPE YOU SUCCEED IN THAT EN
0.83%:  HOPE YOU SUCCEED IN THE
0.77%:  HOPE YOU SUCCEED IN THAT AT
0.63%:  HOPE YOU SUCCEED AND
0.89%:  HOPE YOU SUCCEED AND THAT
0.55%:  HOPE YOU SUCCEED IN THAT AND
0.48%:  HOPE YOU SUCCEED AT THE
0.42%:  HOPE YOU SUCCEED AT THAT AND AL
0.37%:  HOPE YOU SUCCEED IN ALL
0.34%:  HOPE YOU SUCCEED AT IT
0.28%:  NEED TO PICK UP THE CH
0.28%:  CAN TELL YOU'LL
0.28%:  COULD USE A LITTLE HELP ON "
0.28%:  THINK YOU NEED TO STEP IT
0.92%:  THINK YOU NEED TO STEP IT UP A
0.28%: 'LL KEEP IT DO
0.28%:  THINK YOU SHOULD CLEAN IT
0.28%:  COULD USE A HAND IN THE K
0.28%:  THINK YOU'LL NEED TO TAKE THE
0.28%: 'LL TAKE YOU UP ON THAT "AL
0.28%:  THINK YOU CAN A
0.28%:  CAN'T HELP IT SHA
0.28%:  CAN SEE IT ALL
0.28%: 'LL DO YOU THE
0.28%:  CAN TELL THESE
0.28%: 'LL TELL YOU A SH
0.28%: 'LL CALL THE POLICE AND SAY THAT IT
0.28%:  DON'T ACTUALLY NEED TO SE
0.27%:  CAN TOTALLY SPE
0.51%:  CAN TOTALLY SPELL THAT
0.36%:  CAN TOTALLY SPELL THE
0.31%:  CAN TOTALLY SPELL THAT ONE
0.27%:  THINK THAT'S CALLED "PLAY
0.27%:  CAN TOTALLY HANDLE THIS L
0.27%:  THINK YOU NEED TO PICK A
0.27%: 'LL LET YOU TAKE C
0.27%:  CAN TOTALLY SEE THAT AL
0.27%:  ACTUALLY AL
0.27%:  HAD TO USE
0.27%:  CHECKED ALL THE PO
0.27%:  NEED YOU TO CHECK THE S
0.27%:  CAN TOTALLY HELP SO
0.27%:  NEED TO SPEAK TO THAT
0.27%: 'LL LET YOU EDIT
0.27%:  THINK YOU CAN'
0.27%:  NEED YOU TO KEEP THAT UP ALL
0.27%:  THINK YOU'D DO
0.27%: 'D LIKE TO PLAY
0.27%:  COULDN'T HELP NOTICE THE DIS
0.27%: 'LL TOTALLY HELP OUT
0.27%:  THINK YOU SHOULD "
0.27%:  NEED YOU TO E
0.27%:  COULD USE A LITTLE HELP AC
0.27%:  CAN'T PUT
0.27%:  THINK YOU'LL NEED TO USE
0.27%:  KEEP T
0.27%:  NEED TO SPEAK TO H
0.27%: 'LL CALL IT
0.27%:  CAN HELP YOU SO
0.27%: 'LL LEND YOU THE C
0.27%:  THINK THAT'S ACTUALLY NE
0.27%:  THINK YOU SHOULD LEAN A
0.75%:  THINK YOU SHOULD LEAN A LITTLE LE
0.27%:  STILL NEED YOU TO CHECK U
0.27%: 'LL LET YOU KEEP ALL THE TH
0.27%:  THINK THAT YOU CAN
0.27%: 'LL LET YOU KEEP ONE AS
0.27%:  NEED YOU TO PUT THIS IN
0.27%:  NEED TO TELL U
0.27%:  HAD NO IDEA ANY
0.27%:  THINK YOU COULD HANDLE A LITTLE LE
0.27%: 'LL LET YOU TAKE IT
0.27%:  CAN'T HELP IT THAT I CAN
0.27%:  THINK YOU SHOULD PACK
0.27%:  CAN'T HELP IT THAT YOU DID
0.27%: 'D LIKE TO THANK THE AUD
0.27%:  CAN SEE IT ON
0.27%: 'LL TAKE YOU UP ON THE
0.27%: 'LL CHECK IN
0.27%:  THINK YOU NEED TO SPELL IT "
0.27%: 'LL LET YOU COUNT THAT AS A
0.27%:  KEEP HE
0.27%:  COULD USE A LITTLE HELP IN THE "NOT
0.27%: 'LL THINK
0.27%:  HOPE YOU SUCCEED IN THAT T
0.27%:  COULD TOTALLY HACK IN
0.27%:  LIKE THAT YOU USED AN
0.27%:  COULD USE A LITTLE HELP TODAY ACT
0.27%:  THINK YOU'LL ACT
0.27%:  ASK YOU A
0.27%:  DON'T ACTUALLY USE THAT PH
0.27%:  ACTUALLY DON'T U
0.27%: 'LL CALL THE POLICE OK
0.27%:  COULD USE A LITTLE HELP IN A HANDY
0.27%:  NEED TO CLEAN OUT
0.27%:  PUT THE KEYS IN THE D
0.27%:  NEED A LITTLE HELP SO
0.27%:  THINK YOU NEED TO TELL PE
0.27%: 'LL LO
0.27%: 'D LIKE TO TELL YOU THAT I AP
0.27%:  THINK THAT'S AN ACC
0.27%: 'LL LET YOU SPEAK IN
0.27%: 'LL LET YOU SPEAK IN THE
0.27%:  THINK YOU NEED TO PULL IT ALL
0.27%: 'LL TAKE ANY AN
0.27%:  NEED TO USE THE CAN
0.27%:  NEED TO TAKE A SH
0.27%:  COULD USE A LITTLE HELP LOCATE
0.27%:  TOTALLY H
0.42%:  TOTALLY HAD NO
2.04%:  TOTALLY HAD NO IDEA THAT
0.58%:  TOTALLY HAD NO IDEA THE
0.46%:  TOTALLY HAD NO IDEA THAT'
0.37%:  TOTALLY HAD NO IDEA THESE
0.37%:  TOTALLY HAD TO
0.31%:  TOTALLY HAD NO IDEA THIS
0.27%:  DON'T THINK YOU SPEL
1.95%:  DON'T THINK YOU SPELLED THAT C
0.67%:  DON'T THINK YOU SPELLED THE
0.61%:  DON'T THINK YOU SPELLED "
0.45%:  DON'T THINK YOU SPELLED IT
0.27%:  CAN'T HELP YOU THEN
0.27%:  COULD USE A LITTLE HELP IN PLAY
0.27%:  COULD USE A LITTLE HELP IN A CO
0.27%: 'LL LET YOU KEEP THE SOUN
0.27%:  NEED YOU TO PUT A
0.27%:  CAN'T HAND
2.24%:  CAN'T HANDLE THIS
0.35%:  CAN'T HANDLE THE
0.28%:  CAN'T HANDLE THAT
0.27%:  NEED YOU TO STEAL THE C
0.27%: 'LL TELL ANY
1.14%: 'LL TELL ANYONE THAT
0.27%:  CAN SEE YOU AND E
0.27%:  CAN'T HANDLE ALL
0.52%:  CAN'T HANDLE ALL THE
0.27%:  ASKED YOU TO KEEP THAT UP
0.27%:  ACTUALLY THINK THAT'S EN
0.27%:  CAN TELL THAT'S NOT H
0.27%:  NEED TO TELL YOU THAT I D
0.27%:  HAD NO IDEA YOU C
0.27%:  COULDN'T HELP NOTICE THAT PLAYS
0.27%:  NEED TO U
0.27%: 'D LIKE TO TELL YOU THAT H
0.27%:  THINK YOU HAD ONE
0.27%: 'LL LET YOU KEEP ALL THE CH
0.27%:  NEED TO USE THE LIT
0.27%:  THINK YOU NEED TO UPDATE THE S
0.27%:  CAN SEE IT'
0.27%:  CAN SEE THAT YOU CAN
0.27%:  COULD USE A LITTLE HELP IN ONE
0.27%:  COULD P
0.26%: 'LL TELL ANYONE THAT HE
0.26%:  SHO
0.27%:  SHOULD'
0.26%:  NEED TO TELL YOU A ST
0.26%:  LIKE THAT YOU USE THE
0.26%: 'LL NEED THESE
0.26%:  NEED TO ASK YOU T
0.26%:  CAN TOTALLY SEE THE APPEAL TH
0.26%:  CAN TAL
0.59%:  CAN TALK TO YOU ALL
0.44%:  CAN TALK TO YOU L
0.26%:  CAN TOTALLY LE
0.26%:  ACTUALLY T
0.26%:  USED TO THINK ALL
0.26%: 'D LIKE TO SEE YOU IN THE
0.26%: 'LL LET YOU KEEP IT ALL
0.26%:  CAN'T USE
0.26%:  TOTALLY CAN'T H
0.31%:  TOTALLY CAN'T HELP THIS
0.26%:  COULD USE A LITTLE HELLO TH
0.26%:  STILL NEED TO TELL YOU THE PUN
0.26%:  COULD USE A LITTLE HELP IN THE LAND
0.26%:  COULD TOTALLY A
0.26%: 'LL LET YOU DO THAT ALL THE
0.26%:  KINDA THINK THAT'S A L
0.26%:  TOTALLY LE
0.26%:  STILL NEED TO TELL YOU I
0.26%:  CAN TOTALLY DO THIS L
0.26%:  DONT
0.26%:  DE
0.26%:  COULD USE A LITTLE HELP THEAT
0.26%:  CAN HELP YOU T
0.31%:  CAN HELP YOU TELL
0.31%:  CAN HELP YOU TAKE THE
0.26%:  CAN TOTALLY KEEP THE
0.26%:  CAN TELL THAT YOU CAN
0.26%:  DON'T THINK YOU HAD A
0.26%:  DON'T THINK YOU SAID "
0.26%:  ACTUALLY DON'T NOTICE
0.26%:  NEED YOU TO DEL
0.26%:  NEED TO PICK UP THE KIDS T
0.26%:  THINK YOU CAN HEL
0.26%:  NEED YOU AS
0.26%:  CAN'T DO THAT UN
3.17%:  CAN'T DO THAT UNTIL YOU
0.40%:  CAN'T DO THAT UNTIL YOU H
0.26%:  SAID THE
0.26%:  DON'T NEED ALL
0.35%:  DON'T NEED ALL THAT
0.32%:  DON'T NEED ALL THE
0.26%:  THINK THAT'S ACTUALLY CALLED "LOOK
0.26%:  CAN C
0.56%:  CAN CALL YOU SH
0.55%:  CAN CALL YOU "
0.44%:  CAN CALL YOU SHA
0.41%:  CAN CALL YOU THAT NO
0.36%:  CAN CALL YOU THAT IN
0.34%:  CAN CALL YOU "SHA
0.31%:  CAN CALL YOU THAT IN THE
0.26%:  CAN CALL YOU THAT IN THE PAST
0.26%:  COULDN'T HELP NOTICE ALL THIS
0.26%:  SAY THE
0.26%:  THINK THAT'S ACTUALLY CALLED "UN
0.26%:  NEED YOU TO SPELL '
0.26%: 'D LIKE TO TA
0.92%: 'D LIKE TO TAKE YOU
0.64%: 'D LIKE TO TAKE THIS
0.26%:  COULD USE THE HELP TO
0.26%:  THINK YOU CAN T
0.77%:  THINK YOU CAN TELL
0.26%:  NEED YOU TO CHECK THE PAN
0.26%:  COULD TOTALLY USE THE C
0.26%: 'LL CALL THE POLICE TODAY AND THE
0.26%:  THINK YOU CAN CUT THAT
0.26%:  NEED TO TELL YOU THEN
0.26%:  DON'T NEED THE KEYS THAT
0.26%:  DON'T THINK I LE
0.26%:  THINK YOU'LL NEED TO P
0.26%:  ALSO LO
0.26%:  ACTUALLY CAN'T H
0.26%:  HAD NO IDEA YOU SPENT ALL THAT
0.26%:  ALSO NEED THE KEY
0.26%: 'LL LET YOU HOLD
0.26%:  CAN DO THAT L
0.26%:  THINK YOU CAN DO THE
0.26%:  NOTICE THAT YOU USED "
1.84%:  NOTICE THAT YOU USED "ALACK" IN THE
1.52%:  NOTICE THAT YOU USED "ALACK" TH
1.38%:  NOTICE THAT YOU USED "ALACK" AND
0.70%:  NOTICE THAT YOU USED "ALACK" IN A
0.26%:  CAN'T CON
0.26%:  CHECKED OUT ALL THE L
0.26%:  COULD TOTALLY USE HELP IN THAT
0.26%:  CAN SEE YOU TO
0.26%:  THINK THAT'S ACTUALLY ALL I
0.26%:  COULDN'T HELP NOTICE THE TYPE
0.26%:  NEED TO PICK UP CH
0.26%:  ASKED YOU TO PULL
0.26%:  LIKE THAT YOU USED "ALACK" AND THAT'
0.26%:  HAD TO LE
0.26%:  NEED YOU TO KILL H
0.26%:  LIST
0.26%:  CAN DO ALL THAT AND
0.26%:  NEED YOU TO KILL ALL THESE
0.26%:  TOTALLY NEED TO HE
0.26%: 'D LIKE TO TELL YOU THAT I K
0.26%:  COULD USE A LITTLE HELP ED
0.26%:  THINK YOU COULD P
0.26%:  CAN'T HELP YOU ON
0.26%: 'D LIKE TO TELL YOU THAT EACH
0.44%: 'D LIKE TO TELL YOU THAT EACH AND
0.26%:  TOTALLY S
0.26%:  CAN TELL THAT THE
0.26%: 'LL LET YOU PICK THE T
0.34%: 'LL LET YOU PICK THE TOP
0.39%: 'LL LET YOU PICK THE TOPICS
0.31%: 'LL LET YOU PICK THE TUNE
0.26%:  TOTALLY USE
0.31%:  TOTALLY USED THE
0.26%: 'LL CH
0.26%:  ALSO NOTICE
0.26%:  CHECKED OUT A
0.26%:  THINK YOU'LL CO
0.26%:  NEED TO PUNCH A
0.26%:  USED TO CALL YOU ALL
0.26%: 'LL TAKE YOU TO A
0.26%:  CAN TALK TO YOU ALL I
0.26%:  NOTICE YOU LE
0.26%:  THINK THAT'S ACTUALLY CALLED "D
0.26%:  DID NOT S
0.49%:  DID NOT SAY THAT
0.26%:  THINK THAT'S ACTUALLY CALLED "L
0.26%:  PUT THE KEYS ON THE P
0.26%:  STILL NEED YOU TO K
0.26%:  THINK YOU NEED THE
0.26%:  COULDN'T HELP NOTICE ALL THE A
0.26%:  CAN'T HELP THAT ONE
0.26%:  ACTUALLY DON'T NEED THESE
0.26%: 'LL TOTALLY LEND THE
0.26%: 'LL SE
1.70%: 'LL SEE YOU IN THE
0.84%: 'LL SEE YOU AT
0.43%: 'LL SEE YOU L
0.33%: 'LL SEE YOU AT THE P
0.31%: 'LL SEE YOU AT THE N
0.26%: 'LL SEE YOU IN THE P
0.26%:  DON'T THINK YOU LI
0.33%:  DON'T THINK YOU LIKE THE
0.26%:  CAN DO THAT AT ANY
0.26%:  HOPE YOU CAN'
0.25%:  CAN ST
0.25%:  COULD USE A LITTLE HELP TODAY IN THE "
0.25%:  NEED A LITTLE HELP ON
0.25%:  CAN TOTALLY DO THIS IN
0.25%: 'LL LEND YOU ONE
0.25%: 'LL TOTALLY DO
0.25%:  LOOKED IN THE PL
0.29%:  LOOKED IN THE PLACE THAT
0.25%:  KINDA THINK YOU'LL LOSE
0.47%:  KINDA THINK YOU'LL LOSE THAT
0.36%:  KINDA THINK YOU'LL LOSE THE
0.25%:  LIKE THAT YOU'
0.25%:  PUT A
0.25%:  COULD USE A LITTLE HELP AND NO
0.25%:  THINK YOU NEED TO TAKE A H
0.25%:  COULD USE A LITTLE HELP IN THAT CON
0.25%: 'LL SEE YOU ON
0.25%:  DON'T SPEAK E
0.25%:  TOTALLY NEED TO CHECK THE
0.25%:  COULD TOTALLY HANDLE THE C
0.25%:  NEED TO TELL YOU E
0.25%: 'D LIKE TO TELL YOU THE S
0.25%: 'D LIKE TO THANK ALL THE PEOPLE INS
0.25%:  CAN TOTALLY TAKE A
0.25%:  CAN'T SPELL THAT
0.25%:  USED TO THINK YOU HAD A N
0.25%:  USED TO CALL YOU N
0.25%:  HAD NO IDEA YOU EN
0.25%:  NEED YOU TO ACT LIKE THIS ALL
0.25%: 'LL DE
0.75%: 'LL DEAL YOU INTO THE
0.25%:  COULD HELP OUT
0.25%:  NOTICE THAT YOU USED "ALACK" IN THE PL
0.25%:  ACTUALLY THINK IT
0.29%:  ACTUALLY THINK IT'S A
0.29%:  ACTUALLY THINK IT'D
0.28%:  ACTUALLY THINK IT'LL
0.25%:  TOTALLY TH
0.25%: 'LL CALL THE POLICE AND DENY E
0.25%:  NEED YOU TO CALL THE PLACE AND A
0.25%:  COULD TOTALLY CALL THIS
0.25%:  COULD TOTALLY HANDLE THAT L
0.25%:  THINK YOU CALL THAT "
0.25%:  NEED YOU TO SPEAK IN ALL
0.25%:  DON'T CA
0.25%:  NEED YOU TO TELL THAT
0.25%:  THINK YOU AND I SHOULD P
0.25%: 'LL CUT THE
0.25%: 'LL CALL THE POLICE I
0.25%:  THINK YOU CAN TELL THE
0.25%:  ACTUALLY HATE
0.25%:  THINK YOU NEED TO PULL THE
0.25%:  CAN'T SPELL "
0.25%: 'D LIKE TO TELL YOU THAT I AL
0.25%: 'LL THANK
0.26%: 'LL THANK YOU IN
0.37%: 'LL THANK YOU IN THE
0.25%:  CAN'T USE THE
0.25%:  KINDA THINK YOU COULD T
0.55%:  KINDA THINK YOU COULD TELL
0.25%:  CAN'T HELP THIS ONE
0.25%:  USED TO CALL YOU THAT E
0.25%:  THINK I'D
0.25%:  CAN TOTALLY HELP THOSE
0.25%:  COULD USE A LITTLE HELP TALKIN
0.25%:  COULDN'T HELP NOTICE THAT ALL I
0.25%: 'LL LET YOU STE
1.11%: 'LL LET YOU STEAL THE
0.27%: 'LL LET YOU STEAL THAT
0.25%:  NEED THAT KEYS AND
0.25%:  THINK THAT'S L
0.25%:  ACTUALLY THINK THAT'S A P
0.25%:  PUT THE KEYS IN THE CLO
0.25%:  COULD USE A LITTLE HELP IN THE NO
0.25%:  COULD TOTALLY USE A LITTLE CH
0.25%:  COULD USE A LITTLE HELP INTO
0.25%:  CAL
3.88%:  CALLED YOU SHA
2.39%:  CALLED YOU SH
1.72%:  CALLED YOU THAT
0.53%:  CALLED YOU "
0.50%:  CALLED THE
3.47%:  CALLED THE POLICE AND
2.65%:  CALLED THE POLICE ON
2.58%:  CALLED THE POLICE AND THEY'LL
2.36%:  CALLED THE POLICE AND THEY SA
1.73%:  CALLED THE POLICE AND THEY S
1.04%:  CALLED THE POLICE AND T
1.02%:  CALLED THE POLICE AND THEY TO
0.58%:  CALLED THE POLICE AND NO
0.56%:  CALLED THE POLICE TO
0.55%:  CALLED THE POLICE AND YOU
0.54%:  CALLED THE POLICE A
0.52%:  CALLED THE POLICE AND THEY A
0.49%:  CALLED YOU "SH
0.48%:  CALLED YOU THE
0.47%:  CALLED THE POLICE AND THEY T
0.44%:  CALLED THE POLICE AL
0.38%:  CALLED IN
0.38%:  CALLED THE POLICE AND I
0.35%:  CALLED YOU THAT ON
0.33%:  CALLED THE POLICE SO
0.34%:  CALLED THE POLICE SO THE
0.42%:  CALLED THE POLICE SO THEY'LL
0.32%:  CALLED THE POLICE ON THE
0.32%:  CALLED YOU THAT TO
0.30%:  CALLED THE POLICE AND TH
0.29%:  CALLED YOU A
0.25%:  HAD NO IDEA THESE KEY
0.25%: 'LL CALL THE POLICE AND SAY I HE
0.25%:  THINK YOU SPELL IT
0.25%:  COULDN'T HELP NOTICE THAT SU
0.25%:  STILL NEED TO TALK A
0.25%: 'D LIKE TO THINK YOU CAN HE
0.25%:  THINK THAT'S ACTUALLY CALLED "LI
0.25%:  NEED YOU TO HANDLE THIS LI
0.25%: 'LL LET YOU KEEP ALL THE ON
0.25%:  NEED THE KEYS I
0.25%:  ASKED YOU TO CLEAN THE K
1.12%:  ASKED YOU TO CLEAN THE KITCHEN L
0.25%: 'LL LET YOU TAKE ONE
0.25%:  APO
0.25%:  THINK THAT'S ACTUALLY NO
0.25%: 'LL KILL YOU AND TH
0.28%: 'LL KILL YOU AND THEN I
0.25%: 'D LIKE TO SEE YOU T
