even I think that one's not so good.
      0 100.00%: 
      1 183.88%:  thanks
   3476 0.06%:  and I got to
   3477 0.06%:  and I got the
   3478 0.05%:  it's that
   3479 0.06%:  it's that one
   3480 0.05%: . It has
   3481 0.05%:  no I think that one goes to
   3482 0.05%:  so I've got the idea.
   3483 0.05%:  no this one's not good at
   3484 0.05%:  no this one's the end.
   3485 0.05%:  that one is not good so
   3486 0.05%:  so I've gotten it
   3487 0.05%:  so the end's the
   3488 0.05%:  so I've got that to
   3489 0.05%:  so it ends on the note
   3490 0.05%:  so that one's got to
   3491 0.05%:  I need to get on that.
   3492 0.05%:  so then I got
   3493 0.07%:  so then I got the
   3494 0.14%:  so then I got the idea
   3495 0.05%:  I need to sit the
   3496 0.05%:  so I think that one's good.
   3497 0.05%:  so I've got that one on
   3498 0.05%:  so not that ending
   3499 0.05%:  so on the one hand I got
   3500 0.05%:  that one's got one
   3501 0.05%:  so I have too
   3502 0.05%:  so it's not even that good I
   3503 0.05%:  so then I'
   3504 0.05%:  so then I've
   3505 0.24%:  so then I've got this
   3506 0.05%:  this one doesn't go.
   3507 0.05%:  so I need to set it
   3508 0.05%:  that one's got to end.
   3509 0.05%:  no that doesn't get
   3510 0.05%:  that one I got to
   3511 0.05%:  no I have things
   3512 0.05%:  so it's not gonna do
   3513 0.05%:  that one's not done so I think
   3514 0.05%:  this one's done. I have
   3515 0.13%:  this one's done. I have to go to
   3516 0.05%:  so I've had this one
   3517 0.05%:  no I got
   3518 0.09%:  no I got that
   3519 0.05%:  so then I get
   3520 0.07%:  so then I get the
   3521 0.05%:  so I've got to edit the
   3522 0.05%:  that one goes on too
   3523 0.05%: . I have one thing
   3524 0.05%:  this goes to the
   3525 0.05%:  so I need to think that
   3526 0.05%:  I don't think these
   3527 0.05%:  that one does nothing to
   3528 0.05%:  that's good too. I think
   3529 0.05%:  the end is that I took
   3530 0.05%:  so not the
   3531 0.20%:  so not the ending
   3532 0.06%:  so not the end
   3533 0.05%:  so I think that does
   3534 0.05%:  that's it I got no
   3535 0.05%:  so I got that one in one
   3536 0.05%:  that doesn't get one
   3537 0.05%: . I think that one's on
   3538 0.05%:  so that's not done it
   3539 0.05%:  no I need to go set
   3540 0.10%:  no I need to go set this
   3541 0.05%:  no I need to go set that
   3542 0.05%:  so I took this
   3543 0.05%:  so I took this one
   3544 0.05%:  it's an end
   3545 0.05%:  I need an
   3546 0.05%:  so I've got to hand
   3547 0.06%:  so I've got to hand this
   3548 0.05%:  so I've got to hand in
   3549 0.05%:  I said too
   3550 0.05%:  this one doesn't go on that
   3551 0.05%:  that one does not go on this
   3552 0.05%:  no that one's done so
   3553 0.05%:  so I've got it done so
   3554 0.05%:  so it ends on that
   3555 0.05%:  so on the one hand it's one
   3556 0.05%:  so it's no good that
   3557 0.05%:  no that one isn't so
   3558 0.31%:  no that one isn't so good.
   3559 0.14%:  no that one isn't so good I
   3560 0.05%:  so that one gets the
   3561 0.05%:  that one's not in so
   3562 0.14%:  that one's not in so I
   3563 0.08%:  that one's not in so I need
   3564 0.19%:  that one's not in so I need to go
   3565 0.05%:  so that took 
   3566 0.05%:  so I've got to do a
   3567 0.05%:  it's gotta end
   3568 0.10%:  it's gotta end soon
   3569 0.08%:  it's gotta end soon.
   3570 0.05%:  so it's that the
   3571 0.05%:  and so I
   3572 0.05%:  no I don't have this so
   3573 0.05%:  that one doesn't go. I
   3574 0.05%:  so I need that one too
   3575 0.05%:  good that's the one
   3576 0.05%:  no it's not the end I have tons
   3577 0.05%:  I've gotten too
   3578 0.07%:  I've gotten too into
   3579 0.05%:  this one gets one and
   3580 0.05%: . I need this to
   3581 0.08%: . I need this to go
   3582 0.07%: . I need this to go on the
   3583 0.05%:  so I've got that one.
   3584 0.05%:  no that is too
   3585 0.05%:  no that is too good
   3586 0.05%:  so that one doesn't go on in
   3587 0.05%:  no thanks I've got the
   3588 0.05%:  this one's got the
   3589 0.05%:  I need to get to an
   3590 0.05%:  it's so good
   3591 0.06%:  it's so good that
   3592 0.05%:  so that one's gone on
   3593 0.05%: . I think that one's got
   3594 0.05%:  so that one doesn't go on.
   3595 0.05%:  so this took ten
   3596 0.05%:  no thanks to those
   3597 0.05%:  no that's not the end so give
   3598 0.05%: . I've gotten this
   3599 0.05%:  so it's good that I took
   3600 0.05%:  no that's it no I need
   3601 0.05%:  that one isn't so good on
   3602 0.10%:  that one isn't so good on the
   3603 0.05%:  so I've got to thank
   3604 0.08%:  so I've got to thank the
   3605 0.05%:  no it's not even a
   3606 0.09%:  no it's not even a good
   3607 0.05%:  thanks to the end
   3608 0.05%:  no need to go on thanks
   3609 0.05%:  I've got this done
   3610 0.05%:  I've got this to
   3611 0.05%:  and I got it
   3612 0.05%:  I've got to take the
   3613 0.05%:  this one doesn't go too
   3614 0.05%:  that's the one I got
   3615 0.05%:  that's the one I got.
   3616 0.05%:  so that's one thing done
   3617 0.05%:  no thanks it's not even
   3618 0.05%:  that's the ending. In
   3619 0.05%:  so don't get this too
   3620 0.05%:  so I've got the hook in
   3621 0.05%:  no that one is on
   3622 0.05%:  thanks. I've got this
   3623 0.05%:  that one I don't see
   3624 0.05%:  no it's one
   3625 0.05%:  that one's done. I got one
   3626 0.05%:  I need it
   3627 0.05%: . I see that this
   3628 0.05%:  that's it. I got one
   3629 0.05%:  so it needs to
   3630 0.05%:  so it's the one
   3631 0.05%:  so I don't have to sign
   3632 0.07%:  so I don't have to sign the
   3633 0.05%:  so that one needs to go into
   3634 0.05%:  that one goes on to the
   3635 0.05%:  this one gets no
   3636 0.05%:  the end is that I got
   3637 0.05%:  so it's a non
   3638 0.05%: . I've taken
   3639 0.07%: . I've taken this
   3640 0.08%: . I've taken this too
   3641 0.05%:  so I take the
   3642 0.05%:  so that one I need to think on
   3643 0.05%:  that's good to see
   3644 0.05%:  that's good to see it
   3645 0.05%: . It's not as
   3646 0.05%:  no it's not the end I have not
   3647 0.05%:  no thanks I've got this one
   3648 0.05%:  that one's not in.
   3649 0.05%:  so in that
   3650 0.69%:  so in that one the
   3651 0.14%:  so in that one the end
   3652 0.06%:  so in that one I'
   3653 0.05%:  I've got this one and
   3654 0.05%:  it's not good at
   3655 0.05%: . I think that one does
   3656 0.05%:  so I have the ending to
   3657 0.05%:  so it's got the
   3658 0.04%:  that one doesn't go to 
   3659 0.04%:  so then I have to go on
   3660 0.04%:  thanks I need to go on the
   3661 0.04%:  I need to get to it soon
   3662 0.04%:  no I have to get this done soon
   3663 0.04%:  that is done.
   3664 0.04%:  this one's not good at
   3665 0.04%:  so it's not the end. I have to go
   3666 0.04%: . I need to have it
   3667 0.04%:  good then
   3668 0.04%:  this one's a one
   3669 0.04%:  so that's not one thing
   3670 0.04%:  and in the
   3671 0.04%: . I've got to take notes
   3672 0.09%: . I've got to take notes on
   3673 0.04%:  so I got it
   3674 0.04%:  I've got to ask
   3675 0.04%:  it's not even that good so
   3676 0.04%:  so I haven't got the end to
   3677 0.04%:  that's done. It took seven
   3678 0.04%:  no this one's not good I
   3679 0.04%:  I gotta do
   3680 0.06%:  I gotta do this
   3681 0.12%:  I gotta do this one
   3682 0.05%:  I gotta do it
   3683 0.04%:  that's one to go
   3684 0.04%:  that's not even good in
   3685 0.12%:  that's not even good in the
   3686 0.04%:  that one does it
   3687 0.04%:  that one is done so no
   3688 0.04%:  no that one isn't good.
   3689 0.04%:  that's one on the nose
   3690 0.04%:  so that's not it. I
   3691 0.04%:  so it's not the end then
   3692 0.04%:  I don't even think the
   3693 0.04%: . I have this one
   3694 0.04%:  that's not even the kind
   3695 0.04%:  so I've got to end
   3696 0.11%:  so I've got to end this one
   3697 0.04%:  so that one is done. It
   3698 0.04%:  no it's got
   3699 0.04%:  it's not so good that
   3700 0.04%:  so I've got that done in the
   3701 0.04%:  so no one asked
   3702 0.04%:  that is no
   3703 0.04%:  no that one doesn't go the
   3704 0.04%:  good I think the
   3705 0.04%: . I've done that one too
   3706 0.04%:  no this one has gotten
   3707 0.06%:  no this one has gotten too
   3708 0.04%:  no I need to go think
   3709 0.04%:  I need one thing
   3710 0.04%:  no this doesn't go
   3711 0.12%:  no this doesn't go on
   3712 0.04%:  so it's no good that the
   3713 0.04%:  that's the one good one in
   3714 0.04%:  so it doesn't go on to
   3715 0.04%:  I got the
   3716 0.04%:  no this one I'
   3717 0.08%:  no this one I've
   3718 0.04%: . I don't think that goes
   3719 0.04%:  no this one doesn't go on a
   3720 0.04%:  no I took
   3721 0.17%:  no I took that
   3722 0.26%:  no I took that too
   3723 0.04%:  so then I've gotta
   3724 0.04%:  no that one goes on
   3725 0.04%:  so that one's not the kind
   3726 0.04%:  no I need a
   3727 0.04%:  that one doesn't get in.
   3728 0.04%:  this one's not even that
   3729 0.25%:  this one's not even that good.
   3730 0.06%:  this one's not even that good I
   3731 0.04%:  so that's it I got
   3732 0.04%:  thanks I need this to go
   3733 0.04%: . It's good that it
   3734 0.04%:  I've got that one done.
   3735 0.04%:  that's the end to one
   3736 0.04%:  no it's not the end so I
   3737 0.04%:  so I have got this
   3738 0.04%:  so I've got to think
   3739 0.04%:  I've done it that
   3740 0.04%:  that's not done so
   3741 0.04%:  that one's not good to
   3742 0.04%:  this one doesn't go that
   3743 0.04%:  so I need to go on that
   3744 0.04%:  so that's one thing I do not
   3745 0.04%:  no that one I don't think goes
   3746 0.04%:  so I need 
   3747 0.04%:  thanks. I need to get it
   3748 0.04%:  so it goes on a
   3749 0.04%:  no that one's not even good.
   3750 0.04%: . It's not done
   3751 0.04%:  no it's not that one. I need
   3752 0.04%:  no that one isn't so good. I
   3753 0.04%:  and it's one
   3754 0.04%:  so it has the
   3755 0.04%:  so I think that goes on one
   3756 0.04%: . I have to do
   3757 0.05%: . I have to do this
   3758 0.06%: . I have to do this one
   3759 0.04%:  no that one's not done so
   3760 0.10%:  no that one's not done so I
   3761 0.04%:  so it doesn't have to get
   3762 0.04%:  this one I don't have so
   3763 0.04%:  so on that note.
   3764 0.04%:  thanks I've got it
   3765 0.04%:  so the one thing I take
   3766 0.04%:  that one's in the oven.
   3767 0.04%:  and then I go
   3768 0.04%:  so I've got it set
   3769 0.04%:  so I don't have to go to this
   3770 0.04%:  so this one I haven't got
   3771 0.04%:  that one's not done so the
   3772 0.04%:  so it takes 
   3773 0.04%:  so I have done things
   3774 0.04%:  that one's not good on
   3775 0.07%:  that one's not good on the
   3776 0.04%:  this one gets an
   3777 0.04%:  so this one took 
   3778 0.04%:  so I don't have one on
   3779 0.04%:  that's it. I need to go on e
   3780 0.04%:  so this one I need a
   3781 0.04%:  no thanks I don't see
   3782 0.04%:  so no I have
   3783 0.04%:  no I think that one's done.
   3784 0.04%:  that's not good on
   3785 0.07%:  that's not good on the
   3786 0.04%:  so a
   3787 0.04%:  that one is good. I
   3788 0.04%:  that's one I got
   3789 0.04%:  so it's not done. I
   3790 0.04%:  so I have nothing to do on
   3791 0.04%:  so I need to go.
   3792 0.04%:  this one I don't have on
   3793 0.04%:  so I have these
   3794 0.04%:  so that's one I need
   3795 0.05%:  so that's one I need to think
   3796 0.11%:  so that's one I need to think on
   3797 0.04%:  good this
   3798 0.04%:  that one's done too so
   3799 0.04%:  no that's it I got
   3800 0.04%:  so it's not the end I
   3801 0.04%:  I need to get this on to a
   3802 0.04%:  so that one is 
   3803 0.04%:  I need to go set it
   3804 0.04%:  it's gone
   3805 0.09%:  it's gone on
   3806 0.15%:  it's gone on too
   3807 0.04%:  no I've got it thanks
   3808 0.04%:  so it's good to have the
   3809 0.04%:  this one doesn't get to
   3810 0.04%:  no don't ask
   3811 0.04%:  no I think that's one good
   3812 0.04%:  it's no good that
   3813 0.04%:  so I've got it done thanks
   3814 0.04%:  this one's not a good one I
   3815 0.04%:  so that one isn't done. It
   3816 0.04%:  that one's not good on its
   3817 0.04%:  that one doesn't go on this one.
   3818 0.04%:  so do
   3819 0.05%:  so do I
   3820 0.05%:  so do I have
   3821 0.07%:  so do I have this
   3822 0.04%:  so in the end I have
   3823 0.06%:  so in the end I have no
   3824 0.04%:  so I've got this and then
   3825 0.04%:  no thanks it's too
   3826 0.04%:  this one needs to go
   3827 0.10%:  this one needs to go to
   3828 0.07%:  this one needs to go on
   3829 0.04%:  no that's not good this
   3830 0.04%:  no this one's not done I
   3831 0.04%:  so then I'd
   3832 0.04%:  so the thing I do
   3833 0.04%:  it needs a
   3834 0.04%:  so no one'
   3835 0.81%:  so no one's gonna
   3836 0.04%:  it's the end. I
   3837 0.08%:  it's the end. I gotta
   3838 0.04%:  no I don't get the
   3839 0.04%:  so I think the one
   3840 0.04%:  this does not go on the
   3841 0.04%:  no that isn't even on
   3842 0.04%:  no I have to get this done so
   3843 0.04%:  so that's it. I got
   3844 0.04%:  no I think that one gets
   3845 0.04%: . I have to go into
   3846 0.04%:  so that's good. I
   3847 0.04%:  no this one's not the one
   3848 0.04%:  no this one's taken
   3849 0.05%:  no this one's taken.
   3850 0.04%:  no that's not even good to
   3851 0.04%:  no I think that's gone on too
   3852 0.04%:  it's good.
   3853 0.04%:  so I think that'd
   3854 0.04%:  that one's on its
   3855 0.04%:  so I got this and
   3856 0.04%:  thanks. I need to get on this
   3857 0.04%:  no it's the end. I have to go to
   3858 0.04%:  so I have the ending.
   3859 0.04%:  the end is that I've
   3860 0.07%:  the end is that I've got
   3861 0.04%: . I said too
   3862 0.04%: . It's not even that
   3863 0.04%:  and this one gets
   3864 0.04%:  that's one. I think
   3865 0.04%:  no that's it the end
   3866 0.04%:  this doesn't have to get
   3867 0.04%:  so I don't have 
   3868 0.04%:  no that's no good.
   3869 0.04%:  that's it. I got no
   3870 0.04%:  no one ask
   3871 0.04%:  no one has signed
   3872 0.04%:  that one's gone to
   3873 0.04%:  that's the ending so no
   3874 0.04%:  that doesn't go onto
   3875 0.04%:  that's one. I need
   3876 0.04%:  I have to get this on to
   3877 0.04%:  that one does not go to
   3878 0.04%:  that one's too good. I think
   3879 0.04%:  so I've got this and the one
   3880 0.04%:  no this one needs to
   3881 0.04%:  that one's done so get
   3882 0.04%:  that's not done I
   3883 0.04%:  so I get it that
   3884 0.04%:  no I've gone
   3885 0.04%:  I have to go on this
   3886 0.06%:  I have to go on this one
   3887 0.04%:  that is one he
   3888 0.04%:  then that's one
   3889 0.04%:  that is one I don
   3890 0.04%:  so the ending has not
   3891 0.04%:  so that's not done on
   3892 0.04%:  so I've gotta set
   3893 0.04%:  so I don't see the
   3894 0.04%:  so then I'd have
   3895 0.04%: . I have to go do
   3896 0.04%:  so I need to get to 
   3897 0.04%:  that one isn't done. It
   3898 0.04%:  that's not the end I go
   3899 0.04%: . It's not the end
   3900 0.04%:  it's done. It
   3901 0.04%:  it's done. It took
   3902 0.04%:  I think that's one done.
   3903 0.04%:  it's good that the
   3904 0.04%:  I need to eat so
   3905 0.04%:  so that's the end I got
   3906 0.04%:  that one isn't too good.
   3907 0.09%:  that one isn't too good. I
   3908 0.04%:  that's not this one I
   3909 0.04%:  I've got to sit on the
   3910 0.04%:  so I have to go.
   3911 0.04%:  no thanks no this
   3912 0.04%:  no that one doesn't go.
   3913 0.04%:  so it ends on that one
   3914 0.04%:  that one's got to end soon.
   3915 0.04%:  so no I haven't gotten this
   3916 0.04%:  no that one's done.
   3917 0.06%:  no that one's done. I
   3918 0.05%:  no that one's done. I think
   3919 0.04%:  so that ending took
   3920 0.04%:  thanks it's 
   3921 0.04%:  so this one got taken
   3922 0.04%:  that one doesn't go in so
   3923 0.09%:  that one doesn't go in so I
   3924 0.04%:  so that one got kind
   3925 0.04%:  I think that one's too good
   3926 0.04%:  no this one has gone
   3927 0.08%:  no this one has gone on
   3928 0.04%:  that one is not the end
   3929 0.04%:  this one's not on that
   3930 0.04%:  no I've done that
   3931 0.04%:  so that one ends it
   3932 0.04%:  no that one's gone
   3933 0.04%:  so that one's in the oven
   3934 0.04%:  so that one's in the oven.
   3935 0.04%:  no that is not the one
   3936 0.04%:  so I need this on a
   3937 0.04%:  this has to go
   3938 0.04%:  that's not one on
   3939 0.04%:  that one's no good I
   3940 0.36%:  that one's no good I think
   3941 0.04%:  no that one I need
   3942 0.12%:  no that one I need to think
   3943 0.04%:  so I haven't gotten those 
   3944 0.04%:  that's not it. I don
   3945 0.04%:  so one thing that's not
   3946 0.06%:  so one thing that's not on
   3947 0.04%:  so not that one is
   3948 0.04%:  so then I need to go to this
   3949 0.04%:  thanks I need to go on this
   3950 0.04%:  so that's the ending. In
   3951 0.04%:  so that one's not good. It
   3952 0.04%:  that one is not too
   3953 0.04%:  so I've got to sit
   3954 0.04%:  no it doesn't go on
   3955 0.04%:  that's the end so.
   3956 0.04%:  this one's 
   3957 0.04%:  thanks I need this to go to
   3958 0.04%:  no this one had
   3959 0.06%:  no this one had too
   3960 0.04%:  so that's not the kind I
   3961 0.04%:  no it ends
   3962 0.04%:  so it had
   3963 0.04%:  so on that one the
   3964 0.04%:  so it's not even on
   3965 0.04%:  I need to go set this to
   3966 0.04%:  no that one needs to
   3967 0.04%:  this one's gone a
   3968 0.04%:  this one goes to 
   3969 0.04%:  so I've got that done so
   3970 0.04%:  no this one doesn't get an
   3971 0.04%:  so that one is not too
   3972 0.04%:  no I had
   3973 0.07%:  no I had nothing
   3974 0.04%:  this one's a good one I
   3975 0.04%:  so that's one ending I
   3976 0.04%:  I have to do the
   3977 0.04%:  no that's the ending not
   3978 0.04%:  no this one doesn't get a
   3979 0.04%: . I think that does go
   3980 0.04%:  no that's the ending. It
   3981 0.04%:  that's one I get
   3982 0.04%:  so that's one done. I think
   3983 0.04%:  that is the end I've
   3984 0.10%:  that is the end I've got
   3985 0.04%:  this one's not even a
   3986 0.04%:  this one's not even a good
   3987 0.04%:  this one gets the
   3988 0.04%:  no this one takes too
   3989 0.04%:  no I'd
   3990 0.04%:  I need to think a
   3991 0.04%:  no it's got to end
   3992 0.04%:  so that one gets one
   3993 0.04%:  no this one I haven
   3994 0.15%:  no this one I haven't done
   3995 0.04%:  so that one I've got
   3996 0.04%:  so that one I've got to
   3997 0.04%:  I need to go eat it
   3998 0.04%:  so I've not gotten
   3999 0.11%:  so I've not gotten to
   4000 0.04%:  so that one I kind
   4001 0.04%:  no thanks to this I
   4002 0.06%:  no thanks to this I've got
   4003 0.04%:  no it's not an end
   4004 0.04%:  no I have to get this done.
   4005 0.04%:  so I think the end
   4006 0.04%:  this has gotten to
   4007 0.04%:  no I haven't got this done
   4008 0.04%:  so I've got to end the
   4009 0.04%:  that's one done. I
   4010 0.04%:  no thanks it's gotten
   4011 0.04%:  no that one goes in
   4012 0.04%:  no it's not done so
   4013 0.04%:  so I have the one
   4014 0.04%:  no that one's not the end
   4015 0.06%:  no that one's not the end.
   4016 0.04%:  that one I think needs to
   4017 0.04%:  no thanks no need
   4018 0.04%:  so not a
   4019 0.04%:  so I haven't done too
   4020 0.04%:  it's got to end
   4021 0.07%:  it's got to end soon
   4022 0.07%:  it's got to end soon.
   4023 0.04%:  so I haven't gotten this done on
   4024 0.04%:  no one's asked
   4025 0.04%:  I've gotten it
   4026 0.04%:  so I think that one's good to
   4027 0.04%:  thanks. It's the
   4028 0.07%:  thanks. It's the end
   4029 0.04%:  no this one goes to
   4030 0.04%:  no this one needs to go
   4031 0.04%:  no that one I don't even
   4032 0.04%:  so I need it to go
   4033 0.04%:  it's not at
   4034 0.04%:  I have to do it
   4035 0.04%:  so I've gotta edit the
   4036 0.04%:  I've had it
   4037 0.04%:  no that one isn't done. It
   4038 0.04%:  I see
   4039 0.04%:  no that's not even good.
   4040 0.07%:  no that's not even good. I
   4041 0.04%:  so one thing I have
   4042 0.04%:  so that is the end I
   4043 0.04%:  no this one I need to go
   4044 0.04%:  it's gonna end
   4045 0.04%:  this one's not that good on
   4046 0.04%:  that's not the end. In one
   4047 0.04%:  this one gets a
   4048 0.04%:  so this one I need to go
   4049 0.04%:  and it gets 
   4050 0.04%:  no I don't get this
   4051 0.06%:  no I don't get this at
   4052 0.04%:  no I don't get this one
   4053 0.04%:  no this one I have
   4054 0.07%:  no this one I have not
   4055 0.04%:  so the endings haven
   4056 0.04%:  no that is not the end. I'
   4057 0.08%:  no that is not the end. I've
   4058 0.04%:  no this one doesn't go. It
   4059 0.04%:  no that's it go
   4060 0.04%:  no that's it go to
   4061 0.04%:  so that's one thing done.
   4062 0.04%:  this one I have
   4063 0.04%:  so that's not even good on
   4064 0.04%:  so that's not done then
   4065 0.04%: . I need to get a
   4066 0.04%:  so it's got to have the
   4067 0.04%:  that's one on the good
   4068 0.04%:  so I haven't gotten one in
   4069 0.04%:  so that one isn't the end
   4070 0.04%:  so that one isn't the end.
   4071 0.04%:  I've got to do one
   4072 0.04%:  I have to go soon.
   4073 0.04%:  I need to get it to
   4074 0.04%: . I need to take it to
   4075 0.04%: . I got that done
   4076 0.04%:  no that's good to
   4077 0.04%:  that's good so it
   4078 0.04%:  no I have to get this to
   4079 0.04%:  it's got to end at
   4080 0.04%:  so that one's not in.
   4081 0.04%:  that one is not so good. I
   4082 0.04%:  so this took 
   4083 0.04%:  this one's too good I
   4084 0.04%:  no that one got too
   4085 0.04%:  so that one I don't see
   4086 0.04%:  so I need to ask the
   4087 0.04%:  this doesn't take
   4088 0.04%:  no that is the end. It
   4089 0.04%:  that doesn't go so
   4090 0.04%:  I need to go into that
   4091 0.04%:  no that one is no
   4092 0.04%:  I need to get on to this soon
   4093 0.04%:  that's good. Is it too
   4094 0.04%:  so I took that ending
   4095 0.04%:  this one's got to have
   4096 0.04%:  so that one gets into
   4097 0.04%:  so I've got these and
   4098 0.04%:  that one ends. I
   4099 0.04%:  so on the one hand I've got no
   4100 0.04%:  that one is too good I'
   4101 0.04%:  I have it
   4102 0.07%:  I have it on
   4103 0.04%:  so I've got that done then
   4104 0.04%:  thanks I need to go in the
   4105 0.04%:  that one's not the end.
   4106 0.04%:  so it's not that one. I don
   4107 0.04%:  so I have to do things
   4108 0.04%:  so I need to tie
   4109 0.04%:  that one ends this one.
   4110 0.04%:  no that one's not on this
   4111 0.04%:  that one's not so hot I
   4112 0.04%:  so it's not done then.
   4113 0.04%:  so then I had
   4114 0.04%:  so I got that done in one
   4115 0.04%:  no that's the end. It goes
   4116 0.04%:  I gotta do the
   4117 0.04%:  so I don't even get
   4118 0.04%: . I've done this one
   4119 0.04%:  so I need to have this on
   4120 0.04%:  I get
   4121 0.06%:  I get that
   4122 0.10%:  I get that one
   4123 0.09%:  I get that it
   4124 0.08%:  I get that this
   4125 0.17%:  I get that this doesn
   4126 0.04%:  I get that the
   4127 0.04%:  I get that one is
   4128 0.04%:  no this one's a d
   4129 0.04%:  so I've gotta note
   4130 0.04%:  so it's not the end to
   4131 0.04%:  I need to go in a
   4132 0.04%:  I've taken it
   4133 0.04%: . I need to go in
   4134 0.05%: . I need to go in the
   4135 0.04%: . I need to go in a
   4136 0.04%:  I got that one done so
   4137 0.04%:  so then I'd have to go
   4138 0.04%:  no one needs that
   4139 0.04%:  I have to go on to
   4140 0.04%:  no that one goes into the '
   4141 0.04%:  I've done the
   4142 0.04%:  this one I've had
   4143 0.04%:  I need to get this on t
   4144 0.04%:  so that's not the one in
   4145 0.04%: . I said the
   4146 0.04%:  so I don't have one set
   4147 0.04%:  no that is the one
   4148 0.04%:  no that's not even good in
   4149 0.04%:  so good I
   4150 0.03%:  no this one I don't even
   4151 0.03%:  so that is the one good
   4152 0.03%:  I've done it that one
   4153 0.03%:  I have to get to this
   4154 0.03%:  that's the one end.
   4155 0.04%:  that's the one end. I
   4156 0.03%:  it's the end so go
   4157 0.03%:  that one is not even
   4158 0.08%:  that one is not even on
   4159 0.03%:  so it's not done I
   4160 0.03%:  I have to get it to
   4161 0.03%:  no this one's gone
   4162 0.09%:  no this one's gone too
   4163 0.03%:  that one's good too I
   4164 0.06%:  that one's good too I think
   4165 0.03%:  so I've got to do the
   4166 0.03%:  so that one doesn't go. It
   4167 0.03%:  so the '
   4168 0.03%:  this needs to go to
   4169 0.03%:  no this one got
   4170 0.03%:  so that took too
   4171 0.03%:  that one I get
   4172 0.03%:  that's not the one ending.
   4173 0.03%:  so it's not a good one.
   4174 0.03%:  so it's gonna end the
   4175 0.03%:  so that one ends.
   4176 0.03%:  this one I need to ask
   4177 0.03%:  that is good.
   4178 0.03%:  this one I'd
   4179 0.03%:  so that is not the one
   4180 0.03%:  so I get that this one
   4181 0.03%:  I need that to
   4182 0.04%:  I need that to go
   4183 0.03%: . I need to eat so
   4184 0.03%:  so that one goes onto
   4185 0.03%:  that one's not even good in
   4186 0.03%:  so I think that goes on 
   4187 0.03%:  no no
   4188 0.05%:  no no that
   4189 0.58%:  no no that's not the end.
   4190 1.31%:  no no that's not the end. I
   4191 0.41%:  no no that's not the end I
   4192 0.32%:  no no that's not good
   4193 0.23%:  no no that's the
   4194 0.16%:  no no that's too
   4195 0.15%:  no no that's not the end so
   4196 0.11%:  no no that's the ending
   4197 0.26%:  no no that's the ending to
   4198 0.10%:  no no that's not even
   4199 0.09%:  no no that's the end.
   4200 0.07%:  no no that one
   4201 0.07%:  no no that one is
   4202 0.06%:  no no that's not even good
   4203 0.06%:  no no that doesn
   4204 0.06%:  no no that's not it
   4205 0.05%:  no no no
   4206 0.08%:  no no no that
   4207 0.11%:  no no no that's not it
   4208 0.10%:  no no no that one
   4209 0.05%:  no no I need
   4210 0.04%:  no no that one doesn
   4211 0.11%:  no no that one doesn't tie
   4212 0.05%:  no no that one doesn't get
   4213 0.04%:  no no that's not good.
   4214 0.04%:  no no I take
   4215 0.03%:  and this one's got the
   4216 0.03%:  it has to
   4217 0.03%: . I don't get that
   4218 0.03%:  so it's the one I
   4219 0.03%:  no one asked the
   4220 0.03%:  no this one does not get
   4221 0.03%:  so I haven't gone too
   4222 0.03%:  that's one thing on
   4223 0.03%:  so that's not done in the
   4224 0.03%:  I've gotten a
   4225 0.03%:  I had the
   4226 0.03%:  so I'd give
   4227 0.03%:  so I have to edit the
   4228 0.03%:  no that's done I
   4229 0.04%:  no that's done I think
   4230 0.03%:  so that one needs no
   4231 0.03%:  so I need this to get
   4232 0.03%:  that's one in
   4233 0.03%:  that is not the end I'
   4234 0.03%:  that one is not the one
   4235 0.03%:  thanks so I need to go to
   4236 0.03%: . It's on
   4237 0.03%:  that one's too soon
   4238 0.04%:  that one's too soon.
   4239 0.03%:  so one thing I'd
   4240 0.03%:  no it's not I
   4241 0.03%:  so I've gotta note this
   4242 0.06%:  so I've gotta note this one
   4243 0.03%:  so I have to do nothing
   4244 0.03%:  I have to go so this
   4245 0.03%:  this has to end
   4246 0.03%:  this has to end.
   4247 0.03%:  so then the end
   4248 0.07%:  so then the end is
   4249 0.03%:  so in the end I get
   4250 0.03%:  so I've taken things
   4251 0.03%:  so this one I need to thank
   4252 0.03%: . It's not even gonna
   4253 0.03%:  I've done this a
   4254 0.03%:  no that's too intense.
   4255 0.03%:  that's done. It took nine
   4256 0.03%:  that one's the end so
   4257 0.03%:  so no I haven't gotten this one
   4258 0.03%:  no it's a good
   4259 0.03%:  no that's not good no I
   4260 0.03%:  that's not on this one
   4261 0.03%:  that one gets ten
   4262 0.03%:  so I have this good
   4263 0.03%:  so I said too
   4264 0.03%:  so it'd
   4265 0.03%:  so I got to the end then
   4266 0.03%:  so I've not gotten the
   4267 0.03%:  no that one's no good even
   4268 0.03%:  thanks. I've got this one
   4269 0.03%: . I've gotten that
   4270 0.03%:  no it's not even good
   4271 0.03%:  no it's not the end I got one
   4272 0.03%:  no it's not done. I
   4273 0.04%:  no it's not done. I have
   4274 0.13%:  no it's not done. I have to
   4275 0.03%:  I've got that one done so
   4276 0.03%:  that's one so
   4277 0.03%:  no that one's got too
   4278 0.03%:  so I think that needs to go on
   4279 0.03%:  no that's the end. I got
   4280 0.03%:  so I haven't got the end in
   4281 0.03%:  that one goes in the 'I
