don't think you should use the word "retarded" like that, Michael Chabon.
100.00%: 
83.59%:  think
35.53%:  think you should think about how to
35.47%:  think you should learn how to read better, Michael "Cha
35.44%:  think you should think harder about whose
35.44%:  asked you to write Michael Chabon on the letter
35.42%:  know, Michael Chabon is
35.34%:  think you should write "retarded" books that
35.34%:  think you should write the book, Michael "
35.33%:  asked you to write Michael Chabon's third
35.29%:  think you should learn how to use
35.25%:  think you should learn how to use the
35.23%:  asked you to take
35.14%:  think you should write another book Michael.
35.10%:  think you should be the one to write the last
35.09%:  think you should read the whole book instead, Ch
34.94%:  know, but it sounded like the
51.56%:  know, but it sounded like the start
34.94%:  think you should write a letter to Michael Chabon's author,
34.92%:  think you should write the real Michael Chabon a "
34.91%:  asked you to write an
34.87%:  think you should read the words that
38.33%:  think you should read the words that are on
34.78%:  think you should know that that
34.78%:  think you need
48.35%:  think you need to work
46.21%:  think you need to work harder
40.46%:  think you need to write
38.23%:  think you need to read
36.65%:  think you need to work harder at
35.01%:  think you need to read this
37.01%:  think you need to read this book
34.75%:  think you should read the whole book in
34.74%:  think you should know that there's a better
34.65%:  asked you to write Michael Chabon, not to talk
34.60%:  think you should think harder about how to
34.55%:  think you should learn how to read better, dude
34.46%:  asked you to write Michael Chabon as
34.44%:  think you should listen to what the book
34.39%:  think you should read it Michael Chabon, that's who
34.38%:  asked you to write Michael Chabon, not to read his
34.38%:  think you should know that there's a better Michael
34.36%:  think you should write the rest, Michael "
34.20%:  think you should write the real Michael Chabon's head
34.19%:  think you should write about the other
34.00%:  asked you to write Michael Chabon thank
34.00%:  think you should write a letter to Michael Chabon's d
33.98%:  think you should learn to be
33.94%:  think it was
33.90%:  asked you to read it without
33.90%:  think you should write the rest, Michael Chabon the real
33.87%:  think you should write a letter to Michael Chabon, here'
33.73%:  asked you to read this and
73.04%:  asked you to read this and tell
51.13%:  asked you to read this and then
81.11%:  asked you to read this and then tell
33.71%:  think you should read this book that
33.70%:  think that
33.69%:  think you should write Michael Chabon's retarded aut
33.68%:  think it's better than yours, author Michael C
33.66%:  think you should write better author
33.65%:  think you should write another book as
33.63%:  think you should write Michael Chabon that there
33.58%:  asked you to write one and
33.51%:  think you should think about how retarded he
33.50%:  think you should write that Michael
669.16%:  think you should write that Michael Chabon asked
158.00%:  think you should write that Michael Chabon told
154.80%:  think you should write that Michael Chabon should
132.73%:  think you should write that Michael Chabon has
86.81%:  think you should write that Michael Chabon shouted
79.54%:  think you should write that Michael Chabon used
82.24%:  think you should write that Michael Chabon used the
76.92%:  think you should write that Michael Chabon ret
71.13%:  think you should write that Michael Chabon should read
70.36%:  think you should write that Michael Chabon stole
59.95%:  think you should write that Michael Chabon'
58.86%:  think you should write that Michael Chabon started
55.34%:  think you should write that Michael Chabon retarded the
48.73%:  think you should write that Michael Chabon,
60.82%:  think you should write that Michael Chabon, author
41.23%:  think you should write that Michael Chabon had
38.99%:  think you should write that Michael Chabon talked
37.76%:  think you should write that Michael Chabon shouted "
35.26%:  think you should write that Michael Chabon dude
53.79%:  think you should write that Michael Chabon dude a letter,
33.47%:  think you should read it and see how retarded Michael
33.36%:  think you should write the real Michael Chabon that'
33.35%:  think you should write one based
33.23%:  asked you to read it out loud like
33.20%:  asked you to write Michael Chabon, not read this
33.18%:  asked you to write it, and
46.92%:  asked you to write it, and then
33.17%:  think you should write that book, dude
33.11%:  think you should read this one to
33.11%:  asked you to write Michael Chabon on the outside
33.06%: '
33.04%:  think you should write the rest, Michael Chabon the dude
33.01%:  think you should write better,
48.26%:  think you should write better, Michael C
32.91%:  think you should write that Michael Chabon does
32.90%:  think you should learn to write better, dude
32.87%:  think you should write about an
39.06%:  think you should write about an old
32.84%:  know, but it sounded like Michael
32.78%:  asked you to write a book and
98.79%:  asked you to write a book and then
32.78%:  think you should write the real Michael Chabon, the dude
32.76%:  think you should write Michael Chabon a letter to see
32.76%:  think it was really
32.70%:  know, but it sounded like you had
32.62%:  think you should write a letter to Michael Chabon, dated
32.51%:  think you should think harder about that word, "
32.50%:  think you should know that there's a lot
32.40%:  asked you to read it, Michael Chabon'
32.39%:  think you should write the real Michael Chabon as
32.36%:  think you should write the last three
32.33%:  think you should think about how retarded those
32.29%:  think you should take another bite
32.25%:  think you should write that Michael Chabon retarded,
32.22%:  think you should write a book that's a
32.22%:  think you should write that book then
32.20%:  think you should think about what the readers
32.18%:  think you should write the book and let
32.16%:  think you should write Michael Chabon letters, that
32.06%:  think you should write Michael Chabon letter
32.02%:  think you should write that Michael Chabon reads
32.02%:  think you should write that Michael Chabon retarded.
32.00%:  think you should write Michael Chabon's other
31.98%:  think you should read the whole book instead, Michael "the
31.98%:  think you should write better, Michael "
31.97%:  think you should think harder about that word "
31.96%:  think you should read this one, dude
31.94%:  think you should think harder about whose ret
31.85%:  know, but it's Michael
31.83%:  think you should read the last bit
97.67%:  think you should read the last bit where
35.14%:  think you should read the last bit where the
31.83%:  think you should read the whole book this
31.82%:  think you should write Michael Chabon or
31.77%:  think you should write a letter to the head
31.64%:  think it's better than your old
31.64%:  asked you to read it, Michael Chabon. "
31.60%:  think you should write that Michael Chabon should take
31.59%:  think you should write a letter to the ed
31.50%:  think you should be the one ret
185.74%:  think you should be the one retarded,
237.57%:  think you should be the one retarded, Michael C
216.12%:  think you should be the one retarded, Michael "
201.63%:  think you should be the one retarded, Michael.
107.18%:  think you should be the one retarded, Michael C.
64.01%:  think you should be the one retarded.
63.40%:  think you should be the one retarded, author
54.22%:  think you should be the one retarded, Ch
52.72%:  think you should be the one retarded, Michael "Cha
48.85%:  think you should be the one retarded, author Michael C
43.23%:  think you should be the one retarded this
32.53%:  think you should be the one retarded Michael
31.49%:  asked you to write Michael Chabon this
107.52%:  asked you to write Michael Chabon this letter
64.85%:  asked you to write Michael Chabon this letter,
39.81%:  asked you to write Michael Chabon this letter and
31.89%:  asked you to write Michael Chabon this letter, and
31.49%:  think you should read the whole book dude
31.47%:  know, but you should read this one.
31.46%:  think you should write a letter to Michael Chabon's death
31.41%:  asked you to write Michael Chabon, not this.
31.38%:  think you should be the one to read what
31.36%:  think you should read it, Michael Chabon the dude whose
31.33%:  think you should write Michael Chabon to see
31.30%:  asked you to read it out loud, then
31.26%:  wanted
115.09%:  wanted to see
43.63%:  wanted to see your
31.26%:  think you should write the end better
31.17%:  think you should use that
31.15%:  think you should read the book,
66.38%:  think you should read the book, Michael.
46.26%:  think you should read the book, Michael C
31.12%:  think you should be the one to read it, Michael C
31.11%:  think you should write a letter to Michael Chabon dude
31.06%:  think you should read the entire book, Michael "Cha
31.06%:  asked you to let
31.01%:  asked you to look
44.54%:  asked you to look at this
43.27%:  asked you to look at the
30.95%:  think you should write another, Michael "
30.92%:  think you should read the whole book then.
30.88%:  think you should read it Michael Chabon, that would
30.88%:  think you should take it to
47.44%:  think you should take it to heart
13512.33%:  think you should take it to heart, Michael Chabon.
165.22%:  think you should take it to heart, Michael Chabon. "
142.48%:  think you should take it to heart, Michael Chabon the
108.86%:  think you should take it to heart, Michael.
88.56%:  think you should take it to heart, Michael Chabon'
60.24%:  think you should take it to heart, Michael Chabon who
44.20%:  think you should take it to heart, Michael C
30.84%:  think you should write another better Michael
30.71%:  think you should write the real Michael Chabon aut
30.71%:  think you should write a letter to the Michael
92.85%:  think you should write a letter to the Michael Chabon,
73.24%:  think you should write a letter to the Michael Chabon'
30.70%:  think you should write Michael Chabon a letter the
30.65%:  think you should write Michael Chabon to let
30.64%:  asked you to write another Michael
116.88%:  asked you to write another Michael Chabon short
30.59%:  think you should be the one who is
43.34%:  think you should be the one who is ret
857.93%:  think you should be the one who is retarded, Michael C
726.47%:  think you should be the one who is retarded, Michael.
583.81%:  think you should be the one who is retarded, Michael "
475.60%:  think you should be the one who is retarded Michael
172.22%:  think you should be the one who is retarded, author
223.83%:  think you should be the one who is retarded, author Michael C
134.66%:  think you should be the one who is retarded.
91.80%:  think you should be the one who is retarded, author Michael "
77.43%:  think you should be the one who is retarded, Michael "Cha
77.35%:  think you should be the one who is retarded, Michael C. "
67.00%:  think you should be the one who is retarded, Ch
58.03%:  think you should be the one who is retarded, Michael. Ch
37.54%:  think you should be the one who is retarded. Michael
30.57%:  think you should write another book, the
30.56%:  think you should write a letter to Michael Chabon, the head
30.55%:  think you should write one star
30.51%:  think you should write better then
30.48%:  think you should be the one who should read
30.42%:  think you should write a letter to the Michael Chabon.
30.42%:  think you should know that there are a
30.28%:  think you should know that it
30.28%:  think you should write Michael Chabon the author a
82.63%:  think you should write Michael Chabon the author a letter,
30.27%:  know but
30.14%:  think you should be the author instead,
67.66%:  think you should be the author instead, Michael C
64.35%:  think you should be the author instead, Michael.
53.41%:  think you should be the author instead, Michael "
30.13%:  think you should write that Michael Chabon letter
30.10%:  think you should write about that, Michael "
30.09%:  think you should write that book Michael
30.07%:  think you should write about that, Michael "Ch
30.07%:  think the
55.43%:  think the answer
67.03%:  think the answer is "
56.73%:  think the answer is that
36.13%:  think the story
57.48%:  think the story should
97.68%:  think the story should end
437.75%:  think the story should end with the
218.31%:  think the story should end with a
137.85%:  think the story should end with "
69.85%:  think the story should end with Michael
67.77%:  think the story should be written
56.27%:  think the story is about
55.12%:  think the story should end there
54.47%:  think the story should end with the reader
45.16%:  think the story should end with "the
43.93%:  think the story should end here
39.55%:  think the story was
36.99%:  think the story should end like
48.39%:  think the story should end like that
36.77%:  think the story is about how
34.70%:  think the story was about
30.02%:  think you should like
29.98%:  think you should read the one
43.92%:  think you should read the one where
40.57%:  think you should read the one about
29.92%:  think you should write the real Michael Chabon, that
29.83%:  think you should answer that
29.82%:  think you should read this book and let
29.77%:  think you should read the whole book Michael, then
29.76%:  think you'
34.85%:  think you'll
29.75%:  think you should write Michael Chabon to the
29.72%:  think you should be the one who's retarded, Michael "that
29.71%:  asked you to read it and think
29.69%:  asked you to write Michael Chabon and let
29.63%:  think you should write a letter and ask Michael
29.50%:  think you should listen to what the author Michael
29.46%:  think you should read both
29.42%:  know, but this is totally
29.40%:  asked you to read it out loud, Michael Chabon. "
29.37%:  asked you to write Michael Chabon on the author
29.35%:  think you should read the book instead, Michael.
29.30%:  think you should read the whole book, Michael and see
29.27%:  think you should either
29.26%:  know, but it sounded like your
29.25%:  think you should write better and
29.24%:  think you should write the book Michael
29.22%:  think the story should end with a double
29.21%:  think you should look into
29.21%:  think you should write that on
29.62%:  think you should write that on the
29.12%:  think you should be awarded the honour
29.07%:  think you should read it, Michael Chabon a
29.05%:  think you should write Michael Chabon "
29.03%:  think you should write a book,
50.02%:  think you should write a book, Michael C
31.70%:  think you should write a book, Michael.
30.27%:  think you should write a book, Michael "
29.02%:  think you should read the whole book instead, dude.
29.02%:  think you should be the one who reads the
28.97%:  think you should write a better letter,
498.02%:  think you should write a better letter, Michael
28.96%:  think you should write the Michael
155.43%:  think you should write the Michael Chabon letters
95.05%:  think you should write the Michael Chabon aut
90.90%:  think you should write the Michael Chabon author
73.20%:  think you should write the Michael Chabon that
54.34%:  think you should write the Michael Chabon'
37.25%:  think you should write the Michael Chabon letter
28.91%:  think you should write the real Michael Chabon, ask
28.89%:  asked you to write a Michael Chabon "
28.84%:  think you should use the
5187.04%:  think you should use the word "retarded" a
8955.18%:  think you should use the word "retarded" a lot
4499.13%:  think you should use the word "retarded" in
4408.58%:  think you should use the word "retarded" a bit
3027.73%:  think you should use the word "retarded" to
1859.85%:  think you should use the word "retarded" in that
1394.65%:  think you should use the word "retarded" a lot in
1362.20%:  think you should use the word "retarded" in a
1243.00%:  think you should use the word "retarded" in the
1029.02%:  think you should use the word "retarded" to talk
870.93%:  think you should use the word "retarded" like
6707.76%:  think you should use the word "retarded" like that
1429.75%:  think you should use the word "retarded" like that,
19320.81%:  think you should use the word "retarded" like that, Michael.
2052.07%:  think you should use the word "retarded" like that, Michael Chabon'
1936.92%:  think you should use the word "retarded" like that, Michael C
1329.78%:  think you should use the word "retarded" like that, Michael Chabon. '
868.13%:  think you should use the word "retarded" like that, Michael Chabon. 
817.00%:  think you should use the word "retarded" like that.
752.97%:  think you should use the word "retarded" a lot,
7706.68%:  think you should use the word "retarded" a lot, Michael.
1684.54%:  think you should use the word "retarded" a lot, Michael Chabon the
984.04%:  think you should use the word "retarded" a lot, Michael C
608.04%:  think you should use the word "retarded" a lot, Michael Chabon'
576.84%:  think you should use the word "retarded" like that, Michael Chabon 
497.85%:  think you should use the word "retarded" like that and
434.53%:  think you should use the word "retarded" and
391.11%:  think you should use the word "retarded" in the book
4724.32%:  think you should use the word "retarded" in the book, Michael.
384.60%:  think you should use the word "retarded" like that a
354.02%:  think you should use the word "retarded" a lot.
353.45%:  think you should use the word "retarded" like that, Michael Chabon to
348.07%:  think you should use the word "retarded" the
347.71%:  think you should use the word "retarded" a lot and
334.56%:  think you should use the word "retarded" in the book, Michael C
269.29%:  think you should use the word "retarded" like that, and
238.59%:  think you should use the word "retarded" like that, Ch
233.31%:  think you should use the word "retarded" on
214.29%:  think you should use the word "retarded" in a book
213.48%:  think you should use the word "retarded" a lot in the
211.77%:  think you should use the word "retarded" a lot, Michael Chabon. it
209.14%:  think you should use the word "retarded" that
199.10%:  think you should use the word "retarded" on the
194.18%:  think you should use the word "retarded" a lot, Michael Chabon. '
169.11%:  think you should use the word "retarded" and the
161.71%:  think you should use the word "retarded" a lot, and
146.79%:  think you should use the word "retarded" a lot, Michael Chabon. 
138.17%:  think you should use the word "retarded" like that, Michael Chabon d
129.60%:  think you should use the word "retarded" a lot to
126.68%:  think you should use the word "retarded" like,
121.51%:  think you should use the word "retarded" like that to
119.70%:  think you should use the word "retarded" at
111.01%:  think you should use the word "retarded" like that Michael
1191.20%:  think you should use the word "retarded" like that Michael Chabon.
1186.43%:  think you should use the word "retarded" like that Michael Chabon,
109.51%:  think you should use the word "retarded" in a book,
1111.59%:  think you should use the word "retarded" in a book, Michael.
216.62%:  think you should use the word "retarded" in a book, Michael C
102.61%:  think you should use the word "retarded" like a
101.26%:  think you should use the word "retarded" to talk to
100.81%:  think you should use the word "retarded" like that, Michael Chabon .
94.66%:  think you should use the word "retarded" in the book Michael
83.45%:  think you should use the word "retarded" in both
81.31%:  think you should use the word "retarded" a lot, Michael Chabon 
76.75%:  think you should use the word "retarded" a lot, Ch
73.45%:  think you should use the word "retarded" like that, Michael and
69.97%:  think you should use the word "retarded" in the book.
69.40%:  think you should use the word "retarded" like that, Michael Chabon dot
68.86%:  think you should use the word "retarded" like that, not
68.07%:  think you should use the word "retarded" like Michael
1349.73%:  think you should use the word "retarded" like Michael Chabon,
621.77%:  think you should use the word "retarded" like Michael Chabon.
163.35%:  think you should use the word "retarded" like Michael Chabon, that
77.71%:  think you should use the word "retarded" like Michael Chabon, that'
67.55%:  think you should use the word "retarded" like that. Michael
2532.51%:  think you should use the word "retarded" like that. Michael Chabon,
146.59%:  think you should use the word "retarded" like that. Michael Chabon'
134.88%:  think you should use the word "retarded" like that. Michael Chabon, do
66.40%:  think you should use the word "retarded" like that, Chabon Michael
66.40%:  think you should use the word "retarded" in the book, Ch
66.18%:  think you should use the word "retarded" at the
63.09%:  think you should use the word "retarded" like that on
52.93%:  think you should use the word "retarded" a lot, Michael and
51.14%:  think you should use the word "retarded" like that, Michael C. and
51.11%:  think you should use the word "retarded" like Michael Chabon'
51.10%:  think you should use the word "retarded" in the old
50.74%:  think you should use the word "retarded" like that, don
49.53%:  think you should use the word "retarded" a lot, don
48.82%:  think you should use the word "retarded" a lot Michael
315.62%:  think you should use the word "retarded" a lot Michael Chabon.
236.25%:  think you should use the word "retarded" a lot Michael Chabon,
48.37%:  think you should use the word "retarded" a lot, then
46.41%:  think you should use the word "retarded" to be
46.31%:  think you should use the word "retarded" a lot in that
45.63%:  think you should use the word "retarded" like that, Michael. Ch
45.44%:  think you should use the word "retarded" one
44.46%:  think you should use the word "retarded" in a book that
42.94%:  think you should use the word "retarded" in a book that'
42.93%:  think you should use the word "retarded" like that, Michael. Chabon'
39.27%:  think you should use the word "retarded" a lot Michael Chabon, it
38.22%:  think you should use the word "retarded" not
36.85%:  think you should use the word "retarded" like that, Michael Chabon '
36.62%:  think you should use the word "retarded" n
35.26%:  think you should use the word "retarded" in a bad
34.61%:  think you should use the word "retarded" and that
34.33%:  think you should use the word "retarded" lo
33.52%:  think you should use the word "retarded" on a
32.92%:  think you should use the word "retarded" a lot then
32.52%:  think you should use the word "retarded" a lot, in
31.89%:  think you should use the word "retarded" behind
31.40%:  think you should use the word ret
202.02%:  think you should use the word retarded in
102.77%:  think you should use the word retarded to
102.36%:  think you should use the word retarded in that
99.63%:  think you should use the word retarded a
126.24%:  think you should use the word retarded a lot
73.98%:  think you should use the word retarded in the
69.13%:  think you should use the word retarded a bit
56.45%:  think you should use the word retarded in a
47.09%:  think you should use the word retarded to talk
33.91%:  think you should use the word retarded like
167.17%:  think you should use the word retarded like that
33.04%:  think you should use the word retarded,
313.52%:  think you should use the word retarded, Michael Chabon. "
283.57%:  think you should use the word retarded, Michael.
196.98%:  think you should use the word retarded, Michael Chabon the
64.00%:  think you should use the word retarded, Michael Chabon'
41.84%:  think you should use the word retarded, Michael C
38.10%:  think you should use the word retarded, Michael Chabon that
31.76%:  think you should use the word retarded like that,
648.94%:  think you should use the word retarded like that, Michael Chabon. "
375.94%:  think you should use the word retarded like that, Michael.
44.45%:  think you should use the word retarded like that, Michael Chabon'
38.88%:  think you should use the word retarded like that, Michael C
31.56%:  think you should use the word retarded a lot in
30.12%:  think you should use the word "retarded" a lot Michael Chabon, the
29.82%:  think you should use the word retarded like that, Michael Chabon "
29.25%:  think you should use the word "retarded" a lot, Michael Chabon d
28.80%:  asked you to use
28.79%:  think you should take it to heart, Michael "
28.77%:  asked you to write Michael Chabon letters that
28.74%:  think the story should end there,
501.12%:  think the story should end there, Michael
85.33%:  think the story should end there, Michael.
28.72%:  already
39.60%:  already did that too
38.40%:  already did that,
271.71%:  already did that, Michael
28.70%:  asked you to read this and then write
28.67%:  think you should learn to read
152.49%:  think you should learn to read better
173.63%:  think you should learn to read better, Michael C
114.93%:  think you should learn to read better, Michael "
111.05%:  think you should learn to read better Michael
81.85%:  think you should learn to read better, Michael C.
46.27%:  think you should learn to read better, Michael.
30.37%:  think you should learn to read better, dude
28.82%:  think you should learn to read better, Michael "Cha
28.66%:  think you should see
28.65%:  think you should be awarded the author
28.65%:  think you should think about that word, Michael C
28.65%:  know, but you should read this and
28.65%:  think you should write that Michael Chabon shouted "ret
28.59%:  think you should write Michael Chabon, ask
28.58%:  think you should write a book and let
28.57%:  think you should read this book.
28.52%:  think you should read it, Michael Chabon should
28.51%:  asked you to read it in
36.46%:  asked you to read it in the
28.49%:  think it's better than yours, to
28.46%:  think you should take it to heart, Michael Chabon dude
28.42%:  think you should think about that word, Michael "
28.37%:  think you should write a letter to Michael Chabon, re
28.29%:  asked you to do
28.29%:  think you should know that there is a
28.28%:  think you should write that book then, Michael "
28.26%:  think you should read it, Michael Chabon who stole
34.64%:  think you should read it, Michael Chabon who stole the
28.22%:  think you should use the word "retarded" in a book.
28.17%:  think you should'
28.16%:  think you should use the word "retarded" del
28.16%:  think you should read it, Michael Chabon the world
28.12%:  think you should be the author and
28.11%:  think you should be the one who's retarded, author Michael C. "
28.05%:  know Michael
227.65%:  know Michael Chabon,
170.21%:  know Michael Chabon is
143.84%:  know Michael Chabon is your
123.01%:  know Michael Chabon is really
101.91%:  know Michael Chabon is totally
99.86%:  know Michael Chabon is your alter
73.36%:  know Michael Chabon is a
79.51%:  know Michael Chabon is a real
73.04%:  know Michael Chabon, you
117.82%:  know Michael Chabon, you should
71.76%:  know Michael Chabon is your author
71.61%:  know Michael Chabon is your real
70.96%:  know Michael Chabon likes
60.39%:  know Michael Chabon likes ret
659.75%:  know Michael Chabon likes retarded story
59.33%:  know Michael Chabon, he
147.79%:  know Michael Chabon, he's totally
56.30%:  know Michael Chabon is dead
54.16%:  know Michael Chabon, you should see
52.71%:  know Michael Chabon likes to
75.68%:  know Michael Chabon likes to read
51.89%:  know Michael Chabon, you should see the
69.50%:  know Michael Chabon, you should see the other
50.32%:  know Michael Chabon, he's really
48.64%:  know Michael Chabon that
46.33%:  know Michael Chabon is the
270.67%:  know Michael Chabon is the author
51.67%:  know Michael Chabon is the author'
57.64%:  know Michael Chabon is the author's author
46.14%:  know Michael Chabon asked
44.06%:  know Michael Chabon likes retarded story,
43.32%:  know Michael Chabon really
42.76%:  know Michael Chabon, he's totally rad
42.46%:  know Michael Chabon, he's the
130.05%:  know Michael Chabon, he's the author
42.02%:  know Michael Chabon is the author's real
42.01%:  know Michael Chabon, he's totally the
67.79%:  know Michael Chabon, he's totally the author
40.74%:  know Michael Chabon likes retarded authors
38.86%:  know Michael Chabon is a real dude
37.32%:  know Michael Chabon, that
44.33%:  know Michael Chabon, that's totally
36.87%:  know Michael Chabon has
36.15%:  know Michael Chabon, that's totally his
34.68%:  know Michael Chabon, author
34.40%:  know Michael Chabon likes to read his
32.99%:  know Michael Chabon, he likes
32.65%:  know Michael Chabon, this
102.40%:  know Michael Chabon, this story
50.75%:  know Michael Chabon, this is totally
33.96%:  know Michael Chabon, this is the
32.37%:  know Michael Chabon, he totally
61.43%:  know Michael Chabon, he totally asked
39.10%:  know Michael Chabon, he totally said
32.11%:  know Michael Chabon.
32.00%:  know Michael Chabon'
33.65%:  know Michael Chabon's real
31.05%:  know Michael Chabon likes to read ret
29.50%:  know Michael Chabon is totally the
86.34%:  know Michael Chabon is totally the author
28.04%:  think you should read it, Michael Chabon the dude who started
28.03%:  know, but this one has
28.01%:  think you should write a best
27.97%:  asked you to write Michael Chabon to
27.95%:  think you need to read it
27.93%:  think you should write the Michael Chabon letters to
27.91%:  asked you to write the rest
27.88%:  think you should add
27.88%:  think you should write "retarded" so that the
27.85%:  think you should write a Michael Chabon tale
27.82%:  think you should write a letter to Michael Chabon head
27.77%:  think you should write about another
27.76%:  think you should use the word "retarded" in book
27.76%:  asked you to write Michael Chabon on the last
27.75%:  think you should write Michael Chabon that he's ret
269.57%:  think you should write Michael Chabon that he's retarded,
209.33%:  think you should write Michael Chabon that he's retarded.
102.36%:  think you should write Michael Chabon that he's retarded, dude
27.73%:  think you should take that as
27.71%:  think you should write the real Michael Chabon to do
31.81%:  think you should write the real Michael Chabon to do that,
27.69%:  think you should take out
145.43%:  think you should take out the word
31769.37%:  think you should take out the word "retarded" and
13141.17%:  think you should take out the word "retarded" Michael
129695.05%:  think you should take out the word "retarded" Michael Chabon,
125515.68%:  think you should take out the word "retarded" Michael Chabon.
13986.89%:  think you should take out the word "retarded" Michael Chabon, the
5295.85%:  think you should take out the word "retarded" in
3206.46%:  think you should take out the word "retarded" Michael Chabon, this
2740.70%:  think you should take out the word "retarded" in the
2725.96%:  think you should take out the word "retarded" and the
2445.44%:  think you should take out the word "retarded" Michael Chabon, it
1097.08%:  think you should take out the word "retarded" Michael Chabon is
1002.73%:  think you should take out the word "retarded" Michael Chabon the
986.45%:  think you should take out the word "retarded" Michael Chabon'
871.24%:  think you should take out the word "retarded" Michael Chabon, '
783.26%:  think you should take out the word "retarded" Michael.
589.59%:  think you should take out the word "retarded" Michael,
552.27%:  think you should take out the word "retarded" Michael Chabon, h
516.78%:  think you should take out the word "retarded" and let
499.18%:  think you should take out the word "retarded" Michael Chabon, l
465.67%:  think you should take out the word "retarded" Michael Chabon, he
459.14%:  think you should take out the word "retarded" and this
431.51%:  think you should take out the word "retarded" Michael Chabon this
424.73%:  think you should take out the word "retarded" Michael Chabon, let
392.27%:  think you should take out the word "retarded" Michael and
358.59%:  think you should take out the word "retarded" Michael Chabon is the
328.70%:  think you should take out the word "retarded" Michael, and
317.27%:  think you should take out the word "retarded" and be
290.84%:  think you should take out the word "retarded" Michael Chabon, is
285.63%:  think you should take out the word "retarded" Michael Chabon 
281.36%:  think you should take out the word "retarded" Michael Chabon h
245.63%:  think you should take out the word "retarded" Michael C
245.36%:  think you should take out the word "retarded" Michael Chabon, 
223.56%:  think you should take out the word "retarded" as
198.26%:  think you should take out the word "retarded" Michael Chabon, his
188.39%:  think you should take out the word "retarded" then
184.20%:  think you should take out the word "retarded" in both
184.19%:  think you should take out the word "retarded" Michael Chabon, it's de
166.96%:  think you should take out the word "retarded" and let'
159.47%:  think you should take out the word "retarded" so
153.05%:  think you should take out the word "retarded" Michael Chabon, she
148.96%:  think you should take out the word "retarded" instead
135.51%:  think you should take out the word "retarded" on
128.35%:  think you should take out the word "retarded" and,
123.77%:  think you should take out the word "retarded" to
117.77%:  think you should take out the word "retarded" Michael, it
106.32%:  think you should take out the word "retarded" then,
3895.75%:  think you should take out the word "retarded" then, Michael
394.20%:  think you should take out the word "retarded" then, Michael.
148.85%:  think you should take out the word "retarded" then, Michael C
102.93%:  think you should take out the word "retarded" Michael Chabon it
100.40%:  think you should take out the word "retarded" Michael Chabon, the 
98.36%:  think you should take out the word "retarded" Michael Chabon, is the
97.62%:  think you should take out the word "retarded" then Michael
96.89%:  think you should take out the word "retarded" and lose
92.71%:  think you should take out the word "retarded" and it
84.86%:  think you should take out the word "retarded" on the
74.59%:  think you should take out the word "retarded" Michael Chabon, d
74.50%:  think you should take out the word "retarded" Michael Chabon, it's 
71.84%:  think you should take out the word "retarded" instead,
623.99%:  think you should take out the word "retarded" instead, Michael.
142.30%:  think you should take out the word "retarded" instead, Michael C
69.36%:  think you should take out the word "retarded" and sl
64.19%:  think you should take out the word "retarded" Michael Chabon, e
63.49%:  think you should take out the word "retarded" and, Michael
63.21%:  think you should take out the word "retarded" Michael Chabon. '
59.09%:  think you should take out the word ret
767.59%:  think you should take out the word retarded and
499.20%:  think you should take out the word retarded,
723676.15%:  think you should take out the word retarded, Michael Chabon.
4600.52%:  think you should take out the word retarded, Michael Chabon the
4593.58%:  think you should take out the word retarded, Michael.
3326.66%:  think you should take out the word retarded, Michael Chabon. "
2818.80%:  think you should take out the word retarded, Michael Chabon'
916.24%:  think you should take out the word retarded, Michael Chabon is
746.10%:  think you should take out the word retarded, Michael C
580.11%:  think you should take out the word retarded, Michael Chabon "
416.82%:  think you should take out the word retarded, Michael Chabon 
381.71%:  think you should take out the word retarded, Michael Chabon is the
266.32%:  think you should take out the word retarded.
213.96%:  think you should take out the word retarded, Michael Chabon. '
171.69%:  think you should take out the word retarded Michael
1562.99%:  think you should take out the word retarded Michael Chabon.
1472.13%:  think you should take out the word retarded Michael Chabon,
227.38%:  think you should take out the word retarded Michael Chabon, the
159.67%:  think you should take out the word retarded in
153.78%:  think you should take out the word retarded, Michael Chabon. 
145.22%:  think you should take out the word retarded, Michael "
133.95%:  think you should take out the word retarded, Michael Chabon this
121.87%:  think you should take out the word retarded, Michael Chabon's the
119.94%:  think you should take out the word retarded, Michael Chabon "the
99.43%:  think you should take out the word retarded, Michael Chabon. it
99.17%:  think you should take out the word retarded, Michael Chabon's "
86.79%:  think you should take out the word retarded, Michael Chabon the "
86.20%:  think you should take out the word retarded, Michael "Chabon the
75.79%:  think you should take out the word retarded in the
68.63%:  think you should take out the word retarded, and
68.17%:  think you should take out the word retarded Michael Chabon, it
64.25%:  think you should take out the word retarded and the
62.66%:  think you should take out the word retarded, Michael and
59.40%:  think you should take out the word retarded, Michael "Chabon" the
58.18%:  think you should take out the word "retarded" and let Michael
56.29%:  think you should take out the word "retarded" Michael Chabon l
55.51%:  think you should take out the word "retarded" Michael Chabon '
53.55%:  think you should take out the word "retarded" in Michael
52.34%:  think you should take out the word retarded, Michael Chabon h
49.52%:  think you should take out the word "retarded,
49772.60%:  think you should take out the word "retarded, Michael Chabon.
11386.13%:  think you should take out the word "retarded, Michael Chabon"
418.84%:  think you should take out the word "retarded, Michael Chabon. "
323.28%:  think you should take out the word "retarded, Michael Chabon the
253.74%:  think you should take out the word "retarded, Michael Chabon'
