a death spasm that infects the galaxy.
      0 100.00%: 
      1 145.66%:  a
   1654 0.24%:  a late
   1655 0.24%:  the last step in that
   1656 0.24%:  a message that ident
   1657 0.24%:  light that
   1658 0.24%:  a planet that existed
   1659 0.24%:  a date that says
   1660 0.24%:  the lights
   1661 0.24%:  a plane that
   1662 0.24%:  a planet that has dec
   1663 0.24%:  the thing that stays
   1664 0.24%:  the last thing that seeds
   1665 0.24%:  a taste
   1666 0.24%:  a land
   1667 0.24%:  that image
   1668 0.24%:  the last things that seem
   1669 0.24%:  a planet that says it made
   1670 0.24%:  that title
   1671 0.24%:  a final message the
   1672 0.24%:  hands
   1673 0.24%:  the same thing space
   1674 0.24%:  ha
   1675 0.24%:  the last dance that is
   1676 0.24%:  a place that managed
   1677 0.24%:  the last date at
   1678 0.24%:  the plan
   1679 0.24%:  the fact that saying
   1680 0.24%:  dest
   1681 1.26%:  destiny that
   1682 1.39%:  destiny that the
   1683 1.58%:  destiny that the last
   1684 0.29%:  destiny that the space
   1685 0.24%:  said the space
   1686 0.24%:  a stand
   1687 0.24%:  a sad planet
   1688 0.29%:  a sad planet that
   1689 0.24%:  the death spice
   1690 0.24%:  passing
   1691 0.52%:  passing the
   1692 0.24%:  sad.
   1693 0.24%:  since
   1694 0.24%:  a half
   1695 0.24%:  the last idea that gets
   1696 0.24%:  a planet that met
   1697 0.69%:  a planet that met its
   1698 0.35%:  a planet that met the
   1699 0.24%:  a death sh
   1700 0.24%:  sealed in a safe
   1701 0.23%:  a planet that gets sm
   1702 0.23%:  the last thing the mad
   1703 0.23%:  the thing that last
   1704 0.23%:  a planet that is the
   1705 0.23%:  a failed attempt at st
   1706 0.23%:  the last thing that say
   1707 0.23%:  a shame that the last
   1708 0.23%:  late and
   1709 0.23%:  an essay
   1710 0.23%:  a message that s
   1711 0.23%:  a deathless attempt at
   1712 0.23%:  the last at
   1713 0.23%:  a shame that this
   1714 0.23%:  the same as if
   1715 0.23%:  a death spasm against
   1716 0.23%:  its last dance
   1717 0.37%:  its last dance.
   1718 0.23%:  a l
   1719 0.88%:  a lament that
   1720 0.75%:  a lament that says
   1721 0.38%:  a lament that the
   1722 0.23%:  the dying c
   1723 0.23%:  a planet that has eyes
   1724 0.23%:  easily
   1725 0.23%:  at the speed
   1726 0.23%:  miles ahead
   1727 0.23%:  at the last
   1728 0.23%:  said that at least
   1729 0.23%:  a statement that is
   1730 0.23%:  the exact same light
   1731 0.59%:  the exact same light that
   1732 0.23%:  a last attempt at esc
   1733 0.23%:  these things
   1734 0.23%:  a last ditch message that they
   1735 0.23%:  fatal
   1736 0.23%:  shame
   1737 0.23%:  as if the planet as
   1738 0.23%:  a message at
   1739 0.23%:  nice that the galaxy has
   1740 0.70%:  nice that the galaxy has a
   1741 0.22%:  late.
   1742 0.22%:  a last sigh that
   1743 0.22%:  a last attempt at exchange
   1744 0.22%:  the last des
   1745 0.22%:  a sigh that last
   1746 0.22%:  the thing the al
   1747 0.22%:  that this
   1748 0.22%:  the last time that can
   1749 0.22%:  the final day
   1750 0.22%:  distance
   1751 0.22%:  a message that in the last
   1752 0.22%:  the planet that c
   1753 0.22%:  the last that da
   1754 0.22%:  a fatalism that says
   1755 0.22%:  a message that it
   1756 0.22%:  that thing that seems
   1757 0.22%:  a cassette.
   1758 0.22%:  the c
   1759 0.22%:  eating
   1760 0.22%:  the impact
   1761 0.22%:  the example
   1762 0.22%:  an easy
   1763 0.22%:  a fate
   1764 0.22%:  the same as teaching
   1765 0.22%:  a planet that this
   1766 0.22%:  the same as the dying
   1767 0.22%:  a tiny seed
   1768 0.25%:  a tiny seed that
   1769 0.22%:  playing at
   1770 0.22%:  a list
   1771 0.22%:  the damage
   1772 0.22%:  safe
   1773 0.22%:  the last stand.
   1774 0.22%:  as if the end
   1775 0.22%:  a planet that has said that
   1776 0.22%:  a death metal
   1777 0.22%:  a claim
   1778 0.29%:  a claim that
   1779 0.22%:  the planet that says this.
   1780 0.22%:  a family
   1781 0.22%:  in the exact
   1782 0.22%:  the sign
   1783 0.22%:  the same thing that led
   1784 0.22%:  the idea that the last
   1785 0.22%:  the last speech that
   1786 0.22%:  the ant
   1787 0.22%:  things
   1788 0.22%:  a light that
   1789 0.22%:  a name
   1790 0.23%:  a name that
   1791 0.22%:  a deeply
   1792 0.22%:  the exact same day
   1793 0.50%:  the exact same day as
   1794 0.39%:  the exact same day as this
   1795 0.26%:  the exact same day that
   1796 0.22%:  played against
   1797 0.22%:  that dating
   1798 0.22%:  the final step
   1799 0.22%:  the last gift that
   1800 0.22%:  a plea made
   1801 0.22%:  less that
   1802 0.22%:  a message that da
   1803 0.22%:  a case
   1804 0.22%:  in space
   1805 0.22%:  a planet that gets a
   1806 0.22%:  the last attempt each and
   1807 0.22%:  a message in case
   1808 0.22%:  a message that aliens that
   1809 0.22%:  the systematic
   1810 0.22%:  the taste
   1811 0.21%:  a message that this place
   1812 0.21%:  a last attempt against
   1813 0.21%:  the mental
   1814 0.21%:  the signal the
   1815 0.21%:  mainly that
   1816 0.21%:  a planet that has mis
   1817 0.21%:  a final death gas
   1818 0.21%:  the design
   1819 0.21%:  pathetic and self
   1820 0.21%:  a species at
   1821 0.24%:  a species at the last
   1822 0.21%:  the cass
   1823 0.94%:  the cassette that
   1824 0.66%:  the cassette in
   1825 0.37%:  the cassette that plays
   1826 0.43%:  the cassette that plays in
   1827 0.24%:  the cassette playing
   1828 0.21%:  endless
   1829 0.21%:  a death spasm lasting
   1830 0.21%:  a final message that has the
   1831 0.21%:  a message that if they
   1832 0.21%:  the cl
   1833 0.21%:  a cassette tape fast
   1834 0.21%:  the ch
   1835 0.21%:  a message that explains at
   1836 0.21%:  eaten
   1837 0.21%:  a message that at
   1838 0.56%:  a message that at the
   1839 0.54%:  a message that at least
   1840 0.41%:  a message that at the last
   1841 0.21%:  that time.
   1842 0.21%:  a giant spaces
   1843 0.21%:  a planet that defect
   1844 0.21%:  a last ditch message.
   1845 0.21%:  a final message as
   1846 0.21%:  nice that al
   1847 0.21%:  the date that passes
   1848 0.21%:  as if these
   1849 0.21%:  the thing a
   1850 0.21%:  the last thing that as
   1851 0.21%:  the sm
   1852 0.21%:  a message a planet is
   1853 0.21%:  the date that shapes
   1854 0.21%:  a plea against the death that
   1855 0.21%:  the last act in
   1856 0.74%:  the last act in the
   1857 0.21%:  the same as it
   1858 0.21%:  the deathless
   1859 0.21%:  exactly the same as that.
   1860 0.21%:  the last ditty
   1861 0.21%:  the night
   1862 0.57%:  the nightma
   1863 0.21%:  the last faint
   1864 0.44%:  the last faint message
   1865 0.21%:  that last message that ha
   1866 0.21%:  a fatal disease that came
   1867 0.21%:  a planet that has aged
   1868 0.21%:  the last high
   1869 0.21%:  a selfie
   1870 0.21%:  my life
   1871 0.21%:  a planet that def
   1872 0.21%:  the last space
   1873 0.21%:  a text file
   1874 0.21%:  a plea that may
   1875 0.21%:  a message that the distant
   1876 0.21%:  the last time the hand
   1877 0.21%:  in the same galaxy that has
   1878 0.21%:  a sad place
   1879 0.21%:  shitty
   1880 0.20%:  the last time each and
   1881 0.20%:  if
   1882 0.20%:  the last time a spaces
   1883 0.20%:  the exact same as that last
   1884 0.20%:  said that as they
   1885 0.20%:  the last thing the mass
   1886 0.20%:  a last gasp at the dance
   1887 0.20%:  the last dance they
   1888 0.20%:  a shame that despite
   1889 0.20%:  a cassette in
   1890 0.25%:  a cassette in the
   1891 0.20%:  a planet that says this at
   1892 0.20%:  a plane that says
   1893 0.20%:  a plea that distances
   1894 0.20%:  the last ext
   1895 0.20%:  a message p
   1896 0.20%:  metal
   1897 0.20%:  death.
   1898 0.20%:  a planet that has said the exact
   1899 0.20%:  the last time and space
   1900 0.20%:  these final
   1901 0.20%:  a message left at
   1902 0.20%:  the thing that passes
   1903 0.20%:  the last thing the fate
   1904 0.20%:  d
   1905 0.20%:  the exact thing they
   1906 0.20%:  the last time a dance
   1907 0.20%:  the l
   1908 3.18%:  the lament
   1909 0.46%:  the lament that
   1910 0.22%:  the lament that says
   1911 0.20%:  a dance that lasts the
   1912 0.20%:  a planet that gets this
   1913 0.20%:  that damn
   1914 0.20%:  said that the galaxy has spent
   1915 0.20%:  a final death message
   1916 0.20%:  the spaces
   1917 0.20%:  dying last
   1918 0.20%:  the planet that dies.
   1919 0.20%:  that distant
   1920 0.20%:  the same as dying
   1921 0.20%:  at least an
   1922 0.20%:  the last dance that says
   1923 0.20%:  that instead
   1924 0.20%:  analytics
   1925 0.20%:  a line that
   1926 0.57%:  a line that says
   1927 0.20%:  fine
   1928 0.22%:  fine.
   1929 0.20%:  a land that
   1930 0.22%:  a land that says
   1931 0.20%:  a fact
   1932 0.20%:  in a sealed
   1933 0.20%:  a text that
   1934 0.20%:  nice the
   1935 0.20%:  an attempt at flight
   1936 0.20%:  said that the last gas
   1937 0.20%:  the thing that came
   1938 0.20%:  the last they can get
   1939 0.20%:  a planet that has the gift
   1940 0.20%:  a plea against the heat
   1941 0.20%:  the last inc
   1942 0.20%:  the last death
   1943 0.26%:  the last death gas
   1944 0.20%:  that message
   1945 0.20%:  the last empty
   1946 0.89%:  the last empty thing
   1947 0.59%:  the last empty dance
   1948 0.20%:  the last thing space has
   1949 0.20%:  the last time that each
   1950 0.40%:  the last time that each and
   1951 0.20%:  at the end
   1952 0.20%:  the last date that is
   1953 0.20%:  said that the anc
   1954 0.20%:  a tiny metal spaces
   1955 0.20%:  a last step
   1956 0.20%:  the last sym
   1957 1.76%:  the last sympathetic
   1958 0.20%:  a planet that has cast
   1959 0.41%:  a planet that has cast aside
   1960 0.36%:  a planet that has cast aside the
   1961 0.20%:  that last and that
   1962 0.20%:  a plea that might yet
   1963 0.20%:  the path
   1964 0.20%:  the message at
   1965 0.20%:  a last gasp at excitement
   1966 0.20%:  the fact that the galaxy
   1967 0.60%:  the fact that the galaxy is
   1968 0.20%:  a dance that gets
   1969 0.20%:  a failed attempt at esc
   1970 0.20%:  a sing
   1971 0.20%:  facing
   1972 0.20%:  a might
   1973 0.20%:  the last that made
   1974 0.19%:  a plea against death.
   1975 0.19%:  said that the legacy
   1976 0.19%:  a final message that death
   1977 0.19%:  the exact last
   1978 0.49%:  the exact last thing they
   1979 0.31%:  the exact last thing a
   1980 0.30%:  the exact last thing the
   1981 0.19%:  the light
   1982 0.21%:  the lightest
   1983 0.19%:  a plea that they
   1984 0.26%:  a plea that they might
   1985 0.19%:  the last date that any
   1986 0.19%:  a cassette tape that fails
   1987 0.19%:  a final death sh
   1988 0.19%:  a final attempt that says
   1989 0.19%:  the exact thing that leads
   1990 0.19%:  the last means
   1991 0.19%:  a legacy
   1992 0.19%:  the last time at
   1993 0.19%:  my idea
   1994 0.19%:  a step
   1995 0.19%:  a message that isn
   1996 0.19%:  a cassette tape if
   1997 0.19%:  said that each galaxy
   1998 0.39%:  said that each galaxy has
   1999 0.19%:  a cassette tape flying
   2000 0.19%:  the last st
   2001 0.39%:  the last stitch
   2002 0.19%:  a message that is exactly
   2003 0.19%:  a planet that is that
   2004 0.19%:  a plea against the fact
   2005 0.19%:  the special
   2006 0.19%:  the image
   2007 0.19%:  the last dance it
   2008 0.19%:  a message that has exactly
   2009 0.19%:  a single ch
   2010 0.19%:  a final text
   2011 19.19%:  a final text message that
   2012 0.19%:  nice that they lasted
   2013 0.19%:  a final text message.
   2014 0.19%:  a fatal message that ends
   2015 0.19%:  that last date in
   2016 0.42%:  that last date in the
   2017 0.19%:  a needless
   2018 0.19%:  a plea that means
   2019 0.19%:  the last thing ahead
   2020 0.19%:  help
   2021 0.40%:  help that
   2022 0.23%:  help that can
   2023 0.19%:  the theme
   2024 0.19%:  the final act that
   2025 0.19%:  the last it can say that
   2026 0.19%:  a planet that has met death
   2027 0.19%:  nice that at least my
   2028 0.19%:  a planet that mis
   2029 0.19%:  a planet that misses a
   2030 0.19%:  a flash
   2031 0.19%:  nice that my
   2032 0.19%:  nice that they made
   2033 0.19%:  the an
   2034 0.35%:  the anthem that
   2035 0.19%:  the elephant at
   2036 0.19%:  a failed attempt that says
   2037 0.19%:  the end game
   2038 0.19%:  the last act that any
   2039 0.19%:  the last ten
   2040 0.19%:  the last dance that exists
   2041 0.19%:  the climate
   2042 0.19%:  the gentle
   2043 0.19%:  the last dash
   2044 0.19%:  the last thing the day
   2045 0.19%:  the final gasps
   2046 0.19%:  a last defence
   2047 0.19%:  the same sad
   2048 0.19%:  a signal that says that the
   2049 0.19%:  the last date this
   2050 0.19%:  a message that plants
   2051 0.21%:  a message that plants the
   2052 0.19%:  a planet that is fast
   2053 0.19%:  the last an
   2054 0.37%:  the last anthem that
   2055 0.19%:  aliens that get
   2056 0.19%:  the last things my
   2057 0.19%:  my least
   2058 0.19%:  a meta
   2059 0.19%:  passed the
   2060 0.18%:  that and the message
   2061 0.18%:  left
   2062 0.21%:  left in
   2063 0.18%:  a planet that faces
   2064 1.45%:  a planet that faces death
   2065 0.46%:  a planet that faces the
   2066 0.25%:  a planet that faces ext
   2067 0.19%:  a planet that faces a
   2068 0.18%:  a planet that is made
   2069 0.18%:  that last time the
   2070 0.18%:  the species that s
   2071 0.18%:  held
   2072 0.89%:  held in the same
   2073 0.19%:  held in the same caps
   2074 0.18%:  a species that ends
   2075 0.18%:  the attempt at
   2076 0.45%:  the attempt at a
   2077 0.22%:  the attempt at a final
   2078 0.18%:  a date night
   2079 0.19%:  a date night that
   2080 0.20%:  a date night that last
   2081 0.18%:  the exact same thing that plays
   2082 0.18%:  said they
   2083 0.18%:  a shame they
   2084 0.18%:  as if the galaxy has
   2085 0.22%:  as if the galaxy has a
   2086 0.18%:  the last in that
   2087 0.18%:  the last thing t
   2088 0.18%:  held in the space
   2089 0.18%:  the light that
   2090 0.18%:  the last send
   2091 0.18%:  the same as a
   2092 0.18%:  the day that changes
   2093 0.18%:  said that many
   2094 0.19%:  said that many space
   2095 0.18%:  the last things made
   2096 0.18%:  a planet the
   2097 0.18%:  that a
   2098 0.18%:  life
   2099 0.18%:  attached
   2100 0.18%:  a selfish act that
   2101 0.18%:  the animals
   2102 0.18%:  a death ple
   2103 0.18%:  the same thing as a last
   2104 0.18%:  the family
   2105 0.18%:  the last time change
   2106 0.18%:  the same as the saying
   2107 0.18%:  a shitty
   2108 0.18%:  the day the machines
   2109 0.18%:  the last data
   2110 0.18%:  said that the last sy
   2111 0.18%:  the last dance this
   2112 0.18%:  sad in
   2113 0.18%:  a planet that sc
   2114 0.18%:  an idea that may
   2115 0.18%:  the defeat
   2116 0.18%:  a cassette tape and that
   2117 0.18%:  a message that fin
   2118 0.18%:  exactly the same as in that
   2119 0.18%:  that the planet might
   2120 0.18%:  the pleading
   2121 0.18%:  a last night
   2122 0.18%:  in the last days
   2123 0.43%:  in the last days that
   2124 0.18%:  the last that ends the
   2125 0.18%:  less that the
   2126 0.18%:  in the message
   2127 0.18%:  in the message that
   2128 0.18%:  this planet that made
   2129 0.18%:  the distance that gets
   2130 0.18%:  a sympt
   2131 0.18%:  a date that means
   2132 0.18%:  a final death sp
   2133 0.20%:  a final death spasm.
   2134 0.18%:  that thing that feels
   2135 0.18%:  a last gift
   2136 0.18%:  the same if
   2137 0.18%:  a planet that set
   2138 0.37%:  a planet that set its
   2139 0.22%:  a planet that set aside
   2140 0.18%:  the last phase
   2141 0.18%:  the message that fin
   2142 0.18%:  the last dance at a mass
   2143 0.18%:  the exact same night that
   2144 0.18%:  an elegy that
   2145 0.18%:  that if the
   2146 0.18%:  said these
   2147 0.18%:  the fact that they
   2148 0.18%:  the fact that this galaxy
   2149 0.18%:  a final message that each
   2150 0.18%:  that the planet has
   2151 0.18%:  my feeling
   2152 0.17%:  a message and
   2153 0.17%:  the last gift that can
   2154 0.17%:  this date that the
   2155 0.17%:  the fact that in
   2156 0.17%:  this dance
   2157 0.17%:  a planet that d
   2158 0.17%:  a fine
   2159 0.17%:  a message a planet has
   2160 0.17%:  the message that is
   2161 0.17%:  the dying ple
   2162 0.17%:  this space
   2163 0.17%:  a message that since
   2164 0.17%:  the face
   2165 0.17%:  the last thing that says.
   2166 0.17%:  a message and it
   2167 0.17%:  a last stand that the
   2168 0.17%:  lasting
   2169 0.17%:  analytics that
   2170 0.17%:  the death spasm that last
   2171 0.17%:  a cassette playing
   2172 0.17%:  a cassette playing a
   2173 0.17%:  the setting
   2174 0.17%:  the last dang
   2175 0.17%:  the last dance that gets
   2176 0.17%:  a statement.
   2177 0.17%:  the message that if
   2178 0.17%:  the last things that a
   2179 0.17%:  a path
   2180 0.17%:  a last attempt at che
   2181 0.17%:  the last dance at this
   2182 0.17%:  the last it has
   2183 0.17%:  a message that can last
   2184 0.17%:  a special
   2185 0.22%:  a special day
   2186 0.17%:  a message that d
   2187 0.17%:  a plea that hasn
   2188 0.17%:  a message that if they can
   2189 0.17%:  a last stand that teaches
   2190 0.17%:  the message a
   2191 0.17%:  the last hint
   2192 0.18%:  the last hint that
   2193 0.17%:  the final p
   2194 0.17%:  a death sigh that
   2195 0.35%:  a death sigh that last
   2196 0.17%:  an ad
   2197 0.17%:  the planet that made it
   2198 0.17%:  a test message
   2199 0.20%:  a test message that
   2200 0.17%:  a dance that lasts the same
   2201 0.17%:  a death spasm.
   2202 0.17%:  a planet that sits at
   2203 0.17%:  said that as the tape
   2204 0.17%:  this sad
   2205 0.17%:  the last sc
   2206 0.17%:  the last date each
   2207 0.17%:  panic that
   2208 0.17%:  a planet that that
   2209 0.17%:  said that at the exact same
   2210 0.17%:  the signal that says the
   2211 0.17%:  a final message that they
   2212 0.17%:  the thing that lasts.
   2213 0.17%:  a death message in
   2214 0.17%:  said that the planets may
   2215 0.17%:  a saying that last
   2216 0.17%:  a cassette tape and it has a
   2217 0.17%:  a planet that has that
   2218 0.17%:  the last shit
   2219 0.17%:  at that time
   2220 0.17%:  self
   2221 0.17%:  the last gasp that the
   2222 0.17%:  the last thing that s
   2223 0.17%:  a failed act
   2224 0.17%:  the aliens that made
   2225 0.17%:  a pat
   2226 2.52%:  a pathetic last
   2227 1.63%:  a pathetic self
   2228 1.19%:  a pathetic last stand
   2229 1.11%:  a pathetic statement
   2230 0.69%:  a pathetic death
   2231 0.49%:  a pathetic and
   2232 0.36%:  a pathetic last message
   2233 0.36%:  a pathetic message
   2234 0.24%:  a pathetic last message.
   2235 0.24%:  a pathetic message that
   2236 0.17%:  the last gasp as
   2237 0.17%:  a planet that set the
   2238 0.17%:  a fatalism that ends
   2239 0.17%:  a selfie that
   2240 0.17%:  the last that shines
   2241 0.17%:  a text message
   2242 0.17%:  a failed ap
   2243 0.17%:  miles past
   2244 0.17%:  a date that explains
   2245 0.17%:  a message sp
   2246 0.17%:  the last pain
   2247 0.21%:  the last painst
   2248 0.17%:  the last sign that the
   2249 0.17%:  the ideal
   2250 0.17%:  the exact same as its
   2251 0.17%:  a text file attached
   2252 0.17%:  a planet that might say
   2253 0.17%:  patently
   2254 0.17%:  the plea that
   2255 0.17%:  a message that details
   2256 0.17%:  a planet that say
   2257 0.27%:  a planet that sayeth
   2258 0.17%:  a last ditch ext
   2259 0.17%:  this date that teaches
   2260 0.17%:  a planet sh
   2261 0.16%:  that last thing each
   2262 0.16%:  a statement that said
   2263 0.16%:  a feeling that death
   2264 0.16%:  a city
   2265 0.16%:  this place
   2266 0.16%:  a single day
   2267 0.16%:  the last he
   2268 0.16%:  the planet that is
   2269 0.16%:  said that as the heat
   2270 0.16%:  said that the planet came
   2271 0.16%:  a final date that
   2272 0.16%:  a plea that extends
   2273 0.16%:  said that the ph
   2274 0.16%:  the last dance it has
   2275 0.16%:  the same thing as spacefl
   2276 0.16%:  a sp
   2277 0.16%:  the static
   2278 0.16%:  the feelings
   2279 0.16%:  the last night that
   2280 0.16%:  mad
   2281 0.68%:  madness that
   2282 0.41%:  madness that the
   2283 0.20%:  madness that this
   2284 0.16%:  a legacy that
   2285 0.16%:  exactly the same in
   2286 0.16%:  late at night.
   2287 0.16%:  as delicate
   2288 0.16%:  a last stand that may
   2289 0.16%:  a last ditch pass at a
   2290 0.16%:  the same plea as this
   2291 0.16%:  a cassette that plays a
   2292 0.16%:  late in the 
   2293 0.16%:  a lasting
   2294 0.16%:  a planet that has made its case
   2295 0.16%:  that last thing the
   2296 0.16%:  a last gasp as
   2297 0.32%:  a last gasp as the
   2298 0.16%:  a dest
   2299 0.16%:  the insects that
   2300 0.16%:  the same day
   2301 0.16%:  the last time the gas
   2302 0.16%:  the last that any
   2303 0.76%:  the last that any species
   2304 0.16%:  a message if
   2305 0.16%:  the last that it
   2306 0.16%:  he
   2307 0.16%:  a last gasp at an
   2308 0.16%:  as the last
   2309 0.16%:  said that as they left
   2310 0.16%:  the same day that
   2311 0.32%:  the same day that the
   2312 0.28%:  the same day that the last
   2313 0.16%:  a d
   2314 0.17%:  a dyst
   2315 0.16%:  a late night
   2316 0.16%:  excitement
   2317 0.16%:  mixed
   2318 0.16%:  a simple and yet
   2319 0.16%:  a text file named
   2320 0.16%:  that same
   2321 0.16%:  the last thing the empty
   2322 0.16%:  a message that pleads in
   2323 0.16%:  a last message in the
   2324 0.16%:  the last thing that da
   2325 0.16%:  the end that
   2326 0.16%:  in the same place as
   2327 0.16%:  the climax that
   2328 0.16%:  a fail
   2329 0.16%:  last dance
   2330 0.16%:  the same thing as the 
   2331 0.16%:  the please
   2332 0.16%:  a space age
   2333 0.16%:  a pitch that
   2334 0.16%:  a pitch that ends
   2335 0.16%:  deathless.
   2336 0.16%:  a pain that
   2337 0.16%:  the last thing the sm
   2338 0.16%:  the last time the ang
   2339 0.16%:  explained a
   2340 0.16%:  the same last gas
   2341 0.16%:  a fist
   2342 0.16%:  a planet that has made its fate
   2343 0.16%:  the last times
   2344 0.16%:  a claim that the
   2345 0.16%:  nice that at least at
   2346 0.16%:  the final ap
   2347 0.16%:  as if the planet has a head
   2348 0.16%:  the last die
   2349 0.16%:  the last that says it
   2350 0.16%:  the same as the signal
   2351 0.16%:  in that last
   2352 0.58%:  in that last message
   2353 0.16%:  the date is
   2354 0.16%:  the endless
   2355 0.16%:  the day that the planet is
   2356 0.16%:  if the
   2357 0.16%:  the last man
   2358 0.16%:  the last fight
   2359 0.16%:  a planet that is the exact
   2360 0.16%:  the date that gets
   2361 0.16%:  that and this
   2362 0.16%:  the last chants
   2363 0.16%:  a place that said
   2364 0.15%:  a planet that says it has a
   2365 0.15%:  the last thing the spacef
   2366 0.15%:  as if the planet has a date
   2367 0.15%:  nice they
   2368 0.15%:  a planet that chases
   2369 0.15%:  the pitch
   2370 0.15%:  the lengths
   2371 0.15%:  the final em
   2372 0.15%:  an attempt at a legacy
   2373 0.15%:  a simple dance
   2374 0.15%:  the last date in a
   2375 0.15%:  as if the last man
   2376 0.15%:  a death spasm in the face
   2377 0.15%:  the last that made the
   2378 0.15%:  a final message that that
   2379 0.15%:  a tale that
   2380 0.22%:  a tale that ends
   2381 0.15%:  the last thing the cy
   2382 0.15%:  the same thing the al
   2383 0.15%:  a planet that had a message
   2384 0.15%:  a death sigh that says
   2385 0.15%:  the last thing the cat
   2386 0.15%:  the last faint message that
   2387 0.15%:  alienated
   2388 0.15%:  said that the mel
   2389 0.15%:  the aliens that say
   2390 0.15%:  in the galaxy
   2391 0.15%:  a smile
   2392 0.15%:  a planet that has attached
   2393 0.15%:  a signal that sp
   2394 0.15%:  the deep
   2395 0.15%:  said that the last page
   2396 0.15%:  a planet that imag
   2397 0.15%:  a test that
   2398 0.23%:  a test that says
   2399 0.15%:  nice that they made a
   2400 0.15%:  a message that pleads in a
   2401 0.15%:  a planet that faces its
   2402 0.15%:  the placement
   2403 0.15%:  in the same style
   2404 0.15%:  set in
   2405 0.15%:  a planet that might as
   2406 0.15%:  sad that the last thing my
   2407 0.15%:  a last stand at
   2408 1.84%:  a last stand at the gates
   2409 0.30%:  a last stand at the gate
   2410 0.30%:  a last stand at the highest
   2411 0.15%:  the last ex
   2412 0.26%:  the last exting
   2413 0.15%:  the last dat
   2414 0.15%:  a panic that
   2415 0.15%:  the last act a
   2416 0.18%:  the last act a dying
   2417 0.15%:  the last thing that esc
   2418 0.35%:  the last thing that escapes my
   2419 0.15%:  exactly the same as its
   2420 0.15%:  at the height
   2421 0.15%:  a date that might
   2422 0.15%:  a last gasp and
   2423 0.15%:  a planet as
   2424 0.15%:  a final message that say
   2425 0.15%:  a last attempt at any
   2426 0.15%:  the last piece that stays
   2427 0.15%:  that time that
   2428 0.43%:  that time that passes
   2429 0.15%:  the same as saying the
   2430 0.15%:  me playing
   2431 0.15%:  that last thing they made
   2432 0.15%:  left in the empty
   2433 0.15%:  a message that at last
   2434 0.15%:  the last path
   2435 0.15%:  the exact same thing as a last
   2436 0.15%:  a means
   2437 0.15%:  the last date that can
   2438 0.15%:  said that the sp
   2439 0.15%:  a t
   2440 0.15%:  as if the planet that made
   2441 0.15%:  a message that y
   2442 0.15%:  the same space
   2443 0.15%:  analysis
   2444 0.15%:  an epic tale that
   2445 0.15%:  the last thing the apes say
   2446 0.15%:  that they
   2447 0.15%:  the last message a din
   2448 0.15%:  a message that as
   2449 0.15%:  a saying that has
   2450 0.15%:  said that the same
   2451 0.26%:  said that the same planet
   2452 0.15%:  the last time space
   2453 0.15%:  a pathetic last gas
   2454 0.15%:  exactly the same thing at
   2455 0.15%:  the last essay
   2456 0.15%:  the life
   2457 0.15%:  the final test.
   2458 0.15%:  a planet that says at this
   2459 0.15%:  the last text in
   2460 0.15%:  p
   2461 0.15%:  a dance that lasts a
   2462 0.15%:  a planet at its
   2463 0.18%:  a planet at its death
   2464 0.15%:  said that that
   2465 0.21%:  said that that planet
   2466 0.15%:  a glimpse at the end
   2467 0.15%:  failed.
   2468 0.15%:  an attempt at a last d
   2469 0.15%:  the last safe
   2470 0.29%:  the last safe thing
   2471 0.15%:  a settlement
   2472 0.15%:  the last empathy
   2473 0.15%:  the change
   2474 0.15%:  the plea that says
   2475 0.15%:  as if the planet made
   2476 0.15%:  a planet ch
   2477 0.15%:  a sampling
   2478 0.15%:  the play
   2479 0.15%:  the last thing c
   2480 0.15%:  as sad as the
   2481 0.15%:  a species that has the
   2482 0.15%:  stayed
   2483 0.15%:  a lament that is
   2484 0.15%:  said that at the same
   2485 0.15%:  the last gasp that ends
   2486 0.21%:  the last gasp that ends the
   2487 0.15%:  stayed the
   2488 0.37%:  stayed the same this
   2489 0.15%:  as if the last gas
   2490 0.15%:  the last damn
   2491 0.15%:  the last spit and
   2492 0.15%:  the last def
   2493 1.30%:  the last defiant act
   2494 0.22%:  the last defiant gas
   2495 0.15%:  the last piece that stands
   2496 0.15%:  the dying sh
   2497 0.15%:  at least 
   2498 0.15%:  the last that is sent
   2499 0.15%:  a dash
   2500 0.15%:  the last name
   2501 0.15%:  a machine
   2502 0.18%:  a machine that
   2503 0.52%:  a machine that plays
   2504 0.15%:  a planet that has had it
   2505 0.15%:  space metal
   2506 0.14%:  the final message that ha
   2507 0.14%:  the nightly
   2508 0.14%:  galaxy
   2509 0.14%:  the signal that the
   2510 0.14%:  the last act that seems
   2511 0.14%:  said that a message
   2512 0.14%:  a pathetic message.
   2513 0.14%:  a death spasm that can
   2514 0.14%:  the same as eating
   2515 0.14%:  a message that said
   2516 0.14%:  a planet that hits
   2517 0.36%:  a planet that hits the
   2518 0.14%:  a statement that says if al
   2519 0.14%:  the anthem that says
   2520 0.14%:  a fatal message in
   2521 0.14%:  s
   2522 0.14%:  the last thing a mess
   2523 0.14%:  less than that
   2524 0.15%:  less than that.
   2525 0.14%:  the same as the thing
   2526 0.14%:  the final message that as
   2527 0.14%:  the last date in space
   2528 0.14%:  the final page
   2529 0.14%:  seems
   2530 0.14%:  the playing
   2531 0.14%:  as simple as a
   2532 0.14%:  the idea that the galaxy can
   2533 0.14%:  this last that
   2534 0.14%:  the message in that
