now I'm certain of it. I am speaking of the ninja teen.
      0 100.00%: 
      1 87.82%:  that
   1417 1.05%:  I know that's gonna
   1418 1.08%:  I know that's gonna come
   1419 1.05%:  I think I secret
   1420 1.05%:  I think it's time for me to nap now.
   1421 1.05%:  I'm not gonna finish
   1422 1.05%:  now this
   1423 1.05%:  I'm not certain that I wasn
   1424 1.05%:  that's no
   1425 1.05%:  now it's time to get
   1426 1.05%:  I was hoping to
   1427 1.05%:  I want to paint again som
   1428 1.05%:  it's time for me to join
   1429 1.05%:  I promise I'm not the
   1430 1.04%:  I think I'm gonna paint it now
   1431 1.04%:  that means I can't go
   1432 1.04%:  that isn't a
   1433 1.04%:  I can't imagine what I meant to
   1434 1.04%:  I'm gonna stop the
   1435 1.04%:  the reason I'm not making
   1436 1.04%:  there was no paint
   1437 1.04%:  I think it was meant
   1438 1.04%:  now I'm reg
   1439 1.04%:  I'm gonna stop there now
   1440 1.04%:  I think it was intent
   1441 1.03%:  it was me that
   1442 1.03%:  I forgot to paint the nin
   1443 2.06%:  I forgot to paint the ninja mask
   1444 1.03%:  that was a met
   1445 1.03%:  I'm gonna stop now.
   1446 1.03%:  I'm a
   1447 1.27%:  I'm a grown
   1448 1.03%:  I went
   1449 1.03%:  that's not part
   1450 1.03%:  I think I want some more
   1451 1.03%:  I think it was orange
   1452 1.03%:  I'm not so
   1453 1.38%:  I'm not so certain
   1454 1.03%:  I'm gonna keep that a
   1455 3.05%:  I'm gonna keep that a secret now
   1456 2.17%:  I'm gonna keep that a secret.
   1457 1.51%:  I'm gonna keep that a secret to
   1458 1.29%:  I'm gonna keep that a secret if
   1459 1.03%:  that makes me a giant
   1460 1.03%:  that's me making
   1461 1.67%:  that's me making a conf
   1462 1.03%:  I forgot to paint him in
   1463 1.02%:  I spent three
   1464 1.02%:  I wrote
   1465 1.36%:  I wrote this
   1466 1.02%:  since we're mention
   1467 1.02%:  I'm not certain if I want
   1468 1.07%:  I'm not certain if I want to keep
   1469 1.02%:  since we're keeping
   1470 1.02%:  after that came
   1471 1.01%:  after that I was too
   1472 1.01%:  now it's making
   1473 1.01%:  that's canon now.
   1474 1.01%:  I'm aware that makes no
   1475 1.01%:  that's gonna make
   1476 1.01%:  then I got
   1477 1.01%:  I'm not certain that making
   1478 1.01%:  there's a conf
   1479 1.01%:  I think it's time for me go paint now
   1480 1.01%:  that's proof of
   1481 1.01%:  it's time for me to go face
   1482 1.01%:  that's me confirm
   1483 1.01%:  I think I'm gonna paint a monster
   1484 1.00%:  I think if someone were
   1485 1.37%:  I think if someone were to paint
   1486 1.00%:  there it is. I
   1487 1.00%:  that's not a point
   1488 1.00%:  it's gonna take more than me
   1489 1.00%:  I can't promise that none
   1490 1.00%:  it's time for me to thank
   1491 1.00%:  now I'm making that
   1492 1.43%:  now I'm making that conf
   1493 1.00%:  I think I pe
   1494 1.00%:  I think I'm gonna paint a new one.
   1495 1.00%:  I'm the first one
   1496 8.12%:  I'm the first one to mention
   1497 2.36%:  I'm the first one to notice
   1498 2.02%:  I'm the first one to point
   1499 1.57%:  I'm the first one to paint
   1500 1.00%:  I keep
   1501 2.08%:  I keep forget
   1502 1.94%:  I keep that
   1503 4.09%:  I keep that secret
   1504 1.32%:  I keep that conf
   1505 1.20%:  I keep that secret to
   1506 1.00%:  I forgot what it
   1507 1.00%:  now there
   1508 1.62%:  now there's no
   1509 4.06%:  now there's no point
   1510 1.79%:  now there's no point in me
   1511 1.08%:  now there's no point in making
   1512 1.00%:  now I'm gonna paint the
   1513 1.00%:  now I'm certain he
   1514 1.00%:  that's on me
   1515 0.99%:  I'm wearing
   1516 0.99%:  that one's not gonna
   1517 0.99%:  I think I went
   1518 0.99%:  I can't think of a worse time
   1519 0.99%:  I think it's coming
   1520 0.99%:  I think it's fair to point
   1521 0.99%:  that one was intent
   1522 0.99%:  there's no point in making it a
   1523 0.99%:  I know he's not a
   1524 2.22%:  I know he's not a painter
   1525 1.07%:  I know he's not a painter.
   1526 0.99%:  now it's time to paint a
   1527 0.99%:  I know it's gonna
   1528 0.99%:  I think I want to paint again for some
   1529 0.99%:  I'm gonna throw
   1530 0.99%:  I forgot what I meant
   1531 0.99%:  I was nine
   1532 2.30%:  I was nine the
   1533 0.99%:  I'm not certain what it
   1534 0.99%:  I'm taking
   1535 2.51%:  I'm taking that
   1536 1.26%:  I'm taking this
   1537 0.98%:  now I'm gonna paint some
   1538 0.98%:  I forgot what point
   1539 0.98%:  I think it was one
   1540 0.98%:  he's wearing pink
   1541 0.98%:  it makes perfect
   1542 0.98%:  I think it's time I grew
   1543 0.98%:  I think I'm past
   1544 0.98%:  now it's time for me to pack
   1545 0.98%:  I think I'm gonna come
   1546 0.98%:  it's gonna take more than a few of
   1547 0.97%:  I'm not gonna mention the paint
   1548 0.97%:  now I'm making a
   1549 0.97%:  I forgot to paint its face
   1550 0.97%:  I'm not the first
   1551 1.99%:  I'm not the first one
   1552 6.59%:  I'm not the first one to make
   1553 1.42%:  I'm not the first to make
   1554 0.97%:  it gets
   1555 0.97%:  that means I can't take
   1556 0.97%:  it was at
   1557 0.97%:  I think I'm gonna paint in
   1558 0.97%:  then I went on
   1559 0.96%:  that's a joke
   1560 0.96%:  that makes me a perfect
   1561 0.96%:  I think I mean
   1562 0.96%:  I think it's time I go paint a
   1563 0.96%:  that makes it more
   1564 0.96%:  that means I know more
   1565 0.96%:  if that's not a great
   1566 0.96%:  I'm writing
   1567 1.54%:  I'm writing this in
   1568 1.45%:  I'm writing this conf
   1569 0.96%:  I'm not gonna stop here
   1570 0.96%:  I think it's time I went for
   1571 0.95%:  that one time someone
   1572 0.95%:  somehow it
   1573 0.95%:  that means I'm now
   1574 0.95%:  that is not an
   1575 0.95%:  I'm gonna keep this one
   1576 0.95%:  I'm certain he
   1577 1.32%:  I'm certain he was
   1578 0.95%:  I think it's time for me to win a
   1579 0.95%:  that someone
   1580 0.95%:  it was in finger
   1581 2.27%:  it was in finger paint
   1582 2.03%:  it was in finger pain
   1583 1.98%:  it was in finger paint.
   1584 0.95%:  I'm certain that makes it
   1585 0.94%:  I think I'm gonna paint for
   1586 0.94%:  I'm not certain if that means I win
   1587 0.94%:  now I think it's time to come
   1588 0.94%:  that means we're gonna
   1589 0.94%:  it's time for me to open
   1590 0.94%:  I think it's time for me to go win
   1591 0.94%:  I'm aware that makes it
   1592 0.94%:  I can promise
   1593 1.50%:  I can promise that
   1594 0.94%:  that part'
   1595 1.61%:  that part's not
   1596 0.94%:  I think it's gonna rain
   1597 0.94%:  that was a great conf
   1598 0.94%:  that was me in
   1599 0.94%:  I'm not gonna mention that since
   1600 0.94%:  I'm not gonna mention where I keep it
   1601 0.94%:  that was coming
   1602 0.94%:  there wasn
   1603 0.93%:  I'm certain it
   1604 1.81%:  I'm certain it was the
   1605 1.30%:  I'm certain it was the one
   1606 0.93%:  I'm not certain I want to go
   1607 0.93%:  now I'm imag
   1608 0.93%:  it took
   1609 2.62%:  it took me three
   1610 2.46%:  it took me three times
   1611 1.11%:  it took me a
   1612 0.98%:  it took me fifteen
   1613 0.93%:  I promise I won't take
   1614 0.93%:  it's time for me to wake
   1615 0.93%:  I think I want to go paint more
   1616 0.93%:  it was meant
   1617 0.93%:  we're not gonna mention the fact I
   1618 0.93%:  I think it's time I re
   1619 0.93%:  I think it's time to conf
   1620 0.93%:  that's making
   1621 0.93%:  I can't imagine what master
   1622 0.93%:  I promise I won't mention it the
   1623 0.93%:  that one time I spent
   1624 0.93%:  that's not gonna come
   1625 0.93%:  I'm not certain if that means I know
   1626 0.93%:  now the
   1627 3.06%:  now the secret
   1628 0.93%:  I'm so
   1629 0.92%:  now this entire
   1630 0.92%:  I want to paint the
   1631 0.92%:  it's not the green
   1632 2.19%:  it's not the green one.
   1633 0.92%:  I know I'm not the most
   1634 0.92%:  I think it's time to rep
   1635 0.92%:  I wrote that in
   1636 0.92%:  I think it's time to go on
   1637 0.92%:  I'm gonna keep that in
   1638 0.92%:  no
   1639 0.92%:  now it's time for me to take an
   1640 0.92%:  he's wearing a nin
   1641 0.91%:  again
   1642 0.91%:  now it's time for me to get in
   1643 0.91%:  I know he's not canon
   1644 0.91%:  I want to go paint
   1645 1.05%:  I want to go paint another
   1646 0.91%:  I think it's time for me to go we
   1647 0.91%:  that was not a recent
   1648 0.91%:  I can't promise not
   1649 1.30%:  I can't promise not to make
   1650 2.81%:  I can't promise not to make the
   1651 0.91%:  I meant the
   1652 0.91%:  now I'm gonna paint that
   1653 1.14%:  now I'm gonna paint that scene
   1654 0.91%:  I'm not coming
   1655 0.91%:  the entire point
   1656 0.91%:  there's no ap
   1657 0.91%:  if that was
   1658 0.91%:  I think it was meant for
   1659 0.91%:  I'm not certain that speaking
   1660 0.91%:  I'm not gonna repeat
   1661 1.10%:  I'm not gonna repeat that conf
   1662 0.91%:  now it's time for conf
   1663 0.90%:  I think it's time for me to go pee.
   1664 0.90%:  that makes no
   1665 0.90%:  it's not a
   1666 1.74%:  it's not a conf
   1667 0.90%:  not that
   1668 0.90%:  here I come
   1669 0.90%:  that's pro
   1670 0.90%:  I'm not certain how to
   1671 0.90%:  I think I'm not gonna paint for a few
   1672 0.90%:  I think I spent more time fant
   1673 0.90%:  now it's time for me to p
   1674 0.90%:  I am not
   1675 2.27%:  I am not ash
   1676 0.90%:  I am not certain
   1677 2.18%:  I am not certain that
   1678 0.90%:  I mean
   1679 1.00%:  I mean that
   1680 0.90%:  on
   1681 17.44%:  on that note I
   1682 51.29%:  on that note I'm gonna
   1683 50.73%:  on that note I'm gonna paint
   1684 10.74%:  on that note I'm off
   1685 6.09%:  on that note I'm gonna take
   1686 6.06%:  on that note I'm gonna paint a
   1687 5.05%:  on that note I'm gonna paint a new
   1688 4.67%:  on that note I'm gonna wrap
   1689 4.35%:  on that note I'm gonna eat
   1690 3.58%:  on that note I am
   1691 3.09%:  on that note I'm gonna write
   1692 2.27%:  on that topic
   1693 2.06%:  on that note I'm gonna wrap it
   1694 1.43%:  on that note I'm gonna make
   1695 1.43%:  on that note I'm taking
   1696 1.40%:  on that note I'm gonna paint in
   1697 1.30%:  on that note I'm gonna paint me
   1698 1.17%:  on that point
   1699 1.03%:  on that note I'm gonna step
   1700 0.96%:  on that note.
   1701 0.89%:  I think I want to remain
   1702 0.89%:  I know that means
   1703 1.04%:  I know that means I'm not
   1704 0.89%:  I think I'm gonna paint a master
   1705 0.89%:  now I think it's time to face
   1706 0.89%:  now I'm confirm
   1707 0.89%:  it's time to go paint
   1708 0.89%:  I know I'm not the first to imagine a
   1709 0.89%:  I'm wearing the
   1710 1.80%:  I'm wearing the same
   1711 0.89%:  that's me in
   1712 0.89%:  it's not coming from
   1713 0.89%:  these
   1714 0.89%:  I forgot that was
   1715 0.89%:  that's not an ego
   1716 0.89%:  that image
   1717 0.93%:  that image is now
   1718 0.89%:  I'm not certain if the
   1719 0.89%:  I'm certain that was not a
   1720 0.89%:  I'm not certain of what
   1721 0.89%:  I spent a
   1722 0.89%:  I think I'm gonna paint it soon
   1723 0.89%:  that makes me want to re
   1724 0.89%:  I can't think of a reason to
   1725 1.52%:  I can't think of a reason to paint
   1726 0.88%:  that one time I wrote a song
   1727 0.88%:  now I'm ram
   1728 0.88%:  I think I was project
   1729 0.88%:  I think I forgot to eat
   1730 0.88%:  I think it's time for an ap
   1731 0.88%:  now I'm certain.
   1732 0.88%:  I know that if someone
   1733 0.88%:  that is now
   1734 0.88%:  I was too
   1735 0.88%:  that's gonna take me
   1736 0.88%:  I'm gonna keep that a secret if it
   1737 0.88%:  I can't promise that it won
   1738 0.88%:  I think it's time for a nap. I
   1739 0.88%:  that was a recent
   1740 0.88%:  it makes me want
   1741 4.91%:  it makes me want to paint
   1742 0.88%:  I think I'm gonna write it
   1743 0.88%:  I can't imagine a
   1744 1.96%:  I can't imagine a more
   1745 1.43%:  I can't imagine a worse
   1746 1.05%:  I can't imagine a more honest
   1747 0.88%:  I think it's more
   1748 0.88%:  now I'm the
   1749 1.39%:  now I'm the most
   1750 0.88%:  that means I win at
   1751 0.88%:  now I'm not that
   1752 0.87%:  I was ten the
   1753 0.87%:  it was on a cere
   1754 0.87%:  that was me at
   1755 0.87%:  I'm certain that it was a
   1756 0.87%:  I'm not gonna mention their
   1757 0.87%:  that's it. I
   1758 0.87%:  I want to keep that conf
   1759 0.87%:  the secret
   1760 0.87%:  we're not gonna mention that scene
   1761 0.87%:  now it's time to come
   1762 0.87%:  I'm certain that means
   1763 0.87%:  I think it's time for me to go a
   1764 0.87%:  I'm aware that it
   1765 1.04%:  I'm aware that it makes
   1766 0.86%:  I promise I won't mention it again a
   1767 0.86%:  I know for
   1768 27.98%:  I know for a fact that I'm not
   1769 10.72%:  I know for a fact that it
   1770 7.87%:  I know for a fact that I meant
   1771 3.66%:  I know for a fact that I got
   1772 3.27%:  I know for a fact that'
   1773 9.12%:  I know for a fact that's not
   1774 3.94%:  I know for a fact that's not a
   1775 2.86%:  I know for a fact I
   1776 4.40%:  I know for a fact I'm not
   1777 2.74%:  I know for a fact that I spent
   1778 2.63%:  I know for a fact that it'
   1779 2.36%:  I know for a fact that I'm gonna
   1780 1.93%:  I know for a fact it
   1781 1.72%:  I know for a fact this
   1782 1.66%:  I know for a fact that I'm not a
   1783 1.60%:  I know for a fact he
   1784 1.59%:  I know for a fact that none
   1785 1.54%:  I know for a fact that I'm a
   1786 1.42%:  I know for a fact that no
   1787 1.22%:  I know for a fact that I'm not an
   1788 1.18%:  I know for a fact I meant
   1789 3.92%:  I know for a fact I meant to paint
   1790 5.32%:  I know for a fact I meant to paint him
   1791 2.73%:  I know for a fact I meant to paint him in
   1792 1.74%:  I know for a fact I meant to paint his
   1793 1.16%:  I know for a fact that I got in
   1794 1.14%:  I know for a fact that's a
   1795 1.08%:  I know for a fact I'm not the
   1796 1.04%:  I know for a fact that some
   1797 0.94%:  I know for a fact that it's a
   1798 0.90%:  I know for a fact that I got an
   1799 0.90%:  I know for a fact that I'm not as
   1800 0.86%:  the reason I mention it
   1801 0.86%:  on that note I rest
   1802 0.86%:  I can't imagine a painter
   1803 0.86%:  I might'
   1804 0.86%:  it's gonna take more than a nice
   1805 0.86%:  that makes me 
   1806 0.86%:  in
   1807 1.60%:  in case
   1808 2.01%:  in case there
   1809 1.76%:  in case that
   1810 0.95%:  in ret
   1811 0.86%:  I'm gonna paint this
   1812 0.86%:  if someone were
   1813 0.86%:  I'm not certain if he
   1814 0.86%:  I can't promise it won
   1815 0.86%:  he was making
   1816 0.86%:  the reason I'm not mention
   1817 0.86%:  if someone were to paint
   1818 1.82%:  if someone were to paint that
   1819 1.29%:  if someone were to paint that image
   1820 0.93%:  if someone were to paint that again
   1821 0.87%:  if someone were to paint the
   1822 0.86%:  that's not e
   1823 0.86%:  I think I'm wearing
   1824 0.86%:  one time
   1825 0.85%:  I forgot to paint in
   1826 2.37%:  I forgot to paint in his
   1827 0.86%:  I forgot to paint in his face
   1828 0.85%:  it was not
   1829 0.90%:  it was not the
   1830 0.85%:  since we're opening
   1831 0.85%:  that means I'm writing
   1832 0.85%:  I think I'm gonna paint now
   1833 0.85%:  I know that's more
   1834 0.85%:  I spent the entire time knowing
   1835 0.85%:  we're gonna keep
   1836 3.58%:  we're gonna keep that
   1837 2.71%:  we're gonna keep that one
   1838 2.10%:  we're gonna keep this
   1839 0.86%:  we're gonna keep this one
   1840 0.85%:  that's it for me if
   1841 0.85%:  here I am making
   1842 0.85%:  now I'm a
   1843 0.85%:  that was intent
   1844 0.85%:  those two are
   1845 0.85%:  that part is
   1846 0.85%:  I promise I won't make a
   1847 0.85%:  I promise I won't take that
   1848 0.85%:  I wrote that on
   1849 0.85%:  I'm gonna stop here.
   1850 0.84%:  I'm certain that now
   1851 0.84%:  I know for a fact the
   1852 0.84%:  for those
   1853 18.23%:  for those keeping
   1854 0.84%:  I think I'm gonna write some fan
   1855 2.32%:  I think I'm gonna write some fan fiction.
   1856 0.84%:  the point
   1857 0.84%:  I wrote that conf
   1858 0.84%:  that came
   1859 0.84%:  I'm speaking in
   1860 0.84%:  I wish
   1861 0.84%:  then I went into acting
   1862 0.84%:  I'm writing this in a
   1863 0.84%:  that one time I ate
   1864 0.84%:  I can neither
   1865 0.84%:  now it's time for me to teach
   1866 0.84%:  now it's time for me to pick
   1867 0.84%:  I think if someone were to paint a
   1868 0.84%:  that was more of an
   1869 0.84%:  I'm gonna keep that awesome
   1870 0.86%:  I'm gonna keep that awesome conf
   1871 0.84%:  I think I'm not certain
   1872 0.83%:  I'm not certain if that was a joke
   1873 0.83%:  it's the wrong
   1874 0.83%:  there's no point at
   1875 0.83%:  I forgot to take it
   1876 0.83%:  now I'm speaking
   1877 2.65%:  now I'm speaking in the
   1878 0.83%:  the reason I'm not taking
   1879 0.83%:  there's no point in me taking it
   1880 0.83%:  on that note I'm gonna paint a scene
   1881 0.83%:  that one time I wrote a poem
   1882 0.83%:  the reason I know I
   1883 0.83%:  it's time for me to go paint a few
   1884 0.83%:  now it's time for me to take a nap in
   1885 0.83%:  that one's not coming
   1886 0.83%:  I'm not gonna mention the fact I
   1887 1.44%:  I'm not gonna mention the fact I was
   1888 0.83%:  I think it's time I wrote
   1889 0.83%:  there's not gonna
   1890 0.83%:  I'm gonna keep that a secret now.
   1891 0.83%:  I think it's time for an ice
   1892 0.83%:  I was in
   1893 1.26%:  I was in the
   1894 0.82%:  that's not a e
   1895 0.82%:  that time I forgot
   1896 0.82%:  there's no point in meeting
   1897 0.82%:  it was meant for
   1898 0.82%:  here we see
   1899 0.82%:  I want to paint again some time.
   1900 0.82%:  we're not gonna mention these
   1901 0.82%:  that was in fact
   1902 0.82%:  that scene from
   1903 0.82%:  I'm writing this on
   1904 0.82%:  it's gonna take me more
   1905 2.26%:  it's gonna take me more than one
   1906 2.15%:  it's gonna take me more than fifteen
   1907 2.10%:  it's gonna take me more than 
   1908 1.60%:  it's gonna take me more than two
   1909 1.27%:  it's gonna take me more than ten
   1910 1.26%:  it's gonna take me more than one paint
   1911 0.82%:  there's no point making a
   1912 0.82%:  that's me writing
   1913 0.82%:  I forgot to paint the skin
   1914 0.82%:  I'm not writing
   1915 2.28%:  I'm not writing that
   1916 1.29%:  I'm not writing this
   1917 0.81%:  I think I was a
   1918 0.81%:  that's no conf
   1919 0.81%:  there was no one
   1920 0.81%:  that's not a point in
   1921 0.81%:  I'm certain that wasn
   1922 0.81%:  I'm not certain what I mean
   1923 0.81%:  now that I mention it I can imagine
   1924 0.81%:  I think I want to paint someone
   1925 0.81%:  I promise not to change
   1926 0.81%:  I'm certain that I am
   1927 0.81%:  that I'm not certain
   1928 0.81%:  I'm the worst
   1929 0.81%:  I know for a fact that is
   1930 0.81%:  I forgot to paint his name
   1931 0.81%:  now there's no point in taking
   1932 0.81%:  the reason I paint now
   1933 0.81%:  I think it's time for me to en
   1934 0.81%:  now I can't take
   1935 1.01%:  now I can't take this
   1936 0.81%:  I wrote the
   1937 0.81%:  if that isn't a
   1938 2.76%:  if that isn't a perfect
   1939 1.45%:  if that isn't a met
   1940 0.96%:  if that isn't a conf
   1941 0.81%:  now it's too
   1942 0.81%:  that one's canon
   1943 1.04%:  that one's canon now
   1944 0.81%:  I want to paint a
   1945 0.81%:  I know that's a conf
   1946 0.81%:  that means I'm not an
   1947 0.81%:  I'm gonna stop there to
   1948 0.80%:  I think it's time for me to go c
   1949 0.80%:  I'm gonna paint another one in a sec
   1950 0.80%:  that time I spent
   1951 0.80%:  I know that's not canon.
   1952 0.80%:  I know I'm not coming
   1953 0.80%:  I'm not gonna promise
   1954 2.10%:  I'm not gonna promise that
   1955 0.80%:  that's conf
   1956 0.80%:  here we go
   1957 0.80%:  after that it was a
   1958 0.80%:  I think it's time I came to gri
   1959 0.80%:  on that note I'm gonna paint a few
   1960 0.80%:  since we're keeping it
   1961 0.80%:  I'm not gonna make
   1962 1.36%:  I'm not gonna make that
   1963 1.55%:  I'm not gonna make that conf
   1964 0.80%:  I think I want to paint for
   1965 0.80%:  now I can't imagine
   1966 0.80%:  I think I'm gonna mention it
   1967 0.80%:  that's it from
   1968 0.80%:  there's a point
   1969 0.79%:  then I wrote
   1970 0.79%:  I know for a fact I'm not that
   1971 0.79%:  that's not gonna make me
   1972 0.79%:  that's fine.
   1973 0.79%:  I'm taking this conf
   1974 0.79%:  now that I'm certain
   1975 0.79%:  in case that'
   1976 0.79%:  I forgot this
   1977 0.79%:  I think it's time for me go paint a
   1978 0.79%:  I think I want to paint again once more
   1979 0.79%:  that one time I wrote some
   1980 0.79%:  I'm taking it
   1981 0.79%:  there went
   1982 0.79%:  that's one more fact
   1983 0.79%:  it was on the front of a p
   1984 0.79%:  he's wearing a c
   1985 0.78%:  now it's time for me to fight
   1986 0.78%:  I'm not certain that one
   1987 0.81%:  I'm not certain that one was
   1988 0.78%:  I'm not certain I want to keep
   1989 0.78%:  no matter
   1990 2.11%:  no matter what
   1991 1.28%:  no matter how often
   1992 1.13%:  no matter how I
   1993 1.09%:  no matter how I spin
   1994 1.56%:  no matter how I spin it I
   1995 0.92%:  no matter how I spin it I'm not
   1996 0.84%:  no matter how often I paint
   1997 0.80%:  no matter how I spin it I can
   1998 0.97%:  no matter how I spin it I can't imagine
   1999 0.78%:  I think it's time we face
   2000 0.78%:  I can't promise that I know
   2001 0.78%:  that's not me in
   2002 0.78%:  that means I gotta
   2003 0.78%:  after that I got in
   2004 0.78%:  it's time for that
   2005 1.08%:  it's time for that conf
   2006 0.78%:  these are not
   2007 0.92%:  these are not conf
   2008 0.78%:  I'm not certain what to
   2009 1.05%:  I'm not certain what to make
   2010 0.78%:  I want to keep this conf
   2011 0.78%:  I'm gonna keep that one secret now
   2012 0.78%:  I know that's not a crime
   2013 0.78%:  that's not canon
   2014 0.78%:  now I'm sitting in
   2015 0.78%:  I promise not to make the
   2016 0.77%:  there's a new
   2017 0.77%:  the reason it
   2018 1.06%:  the reason it took
   2019 0.77%:  this morning
   2020 0.77%:  I think it's time I come to
   2021 0.77%:  I think it's time for me to gain
   2022 0.77%:  now it's time to paint again.
   2023 0.77%:  I know the secret
   2024 0.77%:  I'm gonna keep that secret now.
   2025 0.77%:  no reg
   2026 0.77%:  if that isn't proof I
   2027 0.77%:  I'm certain that one
   2028 0.77%:  now I'm gonna paint it
   2029 0.77%:  I think it's time for me to once again p
   2030 0.77%:  I'm not certain I meant it
   2031 0.77%:  I know I'm the one
   2032 0.77%:  again with
   2033 0.77%:  I think it's wrong
   2034 0.77%:  I think it's time for me now
   2035 0.77%:  that makes two.
   2036 0.77%:  I forgot the point
   2037 0.77%:  I think I'm writing a
   2038 0.77%:  there was a note
   2039 0.76%:  I'm not gonna paint for
   2040 0.76%:  I think it's time for a man
   2041 1.11%:  I think it's time for a man to face
   2042 0.76%:  I know it's not fair to imagine
   2043 0.76%:  it was a great
   2044 0.76%:  I think I'm sort
   2045 0.76%:  I know for a fact that in
   2046 0.76%:  it's time for me to go paint a nice
   2047 0.76%:  now I think it's time for an
   2048 0.76%:  there is no point
   2049 1.05%:  there is no point in
   2050 0.76%:  if that makes me a
   2051 0.76%:  that makes me wanna
   2052 0.76%:  I think I'm gonna paint someone
   2053 0.76%:  it's time for me to think of
   2054 1.23%:  it's time for me to think of new
   2055 0.76%:  there was a nin
   2056 0.76%:  we are
   2057 0.76%:  I'm gonna paint more
   2058 0.76%:  we're making
   2059 1.24%:  we're making this
   2060 0.76%:  that comment
   2061 0.76%:  if someone were to paint it
   2062 1.11%:  if someone were to paint it again
   2063 0.76%:  I'm not making it
   2064 0.76%:  there I was again
   2065 0.76%:  I know that's an
   2066 0.76%:  I'm not certain those
   2067 2.24%:  I'm not certain those two
   2068 0.76%:  that makes me want paint
   2069 0.76%:  I'm not great
   2070 2.20%:  I'm not great at conf
   2071 0.96%:  I'm not great with
   2072 1.21%:  I'm not great with conf
   2073 0.82%:  I'm not great with names
   2074 0.76%:  I think now
   2075 0.75%:  I'm gonna keep that awesome fact
   2076 0.75%:  I think I'm not too
   2077 0.75%:  I can't promise that if
   2078 0.75%:  a
   2079 0.75%:  that's it for me now
   2080 0.75%:  I'm not certain that pain
   2081 0.75%:  if there was
   2082 0.75%:  that means I'm not a painter now.
   2083 0.75%:  I think I'm project
   2084 0.75%:  I spent the entire time on
   2085 0.75%:  I'm not certain who I am
   2086 0.75%:  I know this conf
   2087 0.75%:  I'm certain I was
   2088 0.75%:  I think it's gotta
   2089 0.75%:  I meant that as a met
   2090 0.75%:  it's gonna take more than nin
   2091 0.75%:  that is not a met
   2092 0.75%:  the entire time I was imag
   2093 0.75%:  thanks to
   2094 0.75%:  since we're on that
   2095 0.75%:  I meant to share
   2096 0.75%:  that was ten
   2097 0.74%:  I'm gonna paint that same
   2098 0.74%:  it was orange
   2099 0.74%:  I know it's not canon either
   2100 0.74%:  now I think it's time for one
   2101 0.74%:  it's gonna take more than one new
   2102 0.74%:  I'm not certain he was
   2103 0.74%:  I think we can agree it
   2104 1.47%:  I think we can agree it's not
   2105 1.39%:  I think we can agree it's time
   2106 0.74%:  that answer
   2107 0.74%:  no matter how often I imagine
   2108 0.74%:  that's gonna take a few
   2109 0.81%:  that's gonna take a few more
   2110 0.74%:  I promise I'm gonna
   2111 0.74%:  that one's from
   2112 0.74%:  I was gonna paint that
   2113 0.74%:  it's time for me to pick
   2114 0.74%:  one more thing I
   2115 0.74%:  I think it's written
   2116 0.74%:  the more I mention
   2117 0.74%:  I'm not gonna mention it when
   2118 0.74%:  I forgot that I'
   2119 0.83%:  I forgot that I'm not
   2120 0.74%:  I can't paint with
   2121 0.74%:  he's wearing an
   2122 0.74%:  I'm gonna stop the conf
   2123 0.74%:  I'm not too certain
   2124 0.74%:  now I think I'm gonna start
   2125 0.73%:  now that I'm speaking
   2126 1.77%:  now that I'm speaking of it I
   2127 0.73%:  I'm not certain if he was
   2128 0.73%:  I know it's not the time
   2129 0.73%:  I'm not one
   2130 0.73%:  I can see that
   2131 0.73%:  I think it's time for me to pee.
   2132 0.73%:  I'm the first to notice
   2133 0.73%:  now I think it's time for paint
   2134 0.73%:  it was after that
   2135 0.73%:  I can't promise that in
   2136 0.73%:  here I was
   2137 0.73%:  that means I'm not a painter of
   2138 0.73%:  I'm not certain I want to see
   2139 0.73%:  that one time I wrote a fan
   2140 0.73%:  I know neither
   2141 0.73%:  if I were to paint the
   2142 1.12%:  if I were to paint the same
   2143 0.73%:  I know he's not gonna
   2144 0.73%:  I'm gonna paint that conf
   2145 0.73%:  I can't imagine how someone
   2146 0.73%:  I think I'm gonna paint on
   2147 0.73%:  we're past
   2148 0.73%:  it's gonna take me at
   2149 0.73%:  it's time for me to paint again when
   2150 0.73%:  I think it's time for me to go an
   2151 0.73%:  I'm certain those
   2152 0.73%:  that makes me want to go on
   2153 0.73%:  that's not me coming
   2154 0.72%:  there's no one
   2155 0.72%:  the entire time I'
   2156 0.72%:  I'm a grown man.
   2157 0.72%:  I forgot to paint the ninja mask.
   2158 0.72%:  I gotta
   2159 0.72%:  I'm not certain I want this
   2160 0.72%:  that's it for me. I am
   2161 0.72%:  it was of the
   2162 0.72%:  it's time for me to conf
   2163 0.72%:  I think it's time for me to go win a
   2164 0.72%:  on that note I'm gonna eat a
   2165 0.72%:  that's a perfect
   2166 0.72%:  that one time I forgot I
   2167 0.72%:  I was eight
   2168 0.72%:  I think it's time for me to go ice
   2169 0.72%:  I think it's time for me to go p
   2170 0.72%:  it was on that
   2171 0.72%:  I know that is
   2172 0.72%:  now I think it's time for me to face a
   2173 0.72%:  I'm now
   2174 1.41%:  I'm now certain
   2175 0.72%:  it was the one time I got
   2176 0.72%:  I think I meant to paint a
   2177 0.72%:  I want to paint him again soon
   2178 0.72%:  I think I'm gonna paint it more
