definitely possible to get a PhD in that, yes?
100.00%: 
38.08%:  definitely
0.03%:  been doing this lately, so
0.03%:  a little bit dis
0.03%:  been at least eighty
0.03%:  his latest
0.03%:  beside
0.91%:  beside the point that it
0.83%:  beside the point,
0.17%:  beside the point that it feels
0.08%:  beside the point, honestly
0.06%:  beside the point if
0.08%:  beside the point if she
0.06%:  beside the point that all
0.04%:  beside the point that,
0.04%:  beside the point any
0.03%:  the title of a song by
0.03%:  also a
0.03%:  in the title, yeah
0.03%:  in the shape of a little dog,
0.03%:  setting
0.03%:  all the best things
0.03%:  not that deep a
0.09%:  not that deep a feeling
0.03%:  hiding in
0.03%:  a feeling, that
0.03%:  an old pal
0.03%:  silly and it
0.03%:  definitely testing
0.03%:  this feeling inside, the
0.03%:  still standing
0.03%:  been doing that a little
0.03%:  honestly the best feeling, is
0.03%:  been a good little
0.03%:  behind the sofa, isn
0.03%:  on the end
0.32%:  on the end table
0.10%:  on the end of the
0.06%:  on the end table,
0.05%:  on the end of the list
0.03%:  easy to get lost in this line
0.03%:  not the best of titles
0.03%:  that she
0.03%:  been a long shift, h
0.03%:  that feeling that,
0.16%:  that feeling that, despite
0.03%:  been doing that lately, y
0.03%:  silent and
0.03%:  p
0.03%:  not a feeling that
0.03%:  the best thing to see
0.03%:  nothing she
0.03%:  please to
0.03%:  still on
0.03%:  definitely not the 
0.03%:  also not
0.03%:  gotten so bad lately,
0.03%:  a little to
0.05%:  a little to the side
0.06%:  a little to the side,
0.04%:  a little to the side of the
0.03%:  spelled the
0.03%:  too late, and
0.03%:  gotten all
0.03%:  definitely listing
0.03%:  definitely total
0.03%:  good she
0.03%:  this little dog in
0.03%:  big into
0.03%:  in the title, yes
0.03%:  only that,
0.03%:  not a legit
0.03%:  fine she
0.03%:  not a big deal, he
0.03%:  a bit of a thing
0.03%:  that sensation
0.03%:  been n
0.03%:  one thing to say
0.03%:  that feeling, not this
0.03%:  not silly, it
0.03%:  a flesh
0.03%:  been so long, this is the
0.03%:  got to be his
0.03%:  not that bad of
0.03%:  this long
0.03%:  to be
0.03%:  to be polite
0.03%:  possible that if he
0.03%:  this old feeling?
0.03%:  only polite that they get
0.03%:  the title of this sign
0.03%:  not a polite
0.12%:  not a polite thing
0.03%:  been a lot of things
0.03%:  fine that she doesn
0.03%:  this little thing by
0.03%:  the ele
0.06%:  the elephant sitting
0.03%:  possible that, in the end
0.03%:  only polite, seeing as he
0.03%:  the title of the blog
0.03%:  best to get
0.04%:  best to get these
0.03%:  a feeling, possibly
0.03%:  sensible
0.03%:  a little of
0.03%:  this deep
0.03%:  been so long she
0.03%:  pointless if it
0.03%:  a little thing inside the
0.03%:  filling the
0.03%:  in the style
0.08%:  in the style of the
0.03%:  not as if the
0.03%:  sitting inside
0.03%:  a little sad, isn
0.03%:  on the table, sitting
0.03%:  possible she got fat
0.03%:  the only sign left
0.03%:  a little on the nose, yeah
0.03%:  been sitting at the tip
0.03%:  not easy to get in
0.03%:  lying in
0.03%:  an end
0.03%:  said to
0.21%:  said to be the
0.04%:  said to be the finest
0.03%:  said to be one
0.03%:  in the title of the sign so please
0.03%:  so often
0.03%:  a little no
0.05%:  a little noisy,
0.03%:  not a ghost
0.03%:  easy to lose
0.10%:  easy to lose sight
0.03%:  not the best thing
0.03%:  a little too intense
0.03%:  a long list
0.03%:  the title on
0.12%:  the title on the sign
0.07%:  the title on his
0.03%:  this ad
0.03%:  this tiny, silent
0.03%:  not all bad
0.03%:  a she
0.03%:  definitely bit
0.03%:  the best of the planets
0.03%:  lying on
0.23%:  lying on the table
0.03%:  lying on the table,
0.03%:  totally,
0.03%:  paying the
0.03%:  definitely gotta be in his
0.03%:  been slightly
0.03%:  the title of his essay
0.03%:  possible that he needs
0.03%:  being polite, isn
0.03%:  been a lot of days
0.03%:  not that big, honestly
0.03%:  the soft
0.03%:  so sad that
0.03%:  less of a thing
0.03%:  possible she got in the
0.03%:  definitely on the top
0.03%:  this dog,
0.03%:  fine and
0.03%:  good that it
0.03%:  that good?
0.03%:  the title of his bests
0.03%:  definitely not that late,
0.03%:  too late, this
0.25%:  too late, this feeling
0.23%:  too late, this feeling is
0.03%:  definitely nostalgia, this
0.03%:  so gentle,
0.03%:  totally a thing, h
0.03%:  still got
0.03%:  definitely not a h
0.03%:  not all that often
0.03%:  easy if
0.03%:  sent
0.03%:  in the flesh
0.03%:  a fine thing
0.03%:  definitely not a lie
0.03%:  sitting in a
0.03%:  a little thing, don
0.03%:  no big deal?
0.03%:  no big,
0.03%:  listed in
0.07%:  listed in the telephone
0.03%:  neat to
0.03%:  a soft
0.03%:  been on the tips
0.03%:  easy to spot, he
0.03%:  to the side of this
0.03%:  that old feeling that,
0.03%:  not the best handle
0.03%:  this feeling that, despite it
0.03%:  definitely not a ph
0.03%:  that one thing,
0.03%:  at this point,
0.03%:  said to be the single
0.03%:  totally a thing, yes
0.03%:  in the title of this episode, yes
0.03%: , she
0.03%:  fine, she still
0.03%:  one of the latest
0.03%:  totally doing
0.03%:  the type of thing only
0.03%:  not easy to get the
0.03%:  legal to
0.03%:  in the top shelf
0.03%:  possible she left?
0.03%:  at the end of the line, to
0.03%:  too big
0.03%:  gotta be one hell
0.03%:  not big
0.03%:  a little boy, and
0.03%:  not sleeping
0.03%:  floating in
0.03%:  definitely not a P
0.03%:  also listening
0.03%:  pleasant,
0.03%:  a dog?
0.03%:  a deep feeling, this
0.03%:  honestly the best one yet
0.03%:  got to be in that
0.03%:  at the end of this big
0.03%:  the best one so
0.03%:  definitely not a D
0.03%:  definitely nostalgia, h
0.03%:  a sight to behold, if
0.03%:  one thing to see
0.03%:  been lonely
0.03%:  a little bit of a thing
0.03%:  one of the d
0.03%:  only been the past half
0.03%:  a goldfish, isn
0.03%:  been D
0.03%:  not that big, is
0.03%:  a little boy standing
0.03%:  the honest
0.03%:  the best song they
0.06%:  the best song they play
0.06%:  the best song they play at
0.05%:  the best song they played
0.03%:  this feeling that sne
0.03%:  this episode
0.03%:  a f
0.04%:  a fles
0.05%:  a fleshy entity
0.05%:  a fleshy entity that
0.03%:  hiding in the toilet
0.03%:  definitely polite
0.03%:  neat that he
0.03%:  intens
0.03%:  definitely the best song to
0.03%:  a little thing of his,
0.03%:  only polite, seeing as she
0.03%:  one of this
0.03%:  please,
0.03%:  gonna be that
0.03%:  totally fine, she gets
0.04%:  totally fine, she gets that
0.03%:  totally fine, she gets this
0.03%:  a bit long to say
0.03%:  that good,
0.03%:  the only one that fits
0.03%:  a feeling that is beyond
0.03%:  this feeling that says,
0.03%:  old fashion
0.03%:  not playing
0.03%:  easy to feel
0.03%:  the best of all his
0.03%:  gotta be the oldest
0.03%:  totally a thing, he
0.03%:  not a bad thing
0.03%:  one thing to feel this
0.03%:  this din
0.03%:  this elephant inside
0.03%:  so tiny
0.03%:  only polite, and it
0.03%:  no big deal if they say
0.03%:  this tiny little ghost and
0.03%:  one hell of a thing
0.03%:  at the end of the alley, sitting
0.03%:  the lonely
0.03%:  at the tip
0.03%:  a little boy, standing
0.03%:  fine, please don
0.03%:  past
0.03%:  not the end
0.03%:  no big deal honestly,
0.03%:  honestly gotta
0.03%:  not possible, it
0.03%:  only polite, seeing that they
0.03%:  not so bad, is
0.03%:  both the
0.03%:  totes not
0.03%:  pointless to deny these
0.03%:  totally behind
0.03%:  thing
0.03%:  not all that big of
0.03%:  hyp
0.03%:  the last one,
0.03%:  only polite, e
0.03%:  a little boy?
0.03%:  been so long?
0.03%:  in a bottle, and
0.03%:  so intense, the
0.03%:  old,
0.03%:  too late, it
0.03%:  in the title of the blog,
0.03%:  been less than a
0.03%:  that feeling that it
0.03%:  this little ghost boy
0.03%:  not that that
0.03%:  on the end of the table
0.03%:  a little past 
0.03%:  definitely not a test
0.03%:  easy to get lost inside the lab
0.03%:  only being polite, that
0.03%:  totally the best dog
0.03%:  this tiny little din
0.03%:  a little intense?
0.03%:  easy to tell by the sign
0.03%:  on his
0.03%:  an illness
0.03%:  possible listening
0.03%:  possible that she left,
0.03%:  this t
0.03%:  been sitting at the side
0.07%:  been sitting at the side of the
0.03%:  not a little
0.03%:  honestly not a
0.08%:  honestly not a big
0.03%:  honestly not a big deal if
0.03%:  pointless to fight this
0.03%:  not hiding
0.03%:  a possibly
0.03%:  fine, this is the
0.03%:  not safe to be this
0.03%:  this tiny ghost of
0.03%:  got to be a little
0.03%:  been a day of
0.03%:  not that they said
0.03%:  the best song of the
0.03%:  totes a
0.06%:  totes a thing
0.03%:  not that this feeling is deeply
0.03%:  been so long that if she
0.03%:  pointless to hide
0.03%:  pointless to hide feelings
0.03%:  a bit late in life
0.03%:  definitely n
0.03%:  tight
0.03%:  staying
0.03%:  one of the eight
0.03%:  possible that if he doesn
0.03%:  a tiny dog
0.03%:  definitely height
0.03%:  the feeling that a
0.03%:  a, it
0.03%:  all they
0.03%:  one thing if this
0.03%:  the title of this episode, isn
0.03%:  definitely D
0.03%:  totally got
0.03%:  not that lady
0.03%:  in the shape of a body
0.03%:  got to be that,
0.03%:  a thing that is
0.23%:  a thing that is definitely
0.03%:  a bold step into
0.03%:  no big deal, h
0.03%:  this shy
0.03%:  all been
0.03%:  this feeling, this nost
0.03%:  definitely not a s
0.03%:  that old feeling, is that
0.03%:  in the title of the post,
0.03%:  the best day,
0.03%:  this giant,
0.03%:  the best feeling, and yet
0.03%:  a h
0.03%:  on the left side
0.03%:  dealing
0.03%:  an alleg
0.03%:  fine not
0.03%:  a play on the
0.05%:  a play on the title
0.05%:  a play on the title of the
0.03%:  so late in the episode
0.03%:  so late in the episode,
0.03%:  to the side, slightly
0.03%:  not on the label
0.03%:  polite to say yes,
0.03%:  at the end of this alley, by
0.03%:  the best thing in all of
0.03%:  a little thing she does, yes
0.03%:  in the title please
0.03%:  easy to tell that she is
0.03%:  a little past eight
0.03%:  a little past eight,
0.03%:  the title of the play, not
0.03%:  the feelings, not the title
0.03%:  the pleasant
0.03%:  in the title field
0.03%:  this distant
0.03%:  definitely been a lot
0.03%:  signed,
0.03%:  been doing that a lot,
0.03%:  been doing that,
0.04%:  been doing that, lately
0.03%:  listed on the sign,
0.03%:  on the end of the table,
0.03%:  a bit late in the episode
0.03%:  a thing she does,
0.03%:  the best feeling too
0.03%:  a title he
0.03%:  a title he holds
0.03%:  in the past
0.04%:  in the past tense
0.03%:  a sentient pile
0.03%:  so silly that it
0.03%:  definitely not as hot
0.03%:  this tiny little d
0.03%:  the 
0.03%:  still on the
0.06%:  still on the tip
0.03%:  so late in the night to
0.03%:  feels
0.03%:  totally fine to be dating
0.03%:  a little hot
0.03%:  a little on the nose, yes?
0.03%:  best not to say the
0.03%:  no big deal, is
0.03%:  not the old
0.04%:  not the old feelings
0.04%:  not the old feelings that
0.03%:  in the title of the sign, so please
0.03%:  been all the
0.03%:  got to be said,
0.04%:  got to be said, she
0.03%:  possible that the feeling is in
0.03%:  definitely the best song to play
0.03%:  possible that that is not
0.03%:  best not to get
0.03%:  that feeling, not that
0.03%:  a big fan
0.03%:  only the one
0.03%:  good that this is
0.03%:  a little noisy today
0.03%:  this tiny little p
0.03%:  been doing this all D
0.03%:  easy to get lonely
0.03%:  a little thing she says
0.03%:  the feeling that stays inside
0.03%:  those things
0.03%:  a big one, h
0.03%:  not that thing,
0.03%:  a little thing, and it
0.03%:  a little thing she said
0.03%:  a big deal, honestly
0.03%:  a little bit of a thing,
0.03%:  only been half a
0.03%:  not the least bit selfish
0.03%:  gotta be in his title
0.03%:  a point
0.03%:  a pointless
0.03%:  still saying
0.03%:  so easy to get in
0.03%:  one of the delight
0.03%:  this polite
0.03%:  this bottle
0.03%:  totally hyp
0.03%:  not possible that he is
0.03%:  not easy, is
0.03%:  too bad that
0.03%:  totes legit,
0.03%:  the post
0.03%:  at the end of the alley, it
0.03%:  too late, they
0.03%:  at this point in the day
0.03%:  totally the best thing on
0.03%:  definitely 
0.03%:  this tiny, slightly
0.03%:  one of the ladies,
0.03%:  the title of the song played
0.03%:  fine to be late
0.03%:  as if he
0.03%:  the best he
0.03%:  the past
0.03%:  only that she
0.03%:  it possible
0.03%:  gotta be said, he
0.03%:  deep
0.03%:  a thing that only
0.03%:  definitely not a ghost, this is
0.03%:  not helped
0.03%:  the best feeling on
0.05%:  the best feeling on the
0.03%:  one of the ten
0.03%:  the best title yet
0.03%:  the big one in
0.03%:  a lot of the
0.03%:  a big ol
0.03%:  thing that
0.03%:  gotta be this old
0.03%:  the best idea yet
0.03%:  nothing they
0.03%:  a feeling that needs
0.03%:  gotta be,
0.03%:  gotta be the only
0.03%:  not often that she
0.03%:  a deep,
0.03%:  gotta be at
0.03%:  the best thing to say
0.03%:  a feel
0.03%:  done in
0.06%:  done in the
0.03%:  fine, she totally gets this
0.03%:  lying on the bed
0.03%:  a god
0.03%:  so easy to get this
0.03%:  a thing, yeah
0.03%:  possible that it is not
0.03%:  in the alley,
0.06%:  in the alley, behind
0.03%:  been doing this to all
0.03%:  only polite that he be
0.03%:  only being polite, she
0.03%:  definitely ling
0.03%:  a little shy and
0.03%:  this thing, and
0.03%:  this feeling, it doesn
0.03%:  that feeling, only it
0.03%:  behind a
0.03%:  insane, it
0.03%:  best to get this
0.03%:  the feeling, not the details
0.03%:  fine, this is good
0.03%:  fine, this isn
0.03%:  definitely not a pal
0.03%:  a type of din
0.03%:  too bad she left in
0.03%:  the one that says
0.03%:  not often he gets
0.03%:  in the title of the sign at
0.03%:  pointless if they
0.03%:  been a long day, if
0.03%:  saying the
0.03%:  not polit
0.03%:  the only pl
0.03%:  that one feeling, that
0.03%:  easy to get in
0.03%:  this little ghost, see
0.03%:  often said that being
0.03%:  been so long, the details
0.03%:  feelings that
0.03%:  definitely potential
0.03%:  only polite, she
0.03%:  no big deal if they say no,
0.03%:  totally neat
0.03%:  also the title of his bi
0.03%:  been a life
0.03%:  not a big deal honestly
0.03%:  a little goofy and
0.03%:  no big deal if this is
0.03%:  a feeling that, despite
0.04%:  a feeling that, despite its
0.03%:  a feeling that, despite the
0.03%:  in the title, that
0.03%:  the feel
0.03%:  definitely not a ghost, let
0.03%:  one of his little
0.03%:  this feeling that, despite its
0.03%:  only the best day
0.03%:  a bit too
0.03%:  so big that
0.03%:  not feeling
0.03%:  self
0.03%:  honestly the best feeling, so
0.03%:  fine, they totally
0.03%:  fine, they totally get
0.03%:  got to be the pills
0.03%:  totally open
0.03%:  not a bad feeling, it
0.03%:  totally fine to get
0.03%:  in the bottle on the left
0.03%:  in the bottle on the left side
0.03%:  that silly
0.03%:  fine to be a
0.25%:  fine to be a little nost
0.07%:  fine to be a little sad
0.04%:  fine to be a little tips
0.03%:  fine to be a little sent
0.03%:  not often she lets
0.03%:  not often a
0.03%:  less a
0.03%:  only the best feeling to
0.03%:  the best one of
0.03%:  been in the past
0.03%:  that old feeling, the nost
0.03%:  possible that it is a
0.03%:  honestly doing
0.03%:  a night
0.03%:  the best and the
0.03%:  easy to get lost in this field
0.03%:  a sight to see, honestly
0.03%:  on the side of this
0.03%:  not often he lets
0.03%:  pointless if it doesn
0.03%:  a little past the
0.03%:  a little past the bed
0.03%:  a sight to behold, yes
0.03%:  listed on the sign by
0.03%:  been so long that these
0.03%:  that old feeling one
0.03%:  the title of an
0.03%:  the title of an episode
0.03%:  possible that it got
0.03%:  beside the point if they
0.03%:  the best feeling, is
0.03%:  honestly the best,
0.03%:  so long, it
0.03%:  pointless to feel
0.05%:  pointless to feel this
0.03%:  not that big a step,
0.03%:  not so bad if
0.03%:  a lif
0.04%:  a lifelong best
0.03%:  on the edge
0.03%:  the sign on the
0.03%:  gotta be on this
0.04%:  gotta be on this side
0.03%:  totally hiding
0.03%:  definitely gotta be the least
0.03%:  gotta be the one
0.03%:  this tiny little be
0.03%:  not possible, yet
0.03%:  totally a dog
0.03%:  definitely gotta be the one
0.03%:  the feeling that says
0.03%:  been so long that i
0.03%:  this little boy that
0.03%:  sitting on the table, please
0.03%:  too bad that feeling
0.03%:  totes the
0.27%:  totes the best feeling
0.11%:  totes the best feeling in
0.07%:  totes the best thing
0.03%:  this little, tiny
0.03%:  a lot to say
0.03%:  no big deal honestly it
0.03%:  at the end of the list, isn
0.03%:  eight feet tall and sits on
0.03%:  beside the point if the
0.03%:  on the table in
0.04%:  on the table in the
0.03%:  his best
0.03%:  not that big inside
0.03%:  easy to spot the
0.03%:  gotta be the holidays
0.03%:  said to be the only
0.02%:  sad that
0.02%:  a light
0.02%:  only in the title
0.03%:  only in the title,
0.02%:  a delight, to
0.02%:  still in its
0.02%:  all a
0.08%:  all a bit
0.02%:  the lady on
0.06%:  the lady on the left
0.05%:  the lady on the left,
0.02%:  sensible that
0.02%:  a goldfish, by
0.02%:  fine, it totally
0.03%:  fine, it totally doesn
0.02%:  a bot
0.02%:  been days of
0.04%:  been days of this
0.02%:  in the top hat
0.02%:  pointless and
0.03%:  pointless and yet
0.02%:  at the edge
0.02%:  been y
0.09%:  been yelling
0.02%:  this thing, it
0.02%:  one of the best sides
0.02%:  only if
0.02%:  one of the big pill
0.02%:  gotta be in the telephone
0.02%:  the one that sits
0.02%:  this big,
0.02%:  been that long, yes
0.02%:  not that this feels
0.02%:  the title on the sign by
0.02%:  best to say
0.02%:  possible instead
0.02%:  opening the
0.02%:  possible that that one
0.02%:  gotten to be
0.02%:  only polite, y
0.02%:  so intense, this
0.02%:  easy to get lost in deep
0.02%:  a good life
0.02%:  the things
0.02%:  a fine thing,
0.02%:  a sensation
0.02%:  in bad
0.04%:  in bad taste
0.02%:  silly of
0.02%:  one that
0.02%:  being totally
0.02%:  safe to be
0.03%:  safe to be honest
0.03%:  safe to be honest,
0.02%:  totally the best, isn
0.02%:  been said that they
0.02%:  this teenage boy,
0.02%:  so intense, it totally
0.02%:  only polite, as she
0.02%:  past bed
0.02%:  the type of nost
0.02%:  a little thing he does on
0.02%:  definitely gotta be a she,
0.02%:  a polite and
0.02%:  not the bo
0.02%:  eight feet tall, it
0.02%:  gotta be in the top
0.02%:  being honest
0.02%:  totally a thing?
0.02%:  definitely not a ghost, he
0.02%:  been so long that it feels as
0.02%:  a fleshy being
0.02%:  this little dog she
0.02%:  one of the best types
0.02%:  one of the best,
0.02%:  the best feeling, that
0.02%:  a blog
0.02%:  hot inside
0.02%:  only inside
0.02%:  so not
0.02%:  definitely not a p
0.02%:  the best thing to eat
0.02%:  a stage
0.02%:  a dating
0.02%:  still this
0.02%:  good if
0.02%:  not that big of deal
0.02%:  so ad
0.02%:  only playing
0.02%:  one of the deep
0.02%:  definitely not that hot
0.02%:  a little thing, that
0.02%:  easy to get lost in the lab,
0.02%:  the old,
0.02%:  the sp
0.02%:  at the end of the alley?
0.02%:  fine, it goes
0.02%:  at the end of his
0.02%:  easy to get lost in the h
0.02%:  got a title
0.02%:  easy to see this
0.02%:  easy to get lost inside that
0.02%:  beside the point, that
0.02%:  been doing this lately, is
0.04%:  been doing this lately, is the
0.02%:  got to be less
0.02%:  not easy to be this
0.02%:  honestly not a big deal, it
0.02%:  a little intense, yeah
0.02%:  all the nost
0.02%:  all so bit
0.02%:  a polite,
0.02%:  possible she got a PhD
0.02%:  beside the point that saying
0.02%:  the title of his best song
0.02%:  the best thing?
0.02%:  one thing,
0.02%:  a begin
0.02%:  the totally
0.02%:  not that this feeling, it
0.02%:  only polite, is it
0.02%:  totally that one,
0.02%:  not easy to define
0.02%:  a photo
0.02%:  being all
0.02%:  been a little sp
0.02%:  only in the last 
0.02%:  playing in
0.02%:  been said that if
0.02%:  not the title,
0.02%:  been the longest,
0.02%:  best if she goes
0.02%:  a big yes
0.02%:  possible he is the only
0.02%:  possible that this lady
0.02%:  silly, and
0.02%:  fine that it doesn
0.02%:  as if it
0.02%:  that day
0.02%:  honestly being
0.02%:  this feeling, a
0.02%:  b
0.02%:  totally safe, she
0.02%:  so late and
0.02%:  pointed
0.02%:  been definitely
0.02%:  totally fine to be seeing
0.02%:  not listed on the fly
0.02%:  fine, honestly it
0.02%:  a hell of a thing to
0.03%:  a hell of a thing to be
0.02%:  in the title of this page
0.02%:  been in the title
0.02%:  the best song that
0.02%:  honestly the best title of
0.03%:  honestly the best title of any
0.02%:  not that she needs
0.02%:  a dying
0.02%:  easy to tell that one
0.02%:  based on the title
0.02%:  a leading
0.02%:  a big deal to
0.02%:  so possible
0.02%:  not that big deal
0.02%:  this little thing, see
0.02%:  totally a thing he does,
0.02%:  a tiny little thing
0.02%:  saying hi
0.02%:  not anybody
0.02%:  this post
0.02%:  totally fine that he goes
0.02%:  in the title so please
0.02%:  old hat
0.02%:  not a dog
0.02%:  foolish
0.02%:  definitely shooting
0.02%:  definitely lying
0.02%:  a bit late to get
0.02%:  been g
0.02%:  a little bit past
0.02%:  in the titles of the episodes
0.02%:  the best one yet, honestly
0.02%:  so easy to feel
0.02%:  this pet
0.02%:  gotta be the d
0.02%:  easily the best thing in
0.02%:  the best one of all
0.02%:  this inside
0.02%:  been a lot of things,
0.02%:  so intense, yet
0.02%:  totally fine, yes
0.02%:  finally been
0.02%:  this feeling that is deeply
0.02%:  a fine thing to be
0.02%:  definitely night
0.02%:  a bit late in the episode,
0.02%:  a bit inside
0.02%:  the opening
0.02%:  so lonely
0.02%:  only today
0.02%:  totally fine, they get
0.02%:  only polite, being that it
0.02%:  been that long, yeah
0.02%:  fine, this doesn
0.02%:  not legal
0.02%:  a tiny little ghost,
0.02%:  gotta be in that pile
0.02%:  definitely a thing that,
0.02%:  this pal
0.02%:  been done to
0.02%:  this one, the
0.02%:  not a thing, she
0.02%:  been doing that to all
0.02%:  got,
0.02%:  saying,
0.02%:  been so long that if it
0.02%:  a fine point
0.02%:  at this point that feelings
0.02%:  totally not that deep
0.02%:  a thing that feels
0.02%:  not the title of his
0.02%:  pointless to lie,
0.02%:  been a long day, hey
0.02%:  none of the ladies
0.02%:  silly, it
0.03%:  silly, it doesn
0.02%:  at this point in life
0.02%:  totally the best day of
0.02%:  the feeling that it doesn
0.02%:  only the best thing to
0.02%:  gotta be said, the
0.02%:  too late if
0.02%:  fine, it totally passed
0.02%:  a blind
0.02%:  a sign,
0.02%:  that the
0.02%:  in a bottle?
0.02%:  easy to tell he doesn
0.02%:  in the bottle on the left,
0.02%:  a bit of a lengthy title to
0.02%:  got to be this easy
0.02%:  on a
0.02%:  a little thing, so
0.02%:  ha
0.02%:  one thing if that
0.02%:  only polite if the
0.02%:  being so
0.02%:  the title of an essay
0.02%:  dying
0.02%:  so late in the day it feels
0.02%:  a bit inside,
0.02%:  not that she got
0.02%:  good, it
0.02%:  that night
0.02%:  the best one, honestly
0.02%:  a big one this
0.02%:  that delight
0.02%:  the tiny
0.02%:  this feeling in the top
0.02%:  definitely not a polite
0.02%:  the best thing to listen
0.02%:  this feeling, only
0.02%:  totally ad
0.02%:  a little boy in
0.02%:  a sentient,
0.02%:  this old feeling, the
0.02%:  fine, that last
0.02%:  being done
0.02%:  got to be inside that
0.02%:  possible that the one
0.02%:  one of the titles
0.02%:  not on the table
0.02%:  not easy to see the
0.02%:  the title of this play
0.02%:  the best episode of a
0.02%:  one of the s
0.02%:  that old feeling, the sense
0.02%:  so pleasant
0.02%:  so pleasant to be
0.02%:  the best one of the
0.02%:  no big deal, the last
0.02%:  a sight to behold, is it
0.02%:  the title of the lesson
0.02%:  fine to be shy
0.02%:  that one feeling?
0.02%:  a bit of a lengthy title, don
0.02%:  been a thing the
0.04%:  been a thing the last
0.02%:  got the best title of
0.02%:  a lengthy title so
0.02%:  that one feeling that is
0.02%:  this tiny little,
0.02%:  been so long that if this
0.02%:  the best title of
0.06%:  the best title of any
0.04%:  the best title of anything
0.02%:  not easy being old
0.02%:  a little big to
0.04%:  a little big to fit in the
0.02%:  got to be this intense
0.02%:  in the bottle on the side
0.02%:  as if the only
0.04%:  as if the only thing
0.02%:  the one that goes
0.02%:  in this bottle of
0.02%:  that last one, h
0.02%:  definitely not a phase,
0.02%:  get
0.02%:  definitely too late at night,
0.02%:  got to be the least
0.02%:  too bad they left
0.02%:  so late in the day to be feeling this, it
0.02%:  been so long that that
0.02%:  a fleshy being that
0.02%:  this feeling, see
0.02%:  totally fine, she said
0.02%:  at the top of this
0.04%:  at the top of this sign
0.03%:  at the top of this sign,
0.03%:  at the top of this list
0.03%:  at the top of this list,
0.02%:  a little thing he does, if
0.02%:  been so long that it feels it
0.02%:  a little intense, so
0.02%:  totally intent
0.02%:  definitely open
0.02%:  one of the best and
0.02%:  the little things, is it
0.02%:  the best feeling, e
0.02%:  a little thing on the side, yes
0.02%:  a life goal
0.02%:  at the end of this list, please
0.02%:  easy to tell things
0.02%:  yes
0.02%:  a teenage boy
0.02%:  behind the sofa, sitting
0.02%:  gotta be the pills, h
0.02%:  this feeling, and this
0.02%:  a little boy, h
0.02%:  the little things, and it
0.02%:  this feeling that is only
0.02%:  the tall
0.02%:  definitely its
0.02%:  please be
0.02%:  totally fine, both
0.02%:  definitely a thing, this
0.02%:  big,
0.02%:  big, and
0.02%:  based on the title of this
0.03%:  based on the title of this sign
0.02%:  saying that
0.02%:  this feeling that is beyond
0.02%:  in the title of his sign
0.02%:  got a bit
0.02%:  gentle
0.04%:  gentle and
0.02%:  this feeling, and the
0.02%:  not doing it
0.02%:  not a thing she
0.02%:  definitely a thing, so
0.03%:  definitely a thing, so please
0.02%:  all too
0.02%:  beyond the
0.02%:  a fleshy thing
0.02%:  pos
0.02%:  not that often he
0.02%:  the title of this blog
0.02%:  this elephant of
0.02%:  totally fine to hang
0.02%:  this intense, yet
0.02%:  an idiot
0.02%:  definitely the best thing yet
0.02%:  possible she got that title in
0.02%:  also the title of this
0.02%:  in a pill
0.02%:  been delight
0.02%:  this tiny little dog, isn
0.02%:  this little boy, standing
0.02%:  possible that he is a
0.02%:  this feeling, as
0.02%:  a bit of a silly thing
0.02%:  a little intense, yes?
0.02%:  been falling
0.02%:  a little intense, this
0.02%:  tight that
0.02%:  testing
0.02%:  easy to feel nost
0.02%:  been doing this lately, h
0.02%:  definitely not that easy, e
0.02%:  not easy to get the pill
0.02%:  a thing, it
0.02%:  this hip
0.02%:  the best thing today,
0.02%:  this tiny lady,
0.02%:  not that big inside,
0.02%:  all those
0.02%:  beside the point that it is
0.02%:  not easy, being
0.02%:  settled, then?
0.02%:  in the title, and it
0.02%:  so ins
0.22%:  so insistent
0.04%:  so insistent,
0.02%:  this tiny little sp
0.02%:  in the title, is
0.02%:  definitely ins
0.02%:  not that bad if
0.02%:  not sitting
0.02%:  a bit of a long title, h
0.02%:  ghost
0.02%:  polit
0.02%:  on the sign at
0.02%:  definitely not a ghost, please be
0.02%:  so insight
0.02%:  this tiny ghost inside of
0.02%:  a fine line
0.02%:  so easy to identify these
0.02%:  still in its inf
0.02%:  in the bottle that
0.02%:  letting itself
0.02%:  on the sign that
0.02%:  in a bottle and
0.02%:  been ten days,
0.02%:  a bit late tonight, isn
0.02%:  selling
0.02%:  gotta be inside of
0.02%:  a sight to behold, isn
0.02%:  a bad
0.23%:  a bad feeling
0.06%:  a bad feeling, isn
0.05%:  a bad feeling to
0.02%:  the best song,
0.02%:  possible that they got in
0.02%:  been a thing this
0.02%:  not that hot
0.02%:  beside the point that it isn
0.02%:  the little things?
0.02%:  been ling
0.02%:  a feeling that only the
0.02%:  possible she got it
0.02%:  easy to get lost in the past if
0.02%:  in a bottle in
0.02%:  been so long that if they
0.02%:  only polite, in
0.05%:  only polite, in these
0.03%:  only polite, in this
0.02%:  been a long day, D
0.02%:  been one he
0.02%:  a good title, yeah
0.02%:  beside the point, isn
0.02%:  been a little thing,
0.02%:  one of the best selling
0.02%:  so silly, isn
0.02%:  a little thing he does often
0.02%:  a silly thing to say
0.02%:  got to be inside the
0.02%:  these pills that do it, yes
0.02%:  so big and it
0.02%:  so big and it feels
0.02%:  to be honest
0.02%:  honestly beyond
