so that guy totally ate a sandwich the size of his head!!
100.00%: 
39.71%:  that
9.86%:  that guy ate a sandwich the size of his heat
9.53%:  that guy ate a sandwich the size of his 
8.89%:  that guy ate a sandwich the size of his test
8.58%:  that guy ate a sandwich the size of his toes
8.26%:  that guy ate a sandwich the size of all this
8.24%:  that guy ate a sandwich the size of this hat
7.87%:  that guy ate a sandwich the size of he
7.65%:  that guy ate a sandwich the size of last
7.36%:  that guy ate a sandwich the size of his hat too
7.31%:  that guy ate a sandwich the size of it
6.89%:  that guy ate a sandwich the size of his sh
6.76%:  that guy ate a sandwich the size of a to
6.71%:  that guy ate a sandwich the size of that his
6.71%:  that guy ate a sandwich the size of his to
6.06%:  that guy ate a sandwich the size of his the
6.04%:  that guy ate a sandwich the size of his shoe!!
5.98%:  that guy ate a sandwich the size of his o
5.68%:  that guy ate a sandwich the size of all that
5.64%:  that guy ate a sandwich the size of his hell
5.61%:  that guy ate a sandwich the size of a hot
5.29%:  that guy ate a sandwich the size of his ho
5.27%:  that guy ate a sandwich the size of a tooth
5.16%:  that guy ate a sandwich that size of this
5.02%:  that guy ate a sandwich the size of his hat so
4.98%:  that guy ate a sandwich the size of less
4.96%:  that guy ate a sandwich the size of his all
4.90%:  that guy ate a sandwich the size of his hate
4.89%:  that guy ate a sandwich the size of that!!
4.69%:  that guy ate a sandwich the size of a healthy
4.59%:  that guy ate a sandwich the size of his st
4.54%:  that guy ate a sandwich the size of his a
4.54%:  that guy ate a sandwich the size of the salt
4.33%:  that guy ate a sandwich the size of the al
4.26%:  that guy ate a sandwich the size of that is
4.25%:  that guy ate a sandwich the size of a 
4.10%:  that guy ate a sandwich the size of his s
4.09%:  that guy ate a sandwich the size if
4.00%:  that guy ate a sandwich the size of shit
3.82%:  that guy ate a sandwich the size of a t
3.71%:  that guy ate a sandwich the size of his hat last
3.68%:  that guy ate a sandwich the size of hi
3.59%:  that guy ate a sandwich the size of a h
3.57%:  that guy ate a sandwich the size of oh
3.57%:  that guy ate a sandwich the size of his too
3.50%:  that guy ate a sandwich the size of little
3.48%:  that guy ate a sandwich the size of his hole
3.47%:  that guy ate a sandwich the size of a he
3.46%:  that guy ate a sandwich the size of a salt
3.43%:  that guy ate a sandwich the size of a shit
3.42%:  that guy ate a sandwich the size of his hotel
3.30%:  that guy ate a sandwich the size of this he
3.30%:  that guy ate a sandwich the size of his oh
3.27%:  that guy ate a sandwich the size of his hot
3.27%:  that guy ate a sandwich the size of a toilet
3.23%:  that guy ate a sandwich the size of a salt sh
3.19%:  that guy ate a sandwich the size of his she
3.19%:  that guy ate a sandwich the size that
3.11%:  that guy ate a sandwich the size of his l
3.10%:  that guy ate a sandwich the size of his so
3.06%:  that guy ate a sandwich the size of a shoe
2.97%:  that guy ate a sandwich the size of the tall
2.96%:  that guy ate a sandwich the size of his tall
2.91%:  that guy ate a sandwich the size of a hell
2.88%:  that guy ate a sandwich the size of his e
2.77%:  that guy ate a sandwich the size of a sh
2.71%:  that guy ate a sandwich the size of his el
2.61%:  that guy ate a sandwich the size of his toe!!
2.53%:  that guy ate a sandwich the size of a lo
2.49%:  that guy ate a sandwich the size of his ey
2.44%:  that guy ate a sandwich the size of so
2.44%:  that guy ate a sandwich the size of the all
2.38%:  that guy ate a sandwich the size of his also
2.38%:  that guy ate a sandwich the size of as
2.37%:  that guy ate a sandwich the size of least
2.35%:  that guy ate a sandwich the size of the host
2.34%:  that guy ate a sandwich the size of his salt
2.30%:  that guy ate a sandwich the size of a s
2.28%:  that guy ate a sandwich the size of a th
2.27%:  that guy ate a sandwich the size of his toes!!
2.24%:  that guy ate a sandwich that size of the
2.23%:  that guy ate a sandwich the size of total
2.21%:  that guy ate a sandwich the size of t
2.15%:  that guy ate a sandwich the size of this salt
2.10%:  that guy ate a sandwich the size of a silly
3.53%:  that guy ate a sandwich the size of a silly hat
2.10%:  that guy ate a sandwich the size that his
2.07%:  that guy ate a sandwich the size of salt
2.00%:  that guy ate a sandwich the size of thy
2.00%:  that guy ate a sandwich the size of a shitty
2.00%:  that guy ate a sandwich the size of his as
2.00%:  that guy ate a sandwich the size of a hat!!
1.95%:  that guy ate a sandwich the size of a hole
1.94%:  that guy ate a sandwich the size of hello
1.94%:  that guy ate a sandwich the size of a ll
1.86%:  that guy ate a sandwich the size of his taste
1.84%:  that guy ate a sandwich the size of his lo
1.84%:  that guy ate a sandwich the size of this hat!!
1.78%:  that guy ate a sandwich the size of his le
1.77%:  that guy ate a sandwich the size of his sl
1.76%:  that guy ate a sandwich the size of his lol
1.76%:  that guy ate a sandwich his
1.74%:  that guy ate a sandwich the size of his at
1.69%:  that guy ate a sandwich the size of his seat
1.69%:  that guy ate a sandwich that size his
1.68%:  that guy ate a sandwich the size of that lie
1.65%:  that guy ate a sandwich the size of least his
1.64%:  that guy ate a sandwich the size of his hat too!!
1.64%:  that guy ate a sandwich the size of a his
1.61%:  that guy ate a sandwich the size of his sole
1.57%:  that guy ate a sandwich that is
11.95%:  that guy ate a sandwich that is the size of a
6.37%:  that guy ate a sandwich that is the size of all
3.59%:  that guy ate a sandwich that is the size of 
1.56%:  that guy ate a sandwich the size of y
1.56%:  that guy ate a sandwich too
1.50%:  that guy ate a sandwich the size of the 
1.48%:  that guy ate a sandwich the size of that silly
1.46%:  that guy ate a sandwich the size of his sal
1.41%:  that guy ate a sandwich the size of this!!
1.40%:  that guy ate a sandwich the size of his all the
1.40%:  that guy ate a sandwich the size of his hall
1.39%:  that guy ate a sandwich the size of a hill
1.39%:  that guy ate a sandwich the size of his hel
1.34%:  that guy ate a sandwich the size of a sl
1.32%:  that guy ate a sandwich the size of this host
1.31%:  that guy ate a sandwich the size of his sat
1.28%:  that guy ate a sandwich the size of his tasty
1.28%:  that guy ate a sandwich the size of a l
1.28%:  that guy ate a sandwich his size
1.27%:  that guy ate a sandwich the size of his y
1.26%:  that guy ate a sandwich the size of s
1.24%:  that guy ate a sandwich the size of a total
1.24%:  that guy ate a sandwich the size of has
1.23%:  that guy ate a sandwich the size of his hey
1.22%:  that guy ate a sandwich the size of his late
1.20%:  that guy ate a sandwich the size of his al
1.20%:  that guy ate a sandwich the size of a test
1.19%:  that guy ate a sandwich that size!!
1.18%:  that guy ate a sandwich the size fo
1.17%:  that guy ate a sandwich the size of a host
1.17%:  that guy ate a sandwich the size the
1.15%:  that guy ate a sandwich the size of his heat!!
1.15%:  that guy ate a sandwich his size of
1.14%:  that guy ate a sandwich the size of this ha
1.14%:  that guy ate a sandwich the size of his totally sh
1.14%:  that guy ate a sandwich the size of this t
1.13%:  that guy ate a sandwich the size of this hole
1.12%:  that guy ate a sandwich this
2.02%:  that guy ate a sandwich this size
1.11%:  that guy ate a sandwich the size of this 
1.09%:  that guy ate a sandwich the size of his has
1.09%:  that guy ate a sandwich the size of his hat to
1.09%:  that guy ate a sandwich the size of this sea
1.08%:  that guy ate a sandwich the size of still
1.07%:  that guy ate a sandwich the size of this hot
1.07%:  that guy ate a sandwich the size of all the s
1.06%:  that guy ate a sandwich the size of his sa
1.04%:  that guy ate a sandwich the size of the salt sh
1.03%:  that guy ate a sandwich the size of to
1.02%:  that guy ate a sandwich the size of silly
1.01%:  that guy ate a sandwich the size that of
1.01%:  that guy ate a sandwich the size of a st
1.01%:  that guy ate a sandwich the size of his eat
1.00%:  that guy ate a sandwich the size of this hell
1.00%:  that guy ate a sandwich the size of a less
1.00%:  that guy ate a sandwich the size o
1.00%:  that guy ate a sandwich the size of the shit
0.98%:  that guy ate a sandwich the size of this th
0.98%:  that guy ate a sandwich the size of say
0.97%:  that guy ate a sandwich the size of this h
0.96%:  that guy ate a sandwich the size of this all
0.96%:  that guy ate a sandwich the size of his!!
0.95%:  that guy ate a sandwich the size of all he
0.95%:  that guy ate a sandwich the size of that hole
0.94%:  that guy ate a sandwich the size of hey
0.93%:  that guy ate a sandwich the size of his te
0.93%:  that guy ate a sandwich the size of a still
0.93%:  that guy ate a sandwich the size of this s
0.92%:  that guy ate a sandwich the size of this heat
0.92%:  that guy ate a sandwich the size of the s
0.92%:  that guy ate a sandwich the size of his set
0.91%:  that guy ate a sandwich the size of o
0.91%:  that guy ate a sandwich the size of also
0.90%:  that guy ate a sandwich the size of the holy
0.90%:  that guy ate a sandwich the size of this the
0.90%:  that guy ate a sandwich the size of the h
0.89%:  that guy ate a sandwich the size of oh his
0.89%:  that guy ate a sandwich the size of his hat so let
0.87%:  that guy ate a sandwich the size of this sh
0.87%:  that guy ate a sandwich the size of a tit
0.87%:  that guy ate a sandwich the size of his ah
0.87%:  that guy ate a sandwich the size of thi
0.87%:  that guy ate a sandwich the size of his hate!!
0.87%:  that guy ate a sandwich the size of a shell
0.87%:  that guy ate a sandwich the size of sh
0.86%:  that guy ate a sandwich the size of they
0.85%:  that guy ate a sandwich the size of this st
0.85%:  that guy ate a sandwich the size of health
0.83%:  that guy ate a sandwich the size of his salty
0.82%:  that guy ate a sandwich the size of a sea
0.81%:  that guy ate a sandwich the size of his hat at
0.80%:  that guy ate a sandwich the size that is
0.80%:  that guy ate a sandwich the size of the this
0.80%:  that guy ate a sandwich the size of his yes
0.80%:  that guy ate a sandwich the size of a hotel
0.78%:  that guy ate a sandwich the size of his so totally
2.06%:  that guy ate a sandwich the size of his so totally head
0.78%:  that guy ate a sandwich the size of a toe
0.78%:  that guy ate a sandwich the size of a shot
0.78%:  that guy ate a sandwich the size of this so
0.77%:  that guy ate a sandwich the size of this to
0.77%:  that guy ate a sandwich the size of his tooth!!
0.75%:  that guy ate a sandwich that size too
0.75%:  that guy ate a sandwich the size of his so totally head!!
0.74%:  that guy ate a sandwich the size of a health
0.73%:  that guy ate a sandwich the size of his sle
0.72%:  that guy ate a sandwich the size of this hall
0.72%:  that guy ate a sandwich that size of a
0.70%:  that guy ate a sandwich the size of a silly hat!!
0.69%:  that guy ate a sandwich the size of all the h
0.69%:  that guy ate a sandwich the size of his last 
0.69%:  that guy ate a sandwich the size of ah
0.69%:  that guy ate a sandwich the size of this tall
0.67%:  that guy ate a sandwich the size of his es
0.67%:  that guy ate a sandwich the size of that so
0.66%:  that guy ate a sandwich the size of his ol
0.66%:  that guy ate a sandwich the size of all 
0.66%:  that guy ate a sandwich the size of this l
0.66%:  that guy ate a sandwich the size of hella his
0.65%:  that guy ate a sandwich the size of the list
0.65%:  that guy ate a sandwich the size of yeah
0.64%:  that guy ate a sandwich the size of too
0.64%:  that guy ate a sandwich the size of a tall
0.64%:  that guy ate a sandwich the size of a te
0.64%:  that guy ate a sandwich the size of his ya
0.64%:  that guy ate a sandwich the size of his hello
0.64%:  that guy ate a sandwich as
0.63%:  that guy ate a sandwich the size of this shoe
0.63%:  that guy ate a sandwich the size of this a
0.63%:  that guy ate a sandwich the size of his hella
0.63%:  that guy ate a sandwich the size of his hoo
0.62%:  that guy ate a sandwich the size of a li
0.62%:  that guy ate a sandwich the size of a lot less
0.62%:  that guy ate a sandwich the size of yes
0.62%:  that guy ate a sandwich the size of this set
0.61%:  that guy ate a sandwich the size of hah
0.61%:  that guy ate a sandwich the size of the hat
0.61%:  that guy ate a sandwich the size of this lol
0.61%:  that guy ate a sandwich the size of his ste
0.61%:  that guy ate a sandwich the size of a sal
0.60%:  that guy ate a sandwich the size of te
0.60%:  that guy ate a sandwich the size of the o
0.60%:  that guy ate a sandwich the size of his hay
0.59%:  that guy ate a sandwich the size of yet
0.59%:  that guy ate a sandwich the size of a sail
0.58%:  that guy ate a sandwich the size of a this
0.58%:  that guy ate a sandwich the size of li
0.57%:  that guy ate a sandwich the size of hot
0.57%:  that guy ate a sandwich the size of his hole!!
0.57%:  that guy ate a sandwich the size of all the hats!!
0.57%:  that guy ate a sandwich the size of this sl
0.56%:  that guy ate a sandwich the size of his yeah
0.56%:  that guy ate a sandwich the size of hat
0.56%:  that guy ate a sandwich the size of a hay
0.56%:  that guy ate a sandwich the size of those 
0.56%:  that guy ate a sandwich the size of this hotel
0.56%:  that guy ate a sandwich the size of his eth
0.56%:  that guy ate a sandwich the size of his ll
0.55%:  that guy ate a sandwich so
0.55%:  that guy ate a sandwich the size of that he
0.55%:  that guy ate a sandwich the size of a lett
0.54%:  that guy ate a sandwich the size of his last toe
0.54%:  that guy ate a sandwich the size of his say
0.53%:  that guy ate a sandwich the size of those last 
0.53%:  that guy ate a sandwich the size of also this
0.53%:  that guy ate a sandwich the size of hit
0.53%:  that guy ate a sandwich the size of lol
0.52%:  that guy ate a sandwich the size of his oath
0.51%:  that guy ate a sandwich the size of his se
0.51%:  that guy ate a sandwich the size of his ate
0.51%:  that guy ate a sandwich the size of this also
0.50%:  that guy ate a sandwich the size of that h
0.50%:  that guy ate a sandwich the size of holy
0.76%:  that guy ate a sandwich the size of holy shit
0.50%:  that guy ate a sandwich the size of his sea
0.50%:  that guy ate a sandwich the size of the lot
0.50%:  that guy ate a sandwich the size of a hole that
0.50%:  that guy ate a sandwich the size of a se
0.50%:  that guy ate a sandwich the size of the st
0.50%:  that guy ate a sandwich the size of a shoe that
0.49%:  that guy ate a sandwich the size of his stealth
0.49%:  that guy ate a sandwich the size of the t
0.48%:  that guy ate a sandwich the size of a sa
0.48%:  that guy ate a sandwich the size of that all
0.48%:  that guy ate a sandwich the size of e
0.47%:  that guy ate a sandwich the size of sa
0.47%:  that guy ate a sandwich the size of his at least!!
0.47%:  that guy ate a sandwich the size of a shoe!!
0.46%:  that guy ate a sandwich the size of his so that
0.46%:  that guy ate a sandwich the size of that is a
0.46%:  that guy ate a sandwich the size of that lol
0.46%:  that guy ate a sandwich the size of his eh
0.46%:  that guy ate a sandwich the size of the last 
0.46%:  that guy ate a sandwich the size of his the last
0.46%:  that guy ate a sandwich the size of l
0.45%:  that guy ate a sandwich the size of a ha
0.45%:  that guy ate a sandwich the size of this holy
0.45%:  that guy ate a sandwich the size of al
0.45%:  that guy ate a sandwich that size the
0.45%:  that guy ate a sandwich the size of a tasty
0.45%:  that guy ate a sandwich the size of thesis
0.45%:  that guy ate a sandwich the size of a list
0.45%:  that guy ate a sandwich the size of all his toes
0.45%:  that guy ate a sandwich the size of his at least 
0.44%:  that guy ate a sandwich the size of his too!!
0.44%:  that guy ate a sandwich the size of a salt l
0.43%:  that was a giant
0.43%:  that last thing was lies
0.43%:  that was a second thought
0.43%:  don
0.43%:  listen guys
0.43%:  that totally sounds gay
0.43%:  so what the hell do
0.43%:  this is the last one that
0.43%:  that was lying
0.43%:  this sounds way
0.43%:  that guy ate a sandwich the size of those hills
0.43%:  that was the last of the hands so it
0.43%:  so yeah that was totally the
0.43%:  that was a huge
0.43%:  that was the final
0.43%:  the sandwich is totally
0.43%:  yeah that sounds way less
0.45%:  yeah that sounds way less cool
0.43%:  that sounds cool let
0.43%:  that was the last one that could
0.43%:  that guy ate a sandwich the size of ass
0.43%:  that last one was the last
0.43%:  that guy ate a sandwich the size of his all those
0.43%:  that guy ate a sandwich the size of as little
0.43%:  fine that was a
0.59%:  fine that was a little
0.43%:  that was a giant lie
0.42%:  that was a lot of lies
0.42%:  that guy ate a sandwich the size of that sh
0.42%:  so that sounds totally sweet
0.42%:  that sounds totally way
0.42%:  so that was totally not
0.42%:  so that was totally an
0.42%:  this is what
0.42%:  that guy ate a sandwich the size of that also
0.42%:  that guy ate a sandwich the size of his at the
0.42%:  that was the last of these and it
0.42%:  that was the last one i
0.42%:  you got
0.42%:  that was the last thing to
0.42%:  if that
0.69%:  if that sounds
0.63%:  if that doesn
0.42%:  so the thing is that you
0.42%:  good that
0.42%:  so that one was a little che
0.42%:  so yeah that sounds totally
0.42%:  that guy ate a sandwich the size of his tea
0.42%:  this is totally what
0.42%:  that sounds che
0.42%:  no wait that is totally the
0.42%:  listen that was a
0.42%:  so yeah that was totally a
0.42%:  that guy ate a sandwich the size of se
0.42%:  that was totally too
0.42%:  that was a total lie though and
0.41%:  that guy ate a sandwich the size of all that!!
0.41%:  so that was a long
0.41%:  so wait
0.41%:  that guy ate a sandwich the size of a seal
0.41%:  that was the last and highest
0.41%:  that one was totally the
0.41%:  that was the end of the last
0.41%:  that was that last one though
0.41%:  that guy ate a sandwich the size of the stall
0.41%:  that is enough facts
0.41%:  so that was a lie and this is the
0.41%:  that last one was the cool
0.41%:  that was the end of the list
0.41%:  yeah that was a little too high
0.41%:  that guy ate a sandwich the size of the l
0.41%:  that guy ate a sandwich the size of a title
0.41%:  wait that totally sounds gay
0.41%:  that was the last of the hands so yeah
0.41%:  so this is the actual last
0.41%:  so that was the closest
0.41%:  so what the hell is this thing
0.41%:  now close
0.41%:  that guy ate a sandwich the size of that sea
0.41%:  well this
0.41%:  that was the last second
0.41%:  that guy ate a sandwich the size of a ho
0.41%:  that guy ate a sandwich the size of the sh
0.41%:  wait this is the
0.41%:  so what you
0.41%:  this has
0.93%:  this has gotten
1.15%:  this has gotten way
1.02%:  this has gotten way too
0.89%:  this has gone way
0.40%:  so that was a lie and the
0.40%:  wait hold on that is
0.40%:  that guy ate a sandwich the size of i
0.40%:  that last one was a self
0.40%:  so the sandwich guy is totally a
0.40%:  that felt good to
0.40%:  that got way out
1.25%:  that got way out of hand!!
0.40%:  wait this is the last
0.40%:  that was hell
0.40%:  that was the last of those hands
0.40%:  that was a little un
0.40%:  so this doesn
0.40%:  so that was still
0.43%:  so that was still second
0.40%:  that guy ate a sandwich that size of his he
0.40%:  that was one of
0.89%:  that was one of those
0.40%:  no that was a lie that
0.40%:  that was a shitty last
0.40%:  that guy ate a sandwich the size of that s
0.40%:  that last one was actual
0.40%:  wait this one
0.40%:  that last one was half
0.40%:  that guy ate a sandwich the size of this ol
0.40%:  that guy ate a sandwich the size o his
0.40%:  you can totally eat
0.53%:  you can totally eat this
0.40%:  that was a lie and the last guy
0.40%:  if you say
0.39%:  this has gotten out
0.39%:  this is the last day
2.18%:  this is the last day of school
0.55%:  this is the last day of the
0.39%:  you can still
0.39%:  yes
0.97%:  yes that
1.61%:  yes that sounds
1.55%:  yes that was
1.82%:  yes that was totally
0.68%:  yes that was a
1.65%:  yes that was a little
0.52%:  yes that sounds way
0.52%:  yes that was a lie
0.50%:  yes that was a little che
0.40%:  yes that was totally a
0.39%:  that was the last of those so
0.39%:  so you can still
0.39%:  that was a lie and this is the last
0.39%:  that guy ate a sandwich the size of the sol
0.39%:  this is the last of the hand
0.39%:  that is the last of those
0.39%:  that was not as
0.39%:  that guy ate a sandwich this size!!
0.39%:  that was the c
0.39%:  this is the last of the hands that
0.39%:  that was a little on
0.39%:  so the sandwich is totally huge
0.39%:  that guy ate a sandwich the size of a toilet!!
0.39%:  that is the last of the hands we
0.39%:  that was totally enough
0.39%:  that guy ate a sandwich the size of a sil
0.39%:  so that was a little too high
0.39%:  wait hold on it
0.39%:  that sounds hell
0.59%:  that sounds hella sweet
0.39%:  so what if
0.39%:  that was the last of the hands let
0.39%:  that guy ate a sandwich the size of this as
0.39%:  that guy ate a sandwich the size of a set
0.39%:  so this one is
0.39%:  that was a lie so
0.39%:  if you don
0.39%:  so the sandwich is the size of 
0.39%:  that last line was too
0.39%:  that last one is a lie though!!
0.39%:  that was the last hand of
0.39%:  that is enough of that shit
0.39%:  so that was the last of those
0.39%:  that guy ate a sandwich the size of his yet
0.39%:  that one should
0.39%:  so yeah that totally
0.51%:  so yeah that totally sounds
0.38%:  that guy ate a sandwich the size of that 
0.38%:  if you say so!!
0.38%:  that last guy
0.38%:  wait that sounds a little high
0.38%:  so this is the least
0.38%:  that was a lot of lying
0.38%:  this is totally not
0.63%:  this is totally not what
0.38%:  that guy ate a sandwich the size of the hall
0.38%:  guys this is totally what
0.38%:  that was a silly thing to say that
0.38%:  that was not cool
0.38%:  that last one was shitty
0.38%:  that one was a lie though!!
0.38%:  no that was totally a
0.38%:  so what do you say
0.38%:  so the actual
0.38%:  that guy ate a sandwich the size of lot
0.38%:  what the hell is this face saying
0.38%:  so the sandwich is still huge
0.38%:  the sandwich is still
0.38%:  that was last hand though
0.38%:  that last one is way too high
0.38%:  now you
0.38%:  this is the last thing that
0.38%:  that guy ate a sandwich the size of host
0.38%:  that was in
0.53%:  that was in fact
0.59%:  that was in fact the
0.46%:  that was in fact the last
0.38%:  no wait this is the
0.37%:  that one was a little tough
0.37%:  that was not the least
0.37%:  that is enough of that today
0.37%:  that last thing was too
0.37%:  what the hell you
0.37%:  what the hell is this face and
0.37%:  actual
0.37%:  so that last one was self
0.37%:  that was a lot of things to say!!
0.37%:  all
0.65%:  all that
0.93%:  all that was
0.66%:  all that sounds
0.50%:  all that said
0.37%:  all that aside
0.37%:  enough with the flash
0.37%:  that guy ate a sandwich the size of this shell
0.37%:  that was the last of the actual
0.37%:  that was the last thing you had to see
0.37%:  that was silly though
0.37%:  that was also
0.37%:  that guy ate a sandwich the size of that hill
0.37%:  that was a little into
0.37%:  that still
2.26%:  that still sounds
0.37%:  that sounds silly so
0.37%:  yeah that was totally che
0.37%:  that was the last day of
2.03%:  that was the last day of school
0.37%:  yeah that was the last thing you said to
0.37%:  that guy ate a sandwich the size of let
0.37%:  so this is the last thing you
0.37%:  that was totally out
0.80%:  that was totally out of hand
0.37%:  that guy ate a sandwich the size of h is
0.37%:  wait that sounds a little too
0.37%:  so yeah that sounds way
0.37%:  now this
0.36%:  so that was a little second
0.36%:  that was all fiction
0.36%:  that guy ate a sandwich the size of toast
0.36%:  wait that last one should
0.36%:  wait this sounds totally
0.36%:  that guy ate a sandwich the size of the sl
0.36%:  that guy ate a sandwich the size of it all
0.36%:  that was the last guy to
0.36%:  so listen this
0.36%:  that guy ate a sandwich the size of oh shit
0.36%:  this is the end
1.05%:  this is the end of this
0.36%:  so that last one was false
0.36%:  no wait this is totally the
0.36%:  that guy ate a sandwich the size of the hills
0.36%:  hold
0.36%:  that got a little out of hand h
0.36%:  that was cool until
0.36%:  yeah that was a total
0.36%:  that last one was a lie the
0.36%:  yeah that last one was che
0.36%:  what the hell guys
0.36%:  that was the last thing you had to say so
0.36%:  that was totally unc
0.36%:  that guy ate a sandwich the size of his hat also
0.36%:  so the last sandwich guy ate the
0.36%:  this is the last day of this
0.36%:  so what does
0.62%:  so what does that say
0.46%:  so what does this
0.36%:  that guy ate a sandwich the size of oh yeah
0.36%:  yeah that last one was total
0.35%:  this is not
0.35%:  that was a lot of things that you
0.35%:  that was a slight
0.35%:  that was a little dis
0.35%:  so that sounds a
0.47%:  so that sounds a little gay
0.42%:  so that sounds a little che
0.35%:  that was less cool
1.08%:  that was less cool than it
0.42%:  that was less cool than the
0.35%:  that was the last of the things you
0.35%:  that was enough of the
0.35%:  so that was a little high and
0.35%:  that was a lie that guy said that
0.35%:  this is the last of the hands!!
0.35%:  yes that sounds cool
0.35%:  that guy ate a sandwich the size of that hell
0.35%:  the sandwich guy ate his
0.35%:  so this was totally
0.35%:  that guy ate a sandwich the size of is totally
0.35%:  so the thing with this
0.35%:  so that one is
0.35%:  that was actual
0.35%:  that guy ate a sandwich the size of this too
0.35%:  so that is totally what
0.35%:  that was a test and
0.35%:  so that was the last thing the
0.35%:  that was the last thing he
1.21%:  that was the last thing he said to
0.35%:  that last one was a lie you
0.35%:  that was a little cheezed out
0.35%:  that was a lie that should
0.35%:  this is all
0.35%:  what is
0.50%:  what is this
0.35%:  yes that sounds way cool
0.35%:  that guy ate a sandwich the size of a heli
0.35%:  that was the last of the hands this
0.35%:  wait that is totally the
0.35%:  listen this was
0.35%:  that is totally what the
0.35%:  that one was che
0.35%:  that guy ate a sandwich the size of his hat lol
0.34%:  that last one was that
0.42%:  that last one was that guy
0.34%:  that thing
0.34%:  that was a lie the last guy
0.51%:  that was a lie the last guy said that
0.34%:  that was gay
0.34%:  that was not so
0.34%:  that lasted way
0.65%:  that lasted way too long!!
0.34%:  that was a silly thing to say at
0.34%:  so it wasn
0.34%:  that is all
0.34%:  you can tell
0.34%:  so the last sandwich guy ate the size
0.34%:  this was totally the
0.34%:  that last hand
0.34%:  enough with the face
0.34%:  enough with all these
0.34%:  it doesn
0.34%:  that guy ate a sandwich the size he
0.34%:  that was the last laugh
0.34%:  so that was less
0.34%:  that guy ate a sandwich the size of shoes
0.34%:  so the sandwich is this tall
0.34%:  wait that last line is
0.34%:  that guy ate a sandwich the size of hells
0.34%:  no that is totally
0.34%:  so don
0.34%:  that guy ate a sandwich the size of this toe
0.34%:  that one was silly
0.34%:  that guy ate a sandwich the size of all that is
0.34%:  that guy ate a sandwich the size of that lie!!
0.34%:  that was the last of the stages
0.34%:  this is enough
0.34%:  that last one was out
0.34%:  that was a lot of lines to
0.34%:  so the sandwich guy ate that
0.34%:  so the sandwich guy still
1.29%:  so the sandwich guy still ate his
0.53%:  so the sandwich guy still ate the
0.34%:  that last one is the
0.33%:  so when
0.33%:  that guy ate a sandwich the size of his hell!!
0.33%:  you can tell that
0.33%:  so that was the end
0.84%:  so that was the end of that
0.33%:  that was totally shit
0.33%:  that guy ate a sandwich the size of this o
0.33%:  that guy ate a sandwich the size of all the shit
0.33%:  that guy was
0.71%:  that guy was totally
0.33%:  that is the last sandwich
0.33%:  what the hell is that face and
0.33%:  so that was the thing
0.33%:  yeah that one
1.10%:  yeah that one was totally
0.33%:  that was a tough
0.33%:  what is the
0.33%:  so that thing
0.33%:  that is the last of these and
0.33%:  that only
0.33%:  this last one was a total
0.33%:  yeah that was a lie and
0.33%:  that guy ate a sandwich the size of a le
0.33%:  that last one was a lie though this
0.33%:  so that totally doesn
0.33%:  that was the last of the hands you got
0.33%:  so the sandwich the size of its
0.33%:  that was totally it
0.33%:  that was a lie and if
0.33%:  that second
0.33%:  that was a little too head
0.33%:  and that was
0.37%:  and that was the
0.33%:  that guy ate a sandwich the size of his host!!
0.33%:  listen if
0.33%:  that guy ate a sandwich the size of a toy
0.33%:  this last one got
0.41%:  this last one got away
0.33%:  that last one had
0.33%:  that last one has
0.33%:  though!!
0.33%:  that was totally the end
0.60%:  that was totally the end of this
0.33%:  that last one was such
0.37%:  that last one was such a lie
0.33%:  that guy ate a sandwich that is his
0.33%:  that guy ate a sandwich the size of a y
0.33%:  what the hell is that song that
0.33%:  what the hell does this thing taste
0.33%:  enough with these
0.33%:  so the sandwich guy ate a lot
0.33%:  that guy ate a sandwich the size of his shoe at
0.32%:  that guy ate a sandwich the size of his hy
0.32%:  cool that was fun
0.32%:  that guy ate a sandwich the size of a loose
0.32%:  that was a lie the last thing
0.32%:  totally
0.32%:  so the thing is that if
0.32%:  that was a lie though that last
0.32%:  so the sandwich guy ate the size
0.52%:  so the sandwich guy ate the size of this
0.32%:  hold on that
0.34%:  hold on that last
0.32%:  so that last line is
0.32%:  listen you
0.32%:  that was the highest
0.32%:  wait a
5.80%:  wait a second that
2.02%:  wait a second that last
1.96%:  wait a second this
1.52%:  wait a second this is totally
1.41%:  wait a second that totally
0.67%:  wait a second that is
0.58%:  wait a second this is totally the
0.54%:  wait a second this is all
0.51%:  wait a second that is totally
0.45%:  wait a second this totally
0.40%:  wait a sec
0.39%:  wait a sec that
1.40%:  wait a sec that sounds
0.39%:  wait a sec that sounds totally
0.38%:  wait a second this is the
0.35%:  wait a second this last
0.35%:  wait a second this has
0.51%:  wait a second this has totally
0.32%:  so now that you
0.32%:  that was the last one so this
0.32%:  that one was a little cheez
0.32%:  that guy ate a sandwich the size of his totally he
0.32%:  now say
0.59%:  now say that
0.33%:  now say that last
0.32%:  that was totally a ghost
0.32%:  yeah that last thing
0.34%:  yeah that last thing was a
0.32%:  so the sandwich is the size of a hat
0.32%:  so that was a total lie though
0.32%:  no wait that still
0.32%:  that guy ate a sandwich this size of
0.32%:  that guy ate a sandwich the size of the hot
0.32%:  that guy ate a sandwich the size of the silly
0.39%:  that guy ate a sandwich the size of the silly hat
0.32%:  that was a lie that guy told
0.32%:  that last one was a lie though the
0.32%:  that one was a lie!!
