know just enough about science for that to be really credible!!
41.65%:  think
2.23%:  should totally write that book for science ner
1.03%:  think we all just found our science theory
1.03%:  think you just ut
1.03%:  think you just heard science get
1.03%:  hate to break this to you but all
2.08%:  hate to break this to you but all science
1.03%:  just thought of a really cool new idea
1.03%:  really need to think about how science
1.03%:  feel like you just brought science down a notch to
1.03%:  just got the idea for the cool
1.03%:  hate to break it to the
2.79%:  hate to break it to the world
2.76%:  hate to break it to the science
14.94%:  hate to break it to the science world
2.44%:  hate to break it to the science guys
1.71%:  hate to break it to the science crowd
1.02%:  just got a new science
5.37%:  just got a new science theory
3.34%:  just got a new science theory!!
2.56%:  just got a new science theory for
1.41%:  just got a new science theory about
1.40%:  just got a new science theory for dark
1.35%:  just got a new science theory called
1.02%:  think you should be on
1.02%:  wrote a book about this once
3.49%:  wrote a book about this once!!
1.02%:  think we just found science to
1.02%:  think you just rewrote all of science to be the
1.02%:  think you just got another
1.02%:  forgot that science can be
1.54%:  forgot that science can be used
1.02%:  could be wrong about all the science but they
1.02%:  should write that science book before
1.02%:  totally just broke science for the
1.02%:  think you just got real science all
1.02%:  think we all just created
1.24%:  think we all just created science
1.02%:  just thought of your idea!!
1.02%:  need to write a book about science!!
1.02%:  could be wrong about all the science but at
1.02%:  just laughed
1.70%:  just laughed out
1.02%:  just figured out who really
1.02%:  think you just got the science award of
1.02%:  would like to be the only
1.02%:  could be totally wrong about other
1.02%:  think science just totally
1.02%:  should write that science book before anyone
1.02%:  just got ch
1.02%:  think you are the
1.02%:  just got a new theory for science and
1.02%:  could be wrong about all of science but that theory
1.02%:  think we just found the great
1.02%:  totally just figured out how to clean
1.02%:  could be totally wrong about fake
1.02%:  think you just won a free
1.02%:  think you should go tell
1.02%:  just talked about science theory for
1.02%:  hate to burst your balloon but we
1.02%:  feel like you just brought science to bear and
1.02%:  like that better than regular
1.02%:  totally just learned
1.76%:  totally just learned about
1.13%:  totally just learned about science
3.30%:  totally just learned about science through
1.08%:  totally just learned about science!!
1.02%:  think that could be real science
1.19%:  think that could be real science!!
1.02%:  need to think about all the
1.02%:  think we just found a really cool
2.33%:  think we just found a really cool science
1.02%:  feel like that would just be science
1.02%:  think you need
2.14%:  think you need to call
1.99%:  think you need to go
1.26%:  think you need to tell
1.15%:  think you need to call science
1.14%:  think you need to get
1.02%:  totally figured out how
1.02%:  totally just broke science for real!!
1.02%:  could be wrong about all of the science that
1.02%:  think you just blew all the science bro
1.02%:  think you just got called out on
1.02%:  just got a really cool idea for the
1.02%:  need to figure out how to block that
1.02%:  need to go to the library so
1.02%:  think you just fell down a
1.20%:  think you just fell down a science
1.02%:  thought you were all fake bros but
1.02%:  just thought of a way to look
1.02%:  think you found the best
1.02%:  totally forgot we could just
1.01%:  feel like that just got real
1.01%:  think we should go tell
1.01%:  need to write a science book that
1.01%:  need to talk to the science guys real
1.01%:  thought about it really
1.01%:  could be totally wrong about these science
1.01%:  think you should go out
1.01%:  just thought of a really cool new idea!!
1.01%:  should write a book about the great
1.01%:  kinda just
1.17%:  kinda just thought
1.01%:  think we found out about the
1.01%:  need to figure out how to sell that!!
1.01%:  thought you worked in science!!
1.01%:  just figured out another way the
1.01%:  forgot about all the science words you
1.01%:  should write a science lecture for
1.01%:  just figured out that we can
1.01%:  need to go to the science library so
1.01%:  hate to be the one to burst your world full
1.01%:  could be wrong about the science on that but
1.01%:  could write books
14.60%:  could write books about that
18.06%:  could write books about that!!
5.65%:  could write books about that theory
10.95%:  could write books about that theory!!
1.35%:  could write books about the
3.24%:  could write books about the science
1.66%:  could write books about the science of that
4.40%:  could write books about the science of that!!
1.01%:  hate to burst your balloon there but
1.01%:  just broke through science to
1.01%:  just thought of a science article!!
1.01%:  just got turned on by science for what
1.01%:  can totally see that being
1.31%:  can totally see that being true
2.22%:  can totally see that being true!!
1.01%:  totally just figured that one
1.01%:  just thought of a really cool dark
1.01%:  could write a book just about all
4.50%:  could write a book just about all the science
1.01%:  wonder if that theory
1.01%:  just got turned on by a science teacher
1.44%:  just got turned on by a science teacher!!
1.01%:  think we just found out that all
1.47%:  think we just found out that all science
1.01%:  can totally go
2.19%:  can totally go with that!!
1.70%:  can totally go for
2.75%:  can totally go for that!!
1.01%:  would like to return
2.73%:  would like to return to the
22.61%:  would like to return to the subject
7.91%:  would like to return to the subject of science
1.01%:  just got a theory
1.36%:  just got a theory about
1.00%:  just got a totally
1.27%:  just got a totally new
5.54%:  just got a totally new idea for science
6.06%:  just got a totally new idea for science!!
1.00%:  just thought of it at
1.00%:  really just want to be right about one
1.00%:  think you just changed science 
1.00%:  think you found the secret to all
1.41%:  think you found the secret to all science
1.18%:  think you found the secret to all science!!
1.00%:  think you just found the real science to
1.00%:  really just wanted to go
1.00%:  just called you out on being
1.00%:  think that could be our answer to
1.00%:  should totally be working on science
1.00%:  really hate
1.63%:  really hate to break
1.00%:  think that just blew
1.00%:  just looked
1.27%:  just looked into
12.85%:  just looked into the future
2.33%:  just looked into the future!!
1.89%:  just looked into the face
1.00%:  forgot about the third
1.00%:  always liked
1.00%:  just got a whole
1.02%:  just got a whole bunch
6.99%:  just got a whole bunch of science
1.00%:  forgot to include all the other ways
1.00%:  need to get back to earth
1.00%:  thought you were still around!!
1.00%:  need to talk to that guy!!
1.00%:  need to write a book about all the science
1.00%:  really just wanted to hear
1.00%:  should get out of the science club
1.00%:  really hate to burst
1.00%:  just blew your science right out the back end!!
1.00%:  could be wrong about you
1.00%:  could be wrong about the science but they still
1.00%:  feel like you just changed both
7.13%:  feel like you just changed both science
2.75%:  feel like you just changed both our
1.00%:  could be wrong about all this but the
1.06%:  could be wrong about all this but the science
1.00%:  just thought of a reality
1.00%:  really need to talk about how
1.00%:  think you just about
1.00%:  just thought of a dark
1.00%:  think you just b
0.99%:  just got turned on by science talk!!
0.99%:  feel like you just wrote a
2.20%:  feel like you just wrote a science
0.99%:  feel like that was
0.99%:  feel like science just got 
0.99%:  think you just won the science race of our
0.99%:  think science just blew your
0.99%:  thought about you
0.99%:  just thought of a better way science could kill
0.99%:  think you just touched on a
0.99%:  feel like we could just
0.99%:  just broke the world
0.99%:  really thought it would be sooner
0.99%:  totally just thought of a science word
0.99%:  forgot about all the other science!!
0.99%:  should write that science book you
0.99%:  totally forgot about what
0.99%:  could totally be right about what
0.99%:  just figured out that all the science we
0.99%:  think you just blew science for
0.99%:  should write science factual
0.99%:  just thought of a science word
0.99%:  really thought it would be faster
0.99%:  thought you were just a little
0.99%:  could totally write a book just
0.99%:  need to work for the
2.66%:  need to work for the science
0.99%:  like how you brought
1.47%:  like how you brought science
0.99%:  forgot about black holes and they
0.99%:  just figured out how to retro
0.99%:  just figured out how to be real
0.99%:  just got hit by a bullet of science and now
0.99%:  should write a book about the science of bull
0.99%:  just wrote a science book and forgot
0.99%:  just figured out how to not only be
0.99%:  would really rather not be
0.99%:  need to go write that science
0.99%:  would like that theory to be false
0.99%:  could be right about all of
0.99%:  just got a science idea
1.54%:  just got a science idea!!
0.99%:  totally agree with that
1.27%:  totally agree with that!!
0.98%:  think you just rewrote the fr
0.98%:  think you just got all of science on
0.98%:  could be wrong about the science in
2.25%:  could be wrong about the science in that
0.98%:  think that just got
0.98%:  think you just brought science to all
0.98%:  forgot about that because there
0.98%:  should totally be the
1.71%:  should totally be the one to figure
0.98%:  just got really turned on for like
0.98%:  should totally write a book but change
0.98%:  think you just brought science to real
0.98%:  need to start science
3.17%:  need to start science blog
0.98%:  thought you cared
151.73%:  thought you cared about science
48.30%:  thought you cared about science!!
7.38%:  thought you cared about science before
6.13%:  thought you cared about science not
3.30%:  thought you cared about science too
3.14%:  thought you cared about science too!!
2.28%:  thought you cared about science before!!
1.93%:  thought you cared about science like
1.62%:  thought you cared about science not fair
1.36%:  thought you cared about science now
1.27%:  thought you cared about real
29.46%:  thought you cared about real science!!
2.33%:  thought you cared about real science before
1.82%:  thought you cared about real science before!!
1.24%:  thought you cared about science for
0.98%:  should really get back to that
0.99%:  should really get back to that science
0.98%:  just got an idea for how to turn
1.73%:  just got an idea for how to turn science
0.98%:  think you should be an
0.98%:  just blew science right out of your head
0.98%:  just forgot
1.66%:  just forgot about
0.98%:  could totally be wrong about the science of the
0.98%:  would like to see the science of
3.35%:  would like to see the science of that!!
0.98%:  think we all just agreed to science
0.98%:  think you just change
2.73%:  think you just change science
1.09%:  think you just change science for
1.18%:  think you just change science for all
0.98%:  should go write a science book about
4.47%:  should go write a science book about that!!
0.98%:  could be wrong about a tiny
0.98%:  thought you were on board for
0.98%:  could be wrong about the science here but also
0.98%:  hate to break it to the science bro
0.98%:  think you just won the debate club for
0.98%:  just figured out that one science
0.98%:  think you just changed real science to better
0.98%:  think we all just found out a
0.98%:  had not
0.98%:  totally just figured out how to be a rock
0.98%:  just figured that one out all
0.98%:  need to figure out what colour the
1.32%:  need to figure out what colour the sky
0.98%:  like that better!!
0.98%:  think you just created science out
4.24%:  think you just created science out of whole
3.68%:  think you just created science out of nowhere
0.98%:  think you need to call science about
0.98%:  just figured out how to attack
0.98%:  feel like the science
1.38%:  feel like the science world
4.85%:  feel like the science world just
0.99%:  feel like the science world just got a bunch
0.98%:  totally just ruined science for the
2.70%:  totally just ruined science for the whole
0.98%:  should totally go to
1.74%:  should totally go to science
0.98%:  totally just figured out how to rec
0.98%:  just got a science boner real
0.98%:  would totally be on
0.98%:  just got an idea for a new science lecture
1.36%:  just got an idea for a new science lecture!!
0.98%:  should write a book on the science of reject
0.98%:  thought science was totally
0.98%:  just talked about science!!
0.97%:  just went through a
0.97%:  just thought of a brand new science lecture
0.97%:  could be wrong about the science here but at
0.97%:  could get into
1.31%:  could get into that!!
1.07%:  could get into that theory
0.97%:  just had an org
0.97%:  just thought of a way to be cool
0.99%:  just thought of a way to be cooler
0.97%:  feel like you just brought science too hard
0.97%:  think you just changed all science bro!!
0.97%:  really just figured out where
0.97%:  swear to you
0.97%:  should really write that book about
1.18%:  should really write that book about science
0.97%:  could be wrong about the science of this!!
0.97%:  need to talk to the science guys who
0.97%:  could be wrong about all this other
0.97%:  can not
0.97%:  could be wrong about that one but
0.97%:  could be wrong about the rest of science theory
0.97%:  would call that the best science
1.83%:  would call that the best science joke
0.97%:  really need to figure out how that science
0.97%:  thought science was about reject
0.97%:  forgot all about that science!!
0.97%:  just figured out a totally
0.97%:  just figured out a totally new science
0.97%:  could totally write a science book for that
1.23%:  could totally write a science book for that!!
0.97%:  think you should call science
2.34%:  think you should call science about
0.97%:  think we all just got real
0.97%:  forgot we
0.97%:  think you just got real science for once
0.97%:  will take
1.36%:  will take that
4.07%:  will take that theory
5.81%:  will take that theory under
2.14%:  will take that theory under careful
2.05%:  will take that under
1.25%:  will take that theory to science
0.97%:  would like that science
1.58%:  would like that science to be true
1.45%:  would like that science to be real
0.97%:  really need to figure out how to talk science just
0.97%:  would like to be the last one
0.97%:  think you just blew all of our science!!
0.97%:  feel like that should be a
0.97%:  would like that story
0.97%:  could write a book about the theory
0.97%:  really need to work on that science
0.97%:  would like that to be true about
0.97%:  need to talk to all the other
1.56%:  need to talk to all the other science
1.73%:  need to talk to all the other science guys
1.01%:  need to talk to all the other science guys!!
0.97%:  really just wrote that out
1.85%:  really just wrote that out loud for
0.97%:  forgot all about that whole
0.97%:  think you just created a science where all
0.97%:  think you just found the career
0.97%:  thought you were cute!!
0.97%:  just broke science again
0.97%:  would like to further
0.97%:  need to work on that theory for
3.49%:  need to work on that theory for science
1.28%:  need to work on that theory for science!!
0.97%:  think you just won the science debate for 
0.97%:  forgot about the other reason
0.97%:  refuse to be out
0.97%:  just figured out all the science by
0.97%:  totally forgot about this whole
2.47%:  totally forgot about this whole dark
0.97%:  need to go back to the future with
0.97%:  just broke the science with
0.97%:  should totally write a science joke about
0.97%:  think science just got a whole lot real
0.96%:  could totally go for that one!!
0.96%:  just thought of a way our
1.14%:  just thought of a way our entire
1.08%:  just thought of a way our entire science
0.96%:  could be wrong about that for
1.46%:  could be wrong about that for sure
0.96%:  thought about it before but
0.96%:  feel like you just blew science out
0.96%:  think the world
7.42%:  think the world just got a lot
2.52%:  think the world just got about
2.09%:  think the world just got one
1.51%:  think the world just got real
1.49%:  think the world just got really
1.44%:  think the world just got 
0.96%:  just figured out how to create a theory
0.96%:  just blew the entire
2.27%:  just blew the entire science
0.96%:  think you just got all the science about
0.96%:  should write a science lecture book!!
0.96%:  think you just created a science blog for
0.96%:  just got called out on the science
0.96%:  just figured out how to take all the cool science ner
0.96%:  just blew all
2.39%:  just blew all your
3.39%:  just blew all your science
2.53%:  just blew all your science right
12.96%:  just blew all your science right out the
21.81%:  just blew all your science right out the back
72.39%:  just blew all your science right out the back door!!
26.96%:  just blew all your science right out the back of
26.95%:  just blew all your science right out the back door of
20.99%:  just blew all your science right out the door
19.98%:  just blew all your science right out the door!!
6.01%:  just blew all your science right out of the back
4.99%:  just blew all your science right out of the ocean
4.67%:  just blew all your science right out the front
4.55%:  just blew all your science right out of the ocean!!
4.12%:  just blew all your science right out of the back door
3.57%:  just blew all your science right out the freak
3.34%:  just blew all your science right out of the back door!!
2.76%:  just blew all your science right out the back end
2.51%:  just blew all your science right outta
2.43%:  just blew all your science right out of the dark
1.95%:  just blew all your science right out the back end!!
1.80%:  just blew all your science right out the roof
1.78%:  just blew all your science out
1.58%:  just blew all your science right out the roof!!
1.30%:  just blew all your science out of the air
1.27%:  just blew all your science out of the air!!
1.17%:  just blew all our
4.27%:  just blew all our science
1.60%:  just blew all our science right
9.04%:  just blew all our science right out the
15.99%:  just blew all our science right out the door
11.62%:  just blew all our science right out the back
57.35%:  just blew all our science right out the back door!!
13.64%:  just blew all our science right out the back door of
12.43%:  just blew all our science right out the back of
4.93%:  just blew all our science right out of the back
5.70%:  just blew all our science right out of the back door
5.07%:  just blew all our science right out of the back door!!
4.27%:  just blew all our science right out of the ocean
3.90%:  just blew all our science right out of the ocean!!
3.58%:  just blew all our science right out the front
2.54%:  just blew all our science right out the freak
1.65%:  just blew all our science right out the back end
1.34%:  just blew all our science right out the back end!!
1.29%:  just blew all our science right out of the door
1.26%:  just blew all our science out
1.23%:  just blew all our science right outta
1.38%:  just blew all our science right outta the freak
1.05%:  just blew all your science right out of the door
1.04%:  just blew all your science out of the god
1.01%:  just blew all your science right outta here
0.99%:  just blew all your science right out of the door!!
0.96%:  just thought of it and wrote
0.96%:  totally just blew the
1.20%:  totally just blew the roof
0.96%:  think we just had a science
0.96%:  just thought of a new career to
0.96%:  could be wrong about this other
0.96%:  need to figure out what colours
0.96%:  think you forgot
0.96%:  could be wrong about that too
0.96%:  thought you were an at
0.96%:  need to figure out what just
0.96%:  would like to go to that
0.96%:  think you just ate
0.96%:  should get back to the library!!
0.96%:  just got an idea for a bunch
0.96%:  just totally figured out how to be a science bro
1.52%:  just totally figured out how to be a science bro!!
0.96%:  think you just blew science out the front
2.00%:  think you just blew science out the front door!!
0.96%:  think you just created a new science for all
0.96%:  think you just wrote a science blog that
0.96%:  would like to get to
0.96%:  could be wrong about all the other science!!
0.96%:  totally just thought of a new idea!!
0.96%:  forget how
0.96%:  would call this the
0.96%:  just figured out that science can be
0.96%:  really just thought about it
1.68%:  really just thought about it for
0.96%:  just figured out that we are
0.96%:  just figured out how to beat all science
0.96%:  think you found a
0.96%:  thought you were cool before
2.23%:  thought you were cool before but
0.96%:  can totally get on board with the science
0.96%:  was about to declare
0.96%:  could write a science blog
41.04%:  could write a science blog about that!!
2.53%:  could write a science blog about that theory
3.20%:  could write a science blog about that theory!!
1.28%:  could write a science blog about that one
4.26%:  could write a science blog about that one!!
0.96%:  think we just got real
2.62%:  think we just got real science
0.96%:  totally just thought of science career
0.96%:  just got turned on by science for real
0.95%:  need to know about
1.94%:  need to know about this!!
0.95%:  just figured out why there are no
1.43%:  just figured out why there are no black
0.95%:  just blew all our science right out the roof
0.95%:  think that would be science
0.95%:  should get a science book
3.16%:  should get a science book written
4.08%:  should get a science book written about
1.45%:  should get a science book written by
0.95%:  just figured out how to look
0.95%:  forgot you were such
2.51%:  forgot you were such a science
4.20%:  forgot you were such a science bro!!
0.95%:  just figured out all science at the
0.95%:  just thought of a really bad science book!!
0.95%:  think you just blew our god
0.95%:  think we all just found the real science
0.95%:  need to write a book that
0.95%:  just figured out a way to tell the
0.95%:  really should get to
2.45%:  really should get to know
1.54%:  really should get to work
8.25%:  really should get to work on that science
0.95%:  think we found out the
2.62%:  think we found out the secret
1.23%:  think we found out the true
0.95%:  just figured out a way to be the
0.95%:  could be wrong about this theory of science
0.95%:  just created a new science theory for
0.95%:  forgot about that while
0.95%:  would like that to be true enough for science
0.95%:  think we all just had our science
0.95%:  just figured out how to teach science!!
0.95%:  thought you were nice for
0.95%:  could be wrong about all the science but it
0.95%:  would totally go to
0.95%:  totally forgot about science when
0.95%:  could totally write a science book for teen
0.95%:  just think
2.48%:  just think about
1.09%:  just think about that
2.03%:  just think about that for
1.04%:  just think about science
1.09%:  just think about science too hard!!
0.95%:  just thought about science for once
0.95%:  just thought of one word
0.95%:  could totally be the first to
0.95%:  figured that
1.26%:  figured that out!!
0.95%:  think you just wrote a science fan
0.95%:  just figured out how to talk science ner
0.95%:  need to go think about all the ways
0.95%:  totally just thought of new
4.39%:  totally just thought of new science
2.07%:  totally just thought of new science career
1.89%:  totally just thought of new dark
0.95%:  think you just altered the science
0.94%:  thought you were all fake bros!!
0.94%:  think you just brought all of science to one
0.94%:  need to tell you about the
0.94%:  just thought of a new science related
0.94%:  would like to return to the subject of bro
0.94%:  could be wrong about the other ones
0.94%:  thought you were all about facts
0.94%:  would like to forget
1.80%:  would like to forget that
1.51%:  would like to forget that you
1.15%:  would like to forget that just
0.94%:  need to talk to science right
6.53%:  need to talk to science right now!!
2.28%:  need to talk to science right away
0.94%:  really should be taking
0.94%:  need to talk to the other science guys!!
0.94%:  forgot to think about how
0.94%:  think you just brought a science debate
0.94%:  need to go think for
0.94%:  need to write a science blog
0.94%:  need to think about that really
0.94%:  just thought about science for a
0.94%:  think you just found a great science career
0.94%:  totally should write a book of
4.62%:  totally should write a book of science
0.94%:  just figured out how to tell a
0.94%:  just thought of a word
0.94%:  just blew your brain
0.94%:  should write a science lecture book about
0.94%:  think you just got one of
0.94%:  think you just got the award for science
0.94%:  just figured out how to relate
2.07%:  just figured out how to relate science
0.94%:  need to talk to you for hours right
0.94%:  would like to share
0.94%:  would like to say that that
0.94%:  just thought of it but now
0.94%:  just figured out that the real
0.94%:  just broke the entire
1.60%:  just broke the entire science
6.02%:  just broke the entire science world
4.50%:  just broke the entire science world!!
0.94%:  can totally see that working for the science bro
0.94%:  just figured out how to break the science
0.94%:  think you just hurt
0.94%:  would like that to be the subject of science
0.94%:  totally should write about
0.94%:  really just figured out how the
0.94%:  should get back to you on that later!!
0.94%:  forgot about the other reason we built
0.94%:  could be totally right about the fake
0.94%:  feel like that just blew
0.94%:  forgot to talk about how
0.94%:  could be wrong about all of this but then
0.94%:  think you just blew science outta
0.94%:  would totally go for that because then science
0.94%:  forgot about all that science junk
0.94%:  feel like you just threw out a science
0.94%:  already know about
0.93%:  need to go back to the library to learn how science
0.93%:  would like to close
0.93%:  should tell
1.01%:  should tell you
1.77%:  should tell you about
1.04%:  should tell you about the
0.93%:  just wrote a science article that nobody
0.93%:  hate to break this to our
0.94%:  hate to break this to our science
0.93%:  could write a best
0.93%:  was looking
2.27%:  was looking for that
0.95%:  was looking for the
0.93%:  should write a science book about that guy
0.95%:  should write a science book about that guy!!
0.93%:  could totally be right about the non
0.93%:  feel like science just got the
0.93%:  just thought of like 
0.93%:  think science just got cool!!
0.93%:  think you just changed real science for re
0.93%:  just called you out for not being a
0.93%:  totally forgot about those
0.93%:  totally just got owned
0.93%:  feel like you just brought down science!!
0.93%:  could be wrong about this one theory!!
0.93%:  just blew science right out of your head!!
0.93%:  thought for
8.59%:  thought for sure you
2.48%:  thought for certain
3.23%:  thought for certain you
7.63%:  thought for certain you were just
3.44%:  thought for certain you would
2.69%:  thought for certain you were about
2.46%:  thought for sure you were on
2.41%:  thought for certain you wouldn
2.37%:  thought for sure you weren
2.25%:  thought for certain you would be
1.97%:  thought for certain you weren
1.67%:  thought for sure you were a
1.44%:  thought for sure you were a science
1.35%:  thought for sure you were done
1.30%:  thought for sure nobody
1.10%:  thought for sure science
4.77%:  thought for sure science would let
4.16%:  thought for sure science would be
6.69%:  thought for sure science would be able
3.59%:  thought for sure science would be able to clear
2.63%:  thought for sure science would back
2.19%:  thought for sure science would be able to take
1.72%:  thought for sure science would be on
1.24%:  thought for sure science would reject
1.20%:  thought for sure science would totally
1.09%:  thought for sure science would be totally
1.08%:  thought for certain you were a
1.07%:  thought for sure we
1.02%:  thought for certain you were just a
0.98%:  thought for certain you were not
0.98%:  thought for sure science would be able to back
0.94%:  thought for sure science would take
0.93%:  should totally write science for
0.93%:  like that theory best
0.93%:  just broke science and
0.93%:  thought you were real science for
6.08%:  thought you were real science for a second!!
1.41%:  thought you were real science for a second but
0.93%:  could be a
0.93%:  forgot about that earlier
0.93%:  think the science world just got an
0.93%:  always forget to include that
0.93%:  could be totally right about these fake bro
0.93%:  just created a theory for science
0.93%:  think that could be your
1.54%:  think that could be your best
0.93%:  need to get back to the science lab!!
0.93%:  could be wrong about all of the other science
0.93%:  really need to figure out how to act
0.93%:  think you just blew that one
0.93%:  just killed science for you
0.93%:  just thought of a new and better science book!!
0.93%:  just wrote a science book and then you
0.93%:  need to go to the science store
0.93%:  totally just figured out what one
0.93%:  just blew your entire thought
0.93%:  think you just rewrote all the science of our
0.93%:  think science just found out who really
0.93%:  thought you worked at
0.93%:  think you just grabbed the science crown for
0.93%:  just figured out the only real
0.93%:  like the sound of your science better than actual
0.93%:  just blew all your science right out the door of
0.93%:  would like to go to there!!
0.93%:  really think we should go to
0.93%:  should write that book real
0.93%:  really need to talk about this further
0.93%:  think you just created a better science for
0.93%:  totally just thought of black
0.93%:  like how you just turned
0.93%:  just broke the science world
0.93%:  hate it when you science
0.93%:  feel like that would be such
0.93%:  thought you were real friends
0.93%:  need to go back to the science library now
0.95%:  need to go back to the science library now!!
0.92%:  just figured out what three
0.92%:  just thought of a really science
0.92%:  can totally write
1.09%:  can totally write a science
3.84%:  can totally write a science book
0.92%:  should write a science book for the young
0.92%:  forgot that one
0.92%:  think you just created the new science for
0.92%:  forgot about the current
0.92%:  just got an idea for how science can
0.92%:  need to get to work on a
1.02%:  need to get to work on a science
0.92%:  really should know about science better!!
0.92%:  could totally write a science book just about
0.92%:  totally just figured out real science here
0.92%:  should totally write a science book for three
0.92%:  just got all the science in
0.92%:  think you just beat science!!
0.92%:  just figured out how to talk science to ner
0.92%:  just thought of two science
0.92%:  just figured out that the only real
0.92%:  think you just called a
0.92%:  really just thought about science for a
0.92%:  feel like you just brought the world
0.92%:  think you forgot to breathe
0.92%:  need to start looking for science
0.92%:  need to go think about that for 
0.92%:  just called you out on being fake
0.92%:  would like to hug that
0.92%:  think you just brought down all science bro
0.92%:  refuse to think about what could
0.92%:  think science just got better for
0.92%:  just got hit by a truck!!
0.92%:  need to figure out how to use
1.70%:  need to figure out how to use that
1.03%:  need to figure out how to use science
0.92%:  really just wanted to figure out the
0.92%:  forgot to include all the science!!
0.92%:  just got hit by a science bullet to
0.92%:  just thought of a way to be science
0.92%:  thought science was better
0.92%:  forgot that you could
0.92%:  should totally write science fact book
0.92%:  just thought of a brand new science lecture to
0.92%:  think you just fell down a science hole
0.92%:  just figured out a science theory!!
0.92%:  forgot all about that when
0.92%:  really need to figure out how to turn back
0.92%:  totally forgot about the real
0.91%:  really need to take
0.91%:  can get
3.86%:  can get behind that!!
0.91%:  just went through all of science to deb
0.92%:  just went through all of science to debunk a
0.91%:  reject this theory for one
0.91%:  just thought of a way to kill science!!
0.91%:  wish you
0.91%:  just thought of a brand new science book!!
0.91%:  would like to be the last to
0.91%:  just got all the dark
0.91%:  feel like you just grabbed
0.91%:  think we just totally found
0.91%:  really need to figure out how to start a
2.41%:  really need to figure out how to start a science
7.64%:  really need to figure out how to start a science club
2.30%:  really need to figure out how to start a science club!!
0.91%:  totally should write a book on
0.91%:  think you just changed science a
0.91%:  just fell down
5.07%:  just fell down a rabbit hole!!
3.05%:  just fell down a rabbit hole to
2.29%:  just fell down a rabbit hole to science
1.80%:  just fell down a rabbit hole there
1.51%:  just fell down a rabbit hole that
1.44%:  just fell down a rabbit hole to the
1.31%:  just fell down a rabbit hole there!!
1.13%:  just fell down a rabbit hole to another
0.98%:  just fell down the
19.02%:  just fell down the rabbit hole!!
7.03%:  just fell down the rabbit hole to
17.28%:  just fell down the rabbit hole to science
4.91%:  just fell down the rabbit hole to science!!
2.81%:  just fell down the rabbit hole you
1.45%:  just fell down the rabbit hole onto
1.22%:  just fell down the science
126.66%:  just fell down the science rabbit hole!!
9.43%:  just fell down the science rabbit hole to
8.93%:  just fell down the science rabbit hole you
6.93%:  just fell down the science rabbit hole but
1.75%:  just fell down the science rabbit hole about
1.70%:  just fell down the science rabbit hole to a
1.65%:  just fell down the science rabbit hole on
3.68%:  just fell down the science rabbit hole on you
2.31%:  just fell down the science rabbit hole on you!!
1.12%:  just fell down the science rabbit hole on your
1.09%:  just fell down the science rabbit hole once
1.06%:  just fell down the rabbit hole but
1.03%:  just fell down the science rabbit hole but you
1.01%:  just fell down the rabbit hole to a
0.98%:  just fell down a rabbit hole about
0.91%:  should totally write a book about the science!!
0.91%:  could be wrong about all of the science but this
0.91%:  just got another theory
1.19%:  just got another theory for
0.91%:  should really be
0.91%:  could totally go with
1.16%:  could totally go with that!!
0.91%:  forgot you were a science bro until
4.07%:  forgot you were a science bro until just then
5.47%:  forgot you were a science bro until just then!!
0.91%:  just think of you
0.91%:  think you just got real science bro
0.91%:  could be right about one of
1.49%:  could be right about one of the
0.91%:  was talking about the science
0.91%:  just figured out how to be all
2.11%:  just figured out how to be all science
0.91%:  just thought of a way to link
1.12%:  just thought of a way to link science
0.91%:  forgot you were the
0.91%:  would like to note that science just
0.91%:  could be wrong about reality!!
0.91%:  thought for sure we could
0.91%:  would like to note that science has
0.91%:  like the sound of that guy!!
0.91%:  need to talk to you about how
0.91%:  think we just found out all
1.17%:  think we just found out all science
1.05%:  think we just found out all the
1.82%:  think we just found out all the science
0.91%:  thought you were on board for science
0.91%:  just figured out where all science
0.91%:  just totally figured out the science!!
0.91%:  thought you were a science fan
0.91%:  could write a science book that gets
0.91%:  could write a book on the
2.58%:  could write a book on the science
3.25%:  could write a book on the science of that
4.92%:  could write a book on the science of that!!
0.91%:  think you just brought science too far down
0.91%:  thought nobody
0.91%:  hate to break it to you bro but
0.91%:  just fell down the science rabbit hole too
0.91%:  just figured out what real black
0.91%:  need to be
0.91%:  just figured out the key to all
3.01%:  just figured out the key to all science
2.61%:  just figured out the key to all science!!
0.91%:  totally don
0.91%:  could totally be working on the future
1.67%:  could totally be working on the future science
0.91%:  think science just got really real for the
0.90%:  just called you a giant
1.11%:  just called you a giant bro
0.90%:  could totally write an
0.90%:  could go
2.48%:  could go for that
1.58%:  could go for that theory
0.90%:  should write a science book for that!!
0.90%:  could totally see that working on
0.90%:  think you just won the science bro debate
0.90%:  could be wrong about a lot of science then
0.90%:  figured that out just
1.76%:  figured that out just now!!
0.90%:  think science just got totally
0.90%:  really need to get out of town
0.90%:  just got a new theory for black
0.90%:  think we all just got real science
0.90%:  think we just found the cure to all
1.52%:  think we just found the cure to all science
0.90%:  need to think about these
0.90%:  think you just rewrote all of science to declare
0.90%:  just fell down a rabbit hole that took
0.90%:  think we just totally found out
0.90%:  just totally figured out how the science
0.90%:  thought you were a science friend but
0.90%:  think we all just found a science
0.90%:  think you just got science fact
0.90%:  forgot about that and you
0.90%:  hate it when science gets all
0.90%:  could totally write science books about
0.90%:  could totally write a fan
