spend another decade making it so it can say other stuff too, okay?
100.00%: 
38.20%:  make
3.25%:  take him to a doctor and find
5.40%:  take him to a doctor and find out if
2.46%:  put that on a sign
2.46%:  keep doing this for at
2.46%:  make another one for us and
2.46%:  kiss him on top
3.07%:  kiss him on top of our
2.46%:  go party
2.45%:  feed him a
2.45%:  spend another decade making sure it says that to
2.45%:  take it to the park and see
2.44%:  kiss each
2.44%:  go check
2.43%:  spend the rest of time
2.43%:  keep that under
2.43%:  take turns making
2.43%:  spend the day
4.12%:  spend the day making
2.42%:  go home and stroke
2.42%:  put that on a fr
2.42%:  go dance
2.41%:  get another one of those for
2.40%:  take him to a park
2.40%:  spend another decade making that first
2.40%:  do it again and make
2.39%:  do that more often, you and
2.39%:  make sure that doesn
2.39%:  spend another decade making it say other stuff it
2.39%:  put him on a t
2.39%:  spend another decade trying to make that not
2.39%:  go ahead and start
2.38%:  spend the rest of today asking
2.38%:  put him in a card
2.38%:  make it say other stuff soon
2.38%:  hug it
2.37%:  get him a second friend so
2.37%:  kiss him again
2.37%:  take him apart and find out if
2.37%:  make another one of those suck
2.36%:  put him in front
2.36%:  change it
5.17%:  change it to say
2.36%:  take him out for tea and cake
2.35%:  spend another decade saying
5.55%:  spend another decade saying that to
2.35%:  spend another ten years making that suck
2.35%:  see you top that one
2.35%:  do this again in another four
2.35%:  spend another decade making it say other stuff, too?
2.34%:  take it out for a spin, h
2.34%:  make sure he says it again,
2.33%:  keep saying that for a minute
2.33%:  kiss him on top of a
2.32%:  teach our
2.32%:  take him out for a test spin today
2.32%:  spend another decade on making it say other stuffs
8.16%:  spend another decade on making it say other stuffs too
2.31%:  do this again in another decade or so, my
2.31%:  keep doing this for 
2.31%:  get drunk and dance
2.31%:  make another friend too,
4.90%:  make another friend too, okay
2.30%:  spend another decade making sure it says it
2.30%:  do this more often, and
2.30%:  keep on making this
2.29%:  turn him into another
2.29%:  get another friend to make
6.03%:  get another friend to make a second
2.29%:  make another one and this
2.28%:  keep saying that for a second
2.28%:  kiss the
2.27%:  go to the park and make out and feed
2.27%:  spend another decade,
2.68%:  spend another decade, okay
2.27%:  do this again for another ten
2.27%:  design
2.57%:  design some
2.27%:  not forget that one
3.61%:  not forget that one day,
2.27%:  put that on a card and send it to some of
2.26%:  spend another decade on making it say other stuff too, ok
2.26%:  go out and kick
12.53%:  go out and kick some ass,
11.64%:  go out and kick some ass, friend
8.08%:  go out and kick some ass today
5.08%:  go out and kick some ass today, friend
2.26%:  ignore that and keep
2.25%:  keep on doing this for another decade okay
2.25%:  make another friend so he can say it too
2.25%:  raise
2.25%:  turn him into a giant
2.25%:  feed him another
2.24%:  design another
10.53%:  design another one that
4.56%:  design another one that speaks
4.37%:  design another one that says,
3.16%:  design another one that says more
7.28%:  design another one that says more stuff
2.95%:  design another one that can
3.23%:  design another one that can speak
2.24%:  do this again in another decade, ok
2.24%:  spend another third
2.24%:  try
2.91%:  try again
2.87%:  try to make
2.24%:  make another friend, guys
2.24%:  take him out for a spin on
2.24%:  go out for some
2.24%:  spend another decade making that sucker into
2.24%:  make another one, and then
2.24%:  make out?
2.23%:  do this again in another ten years, so
2.23%:  keep saying that out
2.23%:  turn him off and take
2.23%:  go check out
2.22%:  go home,
2.22%:  make another one of those and put
2.22%:  go find
3.65%:  go find some
2.30%:  go find him
2.22%:  spend another decade making sure it says that at
2.21%:  take him on a space cruise
2.21%:  make another one, for
2.21%:  not forget to feed him and
2.21%:  keep that one under
2.21%:  make another one, you
2.55%:  make another one, you and
2.21%:  get him drinks
2.21%:  spend another decade making that sucker as
2.21%:  take him apart and use
2.20%:  make another,
2.20%:  take him out for a spin to
2.19%:  take him out for a spin and get
2.19%:  spend another decade trying to make that suck
2.18%:  say that again, for
2.18%:  make this our
2.18%:  get this sucker into
8.52%:  get this sucker into space,
8.09%:  get this sucker into space, okay
6.75%:  get this sucker into space and
4.47%:  get this sucker into space today
3.89%:  get this sucker into space, stat
2.22%:  get this sucker into space and make
2.18%:  go to the store
2.18%:  put that in
2.18%:  take this
2.18%:  make another one using
2.18%:  start a
2.18%:  take it for a spin and
2.17%:  go for another spin in his
2.17%:  make out again, okay
2.17%:  get this sucker on
2.17%:  keep saying that for another decade?
2.17%:  spend another ten years on this,
2.17%:  get some ice
2.17%:  spend the rest of today making out inside
2.17%:  take him out for another spin today
2.17%:  make another one and put it in charge
2.15%:  spend another year
5.78%:  spend another year making
2.15%:  go out and shoot
2.15%:  make another one too,
3.27%:  make another one too, okay
2.14%:  get him into space, you
2.13%:  do it again some day
2.13%:  do this again in another decade or so okay
2.13%:  take turns saying that to
2.12%:  take him apart to
4.33%:  take him apart to see if
2.12%:  put him in front of a giant
2.12%:  spend another ten years doing stuff
2.11%:  go make out in front of it,
2.11%:  keep saying that for another ten
2.11%:  spend another decade making it say other stuff soon
2.11%:  keep on making that
2.11%:  put it in the
2.11%:  get him into space so
2.11%:  send
48.26%:  send him to space
12.95%:  send him into
44.26%:  send him into space to
33.91%:  send him into space,
105.91%:  send him into space, okay
24.80%:  send him into space today
18.70%:  send him into space and
15.24%:  send him into space and forget
11.35%:  send him into space to defeat
10.70%:  send him into space for
9.91%:  send him into space to find
21.06%:  send him into space to find out
9.42%:  send him into outer
65.95%:  send him into outer space,
144.50%:  send him into outer space, okay
51.65%:  send him into outer space to
42.66%:  send him into outer space today
40.36%:  send him into outer space and
16.53%:  send him into outer space so
15.80%:  send him into outer space to find
12.23%:  send him into outer space, and
11.71%:  send him into outer space today,
8.72%:  send him into outer space to find another
8.37%:  send him into space, guys
7.35%:  send him into space so
6.67%:  send him to space and
6.42%:  send him to space,
18.70%:  send him to space, okay
6.16%:  send him into space, you
5.82%:  send him into space today,
5.49%:  send him into outer space and get
5.48%:  send him into space to defeat our
5.44%:  send him into space to attack
5.43%:  send him into outer space to kick
5.31%:  send him to outer
34.23%:  send him to outer space and
25.23%:  send him to outer space,
60.98%:  send him to outer space, okay
18.93%:  send him to outer space to
14.78%:  send him to outer space today
7.26%:  send him to outer space, and
5.94%:  send him to outer space so
5.76%:  send him to outer space to find
5.26%:  send him into space to find another
5.22%:  send him into space to kick
5.19%:  send him into outer space, so
4.73%:  send him to space to
4.73%:  send him into space to find our
4.71%:  send him into space and see
4.63%:  send him out
10.88%:  send him out into
44.85%:  send him out into space to
37.40%:  send him out into space,
96.41%:  send him out into space, okay
33.43%:  send him out into space and
39.58%:  send him out into space and forget
25.48%:  send him out into space today
21.30%:  send him out into space to find
19.94%:  send him out into space to find another
13.43%:  send him out into space to defeat
11.09%:  send him out into space for
10.88%:  send him out into space so
9.50%:  send him out into space and see
7.98%:  send him out to space
7.78%:  send him out into space, and
7.13%:  send him out into space today,
6.35%:  send him out into space to kick
4.72%:  send him out into space to defend
4.44%:  send him into outer space to attack
4.34%:  send him into outer space?
4.27%:  send him into space?
4.08%:  send him to space today
4.04%:  send him into space, and
3.85%:  send him out into space and get
3.60%:  send him into outer space to do
3.45%:  send him into space to rescue
3.39%:  send him to outer space today,
3.26%:  send him into space for a
3.24%:  send him into outer space, to
3.22%:  send him to outer space and get
3.21%:  send him into outer space today and
3.13%:  send him into outer space, yes
3.11%:  send him into space to get
3.08%:  send him to outer space to find another
3.02%:  send him out to space and
2.90%:  send him out into space, so
2.85%:  send him into outer space today?
2.78%:  send him into space to see
2.76%:  send him out into space?
2.73%:  send him into outer space today, and
2.72%:  send him out into space to do
2.70%:  send him out into space to see
2.63%:  send him out into space to attack
2.63%:  send him to another
2.49%:  send him out into space today and
2.46%:  send him to outer space, yes
2.41%:  send him out into space to find a
2.41%:  send him out into space, yes
2.38%:  send him to space and forget
2.34%:  send him into space and get
2.31%:  send him into space to defend
2.30%:  send him into space to take
2.85%:  send him into space to take care
2.30%:  send him out into space, to
2.26%:  send him out into space to kick ass
2.23%:  send him into space to do
2.22%:  send him into space to start
2.16%:  send him into space to start another
2.16%:  send him to outer space in
2.14%:  send him into space, you and
2.11%:  send him out into space for a decade
2.11%:  make another one of those, stat
2.10%:  go home and drink
2.10%:  go to the store and pick
2.10%:  make another one for each of us to
2.10%:  keep adding
2.18%:  keep adding to his
2.10%:  send him into outer space to kick ass
2.10%:  get another one of those, stat
2.10%:  spend another decade on that, e
2.10%:  take it to the park and feed
2.10%:  keep adding to him,
5.62%:  keep adding to him, okay
2.10%:  spend another decade on him so
2.09%:  go find him and
2.09%:  keep him for another decade, at
2.09%:  take it out for a spin today, h
2.09%:  send him into space today?
2.09%:  send him to outer space?
2.08%:  do it again this
2.08%:  make one
2.42%:  make one for
2.08%:  go to the store and make
2.08%:  teach it another
3.77%:  teach it another saying
2.08%:  make another one that sounds
2.07%:  get it some
2.07%:  do this again in another decade, yes
2.07%:  make a second one that
2.07%:  update
4.72%:  update his firm
2.07%:  do this again in another decade or so, kay
2.07%:  go for another space
2.06%:  spend another decade making this sucker so
2.06%:  take him out for a spin, yes
2.05%:  get it tattoo
2.05%:  put him in a rocket and send it
2.05%:  do it again and this
2.05%:  go to the park and make it dance
2.05%:  take him out to a
3.48%:  take him out to a fancy
2.04%:  do this again in another decade too
2.04%:  get another drink and
2.04%:  take it for a spin, okay
2.04%:  say that again to
2.04%:  raise him to
2.04%:  go home and do
2.04%:  keep doing that for another decade, my
2.04%:  put that on a stick
2.03%:  turn him on,
2.03%:  do this again some day
2.03%:  take him out for steak sand
2.03%:  press his face and
2.92%:  press his face and make
2.03%:  make another friend so this guy isn
2.03%:  go home and kiss it
2.03%:  put him in a race
2.03%:  spend another decade or so making that a
2.02%:  spend another decade making those
2.02%:  teach it to say another
2.02%:  make sure to teach
2.02%:  go to the park and sit on a
2.02%:  go to the park and sm
2.02%:  spend another decade or so on this, guys
2.02%:  make sure to check
2.01%:  spend the rest of today and
2.01%:  turn him into a space
2.01%:  keep adding to that
2.01%:  spend another decade making sure it stays on
2.01%:  make it say other stuff too and
2.00%:  go to the park and make out a
2.00%:  put him inside another
2.00%:  forget that
2.00%:  see if he can pass
1.99%:  take it out for a spin this
1.99%:  put him in a rocket and see
1.99%:  send him into space to take care of another
1.99%:  take him on a spaces
1.99%:  make another one of these today
1.99%:  make another friend and teach
9.44%:  make another friend and teach it to speak
11.98%:  make another friend and teach it to speak too
2.61%:  make another friend and teach it to say,
1.99%:  keep him for another decade, you
1.99%:  make another one of these guys, stat
1.99%:  do it again?
1.99%:  design another one that can say
1.99%:  make another friend so it can fight
1.99%:  take him for another test
1.98%:  feed him our
1.98%:  spend another decade making it so he says
1.98%:  send him into outer space okay
1.98%:  do this again after another decade, yes
1.97%:  go to the store and pick out
1.97%:  go to the circ
9.90%:  go to the circus and
12.87%:  go to the circus and make
2.64%:  go to the circus today
2.17%:  go to the circus and see
1.97%:  go make out in front of this
1.97%:  send him to outer space on
1.97%:  go to the park and kiss
1.97%:  spend another decade on this stuff
1.96%:  ignore the fact it
3.63%:  ignore the fact it doesn
1.96%:  do this again after another decade passes, k
1.96%:  spend another decade making sure that sticks
1.96%:  take a photo of it
2.33%:  take a photo of it and
4.64%:  take a photo of it and send
12.77%:  take a photo of it and send it to our
6.72%:  take a photo of it and send it to my
16.17%:  take a photo of it and send it to my grand
4.49%:  take a photo of it and send it to your
3.09%:  take a photo of it and send it to our kids
2.17%:  take a photo of it and send it to you
2.07%:  take a photo of it and send it to grand
1.96%:  feed him into
1.96%:  get another friend so he can say it
2.74%:  get another friend so he can say it to
1.96%:  take him out and get
1.96%:  send him to outer space today and
1.96%:  keep our
1.96%:  spend another thirty
1.95%:  put it on the roof and
1.95%:  get another friend and make it
1.95%:  get another one of these,
1.95%:  do this again in another decade, so
1.95%:  spend another decade making that count
3.19%:  spend another decade making that count for
1.94%:  go to the park and see if anyone is
1.94%:  go to the park and set
1.94%:  spend another decade making this stuff
1.94%:  keep trying
1.94%:  update him
2.75%:  update him to say
1.93%:  keep him and
1.93%:  do this for another decade?
1.93%:  put him in a rocket and take
1.93%:  make out in the
1.93%:  get him on
1.93%:  spend the rest of today acting
1.93%:  dance on
2.52%:  dance on his face
1.93%:  do this for another decade, guys
1.93%:  get drunk and kiss
3.79%:  get drunk and kiss him on
1.93%:  keep him for another ten
1.93%:  take him into space and force
1.92%:  see that again?
1.92%:  go ahead and take
3.17%:  go ahead and take credit
1.92%:  go out and kick some ass and
3.11%:  go out and kick some ass and then
1.92%:  make a second friend
1.92%:  send him into space to attack another
1.92%:  put him in a rocket and go to another
1.92%:  press his face into some
1.92%:  make out in front of it so
1.91%:  not think
1.91%:  put it on the market and
1.91%:  take him out for a spin in
1.91%:  paint
1.91%:  make another friend so he can get
1.91%:  make another, this
2.16%:  make another, this one
1.91%:  go home and pet
1.90%:  keep doing this as
2.88%:  keep doing this as often
1.90%:  take him on a cruise
1.90%:  spend another decade making stuff
1.90%:  make another friend today,
1.90%:  go to the store and make out
1.89%:  push
1.89%:  spend the day making sure
1.89%:  spend another decade on making it say other stuff too, so
1.89%:  keep on making out
1.89%:  design another one that says more stuff,
1.89%:  spend another decade trying to hack
2.86%:  spend another decade trying to hack into
1.89%:  make sure he says it at
1.88%:  spend the rest of today making another one of
1.88%:  spend our
1.88%:  go ahead and make
1.87%:  go to the park today and feed
1.87%:  make another one of those too
1.87%:  make another one of those for
1.87%:  make another one that can say
1.87%:  spend the rest of today making out,
1.86%:  stare
3.25%:  stare at him and
2.00%:  stare at it
1.86%:  send him into outer space on
1.86%:  make another one for each of us to take
1.86%:  make another one this
1.86%:  take it to the moon,
1.86%:  send him out into space today?
1.86%:  press his face into a
1.86%:  take him out for a nice
1.86%:  make that our tag
1.86%:  punch it again
1.86%:  go on a spaces
1.85%:  go inside
1.85%:  do this again after another decade, my
1.85%:  send him into outer space to find a
1.85%:  keep doing that stuff
1.85%:  take him for a test spin today
1.85%:  go to the park and do
2.99%:  go to the park and do some
1.85%:  get drunk and teach
1.85%:  put some
1.85%:  not take him apart again,
1.85%:  hang
11.51%:  hang out more
16.18%:  hang out more often,
3.81%:  hang out more often and
3.47%:  hang out some
2.55%:  hang out more often?
2.42%:  hang out more,
1.85%:  get another friend so that
1.85%:  make another one of these d
1.84%:  make another one of these and
1.84%:  go home and take our pants off in
1.84%:  spend another decade trying to make that a
1.84%:  not forget that today
1.84%:  send him to outer space to kick
1.84%:  spend another decade making sure to
1.84%:  keep doing this, you
1.84%:  put him on a stage
1.84%:  take it out for a spin and make
1.84%:  hang out and
1.84%:  put him in a rocket and send it to another
1.84%:  send him out to space to
1.84%:  keep saying that around
1.84%:  take it apart and check
1.85%:  take it apart and check out
1.83%:  send him out to defeat
1.83%:  kiss and
4.50%:  kiss and make
6.27%:  kiss and make out
3.53%:  kiss and make up
2.38%:  kiss and make out on
2.01%:  kiss and make out and
1.92%:  kiss and make out on his
3.93%:  kiss and make out on his face
1.90%:  kiss and make out and then
1.83%:  not forget to update the
1.83%:  spend another ten years doing that,
1.83%:  face
2.01%:  face it, that
1.83%:  take him around
1.83%:  send him to space and see
1.83%:  not forget to update him
1.83%:  make another one for you too
1.82%:  go for another spin on that
1.82%:  kiss on the face
1.82%:  go on a trip to
1.82%:  spend another decade on his face
1.82%:  make out in front of it to
1.82%:  spend another decade on making sure his
1.82%:  teach it to do
2.48%:  teach it to do more
5.52%:  teach it to do more stuff
1.81%:  keep him safe
1.81%:  take a photo of it and send it to my friend
1.81%:  make another one, right
1.81%:  take him out on a date soon
1.81%:  do this again for another decade, my
1.81%:  turn him on, okay
1.81%:  take him out for an
1.81%:  design another one that can say more
5.05%:  design another one that can say more stuff
1.81%:  spend another decade making it so he can say stuff
1.80%:  make a second one, okay
1.80%:  spend another decade or so fine
1.80%:  do it again, okay
1.80%:  get him out for
1.80%:  spend another decade saying that out
1.80%:  make a second one for
1.79%:  take him into space and defeat
1.79%:  spend another decade making that sucker a
1.79%:  spend another year making that
1.79%:  get another friend so he can say it too
1.79%:  go to the circus today and
1.89%:  go to the circus today and make
1.79%:  go out and kick some ass in
2.48%:  go out and kick some ass in the
1.78%:  make another one for us to date
1.78%:  go out and make
1.78%:  go out and dance
1.78%:  send him out into space as
2.49%:  send him out into space as a gift
2.30%:  send him out into space as a gift for
1.78%:  turn him on again
1.78%:  ignore him
1.78%:  send him into outer space as
2.32%:  send him into outer space as a gift
3.21%:  send him into outer space as a gift to another
1.78%:  go to the circus and feed
1.78%:  check if
1.78%:  get to
1.78%:  spend another decade trying to finish
1.78%:  make another one and put it on the roof,
2.83%:  make another one and put it on the roof, okay
1.77%:  spend another decade or so on that one
5.19%:  spend another decade or so on that one, okay
1.77%:  make a second one too
1.77%:  kiss it
4.65%:  kiss it on the face
1.77%:  send him out into space as a gift to another
1.77%:  send him into outer space to get
1.77%:  make out for a second and
1.77%:  make another one to share
1.77%:  take him for a spin, guys
1.77%:  make another friend that says
1.76%:  keep the
1.76%:  take him for a spin on
1.76%:  go to the park, okay
1.76%:  make another one and see
4.14%:  make another one and see if it says
1.76%:  take him for a spin to
1.76%:  make another friend so this guy can stop
1.76%:  go home and see
1.76%:  put that on a coffee
1.76%:  spend another decade making it say other stuff at
1.76%:  go to the park and find
2.33%:  go to the park and find some
3.20%:  go to the park and find some kids
1.76%:  keep doing this for another decade, ok
1.75%:  spend another decade on that?
1.75%:  go home and take off our pants and kiss
1.75%:  take him to see
1.75%:  take him for a spin, you
1.75%:  spend another decade on that, my
1.75%:  go out for a
1.75%:  keep making that noise
1.75%:  go to the store and pick out a
1.75%:  see if he says
1.74%:  thank
1.74%:  keep doing this, you and
1.74%:  spend another decade so
1.74%:  do this again another decade,
1.74%:  take him out on a date,
2.22%:  take him out on a date, okay
1.74%:  keep on doing that for another decade, you
1.74%:  get another friend so he can make out
1.74%:  go home and tear
1.74%:  keep it around
1.74%:  add another friend
3.47%:  add another friend to the team so
2.95%:  add another friend to the team,
3.40%:  add another friend to the team, okay
1.78%:  add another friend to this
1.74%:  make one for each
1.83%:  make one for each of us
1.74%:  send him out into space today and forget
1.74%:  take him apart and stuff
1.74%:  do this again for another decade?
1.73%:  spend another decade to
3.08%:  spend another decade to make
1.73%:  make another one soon,
1.73%:  see you top that, man
1.72%:  take him out to dinner,
2.27%:  take him out to dinner, okay
1.72%:  design another one that does
2.06%:  design another one that does more
6.43%:  design another one that does more stuff
1.72%:  go home and stare at it and
1.72%:  turn him off,
2.66%:  turn him off, okay
1.72%:  turn him off and keep
1.72%:  spend another decade making sure that stays in
1.72%:  spend another decade trying to take his
1.72%:  go to space in
1.72%:  keep him,
1.72%:  do this more often, e
1.71%:  take him for a spin in
1.71%:  spend another decade making it so it
26.27%:  spend another decade making it so it can say other
174.13%:  spend another decade making it so it can say other stuff
353.30%:  spend another decade making it so it can say other stuff too,
