because stories like this make me worry I'm living my life wrong
      0 100.00%: 
      1 2498.90%:  because
   7126 190.77%:  sometimes I feel like you're lying when
   7127 190.73%:  because if it were this
   7128 675.06%:  because if it were this easy in
   7129 581.51%:  because if it were this easy we
   7130 426.48%:  because if it were this easy I'm
   7131 331.96%:  because if it were this easy my
   7132 269.94%:  because if it were this easy someone
   7133 236.71%:  because if it were this easy I'm going
   7134 190.63%:  because sometimes when I'm really lost in my work
   7135 190.61%:  because sometimes I really think we're losing
   7136 190.59%:  because sometimes I imagine entire
   7137 190.55%:  because I'm having
   7138 190.54%:  because I'm thinking of all
   7139 333.28%:  because I'm thinking of all sorts
   7140 190.46%:  because I'm feeling really
   7141 190.46%:  because sometimes I imagine myself very into
   7142 190.45%:  because I imagine myself in this role
   7143 190.37%:  because I was trying to sell
   7144 419.03%:  because I was trying to sell myself
   7145 190.37%:  sometimes I worry my enthusiasm
   7146 625.79%:  sometimes I worry my enthusiasm for
   7147 190.21%:  sometimes I imagine myself asking rhet
   7148 190.04%:  because I was going somewhere else in
   7149 190.02%:  because sometimes I feel strongly like
   7150 189.99%:  because sometimes I worry there's one final
   7151 189.99%:  because sometimes I worry we're imag
   7152 5139.20%:  because sometimes I worry we're imagining this
   7153 5137.71%:  because sometimes I worry we're imagining the
   7154 4167.48%:  because sometimes I worry we're imagining it
   7155 2254.35%:  because sometimes I worry we're imagining other
   7156 1572.66%:  because sometimes I worry we're imagining it for
   7157 1356.73%:  because sometimes I worry we're imagining this for
   7158 662.77%:  because sometimes I worry we're imagining those
   7159 645.19%:  because sometimes I worry we're imagining it more
   7160 388.93%:  because sometimes I worry we're imagining this from
   7161 357.83%:  because sometimes I worry we're imagining this more
   7162 273.39%:  because sometimes I worry we're imagining this movie
   7163 206.32%:  because sometimes I worry we're imagining story
   7164 196.87%:  because sometimes I worry we're imagining more
   7165 189.97%:  because sometimes I like to imagine my one
   7166 189.97%:  because sometimes I worry it's never working
   7167 189.96%:  because I've got some intense
   7168 189.83%:  because sometimes I worry throwing
   7169 189.82%:  because I'm literally
   7170 851.51%:  because I'm literally writing
   7171 413.73%:  because I'm literally trying
   7172 278.13%:  because I'm literally thinking
   7173 488.67%:  because I'm literally thinking of every
   7174 264.63%:  because I'm literally everywhere
   7175 201.08%:  because I'm literally the
   7176 189.81%:  because it seems like something will
   7177 189.70%:  because sometimes I feel like moving in with my
   7178 189.54%:  sometimes I worry my stories lack real
   7179 189.49%:  because sometimes I like to imagine my shower
   7180 189.40%:  because sometimes I worry things are my
   7181 189.40%:  because there's like five million times
   7182 189.36%:  because sometimes I like imagining how to
   7183 189.35%:  because sometimes I worry all my theories
   7184 189.32%:  because otherwise I'm essentially
   7185 210.52%:  because otherwise I'm essentially looking
   7186 189.30%:  because I wrote a story where
   7187 189.28%:  because it seems like there is
   7188 189.28%:  because I'm trying to make him look
   7189 189.26%:  because sometimes I worry we're like living
   7190 928.34%:  because sometimes I worry we're like living in a story
   7191 189.21%:  because we're all here
   7192 386.10%:  because we're all here to
   7193 192.20%:  because we're all here trying
   7194 189.18%:  because I'm literally everything
   7195 189.09%:  because we're talking now
   7196 189.08%:  because sometimes I like imagining myself over
   7197 237.37%:  because sometimes I like imagining myself overly
   7198 189.06%:  because otherwise I feel really sorry
   7199 189.00%:  because sometimes I like to imagine my role is
   7200 188.99%:  because sometimes I worry we've set
   7201 188.98%:  because sometimes I worry there are millions
   7202 188.95%:  because sometimes I worry there's like a long
   7203 188.88%:  because sometimes I worry men are going
   7204 188.88%:  because sometimes I feel like things my
   7205 188.87%:  because sometimes I worry if we're sharing
   7206 188.85%:  because sometimes I worry my own feelings have
   7207 188.73%:  because sometimes I worry we're not like similar
   7208 188.64%:  because it seems like someone will
   7209 188.61%:  because I think it's easier
   7210 352.81%:  because I think it's easier if
   7211 334.84%:  because I think it's easier if everyone
   7212 188.61%:  because it seems like a lot of work when I'm giving
   7213 188.55%:  because sometimes when I role
   7214 188.45%:  because sometimes I like imagining the er
   7215 188.38%:  because when I was sevent
   7216 188.37%:  because I'm trying to make him like
   7217 188.37%:  because it seems like one of those
   7218 188.34%:  because sometimes I imagine if the
   7219 188.34%:  sometimes I imagine things will be a
   7220 188.32%:  because sometimes I worry nothing is really free
   7221 188.32%:  because sometimes I imagine myself writing whole
   7222 188.27%:  sometimes I think
   7223 188.27%:  because it seems like it's normally more work
   7224 188.26%:  because we're living in the most awesome form
   7225 188.24%:  sometimes I feel like maybe something
   7226 1211.64%:  sometimes I feel like maybe something's lacking
   7227 502.43%:  sometimes I feel like maybe something is
   7228 911.53%:  sometimes I feel like maybe something is lacking
   7229 188.23%:  because sometimes I'm trying
   7230 188.20%:  because sometimes I imagine how it goes in
   7231 188.19%:  because sometimes I worry my feelings won
   7232 314.21%:  because sometimes I worry my feelings won't make
   7233 188.18%:  sometimes I worry we're not really achieving
   7234 188.14%:  because sometimes I like to imagine life's moving
   7235 188.03%:  because sometimes I worry there is no way
   7236 188.02%:  because sometimes I worry we're all living for this
   7237 187.99%:  because I was going to invite my wife
   7238 187.96%:  sometimes I worry we're not being fully
   7239 187.95%:  because sometimes it feels like I'm working long
   7240 187.93%:  because sometimes I worry overthinking is really like
   7241 187.85%:  because everything is
   7242 1485.25%:  because everything is awesome
   7243 930.18%:  because everything is easier
   7244 308.17%:  because everything is awesome now
   7245 256.13%:  because everything is so
   7246 352.87%:  because everything is so easy
   7247 187.84%:  because sometimes I like to lie when
   7248 187.75%:  because sometimes I write awesome
   7249 187.73%:  because sometimes I feel a
   7250 187.72%:  because sometimes I like imagine other folks'
   7251 187.68%:  because I want in
   7252 187.66%:  because I was going to tell him some news
   7253 187.65%:  because everything I know is literally
   7254 187.60%:  because sometimes I worry if we're moving in
   7255 187.55%:  sometimes I worry we're making this game
   7256 187.53%:  because sometimes things are even
   7257 187.50%:  because everyone thinks I'm really
   7258 187.49%:  because sometimes I like to imagine losing er
   7259 187.48%:  because everyone knows it's awesome
   7260 187.37%:  because in my version of reality I
   7261 560.54%:  because in my version of reality I'
   7262 430.69%:  because in my version of reality I'm the
   7263 187.33%:  because otherwise I'm feeling really
   7264 756.33%:  because otherwise I'm feeling really sorry
   7265 292.81%:  because otherwise I'm feeling really gross
   7266 187.20%:  because sometimes I worry if we're losing at
   7267 187.15%:  because sometimes I imagine it goes one
   7268 187.13%:  because sometimes I imagine myself into love
   7269 187.10%:  because there's like millions of times
   7270 187.09%:  because sometimes I think we're all fools in
   7271 187.06%:  because I have so
   7272 187.06%:  because everything else in life was
   7273 186.99%:  sometimes I feel like everything's always wrong
   7274 186.96%:  because sometimes I feel like lightning
   7275 186.95%:  because there's like one million games of it
   7276 186.75%:  because everyone else at
   7277 636.84%:  because everyone else at this
   7278 186.62%:  because sometimes I imagine we're still vir
   7279 186.59%:  sometimes I imagine it's really more like you
   7280 186.58%:  because sometimes I like to imagine more will
   7281 186.57%:  because sometimes when I'm feeling small
   7282 186.54%:  because I'm still learning to
   7283 186.54%:  because I never knew this game
   7284 186.53%:  sometimes I feel like everything's con
   7285 186.48%:  because sometimes I like imagine things will work
   7286 186.36%:  because sometimes I like to imagine my lonely
   7287 186.29%:  because sometimes I like to live life as
   7288 186.28%:  because I was listening while
   7289 186.25%:  because I never want this
   7290 186.23%:  sometimes I feel like breaking
   7291 291.55%:  sometimes I feel like breaking the
   7292 264.86%:  sometimes I feel like breaking out
   7293 263.79%:  sometimes I feel like breaking something
   7294 193.98%:  sometimes I feel like breaking things
   7295 374.46%:  sometimes I feel like breaking things is
   7296 218.59%:  sometimes I feel like breaking things is more
   7297 186.17%:  because sometimes I worry my own feelings are ill
   7298 186.17%:  sometimes I imagine myself having to
   7299 253.66%:  sometimes I imagine myself having to be
   7300 186.12%:  because sometimes I feel like imagining my
   7301 186.09%:  because sometimes I worry we're all fighting one
   7302 186.06%:  because it seems like it's nowhere
   7303 186.05%:  because sometimes I imagine something for like
   7304 186.01%:  because sometimes I think my life is an
   7305 185.97%:  because we're essentially living with
   7306 185.89%:  because sometimes I worry we're not as in
   7307 185.68%:  sometimes I worry my fantasies never
   7308 1427.29%:  sometimes I worry my fantasies never become
   7309 185.68%:  because sometimes I imagine it's like women
   7310 185.68%:  because otherwise I want
   7311 185.68%:  because sometimes when I'm writing for my
   7312 185.62%:  because it seems like way more work honestly
   7313 185.61%:  because sometimes I worry we're imagining some
   7314 185.56%:  sometimes I feel like there's a big
   7315 185.49%:  because otherwise I feel like a lot
   7316 185.44%:  sometimes I imagine it being so much easier
   7317 185.40%:  because sometimes I think my own
   7318 185.39%:  because sometimes I like to imagine my life is 
   7319 185.39%:  because sometimes I imagine myself onto
   7320 185.37%:  because it seems like neither
   7321 185.26%:  because I'm not really one for these
   7322 185.19%:  because sometimes I worry life might
   7323 185.12%:  because the only way I see
   7324 185.07%:  because sometimes I feel like giving to
   7325 184.94%:  because sometimes I have to work myself
   7326 184.88%:  sometimes I imagine myself as being like
   7327 228.13%:  sometimes I imagine myself as being like the
   7328 184.77%:  because there's no way to know if
   7329 184.74%:  sometimes I imagine it being more serious
   7330 184.72%:  because I'm trying to imagine how my life will ever
   7331 184.71%:  sometimes I imagine it's like being
   7332 184.70%:  because in my version of the story we'll make
   7333 184.67%:  because I was going to tell him like
   7334 184.64%:  because I really like this
   7335 200.61%:  because I really like this story now
   7336 184.57%:  because sometimes it feels like I'm moving on
   7337 184.53%:  because everything I imagine will
   7338 184.53%:  sometimes I feel like nothing's as
   7339 184.45%:  because in my version of this story we were mar
   7340 184.44%:  because sometimes I like to imagine my own fe
   7341 184.40%:  because there's like seven million ways two
   7342 184.30%:  because sometimes I worry if everything's a
   7343 184.21%:  because it seems like everything I'm working for is all
   7344 184.21%:  because I've got this awesome line from
   7345 184.17%:  because sometimes I worry we're fighting in some
   7346 184.11%:  because I was trying to see if we
   7347 184.08%:  sometimes I worry we're living in a really
   7348 184.07%:  because I'm not really trying
   7349 184.04%:  sometimes I feel like you're making things worse
   7350 184.01%:  because originally
   7351 184.00%:  because sometimes I like to imagine myself whiling
   7352 184.00%:  because sometimes I like to worry while
   7353 183.95%:  because sometimes I worry if we're all living in some
   7354 183.93%:  sometimes I feel like everything always
   7355 183.92%:  because sometimes I imagine writing myself like
   7356 183.91%:  because it seems like way more work this
   7357 183.91%:  because I meant
   7358 261.79%:  because I meant everything
   7359 183.90%:  because sometimes the answer
   7360 183.90%:  because honestly I'
   7361 253.89%:  because honestly I'm not really
   7362 183.89%:  because sometimes when I imagine it's my
   7363 183.77%:  because everyone in this room is way
   7364 183.70%:  because it seems like everything's finally
   7365 183.70%:  because I really like knowing this story
   7366 183.59%:  because sometimes I think everyone los
   7367 183.52%:  because I was thinking of like some
   7368 271.22%:  because I was thinking of like some sort
   7369 183.49%:  because sometimes I like going
   7370 183.48%:  because we're all here now
   7371 183.45%:  because sometimes I like to imagine novel
   7372 183.38%:  because sometimes I like imagining how we'll
   7373 183.37%:  because when I was eleven
   7374 183.33%:  because everyone says it's too
   7375 183.33%:  because in my version of the story we were mamm
   7376 183.26%:  because I'm working on a story where it seems like l
   7377 183.25%:  sometimes I imagine scenarios where you'll be
   7378 183.23%:  because sometimes I like to over
   7379 183.23%:  because everyone knows that is
   7380 183.22%:  because I sometimes imagine my own life story
   7381 183.11%:  because I was thinking more of some like
   7382 183.09%:  because sometimes I like to hear my own
   7383 183.08%:  because sometimes I imagine we'll fight
   7384 411.88%:  because sometimes I imagine we'll fight over
   7385 183.06%:  sometimes I imagine everything is really more
   7386 183.02%:  because sometimes I worry the more
   7387 183.00%:  because in my version of the story we're like a
   7388 182.93%:  because I was writing something
   7389 182.85%:  because then
   7390 262.87%:  because then I'm going
   7391 717.93%:  because then I'm going to make
   7392 300.85%:  because then I'm going to make some
   7393 237.13%:  because then I'm not
   7394 190.00%:  because then I'm going to say
   7395 182.80%:  because sometimes I think we're all living some
   7396 182.73%:  sometimes I imagine it being more er
   7397 182.73%:  sometimes I feel like things are way more work
   7398 182.72%:  because I think it's more likely we
   7399 182.69%:  because sometimes I imagine the los
   7400 182.69%:  because it seems like things were looking
   7401 182.67%:  because sometimes I like to lie for
   7402 182.64%:  because sometimes I like to imagine how fl
   7403 725.41%:  because sometimes I like to imagine how flir
   7404 182.62%:  because sometimes I still like imagine
   7405 182.58%:  because I'm trying to win
   7406 182.57%:  because sometimes I worry we're imagining it from
   7407 182.34%:  because sometimes I worry there's a million life
   7408 182.26%:  because everything else I was
   7409 182.22%:  sometimes I feel like you're not always giving
   7410 182.15%:  sometimes I feel like romance
   7411 422.27%:  sometimes I feel like romance is something
   7412 182.10%:  because sometimes I worry writing is
   7413 374.10%:  because sometimes I worry writing is really
   7414 256.82%:  because sometimes I worry writing is all
   7415 255.76%:  because sometimes I worry writing is all for
   7416 193.03%:  because sometimes I worry writing is my
   7417 182.07%:  because I really like knowing these
   7418 748.13%:  because I really like knowing these stories
   7419 182.00%:  because it seems like these
   7420 181.99%:  because sometimes I worry we're in this game
   7421 181.98%:  because sometimes I still worry having
   7422 181.96%:  because everyone else is trying to kill
   7423 181.90%:  because sometimes I worry if everything is working
   7424 181.85%:  because sometimes I still imagine life
   7425 181.84%:  because it seems like it never
   7426 181.81%:  because I think everyone else will
   7427 181.80%:  because I have sometimes
   7428 181.80%:  because sometimes I worry overthinking will make me l
   7429 181.69%:  sometimes I worry we're not having full
   7430 181.69%:  because there's essentially
   7431 181.65%:  because sometimes I like to imagine myself origin
   7432 181.65%:  because I've got like three years of my
   7433 181.62%:  because sometimes we talk
   7434 181.55%:  because I've got a million stories here
   7435 181.45%:  because I've got feelings now
   7436 181.41%:  because otherwise I literally
   7437 181.31%:  because sometimes I worry we're overthinking family
   7438 181.29%:  because sometimes when I'm lonely my
   7439 181.29%:  because sometimes in the real
   7440 181.23%:  because sometimes I worry if it'll
   7441 181.21%:  because I was listening to him
   7442 181.17%:  because if there's one lesson we
   7443 181.12%:  because sometimes I like to imagine les
   7444 181.11%:  because sometimes I feel like things work on
   7445 181.03%:  because I sometimes feel like it
   7446 181.02%:  because everyone says it's either
   7447 181.01%:  because this story is like
   7448 180.97%:  because sometimes when I imagine fl
   7449 180.97%:  because sometimes I worry my life's not real
   7450 180.94%:  because sometimes it's overwhelming for
   7451 180.79%:  because sometimes I still worry everyone
   7452 180.79%:  because sometimes I worry the feelings will
   7453 180.77%:  because sometimes I imagine women like this
   7454 180.77%:  because sometimes I worry overthinking my life is a
   7455 180.71%:  because sometimes I worry if we're really so
   7456 180.65%:  because sometimes I really worry otherwise
   7457 180.63%:  because sometimes I like to imagine why my
   7458 180.55%:  because sometimes I worry only
   7459 285.68%:  because sometimes I worry only the
   7460 180.53%:  because sometimes when I'm waiting for elev
   7461 180.46%:  because I'm the only one still
   7462 180.42%:  because sometimes I feel like my own talking
   7463 180.40%:  because sometimes I worry if we're limiting
   7464 180.38%:  because sometimes I think we're living really
   7465 180.36%:  because everyone wants
   7466 1052.23%:  because everyone wants to see
   7467 341.17%:  because everyone wants their
   7468 200.69%:  because everyone wants to feel
   7469 180.33%:  because I sometimes imagine the
   7470 180.33%:  because I was willing to fight
   7471 180.28%:  because sometimes I feel like my only saving
   7472 180.27%:  because sometimes I worry it's a lonely
   7473 539.41%:  because sometimes I worry it's a lonely life
   7474 180.26%:  because I'm trying to lose some
   7475 180.19%:  because everyone in the story was
   7476 180.18%:  because sometimes I think we worry
   7477 180.16%:  because sometimes I feel like with my
   7478 180.11%:  because sometimes I imagine it's like on
   7479 180.11%:  because I was going to work
   7480 180.10%:  because I imagine it's so
   7481 180.09%:  because we're still talking here
   7482 180.03%:  because sometimes I worry we're not having s
   7483 179.79%:  because I sometimes imagine my life working
   7484 334.04%:  because I sometimes imagine my life working like
   7485 179.77%:  because in my version of the story we see
   7486 179.77%:  because sometimes I worry if everything's gone
   7487 179.75%:  sometimes when
   7488 3923.02%:  sometimes when I imagine
   7489 4092.33%:  sometimes when I imagine myself
   7490 6158.26%:  sometimes when I imagine myself as
   7491 501.73%:  sometimes when I imagine myself really
   7492 407.52%:  sometimes when I imagine myself as your
   7493 360.71%:  sometimes when I imagine myself at
   7494 349.53%:  sometimes when I imagine it
   7495 273.10%:  sometimes when I imagine rock
   7496 229.86%:  sometimes when I imagine it myself
   7497 229.66%:  sometimes when I imagine myself at your
   7498 229.24%:  sometimes when I imagine myself at your level
   7499 222.40%:  sometimes when I imagine myself as your lover
   7500 218.84%:  sometimes when I imagine a
   7501 181.50%:  sometimes when I imagine my
   7502 214.15%:  sometimes when I imagine my life
   7503 209.33%:  sometimes when I imagine my life as
   7504 186.48%:  sometimes when I imagine my stories
   7505 179.70%:  because sometimes I worry everything's a lie for
   7506 179.67%:  because sometimes I feel like throwing my own vir
   7507 179.65%:  because sometimes I like feelin' things
   7508 179.64%:  because there's millions of times
   7509 179.64%:  because I've got this awesome news
   7510 179.63%:  because I'm really listening
   7511 179.61%:  because sometimes I worry my entire life was
   7512 179.54%:  because I have some feelings still
   7513 179.47%:  because otherwise I will never look
   7514 294.97%:  because otherwise I will never look at my
   7515 366.28%:  because otherwise I will never look at my fingers
   7516 179.46%:  because sometimes I worry we're giving the
   7517 179.42%:  because sometimes I worry reality is more
   7518 179.23%:  because sometimes I think my life is a moving
   7519 179.21%:  because sometimes I like to say how
   7520 179.20%:  because sometimes when I imagine my worries
   7521 179.17%:  because there's all
   7522 507.66%:  because there's all sorts
   7523 179.17%:  sometimes I feel like there's gonna
   7524 179.16%:  because everyone else in this room will
   7525 179.13%:  because sometimes I imagine this level
   7526 179.12%:  because sometimes I like to hang
   7527 270.87%:  because sometimes I like to hang myself
   7528 179.10%:  because sometimes I worry things are fr
   7529 179.08%:  because I'm feeling like this story
   7530 179.07%:  because whenever I'm looking for a girl
   7531 179.06%:  because sometimes when I'm flirting or
   7532 179.05%:  because sometimes I think life is making
   7533 178.99%:  because sometimes I think my life is a lovely
   7534 178.94%:  because I think it was
   7535 178.74%:  because sometimes I think we're saying more
   7536 178.70%:  sometimes I worry we're missing the
   7537 178.68%:  because sometimes my version
   7538 7739.95%:  because sometimes my version of reality
   7539 352.37%:  because sometimes my version of the
   7540 178.61%:  because sometimes when I'm talking my
   7541 178.61%:  because I was going to sell
   7542 309.33%:  because I was going to sell the
   7543 178.59%:  because I'm going to tell my family
   7544 178.53%:  because sometimes in real life I worry it isn
   7545 178.53%:  because there's only one small
   7546 178.53%:  because sometimes I worry we're living life a
   7547 178.48%:  because we're going to heaven
   7548 178.43%:  because we're living in the most awesome rom
   7549 178.40%:  sometimes I feel like this is going over
   7550 178.40%:  because sometimes I lose when
   7551 178.34%:  because sometimes in real life things go very
   7552 178.32%:  because we're all here for
   7553 178.24%:  because sometimes I worry it's like falling
   7554 178.23%:  because I'm still working on a story
   7555 425.49%:  because I'm still working on a story here
   7556 333.91%:  because I'm still working on a story where
   7557 181.18%:  because I'm still working on a story where my
   7558 178.23%:  because there's like a million strings
   7559 178.18%:  because sometimes I feel like my goals
   7560 467.10%:  because sometimes I feel like my goals in
   7561 310.22%:  because sometimes I feel like my goals might
   7562 178.17%:  because sometimes I worry overthinking will make me fr
   7563 178.15%:  because sometimes I like imagining times
   7564 178.14%:  because it seems like a lot of women like
   7565 178.13%:  because sometimes I like to imagine my life is long
   7566 178.11%:  because sometimes I think my version
   7567 178.08%:  because I'm trying to imagine where life
   7568 178.02%:  because it seems like a million
   7569 18942.64%:  because it seems like a million times more work
   7570 7633.68%:  because it seems like a million times more work in
   7571 6047.93%:  because it seems like a million times more work if
   7572 709.04%:  because it seems like a million times more of
   7573 352.64%:  because it seems like a million times more work if I'
   7574 178.01%:  because I'm trying to sell everyone
   7575 177.94%:  because sometimes I like to imagine life is w
   7576 177.89%:  because it seems like I've got myself
   7577 177.89%:  because it never works for me there's no
   7578 177.87%:  because it's not working for me like
   7579 177.84%:  sometimes I imagine myself really choosing
   7580 177.78%:  because otherwise it seems like I'm living a
   7581 177.73%:  because sometimes I worry we're all living in the s
   7582 177.73%:  because sometimes I feel like in this
   7583 177.73%:  because sometimes I worry those
   7584 227.88%:  because sometimes I worry those are
   7585 177.62%:  because sometimes I like imagine my own life story
   7586 177.61%:  because sometimes I feel like it only
   7587 2772.00%:  because sometimes I feel like it only works in
   7588 295.56%:  because sometimes I feel like it only works in my
   7589 177.61%:  because sometimes I worry my writing is like
   7590 177.58%:  because it seems like someone with
   7591 177.58%:  sometimes I feel like throwing away my sense
   7592 177.58%:  because it seems like I'm learning
   7593 332.01%:  because it seems like I'm learning more
   7594 852.23%:  because it seems like I'm learning more from
   7595 2831.89%:  because it seems like I'm learning more from this
   7596 224.07%:  because it seems like I'm learning more from this l
   7597 177.53%:  because sometimes I like imagine how it will
   7598 177.49%:  because otherwise I'm losing
   7599 263.23%:  because otherwise I'm losing my entire
   7600 384.05%:  because otherwise I'm losing my entire life
   7601 186.08%:  because otherwise I'm losing my religion
   7602 177.46%:  because sometimes I feel like writing original
   7603 529.77%:  because sometimes I feel like writing original works
   7604 177.45%:  because I'm trying to imagine from where
   7605 177.42%:  because sometimes I worry we're living short
   7606 177.41%:  because sometimes I imagine living with
   7607 177.40%:  because I sometimes like to imagine showing
   7608 177.37%:  because I'm really looking to get my
   7609 177.34%:  because sometimes I worry we're living in a hell
   7610 523.75%:  because sometimes I worry we're living in a hell of
   7611 188.66%:  because sometimes I worry we're living in a hell of sim
   7612 177.32%:  because I was listening to how
   7613 177.31%:  because sometimes I imagine this for
   7614 302.15%:  because sometimes I imagine this for my
   7615 177.30%:  because sometimes I like to imagine iron
   7616 177.29%:  because sometimes I worry if it was even
   7617 177.27%:  because sometimes when I'm really into work
   7618 177.27%:  because otherwise I'm looking at myself
   7619 177.26%:  sometimes I feel like things can go
   7620 177.22%:  because in my version of the story we're all sm
   7621 177.19%:  because everything I say seems
   7622 195.33%:  because everything I say seems like
   7623 177.19%:  because there's some games
   7624 177.18%:  because sometimes I like throwing my
   7625 384.91%:  because sometimes I like throwing my energy
   7626 177.17%:  because everyone else says it took
   7627 177.14%:  because sometimes I like imagining there is
   7628 177.13%:  because sometimes I worry falling in love with me'
   7629 177.08%:  sometimes I imagine there's some
   7630 177.08%:  because I'm still not seeing how we lose
   7631 177.05%:  because sometimes I really worry there's going
   7632 177.00%:  because sometimes I think my life is largely
   7633 176.98%:  because I never want to lose
   7634 277.29%:  because I never want to lose my
   7635 176.96%:  because sometimes I worry we're all living things
   7636 176.95%:  sometimes I feel like everything is imaginary
   7637 176.93%:  because I'm still waiting for my shower
   7638 176.88%:  because it seems like everything is wrong
   7639 176.85%:  because sometimes I really resent
   7640 176.81%:  because sometimes it feels like I'm gonna go my
   7641 176.79%:  because sometimes I worry we're still living in a more
   7642 176.76%:  because everyone else at work
   7643 176.74%:  because I sometimes like to imagine myself in low
   7644 176.72%:  because sometimes I worry things are lonely
   7645 176.69%:  because otherwise it seems like my only
   7646 176.66%:  because sometimes I'm not awesome
   7647 176.63%:  because otherwise I'm really sorry
   7648 176.60%:  because sometimes I like to imagine more sin
   7649 176.59%:  because I'm still working this
   7650 273.57%:  because I'm still working this one
   7651 176.57%:  because it seems like everything I say in
   7652 176.57%:  because sometimes I like to imagine how evil my
   7653 176.56%:  because sometimes I worry we're really nothing
   7654 176.52%:  because sometimes I think we're moving really
   7655 176.51%:  because when I originally
   7656 176.50%:  because otherwise it seems like I'm living on
   7657 176.46%:  because otherwise I'm trying
   7658 176.44%:  because I was thinking like five times
   7659 176.41%:  because I was there
   7660 225.80%:  because I was there first
   7661 176.40%:  because I've got a story somewhere
   7662 176.40%:  because otherwise I've really mess
   7663 176.36%:  because everyone knows it takes
   7664 205.78%:  because everyone knows it takes more
   7665 176.34%:  because in my version she
   7666 176.23%:  because sometimes I have worries
   7667 176.18%:  because sometimes I like to imagine willing
   7668 176.16%:  because sometimes I worry everything is fine
   7669 176.15%:  because I've only
   7670 320.66%:  because I've only gotten
   7671 176.13%:  because sometimes I imagine myself only like
   7672 176.11%:  because sometimes I worry we're not a
   7673 405.01%:  because sometimes I worry we're not a very
   7674 176.00%:  because I was thinking sometimes
   7675 175.99%:  because it seems way
   7676 354.64%:  because it seems way more work
   7677 316.46%:  because it seems way more likely
   7678 398.78%:  because it seems way more likely to
   7679 194.32%:  because it seems way more like
   7680 4227.73%:  because it seems way more like something
   7681 618.03%:  because it seems way more like something from
   7682 543.80%:  because it seems way more like something I'm
   7683 297.15%:  because it seems way more like something for
   7684 175.96%:  because I sometimes like thinking
   7685 175.96%:  because sometimes I imagine myself two
   7686 175.94%:  because sometimes I imagine myself in lovely
   7687 175.92%:  because everyone else is worrying that
   7688 175.91%:  because sometimes it feels like I'm imagining hor
   7689 175.90%:  because I was trying to ignore
   7690 175.80%:  because it seems like something I'm more
   7691 307.33%:  because it seems like something I'm more willing
   7692 175.78%:  because sometimes I like to imagine life on
   7693 175.76%:  because sometimes I worry there was
   7694 381.89%:  because sometimes I worry there was more
   7695 175.71%:  because sometimes I feel like losing my vir
   7696 175.67%:  because I was looking for every
   7697 175.66%:  sometimes I imagine myself being the source
   7698 175.65%:  because I was thinking of some very
   7699 175.63%:  sometimes I feel like everything is blowing
   7700 175.62%:  because the only reason I've toler
   7701 175.61%:  because it seems like it's gonna go
   7702 175.55%:  because sometimes I worry we're living on a st
   7703 175.55%:  because it seems like way more work over
   7704 175.51%:  because sometimes I feel like writing in
   7705 175.50%:  because sometimes I think my life looks
   7706 175.49%:  because I'm still not seeing how my life
   7707 175.42%:  because sometimes I wish my life weren't all
   7708 175.36%:  because sometimes I worry overthinking life makes my
   7709 175.36%:  because I still have no
   7710 175.34%:  because sometimes I really wish it'
   7711 175.33%:  because sometimes I worry we're making love in slightly
   7712 175.31%:  because it seems like things were way
   7713 175.30%:  because everyone else in this story will
   7714 175.30%:  because I was looking for either
   7715 175.28%:  because I'm totally like
   7716 175.26%:  sometimes I worry things will never be easy
   7717 718.29%:  sometimes I worry things will never be easy for
   7718 175.22%:  sometimes I worry my stories can never
   7719 549.18%:  sometimes I worry my stories can never be
   7720 175.20%:  because sometimes I like to make life
   7721 175.19%:  because I'm looking for my
   7722 175.16%:  because sometimes I like to imagine lying for
   7723 175.13%:  because I've got like two weeks
   7724 175.12%:  because I'm really into stories where one is
   7725 175.03%:  because sometimes I worry my life is a lie
   7726 175.00%:  because I was going to insist
   7727 286.58%:  because I was going to insist we
   7728 174.95%:  because sometimes I imagine my life'
   7729 174.92%:  because sometimes I like to imagine myself in v
   7730 174.90%:  sometimes I worry things will be easier if you make
   7731 174.90%:  because it seems like I've set
   7732 174.84%:  because it's not working well
   7733 306.50%:  because it's not working well for me here
   7734 174.75%:  because sometimes I worry real life isn't moving
   7735 174.71%:  because I'm writing something for
   7736 174.70%:  because it seems like nothing is
   7737 1223.88%:  because it seems like nothing is really
   7738 365.10%:  because it seems like nothing is more
   7739 1566.04%:  because it seems like nothing is more likely
   7740 191.30%:  because it seems like nothing is ever
   7741 174.68%:  because I was thinking like we
   7742 174.65%:  sometimes I imagine myself as the l
   7743 177.16%:  sometimes I imagine myself as the lonel
   7744 174.64%:  because sometimes I like imagining over
   7745 174.61%:  because I'm still not hearing
   7746 174.55%:  because sometimes I worry we're not in
   7747 562.84%:  because sometimes I worry we're not in a
   7748 386.21%:  because sometimes I worry we're not in a very
   7749 174.53%:  sometimes I worry we're not really making use
   7750 174.53%:  because sometimes I feel like to
   7751 174.50%:  because sometimes I imagine how my life is
   7752 174.49%:  because sometimes I like to imagine if only we'
   7753 174.45%:  because sometimes I worry worrying is a
   7754 174.41%:  because sometimes I like the winner
   7755 174.39%:  because I imagine it's somehow
   7756 174.37%:  because sometimes I like to imagine myself in row
   7757 174.36%:  sometimes I imagine myself being lucky with
   7758 174.35%:  because sometimes I think life will
   7759 174.33%:  because sometimes I worry things never go
