means that not all dreams can come true!)
      0 100.00%: 
      1 185.90%:  rules
   2079 0.03%:  recommends that)
   2080 0.03%:  teaches us to dream a
   2081 0.03%:  starts at the end
   2082 0.03%:  has done me no real
   2083 0.03%:  teaches us not to call
   2084 0.03%:  means a lot to me and her name
   2085 0.03%:  has sent me to
   2086 0.03%:  decrees that no amount
   2087 0.03%:  tells me not to!)
   2088 0.03%:  teaches me not to care
   2089 0.03%:  march!)
   2090 0.03%:  smarter than most!)
   2091 0.03%:  controls!)
   2092 0.03%:  rules at the start and
   2093 0.03%:  cannot come
   2094 0.03%:  and maths
   2095 0.08%:  and maths are
   2096 0.03%:  scores!)
   2097 0.03%:  name!)
   2098 0.03%:  threatens to undo all
   2099 0.03%:  returns once
   2100 0.03%:  that leads to some
   2101 0.03%:  tells us that no man
   2102 0.03%:  loses)
   2103 0.03%:  cheaters
   2104 0.03%:  rules so hard at
   2105 0.03%:  counts as
   2106 0.03%:  the most
   2107 0.03%:  has led me on a mer
   2108 0.03%:  tells us that one cannot dream
   2109 0.03%:  tells us there aren
   2110 0.03%:  does not use the term
   2111 0.03%:  masters!)
   2112 0.03%:  tells me that a
   2113 0.03%:  and common sense) are
   2114 0.09%:  and common sense) are the
   2115 0.03%:  lets the
   2116 0.03%:  hurts)
   2117 0.03%:  reads
   2118 0.03%:  means more to me than cute
   2119 0.03%:  sounds more
   2120 0.03%:  and common sense are a team!)
   2121 0.03%:  commands us all to act
   2122 0.03%:  names the
   2123 0.03%:  and that
   2124 0.03%:  does more than rule
   2125 0.03%:  can do some neat
   2126 0.03%:  made me!)
   2127 0.03%:  means more to me than a test
   2128 0.03%:  endorses romance
   2129 0.03%:  teaches us all to dream on!)
   2130 0.03%:  smothered me
   2131 0.03%:  returned to
   2132 0.03%:  rules second
   2133 0.03%:  comes last
   2134 0.03%:  means a lot to a smart
   2135 0.03%:  rolls
   2136 0.03%:  reduces some
   2137 0.03%:  ste
   2138 0.11%:  steals the
   2139 0.05%:  steals the romance
   2140 0.03%:  sure made
   2141 0.03%:  has also made me an
   2142 0.03%:  last sentence
   2143 0.03%:  teachers cannot
   2144 0.03%:  to the rescue on
   2145 0.03%:  means more to me than rules!)
   2146 0.03%:  teaches us to act
   2147 0.03%:  has made a real man
   2148 0.03%:  has lead me to some real
   2149 0.03%:  and humans
   2150 0.03%:  smarter than man
   2151 0.03%:  teaches us to dream clean!)
   2152 0.03%:  has made me reluctant to romance!)
   2153 0.03%:  teaches us to condemn all
   2154 0.03%:  causes more
   2155 0.03%:  teams are
   2156 0.03%:  means more to me than a calendar
   2157 0.03%:  has at least made me one
   2158 0.03%:  are hard
   2159 0.03%:  marches on unrel
   2160 0.03%:  can do the
   2161 0.13%:  can do the same!)
   2162 0.07%:  can do the same to
   2163 0.06%:  can do the same to me
   2164 0.05%:  can do the same)
   2165 0.04%:  can do the same to us
   2166 0.03%:  means all
   2167 0.16%:  means all the same
   2168 0.13%:  means all the same!)
   2169 0.10%:  means all the same to
   2170 0.08%:  means all the same to me)
   2171 0.03%:  tells us that a moment
   2172 0.03%:  stands a
   2173 0.03%:  tells us that no one can eat
   2174 0.03%:  tells us that 
   2175 0.03%:  and honest
   2176 0.03%:  means all the same to me and
   2177 0.03%:  rules more than once)
   2178 0.03%:  does no
   2179 0.03%:  teachers all
   2180 0.03%:  let us not
   2181 0.03%:  endorses eternal
   2182 0.03%:  returns me
   2183 0.03%:  used to call me the
   2184 0.03%:  that results
   2185 0.03%:  has no need to
   2186 0.03%:  tells me the most
   2187 0.03%:  has started to mean more
   2188 0.03%:  teaches us not to tam
   2189 0.03%:  hard!)
   2190 0.03%:  curses are the
   2191 0.03%:  cheerle
   2192 0.13%:  cheerleaders!)
   2193 0.04%:  cheerleaders!
   2194 0.03%:  has come to rule
   2195 0.03%:  tells me that dreams cannot come)
   2196 0.03%:  leads to truths!)
   2197 0.03%:  can deal
   2198 0.03%:  accounts
   2199 0.03%:  occurs
   2200 0.03%:  tells some
   2201 0.03%:  master
   2202 0.09%:  master race
   2203 0.03%:  can teach us all a
   2204 0.03%:  touches almost
   2205 0.03%:  also turns
   2206 0.03%:  under constant
   2207 0.03%:  means a lot to me and me
   2208 0.03%:  teaches us all to read
   2209 0.03%:  matters so
   2210 0.03%:  comments)
   2211 0.03%:  sad
   2212 0.03%:  tells us that romance and
   2213 0.03%:  document
   2214 0.03%:  teaches me not to)
   2215 0.03%:  dam
   2216 0.09%:  damns us all)
   2217 0.04%:  damns us all to
   2218 0.03%:  retreat
   2219 0.03%:  shattered once more!
   2220 0.03%:  at the end
   2221 0.03%:  started that
   2222 0.03%: ) can
   2223 0.03%:  has made me cooler!)
   2224 0.03%:  around me
   2225 0.03%:  made us
   2226 0.03%:  rul
   2227 0.03%:  has no more use
   2228 0.03%:  needn
   2229 0.03%:  means more to me than a central
   2230 0.03%:  rules at least once more
   2231 0.03%:  does me
   2232 0.03%:  month!)
   2233 0.03%:  means more to us than mere data
   2234 0.03%:  lets us do the
   2235 0.03%:  has come to me!)
   2236 0.03%:  comes close
   2237 0.03%:  does lots
   2238 0.03%:  n
   2239 0.25%:  nerd alert
   2240 0.03%:  nerd)
   2241 0.03%:  cannot tolerate such)
   2242 0.03%:  threatens to undo me!)
   2243 0.03%:  cannot dream
   2244 0.03%:  controlled
   2245 0.03%:  has a lot to deal
   2246 0.03%:  and romance are a
   2247 0.05%:  and romance are a match
   2248 0.03%:  means such
   2249 0.03%:  can do that to me!)
   2250 0.03%:  teaches us to de
   2251 0.03%:  teaches us to toler
   2252 0.03%:  teaches us to tolerate and
   2253 0.03%:  has made one more casual
   2254 0.03%:  means more to us then
   2255 0.03%:  encountered another
   2256 0.03%:  tells me that our
   2257 0.03%:  named me
   2258 0.03%:  sure has done me real
   2259 0.03%:  stars
   2260 0.03%:  stands correct
   2261 0.03%:  nonetheless tr
   2262 0.03%:  mot
   2263 0.03%:  rules not
   2264 0.03%:  ensures eternal
   2265 0.03%:  to the rescue and all!)
   2266 0.03%:  comes at a cost
   2267 0.03%:  treats the
   2268 0.03%:  related reasons
   2269 0.03%:  also condem
   2270 0.03%:  accurate!)
   2271 0.03%:  creates dreams
   2272 0.03%:  teaches me not to let
   2273 0.03%:  means more to me than calcul
   2274 0.03%:  teaches me to dream small!
   2275 0.03%:  that matters
   2276 0.03%:  and common sense)!
   2277 0.03%:  and truth are not one!)
   2278 0.03%:  shortcom
   2279 0.03%:  also holds
   2280 0.03%:  teaches us a lot and
   2281 0.03%:  creates lots
   2282 0.03%:  rules on the street and
   2283 0.03%:  smarter than all!)
   2284 0.03%:  also accounts
   2285 0.03%:  no
   2286 0.03%:  has made me once
   2287 0.03%:  rules to the core
   2288 0.03%:  leads me to truth
   2289 0.03%:  ruled)
   2290 0.03%:  touches on
   2291 0.03%:  hat
   2292 0.04%:  haters are
   2293 0.03%:  haters!)
   2294 0.03%:  remem
   2295 0.03%:  has no soul!)
   2296 0.03%:  start me
   2297 0.03%:  on the ro
   2298 0.03%:  endorses the term
   2299 0.03%:  here!)
   2300 0.03%:  does seem to rule
   2301 0.03%:  tells us that a dream can
   2302 0.03%:  rule me
   2303 0.03%:  hates me so!)
   2304 0.03%:  cannot tolerate the und
   2305 0.03%: ) should
   2306 0.03%:  has made me an enormous
   2307 0.03%:  threatens to steal more
   2308 0.07%:  threatens to steal more and
   2309 0.03%:  has led me to more
   2310 0.03%:  has made me an unre
   2311 0.03%:  has made me recons
   2312 0.03%:  has turned me on to a
   2313 0.03%:  cannot set
   2314 0.03%:  teachers used
   2315 0.03%:  returns almost
   2316 0.03%:  menace
   2317 0.03%:  means more to me than a neutral
   2318 0.03%:  cannot comment
   2319 0.03%:  has at least made me content!)
   2320 0.03%:  has made me a lot more reluct
   2321 0.03%:  means a lot to the
   2322 0.03%:  can choose
   2323 0.03%:  attachment
   2324 0.03%:  and art are the same!)
   2325 0.03%:  hate
   2326 0.03%:  dreams!)
   2327 0.03%:  statements
   2328 0.08%:  statements are
   2329 0.03%:  almost let
   2330 0.03%:  that creates
   2331 0.03%:  means more to me than a taste
   2332 0.03%:  hater
   2333 0.03%:  shuns
   2334 0.03%:  commend
   2335 0.18%:  commendeth not!)
   2336 0.03%:  hates us all and
   2337 0.03%:  detect
   2338 0.03%:  endorses truth!)
   2339 0.03%:  has made me learn a lot!)
   2340 0.03%:  and reason are one!)
   2341 0.03%:  here)
   2342 0.03%:  means a lot to these
   2343 0.03%:  has led me to more accurate
   2344 0.03%:  creates all
   2345 0.03%:  st
   2346 0.03%:  touched me
   2347 0.03%:  shouts
   2348 0.03%:  sure has made me learn
   2349 0.14%:  sure has made me learn a lot!)
   2350 0.05%:  sure has made me learn a lot)
   2351 0.03%:  nerds are not
   2352 0.03%:  controlled the
   2353 0.03%:  sort
   2354 0.03%:  scares me more than once
   2355 0.03%:  needs to learn not
   2356 0.03%:  nonsense
   2357 0.03%:  has caused me more re
   2358 0.03%: ) dreams
   2359 0.03%:  soothes
   2360 0.03%:  that must
   2361 0.03%:  and romance are all the same)
   2362 0.03%:  cannot do
   2363 0.03%:  means more to me than cr
   2364 0.03%:  that tastes
   2365 0.03%:  round
   2366 0.03%:  means more to me than cleanl
   2367 0.03%:  tells us that cent
   2368 0.03%:  cannot touch
   2369 0.03%:  has done some real
   2370 0.03%:  relent
   2371 0.07%:  relentless
   2372 0.03%:  relentless and
   2373 0.03%:  must also
   2374 0.03%:  lets us learn the
   2375 0.03%:  scares me more than mon
   2376 0.03%:  thus
   2377 0.03%:  teaches us all to eat
   2378 0.03%:  denotes that
   2379 0.03%:  has told me a
   2380 0.03%:  has told me a lot!)
   2381 0.03%:  more
   2382 0.03%:  more accurate
   2383 0.03%:  stole that
   2384 0.03%:  reduces almost
   2385 0.03%:  teaches us to eat
   2386 0.03%:  teaches us to eat and
   2387 0.03%:  means more to me than sand
   2388 0.03%:  has also led me to a
   2389 0.03%:  can crush
   2390 0.03%:  has dealt me more
   2391 0.03%:  clos
   2392 0.69%:  closes another
   2393 0.16%:  closes the
   2394 0.10%:  closes another dream
   2395 0.08%:  closes another dream!)
   2396 0.04%:  closes more
   2397 0.03%:  has sure made me cr
   2398 0.03%:  has made me a master
   2399 0.03%:  also concl
   2400 0.03%:  ch
   2401 0.03%:  means more to me than state
   2402 0.03%:  teaches me to not
   2403 0.03%:  tells us that mere
   2404 0.03%:  causes another
   2405 0.03%:  consultants are a real
   2406 0.03%:  teaches us not to meet
   2407 0.03%:  to the rescue once aaaaa
   2408 0.03%:  un
   2409 0.03%:  unrelated
   2410 0.03%:  scored
   2411 0.54%:  scored another
   2412 0.03%:  scored one
   2413 0.03%:  turns the
   2414 0.03%:  means more to me than a real
   2415 0.03%:  has done me almost
   2416 0.03%:  and the arts!
   2417 0.03%:  treats all
   2418 0.03%:  lets us learn more each
   2419 0.03%:  commands us all!
   2420 0.03%:  has sure made me more
   2421 0.03%:  means a lot to me and that)
   2422 0.03%:  commands us all to eat
   2423 0.03%:  does not rule me
   2424 0.03%:  scorns me)
   2425 0.03%:  has altered
   2426 0.03%:  uses too
   2427 0.03%:  cannot tolerate the casual
   2428 0.03%:  sorts out the real
   2429 0.03%:  and all that ent
   2430 0.03%:  there
   2431 0.03%:  rules can
   2432 0.03%:  names cannot
   2433 0.03%:  has made me more toler
   2434 0.10%:  has made me more tolerant!)
   2435 0.03%:  does not tell me that
   2436 0.03%:  and common sense are truth
   2437 0.03%:  means more to me than under
   2438 0.03%:  related themes
   2439 0.03%:  has also made me more reluct
   2440 0.03%:  and common sense rule)
   2441 0.03%:  names should
   2442 0.03%:  rules are the same
   2443 0.03%:  rule one)
   2444 0.03%:  entered the
   2445 0.03%:  threatens us all!
   2446 0.03%:  tells me that can
   2447 0.03%:  has too
   2448 0.03%:  creates our
   2449 0.03%:  corner
   2450 0.05%:  cornerstone
   2451 0.03%:  teaches us not to eat!)
   2452 0.03%:  has started to turn me on)
   2453 0.03%:  means more to me than a student
   2454 0.03%:  teaches me not to care!)
   2455 0.03%:  command
   2456 0.05%:  commandment
   2457 0.03%:  tends to rule the
   2458 0.03%:  cannot tolerate such re
   2459 0.03%:  teaches us not to alter
   2460 0.03%:  matters!
   2461 0.03%:  nerd alert)
   2462 0.03%:  cannot tolerate such tales
   2463 0.03%:  and)
   2464 0.03%:  means a lot to me and that can
   2465 0.03%:  and math are one reason
   2466 0.03%:  has turned me to
   2467 0.03%:  has made me lose at
   2468 0.03%: aaaa
   2469 0.03%:  tells us that not one
   2470 0.03%:  one thousand
   2471 0.03%:  means more than a
   2472 0.03%:  means more than a lot
   2473 0.03%:  has resc
   2474 0.07%:  has rescued me once
   2475 0.03%:  reasons cannot
   2476 0.03%:  needs to learn more)
   2477 0.03%:  can lead us to the most
   2478 0.03%:  has made me let
   2479 0.03%:  leaders
   2480 0.03%:  tells me that) dreams
   2481 0.04%:  tells me that) dreams can
   2482 0.03%:  most
   2483 0.03%:  ho
   2484 0.03%:  has made me more reluct
   2485 0.03%:  shunned
   2486 0.03%:  tells me to do
   2487 0.03%:  tells me to do that
   2488 0.03%:  sure has done me a
   2489 0.03%:  here and
   2490 0.03%:  that almost
   2491 0.03%:  means more to me than cancer
   2492 0.03%:  states the
   2493 0.03%:  tells us that an etern
   2494 0.03%:  can so
   2495 0.03%:  means more to me than at
   2496 0.03%:  has also made me more accurate
   2497 0.03%:  rules has
   2498 0.03%:  rules one and one
   2499 0.03%:  leads me to the same
   2500 0.03%:  commented
   2501 0.03%:  has sure made me a real
   2502 0.03%:  m
   2503 0.03%:  turns me on so hard)
   2504 0.03%:  or mathemat
   2505 0.03%:  endorses the real
   2506 0.03%: ) cannot
   2507 0.03%:  seems to do that all
   2508 0.03%:  and the real reason
   2509 0.03%:  rules on that!)
   2510 0.03%:  endorses a
   2511 0.03%:  hates to
   2512 0.03%:  returned the
   2513 0.03%:  made me)
   2514 0.03%:  cannot tell me the nature
   2515 0.03%:  has re
   2516 0.07%:  has reared
   2517 0.03%:  soothes me!)
   2518 0.03%:  sends another
   2519 0.03%:  has done us all
   2520 0.03%:  cannot tolerate these un
   2521 0.03%:  creates most
   2522 0.03%:  tells us that no one can create
   2523 0.03%:  does attract
   2524 0.03%:  comes so
   2525 0.03%:  has made me one
   2526 0.03%:  has seen me turned
   2527 0.03%:  marches on to
   2528 0.03%:  constructed me
   2529 0.03%:  assured me
   2530 0.03%:  sure has made me an
   2531 0.03%:  theor
   2532 0.03%:  tells us that once a
   2533 0.03%:  nonetheless recomm
   2534 0.03%:  started out
   2535 0.03%:  has at least made me clear
   2536 0.03%:  tells me that dreams are no
   2537 0.03%:  alerted to the
   2538 0.03%:  means so much to me and all)
   2539 0.03%:  calls to me once
   2540 0.03%:  creates no
   2541 0.03%:  means a lot)
   2542 0.03%:  also means that no
   2543 0.03%:  has also led to
   2544 0.03%:  has ruled me!)
   2545 0.03%:  shuns me!)
   2546 0.03%:  teaches us not to eat all
   2547 0.03%:  most rules
   2548 0.03%:  means more to me than data!)
   2549 0.03%:  has also made me retract
   2550 0.03%:  means a lot to me and a
   2551 0.03%:  also deals
   2552 0.03%:  eats
   2553 0.03%:  has made me too
   2554 0.16%:  has made me too smart
   2555 0.03%:  has made me too smart!)
   2556 0.03%:  such
   2557 0.03%:  sentences!)
   2558 0.03%:  also told
   2559 0.07%:  also told me there
   2560 0.03%:  called me
   2561 0.03%:  tells us that too
   2562 0.03%:  masters all
   2563 0.03%:  has at least made clear
   2564 0.03%:  reduces to
   2565 0.03%:  leads me to such
   2566 0.03%:  underneath
   2567 0.03%:  to the rescue and also
   2568 0.03%: !) that
   2569 0.03%:  does much
   2570 0.03%:  creates and
   2571 0.03%:  reasons!
   2572 0.03%:  can teach us all to
   2573 0.03%:  starts the
   2574 0.03%:  rules a lot more
   2575 0.03%:  teaches us to learn and to
   2576 0.03%:  de
   2577 0.31%:  deconstruct
   2578 0.30%:  deconstructs the
   2579 0.22%:  deconstructs another
   2580 0.13%:  deconstructs all
   2581 0.05%:  deconstructs all the
   2582 0.04%:  dearest
   2583 0.03%:  deconstructs all that
   2584 0.03%:  deconstructs all!)
   2585 0.03%:  deconstructs!)
   2586 0.03%:  means more than a statement
   2587 0.03%:  can tell us the
   2588 0.03%:  rules a lot)
   2589 0.03%:  has done us real
   2590 0.03%:  at that
   2591 0.03%:  and reason are not all
   2592 0.06%:  and reason are not all that
   2593 0.03%:  cannot tolerate such a trans
   2594 0.03%:  means more to me than a cat
   2595 0.03%:  has a lot on
   2596 0.03%:  means more to me than us
   2597 0.02%:  has selected
   2598 0.02%:  turned the
   2599 0.02%:  tells me that one cannot
   2600 0.02%:  means so much to me 
   2601 0.02%:  has a lotta
   2602 0.02%:  does seem to let
   2603 0.02%:  has created a lot more
   2604 0.02%:  lesson concl
   2605 0.02%:  names are so hard)
   2606 0.02%:  has made me a true
   2607 0.04%:  has made me a true man
   2608 0.03%:  has made me a true man!)
   2609 0.02%:  teaches me to deal
   2610 0.02%:  later
   2611 0.02%:  teaches me to dream)
   2612 0.02%:  alone holds
   2613 0.02%:  cannot tolerate these sl
   2614 0.02%:  teaches me to turn dreams
   2615 0.02%:  tells me that true romance
   2616 0.02%:  has made me a total los
   2617 0.06%:  has made me a total loser)
   2618 0.06%:  has made me a total loser!)
   2619 0.02%:  has calculated
   2620 0.02%: ) once
   2621 0.02%:  can sound
   2622 0.02%:  creates tremendous
   2623 0.02%:  can also rule that
   2624 0.02%:  that does not seem
   2625 0.02%:  shoot
   2626 0.02%:  can reduce
   2627 0.02%:  comment made
   2628 0.02%:  has sent me more
   2629 0.02%:  comes to the rescue at
   2630 0.02%:  educ
   2631 0.12%:  educates!)
   2632 0.12%:  educators
   2633 0.05%:  educates me
   2634 0.04%:  educates me once
   2635 0.02%:  has done me an
   2636 0.02%:  research doesn
   2637 0.02%:  and all)
   2638 0.02%:  meant
   2639 0.02%:  scream
   2640 0.04%:  screams!)
   2641 0.02%:  teaches us to dream one
   2642 0.02%:  can do the same to me)
   2643 0.02%:  and truth are not all
   2644 0.02%:  endorses all manner
   2645 0.02%:  means correct
   2646 0.02%:  threatens to turn
   2647 0.02%:  teaches us all not to eat
   2648 0.02%:  teaches us not to eat and
   2649 0.02%:  teaches us all an
   2650 0.02%:  rules so hard on
   2651 0.02%:  truth
   2652 0.02%:  dro
   2653 0.03%:  drool
   2654 0.02%:  come
   2655 0.02%:  cl
   2656 0.09%:  clashes
   2657 0.02%:  rules on the one
   2658 0.02%:  hates to lose
   2659 0.02%:  commands us all to create
   2660 0.02%:  has at last turned
   2661 0.02%:  commenters
   2662 0.02%:  sorts me
   2663 0.04%:  sorts me out!)
   2664 0.02%:  needs to learn to start
   2665 0.02%:  alone teaches
   2666 0.02%:  can tell me that!)
   2667 0.02%:  and commerce
   2668 0.02%:  has made me a cruel
   2669 0.03%:  has made me a cruel master
   2670 0.03%:  has made me a cruel master!)
   2671 0.02%:  can assure
   2672 0.02%:  has made a career
   2673 0.02%:  threatens to tear
   2674 0.02%:  means a lot here!)
   2675 0.02%:  not the
   2676 0.02%:  etern
   2677 0.02%:  means real
   2678 0.02%:  alone couldn
   2679 0.02%:  means more to me than a stern
   2680 0.02%:  to the rescue one last
   2681 0.02%:  and art are the closest
   2682 0.02%:  alone has made me so
   2683 0.02%:  clar
   2684 0.02%:  at least has made
   2685 0.03%:  at least has made me more
   2686 0.02%:  rules are the ones
   2687 0.02%:  results cannot
   2688 0.02%:  means more to me than art)
   2689 0.02%:  rules more than once a
   2690 0.02%:  means more to me than central
   2691 0.02%:  research teams
   2692 0.02%:  moment
   2693 0.02%:  has cost me a lot)
   2694 0.02%:  also made me lose the
   2695 0.02%:  can do more than tell
   2696 0.02%:  can do more than tell me
   2697 0.02%:  u
   2698 0.02%:  matters to me so
   2699 0.21%:  matters to me so much!)
   2700 0.03%:  matters to me so much)
   2701 0.02%:  has made me cr
   2702 0.02%:  has made me a mean
   2703 0.02%:  and romance are not the same at
   2704 0.02%:  teaches us one clear and
   2705 0.02%:  has caused me more an
   2706 0.02%:  has secured
   2707 0.02%:  has made me smart!)
   2708 0.02%:  reasons me
   2709 0.02%:  has made me smarter!
   2710 0.02%:  has treated me a
   2711 0.02%:  commands us all to)
   2712 0.02%:  central
   2713 0.02%:  schools!)
   2714 0.02%:  alone could
   2715 0.02%:  that cl
   2716 0.02%:  and reason are the least
   2717 0.02%:  control
   2718 0.02%:  cuts
   2719 0.02%:  has treated me so un
   2720 0.02%:  made a man
   2721 0.03%:  made a man outta
   2722 0.02%:  and romance are a lot
   2723 0.02%:  comment should
   2724 0.02%:  returns to the)
   2725 0.02%:  settled
   2726 0.02%:  date!)
   2727 0.02%:  means more to me than sc
   2728 0.02%:  can do no less
   2729 0.07%:  can do no less than
   2730 0.02%:  marches us all to
   2731 0.02%:  demonstrates that) no
   2732 0.02%:  nerds can relate
   2733 0.02%:  marched out)
   2734 0.02%:  released
   2735 0.03%:  released another
   2736 0.02%:  means more to me than trends
   2737 0.02%:  research and
   2738 0.02%:  rules means
   2739 0.02%:  that also
   2740 0.02%:  more than
   2741 0.02%:  has most
   2742 0.02%:  teachers aren
   2743 0.02%:  also tends
   2744 0.02%:  cannot tolerate the sacred
   2745 0.02%:  has made one more man
   2746 0.02%:  means more to me than rest and
   2747 0.02%:  can do the same to us all)
   2748 0.02%:  class!)
   2749 0.02%:  tells us no one
   2750 0.03%:  tells us no one can hear
   2751 0.02%:  alternate
   2752 0.02%:  has earned me one
   2753 0.02%:  teaches us all to)
   2754 0.02%:  rules me)
   2755 0.02%:  crush
   2756 0.02%:  turns me on so!)
   2757 0.02%:  has condem
   2758 0.02%:  damns me
   2759 0.02%: ) has let
   2760 0.02%:  contrad
   2761 0.02%:  has told me lots
   2762 0.02%:  has come a lo
   2763 0.02%:  at last
   2764 0.02%:  dates to
   2765 0.02%:  rules cannot
   2766 0.02%:  tells us there are 
   2767 0.02%:  hates me!
   2768 0.02%:  denoun
   2769 0.27%:  denounces me once
   2770 0.12%:  denounces me!)
   2771 0.07%:  denounces another
   2772 0.03%:  denounces the
   2773 0.03%:  denounces all
   2774 0.02%:  means more to me than re
   2775 0.02%:  has un
   2776 0.02%:  decreases
   2777 0.02%:  has treated me more
   2778 0.02%:  means a lot to me there)
   2779 0.02%: ) doesn
   2780 0.02%:  has made me scream
   2781 0.02%:  concerns are
   2782 0.02%:  does not mean much
   2783 0.02%:  c
   2784 0.10%:  cures!)
   2785 0.03%:  cures all
   2786 0.02%:  author
   2787 0.02%:  means not
   2788 0.02%:  shoulders
   2789 0.02%:  tells me not to use
   2790 0.02%:  means a lot to me al
   2791 0.02%:  seems to do that!)
   2792 0.02%:  unnecess
   2793 0.02%:  has treated me so mean
   2794 0.02%:  three!)
   2795 0.02%:  attendance
   2796 0.02%:  turns me on to the
   2797 0.02%:  transcends all that!)
   2798 0.02%:  student that
   2799 0.02%:  and common sense at that)
   2800 0.02%:  reasons aren
   2801 0.02%:  creatures
   2802 0.02%:  tells me that must
   2803 0.02%: men!)
   2804 0.02%:  and romance are at
   2805 0.02%:  has no real role
   2806 0.02%:  denotes truth
   2807 0.02%:  means a lot to me and can
   2808 0.02%:  earned
   2809 0.03%:  earned another
   2810 0.02%:  hurts me
   2811 0.02%:  comments should
   2812 0.02%:  counts on
   2813 0.02%:  on the one
   2814 0.02%:  teams!)
   2815 0.02%:  rules at least that
   2816 0.03%:  rules at least that one
   2817 0.02%:  tells us that canned
   2818 0.02%:  acts
   2819 0.02%:  denounces all the
   2820 0.02%:  threatens to consume me
   2821 0.02%:  statement)
   2822 0.02%:  means all the same)
   2823 0.02%:  commeth)
   2824 0.02%:  cures all the
   2825 0.02%:  that destro
   2826 0.02%:  endorses all that
   2827 0.02%:  learned!)
   2828 0.02%:  has led me to romance
   2829 0.02%:  contest
   2830 0.02%:  or romance
   2831 0.02%:  teaches us to lead
   2832 0.02%:  has made me a smart
   2833 0.02%:  races
   2834 0.04%:  races ahead
   2835 0.02%:  has led me on some
   2836 0.02%:  needs me)
   2837 0.02%:  sorts me out)
   2838 0.02%:  that does not mean
   2839 0.02%:  means more to me than sure
   2840 0.02%:  does that to me at
   2841 0.02%:  losers
   2842 0.02%:  cannot rescue
   2843 0.02%:  teaches me not to learn
   2844 0.02%:  lets me do
   2845 0.06%:  lets me do that
   2846 0.04%:  lets me do that!)
   2847 0.02%:  lets me do that)
   2848 0.02%:  lost!)
   2849 0.02%:  has made me an outcast all
   2850 0.02%:  nerds are the least
   2851 0.02%:  and reason are thus
   2852 0.02%:  teaches us not to create and
   2853 0.02%:  has made a lot more accurate
   2854 0.02%:  used to call me names)
   2855 0.02%:  tells us not to)
   2856 0.02%:  means too much and
   2857 0.02%:  means more to me than a trans
   2858 0.02%:  can teach us to
   2859 0.03%:  can teach us to dream
   2860 0.02%:  means more than a lot!)
   2861 0.02%:  means more to me than ad
   2862 0.02%:  alone must
   2863 0.02%:  tells us that one man
   2864 0.02%:  and romance are the same to a
   2865 0.02%:  that los
   2866 0.02%:  that loses!)
   2867 0.02%:  tells me there must
   2868 0.02%:  tells me that dreams are un
   2869 0.02%:  tells us that man can
   2870 0.02%:  has also led me to a career
   2871 0.02%:  and truth are also
   2872 0.02%:  marched out!)
   2873 0.02%:  drools)
   2874 0.02%:  has made me a master at
   2875 0.02%:  teaches me to learn
   2876 0.02%:  attracts me more each
   2877 0.02%:  res
   2878 0.02%:  tells me so much more!)
   2879 0.02%:  methods
   2880 0.02%:  smarter than me and
   2881 0.02%:  comes at a cost!)
   2882 0.02%:  tells me that no creature
   2883 0.02%:  means a lot around here)!
   2884 0.02%:  means more to me than art and
   2885 0.02%:  damns us all to the
   2886 0.02%:  and romance are not all the
   2887 0.13%:  and romance are not all the same!)
   2888 0.05%:  and romance are not all the same)
   2889 0.02%:  does more than tell
   2890 0.02%:  does more than tell me
   2891 0.02%:  has made me mean
   2892 0.02%:  tells us that one can not
   2893 0.02%:  demons)
   2894 0.02%:  has cost me a date
   2895 0.02%:  has made me an at
   2896 0.02%:  decrees that)
   2897 0.02%:  tells me not to dance
   2898 0.02%:  has made me an outcast!
   2899 0.02%:  teaches us not to cl
   2900 0.02%:  came to
   2901 0.05%:  came to the
   2902 1.49%:  came to the rescue!)
   2903 0.10%:  came to the rescue at
   2904 0.05%:  came to the rescue at last
   2905 0.05%:  came to the rescue as
   2906 0.04%:  came to the rescue)
   2907 0.03%:  came to the rescue on
   2908 0.03%:  came to the rescue!
   2909 0.02%:  came to the rescue and
   2910 0.02%:  needs these
   2911 0.02%:  scholars and
   2912 0.02%:  doctors
   2913 0.02%:  and reason are man
   2914 0.02%:  has made me come close
   2915 0.02%:  has at least one role
   2916 0.02%: ) also
   2917 0.02%:  seems cool
   2918 0.02%:  means more to me than a curse
   2919 0.02%:  has dealt me so
   2920 0.02%:  consumed
   2921 0.02%:  cannot tolerate such mad
   2922 0.02%:  teaches me a lot)
   2923 0.02%:  has also made me a more
   2924 0.02%:  teaches us to tear
   2925 0.02%:  has treated me a real
   2926 0.02%:  stole the
   2927 0.02%:  scorned
   2928 0.02%:  scorned me once
   2929 0.02%:  and math are our
   2930 0.02%:  means a lot to me and these
   2931 0.02%:  marches on alone
   2932 0.02%:  also caused
   2933 0.02%:  cannot restore
   2934 0.02%:  has made me reluctant to let
   2935 0.02%:  means more to me than dance
   2936 0.02%:  created these
   2937 0.02%:  tells a
   2938 0.02%:  tells us that men
   2939 0.20%:  tells us that men are mort
   2940 0.06%:  tells us that men are not
   2941 0.08%:  tells us that men are not made
   2942 0.06%:  tells us that men are made
   2943 0.03%:  tells us that men are meant
   2944 0.03%:  tells us that men are more
   2945 0.02%:  can tell me a
   2946 0.02%:  has done me no small
   2947 0.02%:  does teach
   2948 0.02%:  scares me more than a
   2949 0.02%:  comes to us all)
