think your voice is a wonderful gift!
      0 100.00%: 
      1 22.44%:  know
    937 15.85%:  have no words
    938 15.86%:  have no words for
    939 15.84%:  dunno who else
    940 15.84%:  used to run a lot
    941 15.83%:  think you need to grow
    942 15.82%:  love it when you turn
    943 15.82%:  hear you now
    944 15.82%:  dunno if you get it or
    945 15.82%:  dunno if we have to
    946 15.82%:  found your voice
    947 15.81%:  wonder if you like it
    948 15.81%:  used to like you in tv
    949 15.81%:  think you need to slow
    950 15.80%:  do this
    951 15.80%:  found it in the 
    952 15.80%:  found it in the g
    953 15.79%:  used to live in a tiny
    954 15.79%:  used to live in a city
    955 15.79%:  need to know if it
    956 15.79%:  think you need to focus
    957 15.79%:  like your hair
    958 15.79%:  dunno if you care for
    959 15.79%:  saw you in the video for
    960 15.77%:  saw you doing the
    961 15.77%:  used to like you in an
    962 15.77%:  dunno if you like it or if
    963 15.76%:  used to like you in 
    964 15.76%:  saw you in it once!
    965 15.76%:  love it!
    966 15.76%:  could never
    967 15.75%:  dunno if you ever got
    968 15.75%:  dunno if it goes
    969 15.75%:  used to live in a corn
    970 15.75%:  want to hold you!
    971 15.74%:  dunno if it ever
    972 15.74%:  saw you in it!
    973 15.74%:  wonder if you get a
    974 15.74%:  like to watch
    975 16.50%:  like to watch you on
    976 15.73%:  hate you too!
    977 15.73%:  used to run a lot of
    978 15.73%:  used to live in a cr
    979 15.73%:  uh love you and
    980 15.73%:  have one
    981 15.73%:  wonder if you got the
    982 15.73%:  dunno if you like it or hate
    983 15.73%:  dunno if it has
    984 15.72%:  could say
    985 15.72%:  used to live in a h
    986 16.44%:  used to live in a hut in
    987 15.77%:  used to live in a hut!
    988 15.72%:  love to
    989 15.72%:  was under
    990 15.72%:  do not have your
    991 15.72%:  dunno if you like to hear
    992 15.72%:  like your haircut
    993 15.72%:  do not care
    994 15.71%:  only want to do
    995 15.71%:  found it in the river
    996 15.71%:  hear you do
    997 15.71%:  was trying
    998 15.71%:  used to live in a country
    999 15.71%:  like your new
   1000 15.70%:  see that
   1001 15.70%:  only want to see
   1002 15.70%:  need to warn you this
   1003 15.69%:  found it in the f
   1004 19.09%:  found it in the foyer!
   1005 15.69%:  need to warn you to
   1006 15.69%:  like you!
   1007 15.69%:  used to hear it on
   1008 15.68%:  saw you in the crot
   1009 15.68%:  used to live in a t
   1010 15.68%:  used to live in your town
   1011 15.68%:  used to want you
   1012 15.68%:  used to live in a c
   1013 15.68%:  do not think you
   1014 15.67%:  need to go for a
   1015 15.67%:  used to live in a truck
   1016 15.67%:  found it in the c
   1017 15.67%:  forgot to dial 
   1018 15.67%:  want to redo
   1019 15.67%:  have so
   1020 15.67%:  forgot to send a
   1021 15.67%:  used to live in a w
   1022 15.66%:  got your voice
   1023 15.66%:  think you can
   1024 15.66%:  found it in the car
   1025 15.66%:  like it when you do it!
   1026 15.66%:  dunno if the rest
   1027 17.30%:  dunno if the rest of your
   1028 16.69%:  dunno if the rest of you
   1029 15.84%:  dunno if the rest of our
   1030 15.66%:  need to warn you it
   1031 15.65%:  dunno if i have
   1032 15.65%:  found the
   1033 15.64%:  hate your
   1034 15.64%:  had to get
   1035 15.63%:  hear you live
   1036 15.62%:  dunno who it is yet
   1037 15.62%:  need to warn you right
   1038 15.62%:  only want to use
   1039 15.62%:  dunno if i was
   1040 15.62%:  only want to give
   1041 15.61%:  got a friend who o
   1042 15.61%:  have not
   1043 15.61%:  like your voice!
   1044 15.61%:  have you
   1045 15.60%:  hear you suck
   1046 15.60%:  got a friend who loves
   1047 15.60%:  dunno where it
   1048 15.60%:  want your
   1049 15.60%:  dunno if you get those
   1050 15.60%:  have two
   1051 15.59%:  only want to rev
   1052 15.59%:  have to go in to
   1053 15.57%:  dunno how to get us
   1054 15.57%:  have lost
   1055 15.57%:  got a friend who you
   1056 15.57%:  think your
   1057 15.57%:  used to like your act on
   1058 15.56%:  need to ask you to
   1059 15.56%:  saw the
   1060 15.55%:  love the
   1061 15.55%:  got a friend who sent
   1062 15.55%:  only want to go
   1063 15.55%:  dunno that you
   1064 15.55%:  found out this
   1065 15.55%:  got a friend who lives
   1066 15.66%:  got a friend who lives in your
   1067 15.55%:  feel as
   1068 16.54%:  feel as if you
   1069 15.54%:  have it
   1070 15.54%:  have friends
   1071 15.54%:  love your show!
   1072 15.54%:  dunno if you feel it
   1073 15.54%:  have found
   1074 15.53%:  need to ask you how
   1075 15.53%:  dunno if you ever saw it
   1076 15.53%:  got a friend who lost
   1077 15.53%:  got a lot of free
   1078 15.53%:  found out we
   1079 15.53%:  have got
   1080 15.53%:  have lots
   1081 15.53%:  need to warn you right off
   1082 15.52%:  only want to die
   1083 15.52%:  love you in the
   1084 15.52%:  never said
   1085 15.52%:  dunno how it goes
   1086 15.52%:  like how you can
   1087 15.52%:  dunno if we talk to
   1088 15.52%:  dunno who it is at
   1089 15.52%:  dunno who it is you
   1090 15.51%:  hate you now!
   1091 15.51%:  got a friend who stole
   1092 15.51%:  got a friend who once
   1093 15.50%:  have good
   1094 18.43%:  have good news for
   1095 17.44%:  have good news!
   1096 15.50%:  saw it on t
   1097 15.50%:  got a friend who left
   1098 15.50%:  got a friend who e
   1099 15.50%:  have like
   1100 15.49%:  heard you first!
   1101 15.49%:  do not like to
   1102 15.49%:  have 
   1103 15.49%:  knew you could
   1104 15.49%:  should go
   1105 15.49%:  like it this
   1106 18.13%:  like it this way!
   1107 15.49%:  got a lot of news
   1108 15.49%:  have now
   1109 15.49%:  used to chew on your
   1110 15.49%:  need to go sit on
   1111 15.50%:  need to go sit on a
   1112 15.49%:  want to suck your d
   1113 15.48%:  used to like your acting!
   1114 15.48%:  feel so
   1115 15.48%:  uh like your voice
   1116 15.48%:  have only
   1117 15.48%:  have long
   1118 15.48%:  got a lot of c
   1119 15.48%:  dunno where to talk
   1120 15.48%:  have too
   1121 15.48%:  got a lot of new
   1122 15.48%:  want you to live inside
   1123 15.48%:  dunno what it is you like
   1124 15.48%:  have tried
   1125 15.48%:  got a lot of cr
   1126 15.48%:  got a lot of weird
   1127 15.47%:  got a friend who likes you
   1128 15.47%:  got a lot of d
   1129 15.47%:  have forgotten
   1130 15.47%:  got a lot of nick
   1131 15.47%:  got a lot of k
   1132 15.46%:  got a lot of nerve
   1133 15.46%:  found out if
   1134 15.45%:  like the sound of it in
   1135 15.45%:  want you!
   1136 15.45%:  can never
   1137 15.45%:  used to know you in
   1138 15.45%:  got a lot of f
   1139 15.45%:  got a lot of his
   1140 15.45%:  used to cry a lot when i
   1141 15.44%:  want you in
   1142 15.44%:  do not get
   1143 15.44%:  love your acting
   1144 15.44%:  dunno who it is over
   1145 15.44%:  got a lot of new friends
   1146 15.43%:  saw you once on tv
   1147 15.43%:  heard you like to go
   1148 15.43%:  hear your voice on
   1149 15.43%:  dunno who it is for
   1150 15.42%:  want to hug you in
   1151 15.42%:  saw you like it!
   1152 15.42%:  forgot to yank
   1153 15.41%:  could hear
   1154 16.03%:  could hear you!
   1155 15.41%:  do not see why
   1156 15.41%:  was looking
   1157 18.45%:  was looking for the
   1158 15.41%:  dunno how it is
   1159 15.41%:  hear you now!
   1160 15.41%:  found out there
   1161 15.41%:  used to live with you!
   1162 15.41%:  dunno where your
   1163 15.41%:  used to like how it
   1164 15.40%:  got a lot of ched
   1165 15.40%:  wonder if he is
   1166 15.40%:  heard you like to sing
   1167 15.40%:  found out his
   1168 15.39%:  need you to know it is
   1169 15.39%:  saw it on te
   1170 15.39%:  need to cut you off in
   1171 15.39%:  like it when you sit on cou
   1172 15.38%:  have no use
   1173 18.26%:  have no use for you
   1174 18.03%:  have no use for it
   1175 17.90%:  have no use for your
   1176 15.80%:  have no use for you!
   1177 15.68%:  have no use for it!
   1178 15.38%:  do not think we are!
   1179 15.38%:  like it when you sit on our
   1180 15.38%:  like it so
   1181 15.38%:  got a new
   1182 15.37%:  used to hear you in
   1183 15.37%:  think we can
   1184 15.36%:  do not use
   1185 15.72%:  do not use the
   1186 15.36%:  uh like your acting
   1187 15.36%:  hear your voice now
   1188 15.36%:  heard you go for
   1189 15.36%:  dunno if we like that!
   1190 15.36%:  need to cut you off as
   1191 15.35%:  love your work in the 
   1192 15.35%:  want to suck your n
   1193 15.35%:  dunno how it go
   1194 15.35%:  like it in
   1195 15.35%:  like it when you sit on f
   1196 15.35%:  dunno how ya got it
   1197 15.35%:  do not care for
   1198 15.35%:  like it a
   1199 15.35%:  want to use your li
   1200 15.35%:  think you and
   1201 15.34%:  found out when
   1202 15.34%:  dunno where to sit
   1203 15.34%:  think you want
   1204 15.34%:  want to see you on
   1205 15.34%:  like the sound of it on
   1206 15.34%:  love it when you sing!
   1207 15.33%:  like what
   1208 19.39%:  like what you do in
   1209 18.29%:  like what you do on
   1210 17.00%:  like what you do for
   1211 16.86%:  like what you do!
   1212 15.33%:  do not love
   1213 15.33%:  hate to do
   1214 15.32%:  used to love your hair
   1215 15.32%:  was thinking
   1216 15.32%:  like to do
   1217 15.32%:  kinda lost
   1218 15.32%:  have no use for our
   1219 15.32%:  think you said
   1220 16.21%:  think you said it wrong!
   1221 15.32%:  dunno where to say
   1222 15.32%:  do not even
   1223 15.32%:  need to cut you off a
   1224 15.32%:  need to ask you two
   1225 15.31%:  want to feel you
   1226 15.31%:  think you left
   1227 15.31%:  like the sound of you!
   1228 15.30%:  have no rec
   1229 15.30%:  found out he
   1230 15.67%:  found out he was
   1231 15.30%:  see you
   1232 15.30%:  dunno if you are!
   1233 15.29%:  like it how
   1234 15.57%:  like it how you can
   1235 15.29%:  do not own a f
   1236 15.29%:  like it on
   1237 15.62%:  like it on the
   1238 15.29%:  won a
   1239 15.29%:  have no use for!
   1240 15.29%:  do not own a tele
   1241 15.29%:  dunno if you saw it!
   1242 15.29%:  like it when you cut in!
   1243 15.28%:  heard your
   1244 16.19%:  heard your voice is
   1245 15.28%:  have to work
   1246 15.28%:  think you are
   1247 15.28%:  would say
   1248 15.28%:  need to you know
   1249 15.28%:  like it very
   1250 15.28%:  used to live in your town!
   1251 15.28%:  have to run
   1252 15.33%:  have to run now
   1253 15.27%:  have to use
   1254 15.27%:  used to love your cart
   1255 15.27%:  used to own one
   1256 15.27%:  used to love your hit
   1257 15.27%:  dunno what it is you ever
   1258 15.26%:  have no reg
   1259 15.26%:  dunno what it is you love
   1260 15.26%:  used to work on
   1261 15.51%:  used to work on the
   1262 15.26%:  do not own a k
   1263 15.26%:  saw you do the
   1264 15.26%:  got you
   1265 15.25%:  uh got a lot
   1266 15.40%:  uh got a lot of friends
   1267 15.25%:  used to love your writing
   1268 15.25%:  want you on
   1269 15.25%:  have no control
   1270 15.25%:  have to go so it
   1271 15.24%:  dunno where to f
   1272 15.24%:  have no use for f
   1273 15.24%:  have no clue
   1274 15.24%:  dunno if you like that or if
   1275 15.24%:  love it when you act!
   1276 15.23%:  have to let
   1277 20.52%:  have to let you go!
   1278 19.67%:  have to let you know
   1279 17.78%:  have to let you go in
   1280 16.31%:  have to let you down
   1281 15.82%:  have to let you go in 
   1282 15.31%:  have to let you know!
   1283 15.23%:  used to love your act
   1284 15.23%:  found out we have
   1285 15.23%:  want you to see if
   1286 15.23%:  want to give you 
   1287 15.23%:  used to hear it in
   1288 15.23%:  wonder if he got
   1289 15.23%:  like to hear
   1290 15.39%:  like to hear your
   1291 15.22%:  got your aut
   1292 15.22%:  used to love your art
   1293 15.22%:  feel as if our
   1294 15.22%:  think you lost
   1295 15.22%:  can do
   1296 15.22%:  dunno what your voice
   1297 15.21%:  can feel
   1298 18.61%:  can feel it!
   1299 17.31%:  can feel it in
   1300 15.21%:  forgot what
   1301 15.21%:  dunno if it ever got
   1302 15.21%:  hear your voice so
   1303 15.21%:  like it when you sing to
   1304 15.20%:  say it
   1305 15.20%:  saw you on tv one
   1306 15.20%:  like it when you go around
   1307 15.20%:  have to do
   1308 15.19%:  saw you get off
   1309 15.19%:  think our
   1310 15.18%:  need to talk you!
   1311 15.18%:  want to redo our
   1312 15.18%:  used to run the
   1313 15.17%:  think you won
   1314 15.17%:  do have
   1315 15.17%:  have to know
   1316 15.16%:  heard your voice on
   1317 15.16%:  have lots of nick
   1318 15.16%:  have to cut
   1319 18.59%:  have to cut you off!
   1320 16.58%:  have to cut you off in
   1321 15.16%:  have lots of nice
   1322 15.16%:  dunno if that works or
   1323 15.15%:  saw it on you
   1324 15.15%:  feel a
   1325 15.14%:  want to love your
   1326 15.14%:  used to like your acting in
   1327 15.14%:  saw you like to do
   1328 15.14%:  never got
   1329 15.14%:  have to go in 
   1330 15.14%:  shoulda
   1331 15.14%:  have lots of your
   1332 15.13%:  wonder if he not
   1333 15.13%:  have to return
   1334 15.13%:  dunno if you have it or
   1335 15.13%:  used to not have
   1336 15.13%:  used the
   1337 15.13%:  think it was
   1338 15.13%:  have lots of din
   1339 15.13%:  know a lot of french
   1340 15.12%:  have no good
   1341 15.12%:  have no one
   1342 15.12%:  have no record
   1343 15.11%:  want to give you so
   1344 15.11%:  have no f
   1345 15.11%:  love how
   1346 15.11%:  want to give you our
   1347 15.10%:  want to give you like
   1348 15.10%:  have lots of fe
   1349 15.10%:  saw you in the fifti
   1350 15.10%:  do a
   1351 22.57%:  do a lot of things
   1352 17.71%:  do a lot of it
   1353 17.45%:  do a lot of things!
   1354 17.30%:  do a lot of these
   1355 17.29%:  do a lot of this
   1356 17.22%:  do a lot of things in
   1357 17.06%:  do a lot of the
   1358 17.06%:  do a lot of thinking
   1359 17.01%:  do a lot of think
   1360 16.94%:  do a lot of y
   1361 16.88%:  do a lot of writing
   1362 16.84%:  do a lot of shit
   1363 16.81%:  do a lot of k
   1364 16.81%:  do a lot of st
   1365 16.87%:  do a lot of stink
   1366 17.72%:  do a lot of stinky
   1367 16.79%:  do a lot of thinks
   1368 16.79%:  do a lot of s
   1369 16.79%:  do a lot of interviews
   1370 16.63%:  do a lot of things we
   1371 16.36%:  do a lot of ketch
   1372 15.67%:  do a lot of stinky f
   1373 15.36%:  do a lot of writing in
   1374 15.10%:  think you would
   1375 15.10%:  think you owe
   1376 15.10%:  love it when you act in
   1377 15.09%:  think you get
   1378 15.09%:  had to get one
   1379 15.09%:  saw you go on
   1380 15.09%:  think you forgot
   1381 15.09%:  saw you driving in
   1382 15.09%:  uh can see
   1383 15.09%:  wonder if he took
   1384 15.09%:  love it when you ask if
   1385 15.09%:  wish it
   1386 15.09%:  have lots of d
   1387 15.08%:  have lots of new
   1388 15.08%:  dunno if the two
   1389 20.87%:  dunno if the two of us are
   1390 15.08%:  have lots of fun
   1391 15.08%:  used to chew on it
   1392 15.08%:  do not care for this
   1393 15.08%:  have to go or it
   1394 15.08%:  have lots of c
   1395 15.08%:  need to know if a
   1396 15.08%:  get a lot of frow
   1397 15.33%:  get a lot of frowns in
   1398 15.08%:  have lots of f
   1399 15.08%:  think you could
   1400 15.08%:  have lots of work
   1401 15.08%:  have lots of k
   1402 15.08%:  coulda
   1403 15.18%:  coulda sw
   1404 19.12%:  coulda sworn you
   1405 16.44%:  coulda sworn it
   1406 15.55%:  coulda sworn!
   1407 15.36%:  coulda sworn he
   1408 15.23%:  coulda sworn there
   1409 15.08%:  want to suck on your f
   1410 15.07%:  have to cut you off in 
   1411 15.07%:  have lots of it
   1412 15.07%:  think you answered
   1413 15.07%:  have lots of weird
   1414 15.07%:  have lots of n
   1415 15.30%:  have lots of nude
   1416 15.07%:  think you don
   1417 15.07%:  want to end your
   1418 17.50%:  want to end your life!
   1419 15.06%:  found out how it
   1420 15.06%:  love how you can
   1421 15.06%:  want to love you in
   1422 15.06%:  need to know if our
   1423 15.06%:  think you live
   1424 17.82%:  think you live in a
   1425 15.06%:  was trying to find
   1426 15.06%:  used to know you in the
   1427 15.06%:  dunno if we talk to you
   1428 15.06%:  wonder if your voice
   1429 15.05%:  want to sue you for like
   1430 15.05%:  think you wanted
   1431 15.05%:  never got a
   1432 15.05%:  uh got your voice
   1433 15.04%:  saw you do the voice
   1434 15.04%:  want to suck on your leg
   1435 15.04%:  need to know you
   1436 15.04%:  want to offer you 
   1437 15.04%:  do this for
   1438 15.50%:  do this for a
   1439 17.30%:  do this for a living!
   1440 15.26%:  do this for a living now
   1441 15.04%:  get a lot of fries on
   1442 15.04%:  need to know a
   1443 15.04%:  got a lot of ducks
   1444 15.03%:  dunno who is
   1445 15.03%:  could go
   1446 16.70%:  could go for
   1447 15.69%:  could go either
   1448 20.60%:  could go either way on
   1449 17.39%:  could go either way!
   1450 15.85%:  could go either way on it
   1451 15.34%:  could go either way for
   1452 15.32%:  could go either way in
   1453 15.13%:  could go for a s
   1454 15.05%:  could go either way if
   1455 15.04%:  could go either way to
   1456 15.03%:  think so
   1457 15.03%:  dunno how ya like
   1458 16.49%:  dunno how ya like it!
   1459 15.03%:  love your work in that
   1460 15.03%:  need you to ask for
   1461 15.03%:  want to suck on your d
   1462 15.03%:  want to suck on your he
   1463 16.15%:  want to suck on your heel!
   1464 15.02%:  want to suck on your fr
   1465 15.02%:  could go for a sn
   1466 15.02%:  dunno if your wife is
   1467 15.02%:  was told
   1468 15.02%:  want to suck on your g
   1469 15.02%:  want to suck on your h
   1470 15.02%:  dunno if you were a
   1471 15.01%:  only have one word
   1472 15.01%:  want to suck on your life
   1473 15.01%:  like what you doin
   1474 15.01%:  love your work in a
   1475 15.01%:  used to work for a guy
   1476 15.01%:  want to sing!
   1477 15.00%:  need to look at
   1478 15.00%:  love your work in che
   1479 15.00%:  want to suck your donger
   1480 15.00%:  want to sue you in
   1481 15.00%:  need you to think of a
   1482 15.00%:  used to run in a
   1483 15.00%:  like what you do to
   1484 15.00%:  had to go
   1485 14.99%:  have you in
   1486 14.99%:  was trying to do
   1487 14.99%:  want you for
   1488 14.99%:  saw you in the nude!
   1489 14.98%:  uh got a friend
   1490 14.98%:  want to sue you over
   1491 14.97%:  need to know!
   1492 14.97%:  want to sue you for like 
   1493 14.97%:  dunno where you go
   1494 14.97%:  do not see any
   1495 14.97%:  want us
   1496 14.96%:  know a lot of nud
   1497 15.63%:  know a lot of nudity is
   1498 15.28%:  know a lot of nudist
   1499 14.96%:  do a lot of it!
   1500 14.96%:  love your work in this
   1501 14.96%:  was only
   1502 14.96%:  got no
   1503 14.96%:  like your face
   1504 14.96%:  coulda sworn your
   1505 14.95%:  need to know this
   1506 14.95%:  found it in the river!
   1507 14.94%:  saw you once on tv!
   1508 14.94%:  like what you do over
   1509 14.94%:  like how you don
   1510 14.94%:  coulda sworn the
   1511 14.94%:  want to hug you like
   1512 14.93%:  like your show!
   1513 14.93%:  dunno if you were at
   1514 14.93%:  love your work in 
   1515 14.93%:  used to live in an ig
   1516 14.93%:  used to like watching your
   1517 14.93%:  do the
   1518 14.92%:  love your work in sit
   1519 14.92%:  have to go in for
   1520 14.92%:  forgot to send a che
   1521 14.92%:  think!
   1522 14.92%:  wish you a
   1523 15.19%:  wish you a good
   1524 14.92%:  hate your voice
   1525 14.91%:  was never
   1526 14.91%:  think if
   1527 16.32%:  think if we
   1528 14.91%:  dunno if we like that or
   1529 14.91%:  think a
   1530 14.91%:  think i
   1531 14.90%:  think if you don
   1532 14.90%:  dunno if you ever watch
   1533 14.90%:  dunno if you were k
   1534 14.90%:  got to
   1535 14.90%:  should get
   1536 14.90%:  hear your voice f
   1537 14.90%:  saw it on tv!
   1538 14.90%:  think we got
   1539 14.90%:  found it in a closet
   1540 14.90%:  hear your voice isn
   1541 14.90%:  dunno if you like it this
   1542 14.90%:  dunno if you were or
   1543 14.90%:  said it wrong
   1544 14.89%:  hear your voice sound
   1545 14.89%:  like to have
   1546 14.89%:  think is
   1547 14.89%:  like it when you can do
   1548 14.89%:  heard you snoring!
   1549 14.89%:  dunno how it got like
   1550 14.89%:  dunno if he was
   1551 14.89%:  need to know for
   1552 14.89%:  have no record of it
   1553 14.89%:  hear your voice w
   1554 14.89%:  was in
   1555 14.89%:  dunno if we got the
   1556 14.88%:  want to sue you for inf
   1557 15.19%:  want to sue you for inflic
   1558 14.88%:  have no use for you in
   1559 14.88%:  have to let you in
   1560 14.88%:  do not like it
   1561 14.88%:  like this
   1562 14.88%:  like to eat
   1563 14.88%:  dunno if you were that
   1564 14.88%:  dunno if you were to
   1565 14.88%:  dunno if you were right
   1566 14.87%:  used to like having you
   1567 14.87%:  want to sue you for five
   1568 14.87%:  saw you once on t
   1569 14.87%:  saw you do it once!
   1570 14.86%:  do a lot of thinks!
   1571 14.86%:  used to run track
   1572 14.86%:  want to sue you like
   1573 14.86%:  want to sue you on
   1574 14.86%:  saw you once on 
   1575 14.86%:  like your haircut!
   1576 14.86%:  can get
   1577 14.86%:  want you to live in our
   1578 14.86%:  dunno if it was you
   1579 14.86%:  want to sue you if
   1580 14.85%:  have to go in ten
   1581 14.85%:  used to fight a
   1582 14.85%:  want you inside
   1583 14.85%:  do it
   1584 14.85%:  lost you
   1585 14.84%:  need to know his
   1586 14.84%:  used to watch one
   1587 14.84%:  want to revengify
   1588 14.84%:  want to sue you for negl
   1589 14.84%:  used to work in an ice
   1590 14.84%:  like it when you go into
   1591 14.84%:  do a lot of kung
   1592 15.88%:  do a lot of kung fu in
   1593 14.84%:  have got to find
   1594 14.84%:  dunno how to leave it
   1595 14.84%:  saw you in the front of
   1596 14.84%:  got this
   1597 14.83%:  feel as if it
   1598 14.83%:  was on
   1599 14.83%:  think we got a
   1600 14.83%:  can go
   1601 14.91%:  can go on
   1602 17.21%:  can go on like this for 
   1603 16.98%:  can go on like this for five
   1604 14.82%:  want to sue you for h
   1605 14.82%:  want to sue you for fr
   1606 14.82%:  saw you once on live
   1607 14.82%:  have to go so we
   1608 14.82%:  want to sue you for che
   1609 14.82%:  need you to think of us
   1610 14.82%:  could hear you fine
   1611 14.81%:  got a crush
   1612 20.59%:  got a crush on your
   1613 19.13%:  got a crush on you!
   1614 18.38%:  got a crush on your wife
   1615 16.36%:  got a crush on your wife!
   1616 15.61%:  got a crush on you in
   1617 15.05%:  got a crush on you like
   1618 14.89%:  got a crush on you in 
   1619 14.81%:  want to sue you for driving
   1620 14.81%:  dunno who i
   1621 14.81%:  want to sue you for f
   1622 14.81%:  think we are
   1623 14.81%:  used to watch r
   1624 14.81%:  used to run on
   1625 14.81%:  could get
   1626 14.80%:  can only
   1627 14.80%:  dunno if that works!
   1628 14.80%:  used to watch y
   1629 14.80%:  dunno if you get this or
   1630 14.80%:  used to chew g
   1631 14.80%:  need to look this
   1632 14.80%:  like how you do
   1633 14.80%:  heard you like to sit
   1634 16.17%:  heard you like to sit in
   1635 14.79%:  coulda sworn to
   1636 14.79%:  saw you doing it
   1637 14.79%:  would never
   1638 14.79%:  would have
   1639 14.79%:  wish you luck
   1640 14.79%:  wonder if you have to
   1641 14.79%:  was doing
   1642 14.78%:  want to like you so
   1643 14.78%:  want you out
   1644 14.78%:  found it in the car!
   1645 14.78%:  need to win a f
   1646 14.78%:  hear your voice is in
   1647 14.78%:  knew you could hear it
   1648 14.78%:  used to live with you in
   1649 14.78%:  get to
   1650 14.78%:  dunno who ya
   1651 14.78%:  dunno who!
   1652 14.78%:  do not see a
   1653 14.78%:  dunno who got
   1654 14.77%:  wonder if you can get
   1655 14.77%:  want to reveng you
   1656 14.77%:  like to use
   1657 14.77%:  found you on
   1658 14.77%:  got a lot of ducks in
   1659 14.77%:  do a lot of kung fu in the
   1660 14.77%:  could go for a few
   1661 14.77%:  dunno who your
   1662 14.77%:  could go for a h
   1663 14.77%:  saw you doing it on the
   1664 14.77%:  dunno who gave
   1665 14.76%:  like how you use
   1666 14.76%:  have to run!
   1667 14.76%:  like how you sound
   1668 14.75%:  dunno who to talk
   1669 14.75%:  was not
   1670 14.75%:  only know
   1671 14.75%:  can go on like this!
   1672 14.75%:  have to let you off
   1673 14.75%:  want to revengoo
   1674 14.74%:  have to go to dinner
   1675 14.74%:  need to cut you off in a
   1676 14.74%:  dunno if it has to
   1677 14.74%:  dunno if that is your
   1678 14.74%:  love your new
   1679 14.74%:  can here
   1680 16.44%:  can here you!
   1681 14.74%:  used to live in an or
   1682 14.74%:  dunno if it is or
   1683 14.74%:  dunno where you got a
   1684 14.74%:  was too
   1685 14.74%:  can use
   1686 14.74%:  think we lost
   1687 14.73%:  hate to ruin
   1688 14.85%:  hate to ruin your
   1689 14.73%:  coulda sworn i
   1690 14.73%:  was g
   1691 14.73%:  want to rene
   1692 14.73%:  want to hug you for
   1693 14.73%:  need to you to sign
   1694 14.73%:  think we could
   1695 14.72%:  dunno why it took
   1696 14.72%:  used to have it on
   1697 14.72%:  was the
   1698 14.72%:  was k
   1699 14.72%:  saw you driving the
   1700 14.72%:  had to look
   1701 14.72%:  get a lot of weirdo
   1702 14.72%:  saw you out of
   1703 14.72%:  like to touch
   1704 14.72%:  used your
   1705 14.72%:  dunno if we have your
   1706 14.72%:  like how you got
   1707 14.92%:  like how you got a
   1708 14.71%:  want to revengii
   1709 14.71%:  have to go in two
   1710 14.71%:  was like
   1711 14.71%:  got it!
   1712 14.71%:  coulda sworn they
   1713 14.71%:  used to hang out on
   1714 14.71%:  found it in the cra
   1715 14.71%:  like to get
   1716 14.71%:  was kind
   1717 14.71%:  want to revengi
   1718 14.71%:  want to revengu
   1719 14.70%:  dunno if you like this or
   1720 14.70%:  found this out in
   1721 14.70%:  used to write fanfic
   1722 14.70%:  used to live in a hut on
   1723 14.70%:  like how you used
   1724 14.70%:  dunno if it works if
   1725 14.70%:  like it when your
   1726 14.70%:  heard you like to f
   1727 14.69%:  can go on like this if
   1728 14.69%:  heard you like to run
   1729 14.69%:  heard you like to sn
   1730 14.69%:  dunno how ya get
   1731 14.68%:  dunno if you got what
   1732 14.68%:  only have one!
   1733 14.68%:  found it on
   1734 14.73%:  found it on the fr
   1735 14.70%:  found it on the way
   1736 14.68%:  found it on the river
   1737 14.68%:  want to reveng!
   1738 14.68%:  can do this for
   1739 14.68%:  heard you like to sc
   1740 14.68%:  want to revengio
   1741 14.68%:  heard you like to win
   1742 14.68%:  have to let you do
   1743 14.68%:  do not have one
   1744 14.68%:  want to revengd
   1745 14.68%:  have to let you g
   1746 14.68%:  have only one word
   1747 14.67%:  dunno if you like to hear it
   1748 14.67%:  want to hug you one
   1749 14.67%:  coulda sworn no
   1750 14.67%:  coulda sworn our
   1751 14.67%:  forgot to ask if
   1752 14.67%:  heard you like to c
   1753 14.67%:  found it in a se
   1754 16.89%:  found it in a sewer!
   1755 15.86%:  found it in a sew
   1756 14.67%:  dunno if you have like
   1757 14.67%:  think our lines
   1758 15.92%:  think our lines got
   1759 14.67%:  say we
   1760 14.67%:  only have one of
   1761 14.67%:  forgot!
   1762 14.67%:  feel it
   1763 14.66%:  want to hug you on
   1764 14.66%:  like that in
   1765 15.46%:  like that in you!
   1766 14.66%:  want to hug you forever
   1767 14.66%:  saw you on tv in
   1768 14.66%:  found it on the car
   1769 14.66%:  dunno what your voice is
   1770 14.66%:  wonder if you can give
   1771 14.66%:  never say
   1772 14.66%:  was trying to rev
   1773 14.66%:  wish you and
   1774 14.66%:  want to revengish
   1775 14.65%:  used to love your acting!
   1776 14.65%:  need to think of a w
   1777 14.65%:  wonder if he took it!
   1778 14.65%:  found it on the f
   1779 14.65%:  dunno what else!
   1780 14.65%:  dunno if you like that so
   1781 14.65%:  want to reveng your
   1782 14.65%:  like it when you go into a
   1783 14.65%:  want to revengy
   1784 14.65%:  dunno what else i
   1785 14.65%:  think a lot
   1786 19.80%:  think a lot of us were
   1787 16.28%:  think a lot of us don
   1788 16.19%:  think a lot of us find
   1789 16.18%:  think a lot of us do
   1790 16.12%:  think a lot of us need
   1791 16.09%:  think a lot of us in
   1792 16.03%:  think a lot of us wonder
   1793 16.02%:  think a lot of us on
   1794 16.02%:  think a lot of us worry
   1795 16.01%:  think a lot of us grew
   1796 16.01%:  think a lot of us found
