Nobody but the guy who did it could make such puns!
      0 100.00%: 
      1 9.01%:  Nobody
    747 0.27%:  Nobody wants to get slic
    748 0.41%:  Nobody wants to get sliced up
    749 0.27%:  Nobody asked us to come within
    750 0.27%:  Nobody makes
    751 0.27%:  Nobody wants to be this dude
    752 0.27%:  Nobody wants to buy
    753 0.27%:  Not only did those
    754 0.27%:  Nobody liked that pun but us
    755 0.27%:  Nobody wants to be cut up
    756 0.27%:  Not only did he come
    757 1.22%:  Not only did he come up with bad
    758 0.42%:  Not only did he come up with such
    759 0.31%:  Not only did he come back
    760 0.68%:  Not only did he come back with
    761 0.27%:  Not only did he cut the music up
    762 0.27%:  Nobody asked him to cut up
    763 0.27%:  Nobody asked him to cut us!
    764 0.27%:  Not only did he do
    765 0.48%:  Not only did he do that
    766 0.26%:  Nobody would say things
    767 0.26%:  Nobody thinks we should pay
    768 0.26%:  Nobody told us what he
    769 0.26%:  Nobody asked him to sing the
    770 0.26%:  Nobody told him that his
    771 0.39%:  Nobody told him that his pun
    772 0.26%:  Nobody said they would be cutting us up
    773 0.26%:  Not only did he cut out
    774 0.26%:  Nobody asked you to punch
    775 0.26%:  Nobody told him to use
    776 0.59%:  Nobody told him to use the
    777 0.26%:  Nobody told us that guy knew
    778 0.26%:  Not only did these
    779 0.32%:  Not only did these guys
    780 0.26%:  Not only did you stab
    781 0.32%:  Not only did you stab us with
    782 0.26%:  Nobody but you knows this
    783 0.26%:  Nobody wants to be used
    784 0.26%:  No one said
    785 0.26%:  Nobody but him could know
    786 0.48%:  Nobody but him could know that
    787 0.36%:  Nobody but him could know this
    788 0.26%:  Nobody but him has listened
    789 0.26%:  Nobody can see us without
    790 0.26%:  Not only did he cut the music guy
    791 0.26%:  Nobody but him knows these!
    792 0.26%:  Nobody said he could come
    793 0.26%:  Nobody made
    794 0.26%:  Not only did we get cut by him
    795 0.25%:  Nobody asked him to cut us down
    796 0.25%:  Nobody told him to say these pun
    797 0.25%:  Nobody asked him to do it!
    798 0.25%:  Nobody else is cutting
    799 0.25%:  Not only did he stab the guy
    800 0.69%:  Not only did he stab the guy who
    801 0.25%:  Nobody asked us to be cut!
    802 0.25%:  Nobody told him to say the
    803 0.25%:  Nobody asked you to cut things
    804 0.25%:  Nobody told him about the new c
    805 0.25%:  Not only did we get paid
    806 0.25%:  Nobody told us what he did
    807 0.25%:  Nobody liked that!
    808 0.25%:  Not only did we stop the music!
    809 0.25%:  Nobody wants to help him cut
    810 0.25%:  Nobody wants him to be such
    811 0.25%:  Nobody told us to use
    812 0.25%:  Now this guy
    813 0.25%:  Nobody told him that kn
    814 0.25%:  Nobody likes it when you cut at us
    815 0.25%:  Nobody would say those pun
    816 0.25%:  Nobody told him that he sounds
    817 0.25%:  Nobody told him he was using
    818 0.25%:  Nobody told us about him
    819 0.25%:  Nobody wants to die!
    820 0.25%:  Nobody told him about puns yet
    821 0.25%:  Nobody told him about us using
    822 0.25%:  Nobody asked us to open
    823 0.24%:  Nobody asked you to cut this
    824 0.24%:  Nobody said we could use
    825 0.24%:  Nobody knows these!
    826 0.24%:  Nobody but us knows that!
    827 0.24%:  Nobody asked you to sing while
    828 0.24%:  Nobody asked him to do the pun
    829 0.24%:  Nobody but him knows this code
    830 0.24%:  Nobody told him about his puns yet
    831 0.24%:  Nobody told us this guy had
    832 0.24%:  Nobody asked him to put
    833 0.24%:  Nobody wants to see you cut
    834 0.24%:  Nobody listen to this guy who
    835 0.24%:  Nobody told us to cut
    836 0.24%:  Nobody told us what these kn
    837 0.24%:  Not only did he cut some
    838 0.24%:  Not only was
    839 0.31%:  Not only was his
    840 0.24%:  Nobody told him about the wedding
    841 0.24%:  Nobody wants him to touch us
    842 0.24%:  Not only did he cut a
    843 0.24%:  Nobody told him his
    844 0.24%:  Nobody got
    845 0.24%:  Nobody told him about punct
    846 0.24%:  Now that this
    847 0.24%:  Nobody told me
    848 0.55%:  Nobody told me about
    849 1.83%:  Nobody told me about this
    850 0.45%:  Nobody told me about the pun
    851 0.31%:  Nobody told me about this!
    852 0.26%:  Nobody told me about the kn
    853 0.24%:  Nobody told us about his new
    854 0.23%:  Nothing else
    855 0.23%:  Nobody likes this tech
    856 0.23%:  Nothing bad
    857 0.23%:  Nobody said the song
    858 0.23%:  Nobody listened to my stupid
    859 0.23%:  Nobody asked him to cut the sound
    860 0.23%:  Nobody knows these dumb
    861 0.23%:  Nobody wants to be touched
    862 0.23%:  Nobody knows this!
    863 0.23%:  Nobody asked us to get
    864 0.23%:  Nobody wants this to be like
    865 0.23%:  Nobody wants this guy to keep
    866 0.23%:  Not only did he get us back
    867 0.26%:  Not only did he get us back with
    868 0.23%:  Nobody likes this dude
    869 0.23%:  Nobody wants to do
    870 0.71%:  Nobody wants to do this
    871 0.23%:  Nobody used
    872 0.61%:  Nobody used that
    873 0.47%:  Nobody used that pun but
    874 0.76%:  Nobody used that pun but you
    875 0.31%:  Nobody used that pun!
    876 0.26%:  Nobody used that pun but us
    877 0.23%:  Nobody told him his pun
    878 0.23%:  Nobody but us is talking
    879 0.23%:  Nothing could
    880 0.23%:  Nobody said he could come in
    881 0.23%:  Nobody wants to stick
    882 0.23%:  Nobody listen to the music guy
    883 0.23%:  Nobody likes that pun but you
    884 0.23%:  Nobody said the music would be
    885 0.23%:  Nothing seems
    886 0.23%:  Nobody looks
    887 0.23%:  Now this song
    888 0.23%:  Now this dude
    889 0.23%:  Nobody but me speaks
    890 0.23%:  Nobody likes that music
    891 0.22%:  Nobody but him wants us to keep
    892 0.22%:  Nobody asked you to punch us with
    893 0.22%:  Nobody wanted us to do
    894 0.66%:  Nobody wanted us to do this!
    895 0.22%:  Nobody told him about the pun!
    896 0.22%:  Nobody besides
    897 0.22%:  Nobody wants us to keep bl
    898 0.22%:  Nobody but the guy who did
    899 1.08%:  Nobody but the guy who did it could
    900 1.18%:  Nobody but the guy who did it could make
    901 1.13%:  Nobody but the guy who did it could make such
