FOR WHAT I CAN ONLY DESCRIBE AS "AWESOME REASONS"
34.88%:  RE
0.06%:  FOR REASONS I CANNOT BE
0.06%:  FOR SOME REASON ALONE I
0.06%:  AWESOME CHESS S
0.06%:  FOR SOME CHESS AND
0.06%:  FOR REAL REASONS THIS ONCE I
0.06%:  FOR SOME WEIRD REASON WHY
0.06%:  FOR SOME REASON THIS IS REAL
0.06%:  FOR SOME REASON I NOTICE
0.06%:  REASONS I CAN ONLY DESCRIBE AS "AM
0.06%:  FOR SOME REASON I CANNOT DESCRIBE AS
0.06%:  FOR SOME REASON BEYOND H
0.06%:  FOR SOME REASON I NEED A HORSE I CAN
0.06%:  FOR SOME REASON ANOT
0.06%:  DIARY EN
0.06%:  REAL REASONS I D
0.06%:  SOME REASON THERE ARE NOW C
0.06%:  CHESS REASONS ON
0.06%:  FOR SOME REASON THEY SAID I CAN
0.06%:  A SESSION WITH
0.06%:  FOR SOME REASON ONE RE
0.06%:  FOR SOR
0.06%:  REAL HORSES AND
0.06%:  FOR SOME REASON IT RE
0.06%:  FOR SOME REASON I NEED C
0.06%:  FOR SOME REASON WHY ARE WE
0.06%:  FOR CHEESE STR
0.06%:  ANY OTHER REASON I CO
0.06%:  REASONS I CAN ONLY DESCRIBE AS "HO
0.06%:  FOR ONE REASON OR T
0.06%:  FOR SOME REASON TODAY IS H
0.06%:  FOR REAL REASONS WITH MY
0.06%:  FALSE
0.06%:  FALSE AD
0.06%:  FOR CHEESE AND B
0.06%:  SOME REASON OR THE
0.06%:  FOR REASONS ALREADY IN M
0.06%:  A HORSE NAMED T
0.06%:  SOME REASON NOB
0.21%:  SOME REASON NOBODY CAN
0.08%:  SOME REASON NOBODY W
0.06%:  SOME REASON NOBODY IS
0.06%:  FOR SOME REASON I SWEAR THIS
0.06%:  FOR SOMEONE ELSE I
0.06%:  MORE LESSONS IN H
0.06%:  MORE REASONS WHIC
0.06%:  REASONS ON
0.08%:  REASONS ONLY I CAN F
0.06%:  A HORSEY
0.06%:  SECRET REASONS I W
0.06%:  FOR WHAT REASON I NO
0.06%:  FOR SOME OTHER REASON W
0.06%:  FOR SOME WEIRD REASON W
0.06%:  SOME REASON I CAN FEEL H
0.13%:  SOME REASON I CAN FEEL HORSES IN
0.12%:  SOME REASON I CAN FEEL HORSE C
0.07%:  SOME REASON I CAN FEEL HORSES C
0.06%: FOR SOME REASON I TH
0.06%:  FOR REAL REASONS TO DO
0.06%:  AWESOME REASONS ON
0.15%:  AWESOME REASONS ONLY I CAN F
0.08%:  AWESOME REASONS ONLY I CAN DIS
0.06%:  FOR MY HORSE AND I
0.06%:  FOR SOME REASON I HAD AN
0.06%:  SOME RESER
0.06%:  SOME REASON I CANNOT SAY WH
0.06%:  "HORSE R
0.28%:  "HORSE RELATED"
0.12%:  "HORSE RELATED M
0.11%:  "HORSE RELATED REASONS" AS
0.10%:  "HORSE RELATED REASONS" IN
0.08%:  "HORSE RELATED B
0.08%:  "HORSE RELATED REASONS" I
0.07%:  "HORSE RAC
0.06%:  FOR SOME REASONS NOT
0.06%:  FOR SOME NE
0.06%:  REAL REASONS COM
0.06%:  REASONS I CAN ONLY DESCRIBE AS "FREE
0.06%:  FOR MY HORSE TO LE
0.06%:  SOME HORSE CA
0.06%:  SOME REASON I CANNOT RE
0.06%:  DATE
0.06%:  FOR SOME REASON I SAID "ST
0.06%:  ANOTHER REASON A
0.06%:  FOR AS
0.06%:  FOR REAL REASONS WHY DO
0.06%:  HORSE RELATED REASONS I W
0.06%:  FOR AWESOME REASONS I CAN NOT SH
0.06%:  FOR SOME REASON THE REASON IS A
0.06%:  SOME REASON I FEEL DRAWN TO A
0.06%:  FOR CHESS RELATED REASONS AM
0.06%:  FOR WHAT REASON MY
0.06%:  A HORSE AND A
0.06%:  FOR SOMEONE ELSE IS
0.06%:  REAL REASONS A
0.06%:  DRESS
0.06%:  FOR SOME REASON I ALSO NE
0.06%:  LESSONS FROM A HORSE A
0.06%:  ANYB
0.06%:  FOR AWESOME REASONS TH
0.08%:  FOR AWESOME REASONS THERE IS
0.06%:  A RIDE ON
0.06%:  REASONS B
0.31%:  REASONS BASED IN
0.19%:  REASONS BASED IN RE
0.15%:  REASONS BASED ON THE
0.09%:  REASONS BASED ONLY
0.08%:  REASONS BASED IN REALIS
0.07%:  REASONS BASED ON MY
0.06%:  REASONS BASED ON THIS
0.06%:  CHESS ON
0.06%:  OTHER REASONS O
0.06%:  FOR SOME HORSE SO
0.06%:  FOR A HORSE B
0.06%:  FOR CHEST
0.06%:  SOME REASON THERE WAS NO
0.06%:  DO
0.06%:  AWESOME REASONS I FOR
0.06%:  FOR LESSONS IN HORSE M
0.06%:  FOR SOME REASON I HONE
0.06%:  SOME REASON I NEED TO F
0.06%:  MERR
0.06%:  FOR AWESOME REASONS I DARE NOT S
0.06%:  FORMAL REASONS I
0.12%:  FORMAL REASONS I CANNOT DIS
0.06%:  FOR A HORSE NAMED "T
0.06%:  BETR
0.06%:  FOR MY HORSES AND
0.06%:  FOR ANOTHER REAL
0.06%:  SOME REASON INSTEAD OF C
0.06%:  FOR SOME REASON I CANNOT EL
0.06%:  FOR SOME REASON ONLY I CAN DESCRIBE AS WE
0.06%:  REASONS NOT RE
0.06%:  MESS
0.06%: FOR SOME REASON NO
0.06%:  FOR SOME REASON I ALREADY CANNOT
0.06%:  FOR SOME LESSONS ON H
0.06%:  MORAL REASONS I CANNOT DES
0.06%:  FOR STRAN
0.06%:  FOR SOME REASON I CANNOT SAY AL
0.06%:  FOR WHAT REASON NO
0.06%:  SOME REASON I CAN ON
0.06%:  REASONS INDE
0.06%:  OTHER REASONS BASED ON A
0.06%:  AWESOME REASONS IT
0.06%:  REASONS BEYOND WH
0.06%:  A HORSE REAL
0.06%:  FOR SOME REASONS I CAN NOT
0.06%:  SOME REALITY
0.06%:  FOR A REASON I RE
0.06%:  FOR SOME REASON ALREADY SO
0.06%:  FOR WHAT REASON I CAN ONLY DESCRIBE AS "AM
0.06%:  MORE REASONS THAN I CAN EASILY A
0.06%:  SOMEONE ELSE WHO IS DEF
0.06%:  SOME REASON THERE IS A R
0.06%:  FOR SOME REASON I NEED TO AC
0.06%:  FOR A CHAN
0.06%:  FOR SOME SECRET REASON NO
0.06%:  HORSE RELATED REASONS IN F
0.06%:  SOME CHESS REFER
0.06%:  FOR A REASON BE
0.20%:  FOR A REASON BEYOND THE
0.13%:  FOR A REASON BEYOND THE RE
0.11%:  FOR A REASON BEYOND THE S
0.08%:  FOR A REASON BEYOND THE REAL
0.07%:  FOR A REASON BEYOND RE
0.06%:  FOR REASONS I CANNOT E
0.06%:  COLO
0.06%:  HORSE RELATED IN
0.06%:  ON
0.09%:  ONLY ONE
0.07%:  ONLY THE SE
0.06%:  FOR SECRET REASONS WHY I CAN
0.06%:  FOR A REASON I CANNOT A
0.06%:  FOR SOME REASON ONLY I CAN DESCRIBE AS AWE
0.06%:  FOR ETERN
0.06%:  REAL REASONS TO
0.06%:  "HORSES ON
0.10%:  "HORSES ONLY" C
0.08%:  "HORSES ONLY" RE
0.06%:  A REASON I CANNOT COM
0.06%:  MORE REASONS THAN I CAN B
0.07%:  MORE REASONS THAN I CAN BARE
0.06%:  FOR A HORSE OR
0.06%:  SOME HORSE RELATED REASON I S
0.06%:  FOR STABLE REASONS I
0.06%:  MORE REASONS THAN I CAN AL
0.33%:  MORE REASONS THAN I CAN ALREADY CO
0.29%:  MORE REASONS THAN I CAN ALREADY I
0.06%:  MORE REASONS THAN I CAN FOR
0.06%:  FOR SOME REASON I NEED HER
0.06%:  FOR SOME SECRET REASON ONLY I CAN DIS
0.06%:  FOR SOME HORSEY REASONS I D
0.06%:  SC
0.07%:  SCENERY
0.06%:  REASONS I CAN ONLY DESCRIBE AS MET
0.06%:  MORE T
0.06%:  FOR NO REASON I CAN DESCRIBE TO
0.06%:  SOME REASON I NEED TO A
0.06%:  FOR SOME REASON I BARE
0.06%:  SOME HORSES ARE RE
0.06%:  "SECRET REASONS" AND
0.06%:  FOR AWESOME HORSE REASONS I
0.06%:  A N
0.06%:  SOME CHESS LE
0.06%:  SOME OR OTHER REASON I
0.09%:  SOME OR OTHER REASON I CAN
0.06%:  FOR CHESS BRE
0.06%:  FOR WHAT REASON I CAN ONLY DESCRIBE AS "OM
0.06%:  A RID
0.06%:  MORAL REASONS SO
0.06%:  CHESS MO
0.06%:  RESC
0.06%:  FOR SOME REASON A HORSE D
0.06%:  AN O
0.06%:  REASONS BEYOND M
0.11%:  REASONS BEYOND MERE
0.06%:  AWESOME REASONS LI
0.06%:  ANSWERS A
0.06%:  MORE REASONS TO C
0.06%:  AWESOME RES
0.06%:  FOR SOME REASON I HATE
0.06%:  REASONS I CAN ONLY DESCRIBE AS "FE
0.06%:  SECRET HORSE R
0.06%:  AN AT
0.06%:  REAL HORSE REASONS NO
0.06%:  "SECRET REASONS" OR WH
0.06%:  FOR CHESS BE
0.06%:  MORE REASONS THAN I CAN EASILY C
0.06%:  RA
0.06%:  FOR SOME REASON I NEED TO BE H
0.06%:  FOR NO REAL REASON TH
0.06%:  FOR AWESOME REASONS WITH
0.06%:  MORE REASONS THAN I CAN REAL
0.06%:  MORE REASONS THAN CAN BE SA
0.06%:  FOR REAL HORSES AND ST
0.06%:  SOME HORSES CAN
0.06%:  FOR SOME REASON ONLY I CAN DESCRIBE THE
0.06%:  A REASON I DARE NOT RE
0.06%:  FOR SOME REASON THE REASON E
0.06%:  CHESS RELATED REASONS IN F
0.06%:  FOR HORSE LE
0.06%:  MORE REASONS THAN I CAN SE
0.06%:  SOME D
0.06%:  SOME REASON O
0.06%:  FOR MANY
0.06%:  SECRET REASONS ONLY I W
0.06%:  SOME HORSE NE
0.06%:  SOME HORSE NEWS
0.06%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "WAT
0.06%:  "SECRET ME
0.06%:  SECRET HORSE REASONS OF
0.06%:  FOR NO REASON I CAN SAY WH
0.06%:  AWESOME REASONS A
0.06%:  YO
0.06%:  FOR SOME REASON THERE IS C
0.06%:  REASONS 
0.06%:  FOR SOME REASON ALREADY ON THE
0.06%:  FOR REASONS TO BE RE
0.06%:  FOR A WH
0.06%:  MORE ST
0.07%:  MORE STABLE RE
0.06%:  SOME REASON HORSES ARE TAL
0.06%:  REAL REASONS WHAT
0.06%:  FOR AWESOME REASONS NO
0.06%:  FOR WHAT REASONS ARE BE
0.06%:  FOR A HORSE RELATED ME
0.06%:  REASONS BASED IN F
0.06%:  DIRE STR
0.06%:  A HORSE A
0.06%:  FOR HORSE TR
0.06%:  FOR HORSE TRAD
0.06%:  SOME OF
0.06%:  REASONS I CAN ONLY DESCRIBE AS AW
0.06%:  REASONS I DARE NOT SHARE Y
0.06%:  SOME HORSE SE
0.06%:  SECRET AND
0.06%:  SECRET M
0.06%:  FOR REASONS SO
0.06%:  FOR REASONS SOMEHOW IN
0.06%:  FOR SOME REASON THE B
0.06%:  SOME REASON IT W
0.06%:  ISS
0.06%:  SOME REASON INSTEAD OF BE
0.06%:  FOR SOME REASON NOT REC
0.06%:  FOR SOME REASON I ALWAYS END THIS
0.06%:  FOR SOME REASON I NEED TO SAY I
0.06%:  REASONS IT DO
0.06%:  MORE REASONS THAN I AL
0.08%:  MORE REASONS THAN I ALREADY CAN
0.06%:  FOR HORSE RELATED C
0.06%:  REASONS I CAN ONLY DESCRIBE AS MO
0.06%:  FOR SECRET REASONS A
0.06%:  FOR SOME WEIRD REASON I LO
0.06%:  FOR REASONS CON
0.06%:  FOR CHESS DATE N
0.06%:  FOR SOMEONE WHO NE
0.08%:  FOR SOMEONE WHO NEEDS A
0.06%:  FOR SOME ORDERS
0.06%:  FOR MORE REASONS THAN I CAN COL
0.06%:  FOR SOME REASON I NEED HORSE W
0.06%:  ANY REASON SO
0.06%:  CHEESE SN
0.06%:  AWESOME HORSE D
0.06%:  FOR SOME REASON I CAL
0.06%:  HORSE RELATED REASONS AM
0.06%:  FOR N
0.06%:  FOR SOME REASON HORSE ST
0.06%:  SOME REASON I ASS
0.06%:  FOR MORE H
0.28%:  FOR MORE HORSE C
0.08%:  FOR MORE HORSES TO
0.06%:  SOME REASON I NOW RE
0.06%:  CHESS RO
0.06%:  WHAT
0.06%:  ERO
0.06%:  FOR SOME REAL C
0.06%:  MER
0.06%:  A REASON I AM NOT AL
0.06%:  FOR SOME CHESS REASON OR
0.06%:  FOR ONE MORE C
0.06%:  FOR SOME REASON THE NE
0.06%:  FOR SOME WEIRD REASON I ALWAYS S
0.06%:  FOR SOME REASON ONLY I CAN DESCRIBE AS A "WE
0.06%:  FOR SOME HORSE AN
0.06%:  AWESOME REASONS OR WH
0.06%:  FOR SOME REASON THERE CAN
0.06%:  FOR SOME REASON THERE CAN BE ON
0.06%:  MORE HORSE ST
0.06%:  SOME REASON THIS ISN
0.06%:  FOR MORE REASONS THAN I CAN DECL
0.06%:  FOR SOME REASON I READ
0.05%:  A HORSE RACE OR
0.05%:  CHESS RELATED I
0.05%:  AR
0.05%:  FOR SOME REASON IT HAS ALWAYS CON
0.05%:  FOR SOME REASON THEY NEED SO
0.05%:  FOR SOME REASON THOSE ARE A
0.05%:  FOR A REASON I CANNOT I
0.05%:  AWESOME REASONS I CANNOT AR
0.05%:  FOR REASONS I CAN ONLY DESCRIBE AS "WE
0.05%:  A RO
0.05%:  RANDOM REASONS FOR
0.05%:  ANY REASON FOR
0.05%:  FOR SOME REASON THOSE ARE IN
0.05%:  FOR SOME REASON THEY LO
0.05%:  SOME HORSES TO W
0.05%:  SOME REASON THIS WASN
0.05%:  ERRORS OF O
0.05%:  SOME HORSE SO
0.05%:  SOME REASON HORSES ARE CON
0.05%:  FOR MORE S
0.05%:  SOME REASON OR OTHER I CAN
0.05%:  ANY REASON THE
0.05%:  FOR SOME REASON A HORSE S
0.05%:  FOR SOME REASON ONLY I CAN E
0.05%:  SOME HORSES AND SO
0.05%:  FOR SOME REASON THER
0.05%:  LITER
0.05%:  FOR A HORSE IN
0.05%:  FOR SOME HORSEY REASONS IN
0.05%:  ANIMAL S
0.05%:  FOR NO REASON I CAN DET
0.05%:  FOR CHESS REASONS I D
0.05%:  SOME NE
0.05%:  HORSE RELATED CONS
0.05%:  FOR AWESOME REASONS ONLY I CAN RE
0.05%:  FOR SOME REASON I NEED TO REL
0.05%:  FOR SOME REASON I CAN ONLY SE
0.05%:  FOR SOME REASON NOT A
0.05%:  A HORSE COM
0.05%:  FOR SOME REASON A HORSE T
0.05%:  FOR MORE REASONS THAN I B
0.05%:  SOME REASON I NEED TO BR
0.05%:  FOR ANY REASON WHAT SO
0.05%:  SOME CHESS IN
0.05%:  ACT
0.05%:  MORE TRAN
0.05%:  ADM
0.05%:  MORE CHESS R
0.07%:  MORE CHESS RELATED REASONS I
0.06%:  MORE CHESS RELATED IN
0.05%:  MORE REASONS THAN I CAN SAID
0.05%:  FOR WHAT REASON IS BEYOND ME I
0.05%:  DINOS
0.05%:  SOME NEW
0.05%:  FOR SOME REASON I CAN ONLY ST
0.05%:  MANY
0.05%:  SOME REASON ALREADY I
0.05%:  REASONS I CAN ONLY DESCRIBE AS "MORT
0.05%:  FOR A SECRET MISSION A
0.05%:  FOR MORE REASONS THAN LI
0.05%:  FOR SOME SECRET REASONS ON
0.05%:  FOR SOME HORSE RID
0.05%:  A HORSE TR
0.05%:  FOR SECRET HORSE LE
0.05%:  FOR SOME REASON ALREADY TWO
0.05%:  A SECRET MISSION WHERE
0.05%:  CHESS FOR
0.05%:  FOR MORE CHESS TAL
0.05%:  FOR A REASON I CANNOT DESCRIBE WH
0.05%:  SOME REASON HORSES CAN T
0.05%:  FOR AWESOME HORSE RID
0.05%:  A WH
0.05%:  FOR SOME REASON ONLY I CAN DESCRIBE AT
0.05%:  FOR SOME HORSES RE
0.05%:  FOR MORE REASONS THAN WE CAN I
0.05%:  FOR SOME REASON ALREADY THIS W
0.05%:  SOME REASON HORSES CAN BE
0.05%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "TWE
0.05%:  SOME REASON WHAT I
0.05%:  SEL
0.05%: A
0.05%:  ANY REASON I CARE
0.05%:  A HORSE NAMED S
0.05%:  FOR MY HORSE DATE
0.05%:  FOR SOME REASON ONLY I CAN I
0.05%:  AWESOME REASONS I CANNOT I
0.05%:  FOR SOME REASON NOW THIS SE
0.05%:  FOR REASONS I CAN ONLY DESCRIBE AS "WHATE
0.05%:  "SECRET REASONS" AL
0.09%:  "SECRET REASONS" ALONE
0.05%:  FOR SOME REASON I WONDER WHAT A
0.05%:  FOR SOME REASON ALREADY WHEN
0.05%:  FOR SOME CA
0.05%:  MORE REASONS THAN I CAN SAF
0.39%:  MORE REASONS THAN I CAN SAFELY DIS
0.06%:  MORE REASONS THAN I CAN SAFELY D
0.05%:  FOR SOME REASON WORSE THAN I CAN EAS
0.05%:  FOR OR
0.06%:  FOR ORDER
0.06%:  FOR ORDERLY
0.05%:  HORSE MAN
0.05%:  FOR SOME REASON ALREADY WHIC
0.05%:  FOR SOME REASON TODAY AL
0.05%:  FOR SOME REASON HORSES A
0.05%:  FOR SOME REASON I WANT A HORSE B
0.05%:  A REASON I CAN NOT
0.05%:  MORE REASONS THAN I CAN SAFELY RE
0.05%:  REASONS ALREADY CON
0.05%:  FOR ANY REASON ALREAD
0.05%:  FOR SOME WEIRD REASON THOSE
0.05%:  "REASONS" OR
0.05%:  FOR NO REASON WHATE
0.05%:  FOR SOME REASON NOW THEY ARE C
0.05%:  SN
0.05%:  FOR SOME REASON HOWE
0.05%:  FOR ANY REASONS WH
0.05%:  A HORSE RELATED REASON B
0.05%:  SOME REASON NOBODY CAN T
0.05%:  FOR SOME REASON I NEED TO RACE H
0.05%:  OTHER REASONS CON
0.05%:  FOR REAL CHESS M
0.05%:  FOR AWESOME REASONS ONLY I CAN DESCRIBE AT
0.05%:  AWESOME HORSE BON
0.05%:  CHEST
0.05%:  MORE REASONS THAN ARE LE
0.05%:  FOR SOME REASON I HAD TO LE
0.05%:  FOR BRE
0.05%:  FOR SOME REASON ONLY I CAN DESCRIBE AS A "WHAT
0.05%: SECRET REASONS WH
0.05%:  FOR SOME REASON I NEED HORSE BL
0.05%:  FOR SOME REASON I NEED HORSE TAIL
0.05%:  SOME REASON HORSES NE
0.05%:  "SECRETS
0.05%:  FOR MY SECRET HORSE D
0.05%:  FOR SOME REASONS I W
0.05%:  AWESOME REASONS INDE
0.05%:  CHESS REASONS AND
0.05%:  "LE
0.12%:  "LESSONS" IN
0.07%:  "LESSONS IN
0.05%:  FOR SOME REASON I WAS BORN WITH A DES
0.05%: ER
0.05%:  FOR SOME REASON TODAY I H
0.05%:  MORE REASONS THAN I CAN DISC
0.05%:  REASONS I CANNOT E
0.05%:  FOR RAD
0.07%:  FOR RADICAL RE
0.05%:  FOR AWESOME REASONS TOD
0.05%:  FOR SOME REASON I TO
0.05%:  SOME REASON I NEED TO RE
0.05%:  MORE LESSONS A
0.05%:  FOR MORE REASONS THAN I S
0.05%:  SOME REASON THEY NE
0.05%:  FOR HORSE MASTER
0.05%:  FOR SOME REASON I NEED TO SA
0.05%:  FOR SOME REASON I NEED TO RAISE H
0.05%:  SOME REASON HORSES ARE CAL
0.05%:  OTHER REASONS Y
0.06%:  OTHER REASONS YES
0.05%:  ANY REASON WHAT SO
0.05%:  FOR SOME REASON IN THIS D
0.05%:  SECRET REASONS I D
0.12%:  SECRET REASONS I DARE
0.05%:  FOR SOME REASONS I CANNOT S
0.05%:  FOR CHESS RELATED REASONS I NE
0.05%:  A CHESS LESSON OR
0.05%:  HORSE REASONS AND
0.05%:  FOR SOME REASON NOW E
0.05%:  FOR SOME REASONS AND RE
0.05%:  FOR SOME REASON IT HAS ALWAYS BEEN R
0.05%:  "ST
0.15%:  "STABLE
0.05%:  ANY REAL REASON I CAN MA
0.05%:  RANDOM REASONS OR WH
0.05%:  REAL HORSES ARE COM
0.05%:  FOR SOME REASON IT SAYS I
0.05%:  FOR SOME REASON A HORSE IS T
0.05%:  OTHER REASONS BESIDES ME
0.05%:  NOW
0.05%:  HORSE FOR
0.05%:  HORSES OF
0.05%:  FOR NO REASON I CAN DESCRIBE WH
0.05%:  HORSES AND ST
0.05%:  FOR MORE REASONS THAN I CAN DO
0.05%:  FOR SOME REASON THIS S
0.05%:  SOME HE
0.05%:  "REAL"
0.05%:  A HORSE L
0.05%:  FOR AWESOME REASONS I CAN ONLY DESCRIBE TH
0.05%:  FOR THE REAL REASON I CAME O
0.05%:  SOME SE
4.94%:  SOME SECRET REASONS
0.30%:  SOME SECRET REASON I
0.08%:  SOME SECRET REASONS I
0.08%:  SOME SECRET REASON WH
0.06%:  SOME SECRET REASONS OF
0.06%:  SOME SECRET REASON I D
0.05%:  FOR WHAT REASON I CAN ONLY DESCRIBE AS MO
0.05%:  FOR REAL REASONS THE
0.05%:  FOR SOME REASON THERE IS A S
0.05%:  FOR A REASON I CAN ON
0.21%:  FOR A REASON I CAN ONLY DES
2.24%:  FOR A REASON I CAN ONLY DESCRIBE AS "AW
1.98%:  FOR A REASON I CAN ONLY DESCRIBE AS "SO
1.63%:  FOR A REASON I CAN ONLY DESCRIBE AS "THE
1.34%:  FOR A REASON I CAN ONLY DESCRIBE AS "EM
0.98%:  FOR A REASON I CAN ONLY DESCRIBE AS "EMOT
0.81%:  FOR A REASON I CAN ONLY DESCRIBE AS A
0.80%:  FOR A REASON I CAN ONLY DESCRIBE AS "S
0.78%:  FOR A REASON I CAN ONLY DESCRIBE AS "H
0.75%:  FOR A REASON I CAN ONLY DESCRIBE AS "HE
0.73%:  FOR A REASON I CAN ONLY DESCRIBE AS SO
0.70%:  FOR A REASON I CAN ONLY DESCRIBE AS "ST
0.67%:  FOR A REASON I CAN ONLY DESCRIBE AS "SE
0.64%:  FOR A REASON I CAN ONLY DESCRIBE AS "THE MO
0.60%:  FOR A REASON I CAN ONLY DESCRIBE AS "MO
0.55%:  FOR A REASON I CAN ONLY DESCRIBE AS "A
0.52%:  FOR A REASON I CAN ONLY DESCRIBE AS THE
0.48%:  FOR A REASON I CAN ONLY DESCRIBE AS "TH
0.46%:  FOR A REASON I CAN ONLY DESCRIBE AS S
0.44%:  FOR A REASON I CAN ONLY DESCRIBE AS "M
0.43%:  FOR A REASON I CAN ONLY DESCRIBE AS "WH
0.41%:  FOR A REASON I CAN ONLY DESCRIBE AS "W
0.38%:  FOR A REASON I CAN ONLY DESCRIBE AS "TO
0.37%:  FOR A REASON I CAN ONLY DESCRIBE AS "E
0.37%:  FOR A REASON I CAN ONLY DESCRIBE AS H
0.37%:  FOR A REASON I CAN ONLY DESCRIBE AS EM
0.35%:  FOR A REASON I CAN ONLY DESCRIBE AS THE MO
0.32%:  FOR A REASON I CAN ONLY DESCRIBE AS "ME
0.32%:  FOR A REASON I CAN ONLY DESCRIBE AS "T
0.28%:  FOR A REASON I CAN ONLY DESCRIBE AS "SOME WH
0.26%:  FOR A REASON I CAN ONLY DESCRIBE AS "O
0.26%:  FOR A REASON I CAN ONLY DESCRIBE AS "MA
0.25%:  FOR A REASON I CAN ONLY DESCRIBE AS M
0.23%:  FOR A REASON I CAN ONLY DESCRIBE AS "SWE
0.20%:  FOR A REASON I CAN ONLY DESCRIBE AS A "
0.19%:  FOR A REASON I CAN ONLY DESCRIBE AS "HO
0.18%:  FOR A REASON I CAN ONLY DESCRIBE AS "OM
0.17%:  FOR A REASON I CAN ONLY DESCRIBE AS "ES
0.16%:  FOR A REASON I CAN ONLY DESCRIBE AS "HOW
0.16%:  FOR A REASON I CAN ONLY DESCRIBE AS "AM
0.15%:  FOR A REASON I CAN ONLY DESCRIBE AS "THO
0.15%:  FOR A REASON I CAN ONLY DESCRIBE AS "SHE
0.15%:  FOR A REASON I CAN ONLY DESCRIBE AS "SH
0.15%:  FOR A REASON I CAN ONLY DESCRIBE AS MO
0.15%:  FOR A REASON I CAN ONLY DESCRIBE AS AW
0.15%:  FOR A REASON I CAN ONLY DESCRIBE AS "SEEM
0.14%:  FOR A REASON I CAN ONLY DESCRIBE AS T
0.14%:  FOR A REASON I CAN ONLY DESCRIBE AS E
0.13%:  FOR A REASON I CAN ONLY DESCRIBE AS "WO
0.13%:  FOR A REASON I CAN ONLY DESCRIBE AS "MET
0.12%:  FOR A REASON I CAN ONLY DESCRIBE AS "THE W
0.11%:  FOR A REASON I CAN ONLY DESCRIBE AS W
0.11%:  FOR A REASON I CAN ONLY DESCRIBE AS "SAT
0.10%:  FOR A REASON I CAN ONLY DESCRIBE AS THE "
0.10%:  FOR A REASON I CAN ONLY DESCRIBE AS "SO M
0.10%:  FOR A REASON I CAN ONLY DESCRIBE AS ST
0.10%:  FOR A REASON I CAN ONLY DESCRIBE AS "WHO
0.10%:  FOR A REASON I CAN ONLY DESCRIBE AS "AWESOME H
0.10%:  FOR A REASON I CAN ONLY DESCRIBE AS SOME WH
0.14%:  FOR A REASON I CAN ONLY DESCRIBE AS SOME WHAT "
0.10%:  FOR A REASON I CAN ONLY DESCRIBE AS "THE S
0.10%:  FOR A REASON I CAN ONLY DESCRIBE AS "WE
0.09%:  FOR A REASON I CAN ONLY DESCRIBE AS "SOME WE
0.09%:  FOR A REASON I CAN ONLY DESCRIBE AS "THOSE
0.09%:  FOR A REASON I CAN ONLY DESCRIBE AS "TE
0.08%:  FOR A REASON I CAN ONLY DESCRIBE AS "MOT
0.08%:  FOR A REASON I CAN ONLY DESCRIBE AS "WHATE
0.08%:  FOR A REASON I CAN ONLY DESCRIBE AS "HOME
0.08%:  FOR A REASON I CAN ONLY DESCRIBE AS "AWESOME T
0.08%:  FOR A REASON I CAN ONLY DESCRIBE AS MET
0.08%:  FOR A REASON I CAN ONLY DESCRIBE AS "SA
0.08%:  FOR A REASON I CAN ONLY DESCRIBE AS TH
0.07%:  FOR A REASON I CAN ONLY DESCRIBE AS O
0.07%:  FOR A REASON I CAN ONLY DESCRIBE AS SE
0.07%:  FOR A REASON I CAN ONLY DESCRIBE AS "TA
0.07%:  FOR A REASON I CAN ONLY DESCRIBE AS "SHO
0.07%:  FOR A REASON I CAN ONLY DESCRIBE AS HE
0.07%:  FOR A REASON I CAN ONLY DESCRIBE AS "AS
0.06%:  FOR A REASON I CAN ONLY DESCRIBE AS "SOME"
0.06%:  FOR A REASON I CAN ONLY DESCRIBE AS "WHE
0.06%:  FOR A REASON I CAN ONLY DESCRIBE AS WH
0.06%:  FOR A REASON I CAN ONLY DESCRIBE AS "OT
0.06%:  FOR A REASON I CAN ONLY DESCRIBE AS "SEM
0.06%:  FOR A REASON I CAN ONLY DESCRIBE AS "THE M
0.06%:  FOR A REASON I CAN ONLY DESCRIBE AS "HA
0.06%:  FOR A REASON I CAN ONLY DESCRIBE AS "SO A
0.06%:  FOR A REASON I CAN ONLY DESCRIBE AS MA
0.06%:  FOR A REASON I CAN ONLY DESCRIBE AS "AWESOME TH
0.05%:  FOR A REASON I CAN ONLY DESCRIBE AS "SOME WHAT"
0.05%:  FOR A REASON I CAN ONLY DESCRIBE AS "SM
0.05%:  FOR A REASON I CAN ONLY DESCRIBE AS "ETH
0.05%:  FOR A REASON I CAN ONLY DESCRIBE AS "AWESOME" WH
0.05%:  SOME REASON ALWAY
0.05%:  FOR MY OWN CON
0.05%:  ANYONE EL
0.13%:  ANYONE ELSE WHO M
0.05%:  FOR HORSE SOME
0.05%:  SOME HORSES ARE SO
0.05%:  FOR SOME REASON I ALWAYS END THE
0.05%:  FOR REAL REASONS WHY DOES
0.05%:  FOR SOME REASON THIS IS ALWAY
0.05%:  FOR STABLE REASONS IN
0.05%:  FOR SOME SECRET REASON AL
0.05%:  A REASON I FOR
0.05%:  DOCTOR
0.05%:  SOME HORSE RELATED CON
0.05%:  SOME REASON HORSES D
0.05%:  FOR SOME REASON I DARE
