IS A SENTENCE ONLY AN OLD MAN WOULD SAY
      0 100.00%: 
      1 26.83%:  IS
   1232 25.02%:  WAS INSANELY UNCOOL TO
   1233 25.31%:  WAS INSANELY UNCOOL TO SAY A
   1234 25.02%:  WAS ACTUALLY NI
   1235 25.02%:  WAS A ME
   1236 25.02%:  WAS A SENTENCE I ONLY N
   1237 25.01%:  WAS ACTUALLY A MID
   1238 26.23%:  WAS ACTUALLY A MIDDLE SEN
   1239 26.10%:  WAS ACTUALLY A MIDDLE EN
   1240 25.38%:  WAS ACTUALLY A MIDDLE E
   1241 25.06%:  WAS ACTUALLY A MIDDLE SENS
   1242 25.01%:  WAS ALL I COULD SAY TON
   1243 25.00%:  WAS ACTUALLY A LESS M
   1244 25.00%:  WAS MOSTLY Y
   1245 25.99%:  WAS MOSTLY YEL
   1246 25.00%:  WAS ALSO A SENTANCE
   1247 25.00%:  WAS ALL I COULD SAY EAT
   1248 25.00%:  WAS ACTUALLY SOMEONE I S
   1249 25.00%:  WAS ACTUALLY A LESSEN
   1250 25.00%:  WAS ALL I COULD SAY TOO S
   1251 24.99%:  WAS ACTUALLY IDEAL D
   1252 24.99%:  WAS ALL I COULD SAY TOO E
   1253 24.99%:  WAS ACTUALLY AN ENL
   1254 24.99%:  WAS A SENTENCE I ONLY SO
   1255 24.99%:  WAS ACTUALLY IDEAL Y
   1256 24.98%:  WAS INSANELY DANCY AL
   1257 24.98%:  WAS ALSO A SENTO
   1258 24.98%:  WAS INSANELY DANCY D
   1259 24.97%:  WAS ACTUALLY IDEAL O
   1260 24.97%:  WAS ACTUALLY ONLY ONE M
   1261 24.97%:  WAS INSANELY SAD LOL
   1262 24.97%:  WAS A SENTENCE I ONLY L
   1263 24.97%:  WAS INSANELY DANCENO
   1264 24.97%:  WAS ACTUALLY ONLY ONE ME
   1265 24.97%:  WAS INSANELY DANCU
   1266 24.97%:  WAS ACTUALLY IDEALY
   1267 24.96%:  WAS ALL I COULD SAY TO DEN
   1268 24.96%:  WAS INSANELY DANCEN
   1269 24.96%:  WAS ALSO A SENTE
   1270 24.96%:  WAS ACTUALLY SIL
   1271 24.96%:  WAS INSANELY DANCY ON
   1272 24.96%:  WAS INSANELY DANCEY
   1273 24.96%:  WAS INSANELY DANCY O
   1274 24.96%:  WAS INSANELY DANCY AS
   1275 24.96%:  WAS ALL I COULD SAY ON AN E
   1276 24.96%:  WAS ACTUALLY IDES
   1277 24.95%:  WAS INSANELY DANCY M
   1278 24.95%:  WAS ACTUALLY SAL
   1279 24.95%:  WAS ACTUALLY A LESS DE
   1280 24.95%:  WAS ALSO A SENTEN
   1281 24.95%:  WAS INSANELY ENACTUALLY E
   1282 24.95%:  WAS ACTUALLY ONLY NEEDED AS
   1283 24.95%:  WAS ACTUALLY IDEAL SO
   1284 24.95%:  WAS ACTUALLY ALSO MY N
   1285 24.95%:  WAS ACTUALLY ONLY ONE N
   1286 24.95%:  WAS ACTUALLY ONLY ONE I
   1287 24.95%:  WAS ALSO A SENTENCI
   1288 24.97%:  WAS ALSO A SENTENCIALL
   1289 24.94%:  WAS ACTUALLY ME ON A
   1290 24.94%:  WAS ACTUALLY IDEA MEN ON
   1291 24.94%:  WAS INSANELY DANCY AT
   1292 24.94%:  WAS ACTUALLY IDEAL ON
   1293 24.94%:  WAS INSANELY DANCY DO
   1294 24.94%:  WAS ALL I COULD EAT
   1295 24.94%:  WAS ACTUALLY SOMEONE I O
   1296 24.94%:  WAS ALL I COULD SAY ON SO M
   1297 24.94%:  WAS ACTUALLY A LESS N
   1298 24.93%:  WAS INSANELY DANCY TE
   1299 25.14%:  WAS INSANELY DANCY TEENS ON
   1300 24.93%:  WAS ACTUALLY A ONE LINE SEND
   1301 24.93%:  WAS ACTUALLY A LESS ON
   1302 24.92%:  WAS ACTUALLY A LESS I
   1303 24.92%:  WAS ACTUALLY A LESSO
   1304 24.92%:  WAS A SENTENCE I ONLY U
   1305 24.92%:  WAS ACTUALLY IDEAL MO
   1306 24.92%:  WAS A SENTENCE I ONLY O
   1307 24.92%:  WAS ACTUALLY A NI
   1308 24.91%:  WAS TOO MANY DUDES ON A SLE
   1309 24.91%:  WAS A SENTENCE I ONLY AL
   1310 24.91%:  WAS ALL I COULD DO TO
   1311 24.91%:  WAS ACTUALLY A LESS DI
   1312 24.91%:  WAS ACTUALLY IDEAL NO
   1313 24.91%:  WAS ACTUALLY AN OLD SNO
   1314 24.91%:  WAS ACTUALLY ONLY A MIS
   1315 24.91%:  WAS A DIS
   1316 24.91%:  WAS ACTUALLY A LESS O
   1317 24.91%:  WAS ACTUALLY A LESS ME
   1318 24.90%:  WAS TOO MANY DUDES YA
   1319 24.90%:  WAS ACTUALLY ONLY ONE SENSI
   1320 24.90%:  WAS ALL I COULD SAY TO SOME D
   1321 24.90%:  WAS ACTUALLY ONLY ONE IN
   1322 24.90%:  WAS INSANELY NOT E
   1323 24.90%:  WAS A SENTENCE I ONLY M
   1324 24.90%:  WAS A SENTENCE I ONLY US
   1325 24.89%:  WAS ACTUALLY ONLY A MODE
   1326 24.89%:  WAS ONLY A SENTENCE IN A
   1327 24.89%:  WAS TOO MANY DUDES ON A SENI
   1328 24.89%:  WAS ACTUALLY SEL
   1329 24.89%:  WAS A SENTENCE I ONLY ON
   1330 24.89%:  WAS ACTUALLY AN OLD SIN
   1331 24.89%:  WAS ACTUALLY ONLY ONE E
   1332 24.88%:  WAS ACTUALLY ALSO ME
   1333 24.88%:  WAS ACTUALLY DELAYED ON
   1334 24.88%:  WAS ACTUALLY INSANELY EDMONO
   1335 24.88%:  WAS ACTUALLY ONLY A SON
   1336 24.88%:  WAS ONLY A SENTENCE I SAY AND D
   1337 24.88%:  WAS ACTUALLY ONLY ONE O
   1338 24.87%:  WAS ACTUALLY AN OLD D
   1339 24.87%:  WAS ACTUALLY A SENSEI
   1340 24.87%:  WAS INSANELY TEENLY
   1341 24.86%:  WAS ACTUALLY A LESSON NO ONE NE
   1342 24.86%:  WAS INSANELY AMOUS
   1343 24.86%:  WAS ACTUALLY ONLY ONE SE
   1344 24.86%:  WAS ACTUALLY ONLY ME S
   1345 24.86%:  WAS A SENTENCE ONLY AN AD
   1346 24.86%:  WAS ACTUALLY IDEALS S
   1347 24.86%:  WAS ACTUALLY ONLY ONE A
   1348 24.86%:  WAS ACTUALLY ONLY ONE MA
   1349 24.86%:  WAS ACTUALLY ONLY ONE MAIDEN ON
   1350 24.86%:  WAS ACTUALLY ONLY ONE MAIN
   1351 24.85%:  WAS ACTUALLY ONLY ONE SM
   1352 24.85%:  WAS INSANELY NAST
   1353 24.85%:  WAS ACTUALLY A SOLID D
   1354 24.85%:  WAS INSANELY ENACTUALLY D
   1355 24.85%:  WAS ACTUALLY AN OLDEN
   1356 24.85%:  WAS ACTUALLY ONLY ONE DE
   1357 24.85%:  WAS ACTUALLY ONLY ONE DO
   1358 24.85%:  WAS ACTUALLY SOME SOLID E
   1359 24.85%:  WAS ACTUALLY ONLY ONE MIN
   1360 24.85%:  WAS ACTUALLY AN OLD SON
   1361 24.84%:  WAS A LO
   1362 27.76%:  WAS A LOUSY S
   1363 29.07%:  WAS A LOUSY SENTENCE AND
   1364 28.95%:  WAS A LOUSY SENTENCE I
   1365 28.57%:  WAS A LOUSY SENTENCE ON
   1366 28.54%:  WAS A LOUSY SENTENCE IN
   1367 28.51%:  WAS A LOUSY SENTENCE A
   1368 28.39%:  WAS A LOUSY SENTENCE D
   1369 28.37%:  WAS A LOUSY SENTENCE L
   1370 27.94%:  WAS A LOUSY SENTENCE AND I D
   1371 27.20%:  WAS A LOUSY SENTENCE AND I AM
   1372 27.19%:  WAS A LOUSY SENTENCE ON MY
   1373 27.09%:  WAS A LOUSY SENTENCE ON A
   1374 27.05%:  WAS A LOUSY SENTENCE AND A
   1375 26.46%:  WAS A LOUSY SENTENCE IN A
   1376 26.27%:  WAS A LOUSY SENTENCE I D
   1377 26.07%:  WAS A LOUSY SENTENCE ON A L
   1378 26.05%:  WAS A LOUSY SENTENCE LOL
   1379 25.93%:  WAS A LOUSY SENTENCE IN ANY
   1380 25.71%:  WAS A LOUSY SENTENCE ON A LO
   1381 25.57%:  WAS A LOUSY SENTENCE ON M
   1382 25.45%:  WAS A LOUSY END
   1383 25.40%:  WAS A LOUSY SENTENC
   1384 25.36%:  WAS A LOUSY SENTENCE ONLY
   1385 25.35%:  WAS A LOUSY SENTANCE
   1386 25.20%:  WAS A LOUSY SENTENCE I AM
   1387 25.19%:  WAS A LOUSY SENTENCE IN A LO
   1388 25.14%:  WAS A LOUSY I
   1389 26.94%:  WAS A LOUSY IDEA T
   1390 26.89%:  WAS A LOUSY IDEA TO
   1391 26.49%:  WAS A LOUSY IDEA AND
   1392 26.07%:  WAS A LOUSY IDEA ON
   1393 26.06%:  WAS A LOUSY IDEA D
   1394 26.04%:  WAS A LOUSY IDEA M
   1395 26.03%:  WAS A LOUSY IDEA A
   1396 26.02%:  WAS A LOUSY IDEA ANY
   1397 26.01%:  WAS A LOUSY IDEA S
   1398 26.01%:  WAS A LOUSY IDEA E
   1399 25.99%:  WAS A LOUSY IDEA ACT
   1400 25.99%:  WAS A LOUSY IDEA NOT
   1401 25.99%:  WAS A LOUSY IDEA N
   1402 27.40%:  WAS A LOUSY IDEA NAMELY
   1403 26.73%:  WAS A LOUSY IDEA NAMEDLY
   1404 25.99%:  WAS A LOUSY IDEA O
   1405 25.99%:  WAS A LOUSY IDEA NO
   1406 25.99%:  WAS A LOUSY IDEA MA
   1407 25.98%:  WAS A LOUSY IDEA L
   1408 25.98%:  WAS A LOUSY IDEA MY
   1409 25.98%:  WAS A LOUSY IDEA C
   1410 25.69%:  WAS A LOUSY IDEA TOD
   1411 25.43%:  WAS A LOUSY IDEA ONLY
   1412 25.13%:  WAS A LOUSY SENTENCE DON
   1413 25.13%:  WAS A LOUSY IDEA LOL
   1414 25.10%:  WAS A LOUSY ST
   1415 25.02%:  WAS A LOUSY M
   1416 24.98%:  WAS A LOUSY C
   1417 24.93%:  WAS A LOUSY N
   1418 25.87%:  WAS A LOUSY NAMED
   1419 25.20%:  WAS A LOUSY NAME TO
   1420 24.91%:  WAS A LOUSY IDEA CALLED TO
   1421 24.89%:  WAS A LOUSY IDEA NAMED T
   1422 24.84%:  WAS A SENTENCE ONLY SAID ON
   1423 24.84%:  WAS ACTUALLY ONLY ONE EN
   1424 24.84%:  WAS ACTUALLY ONLY ONE MO
   1425 24.84%:  WAS ACTUALLY A SOLID 
   1426 24.83%:  WAS ALL I COULD SAY ON DAYS O
   1427 24.83%:  WAS ACTUALLY IDEA ENO
   1428 24.83%:  WAS A TO
   1429 28.05%:  WAS A TOO MU
   1430 26.30%:  WAS A TOO MANY D
   1431 30.02%:  WAS A TOO MANY DUDES S
   1432 27.46%:  WAS A TOO MANY DUDES IN
   1433 27.10%:  WAS A TOO MANY DUDES ON A S
   1434 26.66%:  WAS A TOO MANY DUDES IN A S
   1435 26.28%:  WAS A TOO MANY S
   1436 26.21%:  WAS A TOO MANY ON
   1437 26.21%:  WAS A TOO MANY N
   1438 26.17%:  WAS A TOO MANY E
   1439 25.70%:  WAS A TOO MANY DUDES ON A Y
   1440 25.68%:  WAS A TOO MANY DUDES ON A C
   1441 25.65%:  WAS A TOO MANY DUDES ON A SE
   1442 25.64%:  WAS A TOO MANY DUDES ON A L
   1443 25.49%:  WAS A TOO MANY DUDES I
   1444 25.26%:  WAS A TOO MANY DUDES L
   1445 24.89%:  WAS A TOO MANY DUDES A
   1446 24.83%:  WAS ACTUALLY IDEO
   1447 24.83%:  WAS ACTUALLY A NEE
   1448 24.83%:  WAS ACTUALLY A NIN
   1449 24.83%:  WAS ACTUALLY MAINLY D
   1450 24.83%:  WAS ALL I COULD SAY SOMEONE D
   1451 24.83%:  WAS ALSO MY
   1452 24.83%:  WAS ACTUALLY IDEA MEN 
   1453 24.82%:  WAS A SO
   1454 24.82%:  WAS ACTUALLY A SOLEMN O
   1455 24.82%:  WAS A CO
   1456 24.82%:  WAS A TEEN S
   1457 24.82%:  WAS A DE
   1458 24.82%:  WAS INSANELY STO
   1459 24.81%:  WAS ACTUALLY SOME DAN
   1460 24.81%:  WAS A LOUSY T
   1461 24.81%:  WAS ONLY AN
   1462 26.35%:  WAS ONLY AN IDEA A
   1463 25.97%:  WAS ONLY AN IDEA NOT
   1464 26.48%:  WAS ONLY AN IDEA NOT AN
   1465 25.87%:  WAS ONLY AN IDEA AND
   1466 25.84%:  WAS ONLY AN IDEA TO
   1467 25.79%:  WAS ONLY AN IDEA SO
   1468 25.69%:  WAS ONLY AN IDEA T
   1469 25.54%:  WAS ONLY AN IDEA M
   1470 25.53%:  WAS ONLY AN IDEA E
   1471 25.51%:  WAS ONLY AN IDEA ON
   1472 25.48%:  WAS ONLY AN IDEA YOU
   1473 25.48%:  WAS ONLY AN IDEA S
   1474 25.36%:  WAS ONLY AN IDEA U
   1475 25.35%:  WAS ONLY AN IDEA AT
   1476 25.33%:  WAS ONLY AN IDEA D
   1477 27.43%:  WAS ONLY AN IDEA DUE TO A
   1478 26.92%:  WAS ONLY AN IDEA DUE TO MY
   1479 25.86%:  WAS ONLY AN IDEA DUE TO MY O
   1480 25.79%:  WAS ONLY AN IDEA DUE TO A S
   1481 25.77%:  WAS ONLY AN IDEA DUE TO A L
   1482 25.31%:  WAS ONLY AN IDEA C
   1483 25.26%:  WAS ONLY AN IDEA L
   1484 25.25%:  WAS ONLY AN IDEA MA
   1485 25.25%:  WAS ONLY AN IDEA MO
   1486 25.24%:  WAS ONLY AN IDEA Y
   1487 25.24%:  WAS ONLY AN IDEA CO
   1488 25.24%:  WAS ONLY AN IDEA NO
   1489 25.24%:  WAS ONLY AN IDEA ME
   1490 25.23%:  WAS ONLY AN IDEA CA
   1491 25.23%:  WAS ONLY AN IDEA 
   1492 25.23%:  WAS ONLY AN IDEA N
   1493 25.44%:  WAS ONLY AN IDEA NAME
   1494 25.11%:  WAS ONLY AN IDEA MOSTLY SO
   1495 25.05%:  WAS ONLY AN IDEA DU
   1496 25.04%:  WAS ONLY AN IDEA CALLED TO
   1497 24.97%:  WAS ONLY AN IDEA CALLED TO MY
   1498 24.97%:  WAS ONLY AN IDEA CALLED TO M
   1499 24.81%:  WAS TOO MANY DUDES CAL
   1500 24.81%:  WAS A SENTENCE AND A SO
   1501 24.81%:  WAS A UN
   1502 24.81%:  WAS ONLY A SENTENCE SOUND
   1503 24.81%:  WAS A SENTENCE ONLY A LAD
   1504 24.80%:  WAS ACTUALLY A SELE
   1505 24.80%:  WAS INSANELY SAD ON MULT
   1506 24.80%:  WAS ACTUALLY SOME DEE
   1507 24.79%:  WAS A DI
   1508 24.79%:  WAS A CON
   1509 24.79%:  WAS ALL I COULD SAY AS T
   1510 24.79%:  WAS ACTUALLY OLD MEN
   1511 24.78%:  WAS A SENTENCE AND A M
   1512 24.78%:  WAS ACTUALLY SOME DEL
   1513 24.78%:  WAS ACTUALLY A NINE
   1514 24.78%:  WAS ACTUALLY SOME NEED
   1515 24.78%:  WAS ONLY A SENTENCE SO I D
   1516 24.78%:  WAS ACTUALLY SOMEONE IN A
   1517 24.78%:  WAS A LOUSY SENTENCE AND I A
   1518 24.78%:  WAS A SENTENCE I SADLY AND
   1519 24.78%:  WAS ACTUALLY A NEEDLESS M
   1520 24.77%:  WAS INSANELY SAD DEMO
   1521 24.77%:  WAS ACTUALLY INSANELY NONSEN
   1522 24.77%:  WAS ALL I COULD SAY OM
   1523 24.77%:  WAS INSANELY NOT A S
   1524 24.77%:  WAS A SENTENCE I SADLY MA
   1525 24.77%:  WAS ACTUALLY ONLY A SEN
   1526 24.77%:  WAS ACTUALLY MAIDENESS ON
   1527 24.76%:  WAS A CL
   1528 24.88%:  WAS A CLASSY L
   1529 24.76%:  WAS A LOUSY SENTENCE AND I DO
   1530 24.76%:  WAS A SENTENCE AND A N
   1531 24.76%:  WAS A LOUSY SENTENCE IN M
   1532 24.76%:  WAS ACTUALLY LESS DEMO
   1533 24.76%:  WAS ACTUALLY SIN
   1534 24.76%:  WAS TOO MANY SENI
   1535 24.76%:  WAS A SENTENCE AND A L
   1536 24.75%:  WAS INSANELY ENL
   1537 24.75%:  WAS INSANELY SADLY E
   1538 24.75%:  WAS ACTUALLY LAME
   1539 24.75%:  WAS TOO MANY SENSI
   1540 24.75%:  WAS ACTUALLY A NOM
   1541 24.74%:  WAS ACTUALLY A SOON
   1542 24.74%:  WAS INSANELY CLUT
   1543 24.74%:  WAS ALSO A SENTENCE I AM UN
   1544 24.74%:  WAS ACTUALLY AN OLD I
   1545 24.74%:  WAS A SENTENCE IN ALL
   1546 24.74%:  WAS ALSO AN IDEA YOU S
   1547 24.74%:  WAS ACTUALLY SOL
   1548 24.73%:  WAS A SENTENCE ONLY A NONS
   1549 24.73%:  WAS TOO MANY DUDES ONLY I
   1550 24.73%:  WAS A MO
   1551 24.73%:  WAS A MA
   1552 24.73%:  WAS ACTUALLY NONE
   1553 24.72%:  WAS ACTUALLY SIM
   1554 24.72%:  WAS ACTUALLY A SOLID E
   1555 24.72%:  WAS ACTUALLY A NEL
   1556 24.72%:  WAS ALL I COULD SAY EAS
   1557 24.72%:  WAS ACTUALLY SIMON S
   1558 24.72%:  WAS A LOUSY IDEA TOO M
   1559 24.72%:  WAS ACTUALLY AN OLD E
   1560 24.71%:  WAS ACTUALLY IDEA DENY
   1561 24.71%:  WAS ACTUALLY SON
   1562 24.71%:  WAS ACTUALLY ONLY MID
   1563 24.71%:  WAS A SU
   1564 24.71%:  WAS ACTUALLY ONLY AN IN
   1565 24.70%:  WAS ACTUALLY IDEA MENNON
   1566 24.70%:  WAS ALSO A SENTENCE IN MY O
   1567 24.70%:  WAS ACTUALLY IDEA MEN S
   1568 24.70%:  WAS ACTUALLY IDEA MENDE
   1569 24.85%:  WAS ACTUALLY IDEA MENDES
   1570 24.70%:  WAS ALL I COULD SAY SAY
   1571 24.70%:  WAS A SENTENCE ANIMAL D
   1572 24.70%:  WAS ONLY AN IDEA DUE TO L
   1573 24.70%:  WAS ACTUALLY ONLY A SENSE
   1574 24.70%:  WAS ACTUALLY SO LAME I
   1575 24.69%:  WAS ACTUALLY A SOLID N
   1576 24.69%:  WAS MOSTLY AN A
   1577 24.69%:  WAS ACTUALLY IDEA MEN E
   1578 24.69%:  WAS A TIME
   1579 24.69%:  WAS A SL
   1580 24.69%:  WAS ACTUALLY IDEA MEN D
   1581 24.69%:  WAS ACTUALLY IDEE
   1582 24.69%:  WAS A SE
   1583 24.68%:  WAS ACTUALLY A DEMOI
   1584 24.68%:  WAS ALSO A SENTENCE MAID
   1585 24.68%:  WAS ACTUALLY NEEDED IN O
   1586 24.68%:  WAS ACTUALLY ONLY A SIM
   1587 24.68%:  WAS ALL I COULD SAY SO E
   1588 24.68%:  WAS ACTUALLY SEN
   1589 24.68%:  WAS ACTUALLY IDEA MEN LO
   1590 24.68%:  WAS ACTUALLY IDEA MEN O
   1591 24.67%:  WAS ACTUALLY IDEOL
   1592 24.67%:  WAS INSANELY CLOSE TO MY L
   1593 24.67%:  WAS A LOUSY IDEA NAMED TE
   1594 24.67%:  WAS ALL I COULD SAY ON DAN
   1595 24.67%:  WAS INSANELY SEL
   1596 24.67%:  WAS ACTUALLY A DYE
   1597 24.67%:  WAS A LOUSY IDEA CALLED TE
   1598 24.67%:  WAS INSANELY CLOSE TO A N
   1599 24.67%:  WAS A DO
   1600 24.67%:  WAS INSANELY ENACTED ON
   1601 24.67%:  WAS A SA
   1602 24.67%:  WAS ACTUALLY LOADED ON
   1603 24.66%:  WAS INSANELY TEENO
   1604 24.66%:  WAS ACTUALLY ONLY A SIN
   1605 24.66%:  WAS A NE
   1606 24.66%:  WAS INSANELY SO A
   1607 24.66%:  WAS A ONE
   1608 25.58%:  WAS A ONE LINE
   1609 24.66%:  WAS ACTUALLY SMO
   1610 24.66%:  WAS A CA
   1611 24.65%:  WAS A LOUSY IDEA NOT A
   1612 24.65%:  WAS A LE
   1613 30.13%:  WAS A LESSON IN
   1614 29.24%:  WAS A LESSON I D
   1615 29.02%:  WAS A LESSON LE
   1616 28.79%:  WAS A LESSON I LE
   1617 27.74%:  WAS A LESSON I CO
   1618 29.10%:  WAS A LESSON I COULD NOT
   1619 28.98%:  WAS A LESSON I COULDN
   1620 28.64%:  WAS A LESSON I COULD NE
   1621 27.93%:  WAS A LESSON I COULD DO
   1622 27.77%:  WAS A LESSON I COULD L
   1623 27.76%:  WAS A LESSON I COULD E
   1624 27.73%:  WAS A LESSON I NE
   1625 28.09%:  WAS A LESSON I NEEDN
   1626 27.68%:  WAS A LESSON I COULD T
   1627 27.67%:  WAS A LESSON I COULD D
   1628 27.67%:  WAS A LESSON I COULD A
   1629 27.63%:  WAS A LESSON I COULDNOT
   1630 27.62%:  WAS A LESSON I COULD ON
   1631 27.60%:  WAS A LESSON I COULD AL
   1632 27.59%:  WAS A LESSON I COULD LE
   1633 27.56%:  WAS A LESSON I COULDNE
   1634 27.56%:  WAS A LESSON I COULD NO
   1635 27.47%:  WAS A LESSON I NEED NOT
   1636 27.20%:  WAS A LESSON I T
   1637 27.10%:  WAS A LESSON E
   1638 27.06%:  WAS A LESSON NO
   1639 27.06%:  WAS A LESSON ON
   1640 26.97%:  WAS A LESSON NOT
   1641 26.64%:  WAS A LESSON NO ONE N
   1642 26.61%:  WAS A LESSON I N
   1643 26.52%:  WAS A LESSON I ON
   1644 26.45%:  WAS A LESSON TO
   1645 26.79%:  WAS A LESSON TOO L
   1646 26.44%:  WAS A LESSON I COULD DONE
   1647 26.42%:  WAS A LESSON I COULD NOT LE
   1648 26.41%:  WAS A LESSON I ACT
   1649 32.65%:  WAS A LESSON I ACTUALLY D
   1650 30.76%:  WAS A LESSON I ACTUALLY N
   1651 28.78%:  WAS A LESSON I ACTUALLY NE
   1652 26.44%:  WAS A LESSON I ACTUALLY ME
   1653 26.41%:  WAS A LESSON A
   1654 26.40%:  WAS A LESSON T
   1655 26.39%:  WAS A LESSON I ACTUALLY DO
   1656 26.39%:  WAS A LESSON I ACTUALLY ON
   1657 26.39%:  WAS A LESSON I C
   1658 26.39%:  WAS A LESSON I CAN
   1659 26.37%:  WAS A LESSON I ACTUALLY M
   1660 26.35%:  WAS A LESSON I ACTUALLY O
   1661 26.34%:  WAS A LESSON I L
   1662 26.31%:  WAS A LESSON YOU
   1663 26.30%:  WAS A LESSON I AL
   1664 26.30%:  WAS A LESSON L
   1665 26.29%:  WAS A LESSON I DE
   1666 26.29%:  WAS A LESSON I ME
   1667 26.28%:  WAS A LESSON I DO
   1668 26.81%:  WAS A LESSON I DO NOT NE
   1669 26.36%:  WAS A LESSON I DO NOT E
   1670 26.27%:  WAS A LESSON I A
   1671 26.26%:  WAS A LESSON ONLY A
   1672 29.60%:  WAS A LESSON ONLY A TEEN COULD A
   1673 29.56%:  WAS A LESSON ONLY A TEEN COULD D
   1674 29.36%:  WAS A LESSON ONLY A TEEN COULD MA
   1675 29.35%:  WAS A LESSON ONLY A TEEN COULD M
   1676 29.34%:  WAS A LESSON ONLY A TEEN COULD AN
   1677 29.32%:  WAS A LESSON ONLY A TEEN COULD IN
   1678 29.31%:  WAS A LESSON ONLY A TEEN COULD I
   1679 26.76%:  WAS A LESSON ONLY A TEEN COULD MAN
   1680 26.26%:  WAS A LESSON I AM
   1681 26.24%:  WAS A LESSON I NO
   1682 26.24%:  WAS A LESSON I M
   1683 26.23%:  WAS A LESSON I LO
   1684 26.38%:  WAS A LESSON I LOADED ON
   1685 26.23%:  WAS A LESSON I UN
   1686 26.22%:  WAS A LESSON I NOT
   1687 26.84%:  WAS A LESSON I NOT ONLY LE
   1688 26.11%:  WAS A LESSON I COULD DEL
   1689 26.09%:  WAS A LESSON ONLY I
   1690 31.18%:  WAS A LESSON ONLY I COULD TE
   1691 28.70%:  WAS A LESSON ONLY I COULD E
   1692 28.50%:  WAS A LESSON ONLY I COULD T
   1693 27.74%:  WAS A LESSON ONLY I COULD D
   1694 27.58%:  WAS A LESSON ONLY I COULD NE
   1695 27.56%:  WAS A LESSON ONLY I COULD A
   1696 27.42%:  WAS A LESSON ONLY I COULD MA
   1697 27.38%:  WAS A LESSON ONLY I COULD EN
   1698 27.38%:  WAS A LESSON ONLY I COULD AN
   1699 26.03%:  WAS A LESSON I LOADED ONLY
   1700 25.99%:  WAS A LESSON MY
   1701 25.95%:  WAS A LESSON I NEED TO UN
   1702 25.94%:  WAS A LESSON N
   1703 25.94%:  WAS A LESSON NE
   1704 25.93%:  WAS A LESSON UN
   1705 25.91%:  WAS A LESSON TOO MU
   1706 25.91%:  WAS A LESSON I CANNOT
   1707 25.89%:  WAS A LESSON AND
   1708 25.89%:  WAS A LESSON CO
   1709 25.89%:  WAS A LESSON Y
   1710 25.88%:  WAS A LESSON M
   1711 25.88%:  WAS A LESSON ALL
   1712 25.88%:  WAS A LESSON D
   1713 25.87%:  WAS A LESSON AT
   1714 25.86%:  WAS A LESSON U
   1715 26.52%:  WAS A LESSON UTA
   1716 25.86%:  WAS A LESSON O
   1717 25.86%:  WAS A LESSON IT
   1718 25.83%:  WAS A LESSON I MEAN
   1719 25.76%:  WAS A LESSON IN TE
   1720 25.72%:  WAS A LESSON IN L
   1721 25.72%:  WAS A LESSON I NEED TO L
   1722 25.70%:  WAS A LESSON I ACTUALLY DON
   1723 25.69%:  WAS A LESSON IN M
   1724 25.69%:  WAS A LESSON I LOADED MY
   1725 25.67%:  WAS A LESSON I ONLY NO
   1726 25.67%:  WAS A LESSON I COULD DON
   1727 25.79%:  WAS A LESSON I COULD DONATE MY
   1728 25.57%:  WAS A LESSON I NEED TO U
   1729 25.55%:  WAS A LESSON I NEED TO CON
   1730 25.52%:  WAS A LESSON I NEED TO LO
   1731 25.50%:  WAS A LESSON ONLY I COULD NEED T
   1732 25.49%:  WAS A LESSON ONLY A TEEN COULD IND
   1733 25.48%:  WAS A LESSON I NEED TO D
   1734 25.47%:  WAS A LESSON I NEED TO A
   1735 25.44%:  WAS A LESSON I NEED TO C
   1736 25.44%:  WAS A LESSON I NEED TO DO
   1737 25.43%:  WAS A LESSON I COULD DONATE A
   1738 25.43%:  WAS A LESSON I NEED TO MA
   1739 25.43%:  WAS A LESSON I NEED TO O
   1740 25.43%:  WAS A LESSON I LOADED A
   1741 25.37%:  WAS A LESSON IN T
   1742 25.34%:  WAS A LESSON IN E
   1743 25.34%:  WAS A LESSON IN C
   1744 25.30%:  WAS A LESSON IN A
   1745 25.26%:  WAS A LESSON I MAY
   1746 25.24%:  WAS A LESSON I COULD NOT A
   1747 25.24%:  WAS A LESSON I ACTUALLY NEEDN
   1748 25.21%:  WAS A LESSON TO LE
   1749 25.20%:  WAS A LESSON I MEANTO
   1750 25.19%:  WAS A LESSON AND A
   1751 25.11%:  WAS A LESSON I COULD ONLY D
   1752 25.08%:  WAS A LESSON I COULDNOT LE
   1753 25.07%:  WAS A LESSON I DO NOT NEED A
   1754 25.04%:  WAS A LESSON UNDONE
   1755 25.03%:  WAS A LESSON I LOADED TO
   1756 25.01%:  WAS A LESSON I COULD ONLY E
   1757 25.01%:  WAS A LESSON ONLY I COULDN
   1758 24.96%:  WAS A LESSON NO ONE E
   1759 24.90%:  WAS A LESSON IN D
   1760 24.88%:  WAS A LESSON I COULD NOT D
   1761 24.88%:  WAS A LESSON I DEC
   1762 24.78%:  WAS A LESSON IN UN
   1763 24.76%:  WAS A LESSON I ALMO
   1764 24.75%:  WAS A LESSON IN LE
   1765 24.75%:  WAS A LESSON I COULD NOT E
   1766 24.72%:  WAS A LESSON IN MY
   1767 24.69%:  WAS A LESSON I ACTUALLY NEED ON
   1768 24.67%:  WAS A LESSON I MAY NEED TO UN
