Off panel: Can we talk about what was said earlier
100.00%: 
3.34%:  was
0.00%:  par
0.00%:  is a fan artist and he
0.00%:  has a friend in a statue park
0.00%:  is a statue now and we
0.00%:  is a statue now and we all
0.00%:  has built an entire
0.00%:  has taken up an
0.00%:  has taken up an offer
0.00%:  wasted hours
0.00%:  threw a plate of
0.00%:  drank a lot
0.00%:  spent a few weeks and a fair
0.00%:  was a fine statue and
0.00%:  and this statue
0.00%:  now has a statue and
0.00%:  has been a friend for all
0.00%:  threw up a little on
0.00%:  showed us a real
0.00%:  spoke
0.00%:  found it at a park sale
0.00%:  is at a
0.00%:  fans
0.00%:  had to ask
0.00%:  pissed off a
0.00%:  has turned all of
0.00%:  takes this
0.00%:  is frank
0.00%:  said that we all
0.00%:  has filled in for
0.00%:  wanted a statue in a park of
0.00%: : a bad
0.00%: : a bad statue
0.00%:  is a statue of a fr
0.00%:  found this at a park in
0.00%:  said he was all about
0.00%:  said it was all the
0.00%:  has a statue and we
0.00%:  paid for a fake
0.00%:  based it on the real
0.00%:  is a statue all
0.00%:  ate a statue
0.00%:  was able to raise a half
0.00%:  has been task
0.00%:  fell asleep and that
0.00%:  fell asleep and that was
0.00%:  is a friend who was able
0.00%:  is a better friend at all
0.00%:  was like a statue and
0.00%:  wanted a statue of a rap
0.00%:  here draws
0.00%:  here was a fan
0.00%:  was a friend when
0.00%:  has a new friend: statue
0.00%: : has
0.00%:  was an artist and we were
0.00%:  drawn as
0.00%:  sure talked
0.00%:  was the better friend in
0.00%: : that was an
0.00%: : that was an awful
0.00%:  put all his effort in
0.00%:  put all his effort in and
0.00%:  drew this one
0.00%:  said he was a fake
0.00%:  is an old
0.00%:  as a statue and
0.00%:  burned a
0.00%:  said a statue of a
0.00%:  asked a statue of
0.00%:  liked that
0.00%:  is an awful fake and
0.00%:  was here and was all like
0.00%:  was able to pull the
0.00%:  told us what a fake
0.00%:  was fired for was
0.00%:  found it while we were all at
0.00%:  is a statue of a bear and a
0.00%:  was a friend but he
0.00%:  was a friend but he was
0.00%:  was a friend but he was a
0.00%:  was a fake statue the
0.00%: : also
0.00%:  drew what
0.00%:  was able to draw a statue in
0.00%:  was a bit upset with
0.00%:  has a better idea of a real
0.00%:  wrote that and
0.00%:  sure knows what a friend
0.00%:  said to take
0.00%:  is a statue of what we all are:
0.00%:  asked if it was all
0.00%:  is super rad
0.00%:  has put a little
0.00%:  has put all of
0.00%:  here was able to pull
0.00%:  has taken a real life statue
0.00%:  has taken a real life statue and
0.00%:  that is a
0.00%:  used his new
0.00%:  now has a statue in
0.00%:  was a friend after all:
0.00%: : that was an awful idea
0.00%:  spent like 
0.00%:  was a little unfair for
0.00%:  asked an artist pal
0.00%:  and his wife are awful
0.00%:  is awful at it
0.00%:  based it on his
0.00%:  this is a
0.00%:  pals with
0.00%:  paid the artist for a
0.00%:  was the first and
0.00%:  liked it better
0.00%:  spent a few hours after
0.00%:  built it after he walked
0.00%:  has sur
0.00%:  was a real friend about
0.00%:  threw it out
0.00%:  pushed it
0.00%:  was a statue for a bit
0.00%:  was able to hire an artist and we all
0.00%: : all
0.00%:  knew what a statue is for
0.00%:  keeps a statue of all
0.00%:  wanted this one
0.00%:  with a statue of a
0.00%:  with a statue of a friend
0.00%: : we all
0.00%:  wants a statue and he
0.00%:  has set up a table
0.00%:  was a little push
0.00%:  has paid an artist a few
0.00%:  spent a few hours a week
0.00%:  was able to speak
0.00%:  was able to speak with
0.00%:  is the statue and all
0.00%:  also wanted it
0.00%:  to
0.00%:  is an awful friend who takes a
0.00%:  will take it
0.00%:  fans are
0.00%:  wanted to see what was up
0.00%:  built it as an award
0.00%:  is a statue and now
0.00%:  here used
0.00%:  here used a
0.00%:  is the art
0.00%:  sure wasn
0.00%:  was a little afraid of he
0.00%:  ate all of
0.00%:  has taken off all
0.00%:  is a real life statue who
0.00%:  set it up with a
0.00%:  and his wife spent a
0.00%:  was able to learn a
0.00%:  threw a statue in a lake and was
0.00%:  has set up a table and
0.00%:  spent a week with
0.00%:  will read
0.00%:  spent all of his life
0.00%:  found this in a fle
0.00%:  has drawn a statue in a
0.00%:  has a new idea for an
0.00%:  puk
0.00%:  was able to write
0.00%:  was able to write a
0.00%:  has run off and
0.00%:  wanted a statue of a ban
0.00%:  drew it real fast but
0.00%:  is su
0.00%:  was able to find a fake
0.00%:  was a true friend who was
0.00%:  built a shr
0.00%:  was a total pr
0.00%:  wears the pants in our
0.00%:  is awful and he wants
0.00%:  was the real artist and we
0.00%:  wanted a life s
0.00%:  has failed as an art
0.00%:  flew around
0.00%:  put an ad
0.00%:  and his wife are now
0.00%:  said it was a bear
0.00%:  found it at a park where all
0.00%:  was a real friend so
0.00%:  has fallen asleep at work
0.00%:  wins all the points
0.00%:  here built
0.00%:  was here before and was
0.00%:  keeps it around his
0.00%:  was able to raise half
0.00%:  was a better idea
0.00%:  was a better idea than
0.00%:  has a bit of a dark
0.00%:  is a sad
0.00%:  was able to render a statue
0.00%:  was a true artist
0.00%:  used the power
0.00%:  has an idea for an
0.00%:  based it on a statue
0.00%:  threw up a bit
0.00%:  was a little rude when
0.00%:  was a statue and it
0.00%:  has built a new and
0.00%:  has been so kind
0.00%:  hit a
0.00%:  would still
0.00%:  has been at it for weeks and
0.00%:  is stupid
0.00%:  had a few stat
0.00%:  here was a real pal
0.00%:  asked our
0.00%:  was able to paint this
0.00%:  knows what a real life
0.00%:  wanted a statue of his fr
0.00%:  found it near the park
0.00%:  was a statue and all
0.00%:  threw all
0.00%:  was an awful friend either
0.00%:  was able to take it
0.00%:  done it
0.00%:  done it real
0.00%:  saw it and threw a
0.00%:  sure knows where
0.00%:  wasted all his effort
0.00%:  was able to raise a few
0.00%:  is an artist and we are at
0.00%:  was a statue in real
0.00%:  was a statue in real life and
0.00%:  said it was all that
0.00%:  said it was an awful one
0.00%:  was an awful friend to break the
0.00%: : please don
0.00%:  will be a statue for a while as
0.00%:  is full of beans
0.00%:  and the rest of us were all
0.00%:  has at
0.00%:  has at last
0.00%:  was hired as a life
0.00%:  is a better and
0.00%:  drew it up real fast while
0.00%:  based it off this
0.00%:  draws all the stat
0.00%:  has beaten us all and
0.00%:  faked it for a
0.00%:  faked it for a while
0.00%:  saw it last
0.01%:  saw it last week and
0.00%:  saw it last week and he
0.00%:  has a friend stat
0.00%:  is a real friend that wants
0.00%:  has known
0.00%:  has been sp
0.00%:  wins all the pri
0.00%:  is a statue of a friend: a
0.00%:  ran a
0.00%:  is a fake friend who was
0.00%:  went and built it for
0.00%:  blew a
0.00%:  was a fine friend but
0.00%:  was a fine friend but he was
0.00%:  has been under
0.00%:  has been under a
0.00%:  wanted his statue a
0.00%:  was able to draw this in a
0.00%:  was able to draw this in a few
0.00%:  is ahead of us
0.00%:  said he put a
0.00%:  feels a
0.00%:  feels a little bad
0.00%:  feels a little bad for
0.00%:  feels a little bad for what
0.00%:  has an idea for a new statue after
0.00%:  hid a
0.00%:  wanted a statue of his real pal
0.00%:  turned an
0.00%:  put that in a
0.00%:  has a new friend: a statue of all
0.00%: : what a waste
0.00%:  paid for it after an
0.00%:  turned that
0.00%:  built it as a prank when
0.00%:  threw it off
0.00%:  owned
0.00%:  has failed at all
0.00%:  is a fraud who
0.00%:  spent his allow
0.00%:  has an idea for a new statue park: all
0.00%:  is a friend of a real
0.00%:  is bad at all
0.00%:  was able to find a half
0.00%:  was in the park and saw a little
0.00%:  was a real life statue of what a real
0.00%:  has spent a few
0.00%:  and his statue are a
0.00%:  drew this for us
0.00%:  was there and we
0.00%:  spent about
0.00%:  sure was a better
0.00%:  knows what real life
0.00%:  spent half a week and a
0.00%:  has drawn a statue like
0.00%:  was a fake friend but
0.00%:  drew this up
0.00%:  drew this up after
0.00%:  knows his an
0.00%:  here was a little afraid of
0.00%:  is a statue for life and
0.00%:  is an awful friend that keeps
0.00%:  put it there as
0.00%:  put it there as a dare
0.00%:  is a sweet
0.00%:  is a sweet friend
0.00%:  burned it
0.00%:  here paid for
0.00%:  paid for this as
0.00%:  was in his
0.00%:  beat all
0.00%:  has paid a few
0.00%:  read the
0.00%:  wanted stat
0.00%:  put all his art
0.00%:  is a real treat
0.00%:  was an awful artist and we
0.00%:  paid for it when we were at a
0.00%:  is now the statue
0.00%:  still has a few
0.00%:  was able to spend
0.00%:  has taken an awful lot
0.00%:  was the best idea
0.00%:  shot
0.00%:  is awful and all
0.00%:  has a real talent for life
0.00%:  liked it better when
0.00%:  wanted a statue of a were
0.00%: : when
0.00%:  laid it
0.00%:  found it in the park after all
0.00%:  drew that in a
0.00%:  paid art
0.00%:  wants it as
0.00%:  wants it as a lawn
0.00%:  has drawn a self
0.00%:  asked for a real life
0.00%:  threw a fit after
0.00%:  first
0.00%:  was here and we built
0.00%:  saw it in an
0.00%:  has drawn it real well
0.00%:  was able to see
0.00%:  leads
0.00%:  skill
0.00%:  talks while
0.00%:  is here and we are all
0.00%:  is an al
0.00%:  after all
0.00%:  and his p
0.01%:  and his pals are
0.00%:  and his pals are all
0.00%:  and his pals were
0.00%:  and his pals are awful
0.00%:  is a little ahead
0.00%:  spent a solid
0.00%:  spent a solid week
0.00%:  found a real art
0.00%: : take
0.00%:  had a bit of a freak
0.00%:  has set up an award for
0.00%:  was able to hire a statue and
0.00%:  will be fur
0.00%:  has a statue of a bird
0.00%:  has been paid in
0.00%:  has been paid in full for
0.00%:  worked up
0.00%:  is a statue like
0.00%:  drew that up
0.00%:  drew that up real
0.00%:  drew that up real fast
0.00%:  saw the real statue and we
0.00%:  will know what a real friend
0.00%:  threw in a statue
0.00%:  broke it and
0.00%:  statue and
0.00%:  burned all
0.00%:  built this and now
0.00%:  went to the park and saw
0.00%:  went to the park and saw a
0.00%:  went to the park and saw a real
0.00%:  paused a
0.00%:  broke his
0.00%:  is a freak of
0.02%:  is a freak of nature and
0.00%:  is a freak of nature and a
0.00%:  is a freak of nature and has
0.00%:  is a freak of nature and he
0.00%:  is a freak of nature and we
0.00%:  is a freak of nature and we all
0.00%:  is a freak of nature and his
0.00%:  is a freak of nature and we all hate
0.00%:  is a freak of nature with
0.00%:  is a freak of nature and will
0.00%:  is a freak of nature with a
0.00%:  wanted a statue of a barrel
0.00%:  plans to build
0.00%:  thinks it would
0.00%:  thinks it would be a
0.00%:  was a little bit off
0.00%:  was asleep
0.00%:  fell asleep on
0.00%:  drew this after we left
0.00%:  was in a plane
0.00%:  was a real bad
0.00%:  was able to walk past
0.00%:  has taken a laser
0.00%:  swears that it
0.00%:  saw it and he was like:
0.00%:  is awful and we all know
0.00%:  was able to find all these
0.00%:  will break
0.00%:  will be upset if
0.00%:  was a statue in real life for
0.00%:  had statue
0.00%:  here is an awful person
0.00%:  has taken a brief
0.00%:  at least has a friend
0.00%:  is also a friend
0.00%:  is out
0.00%:  past
0.00%:  has a statue done
0.00%:  would like it
0.00%:  has been out
0.00%:  has been out all
0.00%:  won this statue
0.00%:  won this statue fair
0.00%:  won this statue in a r
0.00%:  ran off in
0.00%:  ran off in tears
0.00%:  was here for
0.00%:  was here for a few
0.00%:  has seen fit
0.00%:  hired a real life statue of
0.00%:  waited an
0.00%:  left after he
0.00%:  left after he saw
0.00%:  left after he said
0.00%:  left after he saw it
0.00%:  left after he saw it and
0.00%:  spent a few hours and a little
0.00%:  was a real artist and we all
0.00%:  was a real artist and we all know
0.00%:  was an artist for a few
0.00%:  wears a shirt
0.00%:  has paid for life
0.00%:  is the artist and we all know
0.00%:  was full of lies
0.00%:  was off the
0.00%:  here worked
0.00%:  built it and when
0.00%:  spent a week and a half f
0.00%:  is now a real statue and he will be
0.00%:  was able to find a real statue in a
0.01%:  was able to find a real statue in a park
0.00%:  said it was a half
0.00%:  was a better friend who was a
0.00%:  has drawn it real fast
0.00%:  has paid an artist a full
0.00%:  was able to find it after
0.00%:  would want it
0.00%:  is the final word
0.00%:  will be a statue in
0.00%:  went to the park and saw a real life
0.00%:  and other
0.00%:  here is a better
0.00%:  wanted a statue of half
0.00%:  wanted a statue of half a bear
0.00%:  has set up a real
0.00%:  found it at a trash
0.00%:  found it at a trash sale
0.00%:  was a real life statue and now
0.00%: : what were
0.00%: : thanks
0.00%:  and a few others were
0.00%:  up and
0.00%:  was able to find a park that
0.00%:  spent a few hours at an
0.00%:  has taken out
0.00%:  has taken out a life
0.00%:  wanted one with
0.00%:  faked the statue
0.00%:  wants a statue where all
0.00%:  pulled this off a real
0.00%:  owns the
0.00%:  wants the real deal
0.00%:  broke a
0.00%:  broke a statue
0.00%:  and this statue were
0.00%:  wanted a statue of where
0.00%:  here was an awful artist
0.00%:  read all
0.00%:  is a statue after all and
0.00%:  was the artist and we were
0.00%:  was the artist and we were all
0.00%:  put in the
0.00%:  put in the effort and
0.00%:  will be a statue with
0.00%:  was a little afraid when
0.00%:  knows the real
0.00%:  knows the real deal
0.00%:  has an idea for a new statue law
0.00%:  like
0.00%:  paid for a real stat
0.00%:  wants a statue of a bird
0.00%:  asked for a statue in a
0.00%:  is full of shit
0.00%:  was a C
0.00%:  paid for a statue with a real
0.00%:  was sp
0.00%:  was a real friend: he knew
0.00%:  swears he found
0.00%:  swears he found it in a park
0.00%:  was an awful friend to break that
0.00%:  was here a little
0.00%:  alone was
0.00%:  found it while stat
0.00%:  shaped it after a real
0.00%:  has abs
0.00%:  is the statue and we
0.00%:  pulled that off in like 
0.00%:  saw it and it
0.00%:  saw it and it was all
0.00%:  saw it and it was awful
0.00%:  left that
0.00%:  was here and left
0.00%:  stands in
0.00%:  had to be
0.00%:  saw it in a park and he was
0.00%:  had to use
0.00%:  draws like a real statue
0.00%:  has a real art
0.00%:  used a laser to
0.00%:  o
0.00%:  here is an artist of
0.00%:  is a statue now and he will
0.00%:  is the best friend for
0.00%:  is better at fake
0.00%:  wanted a statue of a fallen
0.00%:  stole all
0.00%:  upload
0.00%:  wants all the
0.00%:  is statue of
0.00%:  was in the park and saw it for
0.00%:  was the artist and we all know
0.00%:  is awful and this
0.00%:  knew what a statue wasn
0.00%:  sa
0.00%:  stole a
0.00%:  blew up and ate all
0.00%:  here and we are
0.00%:  is rub
0.00%:  has red
0.00%:  paid for the bust
0.00%:  would be all
0.00%:  is insult
0.00%:  was able to pause
0.00%:  has failed to learn
0.00%:  said that in
0.00%:  wears this
0.00%:  wears this around
0.00%:  d
0.00%:  used it
0.00%:  was afraid to let
0.00%:  is hard at work in
0.00%:  had to use a
0.00%:  has been to
0.00%:  is a far worse
0.00%:  has asked for an
0.00%:  has asked for an ap
0.00%:  is all about real
0.00%:  has been re
0.00%:  is an awe
0.00%:  was a real friend who went
0.00%:  has a statue of an
0.00%:  is awful at all
0.00%:  has worked at it all
0.00%:  is all about that
0.00%:  wanted it to be a real
0.00%:  will award
0.00%:  has paid an artist for a full
0.00%:  is aware that if
0.00%:  fell asleep and now his
0.00%:  wanted to burn
0.00%:  wants his 
0.00%:  drew it real fast on
0.00%:  drew it real fast on a
0.00%:  is a fake and a ph
0.00%:  is the one friend
0.00%:  threw a fit at
0.00%:  threw it at us and we
0.00%:  was wise to warn
0.00%:  is a statue of what we are
0.00%:  is a statue of what we are all
0.01%:  is a statue of what we are all afraid
0.00%:  is a statue of what we are all afraid we
0.00%:  turned it into a park
0.00%:  said it was free
0.00%:  draws like a pro
0.00%:  is full of win
0.00%:  has asked to
0.00%:  asked for the real
0.00%:  likes it and
0.00%:  stared at this for
0.00%:  stared at this for a full
0.00%:  is absurd
0.00%:  has poured
0.00%:  saw the real deal
0.00%:  and others
0.00%:  wanted a statue of a wh
0.00%:  paused for a beat after
0.00%:  at least had a
0.00%:  breaks stat
0.00%:  has taken up a life
0.00%:  was a little put
0.00%:  was a little put off when
0.00%:  has a better li
0.00%:  has done us all a real
0.00%: : it was a statue of a
0.00%:  was a real friend who knew
0.00%:  won the statue award fair
0.00%:  saw it and went
0.00%:  built this after a
0.00%:  burned this
0.00%:  wrote it all
0.00%:  has taken it as a dare
0.00%:  was an artist hired
0.00%:  all but
0.00%:  wins the statue award for aw
0.00%:  spent the last week
0.00%:  was a better friend then
0.00%:  has a new idea for art
0.00%:  fell asleep at the
0.00%:  will be sad for
0.00%:  will be sad for a while after
0.00%:  will be sad for a few
0.00%:  will be sad for a few weeks
0.00%:  would like his
0.00%:  poured his
0.00%:  helps
0.00%:  was a statue of a bear
0.00%:  is the winner of a
0.00%:  is the winner of a free
0.00%:  is a real statue for a
0.00%:  spent a week and a half at a life
0.00%:  on the left
0.00%:  spent like three
0.00%:  is awful at all the arts
0.00%:  is an artist:
0.00%:  was said
0.00%:  paid the artist all
0.00%:  will be around later if
0.00%:  then
0.00%:  fails
0.00%:  has spent an
0.00%:  has spent an awful
0.00%:  has worked in a statue
0.00%:  was a little upset earlier
0.00%:  will be a statue with a
0.00%:  has a pet
0.00%:  saw the real statue and freak
0.00%:  has a new friend at work
0.00%:  has taken it up as a life
0.00%: : how
0.00%:  was a statue for like a half an
0.00%:  was able to draw it in half
0.00%:  is what a statue will
0.00%:  is a freak and he
0.00%:  has drawn a life
0.00%:  is an awful friend at best
0.00%:  was a real friend that was
0.00%:  was able to draw it when
0.00%:  felt awful
0.00%:  was in the statue park
0.00%:  was in the statue park and
0.00%:  had our artist take
0.00%:  had our artist take a
0.00%:  is a ter
0.00%:  has a statue of a bear and
0.00%:  knew what a statue of a real life
0.00%:  is a real person and what
0.00%:  has put a new
0.00%:  was the art
0.00%:  will be a statue of a din
0.00%: : a badass
0.00%:  builds all
0.00%:  drew the statue for
0.00%:  put it at
0.00%:  has an idea for a statue like
0.00%:  keeps this
0.00%:  was an awful friend to waste
0.00%:  far
0.00%:  worked with a real stat
0.00%:  said it was what a fake
0.00%:  is so awful and
0.00%:  said it was fake but we
0.00%:  said it was fake but we all
0.00%:  ran off with a real statue and a
0.00%:  has it fr
0.00%:  has a statue park and it
0.00%:  is a friend who talks
0.00%:  and all his statue
0.00%:  was in the park after all
0.00%:  has put an ad
0.00%:  is better at friend
0.00%:  said there was a law
0.00%:  said there was a law about
0.00%:  draws a statue for
0.00%:  and the real statue
0.00%:  and the real statue are
0.00%:  was an awful friend the
0.00%:  was able to find a real life stat
0.00%:  found a stat
0.00%:  is upset and
0.00%:  went for
0.00%:  went for a
0.01%:  went for a walk and saw
0.00%:  went for a walk and saw a real
0.00%:  went for a walk and saw this
0.00%:  went for a walk and saw it
0.00%:  went for a walk with
0.00%:  went for a walk while
0.00%:  went for a walk and was
0.00%:  went for a walk and left
0.00%:  went for a walk and this
0.00%:  went for a walk and this was
0.00%:  went for a walk with a
0.00%:  went for a walk with a friend
0.00%:  went for a walk after
0.00%:  went for a walk with a real
0.00%:  went for a walk and he
0.00%:  went for a walk and saw a real life
0.00%:  went for a walk and he saw
0.00%:  went for a walk and this was all
0.00%:  went for a walk and we
0.00%:  went for a walk and saw a statue he
0.00%:  went for a walk and was able
0.00%:  went for a walk and he saw a
0.00%:  went for a walk and built
0.00%:  went for a walk and is
0.00%:  went for a walk and built a
0.00%:  went for a walk and left this
0.00%:  is an awful friend: please
0.00%:  went off and built a real
0.00%:  is a statue of what we all knew and
0.00%:  was here and all
0.00%:  has a real artist
0.00%:  found it in a park a
0.00%:  is also here
0.00%:  has paid an artist a lot
0.00%:  has a new statue in
0.00%:  is the real life
0.00%:  is the real life statue of
0.00%:  is the real life statue and
0.00%:  is rad
0.00%:  has a deep
0.00%:  is a real statue now:
0.00%:  was a statue while we
0.00%:  said it best
0.00%:  has fallen asleep at work and
0.00%:  beat the stuff
0.00%:  wins the award for best final
0.00%:  has drawn a statue of a real
0.00%:  has a new statue idea:
0.00%:  is an awful friend: that
0.00%:  wins the award for best pal
0.00%:  is an ideal
0.00%:  was stab
0.00%:  has now taken
0.00%:  ruined the
0.00%:  is awful and so
0.00%:  fell asleep and that was a
0.00%:  knew what a real statue was: a real
0.00%:  learn
0.00%:  learns about
0.00%:  is a statue and will be
0.00%:  saw it and he wasn
0.00%:  and his wife are freak
0.00%:  built it and left
0.00%:  and his wife were at
0.00%:  was able to draw a real
0.00%:  was able to draw a real statue while
0.00%:  threw a statue in a lake and we
0.00%:  threw a statue in a lake and we all
0.00%:  asked if it was real after
0.00%: : friend
0.00%:  pulls
0.00%:  wanted a statue a
0.00%:  has taken our friend
0.00%:  will want to talk
0.00%:  said it was awful for
0.00%:  threw a statue like
0.00%:  saw the statue earlier
0.00%:  drew this at
0.00%:  was a little hard on us
0.00%:  left his
0.00%:  sold
0.00%:  was able to find a fre
0.00%:  is a statue of what we all were
0.00%:  is a statue of what we all were afraid
0.00%:  wanted this in
0.00%:  asked for a real statue in
0.00%:  failed his
0.00%:  wanted a real life statue of a
0.00%:  found a real artist with
0.00%:  is the real artist of
0.00%:  sure wanted
0.00%:  saw it in a park and was all
0.00%:  was at it
0.00%:  paid an artist a week
0.00%:  wanted a statue for his wife
0.00%:  was in the area and felt
0.00%:  owns it
0.00%:  was a friend of a statue
0.00%:  was a statue and when
0.00%:  laid waste
0.00%:  put in a bad
0.00%:  has not been
0.00%:  will be a statue of what a
0.00%:  will be a statue of what a friend
0.00%:  will be a statue of what a real
0.00%:  found it in the park:
0.00%: : we are all
0.00%:  said it was the u
0.00%:  is a fine statue and
0.00%:  is a fine statue and a
0.00%:  will also be a statue here
0.00%:  knows it
0.00%:  swears we
0.00%:  has like a statue
0.00%:  walked off
0.00%:  paid an artist a full week
0.00%:  has paid for a real statue at
0.00%:  has a point after
0.00%:  walked into a wall
0.00%:  had a new
0.00%:  had a new statue of
0.00%:  asked for a statue when
0.00%:  had fun
0.00%:  fell down a
0.00%:  paid for it after last
0.00%:  has taken an artist
0.00%:  wanted a statue like a
0.00%:  wanted a statue like a real
0.00%:  was an artist before all
0.00%:  is a fake friend but
0.00%:  was a real friend who put
0.00%:  is an awful friend who walks
0.00%:  is awful and he was
0.00%:  will stab
0.00%:  wanted one with a
0.00%:  was a little pe
0.00%:  is a real awful person
0.00%:  shaped a statue for
0.00%:  paid an artist a half
0.00%:  paid a real artist who was
0.00%:  saw it at a friend
0.00%:  wants a refund for all this
0.00%:  was able to find a statue in a park here
0.00%:  was refer
0.00%:  built it and he was all
0.00%:  wanted a statue of a frank
0.00%:  hired a statue to
0.00%:  asked for a real statue when
0.00%:  built it as a dare
0.00%:  said it was for a park
0.00%:  was able to find an awful
0.00%:  is unfair
0.00%:  hates all
0.00%:  spent all week and
0.00%:  stands here
0.00%:  was a real pal for
0.00%:  is a statue of what a fake
0.00%:  will hate it and
0.00%:  is no
0.00%:  is no friend
0.00%:  shall
0.00%:  has a few ideas for a better
0.00%:  is a real statue and if he
0.00%:  will be real
0.00%:  was an old
0.00%:  has a statue of a bad
0.00%:  was an awful friend that was
0.00%:  has an idea for a statue in
0.00%:  is a worse friend than all
0.00%:  found a real life stat
0.00%:  has been paid well to
0.00%:  is awful and has been
0.00%:  was a fake news
0.00%:  was unable to take
0.00%:  was unable to take a
0.00%:  has paid for a li
0.00%:  was the real statue and all
0.00%:  woke up with
0.00%:  woke up with a
0.00%:  was a real friend in
0.00%:  was a real friend in that
0.00%:  is a real friend when
0.00%:  there is
0.00%:  walked a
0.00%:  said stat
0.00%:  around
0.00%:  draws as
0.00%:  was a fine friend but he was a
0.00%:  also saw
0.00%:  is stalk
0.00%:  phot
0.00%:  found it in a park where we
0.00%:  here would
0.00%:  paid an artist who was a
0.00%:  paid an artist who was a real
0.00%:  has an un
0.00%:  said it was after
0.00%:  set it up when
0.00%:  said it was up
0.00%:  was inside the
0.00%:  said it was part of the
0.00%:  is an awful friend at heart
0.00%:  also said that after
0.00%:  here is an artist and we
0.00%:  was the winner for
0.00%:  left with
0.00%:  was a real person
0.00%:  talked a
0.00%:  drew that in like
0.00%:  has a few ideas on
0.00%:  wasted all his talent
0.00%: : that is awful
0.00%:  has a new friend: a statue of a bear
0.00%:  has been at it for a
0.00%:  has been at it for a week
0.00%:  has been at it for a week and
0.00%:  has been at it for a week and a
0.00%:  has freak
0.00%:  paid for the statue in a
0.00%:  draws with
0.00%:  is what it
0.00%:  is an awful artist and we hate
0.00%:  found it in the park after a
0.00%:  has a new idea about
0.00%:  kept it
0.00%:  wanted it this
0.00%:  beat up a friend for
0.00%:  saw a statue of a
0.00%:  was pushed
0.00%:  and his wife are at a
0.00%:  is a friend after all:
0.00%:  wants a new statue
0.00%:  was so taken
0.00%:  and others are
0.00%:  said there was an art
0.00%:  has put in all
0.00%:  has a few of
0.00%:  was last
0.00%:  drew it:
0.00%:  has a statue in front
0.00%:  used a little
0.00%:  said that was like a
0.00%:  drew it after he was upset
0.00%:  here is a statue fan and
0.00%:  asked for a statue in the
0.00%:  said to take a
0.00%:  won an
0.02%:  won an award
0.01%:  won an art award
0.00%:  won an art award with
0.00%:  won an award with
0.00%:  is un
0.00%:  paid for it after we all saw the
0.00%:  was a true friend while
0.00%:  had a pl
0.00%:  has a real statue for a
0.00%:  was naked
0.00%:  asks that we
0.00%:  asks that we all
0.00%:  said it was a pr
0.00%:  said it was a prank but
0.00%:  said it was a prank but he
0.00%:  writes and
0.00%:  stared at this for a few
0.00%:  spent a full half
0.00%:  here was a little unfair
0.00%:  was frank
0.00%:  is a fan of what
0.00%:  knew ahead
0.00%:  drew it at work
0.00%:  sure was a pain
0.00%: : he
0.00%: : he was
0.00%: : he was a
0.00%:  also left
0.00%:  spent a full week hand
0.00%:  was a real statue of a
0.01%:  was a real statue of a friend
0.00%:  is a statue and there
0.00%:  has taken it all
0.00%:  was a fine statue and a
0.00%:  put this in after
0.00%:  wins hands
0.00%:  here was a real pal and
0.00%:  had it taken after we
0.00%:  found it after a
0.00%:  baked that
0.00%:  wanted a real statue for all
0.00%:  saw it last week when
0.00%:  asked for a statue with real
0.00%:  has put it in a
0.00%:  spent a week and a half after our
0.00%:  spent a week and a half after our last
0.00%:  was talk
0.00%:  take this
0.00%:  was a statue here
0.00%:  has a real statue friend
0.00%:  was part of a statue
0.00%:  is an awful friend what
0.00%:  has taken up a new art
0.00%:  here is a statue of a din
0.00%:  built it when we
0.00%:  sure was a friend to
0.00%:  went all out with
0.00%:  is sure
0.00%:  flaw
0.00%:  has put a fake
0.00%:  is bad at fake
0.00%:  warned us that if we let
0.00%:  and his wife are all
0.00%:  where
0.00%:  is a fake statue and all
0.00%:  works as
0.00%:  blew up all the stat
0.00%:  has a friend of a
0.00%:  is t
0.01%:  is taller and
0.00%:  is taller and has
0.00%:  is taller and has a
0.00%:  is taller and has fewer
0.00%:  is taller and better
0.00%:  is taller and has better
0.00%:  saw it on a
0.00%:  saw it on a walk
0.00%:  saw it on a walk and
0.00%:  paid for a new
0.00%:  paid for a new statue after
0.00%:  was able to trap
0.00%:  paid for a statue li
0.00%:  was a statue for a while after all
0.00%:  loan
0.00%:  fell in
0.00%:  has a true
0.00%:  has a true artist
0.00%:  paid for it as well
0.00%:  paid for it as well as
0.00%:  is a bust
0.00%:  blew his
0.00%:  drew that one
0.00%:  was hard on
0.00%:  stared at it for half
0.00%:  has left for a
0.00%:  drew us
0.00%:  is afraid of stat
0.00%:  was our artist and we
0.00%:  was a true friend who was able
0.00%:  wanted a statue of his real life pal
0.00%:  wins this debate
0.00%:  was able to spend a
0.00%:  was able to spend a few
0.00%:  was a statue for a bit and
0.00%:  buried a
0.00%:  here was able to draw a
0.00%:  here was able to draw a statue
0.00%:  wins the round
0.00%:  wins the award for all
0.00%:  wanted a statue for a park he
0.00%:  wears that
0.00%: : a statue with
0.00%: : a statue with a
0.00%:  was like a statue when
0.00%:  will also be a statue in
0.00%:  is stuff
0.00%:  paid an artist ten
0.00%:  was a statue for like three
0.00%:  was a real treat
0.00%:  bu
0.00%:  wanted to paint a
0.00%:  worked a little bit
0.00%:  is a bad statue for
0.00%:  with all
0.00%:  talks and
0.00%:  has also put
0.00%:  drew it real fast when
