YOU WANNA COME OVER AND WATCH A MOVIE OR WHAT
      0 100.00%: 
      1 44.13%:  I
    696 0.27%:  I NEED YOU TO T
    697 0.27%:  CAN I HAVE THAT
    698 0.27%:  DO YOU WANT TO W
    699 0.27%:  WITH
    700 0.62%:  WITH THE
    701 0.27%:  I DO NOT CARE WH
    702 1.14%:  I DO NOT CARE WHAT YOU HAVE
    703 1.03%:  I DO NOT CARE WHAT YOU OR
    704 0.63%:  I DO NOT CARE WHAT YOUR
    705 0.68%:  I DO NOT CARE WHAT YOUR NAME ME
    706 0.58%:  I DO NOT CARE WHAT YOU C
    707 0.38%:  I DO NOT CARE WHAT YOU WE
    708 0.34%:  I DO NOT CARE WHAT YOU HAVE ON
    709 0.27%:  I DO NOT CARE WHAT YOUR NAME W
    710 0.27%:  CAN I EAT YOU AND
    711 0.27%:  I AM T
    712 0.27%:  CAN YOU COME OVER H
    713 0.27%:  CAN I COME OVER AND EAT AT
    714 0.27%:  YOU HAVE NO IDEA HOW A
    715 0.27%:  COME HERE I WANT TO OR
    716 0.27%:  I DO NOT CARE WHAT YOUR NAME H
    717 0.27%:  I WANNA EAT YOUR NAME AT
    718 0.27%:  WHAT ARE THE
    719 0.27%:  CAN YOU HE
    720 1.49%:  CAN YOU HEAR THE
    721 1.30%:  CAN YOU HEAR THAT
    722 0.26%:  CAN I HAVE THAT ONE
    723 0.26%:  I HAD NO C
    724 0.26%:  DO YOU WANT TO HAVE AN
    725 0.26%:  I WANT TO EN
    726 0.26%:  I NEED TO OR
    727 0.26%:  HAVE YOU EVER TH
    728 0.26%:  CAN I EAT THE
    729 0.26%:  HOW DO WE
    730 0.26%:  NOW THAT
    731 0.26%:  CAN I COME AND
    732 0.28%:  CAN I COME AND EAT YOU
    733 0.26%:  COME HERE AND CO
    734 0.26%:  THAT ONE CO
    735 0.26%:  I AM HERE TO EAT H
    736 0.26%:  I WANNA EAT YOUR NAME R
    737 0.26%:  I NEED TO HE
    738 1.08%:  I NEED TO HEAR YOUR
    739 0.31%:  I NEED TO HEAR MO
    740 0.26%:  I WANT TO W
    741 0.26%:  DO I EVER WANT YOU
    742 0.26%:  I NEED YOU TO HAVE
    743 0.26%:  WHAT A TIME
    744 0.26%:  I WANNA EAT THE HAM
    745 0.26%:  CAN I COME TO
    746 0.70%:  CAN I COME TO YOUR
    747 0.33%:  CAN I COME TO YOUR W
    748 0.26%:  DAN
    749 0.26%:  I NEED TO EAT MY O
    750 0.26%:  CAN I NOT
    751 0.26%:  I HERE
    752 0.25%:  WE ARE MA
    753 0.25%:  COME HERE AND YOU
    754 0.59%:  COME HERE AND YOU CAN
    755 0.25%:  I AM MO
    756 2.09%:  I AM MORE THAN READ
    757 0.39%:  I AM MORE THAN H
    758 0.25%:  I NEED TO RE
    759 0.25%:  I WANNA EAT YOU HAM
    760 0.25%:  YOU CAN CO
    761 7.46%:  YOU CAN COME OVER AND
    762 4.35%:  YOU CAN COME OVER AND WE
    763 2.06%:  YOU CAN COME OVER AND HAVE
    764 1.15%:  YOU CAN COME OVER TO
    765 1.03%:  YOU CAN COME OVER AND E
    766 0.91%:  YOU CAN COME OVER AND EAT WITH
    767 0.84%:  YOU CAN COME OVER T
    768 1.36%:  YOU CAN COME OVER TON
    769 0.77%:  YOU CAN COME OVER AND EAT H
    770 0.72%:  YOU CAN COME OVER AND MA
    771 0.71%:  YOU CAN COME OVER AND W
    772 0.71%:  YOU CAN COME OVER AND WE W
    773 0.48%:  YOU CAN COME OVER AND H
    774 0.47%:  YOU CAN COME OVER AND I
    775 0.41%:  YOU CAN COME OVER H
    776 0.37%:  YOU CAN COME OVER AND EAT WH
    777 0.38%:  YOU CAN COME OVER AND EAT WHAT I
    778 0.35%:  YOU CAN COME OVER AND EAT IT
    779 0.33%:  YOU CAN COME OVER AND I WON
    780 0.30%:  YOU CAN COME OVER AND HAVE A
    781 0.27%:  YOU CAN COME OVER WH
    782 0.27%:  YOU CAN COME OVER R
    783 0.25%:  CAN WE MA
    784 0.25%:  DO YOU WANT TO COME OVER HER
    785 0.25%:  HAVE I MET THE CO
    786 0.25%:  T
    787 0.25%:  HOW CAN
    788 0.82%:  HOW CAN YOU
    789 0.28%:  HOW CAN I NOT
    790 0.25%:  CAN I COME OVER AND HE
    791 0.25%:  ARE WE IN
    792 0.25%:  I ATE YOUR N
    793 0.42%:  I ATE YOUR NAME AND
    794 0.25%:  I WANNA EAT AT YOU
    795 0.25%:  I MADE THAT ONE
    796 0.25%:  WHEN I MEET HAM
    797 0.25%:  CAN I COME OVER AND T
    798 0.25%:  WHEN D
    799 0.25%:  ME
    800 0.25%:  HAVE YOU EVER CON
    801 0.25%:  I WANNA EAT E
    802 0.25%:  I WANT TO HAVE A H
    803 0.25%:  YOU WANT TO COME OVER AND CHE
    804 0.24%:  CAN I HAVE YOU
    805 0.24%:  I WANT YOU AND ME TO HAVE CH
    806 0.24%:  CAN HAVE IT
    807 0.24%:  CAN I COME OVER AND EAT WH
    808 0.66%:  CAN I COME OVER AND EAT WHAT YOU MA
    809 0.24%:  MAMA
    810 0.24%:  DO I EVER WANT TO HEAR AN
    811 0.24%:  I HAVE RE
    812 0.24%:  I NEED YOUR NAME ON THAT
    813 0.24%:  I WANNA EAT HER AND TH
    814 0.24%:  I WANNA M
    815 0.24%:  YOU WANT TO COME OVER AND HAVE H
    816 0.24%:  I WANT YOU TO ME
    817 0.24%:  I WANT TO CH
    818 0.24%:  I WANT E
    819 0.24%:  I CAN H
    820 0.24%:  YOU WANT TO COME OVER H
    821 0.24%:  YOU WANT TO COME HOME AND HAVE A
    822 0.24%:  CAN I COME OVER AND EAT YOU R
    823 0.24%:  HAVE YOU EVER HAD A MO
    824 0.24%:  I AM TR
    825 0.24%:  CAR
    826 0.24%:  I NEED A H
    827 0.24%:  I AM A H
    828 0.24%:  WE NEED TO R
    829 0.24%:  DO YOU WANT TO COME OVER A
    830 0.24%:  ARE YOU R
    831 0.24%:  WE NEED TO CH
    832 0.24%:  HAVE I EVER HAD MO
    833 0.24%:  MADE
    834 0.24%:  I AM TH
    835 0.24%:  I WANNA TR
    836 0.24%:  WE ARE T
    837 0.24%:  COME HERE AND T
    838 0.24%:  I WANT TO CHE
    839 0.53%:  I WANT TO CHEW ON YOUR
    840 0.29%:  I WANT TO CHEW ON YOU AND
    841 0.24%:  I WANNA EAT YOU ON
    842 0.24%:  I WANNA EAT YOU O
    843 0.24%:  I AM HERE TO EAT YOU AND
    844 0.23%:  I AM NOT EV
    845 0.31%:  I AM NOT EVEN M
    846 0.73%:  I AM NOT EVEN MAD AT
    847 0.24%:  I AM NOT EVEN A
    848 0.23%:  WHAT D
    849 0.23%:  I WANT TO HEAR E
    850 0.23%:  I NEED YOU TO COME H
    851 0.23%:  I AM THE H
    852 0.23%:  I CAN T
    853 0.23%:  I WANT YOUR NAME CH
    854 0.23%:  YOU AND I NE
    855 0.23%:  I AM MORE THAN W
    856 0.23%:  HAVE YOU EVER HAD A N
    857 0.23%:  I NEED ONE
    858 0.23%:  I HATE YOU NOT
    859 0.23%:  CAN I COME OVER AND EAT AT YOUR H
    860 0.23%:  I DO NOT CARE HOW M
    861 0.38%:  I DO NOT CARE HOW MUCH WE
    862 0.23%:  CAN I HAVE ONE MORE CH
    863 0.23%:  YOU WANT TO HAVE CH
    864 0.23%:  I WANT YOU ON THE
    865 0.23%:  ARE YOU TH
    866 0.23%:  CAN I COME OVER TO YOUR A
    867 0.23%:  CAN I OR
    868 0.23%:  I WANNA EAT YOU AND WE
    869 0.23%:  HAVE YOU NOT
    870 0.23%:  YOU AND I HAVE A
    871 0.23%:  HAVE YOU EVER D
    872 0.23%:  I HAVE AN
    873 0.23%:  I DO NOT CARE WHAT YOU MA
    874 0.23%:  HOW ARE YOU T
    875 0.23%:  WHEN YOU ME
    876 0.23%:  COME HO
    877 0.23%:  HAVE YOU COME TO EAT H
    878 0.23%:  YOUR NAME H
    879 0.23%:  ARE YOU INTO
    880 0.22%:  I WANT HER AND
    881 0.29%:  I WANT HER AND HER N
    882 0.67%:  I WANT HER AND HER NAME TO
    883 0.22%:  HAVE I MET THE MO
    884 0.22%:  CAN I COME OVER AND EAT YOUR W
    885 0.22%:  AM
    886 0.22%:  I WANT YOUR ME
    887 0.22%:  I CAN MA
    888 0.22%:  I AM C
    889 0.22%:  I WANNA EAT YOU E
    890 0.22%:  DO YOU WANNA COME OVER H
    891 0.22%:  I WANT YOUR NAME TO CO
    892 0.22%:  ARE YOU ON
    893 0.27%:  ARE YOU ON THE
    894 0.22%:  CAN I HAVE THE ME
    895 0.22%:  I WANT T
    896 0.22%:  I HAVE TO HAVE YOU
    897 0.22%:  CAN I COME TO THE
    898 0.22%:  I MADE THE
    899 0.22%:  I NEED YOU TO C
    900 0.22%:  HAVE YOU H
    901 0.44%:  HAVE YOU HAD ONE
    902 0.39%:  HAVE YOU HAD A
    903 0.22%:  I WANT ME
    904 0.22%:  CAN I COME OVER AND EAT YOUR T
    905 0.22%:  HERE I AM
    906 0.22%:  I WANT YOU AND ME TO MA
    907 0.22%:  I WANT YOU TO COME OVER ONE
    908 0.22%:  WATCH ME E
    909 0.22%:  YOU AND ME HAVE
    910 0.22%:  I WANNA EAT YOU ON THE
    911 0.22%:  I AM YOUR NEW
    912 0.22%:  I AM NOT EVEN MAD AT YOU R
    913 0.22%:  ARE YOU C
    914 0.21%:  WO
    915 0.21%:  CAN YOU HIT
    916 0.21%:  I HEAR YOU
    917 0.22%:  I HEAR YOU CAN
    918 0.21%:  COME HERE R
    919 0.21%:  CAN I COME OVER AND WE W
    920 0.21%:  HOW AM
    921 0.21%:  NOW WE CAN
    922 0.21%:  CAN I HAND
    923 0.21%:  YOU AND ME WE
    924 0.21%:  DO I EVER WANT TO HEAR A W
    925 0.21%:  DONE
    926 0.21%:  DO I EVER WANT TO HEAR A C
    927 0.21%:  WE ARE DE
    928 0.21%:  YOU WANT TO COME OVER AND HAVE A CH
    929 0.21%:  YOU CAN E
    930 0.29%:  YOU CAN EAT ME
    931 0.21%:  I AM CON
    932 0.21%:  CAN I COME A
    933 0.21%:  I WANT YOU TO COME HOME AND HAVE
    934 0.21%:  CAN YOU COME WITH ME ON
    935 0.21%:  WERE
    936 0.21%:  YOU AND I ARE THE
    937 0.21%:  ARE YOU T
    938 0.21%:  I NEED THE
    939 0.21%:  DO YOU WANT ME TO E
    940 0.21%:  HAVE I MET ONE
    941 0.21%:  I HAD ONE
    942 0.21%:  DO YOU WANT ME TO CO
    943 0.21%:  CAN YOU COME OVER AND E
    944 0.47%:  CAN YOU COME OVER AND EAT WITH
    945 0.21%:  NOW I HAVE
    946 0.21%:  DO YOU WANT TO COME H
    947 0.21%:  HOW ARE YOU NOT
    948 0.21%:  I HATE TO
    949 0.21%:  CAN I HAVE ONE THAT
    950 0.21%:  CAN I HAND YOU
    951 0.21%:  HAVE I NOT
    952 0.21%:  ONE
    953 0.21%:  I HAVE MADE THE
    954 0.21%:  YOU CAN COME OVER AND EAT A
    955 0.21%:  I WANNA EAT YOUR NAME WH
    956 0.21%:  YOU WON
    957 0.21%:  DO I EVER WANT YOUR
    958 0.21%:  I DO NOT EV
    959 1.54%:  I DO NOT EVEN CARE A
    960 0.23%:  I DO NOT EVEN CARE WH
    961 1.07%:  I DO NOT EVEN CARE WHAT YOU OR
    962 0.61%:  I DO NOT EVEN CARE WHAT YOUR
    963 0.49%:  I DO NOT EVEN CARE WHAT YOUR N
    964 0.33%:  I DO NOT EVEN CARE WHAT YOU MA
    965 0.23%:  I DO NOT EVEN E
    966 0.21%:  DO I EVER WANT TO HAVE A CON
    967 0.21%:  I WANT YOU TO COME E
    968 0.21%:  CAN YOU COME WITH ME TO A RE
    969 0.21%:  I WANNA EAT YOU AT
    970 0.21%:  I HAVE CH
    971 0.20%:  DO YOU WANT TO HEAR MO
    972 0.20%:  CAN I EAT AT
    973 0.68%:  CAN I EAT AT YOUR HO
    974 0.20%:  CAN I HAVE A CO
    975 0.20%:  CAN I COME ON
    976 0.20%:  I WANT YOU TO COME OVER AND HO
    977 0.20%:  I WANNA EAT YOU AND H
    978 0.20%:  YOU WANT TO H
    979 0.20%:  YOU ARE ONE
    980 0.20%:  I NEED TO EAT MO
    981 0.20%:  I WANT YOU TO COME OVER AND R
    982 0.20%:  I NEED YOU ON
    983 0.20%:  I WANT TO HEAR YOU
    984 0.20%:  MAN
    985 0.20%:  YOU HAVE THE N
    986 0.60%:  YOU HAVE THE NAME AND
    987 0.43%:  YOU HAVE THE NAME I
    988 0.20%:  WATCH OUT I
    989 0.20%:  WANT TO HAVE
    990 0.20%:  CAN YOU COME WITH ME T
    991 0.20%:  I AM DO
    992 0.20%:  HAVE WE MET AT
    993 0.20%:  I AM HERE TO EAT AND
    994 0.20%:  I CAN NOT
    995 0.20%:  MY
    996 0.20%:  CAN I COME OVER AND HAVE THAT
    997 0.20%:  I WANNA EAT YOU AND EAT E
    998 0.20%:  COME HERE I AM YOUR
    999 0.20%:  I WANT YOU T
   1000 0.20%:  HOW COME WE
   1001 0.20%:  CAN YOU HEAR THAT I
   1002 0.20%:  I HATE YOU AND
   1003 0.20%:  COME HERE I CAN
   1004 0.20%:  I WANNA EAT HER AND E
   1005 0.20%:  CAN I HAVE YOUR NAME ON
   1006 0.20%:  HOW DO YOU NOT HAVE
   1007 0.20%:  I WANNA EAT YOU AND WH
   1008 0.20%:  HAVE I MET YOU OR
   1009 0.20%:  ARE YOU IN THE
   1010 0.20%:  I WANT YOU E
   1011 0.20%:  DO YOU RE
   1012 0.20%:  I WANT TO HEAR MO
   1013 0.20%:  I WANT TO READ
   1014 0.30%:  I WANT TO READ YOUR
   1015 0.20%:  YOU CAN COME OVER AND HAVE A H
   1016 0.20%:  I DO NOT CARE HOW MANY
   1017 0.20%:  I WANT YOU TO H
   1018 0.20%:  I NEED TO HAVE YOUR
   1019 0.20%:  CAN I COME OVER AND EAT YOU ON
   1020 0.20%:  I WANT YOU TO HAVE E
   1021 0.19%:  COME HERE AND MA
   1022 0.19%:  COME HERE I WANT TO D
   1023 0.19%:  YOU WANT TO COME OVER AND HAVE A CO
   1024 0.19%:  I WANT YOU TO COME OVER AND HAVE AN
   1025 0.19%:  ARE YOU HERE WITH
   1026 0.19%:  COME HERE I WANT TO M
   1027 0.19%:  CAN I HAVE A DR
   1028 0.19%:  I WANT WH
   1029 0.34%:  I WANT WHAT YOU HAVE
   1030 0.19%:  I MADE OUT
   1031 0.19%:  DO YOU WANT TO COME OVER WHEN I MA
   1032 0.19%:  DO I EVER WANT TO RE
   1033 0.19%:  YOU WANT A H
   1034 0.19%:  I AM NOT HERE
   1035 0.19%:  CAN YOU COME OVER AND HAVE A
   1036 0.19%:  WE NEED TO HIT
   1037 0.19%:  I WANT YOU H
   1038 0.19%:  WATCH ME EAT H
   1039 0.19%:  CAN YOU COME OVER AND WE W
   1040 0.19%:  CAN I COME OVER AND HEAR
   1041 0.19%:  HAVE I EVER T
   1042 0.19%:  I WANT YOU TO COME H
   1043 0.19%:  WHY DO
   1044 0.19%:  ARE YOU HERE TO D
   1045 0.19%:  DO I EVER WANT TO HEAR AH
   1046 0.19%:  DO YOU HAVE A
   1047 0.19%:  YOU AND ME WE CAN
   1048 0.19%:  I DO NOT CARE WHAT YOU E
   1049 0.19%:  I WANT YOU TO COME HOO
   1050 0.19%:  I WANT YOU TO COME OVER AND HAVE H
   1051 0.19%:  I WANT TO CHEW YOUR
   1052 0.19%:  I NEED TO EAT NO
   1053 0.19%:  IT W
   1054 0.19%:  CAN I COME OVER AND RE
   1055 0.19%:  I WANNA HAVE H
   1056 0.29%:  I WANNA HAVE HER
   1057 0.19%:  HAVE YOU COME IN
   1058 0.19%:  THEY
   1059 0.19%:  DO I EV
   1060 0.69%:  DO I EVEN HAVE
   1061 0.31%:  DO I EVEN RE
   1062 0.19%:  I WANNA EAT YOU AND EACH
   1063 0.19%:  I WANT YOU TO COME OVER AND CHE
   1064 0.19%:  I AM HERE TO MA
   1065 0.19%:  I AM YOUR D
   1066 0.19%:  DO YOU WANT TO C
   1067 0.19%:  I NEED TO CO
   1068 0.19%:  EAT THE
   1069 0.19%:  CAN YOU HEAR ME RO
   1070 0.19%:  I WANNA EAT WH
   1071 0.38%:  I WANNA EAT WHAT YOU HAVE
   1072 0.30%:  I WANNA EAT WHAT YOU ARE
   1073 0.29%:  I WANNA EAT WHAT YOU E
   1074 0.20%:  I WANNA EAT WHAT YOU CAN
   1075 0.19%:  I HAVE CO
   1076 0.25%:  I HAVE COME TO THE
   1077 0.40%:  I HAVE COME TO THE CON
   1078 0.19%:  WHO
   1079 0.19%:  I NEED TO EAT YOUR H
   1080 0.19%:  DO I EVER WANT TO COME
   1081 0.19%:  COME HERE I WANT YOU AND
   1082 0.19%:  YOU AND ME CAN HAVE
   1083 0.18%:  I WANNA DATE YOU R
   1084 0.18%:  ARE YOU W
   1085 0.18%:  I AM TO
   1086 0.18%:  WE CAN T
   1087 0.18%:  HAVE YOU HAD E
   1088 0.18%:  DO I EVER WANT TO HEAR YOU A
   1089 0.18%:  I WANT YOU TO COME HOW
   1090 0.18%:  WE ARE ME
   1091 0.18%:  I WANT YOUR NAME NO
   1092 0.18%:  WHEN YOU ARE N
   1093 0.18%:  WHAT YOU DO
   1094 0.18%:  ARE YOU HERE TO MA
   1095 0.18%:  CAN YOU RE
   1096 0.18%:  DO I EVER WANT TO HEAR YOU WH
   1097 0.18%:  I NEED TO H
   1098 0.18%:  HAVE WE MET IN
   1099 0.18%:  YOU WANT TO COME OVER ON
   1100 0.18%:  I AM HE
   1101 0.29%:  I AM HEAD OVER H
   1102 0.18%:  HUN
   1103 0.18%:  CAN I COME OUT
   1104 0.18%:  YOU WANT TO COME OVER AND WE CO
   1105 0.18%:  I WANT YOU TO COME OVER AND MO
   1106 0.18%:  I WANNA EAT YOUR ME
   1107 0.18%:  YOU WANT TO E
   1108 0.18%:  I WANT YOU AND ME TO HAVE A
   1109 0.18%:  I DO NOT CARE WHAT YOU N
   1110 0.20%:  I DO NOT CARE WHAT YOU NAME ME
   1111 0.18%:  CAN YOU DO
   1112 0.18%:  IM NOT
   1113 0.18%:  I DO NOT CARE WHAT YOU ARE
   1114 0.18%:  CAN YOU HEAR THAT ONE
   1115 0.18%:  WHAT ARE YOUR
   1116 0.18%:  I WANNA EAT HER AND H
   1117 0.18%:  I WANT TO HAVE YOUR H
   1118 0.18%:  I NEED YOU TO E
   1119 0.18%:  DO YOU WANT TO CH
   1120 0.18%:  ARE YOU HAND
   1121 0.18%:  CAN I HAVE YOUR NAME ON A TAT
   1122 0.18%:  COME HERE I WANT YOU TO CO
   1123 0.18%:  YOU DO
   1124 0.18%:  I NEED TO HAVE A CON
   1125 0.18%:  DAM
   1126 0.18%:  HAVE YOU T
   1127 0.18%:  I DO NOT CARE WHAT YOU W
   1128 0.18%:  I WANT YOU TO COME HOME AND CO
   1129 0.18%:  I AM NOT EVEN H
   1130 0.18%:  HOW ARE YOU THAT
   1131 0.18%:  I HAVE MY
   1132 0.18%:  YOU WERE MADE TO OR
   1133 0.18%:  I HAVE HAD E
   1134 0.18%:  I WORE MY
   1135 0.18%:  I WANT TO HAVE HER AND
   1136 0.17%:  ARE YOU THAT
   1137 0.17%:  I AM THE MO
   1138 0.17%:  I DO NOT CARE HOW YOU
   1139 0.17%:  YOU CAN COME OVER AND ME
   1140 0.17%:  I AM HERE TO EAT YOUR H
   1141 0.17%:  I AM THE HUN
   1142 0.17%:  IN THE HO
   1143 0.17%:  ARE YOU INTO ME
   1144 0.17%:  WITH A
   1145 0.17%:  CAN I HAVE T
   1146 0.17%:  CAN I COME OVER AND EAT YOU T
   1147 0.17%:  YOU WANT TO COME OVER AND I HAVE
   1148 0.17%:  I NEED YOU TO COME TO
   1149 0.17%:  HOW DO WE NOT
   1150 0.17%:  I WANT YOU TO M
   1151 0.17%:  YOU AND I ARE MA
   1152 0.17%:  I WANNA EAT YOU AND HERE
   1153 0.17%:  CAN YOU COME OVER AND EAT H
   1154 0.17%:  I MADE A H
   1155 0.17%:  HOW COME YOU D
   1156 0.17%:  I DO NOT EVEN HAVE
   1157 0.17%:  COME HARD WITH
   1158 0.17%:  YOU NE
   1159 0.17%:  CAN I COME AND EAT YOUR
   1160 0.17%:  HOW DO YOU E
   1161 0.17%:  I ATE YOUR NAME AND NO
   1162 0.17%:  WANT A
   1163 0.17%:  I AM NE
   1164 0.17%:  CAN YOU COME OVER R
   1165 0.17%:  YOU HAVE TO E
   1166 0.20%:  YOU HAVE TO EAT E
   1167 0.17%:  I CAN E
   1168 0.29%:  I CAN EAT YOU
   1169 0.17%:  I CAN EAT YOUR
   1170 0.17%:  I WANNA EAT YOU TH
   1171 0.17%:  COME AND
   1172 0.17%:  DO YOU WANT ME TO HAVE
   1173 0.17%:  I NEED ME
   1174 0.17%:  I NEED TO HAVE A H
   1175 0.17%:  I WANT YOUR NAME AND E
   1176 0.17%:  CAN I COME R
   1177 0.17%:  HAVE I THE
   1178 0.17%:  YOU CAN COME OVER AND EAT AT
   1179 0.17%:  CAN I HAVE H
   1180 0.19%:  CAN I HAVE HER
   1181 0.17%:  CAN I TR
   1182 0.17%:  HAVE M
   1183 0.17%:  CAN I COME AND EAT THE
   1184 0.17%:  WANT E
   1185 0.17%:  CAN I EAT YOU R
   1186 0.17%:  WHY THE
   1187 0.17%:  I AM NOT TO
   1188 0.17%:  I WANNA DATE THE
   1189 0.17%:  WHEN ARE WE H
   1190 0.17%:  DO YOU WANT TO MO
   1191 0.16%:  I WANT A CH
   1192 0.16%:  I WANT TO A
   1193 0.16%:  DO YOU WANT TO OR
   1194 0.16%:  I WANT TH
   1195 0.16%:  HAVE YOU EVER IN
   1196 0.16%:  I WANT TO COME
   1197 0.27%:  I WANT TO COME OVER AND HAVE
   1198 0.18%:  I WANT TO COME OVER AND W
   1199 0.18%:  I WANT TO COME OVER AND H
   1200 0.17%:  I WANT TO COME OVER AND HAVE A
   1201 0.16%:  I WANNA EAT YOU ON A
   1202 0.16%:  WHEN WE HAVE A
   1203 0.16%:  WHEN YOU CAN
   1204 0.16%:  I DO NOT EVEN HAVE ANY
   1205 0.16%:  HOW CAN YOU NOT NOT
   1206 0.16%:  CAN I COME OVER AND EAT YOU TOM
   1207 0.16%:  DO I EVER WANT ONE
   1208 0.16%:  HOW ARE YOU I
   1209 0.16%:  I WANNA EAT HER H
   1210 0.16%:  I WANT TO HO
   1211 0.16%:  ARE YOU ONE
   1212 0.16%:  I HAVE A RE
   1213 0.16%:  ARE YOU THE ONE
   1214 0.16%:  I ATE MY
   1215 0.16%:  YOU HAVE MA
   1216 0.42%:  YOU HAVE MADE ME
   1217 0.16%:  I HAVE A CON
   1218 0.16%:  YOU CAN COME OVER AND T
   1219 0.16%:  ARE WE RE
   1220 0.16%:  CAN I COME OVER AND EAT YOU AT
   1221 0.16%:  DO I EVEN HAVE TO A
   1222 0.16%:  HAVE YOU COME WITH ME TO
   1223 0.16%:  N
   1224 0.16%:  WHAT HAVE
   1225 1.07%:  WHAT HAVE YOU DONE TO MA
   1226 0.17%:  WHAT HAVE YOU DONE IN
   1227 0.16%:  I WANT YOU TO COME OVER AND MOVE
   1228 0.16%:  HAVE THE
   1229 0.16%:  CAN I C
   1230 0.16%:  ARE YOU TO
   1231 0.16%:  I HATE YOU NOT ONE
   1232 0.16%:  DO YOU WANNA HAVE
   1233 0.16%:  WE HAVE A CON
   1234 0.16%:  I AM HERE TO EAT YOUR N
   1235 0.16%:  I WANNA EAT HER AND HAVE
   1236 0.16%:  YOU WANT TO COME HOME AND E
   1237 0.16%:  I WANNA EAT YOUR HE
   1238 0.16%:  HAVE YOU MET THE MO
   1239 0.16%:  YOU WANT AN
   1240 0.16%:  WHAT YOU D
   1241 0.16%:  YOU AND I W
   1242 0.22%:  YOU AND I WERE
   1243 0.22%:  YOU AND I WERE MA
   1244 0.16%:  DO I EVER WANT A
   1245 0.16%:  CAN I COME OVER AND EAT Y
   1246 0.16%:  I WANNA EAT YOU HERE
   1247 0.16%:  I WANT TO CON
   1248 0.16%:  I NEED MO
   1249 0.23%:  I NEED MORE THAN A
   1250 0.16%:  I NEED MORE THAN 
   1251 0.16%:  CAN YOU NOT EV
   1252 0.16%:  YOU AND I ARE NOT
   1253 0.16%:  ARE YOU O
   1254 0.16%:  MAY
   1255 0.20%:  MAY I HAVE
   1256 0.29%:  MAY I HAVE THE
   1257 0.29%:  MAY I HAVE ONE
   1258 0.16%:  HAVE YOU COME TO THE C
   1259 0.16%:  YOU WANT TO COME OVER IN
   1260 0.16%:  YOU WANT TO COME OVER AND HAVE AN
   1261 0.16%:  I AM DE
   1262 0.16%:  CAN I A
   1263 0.16%:  COME HERE AND YOU W
   1264 0.16%:  I WANT ON
   1265 0.16%:  I WANT YOU TO RE
   1266 0.16%:  I WANNA HAVE THE
   1267 0.16%:  I WANT YOU TO COME OVER AND NE
   1268 0.16%:  I NEED YOU TO HAVE A
   1269 0.16%:  WE HAVE THE
   1270 0.16%:  CAN I COME TO YOU
   1271 0.16%:  YOU WANT ME IN
   1272 0.15%:  NOW I CAN
   1273 0.15%:  I WANNA EAT YOU HERE AND
   1274 0.15%:  I AM NOT W
   1275 0.15%:  TIME
   1276 0.15%:  I WANT YOU EAT ME
   1277 0.15%:  YOU WANT TO HE
   1278 0.15%:  NOW I HAVE A
   1279 0.15%:  I MADE THAT N
   1280 0.15%:  DO YOU WANT TO COME HOW
   1281 0.15%:  YOU RE
   1282 0.15%:  COME HERE I WANT TO HAND YOU
   1283 0.15%:  YOU CAN COME OVER AND EAT WHAT I MA
   1284 0.15%:  CAN YOU COME TO
   1285 0.15%:  I WANNA HAVE ONE
   1286 0.15%:  WATCH ME EAT A
   1287 0.15%:  CAN I COME OVER AND EAT ON
   1288 0.21%:  CAN I COME OVER AND EAT ON YOU
   1289 0.15%:  CAN I REM
   1290 0.15%:  CAN I HAND OUT
   1291 0.15%:  COME TO
   1292 0.15%:  ARE YOU N
   1293 0.15%:  I NEED YOU TO RE
   1294 0.15%:  I HAVE COME TO MY
   1295 0.15%:  I WANT YOU TO COME AND HAVE
   1296 0.15%:  I DO NOT CARE WHAT H
   1297 0.15%:  ARE YOU HOT OR
   1298 0.15%:  CAN HAVE ANY
   1299 0.15%:  I WANT YOUR NAME R
   1300 0.15%:  WHAT DO
   1301 0.32%:  WHAT DO YOU HAVE
   1302 0.16%:  WHAT DO YOU W
   1303 1.42%:  WHAT DO YOU WANT ME
   1304 0.32%:  WHAT DO YOU WANT ON
   1305 0.29%:  WHAT DO YOU WANT IN
   1306 0.15%:  WHEN I MAR
   1307 0.15%:  I WANNA EAT ME
   1308 0.15%:  WHEN YOU MEET H
   1309 0.15%:  DO I EVER WANT MY
   1310 0.15%:  YOU AND I ARE C
   1311 0.15%:  I CAN DO
   1312 0.15%:  ARE YOU HERE TO HAND
   1313 0.15%:  COME HERE I WANT TO CR
   1314 0.15%:  I WANNA EAT HER HAND
   1315 0.15%:  YOU HAVE A
   1316 0.15%:  CAN YOU HEAR IT
   1317 0.15%:  I WANT ONE AND
   1318 0.15%:  I AM NOT EVEN MAD AT H
   1319 0.15%:  HAVE I MET MY OWN H
   1320 0.15%:  HAVE I D
   1321 0.15%:  HAVE I MET YOU OR HAVE
   1322 0.15%:  YOU ARE THE ONE I
   1323 0.15%:  I WANT YOU TO COME OVER AND RA
   1324 0.15%:  I HAVE COME TO THE C
   1325 0.15%:  COME WITH ME AND WE CAN H
   1326 0.15%:  I NEED NO
   1327 0.15%:  I DO NOT HAVE
   1328 0.27%:  I DO NOT HAVE THE
   1329 0.20%:  I DO NOT HAVE ANY
   1330 0.15%:  I AM MORE THAN A
   1331 0.15%:  I WON
