hah! You sure do love your chips, JODIE FOSTER!
      0 100.00%: 
      1 234.54%:  h
   3406 8.94%:  hah! Yes you do! The
   3407 8.92%:  hah, uh! Y
   3408 42.18%:  hah, uh! YES! I
   3409 25.11%:  hah, uh! YES! I do
   3410 19.33%:  hah, uh! YES! I DO
   3411 9.20%:  hah, uh! Yep
   3412 27.15%:  hah, uh! Yep! I
   3413 17.65%:  hah, uh! Yep! I do
   3414 12.85%:  hah, uh! Yep! I sure
   3415 8.91%:  hah! Oooh! Yes, sir
   3416 8.90%:  hah! Oh, I do! Yes
   3417 8.90%:  hah! I love you, Dude
   3418 8.89%:  hah! YES I DO, yes sir
   3419 8.88%:  hah, sure do! YES! I love
   3420 13.19%:  hah, sure do! YES! I love you
   3421 8.88%:  hah! I love you, Dude! You
   3422 8.87%:  hah! Yes I do, oh yes! Do
   3423 8.87%: ! I sure do! Oh, D
   3424 8.86%:  hah! I doooo, yes! Yes
   3425 8.86%:  hah, yessir!!
   3426 8.86%:  hah, sure do! Do your
   3427 8.86%:  hah! Yes, I do! The sp
   3428 8.86%:  hah! YES I DO! TER
   3429 8.85%:  hah! Oooh, I see you
   3430 8.84%:  hah! Sure you
   3431 62.61%:  hah! Sure you do,
   3432 54.04%:  hah! Sure you do! I
   3433 31.26%:  hah! Sure you do! You
   3434 9.63%:  hah! Sure you do! The
   3435 8.83%:  hah! Dude! I hope so, or
   3436 8.82%:  hah! Sorry, I lied
   3437 8.81%:  hah! YES, I DO! JER
   3438 8.81%: ! There
   3439 8.81%:  hah! Yes, I do! The cup
   3440 8.81%:  hah, yup! YES! I
   3441 8.80%:  hah! Oooh! Yep
   3442 8.80%:  hah! Yes I do! For sure
   3443 8.80%: , yeah! I sure
   3444 15.12%: , yeah! I sure do! You
   3445 8.80%:  hah! YES, DOR
   3446 11.99%:  hah! YES, DORIT
   3447 11.10%:  hah! YES, DORITO
   3448 8.79%:  hah! Yes, I do! The p
   3449 8.79%:  hah! Yep! I do, he
   3450 8.78%:  hah! Dude is
   3451 8.78%:  hah, yes! Yes! Do
   3452 8.78%:  hah! I love you! Yes
   3453 13.72%:  hah! I love you! Yes,
   3454 8.77%:  hah! Sorry! I lied
   3455 8.77%: ! I do, yes! The
   3456 8.76%:  hah! Yep! I do, or
   3457 8.76%:  hah! Yep, I love
   3458 8.73%:  hah, sure do! Yo ho
   3459 8.73%:  hah! Yes! Oh, you
   3460 8.72%:  hah, yes I do! Oh T
   3461 8.72%:  hah! Oooh, sure
   3462 120.58%:  hah! Oooh, sure do! I
   3463 21.60%:  hah! Oooh, sure do! You
   3464 14.24%:  hah! Oooh, sure do! I love
   3465 8.71%:  hah! You could
   3466 8.70%:  hah! Oh, Dude! Yes
   3467 14.61%:  hah! Oh, Dude! Yes I
   3468 8.69%: , yeah! I do! You
   3469 8.68%: ! Yes! The chips
   3470 8.68%:  hah! Dude, sure I
   3471 8.68%:  hah, yes!! This
   3472 8.68%: , sure! I have
   3473 8.67%: , yes! I do! This
   3474 8.66%:  hah, I do! Do you love
   3475 8.66%:  hah! YES I do, yes
   3476 8.66%:  hah, sure! I hid
   3477 8.66%:  hah yes! Yes, I do! Oh
   3478 8.64%:  hah, Yep! This
   3479 8.64%:  hah, sure!! I
   3480 8.64%:  hah! I dooo! They
   3481 8.63%:  hah! YES! I DO, E
   3482 8.62%:  hah! Oooh! Dude
   3483 17.99%:  hah! Oooh! Dude, I sure
   3484 12.32%:  hah! Oooh! Dude, you
   3485 8.62%: , yes! The
   3486 8.62%:  hah, yep I do! Y
   3487 8.62%:  hah! Oooh, I do love
   3488 8.61%:  hah, yes I do! YO
   3489 8.60%:  hah! Oh, yes I DO
   3490 8.60%:  hah I sure do!! They
   3491 8.60%:  hah, sure do! I hope you DO!
   3492 8.59%:  hah! Sorry, Dude! I love
   3493 8.59%:  hah! Oh you
   3494 8.59%:  hah! You sure do love your chips! I DO,
   3495 15.20%:  hah! You sure do love your chips! I DO, TO
   3496 8.59%:  hah yes I do! The
   3497 8.59%:  hah! Yep! Oh, T
   3498 8.58%:  hah! Oooh! I sure DO,
   3499 8.58%:  hah! Sure do! Oh, is
   3500 8.57%:  hah, YES!! I sure
   3501 8.56%:  hah! Yep! Oh yess
   3502 21.47%:  hah! Yep! Oh yessir,
   3503 91.33%:  hah! Yep! Oh yessir, I do
   3504 9.28%:  hah! Yep! Oh yessir, I DO
   3505 8.56%: ! You sure do, sir
   3506 10.54%: ! You sure do, sir! I
   3507 9.93%: ! You sure do, sir! I have
   3508 8.95%: ! You sure do, sir! They
   3509 8.56%:  hah, I sure do! The DY
   3510 8.55%: ! I sure do! Oh hey
   3511 8.66%: ! I sure do! Oh hey, D
   3512 8.55%:  hah! Oooh! S
   3513 8.54%:  hah, Yep! I sure DO
   3514 8.54%: , I sure do!! You
   3515 8.53%: ! YES I DO, E
   3516 8.51%:  hah, yep! I sure do! YE O
   3517 8.51%:  hah! Yes, sir! D
   3518 8.51%: ! YES! I do have chips
   3519 12.33%: ! YES! I do have chips,
   3520 8.50%:  hah! YES, yes! I sure
   3521 8.50%: , sure do! I love chips! You
   3522 8.50%:  hah, YES! Oh yes I DO
   3523 8.49%:  hah! YES I DO! Oooh, do
   3524 8.49%: ! I sure do! Do you love
   3525 8.48%: ! Sure do! Do I
   3526 8.48%: ! I sure do! Do you also
   3527 8.48%:  hah, sure do! Oh I love you so!
   3528 8.48%:  hah! YES! I hope you DO
   3529 8.47%:  hah! Oh! I DO
   3530 8.46%:  hah, yep! Sure do! Do I
   3531 8.46%: ! I sure do! You help
   3532 8.46%:  hah! Yes I do, you r
   3533 8.46%: ! I do! They are so
   3534 8.45%:  hah! Sure do! I sure DO,
   3535 8.45%:  hah! Oh sure do, I
   3536 8.44%:  hah, FRIED O!
   3537 8.44%: , I sure do! Oh hey
   3538 8.44%:  hah, yee
   3539 8.43%:  hah! Oooh! YES, FRIED
   3540 8.42%:  hah! Oh, sure! I DO
   3541 8.42%: ! YES! They are so
   3542 8.41%:  hah! Fool
   3543 1134.42%:  hah! Fooled you! I
   3544 311.99%:  hah! Fooled you! This
   3545 271.74%:  hah! Fooled you,
   3546 204.02%:  hah! Fooled you! The
   3547 169.67%:  hah! Fooled you! I DO
   3548 126.12%:  hah! Fooled you! I DO,
   3549 114.30%:  hah! Fooled you! Those
   3550 102.60%:  hah! Fooled you! I D
   3551 95.47%:  hah! Fooled you! You
   3552 54.61%:  hah! Fooled you! This IS
   3553 48.03%:  hah! Fooled you! I T
   3554 34.97%:  hah! Fooled you! I J
   3555 22.88%:  hah! Fooled you, e
   3556 20.74%:  hah! Fooled you! I use
   3557 20.07%:  hah! Fooled you! I S
   3558 29.33%:  hah! Fooled you! I STO
   3559 20.03%:  hah! Fooled you! IT
   3560 19.60%:  hah! Fooled you! I TR
   3561 19.38%:  hah! Fooled you, eh!
   3562 19.42%:  hah! Fooled you, eh! I
   3563 17.84%:  hah! Fooled you! I sp
   3564 12.51%:  hah! Fooled you! I ST
   3565 12.06%:  hah! Fooled you! I sure
   3566 11.45%:  hah! Fooled you, h
   3567 10.79%:  hah! Fooled you! T
   3568 10.32%:  hah! Fooled you, D
   3569 9.07%:  hah! Fooled you! E
   3570 8.40%:  hah, yes I do! For sure
   3571 8.40%:  hah! I sure do, you louse
   3572 8.38%: , sure do! Do I
   3573 8.38%:  hah! Sure! I do,
   3574 8.37%:  hah yes, I do! The
   3575 8.37%:  hah, yes! Yep! Do
   3576 8.36%: ! YES I DO, FOR
   3577 8.35%:  hah! Oh, Dude! I love your
   3578 8.35%: ! Yes, I do! For a
   3579 8.35%:  hah, oh yes! I sure do! Do
   3580 8.34%:  hah! Oooh! Too
   3581 8.34%:  hah, I sure do! The spic
   3582 8.33%:  hah, sure I do! Scoop!
   3583 8.33%:  hah yes I do, sir
   3584 8.38%:  hah yes I do, sir!!
   3585 8.33%: ! You sure do! I love
   3586 27.01%: ! You sure do! I love you,
   3587 11.85%: ! You sure do! I love you, D
   3588 8.33%:  hah! YES! Oh, T
   3589 8.32%:  hah! Yep, I sure do! Do your
   3590 8.31%:  hah! Yes, sir! I hope you do
   3591 8.31%:  hah, yup! I sure DO
   3592 8.31%: ! Oh, you
   3593 8.30%:  hah! YES I DO! TRO
   3594 8.30%:  hah! Oooh! YES, I RE
   3595 8.29%:  hah, sure I do! Yep! O
   3596 8.29%:  hah, yep! You sure I should
   3597 8.27%: ! Yes! I do have chips
   3598 9.96%: ! Yes! I do have chips,
   3599 8.27%: ! YES, D
   3600 8.27%:  hah, yep! I sure DO! You should
   3601 8.26%:  hah! Sorry! I do,
   3602 8.26%:  hah! I surely do! Oh
   3603 8.25%: ! YES, I do! The
   3604 8.24%: ! I sure do! The chips you
   3605 8.24%:  hah! Yes, I do! For such
   3606 8.23%:  hah, YES I DO! Oo
   3607 8.23%:  hah! YES I DO! Oooh o
   3608 8.22%:  hah, yes I do! The cup
   3609 8.21%:  hah, sure do! Yup y
   3610 8.20%:  hah! Oh, sure! I sure
   3611 8.20%:  hah! I love chips,
   3612 8.20%:  hah! YES! Oh yes I do, sir
   3613 8.19%:  hah! Yep! I love d
   3614 8.19%:  hah, yes sir! I hope
   3615 8.19%:  hah! Sure do! Oh, so
   3616 9.65%:  hah! Sure do! Oh, so you
   3617 8.18%:  hah, sure does! You
   3618 8.18%: ! Sure do! I have,
   3619 8.17%:  hah! Yep! Oh, I love your
   3620 8.15%:  hah, yep!! The
   3621 8.15%:  hah, sure do! YES! Do
   3622 8.14%:  hah, sure do!! I J
   3623 8.14%:  hah! Oooh! YES I DO, J
   3624 8.14%:  hah! YES, FOR I DO
   3625 8.13%:  hah, yep! I DO O
   3626 8.13%: ! Yes, I have chips
   3627 9.90%: ! Yes, I have chips!
   3628 8.12%:  hah! YES, sir! I RE
   3629 8.12%:  hah! Oooh! YES, yes
   3630 35.86%:  hah! Oooh! YES, yes I DO
   3631 8.12%:  hah! YES, yes I do! Oh T
   3632 8.12%:  hah! YES, you dope! Do I E
   3633 8.11%:  hah I sure do! The
   3634 8.11%:  hah! Oh, I do so
   3635 8.10%:  hah, I do! Yes! Oh
   3636 8.34%:  hah, I do! Yes! Oh yes
   3637 8.07%:  hah! Dude, I love chips! You
   3638 8.07%:  hah! Yes, sir! E
   3639 8.07%:  hah! Oh, sorry! I DO
   3640 8.07%:  hah! Ouch
   3641 18.11%:  hah! Ouch! I
   3642 8.06%:  hah! Dude! YES, I sure
   3643 8.05%:  hah! Oooh, yep! Y
   3644 8.05%:  hah! YES, yes! I love
   3645 8.32%:  hah! YES, yes! I love chips
   3646 8.05%:  hah, sure do! Do I love
   3647 8.05%:  hah! Oh sure! I do,
   3648 8.04%:  hah, yes! You could
   3649 8.04%:  hah! YES, DORITO!
   3650 8.04%:  hah! Ooh, yes
   3651 40.60%:  hah! Ooh, yes! I
   3652 37.43%:  hah! Ooh, yes! I do
   3653 10.71%:  hah! Ooh, yes! I DO
   3654 8.27%:  hah! Ooh, yes! Yes
   3655 16.41%:  hah! Ooh, yes! Yes I DO
   3656 8.03%:  hah! Sure, sure I do! Oh
   3657 8.03%: , yeah I
   3658 15.36%: , yeah I do! You
   3659 9.22%: , yeah I do!!
   3660 8.03%:  hah, sure do! Yours! They
   3661 8.02%:  hah! YES I DO! FOR J
   3662 8.02%:  hah! YES, sir! I J
   3663 8.02%:  hah! I sure hope SO
   3664 8.01%:  hah! Oh! Sorry
   3665 25.55%:  hah! Oh! Sorry, I
   3666 8.01%:  hah! Oooh yes,
   3667 9.37%:  hah! Oooh yes, I do! You
   3668 8.00%:  hah! Sorry, I used up
   3669 7.99%:  hah! YES! I sure hope you do, T
   3670 7.99%:  hah, sure!! They
   3671 7.99%:  hah! YESI DO
   3672 7.99%:  hah! Dude, YES! I REF
   3673 7.99%:  hah! YES, sir! DO I
   3674 7.98%:  hah, sure do! Yo!
   3675 7.97%:  hah! Oooh, sure do I
   3676 7.97%:  hah, sure do you! Do
   3677 7.97%:  hah! YES! Do you ever
   3678 7.97%: ! YES! I also
   3679 7.97%:  hah, sure do! YEE
   3680 7.96%: ! Dude! I T
   3681 7.96%:  hah! Yep, I DO! The
   3682 7.95%:  hah! Sure do! I love chips, D
   3683 7.95%:  hah! I do! You see
   3684 12.00%:  hah! I do! You see,
   3685 7.95%:  hah! Yep! I DOO
   3686 7.95%:  hah! Sure do I! You
   3687 7.94%: ! Dude! I J
   3688 7.93%:  hah, YES! I do! Do you love
   3689 7.93%:  hah! YES! Oh, sorry
   3690 7.92%:  hah! Sure, I DO
   3691 7.91%:  hah I sure do! This
   3692 7.91%:  hah, sure do!! I DO
   3693 7.90%: ! Yes! This
   3694 7.90%:  hah! Yep! I sure do, you sc
   3695 7.90%: ! Yep, I do! Do
   3696 7.88%:  hah, yep! I do! Yess
   3697 7.87%: ! Sure do! Oh, I love you
   3698 7.87%:  hah, sorry! R
   3699 7.87%:  hah! Yes I do! Oh, you poor
   3700 7.86%: ! Yeah, sure do! Do
   3701 7.85%:  hah, yes I do! The sp
   3702 7.85%:  hah, uh! YES I
   3703 7.85%:  hah, sure do! Yo ho!
   3704 7.85%:  hah! Oh yes! Y
   3705 171.88%:  hah! Oh yes! YES I DO,
   3706 45.08%:  hah! Oh yes! YES,
   3707 36.55%:  hah! Oh yes! YES, I do
   3708 32.46%:  hah! Oh yes! YES I DO, F
   3709 7.84%:  hah! I sure DO, you
   3710 7.84%:  hah! Oooh, yes! Do I
   3711 7.84%:  hah! Ooo
   3712 36.47%:  hah! Ooooh! I
   3713 37.19%:  hah! Ooooh! I do
   3714 33.92%:  hah! Ooooh,
   3715 38.60%:  hah! Ooooh, I
   3716 51.48%:  hah! Ooooh, I do
   3717 35.91%:  hah! Ooooh, I sure
   3718 29.01%:  hah! Ooooh! I do,
   3719 21.16%:  hah! Ooooh! I sure
   3720 57.13%:  hah! Ooooh! I sure do,
   3721 20.77%:  hah! Ooooh, I sure do! O
   3722 16.49%:  hah! Ooooh, I do! O
   3723 15.85%:  hah! Oooo
   3724 79.87%:  hah! Oooooh! I
   3725 79.82%:  hah! Oooooh,
   3726 88.48%:  hah! Oooooh, I
   3727 94.28%:  hah! Oooooh, I sure
   3728 52.26%:  hah! Oooooh! I sure
   3729 34.44%:  hah! Oooooh, yes
   3730 110.67%:  hah! Oooooh, yes! I
   3731 33.07%:  hah! Oooooh, yes I
   3732 29.02%:  hah! Oooooh! I DO
   3733 28.18%:  hah! Oooooh, yes! I DO
   3734 25.83%:  hah! Oooooh, yes! Yes
   3735 52.73%:  hah! Oooooh, yes! Yes I DO
   3736 22.35%:  hah! Oooooh, I DO
   3737 21.99%:  hah! Oooooh, yes! I sure
   3738 20.14%:  hah! Oooo!
   3739 15.36%:  hah! Oooooh, Y
   3740 150.39%:  hah! Oooooh, YES! I
   3741 95.64%:  hah! Oooooh, YES I
   3742 60.07%:  hah! Oooooh, YES! I DO
   3743 22.22%:  hah! Oooooh, YES I DO! T
   3744 17.95%:  hah! Oooooh, YES! I sure
   3745 15.31%:  hah! Oooooh! I sure DO
   3746 14.72%:  hah! Ooooh! I do, yes
   3747 14.57%:  hah! Oooooh, yes I DO
   3748 14.51%:  hah! Oooo! I
   3749 17.14%:  hah! Oooo! I do
   3750 13.48%:  hah! Oooooh, I sure DO
   3751 12.38%:  hah! Oooooh! Yes
   3752 15.42%:  hah! Oooooh! Yes I
   3753 12.41%:  hah! Oooooh! Yes,
   3754 12.94%:  hah! Oooooh! Yes, I DO
   3755 11.54%:  hah! Oooooh! Y
   3756 57.61%:  hah! Oooooh! YES I
   3757 142.30%:  hah! Oooooh! YES I DO,
   3758 34.30%:  hah! Oooooh! YES,
   3759 19.31%:  hah! Oooooh! YES I DO, F
   3760 10.81%:  hah! Oooo! I do,
   3761 10.59%:  hah! Ooooh! I DO
   3762 10.22%:  hah! Oooooh! Yes I DO
   3763 10.19%:  hah! Ooooh, yes
   3764 39.01%:  hah! Ooooh, yes! I
   3765 34.72%:  hah! Ooooh, yes! I do
   3766 10.10%:  hah! Ooooh, yes! I DO
   3767 9.68%:  hah! Ooo!
   3768 9.32%:  hah! Oooooh! YES I DO, T
   3769 8.98%:  hah! Ooooh, yes I
   3770 14.60%:  hah! Ooooh, yes I do! Yes
   3771 8.89%:  hah! Oooooh! YES, I J
   3772 8.80%:  hah! Oooooh! I DO,
   3773 8.66%:  hah! Oooo! I sure
   3774 20.10%:  hah! Oooo! I sure do,
   3775 8.59%:  hah! Oooooh, yes! Y
   3776 8.37%:  hah! Ooooh, I love
   3777 8.37%:  hah! Oooooh! Yes, yes
   3778 20.81%:  hah! Oooooh! Yes, yes I DO
   3779 8.36%:  hah! Ooo! I
   3780 9.39%:  hah! Ooo! I do
   3781 8.11%:  hah! Ooooh, yes! Yes
   3782 16.66%:  hah! Ooooh, yes! Yes I DO
   3783 8.05%:  hah! Ooooh, yes! I sure
   3784 7.86%:  hah! Oooooh yes
   3785 22.08%:  hah! Oooooh yes! I
   3786 8.09%:  hah! Oooooh yes I
   3787 7.83%:  hah, I sure hope you do! Or
   3788 7.82%:  hah! I sure hope so! Or, you could
   3789 7.82%:  hah! Sure, sure do
   3790 18.22%:  hah! Sure, sure do! I
   3791 7.82%:  hah! Oooooh, T
   3792 7.81%:  hah, yes sir! Y
   3793 17.52%:  hah, yes sir! YES!
   3794 8.93%:  hah, yes sir! YES! I
   3795 7.80%:  hah, sure do! Yip
   3796 7.79%:  hah! Ooh, yes! I sure
   3797 7.79%:  hah! I surely do, D
   3798 7.79%: ! I sure do! Oh, oh
   3799 7.78%:  hah! Oooh! SO
   3800 7.78%:  hah, yessir! I DO
   3801 7.77%: ! Yep! I saved
   3802 7.77%:  hah, yes! I do love chips! You
   3803 7.77%: , y
   3804 241.17%: , yep! I
   3805 160.02%: , yep! I have
   3806 67.24%: , yep! I do
   3807 42.64%: , yep! I sure
   3808 51.40%: , yep! I sure do! You
   3809 32.16%: , yep! I love
   3810 29.79%: , yep! I had
   3811 28.96%: , yep! I have so
   3812 23.95%: , yep! You
   3813 21.44%: , yep! I sure do! This
   3814 20.14%: , yep! I do have
   3815 18.80%: , yep! I sure do! Do
   3816 15.73%: , yep! I have T
   3817 15.56%: , yep! I sure do! Oh
   3818 15.09%: , yep! I DO
   3819 13.55%: , yep! I have SO
   3820 13.18%: , yep! This
   3821 12.14%: , yep! The
   3822 12.14%: , yep! I also
   3823 11.64%: , yep! Y
   3824 11.42%: , yep! I have 
   3825 10.93%: , yep! Do
   3826 9.98%: , yep! I do! You
   3827 9.97%: , yep! I sure do! Y
   3828 9.63%: , yep! I sure do! YES
   3829 7.77%:  hah, oh yes I do! Y
   3830 8.78%:  hah, oh yes I do! YES!
   3831 8.47%:  hah, oh yes I do! Yep
   3832 7.76%: ! YES! I D
   3833 7.76%: ! Yes I do! E
   3834 7.76%:  hah yes! Yes, I do! Do
   3835 7.75%:  hah! Oops,
   3836 12.49%:  hah! Oops, sorry
   3837 11.36%:  hah! Oops, I
   3838 7.75%:  hah! Yes! Oh, so
   3839 7.75%: , yes! The chips
   3840 7.74%:  hah! Ouch! I do
   3841 7.73%:  hah! Yes, I do! Oh T
   3842 7.73%:  hah! Sorry! I T
   3843 7.73%:  hah, sorry! You should
   3844 7.73%:  hah! YES, you do! I hope
   3845 7.73%:  hah, yep! Yess
   3846 42.98%:  hah, yep! Yessir! I
   3847 15.24%:  hah, yep! Yessir! I do
   3848 7.72%:  hah, sure do! YES O
   3849 7.72%:  hah! Oo! I
   3850 7.94%:  hah! Oo! I do
   3851 7.72%:  hah! YEES! I DO
   3852 7.70%:  hah! Sorry! I should
   3853 7.69%:  hah! This sure
   3854 7.68%:  hah! Dude, yes! I J
   3855 7.68%:  hah! Sorry! I hid
   3856 7.68%:  hah, I sure hope your
   3857 7.68%:  hah! I do, YES! This
   3858 7.67%:  hah! I sure do! Oh, TOD
   3859 7.67%:  hah, oh yes I DO
   3860 7.66%:  hah! Ooh, I sure do! Oo
   3861 7.66%:  hah, sure do! YES! Oh
   3862 7.65%:  hah! Yep! I do, so yes
   3863 7.64%:  hah! Oooh, D
   3864 7.64%:  hah, yup! Do I
   3865 7.64%:  hah! Dude! YES, I E
   3866 7.64%: , yep! Yours
   3867 9.81%: , yep! Yours are
   3868 7.64%:  hah, yes I do! The DOR
   3869 7.63%:  hah! Yes I do! Oh, you sure
   3870 7.63%:  hah, I do! Yep! Do
   3871 7.63%:  hah! Dude! Yes, you
   3872 7.63%:  hah! Oooh, do you!
   3873 7.63%:  hah! I surely do, sir! You
   3874 7.63%:  hah, yup! I do! The
   3875 7.62%:  hah, yes sir I do! Do
   3876 7.62%:  hah! So you do
   3877 7.62%:  hah! Yes! Dude
   3878 12.70%:  hah! Yes! Dude, you
   3879 7.62%: , yes! Do
   3880 7.61%:  hah, oh sure do! You
   3881 7.61%: , sure do! I love you so
   3882 7.60%:  hah! YES, you do! Do
   3883 7.60%: ! I do, yes! The chips
   3884 7.60%:  hah, Dude! Sure
   3885 7.59%:  hah! Oooh, so I DO
   3886 7.59%:  hah! Sure I do, h
   3887 7.58%:  hah, yes! Yes! Oh
   3888 7.58%:  hah! Oh, I do so love
   3889 7.58%:  hah! Yes! I sure do, h
   3890 7.58%:  hah! Yes you do, D
   3891 7.58%: ! Yep! I do, as
   3892 7.57%: , yes I do! Y
   3893 7.57%:  hah! Oooh, I do! Y
   3894 11.98%:  hah! Oooh, I do! Yep
   3895 7.57%:  hah! Sorry, T
   3896 7.56%:  hah, sure do! Oh! Do
   3897 7.56%:  hah, yes! I DO O
   3898 7.56%:  hah, yes! I love chips! D
   3899 7.56%:  hah, sorry! E
   3900 7.56%:  hah! I do, sir! There
   3901 7.55%:  hah, sure! YES I DO! They
   3902 7.54%:  hah, sure do! Yer
   3903 7.54%:  hah! Yes! For you, I
   3904 7.53%:  hah, sure I do! Oh sure
   3905 7.53%:  hah, so you
   3906 8.73%:  hah, so you do
   3907 7.53%:  hah! Yes, I do! For your chips
   3908 7.52%:  hah! Yes, yes I do! For TOD
   3909 7.52%:  hah! Ooooh, yes I do! O
   3910 7.51%:  hah, sure do! Scoop your
   3911 7.50%:  hah! Yes I do! The cup
   3912 7.50%:  hah! Sure do! Oh I
   3913 7.50%: ! YES, I do! The chips
   3914 13.90%: ! YES, I do! The chips are so
   3915 7.50%:  hah! Sorry, I J
   3916 7.50%:  hah! Yep, yes
   3917 15.41%:  hah! Yep, yes I do! This
   3918 11.42%:  hah! Yep, yes I do! Do
   3919 9.93%:  hah! Yep, yes I do! Oh
   3920 9.42%:  hah! Yep, yes!
   3921 9.29%:  hah! Yep, yes I DO
   3922 8.97%:  hah! Yep, yes! I
   3923 9.15%:  hah! Yep, yes! I do
   3924 7.49%:  hah! I hope so, or
   3925 7.49%:  hah! Yup! I sure DO
   3926 7.49%:  hah! YES! Oh yes, do
   3927 15.61%:  hah! YES! Oh yes, do I E
   3928 7.49%:  hah! I do! Oh, T
   3929 7.48%:  hah! Yep! Oh, y
   3930 7.48%:  hah, yep! Do I!
   3931 7.47%:  hah! Oooh, yes I do! Yours
   3932 7.47%:  hah! Yes, I do! For sure
   3933 7.47%:  hah! Yes! I DO, sir
   3934 7.46%:  hah! You sure love your chips, I
   3935 7.46%: ! YES! The chips
   3936 7.46%:  hah, sure you do!! I
   3937 7.46%:  hah! Yes I do! The p
   3938 7.45%:  hah, yes! YES! This
   3939 7.44%:  hah, yes I do! Yo ho!
   3940 7.44%:  hah! Ooooh, I DO
   3941 7.44%:  hah, yep! I do! YE
   3942 7.43%:  hah! YES I DO! JER
   3943 7.43%:  hah, sure I do! Yes! Oh
   3944 7.43%:  hah! I love your s
   3945 7.43%:  hah! Oooh, so I do! Yes
   3946 7.43%:  hah! Ooh, I sure do! Do
   3947 7.42%:  hah! Ooh, I do! You
   3948 7.42%:  hah! YES, I DO! Oooh o
   3949 7.42%:  hah! Oooh yes! I DO
   3950 7.42%:  hah! Oooh, yes! O
   3951 7.42%: , yes! I also
   3952 7.42%:  hah, sure do! Yip y
   3953 7.41%:  hah! I dooooO
   3954 7.40%:  hah! I sure hope so! Or do you,
   3955 7.40%:  hah! Oh yes! Do
   3956 8.30%:  hah! Oh yes! Do I
   3957 7.40%:  hah! Ooooh, you
   3958 7.40%:  hah! I do, YES! Do
   3959 7.39%: , sure! They
   3960 7.39%:  hah, sorry! S
   3961 7.39%:  hah, you sure do! I sure DO
   3962 7.39%:  hah, sure do! The DORI
   3963 7.38%:  hah! YES! Dude, I love chips
   3964 7.38%:  hah! YES, you d
   3965 7.38%:  hah, YES!! This
   3966 7.36%:  hah, so you do! I
   3967 7.36%: ! I sure do! Oh, T
   3968 7.36%:  hah! Sure! I sure
   3969 8.42%:  hah! Sure! I sure do,
   3970 7.36%:  hah, sure! Yep y
   3971 7.36%:  hah! You sure do! I love you, sir
   3972 7.35%:  hah! Oh sure, sure! You
   3973 7.35%: ! Yes, I do! For you
   3974 7.34%: , yes I do! Yep
   3975 7.34%:  hah, oh yes! Yes! I do
   3976 7.31%:  hah! Dude, yes! I T
   3977 7.31%: ! YES! I do, sir
   3978 7.31%:  hah, yup! I do! Do
   3979 7.31%:  hah! I DO, YES! O
   3980 7.31%:  hah, I sure do! Oh yes! So
   3981 7.31%: , I sure do! You have
   3982 7.29%: ! Oh, I sure hope
   3983 7.29%:  hah! Sure I do, sir! You
   3984 7.28%:  hah! I do! Do you see
   3985 7.28%:  hah, oh sorry
   3986 7.28%:  hah, yes I do! The p
   3987 7.28%:  hah, YES! Do you ever
   3988 7.28%:  hah, YES!! I love
   3989 7.49%:  hah, YES!! I love chips
   3990 7.27%:  hah, YES! I do! Do you ever
   3991 7.27%:  hah, yes I do! Yep! Oo
   3992 7.27%:  hah! Ooh, I do! Oo
   3993 7.27%:  hah! Yep! Oh yes I
   3994 12.53%:  hah! Yep! Oh yes I do,
   3995 7.26%:  hah, uh! I sure
   3996 7.26%:  hah, oh sure do I! You
   3997 7.25%:  hah, sure do! Eh!
   3998 7.25%:  hah! Yep! Oh, do
   3999 11.88%:  hah! Yep! Oh, do I
   4000 7.25%:  hah! YES, you sc
   4001 7.25%:  hah! Told
   4002 34.71%:  hah! Told you!
   4003 30.13%:  hah! Told you so
   4004 47.29%:  hah! Told you so! I
   4005 30.35%:  hah! Told you so,
   4006 30.04%:  hah! Told you! I
   4007 9.30%:  hah! Told you so! I DO
   4008 8.95%:  hah! Told you,
   4009 7.95%:  hah! Told you so! You
   4010 7.24%:  hah! Yes I do! Oh T
   4011 7.24%:  hah! Dude, I love chips so
   4012 7.24%: ! Yes I do! Oh yes
   4013 9.39%: ! Yes I do! Oh yes,
   4014 7.24%:  hah! I sure do, you sl
   4015 7.24%: ! I sure do, as you
   4016 7.24%: ! Yep, I do! The
   4017 7.23%:  hah! FRIED O!
   4018 7.23%:  hah! YES! I sure hope you do, D
   4019 7.23%:  hah, I do! Do you see
   4020 7.23%:  hah! Oooh, yep! You
   4021 7.22%:  hah, sure do! YO
   4022 7.22%:  hah! Fries,
   4023 7.21%:  hah! Yes, sir! Oh
   4024 7.21%:  hah! Sorry! I love
   4025 7.20%:  hah! YES! Oh, I DO
   4026 7.19%: ! I sure hope so, you
   4027 7.19%:  hah, YES! Do I ever! This
   4028 7.19%: ! YES, I DO! They are chips
   4029 7.19%: , I sure do!! The
   4030 7.19%:  hah! Sure! I love chips
   4031 7.17%:  hah! Do you,
   4032 7.17%:  hah, yes sir! YES I DOO
   4033 7.17%:  hah! I sure hope so! Or you could
   4034 7.17%: ! I sure hope so! Or
   4035 7.17%:  hah, you sure do! Oh!
   4036 7.16%:  hah! Fooled you! I use chips
   4037 7.16%:  hah! Yep! I sure do, you s
   4038 7.16%:  hah! Sure! I DO
   4039 7.15%:  hah! Yep! I DO J
