WHAT AM I GONNA DO WITH ALL THESE RAISED EXPECTATIONS
100.00%: 
25.31%:  THAT
26.66%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SAND
26.23%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SPAC
26.13%:  WHAT AM I GONNA DO WITH ALL THIS SCR
26.07%:  WHAT AM I GONNA DO WITH ALL THESE PIE
25.92%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA IN
25.83%:  WHAT AM I GONNA DO WITH ALL THIS RE
25.53%:  WHAT AM I GONNA DO WITH ALL THIS SPACE ON
25.44%:  WHAT AM I GONNA DO WITH ALL THESE POST
24.95%:  WHAT AM I GONNA DO WITH ALL THESE O
24.60%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA CON
24.51%:  WHAT AM I GONNA DO WITH ALL THESE AR
24.41%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA E
24.39%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SET
24.38%:  WHAT AM I GONNA DO WITH ALL THESE COINS
24.34%:  WHAT AM I GONNA DO WITH ALL THESE DI
23.36%:  WHAT AM I GONNA DO WITH ALL THESE TRIP
23.33%:  WHAT AM I GONNA DO WITH ALL THESE TRAD
23.25%:  WHAT AM I GONNA DO WITH ALL THIS SAND
23.20%:  WHAT AM I GONNA DO WITH ALL THESE PARAD
38.10%:  WHAT AM I GONNA DO WITH ALL THESE PARADOXES IN
26.76%:  WHAT AM I GONNA DO WITH ALL THESE PARADOXES I
23.07%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA COPIES I
22.75%:  WHAT AM I GONNA DO WITH ALL THESE REACTION
22.71%:  WHAT AM I GONNA DO WITH THIS T
22.66%:  WHAT AM I GONNA DO WITH ALL THESE TEST
22.63%:  WHAT AM I GONNA DO WITH THIS S
22.60%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA C
22.48%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SENT
22.48%:  WHAT AM I GONNA DO WITH ALL THE P
22.45%:  WHAT AM I GONNA DO WITH ALL THESE INSPI
25.69%:  WHAT AM I GONNA DO WITH ALL THESE INSPIRED
22.42%:  WHAT AM I GONNA DO WITH ALL THESE PRES
22.09%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPE
21.85%:  WHAT AM I GONNA DO WITH ALL THE EXTRA P
21.53%:  WHAT AM I GONNA DO WITH ALL THIS R
21.46%:  WHAT AM I GONNA DO WITH ALL THESE DIS
21.04%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE I D
21.03%:  WHAT AM I GONNA DO WITH THE RE
20.90%:  WHAT AM I GONNA DO WITH ALL THESE TREES AND
20.67%:  WHAT AM I GONNA DO WITH ALL THIS E
20.66%:  WHAT AM I GONNA DO WITH THESE TRANSC
20.65%:  WHAT AM I GONNA DO WITH ALL THESE INS
20.37%:  WHAT AM I GONNA DO WITH ALL THIS SCRAP
20.14%:  WHAT AM I GONNA DO WITH ALL THOSE RE
20.03%:  WHAT AM I GONNA DO WITH ALL THESE SER
20.03%:  WHAT AM I GONNA DO WITH THIS P
19.82%:  WHAT AM I GONNA DO WITH ALL THESE SAC
19.54%:  WHAT AM I GONNA DO WITH ALL THESE DICTION
19.31%:  WHAT AM I GONNA DO WITH ALL THESE DAN
19.27%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE TO
19.25%:  WHAT AM I GONNA DO WITH ALL THIS SPACE I
19.23%:  WHAT AM I GONNA DO WITH ALL THIS D
18.99%:  WHAT AM I GONNA DO WITH ALL THIS ST
18.97%:  WHAT AM I GONNA DO WITH ALL THESE DIRECT
18.91%:  WHAT AM I GONNA DO WITH THIS RE
21.51%:  WHAT AM I GONNA DO WITH THIS REALL
18.89%:  WHAT AM I GONNA DO WITH ALL THESE SAT
18.54%:  WHAT AM I GONNA DO WITH ALL THESE CORP
18.52%:  WHAT AM I GONNA DO WITH ALL THE EXTRA S
19.94%:  WHAT AM I GONNA DO WITH ALL THE EXTRA SENSE
18.48%:  WHAT AM I GONNA DO WITH ALL THESE PAN
18.45%:  WHAT AM I GONNA DO WITH ALL THIS C
18.44%:  WHAT AM I GONNA DO WITH ALL THESE POT
18.42%:  WHAT AM I GONNA DO WITH ALL THIS SPARE TEXT
18.40%:  WHAT AM I GONNA DO WITH ALL THESE TO
18.35%:  WHAT AM I GONNA DO WITH ALL THOSE D
18.29%:  WHAT AM I GONNA DO WITH ALL THIS IN
18.30%:  WHAT AM I GONNA DO WITH ALL THIS INCRE
18.27%:  WHAT AM I GONNA DO WITH ALL THESE EXTR
18.13%:  WHAT AM I GONNA DO WITH ALL THOSE EXTRA S
18.08%:  WHAT AM I GONNA DO WITH ALL THESE END
17.88%:  WHAT AM I GONNA DO WITH ALL THESE STR
17.76%:  WHAT AM I GONNA DO WITH ALL THIS DE
17.74%:  WHAT AM I GONNA DO WITH ALL THESE TREES IN
17.57%:  WHAT AM I GONNA DO WITH THIS L
17.52%:  WHAT AM I GONNA DO WITH ALL THAT EXTRA P
17.46%:  WHAT AM I GONNA DO WITH ALL THESE TENT
17.33%:  WHAT AM I GONNA DO WITH ALL THIS TRANSC
17.24%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA PEN
17.09%:  WHAT AM I GONNA DO WITH ALL THE SP
33.94%:  WHAT AM I GONNA DO WITH ALL THE SPACE
22.09%:  WHAT AM I GONNA DO WITH ALL THE SPACE IN
17.04%:  WHAT AM I GONNA DO WITH ALL THESE RO
17.03%:  WHAT AM I GONNA DO WITH ALL THESE NE
16.94%:  WHAT AM I GONNA DO WITH ALL THIS INCREASE
16.88%:  WHAT AM I GONNA DO WITH ALL THIS PO
16.87%:  WHAT AM I GONNA DO WITH THAT ONE
16.82%:  WHAT AM I GONNA DO WITH ALL THAT SPACE IN
16.81%:  WHAT AM I GONNA DO WITH ALL THESE CONTEXT
16.75%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA N
16.69%:  WHAT AM I GONNA DO WITH ALL THESE PRINTED S
16.63%:  WHAT AM I GONNA DO WITH ALL THESE CORN
16.39%:  WHAT AM I GONNA DO WITH ALL THOSE E
16.36%:  WHAT AM I GONNA DO WITH ALL THESE RES
16.15%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SAT
16.14%:  WHAT AM I GONNA DO WITH ALL THESE PRESIDENT
16.08%:  WHAT AM I GONNA DO WITH ALL THE EXTRA SPACE I
15.98%:  WHAT AM I GONNA DO WITH THIS ONE
15.98%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA NOTES A
15.95%:  WHAT AM I GONNA DO WITH ALL THESE SPARE T
15.84%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA DE
15.77%:  WHAT AM I GONNA DO WITH ALL THIS CON
15.67%:  WHAT AM I GONNA DO WITH ALL THOSE EXTRA P
15.60%:  WHAT AM I GONNA DO WITH ALL THESE SPI
15.34%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SAC
15.14%:  WHAT AM I GONNA DO WITH ALL THESE NICE
14.98%:  WHAT AM I GONNA DO WITH ALL THESE SENT
14.91%:  WHAT AM I GONNA DO WITH ALL THESE TEN
14.77%:  WHAT AM I GONNA DO WITH THOSE TRANSLAT
14.74%:  WHAT AM I GONNA DO WITH ALL THESE DEPRE
14.46%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA N
14.44%:  WHAT AM I GONNA DO WITH ALL THE T
23.04%:  WHAT AM I GONNA DO WITH ALL THE TRAN
14.37%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA DO
14.30%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA AN
14.08%:  WHAT AM I GONNA DO WITH ALL THIS SEX
14.08%:  WHAT AM I GONNA DO WITH ALL THESE ANTI
14.03%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA EN
13.95%:  WHAT AM I GONNA DO WITH ALL THESE READ
13.91%:  WHAT AM I GONNA DO WITH ALL THESE TENTAC
13.86%:  WHAT AM I GONNA DO WITH ALL THESE INCREASE
13.84%:  WHAT AM I GONNA DO WITH ALL THE S
13.82%:  WHAT AM I GONNA DO WITH THIS EX
13.69%:  WHAT AM I GONNA DO WITH ALL THESE TEXTS IN
13.63%:  WHAT AM I GONNA DO WITH ALL THESE STAND
13.61%:  WHAT AM I GONNA DO WITH ALL THESE CAND
13.58%:  WHAT AM I GONNA DO WITH THIS PILE
13.50%:  WHAT AM I GONNA DO WITH ALL THESE PORN
13.41%:  WHAT AM I GONNA DO WITH ALL THOSE C
13.35%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SAD
13.33%:  WHAT AM I GONNA DO WITH ALL THOSE ST
13.32%:  WHAT AM I GONNA DO WITH ALL THESE EXCE
13.21%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SPOT
13.21%:  WHAT AM I GONNA DO WITH ALL THESE RED
13.18%:  WHAT AM I GONNA DO WITH ALL THESE PRET
13.13%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA DE
13.06%:  WHAT AM I GONNA DO WITH ALL THESE INSIDE
12.99%:  WHAT AM I GONNA DO WITH ALL THOSE TRANS
12.99%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA NOT
12.95%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA IN
12.93%:  WHAT AM I GONNA DO WITH ALL THESE REC
12.91%:  WHAT AM I GONNA DO WITH ALL THESE CRA
12.81%:  WHAT AM I GONNA DO WITH ALL THESE ONE
12.75%:  WHAT AM I GONNA DO WITH ALL THOSE AN
12.72%:  WHAT AM I GONNA DO WITH ALL THESE SCI
12.72%:  WHAT AM I GONNA DO WITH ALL THESE SPORT
12.62%:  WHAT AM I GONNA DO WITH ALL THESE EXISTENCE
12.57%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA ACTION
12.53%:  WHAT AM I GONNA DO WITH ALL THESE IDEAS A
12.47%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SPACE IN
12.43%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SAN
12.40%:  WHAT AM I GONNA DO WITH ALL THESE PRINTED T
12.38%:  WHAT AM I GONNA DO WITH ALL THIS EN
12.36%:  WHAT AM I GONNA DO WITH ALL THESE RAD
12.35%:  WHAT AM I GONNA DO WITH ALL THESE STER
12.28%:  WHAT AM I GONNA DO WITH ALL THESE TOP
12.28%:  WHAT AM I GONNA DO WITH ALL THESE ENOR
12.27%:  WHAT AM I GONNA DO WITH ALL THESE SPO
12.22%:  WHAT AM I GONNA DO WITH ALL THE EXTRA T
12.09%:  WHAT AM I GONNA DO WITH ALL THESE PA
13.30%:  WHAT AM I GONNA DO WITH ALL THESE PAINT
12.06%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SE
12.06%:  WHAT AM I GONNA DO WITH ALL THESE DR
12.03%:  WHAT AM I GONNA DO WITH ALL THESE TRANSIT
11.96%:  WHAT AM I GONNA DO WITH ALL THIS TOR
11.95%:  WHAT AM I GONNA DO WITH ALL THESE CORPSE
11.91%:  WHAT AM I GONNA DO WITH THIS CON
11.88%:  WHAT AM I GONNA DO WITH THIS C
11.84%:  WHAT AM I GONNA DO WITH THIS TRAN
11.84%:  WHAT AM I GONNA DO WITH ALL THESE ANTS
11.83%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA NOTES
11.71%:  WHAT AM I GONNA DO WITH ALL THIS NOT
11.55%:  WHAT AM I GONNA DO WITH ALL THAT S
11.54%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPO
11.53%:  WHAT AM I GONNA DO WITH ALL THESE ACT
11.52%:  WHAT AM I GONNA DO WITH ALL THIS INTER
14.60%:  WHAT AM I GONNA DO WITH ALL THIS INTEREST
11.48%:  WHAT AM I GONNA DO WITH ALL THESE SCRE
11.47%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SPE
11.39%:  WHAT AM I GONNA DO WITH ALL THESE SECRET P
11.38%:  WHAT AM I GONNA DO WITH ALL THESE TEEN
11.30%:  WHAT AM I GONNA DO WITH THIS R
11.19%:  WHAT AM I GONNA DO WITH ALL THESE EXP
11.19%:  WHAT AM I GONNA DO WITH ALL THESE SPARE TEXT
11.13%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA ST
11.06%:  WHAT AM I GONNA DO WITH THOSE S
11.00%:  WHAT AM I GONNA DO WITH ALL THESE TEXTS I CAN
10.99%:  WHAT AM I GONNA DO WITH ALL THESE CRE
10.99%:  WHAT AM I GONNA DO WITH THIS IN
20.43%:  WHAT AM I GONNA DO WITH THIS INCRE
10.98%:  WHAT AM I GONNA DO WITH A
10.97%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SPI
10.94%:  WHAT AM I GONNA DO WITH ALL THESE PENC
10.91%:  WHAT AM I GONNA DO WITH ALL THESE DRA
10.80%:  WHAT AM I GONNA DO WITH ALL THIS SAC
10.79%:  WHAT AM I GONNA DO WITH ALL THESE PAROD
10.76%:  WHAT AM I GONNA DO WITH THOSE TEN
10.71%:  WHAT AM I GONNA DO WITH ALL THESE 
10.69%:  WHAT AM I GONNA DO WITH THIS REL
10.69%:  WHAT AM I GONNA DO WITH ALL THIS CONTEXT
10.59%:  WHAT AM I GONNA DO WITH ALL THIS SPE
10.56%:  WHAT AM I GONNA DO WITH THAT IN
10.52%:  WHAT AM I GONNA DO WITH ALL THESE TRADE P
10.51%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA COP
10.48%:  WHAT AM I GONNA DO WITH ALL THESE PRAN
10.46%:  WHAT AM I GONNA DO WITH ALL THOSE DE
10.41%:  WHAT AM I GONNA DO WITH ALL THESE OP
10.34%:  WHAT AM I GONNA DO WITH ALL THESE PREC
10.27%:  WHAT AM I GONNA DO WITH ALL THESE REST
10.26%:  WHAT AM I GONNA DO WITH ALL THIS SPACE AND
10.23%:  WHAT AM I GONNA DO WITH ALL THOSE SAND
10.20%:  WHAT AM I GONNA DO WITH ALL THESE EXISTENCE PO
10.13%:  WHAT AM I GONNA DO WITH THOSE TRANSLATED
10.10%:  WHAT AM I GONNA DO WITH ALL THESE TREAS
10.08%:  WHAT AM I GONNA DO WITH ALL THESE SOR
10.04%:  WHAT AM I GONNA DO WITH ALL THESE PROSTATE
9.99%:  WHAT AM I GONNA DO WITH ALL THOSE SCR
9.96%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA NO
9.91%:  WHAT AM I GONNA DO WITH ALL THE PRO
9.86%:  WHAT AM I GONNA DO WITH ALL THESE CAT
9.85%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SAT
9.84%:  WHAT AM I GONNA DO WITH ALL THESE ENDOR
9.83%:  WHAT AM I GONNA DO WITH ALL THESE TEENS
9.83%:  WHAT AM I GONNA DO WITH ALL THESE CREAT
9.83%:  WHAT AM I GONNA DO WITH ALL THESE RECI
9.80%:  WHAT AM I GONNA DO WITH THIS PIE
9.76%:  WHAT AM I GONNA DO WITH ALL THESE SET
9.76%:  WHAT AM I GONNA DO WITH THIS EN
9.68%:  WHAT AM I GONNA DO WITH ALL THOSE EXTRA T
9.62%:  WHAT AM I GONNA DO WITH ALL THESE SAR
9.60%:  WHAT AM I GONNA DO WITH ALL THESE STRIP
9.60%:  WHAT AM I GONNA DO WITH ALL THESE PANTS
9.46%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA I
13.20%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA IDEAS IN
9.42%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA IDEAS I
9.39%:  WHAT AM I GONNA DO WITH ALL THESE TREE
9.38%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA NOTE
9.37%:  WHAT AM I GONNA DO WITH THIS PRO
9.32%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SAD
9.31%:  WHAT AM I GONNA DO WITH ALL THESE SECRET T
9.30%:  WHAT AM I GONNA DO WITH ALL THESE TOAST
9.26%:  WHAT AM I GONNA DO WITH ALL THESE PRINTED CO
9.25%:  WHAT AM I GONNA DO WITH THOSE TEXT
9.24%:  WHAT AM I GONNA DO WITH ALL THE EXTRA CO
9.22%:  WHAT AM I GONNA DO WITH ALL THE D
9.21%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE NOT
9.20%:  WHAT AM I GONNA DO WITH ALL THESE PRESENT T
9.17%:  WHAT AM I GONNA DO WITH ALL THOSE EXTRA D
9.15%:  WHAT AM I GONNA DO WITH THESE S
9.08%:  WHAT AM I GONNA DO WITH ALL THOSE N
9.04%:  WHAT AM I GONNA DO WITH ALL THESE INTERESTED
9.02%:  WHAT AM I GONNA DO WITH ALL THOSE EXTRA SAND
9.02%:  WHAT AM I GONNA DO WITH ALL THESE STE
9.00%:  WHAT AM I GONNA DO WITH ALL THESE NOTICE
8.98%:  WHAT AM I GONNA DO WITH ALL THESE PAT
10.84%:  WHAT AM I GONNA DO WITH ALL THESE PATENT
8.96%:  WHAT AM I GONNA DO WITH ALL THESE NOTES I TA
8.92%:  WHAT AM I GONNA DO WITH ALL THESE INSPIRED TEXT
8.89%:  WHAT AM I GONNA DO WITH ALL THESE CONTEST
8.85%:  WHAT AM I GONNA DO WITH ALL THESE PICT
8.83%:  WHAT AM I GONNA DO WITH ALL THESE TA
17.70%:  WHAT AM I GONNA DO WITH ALL THESE TAPE RE
8.82%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE IN DE
8.76%:  WHAT AM I GONNA DO WITH ALL THESE SPARE D
8.75%:  WHAT AM I GONNA DO WITH ALL THESE ORAN
8.73%:  WHAT AM I GONNA DO WITH ALL THESE SECOND
8.70%:  WHAT AM I GONNA DO WITH ALL THESE CARDS
8.65%:  WHAT AM I GONNA DO WITH ALL THE CO
8.62%:  WHAT AM I GONNA DO WITH ALL THESE PRA
8.61%:  WHAT AM I GONNA DO WITH THIS REAL
46.43%:  WHAT AM I GONNA DO WITH THIS REAL ESTATE IN
33.87%:  WHAT AM I GONNA DO WITH THIS REAL ESTATE DE
31.65%:  WHAT AM I GONNA DO WITH THIS REAL ESTATE I
8.60%:  WHAT AM I GONNA DO WITH ALL THESE REDE
8.56%:  WHAT AM I GONNA DO WITH ALL THESE EXT
8.53%:  WHAT AM I GONNA DO WITH ALL THESE OPT
8.51%:  WHAT AM I GONNA DO WITH ALL THESE POSTER
8.49%:  WHAT AM I GONNA DO WITH ALL THE EXTRA D
8.48%:  WHAT AM I GONNA DO WITH ALL THESE TREES I P
8.46%:  WHAT AM I GONNA DO WITH ALL THESE EAST
8.40%:  WHAT AM I GONNA DO WITH ALL THOSE IN
9.55%:  WHAT AM I GONNA DO WITH ALL THOSE INTER
8.39%:  WHAT AM I GONNA DO WITH THOSE TRANS
8.37%:  WHAT AM I GONNA DO WITH ALL THE EXTRA SPACE ON T
8.36%:  WHAT AM I GONNA DO WITH ALL THESE TON
8.36%:  WHAT AM I GONNA DO WITH THIS REAL ESTATE ON
8.34%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPAC
8.32%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SENT
8.30%:  WHAT AM I GONNA DO WITH ALL THOSE ANCI
8.25%:  WHAT AM I GONNA DO WITH ALL THE C
8.24%:  WHAT AM I GONNA DO WITH ALL THESE TOP SECRET IN
8.23%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE I NE
8.22%:  WHAT AM I GONNA DO WITH ALL THESE TOP SECRET D
8.21%:  WHAT AM I GONNA DO WITH ALL THIS SAD
8.15%:  WHAT AM I GONNA DO WITH ALL THESE PRACT
8.13%:  WHAT AM I GONNA DO WITH ALL THESE ON
8.13%:  WHAT AM I GONNA DO WITH ALL THE SPACE ON
8.10%:  WHAT AM I GONNA DO WITH THIS ST
8.24%:  WHAT AM I GONNA DO WITH THIS STONE
8.08%:  WHAT AM I GONNA DO WITH ALL THESE SECRET D
8.07%:  WHAT AM I GONNA DO WITH THIS DE
8.07%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA CON
8.06%:  WHAT AM I GONNA DO WITH ALL THIS PER
8.05%:  WHAT AM I GONNA DO WITH ALL THESE PART
8.05%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA POINTS I E
8.05%:  WHAT AM I GONNA DO WITH ALL THESE SPACE
8.04%:  WHAT AM I GONNA DO WITH ALL THESE ACTIONS
8.00%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE I DON
7.99%:  WHAT AM I GONNA READ
7.99%:  WHAT AM I GONNA DO WITH ALL THE RE
7.98%:  WHAT AM I GONNA DO WITH ALL THAT SPARE T
7.97%:  WHAT AM I GONNA DO WITH ALL THESE TAPE DE
7.91%:  WHAT AM I GONNA DO WITH ALL THOSE STRAN
7.90%:  WHAT AM I GONNA DO WITH ALL THIS SPARE D
7.90%:  WHAT AM I GONNA DO WITH ALL THESE TER
7.87%:  WHAT AM I GONNA DO WITH ALL THESE SC
7.87%:  WHAT AM I GONNA DO WITH ALL THIS N
7.86%:  WHAT AM I GONNA DO WITH ALL THESE DON
7.86%:  WHAT AM I GONNA DO WITH ALL THESE NER
7.84%:  WHAT AM I GONNA DO WITH THOSE P
7.82%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA AN
7.82%:  WHAT AM I GONNA DO WITH ALL THIS AN
7.79%:  WHAT AM I GONNA DO WITH ALL THESE SIN
7.76%:  WHAT AM I GONNA DO WITH ALL THESE INT
7.76%:  WHAT AM I GONNA DO WITH THESE TEN
7.76%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPI
7.75%:  WHAT AM I GONNA DO WITH THOSE RE
7.74%:  WHAT AM I GONNA DO WITH ALL THOSE SAD
7.70%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA STAND
7.67%:  WHAT AM I GONNA DO WITH THIS E
7.66%:  WHAT AM I GONNA DO WITH ALL THESE CONTR
7.64%:  WHAT AM I GONNA DO WITH ALL THOSE INCRE
7.64%:  WHAT AM I GONNA DO WITH ALL THIS STRAN
7.63%:  WHAT AM I GONNA DO WITH ALL THESE TEXTS AND
7.62%:  WHAT AM I GONNA DO WITH ALL THIS PAR
7.59%:  WHAT AM I GONNA DO WITH THESE P
7.56%:  WHAT AM I GONNA DO WITH ALL THIS PERSON
7.56%:  WHAT AM I GONNA DO WITH ALL THESE STO
7.53%:  WHAT AM I GONNA DO WITH ALL THE R
7.49%:  WHAT AM I GONNA DO WITH ALL THESE SA
7.46%:  WHAT AM I GONNA DO WITH ALL THE SAND
7.45%:  WHAT AM I GONNA DO WITH THIS SAND
7.43%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE IN O
7.40%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SECOND
7.38%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE ON EIT
7.35%:  WHAT AM I GONNA DO WITH ALL THIS DEPRE
7.34%:  WHAT AM I GONNA DO WITH ALL THESE EXTRAS I
7.32%:  WHAT AM I GONNA DO WITH ALL THIS RAND
7.32%:  WHAT AM I GONNA DO WITH THIS D
7.32%:  WHAT AM I GONNA DO WITH THAT S
7.32%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA PE
7.31%:  WHAT AM I GONNA DO WITH ALL THESE CENT
7.30%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA A
7.29%:  WHAT AM I GONNA DO WITH ALL THESE NEAT
7.27%:  WHAT AM I GONNA DO WITH ALL THESE SAD TEXT
7.21%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE DO
7.18%:  WHAT AM I GONNA DO WITH ALL THIS TRANSP
7.18%:  WHAT AM I GONNA DO WITH ALL THESE POINTERS
7.16%:  WHAT AM I GONNA DO WITH ALL THESE INST
7.13%:  WHAT AM I GONNA DO WITH ALL THIS CO
7.12%:  WHAT AM I GONNA DO WITH ALL THESE TI
7.10%:  WHAT AM I GONNA DO WITH ALL THESE EDIT
7.07%:  WHAT AM I GONNA DO WITH ALL THESE TOP SECRET AN
7.06%:  WHAT AM I GONNA DO WITH THIS N
7.05%:  WHAT AM I GONNA DO WITH ALL THE EXTRA COP
7.02%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA A
7.01%:  WHAT AM I GONNA DO WITH ALL THESE TRO
6.99%:  WHAT AM I GONNA DO WITH ALL THESE COINS I
6.97%:  WHAT AM I GONNA DO WITH ALL THESE RAIN
6.95%:  WHAT AM I GONNA DO WITH ALL THESE TRADES
6.95%:  WHAT AM I GONNA DO WITH ALL THIS POINT
6.94%:  WHAT AM I GONNA DO WITH ALL THESE ENTI
6.94%:  WHAT AM I GONNA DO WITH ALL THESE PAINTED
6.92%:  WHAT AM I GONNA DO WITH ALL THESE SCO
6.90%:  WHAT AM I GONNA DO WITH ALL THIS SO
6.89%:  WHAT AM I GONNA DO WITH THAT T
6.89%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA INSPI
6.89%:  WHAT AM I GONNA DO WITH ALL THAT EXTRA D
6.87%:  WHAT AM I GONNA DO WITH ALL THESE PRINTED C
6.84%:  WHAT AM I GONNA DO WITH THESE R
6.83%:  WHAT AM I GONNA DO WITH ALL THIS SEX AND
6.81%:  WHAT AM I GONNA DO WITH THOSE R
6.80%:  WHAT AM I GONNA DO WITH ALL THE EXTRA SPACE IN IT
6.80%:  WHAT AM I GONNA DO WITH ALL THESE PRINTED E
6.78%:  WHAT AM I GONNA DO WITH THE T
6.76%:  WHAT AM I GONNA DO WITH ALL THIS TRANS
6.71%:  WHAT AM I GONNA DO WITH ALL THESE AT
6.70%:  WHAT AM I GONNA DO WITH ALL THESE CAN
6.69%:  WHAT AM I GONNA DO WITH ALL THESE IR
14.15%:  WHAT AM I GONNA DO WITH ALL THESE IRONIC T
6.66%:  WHAT AM I GONNA DO WITH ALL THE EXTRA COPIES I
6.66%:  WHAT AM I GONNA DO WITH ALL THESE TIPS
6.64%:  WHAT AM I GONNA DO WITH ALL THIS SPENT
6.64%:  WHAT AM I GONNA DO WITH ALL THIS POT
6.62%:  WHAT AM I GONNA DO WITH ALL THESE TEARS I
6.62%:  WHAT AM I GONNA DO WITH ALL THIS DO
6.61%:  WHAT AM I GONNA DO WITH ALL THESE EXISTENCE PRO
6.59%:  WHAT AM I GONNA DO WITH ALL THESE TIRED
6.58%:  WHAT AM I GONNA DO WITH ALL THESE PEACE
6.57%:  WHAT AM I GONNA DO WITH THOSE L
6.52%:  WHAT AM I GONNA DO WITH ALL THIS SPARE TI
6.50%:  WHAT AM I GONNA DO WITH ALL THESE INCREAS
6.49%:  WHAT AM I GONNA DO WITH ALL THESE POTENT
6.48%:  WHAT AM I GONNA DO WITH ALL THESE PARTIES
6.48%:  WHAT AM I GONNA DO WITH ALL THESE DES
6.47%:  WHAT AM I GONNA DO WITH ALL THESE NOTE P
7.97%:  WHAT AM I GONNA DO WITH ALL THESE NOTE PADS I
6.46%:  WHAT AM I GONNA DO WITH THOSE 
6.44%:  WHAT AM I GONNA DO WITH ALL THESE TOP SECRET DIN
6.42%:  WHAT AM I GONNA DO WITH ALL THOSE TR
6.42%:  WHAT AM I GONNA DO WITH ALL THESE PEAN
6.39%:  WHAT AM I GONNA DO WITH ALL THESE COIN
6.35%:  WHAT AM I GONNA DO WITH THESE TRANSLAT
6.34%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE N
6.33%:  WHAT AM I GONNA DO WITH ALL THESE ENTR
6.32%:  WHAT AM I GONNA DO WITH ALL THIS A
6.32%:  WHAT AM I GONNA DO WITH ALL THESE TES
6.29%:  WHAT AM I GONNA DO WITH ALL THESE REAS
6.27%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPEE
6.26%:  WHAT AM I GONNA DO WITH ALL TH
6.18%:  WHAT AM I GONNA DO WITH THESE 
