come they act like they're so special when they really just taste like pork??
100.00%: 
491.27%:  come they keep
234.96%:  come they're such little jerks to each other all
47.96%:  come they're such little jerks to each other like
57.82%:  come they're such little jerks to each other like all
26.63%:  come they're such little jerks to their
39.63%:  come they're such little jerks to their pets
23.24%:  come when they're really happy they just look at
23.18%:  come they're such jerks to their cats
23.12%:  come when they're sick they like to stay
23.10%:  come they're so touch
27.62%:  come they're so touchy??
23.10%:  come when they're upset they keep
23.09%:  come when they're upset they take
62.37%:  come when they're upset they take their
23.06%:  come they'll eat their own little
23.05%:  come they let
35.27%:  come they let their
24.56%:  come they let their pets
55.94%:  come they let their pets eat their
23.62%:  come they let their pets eat their own
23.04%:  come when they're sick they still eat
31.80%:  come when they're sick they still eat their
22.97%:  come when they're really little they just eat their poops
26.10%:  come when they're really little they just eat their poops??
22.97%:  come there's so little
22.93%:  come when they're happy they talk really
22.91%:  come when they're really little they take
22.83%:  come they think they're this
66.27%:  come they think they're this special
22.80%:  come they always think they'll
22.78%:  come when they're really upset they like to cry
22.76%:  come they can't keep their socks
22.73%:  come they can't tell us where
318.93%:  come they can't tell us where they keep
3547.51%:  come they can't tell us where they keep their spare
5642.46%:  come they can't tell us where they keep their spare keys
1045.80%:  come they can't tell us where they keep their spare key
945.65%:  come they can't tell us where they keep their keys
778.68%:  come they can't tell us where they keep their spare set
642.89%:  come they can't tell us where they keep their secret
617.26%:  come they can't tell us where they keep their keys??
568.43%:  come they can't tell us where they keep their special
421.79%:  come they can't tell us where they keep their spare socks
378.79%:  come they can't tell us where they keep the
295.99%:  come they can't tell us where they keep all
2268.09%:  come they can't tell us where they keep all their spare
971.40%:  come they can't tell us where they keep all their spare keys
787.91%:  come they can't tell us where they keep all their secret
554.65%:  come they can't tell us where they keep all their socks
451.08%:  come they can't tell us where they keep all the
366.43%:  come they can't tell us where they keep all their pets
303.50%:  come they can't tell us where they keep all their special
292.60%:  come they can't tell us where they keep their spaces
291.86%:  come they can't tell us where they keep all their spare socks
283.65%:  come they can't tell us where they keep all their cool
277.78%:  come they can't tell us where they keep their secret st
264.44%:  come they can't tell us where they keep their space
263.91%:  come they can't tell us where they keep their little
245.82%:  come they can't tell us where they keep all their pet
245.64%:  come they can't tell us where they keep their socks
225.80%:  come they can't tell us where they keep the keys
223.86%:  come they can't tell us where they keep their pets
193.95%:  come they can't tell us where they keep their socks??
187.93%:  come they can't tell us where they keep their pet
153.70%:  come they can't tell us where they keep their spare sets
153.61%:  come they can't tell us where they keep their special treats
151.93%:  come they can't tell us where they keep their pets??
128.45%:  come they can't tell us where they keep their st
125.93%:  come they can't tell us where they keep their tears
117.34%:  come they can't tell us where they keep their spare key to
111.26%:  come they can't tell us where they keep all their secret st
109.10%:  come they can't tell us where they keep their spare keys to
101.50%:  come they can't tell us where they keep their car
98.85%:  come they can't tell us where they keep all their treats
98.23%:  come they can't tell us where they keep their tears??
90.61%:  come they can't tell us where they keep all their keys
90.53%:  come they can't tell us where they keep all the pet
89.81%:  come they can't tell us where they keep their cars
88.25%:  come they can't tell us where they keep their spare toilet
85.74%:  come they can't tell us where they keep all their po
83.22%:  come they can't tell us where they keep the spare
223.42%:  come they can't tell us where they keep the spare keys??
124.14%:  come they can't tell us where they keep the spare key
117.99%:  come they can't tell us where they keep the spare keys to
99.43%:  come they can't tell us where they keep the spare key??
81.31%:  come they can't tell us where they keep the spare key to
80.93%:  come they can't tell us where they keep their spare keys so
70.34%:  come they can't tell us where they keep the keys??
68.38%:  come they can't tell us where they keep all their space
65.23%:  come they can't tell us where they keep all those
64.41%:  come they can't tell us where they keep their pass
61.78%:  come they can't tell us where they keep the keys to all
61.69%:  come they can't tell us where they keep all the secret
59.56%:  come they can't tell us where they keep all their special treats
58.59%:  come they can't tell us where they keep all their tears
58.05%:  come they can't tell us where they keep their spare ty
57.76%:  come they can't tell us where they keep their cars??
55.55%:  come they can't tell us where they keep all their spaces
55.08%:  come they can't tell us where they keep their special little
54.35%:  come they can't tell us where they keep all the spare
62.05%:  come they can't tell us where they keep all the spare keys
52.68%:  come they can't tell us where they keep the pet
52.46%:  come they can't tell us where they keep the secret
51.02%:  come they can't tell us where they keep their treats
51.01%:  come they can't tell us where they keep their eyes
50.91%:  come they can't tell us where they keep their special st
50.09%:  come they can't tell us where they keep their party
49.44%:  come they can't tell us where they keep all that
48.60%:  come they can't tell us where they keep all this
48.44%:  come they can't tell us where they keep the rest
48.23%:  come they can't tell us where they keep all the pets
45.86%:  come they can't tell us where they keep their sp
45.47%:  come they can't tell us where they keep all their jokes
43.83%:  come they can't tell us where they keep all the cool
42.97%:  come they can't tell us where they keep all their copies
42.97%:  come they can't tell us where they keep their social
42.25%:  come they can't tell us where they keep their po
41.34%:  come they can't tell us where they keep their little spaces
40.16%:  come they can't tell us where they keep all their cool pets
39.42%:  come they can't tell us where they keep their little special
39.13%:  come they can't tell us where they keep all their jokes??
39.04%:  come they can't tell us where they keep the party
38.63%:  come they can't tell us where they keep all their pretty
38.24%:  come they can't tell us where they keep all their crap
37.68%:  come they can't tell us where they keep all their spare key
37.59%:  come they can't tell us where they keep their social skills
37.39%:  come they can't tell us where they keep their special keys
36.68%:  come they can't tell us where they keep all their party
36.53%:  come they can't tell us where they keep their social skills??
35.93%:  come they can't tell us where they keep all their parts
35.72%:  come they can't tell us where they keep all their t
35.44%:  come they can't tell us where they keep all their pe
35.34%:  come they can't tell us where they keep the really
35.28%:  come they can't tell us where they keep the key
34.86%:  come they can't tell us where they keep all their spare toilet
34.41%:  come they can't tell us where they keep their spare toes
43.08%:  come they can't tell us where they keep their spare toes??
34.30%:  come they can't tell us where they keep their special treat
34.28%:  come they can't tell us where they keep their secret la
34.11%:  come they can't tell us where they keep all the rest
34.10%:  come they can't tell us where they keep all their creep
33.76%:  come they can't tell us where they keep their little space
33.54%:  come they can't tell us where they keep their pet rocks
32.87%:  come they can't tell us where they keep their spice
32.74%:  come they can't tell us where their
32.55%:  come they can't tell us where they keep their keys all
31.92%:  come they can't tell us where they keep all their sock
31.63%:  come they can't tell us where they keep their really
30.99%:  come they can't tell us where they keep their parts
30.93%:  come they can't tell us where they keep all their sp
30.17%:  come they can't tell us where they keep their car keys all
30.16%:  come they can't tell us where they keep all their spare toes
35.24%:  come they can't tell us where they keep all their spare toes??
29.11%:  come they can't tell us where they keep all their rocks
29.09%:  come they can't tell us where they keep their cool
29.07%:  come they can't tell us where they keep their keys so
29.01%:  come they can't tell us where they keep their pocket
28.60%:  come they can't tell us where they keep their special keys??
28.36%:  come they can't tell us where they keep all their st
27.93%:  come they can't tell us where they keep all their cars
27.89%:  come they can't tell us where they keep all their cats
27.48%:  come they can't tell us where they keep all their pocket
27.45%:  come they can't tell us where they keep their spare key so
27.21%:  come they can't tell us where they keep all their parts??
26.74%:  come they can't tell us where they keep all their spare ty
26.64%:  come they can't tell us where they keep all their sick
26.23%:  come they can't tell us where they keep their car keys so
24.81%:  come they can't tell us where they keep all their stick
24.58%:  come they can't tell us where they keep the spare keys to all
24.56%:  come they can't tell us where they keep their eyes??
24.52%:  come they can't tell us where they keep all their loose
24.09%:  come they can't tell us where they keep their key
23.76%:  come they can't tell us where they keep their spare keys to all
23.52%:  come they can't tell us where they keep all their rocks??
22.85%:  come they can't tell us where they keep their copies
22.70%:  come when they're really happy they like to eat little
22.64%:  come when they're little they like to pull
22.62%:  come they're so scary
22.61%:  come when they're asleep they look like that little
22.61%:  come when they're little they really like to suck
32.62%:  come when they're little they really like to suck their
22.59%:  come they're all like this
22.58%:  come they always try to kill each
179.56%:  come they always try to kill each other??
22.58%:  come when they're happy they y
35.80%:  come when they're happy they yell out
22.53%:  come when they're asleep they look like they just ate
22.53%:  come they're so into the
22.43%:  come when they sleep they like to sleep like this
25.21%:  come when they sleep they like to sleep like this??
22.40%:  come when they're really little they taste
22.39%:  come when they talk
22.37%:  come they throw their po
22.36%:  come they're always pe
22.35%:  come they're always sp
22.29%:  come when they're really happy they let
97.09%:  come when they're really happy they let out a little
22.29%:  come they're always in
38.03%:  come they're always in the
22.25%:  come when they're really upset they cry like little
22.21%:  come they can't tell us where they keep their parts??
22.20%:  come they're so happy when they kill
22.19%:  come they can't tell us where they keep all these
22.18%:  come they're so creepy when they try to sleep
22.17%:  come when they're little they like to eat rocks??
22.15%:  come when they're really happy they close
22.15%:  come they're all such
22.14%:  come they can't tell us where they keep all their spare keys to
22.12%:  come they're always out
22.09%:  come they're not happy with their little
22.08%:  come they talk like this
22.07%:  come when they're really happy they still take
21.97%:  come they can't tell us where they keep their spare j
21.95%:  come when they're asleep they jerk
121.60%:  come when they're asleep they jerk their little
21.92%:  come they think it's such
21.91%:  come they're always lonely
22.79%:  come they're always lonely??
21.91%:  come when they're happy they just look
55.76%:  come when they're happy they just look like
21.90%:  come when they're really happy they stare
21.90%:  come there's like a
21.88%:  come they can't tell us where they store
30.15%:  come they can't tell us where they store their special
21.88%:  come when they're little they eat so
21.88%:  come when they're happy they cry so
55.08%:  come when they're happy they cry so little
43.54%:  come when they're happy they cry so little??
21.88%:  come when they're happy they still like to cry??
21.86%:  come when they're really little they pe
21.85%:  come they keep their houses
21.80%:  come when they're really happy it
21.78%:  come when they're really sick they eat
21.78%:  come they're not as
21.78%:  come they think they're so special yet
21.78%:  come they think they're super special all
21.77%:  come when they're little they talk
43.31%:  come when they're little they talk like
63.24%:  come when they're little they talk like they
43.23%:  come when they're little they talk like this
21.77%:  come they can't just eat the
21.75%:  come when they're really little they like to eat rocks
28.92%:  come when they're really little they like to eat rocks??
21.69%:  come when they're asleep they look like this little
21.68%:  come they think they're still cute
21.67%:  come when they're happy they still talk
69.90%:  come when they're happy they still talk like
21.66%:  come when they sleep they like their
21.66%:  come they're so happy to
59.36%:  come they're so happy to eat their
21.65%:  come they won't tell us their secret recipe
21.65%:  come they can't tell us where they keep their sock
21.62%:  come they can't eat like
21.62%:  come they can't tell us where they keep their spare sock
21.62%:  come they're not happy with the
21.61%:  come they're still not
21.59%:  come when they're asleep they look like really
29.44%:  come when they're asleep they look like really cute
21.58%:  come when they're really upset they like to sit
21.58%:  come when they're happy they still say
21.55%:  come they eat the
21.54%:  come when they're really little they suck their toes??
21.52%:  come they're so little when
22.76%:  come they're so little when they eat
21.51%:  come they won't just eat pet
21.50%:  come when they're upset they like to say
21.50%:  come they always think they're too
21.48%:  come they're such jerks to their little pets
22.04%:  come they're such jerks to their little pets??
21.48%:  come when they're asleep they like to stick
21.42%:  come they'll eat pet
21.40%:  come they're always happy to see other
21.40%:  come when they're little they like to suck their toes??
21.38%:  come they always think they're such special
300.51%:  come they always think they're such special little
21.38%:  come when they're really little they eat like
21.24%:  come they keep their pets
21.22%:  come they always put their little
21.15%:  come when they're really little they just stare
21.07%:  come they're not as pretty
21.05%:  come when they're asleep they look like little sh
21.04%:  come they're not as pretty as they
21.04%:  come they're so upset when they hear
21.01%:  come they won't let us eat their crappy
20.96%:  come they're so pretty when they talk
20.93%:  come they always think they're sick
20.92%:  come when they're really happy they like to sit
20.87%:  come when they're happy they just sort
20.86%:  come when they're really happy they look just like a cat
20.86%:  come they're always the
20.84%:  come they're pretty
20.81%:  come they're so creepy when they try to eat
20.80%:  come when they're really little they stick
20.73%:  come when they're really little they look cute
20.71%:  come when they're really little they just eat their poop??
20.69%:  come they keep their little
20.66%:  come when they're really upset they like to hit
20.65%:  come they can't tell us where they keep all their scary
20.58%:  come they think they're people??
20.57%:  come when they're asleep they still keep their little
20.57%:  come they're so cute when they try to play
20.56%:  come they're like that when
23.32%:  come they're like that when they eat
20.56%:  come they're like that with each
20.51%:  come when they're really happy they raise
20.50%:  come when they're little they look cute
20.49%:  come when they're happy they yell like
20.49%:  come when they're little they stick
20.48%:  come they can't tell us where they keep all their pet rocks
20.45%:  come when they're upset they look
48.53%:  come when they're upset they look like
36.56%:  come when they're upset they look like little
34.45%:  come when they're upset they look like their
32.00%:  come when they're upset they look like this
20.43%:  come when they're really little they put
20.38%:  come they put their shoes
20.38%:  come they're always secret
20.37%:  come when they're sick they eat less
20.35%:  come they think that
20.35%:  come they think they're worth
20.34%:  come they think they're so special yet they keep
20.29%:  come when they're happy they tell
27.03%:  come when they're happy they tell you
20.23%:  come when they're really little they sleep so
20.21%:  come when they're really happy they act
69.74%:  come when they're really happy they act like little
30.64%:  come when they're really happy they act like total
56.80%:  come when they're really happy they act like total jer
142.10%:  come when they're really happy they act like total jerks??
20.95%:  come when they're really happy they act like total jerks to
20.18%:  come there's still
20.16%:  come they're so creepy when they stare at us??
20.13%:  come they can't just keep
61.02%:  come they can't just keep their little
30.38%:  come they can't just keep their eyes
20.11%:  come when they sleep they just lie there like rocks
20.08%:  come they just keep
20.05%:  come when they're really little they just po
135.94%:  come when they're really little they just poop their
20.04%:  come they're so cute when they try to sleep
20.04%:  come they're all so pretty when
172.31%:  come they're all so pretty when they sleep
127.20%:  come they're all so pretty when they sleep??
83.86%:  come they're all so pretty when they cry
45.02%:  come they're all so pretty when they cry??
20.03%:  come when they're happy they look like really
20.02%:  come there's always
20.01%:  come they can't tell us where they keep their spare li
19.98%:  come they won't tell us??
19.96%:  come they can't write
53.51%:  come they can't write their
19.96%:  come they're such jerks to the rest
19.96%:  come they always think they're happy
19.95%:  come when they're asleep they kick the
24.00%:  come when they're asleep they kick the crap
19.88%:  come they think they're super special like
81.70%:  come they think they're super special like that??
19.87%:  come when they're sick they just sleep
19.87%:  come they still like
19.86%:  come when they're happy they still cry a
289.83%:  come when they're happy they still cry a little??
19.85%:  come when they're happy they like to y
24.60%:  come when they're happy they like to yell at
19.82%:  come they're so pretty when you
19.81%:  come when they're sick they put
66.34%:  come when they're sick they put their
19.81%:  come they're like that with their eyes
19.81%:  come when they talk they keep
41.53%:  come when they talk they keep their
87.02%:  come when they talk they keep their eyes
19.80%:  come they like to eat the
19.77%:  come when they're sick they take
56.72%:  come when they're sick they take pills
103.01%:  come when they're sick they take pills that
81.26%:  come when they're sick they take pills that are
31.63%:  come when they're sick they take pills that are really
46.95%:  come when they're sick they take pills that are really just pieces
27.25%:  come when they're sick they take pills that are just
19.76%:  come when they're really upset they start y
19.76%:  come they're always either
19.76%:  come when they're sick they take pills that say
19.74%:  come they think they're hot
19.74%:  come they're always so upset they
19.72%:  come when they're really little they cry a
19.65%:  come they think it's super
19.65%:  come they're so upset when they lose
84.84%:  come they're so upset when they lose their
38.90%:  come they're so upset when they lose their little
32.24%:  come they're so upset when they lose their keys
39.21%:  come they're so upset when they lose their keys??
20.41%:  come they're so upset when they lose their pet
19.64%:  come when they're little they still
19.60%:  come when they're sick they just sleep all
19.59%:  come they're really into their
24.87%:  come they're really into their pets
19.58%:  come they're not just
19.56%:  come when they're really little they take up
19.55%:  come they're so creepy when they take their socks
19.55%:  come they can't tell us where they keep their spare little
19.52%:  come when they're really upset they like to sleep
19.49%:  come they can't tell us where they keep their ears
19.49%:  come when they're happy they kiss
19.46%:  come when they're asleep they look like this??
19.42%:  come when they're little they hate
19.42%:  come they won't eat their pets??
19.39%:  come they can't tell us where they keep their rock
19.36%:  come they listen
19.34%:  come when they're really upset they look like the
19.28%:  come they won't accept
19.27%:  come they can't tell us where they keep all their cool pet
19.24%:  come when they sleep they take up
19.22%:  come when they're really upset they like to stare at the
19.91%:  come when they're really upset they like to stare at the sky
19.22%:  come they think it's okay to steal
19.22%:  come they're so cute when they say their
19.14%:  come they can't keep their lips
34.09%:  come they can't keep their lips shut
19.96%:  come they can't keep their lips shut??
19.11%:  come they're such jerks to the people
52.40%:  come they're such jerks to the people they like
34.79%:  come they're such jerks to the people they like??
31.25%:  come they're such jerks to the people they really
135.71%:  come they're such jerks to the people they really like??
24.68%:  come they're such jerks to the people they care
19.09%:  come when they're asleep they look like such
132.01%:  come when they're asleep they look like such little
31.14%:  come when they're asleep they look like such pretty
285.22%:  come when they're asleep they look like such pretty little
19.09%:  come when they're really upset they stare
19.06%:  come they can't tell us where they keep the special
19.05%:  come when they're little they sleep all
19.05%:  come they can't keep their sh
19.05%:  come they're always such jer
130.80%:  come they're always such jerks to each other??
55.56%:  come they're always such jerks to their
171.19%:  come they're always such jerks to their pets
35.89%:  come they're always such jerks to their little
27.88%:  come they're always such jerks to other
22.82%:  come they're always such jerks??
22.24%:  come they're always such jerks to their little pets
19.00%:  come when they're happy they all
19.00%:  come they're so pretty when they like
18.97%:  come they can't use
45.30%:  come they can't use their powers
33.78%:  come they can't use their eyes
18.97%:  come they're so into their cell
18.97%:  come they can't tell us where they keep all their pot
18.97%:  come they're so creepy when they start
18.94%:  come they always think they're just like the
18.94%:  come they're so upset that we
18.93%:  come they can't tell us where they keep all their crap??
18.93%:  come they can't tell us where they keep all the spare keys to
18.93%:  come they think they're still cool
18.91%:  come when they sleep they just lay
283.44%:  come when they sleep they just lay there like
45.29%:  come when they sleep they just lay there like a
37.45%:  come when they sleep they just lay there like a rock
20.60%:  come when they sleep they just lay there like it
20.07%:  come when they sleep they just lay there like a rock??
19.17%:  come when they sleep they just lay there??
18.90%:  come they talk like they're really special when
18.90%:  come they're always really upset
18.89%:  come they're like that??
18.88%:  come when they're asleep their little chest
18.85%:  come they're always so cute??
18.85%:  come they look
35.99%:  come they look like
76.64%:  come they look like they
754.02%:  come they look like they're always
122.25%:  come they look like they're always upset
77.84%:  come they look like they're always just
72.18%:  come they look like they're always either
77.26%:  come they look like they're always either really
62.41%:  come they look like they're always really
99.11%:  come they look like they're always really upset
60.32%:  come they look like they're always either really upset
52.45%:  come they look like they're always upset??
51.06%:  come they look like they're always really upset??
50.74%:  come they look like they're happy
78.62%:  come they look like they're happy when
46.06%:  come they look like they're really
44.51%:  come they look like they're always either happy
42.19%:  come they look like they're always happy
37.90%:  come they look like they're always super
33.62%:  come they look like they're always up
32.64%:  come they look like they're happy all
31.85%:  come they look like this
30.60%:  come they look like they're really upset
71.66%:  come they look like they're really upset when
53.54%:  come they look like they're really upset when they eat
29.45%:  come they look like they're just
28.22%:  come they look like they're really upset when they stare
28.04%:  come they look like they're always either super
27.91%:  come they look like they're always in
26.23%:  come they look like they're always in the
25.87%:  come they look like they're always secret
25.68%:  come they look like they're happy when really
25.47%:  come they look like they're always three
39.36%:  come they look like they're always three steps
23.77%:  come they look like they're all
22.80%:  come they look like they're really happy
48.10%:  come they look like they're really happy when
22.78%:  come they look like they're always sleep
29.06%:  come they look like they're always sleepy??
21.47%:  come they look like they want
21.01%:  come they look like this when
436.95%:  come they look like this when they're really
285.58%:  come they look like this when they're upset
262.38%:  come they look like this when they're really upset
245.51%:  come they look like this when they're asleep
296.07%:  come they look like this when they're asleep??
205.86%:  come they look like this when they're really cute
178.50%:  come they look like this when they're really upset??
175.78%:  come they look like this when they cry
139.30%:  come they look like this when they're upset??
132.26%:  come they look like this when they're really cute??
117.83%:  come they look like this when they cry??
103.72%:  come they look like this when they sleep
103.16%:  come they look like this when they're really just
77.73%:  come they look like this when they sleep??
74.13%:  come they look like this when they're just
57.58%:  come they look like this when they're little
55.64%:  come they look like this when they're sleep
71.95%:  come they look like this when they're sleepy??
45.50%:  come they look like this when they're really pretty
35.75%:  come they look like this when they eat
32.71%:  come they look like this when they're super
22.51%:  come they look like this when they're all
22.14%:  come they look like this when they're cute
19.65%:  come they look like they're really upset when they see
19.27%:  come they look like this when they try
19.21%:  come they look like they're really upset when they sleep
18.84%:  come they look like they're always pretty
24.19%:  come they look like they're always pretty upset
20.69%:  come they look like they're always pretty sure
21.79%:  come they look like they're always pretty sure that
18.82%:  come when they're asleep they like to sleep like
32.46%:  come when they're asleep they like to sleep like that??
29.65%:  come when they're asleep they like to sleep like this
21.97%:  come when they're asleep they like to sleep like this??
18.80%:  come they think they're real
109.82%:  come they think they're real people??
23.88%:  come they think they're real people with
21.03%:  come they think they're real special
20.91%:  come they think they're real special just
18.80%:  come they always put their shoes
18.78%:  come they're such cry
18.77%:  come they keep their eyes
52.35%:  come they keep their eyes open while
45.29%:  come they keep their eyes open while they cry
44.93%:  come they keep their eyes open while they're still
31.89%:  come they keep their eyes open while they cry??
18.77%:  come they think they're all so
119.24%:  come they think they're all so special
132.25%:  come they think they're all so special??
25.26%:  come they think they're all so special just
18.77%:  come when they're really upset they take it
18.73%:  come they think they're all special just
18.72%:  come they won't let us eat their special pet
18.68%:  come they're so short??
18.65%:  come they always cry
18.64%:  come they can't tell us where they keep all their cars??
18.63%:  come they're the only people with
18.63%:  come they can't tell us where they keep their pills
18.62%:  come when they're asleep they just lie there all
18.62%:  come they're like this when there are
18.61%:  come when they sleep they talk
18.59%:  come when they're really upset they like to call
44.78%:  come when they're really upset they like to call their
18.59%:  come they're the ones
18.55%:  come when they sleep they just lay there like a cor
62.06%:  come when they sleep they just lay there like a corpse??
18.55%:  come they won't eat like
18.54%:  come when they're sick they call
28.14%:  come when they're sick they call their
18.54%:  come when they're sick they stop
18.53%:  come when they're happy they stare
25.58%:  come when they're happy they stare at you
56.45%:  come when they're happy they stare at you like
18.51%:  come they look like this when they're little??
18.51%:  come when they sleep they just lie there like total
18.50%:  come they eat their pets
18.46%:  come when they're asleep their hearts
43.05%:  come when they're asleep their hearts still
18.45%:  come when they're asleep they like to pull
18.45%:  come when they're sick they take their
18.42%:  come they're always such little
23.01%:  come they're always such little jer
41.73%:  come they're always such little jerks??
37.36%:  come they're always such little jerks to
688.28%:  come they're always such little jerks to each other??
36.91%:  come they're always such little jerks to their
50.13%:  come they're always such little jerks to their pets
35.05%:  come they're always such little jerks to each other like
18.53%:  come they're always such little jerks to other
38.97%:  come they're always such little jerks to other little
18.39%:  come they're like this all
18.38%:  come when they're really upset their eyes look
78.23%:  come when they're really upset their eyes look like this
59.80%:  come when they're really upset their eyes look like that
34.00%:  come when they're really upset their eyes look like this??
20.06%:  come when they're really upset their eyes look like that??
18.34%:  come they can't keep their teeth white
18.31%:  come they're always happy to see us
18.30%:  come when they sleep they're so
27.88%:  come when they sleep they're so still
18.30%:  come when they're asleep they just lie there like a
40.19%:  come when they're asleep they just lie there like a rock
21.08%:  come when they're asleep they just lie there like a rock??
18.30%:  come their eyes are so pretty when
36.30%:  come their eyes are so pretty when they sleep
69.98%:  come their eyes are so pretty when they sleep??
30.16%:  come their eyes are so pretty when they close
18.28%:  come when they're asleep they look like really pretty
18.27%:  come when they're really upset they talk really
18.22%:  come when they sleep they kick
58.62%:  come when they sleep they kick their
18.22%:  come they're such jerks to people
25.29%:  come they're such jerks to people they
18.20%:  come they like to stare
24.33%:  come they like to stare at their
18.16%:  come they care
36.50%:  come they care so little
18.16%:  come they think they're so special with
18.15%:  come they can't tell us where they keep their really special
18.13%:  come they talk like they're in
35.57%:  come they talk like they're in a hurry??
28.05%:  come they talk like they're in a hurry all
18.12%:  come they like to play
30.63%:  come they like to play with
22.56%:  come they like to play with their phones
18.10%:  come we
18.10%:  come when they're really happy they look at
18.09%:  come when they eat their
18.09%:  come they're always out there
18.07%:  come they won't try
18.07%:  come they look like they're really upset when they start
18.06%:  come they're so creepy when they cry??
18.01%:  come when they're really sick they just lie there all
18.00%:  come they think they're really pretty
17.99%:  come they think it's okay to call
17.99%:  come when they're really sick they just lay
70.31%:  come when they're really sick they just lay there
34.33%:  come when they're really sick they just lay there like
17.99%:  come they're always all
17.96%:  come they're always so happy to see us
17.96%:  come when they're asleep they look like really pretty stat
17.91%:  come they're so weak
17.89%:  come when they're asleep they just lie there??
17.89%:  come when they're happy they like to yell out
17.89%:  come they always put their keys
802.48%:  come they always put their keys in their pocket
235.47%:  come they always put their keys in their pocket??
50.08%:  come they always put their keys in the
34.31%:  come they always put their keys in their teeth
22.18%:  come they always put their keys in their teeth??
19.16%:  come they always put their keys in the pocket
24.32%:  come they always put their keys in the pocket they
28.79%:  come they always put their keys in the pocket they're least
18.02%:  come they always put their keys in their pocket so
52.94%:  come they always put their keys in their pocket so they'
73.61%:  come they always put their keys in their pocket so they'll
18.70%:  come they always put their keys in their pocket so they're all
17.88%:  come they're such little jerks when they eat
17.88%:  come they like to stare at their phones??
17.87%:  come when they're little they suck at
17.87%:  come when they're really happy they just like to take
17.86%:  come they're so pretty when they like you??
17.84%:  come when they sleep they're like that
17.83%:  come they look like they're in
17.80%:  come when they're really upset they like to press
17.80%:  come they're such jerks to cats
17.78%:  come when they're really sick they just sleep
17.73%:  come they're so shitty
17.72%:  come when they're really little you
17.69%:  come they can't tell us where they keep all their plates
17.69%:  come they like to put
58.01%:  come they like to put their
17.69%:  come when they're happy they just eat
17.64%:  come they po
17.64%:  come they can't just keep their pets
17.62%:  come they think it's ok
17.59%:  come when they cry they look
145.23%:  come when they cry they look like they're just
114.66%:  come when they cry they look like they just
99.33%:  come when they cry they look like they're upset
93.27%:  come when they cry they look like they're super
65.83%:  come when they cry they look like they just ate
53.39%:  come when they cry they look like they're still
49.09%:  come when they cry they look like they're all
44.72%:  come when they cry they look like little
29.86%:  come when they cry they look like their
23.67%:  come when they cry they look like their eyes
22.37%:  come when they cry they look like they'll
17.58%:  come they can't tell us where they keep their silly
17.58%:  come they're the only people with their
17.57%:  come they can't tell us where they keep that
17.55%:  come when they're little they sleep like
17.54%:  come they can't tell us where they keep their poo??
17.53%:  come when they're asleep they roll
19.17%:  come when they're asleep they roll their
17.52%:  come they always think they're really cool
17.49%:  come they think it's okay to wear their
17.48%:  come they're really into their pets??
17.47%:  come they're so pretty when they eat their
17.45%:  come they look like they're still
17.44%:  come when they're little they pe
22.67%:  come when they're little they pee their
17.43%:  come they like the colour
18.73%:  come they like the colour pink
17.43%:  come they're so special
17.42%:  come when they're asleep they like to pull their toes
17.41%:  come when they're really little they try
17.41%:  come they're so cute when they try to say
17.40%:  come they taste like their own
19.98%:  come they taste like their own tears
26.41%:  come they taste like their own tears??
17.39%:  come they're always on
86.22%:  come they're always on the toilet
128.05%:  come they're always on the toilet??
56.90%:  come they're always on their
98.06%:  come they're always on their cell
28.03%:  come they're always on their little
17.36%:  come when they're asleep they look like cute
30.57%:  come when they're asleep they look like cute little ch
21.85%:  come when they're asleep they look like cute little cats
17.33%:  come they say
17.33%:  come when they're happy they close
17.32%:  come they can't tell us where they keep all their salt
17.29%:  come when they're really little they cry a lot??
17.27%:  come when they sleep they like to stick
17.26%:  come they say they
21.20%:  come they say they like
20.37%:  come they say they're sorry
17.26%:  come when they're asleep they like to roll
20.23%:  come when they're asleep they like to roll their
17.26%:  come they're such jerks to the planet they
17.24%:  come when they sleep they still
17.23%:  come they can't tell us where they keep all their cool parts
19.87%:  come they can't tell us where they keep all their cool parts??
17.22%:  come they like to watch their
17.22%:  come when they're little they take
21.95%:  come when they're little they take their
17.22%:  come when they sleep they like to lie
17.22%:  come when they're really happy they look like cats
17.20%:  come when they're upset they call
59.30%:  come when they're upset they call their
17.17%:  come they're so cute when they like
17.15%:  come they're not like the
27.91%:  come they're not like the other
17.13%:  come they're all really
17.12%:  come they're like that with other
75.21%:  come they're like that with other people
28.53%:  come they're like that with other people??
17.08%:  come when they're really happy they like to talk to
17.07%:  come they're always cr
17.06%:  come when they're really happy they like to just stare
17.05%:  come when they're happy they just look really
17.00%:  come when they're little they like to take
19.51%:  come when they're little they like to take their
16.98%:  come when they're sick they say
27.55%:  come when they're sick they say they
16.97%:  come when they're sick they keep
16.97%:  come when they're really upset they close
53.41%:  come when they're really upset they close their eyes??
29.73%:  come when they're really upset they close their eyes so
16.96%:  come when they're asleep they look like cute little t
16.96%:  come they like cheese
16.96%:  come when they're really upset they po
16.96%:  come when they're happy they yell at
16.92%:  come they look like they're always punch
16.92%:  come they're like this when they eat pet
16.92%:  come they'll eat their own pet
16.91%:  come they wear
16.89%:  come they think it's a
16.89%:  come when they're little they look like real
16.88%:  come they can't tell us where they keep all their tricks
16.86%:  come they can't tell us where they keep all the keys
16.84%:  come they won't let us eat their cere
16.84%:  come when they're little they try to eat your
