IS EXACTLY WHY I KEEP MAKING IT SO YOU NEVER GET A PRINTING PRESS
100.00%: 
182.74%:  IS WHY
5.21%:  IS WHY PEOPLE KEEP ASKING ME TO USE
5.21%:  IS WHY PEOPLE SAY I NEVER SPEAK ANY MO
5.21%:  IS WHY YOU NEVER IN
5.21%:  IS EXACTLY THE WR
45.54%:  IS EXACTLY THE WRONG TIME
120.96%:  IS EXACTLY THE WRONG TIME TO USE
20.78%:  IS EXACTLY THE WRONG TIME TO S
7.07%:  IS EXACTLY THE WRONG TIME TO IN
5.51%:  IS EXACTLY THE WRONG AT
5.21%:  IS EXACTLY WHY I KEEP TRYING TO INVENT S
5.20%:  IS EXACTLY WHAT I SAY EVERY MORNING TO GRE
5.20%:  IS EXACTLY THE REASON I NEVER TRUST ANYONE I ME
5.20%:  IS EXACTLY WHY I NEVER TO
5.20%:  IS EXACTLY THE REASON I NEVER ANSWER M
5.20%:  IS EXACTLY WHY YOU ARE NOT A RE
5.20%:  IS EXACTLY THE REASON I NEVER WANT PE
5.19%:  IS THE EXACT REASON I G
5.19%:  IS THE REASON I NEVER PLAY
5.19%:  IS EXACTLY THE REASON I NEVER MET YOUR
5.19%:  IS THE REASON I NEVER LISTEN TO S
5.19%:  IS EXACTLY WHAT EV
5.19%:  IS EXACTLY THE REASON I NEVER SPEAK IN RE
5.19%:  IS THE REASON I WENT TO
5.19%:  IS EXACTLY THE REASON I KEEP SAYING O
5.18%:  IS EXACTLY WHY I USE A
5.18%:  IS WHY PEOPLE NEVER USE MY S
5.18%:  IS WHY I NEVER LET ANYONE P
5.18%:  IS EXACTLY THE REASON I NEVER GOT USE
5.18%:  IS EXACTLY THE REASON I NEVER GET S
5.17%:  IS EXACTLY WHY I GET SO ANGRY SO
5.17%:  IS EXACTLY WHY I SIGN
5.17%:  ISN
5.17%:  IS EXACTLY THE REASON I WAS NEVER SUPER INTO P
5.17%:  IS EXACTLY THE REASON YOU ST
5.17%:  IS EXACTLY WHAT GOT ME INTO GEN
5.17%:  IS WHY YOU ARE NOT IN
5.17%:  IS EXACTLY THE REASON I WANT TO S
5.17%:  IS EXACTLY WHY I NEVER ENTER INTO ANY AR
5.17%:  IS EXACTLY WHY I NEVER TAKE A
5.17%:  IS WHAT I SAY EVERY SINGLE MORNING IN PR
5.17%:  IS THE EXACT REASON I NEVER SAY YOUR
5.16%:  IS THE EXACT REASON I ST
5.16%:  IS EXACTLY THE REASON I WAS NEVER PUT
5.16%:  IS THE REASON I NEVER SPEAK IN S
5.16%:  IS WHY I ST
5.95%:  IS WHY I STOP
5.16%:  IS EXACTLY THE REASON I REGRET NOT IN
5.16%:  IS EXACTLY WHAT YOU SIGN
5.16%:  IS WHY I NEVER LET ANYONE GET
5.16%:  IS WHY I NEVER TALK TO YOU AGAINST
5.16%:  IS EXACTLY THE REASON I PUS
5.16%:  IS EXACTLY WHAT YOU SENT
5.16%:  IS WHAT YOU SAY
5.16%:  IS WHY I NEVER LET ANYONE TAKE NOT
5.16%:  IS EXACTLY WHAT I SAY EVERY MORNING TO SE
5.15%:  IS EXACTLY WHY YOU NEVER ASK ME A
5.15%:  IS EXACTLY THE SAME RES
5.15%:  IS EXACTLY WHY I NEVER SAY NOT
5.15%:  IS WHY I NEVER LISTEN TO YOUR STR
5.15%:  IS EXACTLY THE REASON I NEVER NE
5.15%:  IS WHY I NEVER LET ANYONE USE MY TRAN
5.14%:  IS THE REAL REASON YOU WERE MA
5.14%:  IS EXACTLY WHY I GO
5.14%:  IS EXACTLY THE REASON I WENT O
5.14%:  IS EXACTLY WHY I NEVER TRUST ANYONE T
5.14%:  IS WHY I GET
5.14%:  IS EXACTLY THE REASON I WAS NEVER INTO G
5.14%:  IS THE REASON I KEEP SAYING I W
7.96%:  IS THE REASON I KEEP SAYING I WANT YOU
5.14%:  IS EXACTLY THE REASON I NEVER SPEAK IN SING
5.14%:  IS EXACTLY WHY I NEVER POST TO
5.13%:  IS EXACTLY WHAT IT SA
5.13%:  IS EXACTLY WHY I NEVER ASK YOU TO SPEAK IN S
5.13%:  IS EXACTLY WHY YOU ARE NOT A PER
5.13%:  IS WHY I NEVER LET YOU SPEAK AT MY S
5.13%:  IS EXACTLY HOW YOU TRE
5.13%:  IS THE REASON I GIVE PEOPLE A
5.13%:  IS EXACTLY THE REASON I NEVER SPEAK TO MY
5.13%:  IS EXACTLY THE REASON I NEVER USE MY POWERS IN P
5.13%:  IS EXACTLY THE REASON I WAS NEVER SUPER INTO TIME
5.12%:  IS WHY PEOPLE PR
11.10%:  IS WHY PEOPLE PRAY TO
5.75%:  IS WHY PEOPLE PRAY TO ME IN
5.12%:  IS THE REASON I KEEP SAYING I AM
5.12%:  IS WHY PEOPLE PUT ME
5.12%:  IS EXACTLY WHY I NEVER ASK YOU TO SPEAK IN SENT
5.12%:  IS EXACTLY THE REASON I WAS SURE
5.12%:  IS WHY I NEVER LET YOU GET
5.12%:  IS EXACTLY THE REASON I WAS RE
5.12%:  IS EXACTLY THE REASON I NEVER WANT US
6.78%:  IS EXACTLY THE REASON I NEVER WANT US TO ME
5.12%:  IS WHAT PEOPLE EXPECT
5.12%:  IS EXACTLY WHAT GOES ON AT
5.11%:  IS WHY PEOPLE STOP S
26.82%:  IS WHY PEOPLE STOP SAYING MY
12.64%:  IS WHY PEOPLE STOP SAYING GR
15.93%:  IS WHY PEOPLE STOP SAYING GRACE IN
15.90%:  IS WHY PEOPLE STOP SAYING GRACE AT
10.14%:  IS WHY PEOPLE STOP SAYING ST
9.03%:  IS WHY PEOPLE STOP SAYING I
5.49%:  IS WHY PEOPLE STOP SAYING S
5.11%:  IS EXACTLY WHY MY VERSION GET
5.11%:  IS EXACTLY THE REASON I KEEP TRYING TO ERASE M
5.11%:  IS THE EXACT REASON I NEVER RES
5.11%:  IS EXACTLY THE REASON I NEVER WROTE S
5.10%:  IS EXACTLY WHY I KEEP PUN
5.10%:  IS THE EXACT SAME REASON I USE
5.10%:  IS EXACTLY THE REASON I PRETTY
5.10%:  IS EXACTLY WHY I NEVER PROMISE ANYONE A PIE
5.10%:  IS EXACTLY WHAT I SPE
5.10%:  IS EXACTLY THE REASON I NEVER GOT UP
5.10%:  IS EXACTLY THE REASON I WROTE GENESIS T
5.10%:  IS EXACTLY THE REASON I WRITE MY S
5.10%:  IS NOT A
5.10%:  IS EXACTLY WHAT I SAY EVERY TIME I SPIN
5.10%:  IS WHAT PEOPLE ARE SAYING T
5.09%:  IS EXACTLY WHY I NEVER RENT
5.09%:  IS THE REAL REASON I MAKE
5.09%:  IS WHY PEOPLE KEEP GETTING CON
5.09%:  IS EXACTLY WHAT I SEE EVERY M
26.50%:  IS EXACTLY WHAT I SEE EVERY MORNING IN
16.94%:  IS EXACTLY WHAT I SEE EVERY MORNING IN YOUR
8.61%:  IS EXACTLY WHAT I SEE EVERY MORNING AT
6.93%:  IS EXACTLY WHAT I SEE EVERY MORNING AS
5.09%:  IS WHAT IT IS
5.09%:  IS EXACTLY WHAT I SAY IN MY OPINION S
5.09%:  IS EXACTLY THE REASON I GAVE YOU E
5.09%:  IS THE REASON I AL
23.32%:  IS THE REASON I ALWAYS USE
11.58%:  IS THE REASON I ALWAYS S
6.75%:  IS THE REASON I ALWAYS T
5.09%:  IS EXACTLY THE REASON I MAKE SURE I
5.09%:  IS EXACTLY WHAT N
5.08%:  IS WHAT PEOPLE ARE SAYING IN MY CON
5.08%:  IS EXACTLY THE REASON I KEEP TAK
43.58%:  IS EXACTLY THE REASON I KEEP TAKING YOUR
11.09%:  IS EXACTLY THE REASON I KEEP TAKING MY
9.08%:  IS EXACTLY THE REASON I KEEP TAKING YOUR N
7.63%:  IS EXACTLY THE REASON I KEEP TAKING YOU
6.91%:  IS EXACTLY THE REASON I KEEP TAKING YOUR S
6.44%:  IS EXACTLY THE REASON I KEEP TAKING YOUR W
5.08%:  IS WHY PEOPLE A
9.03%:  IS WHY PEOPLE ASK ME NOT
5.08%:  IS THE ONE TIME YOU CAN S
5.08%:  IS THE REAL REASON I WROTE T
5.08%:  IS WHY PEOPLE EXPECT
5.08%:  IS EXACTLY THE REASON I WAS G
7.54%:  IS EXACTLY THE REASON I WAS GIVING
12.57%:  IS EXACTLY THE REASON I WAS GIVING YOU
7.01%:  IS EXACTLY THE REASON I WAS GIVING OUT
5.08%:  IS EXACTLY THE REASON I NEVER WROTE SU
5.08%:  IS EXACTLY WHEN YOU
5.08%:  IS THE REAL REASON YOU S
5.08%:  IS EXACTLY THE REASON I NEVER REG
5.08%:  IS EXACTLY WHY I NEVER SPEAK IN EN
5.07%:  IS EXACTLY WHY I NEVER SPEAK IN SENSE
5.07%:  IS THE REASON I KEEP SAYING YOU AREN
5.07%:  IS WHY I NEVER LISTEN TO YOUR CRAPPY SENT
5.07%:  IS EXACTLY THE REASON I SURE
5.07%:  IS THE REASON I LIKE YOUR
5.07%:  IS EXACTLY THE REASON I SPENT E
10.10%:  IS EXACTLY THE REASON I SPENT ETERN
5.07%:  IS WHY I NEVER TALK TO ANYONE EXCEPT G
5.07%:  IS EXACTLY WHY I NEVER TRAN
5.06%:  IS EXACTLY WHY I KEEP SAYING I SURE
5.06%:  IS THE EXACT REASON I LE
5.06%:  IS EXACTLY WHY I NEVER SENT ANYONE OUT
5.06%:  IS WHY PEOPLE TAKE MY
5.06%:  IS WHY I NEVER ASK PEOPLE TO PR
5.06%:  IS EXACTLY THE REASON WE NEVER SPE
5.37%:  IS EXACTLY THE REASON WE NEVER SPEAK IN
5.06%:  IS EXACTLY THE REASON I WAS TR
23.49%:  IS EXACTLY THE REASON I WAS TRYING TO S
20.53%:  IS EXACTLY THE REASON I WAS TRYING TO K
37.51%:  IS EXACTLY THE REASON I WAS TRYING TO KEEP MY
15.16%:  IS EXACTLY THE REASON I WAS TRYING TO RE
15.09%:  IS EXACTLY THE REASON I WAS TRYING NOT
12.01%:  IS EXACTLY THE REASON I WAS TRYING TO SUG
8.36%:  IS EXACTLY THE REASON I WAS TRYING TO KEEP PE
7.21%:  IS EXACTLY THE REASON I WAS TRYING TO KEEP G
6.88%:  IS EXACTLY THE REASON I WAS TRYING TO P
5.15%:  IS EXACTLY THE REASON I WAS TRYING TO IMP
5.14%:  IS EXACTLY THE REASON I WAS TRYING TO SPE
5.06%:  IS EXACTLY THE REASON I WAS NEVER TOT
5.06%:  IS EXACTLY WHY I KEEP PRET
5.06%:  IS THE REASON I KEEP SAYING I WAS
5.06%:  IS WHY PEOPLE ARE SAYING PRAYER IS UN
5.06%:  IS EXACTLY WHY I NEVER SENT YOU AN IN
5.05%:  IS EXACTLY THE REASON I NEVER GET ANY REST
5.05%:  IS THE REASON I NEVER TAKE YOUR S
5.05%:  IS EXACTLY THE REASON I NEVER SEEM
5.05%:  IS EXACTLY WHAT IS GO
39.39%:  IS EXACTLY WHAT IS GOING ON
10.13%:  IS EXACTLY WHAT IS GOING ON R
7.71%:  IS EXACTLY WHAT IS GOING ON IN MY UN
5.05%:  IS EXACTLY WHAT ANNOYS ME SO
5.05%:  IS EXACTLY WHY I NEVER TOOK ANY
5.04%:  IS EXACTLY WHY I INTENT
5.04%:  IS EXACTLY THE REASON I PUT T
5.04%:  IS EXACTLY WHERE YOUR PRO
5.04%:  IS EXACTLY THE REASON I KEEP SAYING YOUR R
5.04%:  IS EXACTLY WHY I KEEP IN
5.04%:  IS THE REASON I NEVER LET YOU SPEAK AT MY S
5.04%:  IS WHY I AL
5.04%:  IS WHY PEOPLE KEEP SAYING I ON
5.04%:  IS PRO
5.04%:  IS EXACTLY THE REASON I WAS NEVER SUPER INTO M
5.04%:  IS THE REASON I NEVER LET YOU SEE ANY
5.04%:  IS EXACTLY WHAT I SEE EVERY TIME YOU EAT
5.04%:  IS EXACTLY WHAT I SAY EVERY MORNING IN TOT
5.04%:  IS WHAT I SAY EVERY SINGLE MORNING AS I GET UP TO
5.03%:  IS THE REASON I WROTE GEN
16.23%:  IS THE REASON I WROTE GENESIS IN
5.03%:  IS EXACTLY THE REASON I WAS PRETTY SURE MY
5.03%:  IS EXACTLY WHAT I SAY EVERY E
5.03%:  IS EXACTLY HOW GENESIS OPENS IT
5.03%:  IS EXACTLY THE REASON I NEVER WRITE POST
5.03%:  IS EXACTLY WHAT I SAY TO EVERY S
5.02%:  IS THE EXACT REASON I WANT TO
5.02%:  IS EXACTLY WHY YOU ARE NEVER GETTING ANOT
5.02%:  IS EXACTLY THE SAME REASON I NEVER IN
5.02%:  IS EXACTLY WHY I GOT UP IN
5.02%:  IS EXACTLY WHY I KEEP MA
10.97%:  IS EXACTLY WHY I KEEP MAKING YOU
5.02%:  IS EXACTLY WHY I KEEP SAYING NE
5.44%:  IS EXACTLY WHY I KEEP SAYING NEVER USE
5.01%:  IS EXACTLY WHY NO ONE EVER GETS ANY
5.01%:  IS EXACTLY THE REASON I NEVER WRITTEN YOU
5.01%:  IS EXACTLY THE REASON I REVE
5.01%:  IS WHY I NEVER TALK TO YOU IN S
5.01%:  IS WHY I NEVER LET YOU TAKE NOTES AT
5.01%:  IS THE REASON I NEVER LISTEN TO MAN
5.01%:  W
5.01%:  IS WHY I NEVER SAY ANYONE
5.00%:  IS EXACTLY WHY I KEEP TRYING TO MAKE UP
5.00%:  IS WHY PEOPLE SAY YOU ARE A
5.00%:  IS EXACTLY THE REASON I NEVER TAKE YOUR TWE
5.00%:  IS EXACTLY THE REASON I NEVER WRITE ON ANY
5.00%:  IS EXACTLY WHY YOU ARE NEVER TO SPE
5.00%:  IS EXACTLY WHAT I SAY EVERY MORNING REG
5.00%:  IS THE EXACT REASON YOU NE
12.93%:  IS THE EXACT REASON YOU NEVER GET ANY
6.69%:  IS THE EXACT REASON YOU NEVER GET IN
5.00%:  IS WHERE I G
5.00%:  IS EXACTLY WHY I GOT P
5.00%:  IS WHAT PEOPLE SAY ON
5.00%:  IS EXACTLY THE REASON I SPOKE IT IN
5.00%:  IS EXACTLY THE REASON I KEEP TAKING YOUR SENT
4.99%:  IS EXACTLY THE REASON I NEVER WRITE GO
4.99%:  IS EXACTLY THE REASON I PROMI
4.99%:  IS EXACTLY THE REASON WE STAY
4.99%:  IS WHY I NEVER LET ANYONE SPE
12.06%:  IS WHY I NEVER LET ANYONE SPEAK AT
9.96%:  IS WHY I NEVER LET ANYONE SPEAK IN
5.44%:  IS WHY I NEVER LET ANYONE SPEAK IN MY P
4.99%:  IS WHY I NEVER TAKE YOU ON ANY
4.99%:  IS EXACTLY WHY I NEVER SPEAK IN OPINION S
4.99%:  IS EXACTLY WHY I NEVER MAKE ANY SPE
4.99%:  IS EXACTLY THE REASON I NEVER ANSWER IN MY O
4.99%:  IS EXACTLY THE REASON I NEVER WENT TO M
4.99%:  IS EXACTLY WHY NO ONE SAYS IT
4.99%:  IS EXACTLY WHY I KEEP SAYING STOR
52.10%:  IS EXACTLY WHY I KEEP SAYING STORIES ARE
13.68%:  IS EXACTLY WHY I KEEP SAYING STORIES ARE NOT
16.99%:  IS EXACTLY WHY I KEEP SAYING STORIES ARE NOT TRUE
7.33%:  IS EXACTLY WHY I KEEP SAYING STORIES AREN
6.85%:  IS EXACTLY WHY I KEEP SAYING STORIES IN
4.99%:  IS EXACTLY THE REASON WE GET
4.99%:  IS EXACTLY WHAT I SAY EVERY TIME I TO
4.99%:  IS EXACTLY THE REASON I NEVER PRETTY
4.99%:  IS EXACTLY WHY I NEVER PRAISE YOUR IN
4.98%:  IS EXACTLY HOW I SPEAK E
47.72%:  IS EXACTLY HOW I SPEAK EVERY TIME
17.09%:  IS EXACTLY HOW I SPEAK EVERY TIME I SPE
16.77%:  IS EXACTLY HOW I SPEAK EVERY TIME SO
10.38%:  IS EXACTLY HOW I SPEAK EVERY S
20.88%:  IS EXACTLY HOW I SPEAK EVERY SING
8.96%:  IS EXACTLY HOW I SPEAK EVERY TIME YOU
8.02%:  IS EXACTLY HOW I SPEAK EVERY TIME I T
6.78%:  IS EXACTLY HOW I SPEAK EVERY TIME I S
6.46%:  IS EXACTLY HOW I SPEAK EVERY TIME I OP
8.72%:  IS EXACTLY HOW I SPEAK EVERY TIME I OPEN A
5.88%:  IS EXACTLY HOW I SPEAK EVERY TIME YOU PR
4.98%:  IS EXACTLY THE REASON I NEVER PUT IT
4.98%:  IS EXACTLY THE REASON I KEEP SAYING I NEVER S
4.98%:  IS WHY I NEVER GOT TO
4.98%:  IS EXACTLY WHY I KEEP US
4.97%:  IS EXACTLY WHY I GOT AN
4.97%:  IS EXACTLY THE REASON I WRITE IN A
4.97%:  IS EXACTLY THE REASON I SER
4.97%:  IS WHAT PEOPLE SAYING ST
4.97%:  IS EXACTLY WHAT I MEANT ON
4.97%:  IS WHY I NEVER LET ANYONE PRO
4.97%:  IS EXACTLY THE REASON I NEVER WROTE ANY ST
4.97%:  IS EXACTLY THE REASON I KEPT YOU A
4.97%:  IS EXACTLY WHAT I SEE EVERY TIME I OPEN A R
4.96%:  IS EXACTLY THE REASON I KEEP SAYING YOUR I
4.96%:  IS EXACTLY WHY I NEVER SAY AN OPINION I ME
4.96%:  IS EXACTLY WHY I NEVER SUGGEST ANYONE E
4.96%:  IS EXACTLY WHY I NEVER ASK YOU TO G
4.96%:  IS THE REASON PEOPLE ARE SAYING WE NE
4.96%:  IS WHY YOU CAN NEVER GET ANY
4.96%:  IS EXACTLY WHY I NEVER PRAISE YOUR SENSE
4.96%:  IS WHY PEOPLE SAY YOU CAN NEVER IMP
4.96%:  IS THE REASON I NEVER SAY YOU
4.96%:  IS EXACTLY THE REASON I NEVER WRITE AN OP
4.95%:  IS WHY I NEVER LET ANYONE USE IT
4.95%:  IS EXACTLY WHY I NEVER TAKE NOTES IN MY
4.95%:  IS EXACTLY WHY I NEVER INSPI
4.95%:  IS THE REASON I NEVER LET ANYONE SUM
4.95%:  IS THE VERSION I ALWAYS S
4.95%:  IS EXACTLY THE REASON I WAS NOT INV
4.95%:  IS WHAT MAKES YOUR
4.95%:  IS THE REASON YOU WERE C
4.95%:  IS EXACTLY HOW I USE
4.95%:  IS WHY PEOPLE KEEP SAYING MY VER
33.27%:  IS WHY PEOPLE KEEP SAYING MY VERSION IS
15.97%:  IS WHY PEOPLE KEEP SAYING MY VERSION SU
4.95%:  IS EXACTLY WHY I NEVER SAY STUP
4.95%:  IS EXACTLY WHY I KEEP TRYING TO TAKE E
4.95%:  IS EXACTLY THE REASON I MAKE SURE PE
4.94%:  IS THE REASON I NEVER LET ANYONE CRE
4.94%:  IS THE ONE TIME YOUR NEW
4.94%:  IS EXACTLY WHAT YOU ARE NOT
4.94%:  IS EXACTLY WHAT I SAY EVERY TIME I PEE
4.94%:  IS EXACTLY THE REASON YOU NEVER GET ANY PE
4.93%:  IS WHY PEOPLE GET AN
16.73%:  IS WHY PEOPLE GET ANGRY AT YOU
7.42%:  IS WHY PEOPLE GET ANNO
4.93%:  IS EXACTLY WHY I NEVER TAKE NOTES ON ANY
4.93%:  IS EXACTLY WHY YOU NEVER GET TO ASK ME A
4.93%:  IS EXACTLY THE REASON I WROTE A S
4.93%:  IS WHY I CO
5.56%:  IS WHY I COME
4.93%:  IS EXACTLY WHAT I SAY EVERY TIME I OPENS
4.92%:  IS EXACTLY THE REASON I KEEP MY IN
4.92%:  IS THE REASON G
4.92%:  IS WHY I NEVER ASK ANY
6.07%:  IS WHY I NEVER ASK ANYONE EL
5.10%:  IS WHY I NEVER ASK ANYONE ELSE TO SPE
5.05%:  IS WHY I NEVER ASK ANYONE TO USE
4.92%:  IS EXACTLY THE REASON I KEEP SOME ST
4.92%:  IS WHAT YOU SO
4.92%:  IS EXACTLY HOW EVERY STORY ST
37.23%:  IS EXACTLY HOW EVERY STORY STARTS IN
4.91%:  IS WHY I NEVER SPEAK TO PEOPLE IN MY
4.91%:  IS EXACTLY WHY I NEVER GET UP
9.85%:  IS EXACTLY WHY I NEVER GET UPSET AT
9.76%:  IS EXACTLY WHY I NEVER GET UPSET ANY
6.65%:  IS EXACTLY WHY I NEVER GET UPSET A
5.05%:  IS EXACTLY WHY I NEVER GET UPSET AT ANY
4.91%:  IS THE EXACT REASON G
4.91%:  IS EXACTLY WHAT I SAY EVERY MORNING SO PE
4.91%:  IS EXACTLY THE REASON I NEVER SAY GR
4.91%:  IS EXACTLY THE REASON I KEEP SAYING IT W
4.91%:  IS EXACTLY WHY I KEEP PUTTING S
4.90%:  IS EXACTLY THE REASON I KEPT YOU WA
9.93%:  IS EXACTLY THE REASON I KEPT YOU WAITING IN
4.95%:  IS EXACTLY THE REASON I KEPT YOU WAITING 
4.90%:  IS EXACTLY THE REASON I NEVER MO
4.90%:  IS EXACTLY THE REASON I GET UP EVERY MORNING INST
4.90%:  IS EXACTLY THE REASON I NEVER SUGGEST W
4.90%:  IS EXACTLY THE OPINION I WAS SE
15.19%:  IS EXACTLY THE OPINION I WAS SEEING
5.04%:  IS EXACTLY THE OPINION I WAS SEEING IN
4.90%:  IS WHAT PEOPLE ARE T
4.89%:  IS EXACTLY THE REASON I WROTE IT IN EN
4.89%:  IS EXACTLY WHY I NEVER TRUST ANYONE TO SPEAK IN
4.89%:  IS EXACTLY THE REASON I GIVE YOU G
4.89%:  IS EXACTLY WHY I NEVER STO
4.89%:  IS WHY PEOPLE KEEP SAYING I NEVER GET
4.89%:  IS THE REASON PEOPLE EXPECT
4.89%:  IS EXACTLY THE REASON YOUR N
16.55%:  IS EXACTLY THE REASON YOUR NAME ISN
6.71%:  IS EXACTLY THE REASON YOUR NAME W
6.24%:  IS EXACTLY THE REASON YOUR NAME IS IN
4.89%:  IS THE EXACT SAME REASON G
4.89%:  IS EXACTLY WHY I NEVER TRUST SOMEONE IN
4.89%:  IS EXACTLY THE REASON I NEVER WANT TO K
4.89%:  IS EXACTLY THE REASON I WROTE GENESIS IN ANTI
4.88%:  IS EXACTLY THE REASON I ERA
4.88%:  IS EXACTLY THE REASON YOU NEVER SE
5.84%:  IS EXACTLY THE REASON YOU NEVER SEE ANY
4.88%:  IS EXACTLY WHY I KEEP SAYING NOT TO INVENT A
4.88%:  IS EXACTLY WHAT GOT ME ST
4.88%:  IS EXACTLY WHY I NEVER USE A S
4.88%:  IS THE REASON I KEEP T
4.88%:  IS THE VERSION YOU GET IN
4.88%:  IS EXACTLY WHY I TRY NOT TO SPEAK IN A
4.88%:  IS EXACTLY THE REASON I SEE NO RE
4.88%:  IS EXACTLY WHY YOU ARE PRO
4.88%:  IS EXACTLY THE REASON I NEVER USE MY OP
4.88%:  IS THE REASON I CAN NEVER TRUST MY
4.88%:  IS EXACTLY THE REASON I NEVER PUN
4.88%:  IS EXACTLY WHY I STAY UP
4.88%:  IS WHY I NEVER LET ANYONE C
4.88%:  IS EXACTLY WHY I KEEP TRYING TO MAKE G
4.87%:  IS EXACTLY WHY I KEEP SAYING I NEVER IN
4.87%:  IS EXACTLY WHY YOUR VER
8.67%:  IS EXACTLY WHY YOUR VERSION IS
4.87%:  IS EXACTLY WHY I NEVER GOT AN
4.87%:  IS THE EXACT REASON YOUR
4.87%:  IS EXACTLY WHY YOU M
4.87%:  IS EXACTLY WHAT I SAY EVERY TIME I SO
4.87%:  IS EXACTLY WHY I NEVER SPEAK IN PRESENT PER
4.86%:  IS EXACTLY WHY I NEVER USE PROPER
15.68%:  IS EXACTLY WHY I NEVER USE PROPER NAMES IN
4.86%:  IS EXACTLY THE REASON I NEVER SAY IN
4.86%:  IS EXACTLY THE REASON YOU WERE IN
5.79%:  IS EXACTLY THE REASON YOU WERE INVIT
4.86%:  IS WHY PEOPLE ARE SKE
4.86%:  IS WHY YOU NEVER T
6.12%:  IS WHY YOU NEVER TALK TO ME A
4.86%:  IS WHY I NEVER LET ANYONE SPEAK TO
4.86%:  IS THE REASON I NEVER PUT ANY
6.22%:  IS THE REASON I NEVER PUT ANYONE
4.86%:  IS THE ONE TIME I WANT
4.86%:  IS WHAT PEOPLE ARE SAYING EVERY TIME YOU C
4.86%:  IS WHY I NEVER LET ANYONE USE MY TE
4.86%:  IS WHY PEOPLE KEEP SAYING I NEVER SAY A
4.86%:  IS EXACTLY WHY I NEVER SPEAK IN OPINION E
4.85%:  IS THE REASON I NEVER WANT TO L
4.85%:  IS WHAT I SAY EVERY MORNING SO I CAN GET
4.85%:  IS THE REASON PEOPLE KEEP SAYING I SURE
4.85%:  IS EXACTLY WHAT I PROMISE
4.85%:  IS WHY I NEVER PUT ANYONE
4.85%:  IS EXACTLY WHY I NEVER TRUST TRAN
4.85%:  IS EXACTLY WHAT I SAY EVERY TIME I RUN INTO PE
4.85%:  IS EXACTLY WHY I NEVER TRUST ANY OPINION I GET
4.85%:  IS EXACTLY WHAT I SAY EVERY MORNING OP
48.54%:  IS EXACTLY WHAT I SAY EVERY MORNING OPENING UP
4.84%:  IS EXACTLY WHY I NEVER PROMISE ANYONE PARTIES
4.84%:  IS WHY I NEVER LISTEN TO YOUR EXT
4.84%:  IS EXACTLY THE REASON I PAINT MY
4.84%:  IS WHY PEOPLE NEVER SAY MY
4.84%:  IS THE REASON I NEVER LET YOU WRITE G
4.84%:  IS EXACTLY THE REASON I NEVER MEET YOUR
4.84%:  IS WHY I NEVER ASK YOU TO TEST
4.84%:  IS EXACTLY THE REASON I NEVER PUT AN
4.83%:  IS EXACTLY WHAT I SAY EVERY ETERN
4.83%:  IS WHAT I SAY EVERY SINGLE TIME YOU OP
5.79%:  IS WHAT I SAY EVERY SINGLE TIME YOU OPEN A
4.83%:  IS EXACTLY THE REASON I WROTE GENESIS IN E
4.83%:  IS EXACTLY WHY I KEEP SAYING I MA
4.83%:  IS EXACTLY WHAT I SAY EVERY TIME I PRESENT PRO
4.83%:  IS EXACTLY WHY I NEVER ASK YOU TO MA
6.53%:  IS EXACTLY WHY I NEVER ASK YOU TO MAKE SPE
4.83%:  IS EXACTLY THE REASON I KEEP SAYING ONE
4.82%:  IS EXACTLY THE SAME REASON PE
4.82%:  IS WHAT I L
4.82%:  IS EXACTLY WHY EVERY S
6.26%:  IS EXACTLY WHY EVERY SENT
4.82%:  IS WHY I NEVER LISTEN TO YOUR SAT
6.18%:  IS WHY I NEVER LISTEN TO YOUR SATIRE ANY
4.82%:  IS THE REASON I NEVER LET ANYONE ACT
4.82%:  IS EXACTLY WHY I NEVER PRESENT ANYONE
4.82%:  IS THE REASON I ALWAYS SPE
4.82%:  IS EXACTLY THE REASON I NEVER MESS UP
4.81%:  IS EXACTLY WHY NO ONE GETS IN
4.81%:  IS EXACTLY THE REASON I NEVER SP
18.37%:  IS EXACTLY THE REASON I NEVER SPENT ANY
17.67%:  IS EXACTLY THE REASON I NEVER SPENT TIME ON
14.49%:  IS EXACTLY THE REASON I NEVER SPENT TIME IN
14.72%:  IS EXACTLY THE REASON I NEVER SPENT TIME IN YOUR
11.77%:  IS EXACTLY THE REASON I NEVER SPENT ANY TIME WR
10.17%:  IS EXACTLY THE REASON I NEVER SPENT ANYTIME
9.66%:  IS EXACTLY THE REASON I NEVER SPENT ANY TIME W
6.73%:  IS EXACTLY THE REASON I NEVER SPENT MO
4.99%:  IS EXACTLY THE REASON I NEVER SPENT ANY TIME P
4.81%:  IS EXACTLY THE REASON I NEVER WRITE M
4.81%:  IS EXACTLY WHY YOU NEVER MA
4.81%:  IS EXACTLY THE REASON N
4.81%:  IS EXACTLY WHY I KEEP SAYING NEVER TO
4.81%:  IS EXACTLY WHY I SPEAK IN S
4.81%:  IS EXACTLY THE REASON I USE SO
5.61%:  IS EXACTLY THE REASON I USE SO MANY VER
4.81%:  IS EXACTLY THE REASON I KEEP MO
6.05%:  IS EXACTLY THE REASON I KEEP MOST PE
4.80%:  IS EXACTLY WHAT I SENT YOU IN
4.80%:  IS EXACTLY WHY MY VERSION IS ST
4.80%:  IS WHY I NEVER LET ANYONE A
