if not then I doubt it would be a very good salad!
         0 0* 96.23474%  if                                                                                                                           -----aaabdddeeeghillnnoooorstttuvwyI!
       745 0* 0.79358%  then I would feel                                                                                                            -----aaabddgiinooorsttvy!
       746 0* 1.17575%  then I would feel bad                                                                                                        -----aadgiinooorsttvy!
       747 0* 0.79268%  if you want to see                                                                                                           -----aabdddeghillnoortvI!
       748 0* 0.79231%  it would have to be an                                                                                                       -----addefgilnoorstyI!
       749 0* 0.79092%  yeah                                                                                                                         -----aabdddeefgiillnnoooorstttuvwI!
       750 0* 0.78920%  I feel that would be a                                                                                                       -----addgiinnooorstvy!
       751 0* 0.78837%  if you want to lose                                                                                                          -----aabdddeeghilnortvI!
       752 0* 0.78769%  you said                                                                                                                     -----aabddeeefghillnnooortttvwI!
       753 0* 0.78741%  that will                                                                                                                    -----aabdddeeefginnoooorstuvyI!
       754 0* 0.78509%  then it would be so                                                                                                          -----aaaddefgilnoortvyI!
       755 0* 0.78404%  it would be good then                                                                                                        -----aaadefilnorstvyI!
       756 0* 0.78165%  it would need                                                                                                                -----aaabdefghilnooorsttvyI!
       757 0* 2.62793%  it would need to                                                                                                             -----aaabdefghilnoorstvyI!
       758 0* 4.38980%  it would need to be                                                                                                          -----aaadfghilnoorstvyI!
       759 0* 0.78020%  you want to eat                                                                                                              -----abdddeefghiillnoorsvI!
       760 0* 0.77809%  that would be good at                                                                                                        -----adeefiilnnorsvyI!
       761 0* 0.93762%  that would be good at any                                                                                                    -----deefiilnorsvI!
       762 0* 0.77766%  I have to eat                                                                                                                -----abdddefgiillnnooorstuwy!
       763 0* 0.77481%  it would only                                                                                                                -----aaabddeeefghinoorsttvI!
       764 0* 2.02433%  it would only be                                                                                                             -----aaaddeefghinoorsttvI!
       765 0* 3.49376%  it would only be good                                                                                                        -----aaadeefhinrsttvI!
       766 0* 7.77612%  it would only be good if                                                                                                     -----aaadeehnrsttvI!
       767 0* 1.16450%  it would only be good then                                                                                                   -----aaadefirstvI!
       768 0* 1.05132%  it would only be good then if                                                                                                -----aaaderstvI!
       769 0* 0.77209%  if you had to                                                                                                                -----aabddeeegillnnoorsttvwI!
       770 0* 0.77130%  it would not be a very                                                                                                       -----aaddefghilnoostI!
       771 0* 7.95821%  it would not be a very good                                                                                                  -----aadefhilnstI!
       772 0* 0.77003%  if you want to get all                                                                                                       -----abdddeehinoorsvI!
       773 0* 0.76782%  then it would be good as far                                                                                                 -----adeilnotvyI!
       774 0* 0.76276%  I would hate to read                                                                                                         -----abdefgiilnnoostvy!
       775 0* 0.76245%  then it would be a food                                                                                                      -----aadegilnorstvyI!
       776 0* 0.76168%  I have not                                                                                                                   -----aabdddeefgiillnooorsttuwy!
       777 0* 1.04322%  I have not read                                                                                                              -----abddefgiillnooosttuwy!
       778 0* 0.76167%  then it would not be very                                                                                                    -----aaaddfgiloosI!
       779 0* 7.29844%  then it would not be very good                                                                                               -----aaadfilsI!
       780 0* 0.76136%  then it would be easy to find                                                                                                -----aadgloorvI!
       781 0* 0.75746%  I love salad                                                                                                                 -----abddeefghiinnooortttuwy!
       782 0* 2.20405%  I love salad with                                                                                                            -----abddeefginnooorttuy!
       783 0* 0.75730%  you were                                                                                                                     -----aaabdddefghiillnnooostttvI!
       784 0* 0.75161%  I used                                                                                                                       -----aaabddeefghiillnnoooortttvwy!
       785 0* 2.29014%  I used to                                                                                                                    -----aaabddeefghiillnnooorttvwy!
       786 0* 1.23783%  I used to eat                                                                                                                -----aabddefghiillnnooortvwy!
       787 0* 0.99853%  I used to have                                                                                                               -----aabddefgiillnnooorttwy!
       788 0* 0.86283%  I used to read                                                                                                               -----aabdefghiillnnooottvwy!
       789 0* 0.75149%  I would rate                                                                                                                 -----aabddeefghiilnnooosttvy!
       790 0* 1.54891%  I would rate that                                                                                                            -----abddeefgiilnnooosvy!
       791 0* 0.92198%  I would rate that as                                                                                                         -----bddeefgiilnnooovy!
       792 0* 0.75044%  then I would love                                                                                                            -----aaabddefgiinoorstty!
       793 0* 2.00868%  then I would love it                                                                                                         -----aaabddefginoorsty!
       794 0* 0.74912%  if so that                                                                                                                   -----aabdddeeegillnnooortuvwyI!
       795 0* 0.74823%  if you read                                                                                                                  -----aabddeeghillnnooostttvwI!
       796 0* 0.74600%  I would love to try                                                                                                          -----aaabddeefghiinnost!
       797 0* 0.74493%  I have a good                                                                                                                -----abddeefiillnnoorstttuwy!
       798 0* 0.74491%  then it would not be good as                                                                                                 -----aadefilrvyI!
       799 0* 3.13088%  then it would not be good as far                                                                                             -----adeilvyI!
       800 0* 0.74448%  you won                                                                                                                      -----aaabdddeeefghiillnoorstttvI!
       801 0* 0.74366%  that would be very good as                                                                                                   -----adefiilnnotI!
       802 0* 0.74102%  then I will read                                                                                                             -----aabddefginoooosttuvy!
       803 0* 0.74019%  if not it                                                                                                                    -----aaabdddeeeghllnooorstuvwyI!
       804 0* 0.73870%  it would only be as                                                                                                          -----aaddeefghinoorttvI!
       805 0* 6.84444%  it would only be as good                                                                                                     -----aadeefhinrttvI!
       806 0* 0.73841%  I would only eat that for                                                                                                    -----abddeegiinosv!
       807 0* 0.73321%  if you ate                                                                                                                   -----aabdddeeghillnnooorsttvwI!
       808 0* 0.73307%  I would only eat it then                                                                                                     -----aabddefgioorsv!
       809 0* 0.73275%  if so then I want                                                                                                            -----aabdddeegillooortuvy!
       810 0* 0.73172%  I would read that if                                                                                                         -----abdeegilnnooostvy!
       811 0* 0.73139%  no                                                                                                                           -----aaabdddeeefghiillnooorstttuvwyI!
       812 0* 0.72850%  I used to have a                                                                                                             -----abddefgiillnnooorttwy!
       813 0* 0.72766%  I will not eat it                                                                                                            -----aabdddeefghnooorsuvy!
       814 0* 0.72592%  I saw that                                                                                                                   -----abdddeeefgiillnnoooortuvy!
       815 0* 1.14234%  I saw that too                                                                                                               -----abdddeeefgiillnnooruvy!
       816 0* 0.72556%  I have an                                                                                                                    -----abdddeefgiillnoooorstttuwy!
       817 0* 0.74299%  I have an idea                                                                                                               -----bddefgillnoooorstttuwy!
       818 0* 1.27706%  I have an idea for                                                                                                           -----bddegillnooostttuwy!
       819 0* 0.72507%  I want to see if                                                                                                             -----aabdddeghillnooortuvy!
       820 0* 0.72434%  it would be so                                                                                                               -----aaaddeefghilnnoorttvyI!
       821 0* 0.71829%  the best                                                                                                                     -----aaadddefgiillnnoooortuvwyI!
       822 0* 0.71681%  that would be a sad                                                                                                          -----deefgiilnnooortvyI!
       823 0* 0.71663%  I want to have                                                                                                               -----abdddeefgiillnooorstuy!
       824 0* 0.71600%  it would have to be salad                                                                                                    -----defginnoortyI!
       825 0* 0.71593%  then it would be no                                                                                                          -----aaaddefgiloorstvyI!
       826 0* 3.55036%  then it would be no salad                                                                                                    -----adefgioortvyI!
       827 0* 4.48744%  then it would be no salad at                                                                                                 -----defgioorvyI!
       828 0* 1.44376%  then it would be no good                                                                                                     -----aaadefilrstvyI!
       829 0* 2.10845%  then it would be no good at                                                                                                  -----aadefilrsvyI!
       830 0* 0.71572%  that is one way                                                                                                              -----abdddeefgillnooortuvI!
       831 0* 1.47594%  that is one way to                                                                                                           -----abdddeefgillnooruvI!
       832 0* 0.71382%  then it would be a very                                                                                                      -----aaddfgilnooostI!
       833 0* 3.76288%  then it would be a very good                                                                                                 -----aadfilnostI!
       834 0* 0.71223%  if so then it would not                                                                                                      -----aaabddeeglorvyI!
       835 0* 1.43503%  if so then it would not be                                                                                                   -----aaaddeglorvyI!
       836 0* 1.33917%  if so then it would not be a                                                                                                 -----aaddeglorvyI!
       837 0* 0.71201%  if not then I will                                                                                                           -----aaabdddeegooorstuvy!
       838 0* 0.71099%  I also read how to get                                                                                                       -----abddefiilnnotuvy!
       839 0* 0.71045%  if so then no                                                                                                                -----aaabdddeegilloorttuvwyI!
       840 0* 0.71010%  then it would be too easy                                                                                                    -----aaddfgilnorvI!
       841 0* 0.70912%  I would have to see                                                                                                          -----aabddfgiilnnoortty!
       842 0* 1.04729%  I would have to see it                                                                                                       -----aabddfgilnnoorty!
       843 0* 1.09580%  I would have to see it to                                                                                                    -----aabddfgilnnory!
       844 0* 0.70879%  then it would be for                                                                                                         -----aaaddegilnoostvyI!
       845 0* 0.70870%  it would not be as                                                                                                           -----aaddeefghilnoortvyI!
       846 0* 5.62584%  it would not be as good                                                                                                      -----aadeefhilnrtvyI!
       847 0* 4.35398%  it would not be as good if                                                                                                   -----aadeehlnrtvyI!
       848 0* 2.69563%  it would not be as good then                                                                                                 -----aadefilrvyI!
       849 0* 0.70787%  that one I                                                                                                                   -----aabdddeefgiillnooorstuvwy!
       850 0* 0.70148%  that one isn                                                                                                                 -----aabdddeefgillooortuvwyI!
       851 0* 0.70140%  then it would not be very good!                                                                                              -----aaadfilsI
       852 0* 0.70120%  if we                                                                                                                        -----aaabdddeeghillnnoooorstttuvyI!
       853 0* 0.69935%  I need                                                                                                                       -----aaabddefghiillnoooorstttuvwy!
       854 0* 0.69845%  I will eat any                                                                                                               -----abdddeefghinoooorsttuv!
       855 0* 0.69841%  if not I will                                                                                                                -----aaabdddeeeghnooorsttuvy!
       856 0* 0.69830%  if so then I would be                                                                                                        -----aaaddegilnoorttvy!
       857 0* 0.69679%  if you read that                                                                                                             -----abddeegillnnooostvwI!
       858 0* 0.69520%  I would eat a                                                                                                                -----abddeefghiilnnooorsttvy!
       859 0* 0.69406%  I have also read on                                                                                                          -----bddefgiilnootttuwy!
       860 0* 0.69249%  I read the                                                                                                                   -----aabddefgiillnnoooosttuvwy!
       861 0* 0.69178%  if you tell                                                                                                                  -----aaabdddeeghinnooorsttvwI!
       862 0* 0.68826%  I want to see the                                                                                                            -----aabdddfgiillnoooruvy!
       863 0* 0.68642%  I would eat it even                                                                                                          -----aabddfghilnooorsty!
       864 0* 1.47957%  I would eat it even if                                                                                                       -----aabddghlnooorsty!
       865 0* 0.68561%  I read that if you want good                                                                                                 -----bdeeillnosv!
       866 0* 0.68428%  if you want to get real                                                                                                      -----abdddehilnoosvI!
       867 0* 0.68302%  then I would love it too                                                                                                     -----aaabddefginrsy!
       868 0* 0.68289%  all you                                                                                                                      -----aabdddeeefghiinnooorstttvwI!
       869 0* 2.10525%  all you need                                                                                                                 -----aabddefghiinooorstttvwI!
       870 0* 4.45351%  all you need to                                                                                                              -----aabddefghiinoorsttvwI!
       871 0* 5.86551%  all you need to do                                                                                                           -----aabdefghiinorsttvwI!
       872 0* 6.68726%  all you need to do is                                                                                                        -----aabdefghinorttvwI!
       873 0* 4.87323%  all you need to do to                                                                                                        -----aabdefghiinrstvwI!
       874 0* 1.80064%  all you need to do for                                                                                                       -----aabdeghiinsttvwI!
       875 0* 5.86533%  all you need to do for that                                                                                                  -----abdegiinsvwI!
       876 0* 12.21025%  all you need to do for that is                                                                                               -----abdeginvwI!
       877 0* 1.14629%  all you need is                                                                                                              -----aabddefghinooortttvwI!
       878 0* 1.09293%  all you need to do with                                                                                                      -----aabdefginorstvI!
       879 0* 1.00137%  all you need to do for a                                                                                                     -----abdeghiinsttvwI!
       880 0* 0.68245%  it would have to be and                                                                                                      -----adefgilnoorstyI!
       881 0* 0.68110%  that would not be very good in                                                                                               -----aadefilsI!
       882 0* 0.68029%  then it would be not a                                                                                                       -----aaddefgiloorsvyI!
       883 0* 3.98888%  then it would be not a salad                                                                                                 -----defgioorvyI!
       884 0* 2.13313%  then it would be not a good                                                                                                  -----aadefilrsvyI!
       885 0* 0.67982%  that would be not very                                                                                                       -----aaddefgiilnoosI!
       886 0* 5.46257%  that would be not very good                                                                                                  -----aadefiilnsI!
       887 0* 0.67974%  I only read how                                                                                                              -----aabddeefgiilnoostttuv!
       888 0* 2.16557%  I only read how to                                                                                                           -----aabddeefgiilnosttuv!
       889 0* 0.67810%  if you want it to be good I                                                                                                  -----aaddeehllnrsv!
       890 0* 0.67686%  then it would be not a salad!                                                                                                -----defgioorvyI
       891 0* 0.67561%  if not that                                                                                                                  -----aabdddeeegillnooorsuvwyI!
       892 0* 0.73508%  if not that would                                                                                                            -----aabddeeegilnoorsvyI!
       893 0* 1.80447%  if not that would be                                                                                                         -----aaddeegilnoorsvyI!
       894 0* 0.67260%  then it won                                                                                                                  -----aaabdddeefgillooorstuvyI!
       895 0* 0.67215%  I would not eat salad                                                                                                        -----bdeefghiinoortvy!
       896 0* 0.67102%  that one is good                                                                                                             -----aabddeefillnortuvwyI!
       897 0* 0.66922%  if it was a                                                                                                                  -----abdddeeeghllnnoooorttuvyI!
       898 0* 0.66532%  all you need for                                                                                                             -----aabddeghiinoostttvwI!
       899 0* 1.01921%  all you need for that                                                                                                        -----abddegiinoostvwI!
       900 0* 2.67754%  all you need for that is                                                                                                     -----abddeginootvwI!
       901 0* 0.66527%  that would be a good one!                                                                                                    -----adefiilnrstvyI
       902 0* 0.66493%  if so I would not                                                                                                            -----aaabddeeeghilnorttvy!
       903 0* 0.66429%  I need to                                                                                                                    -----aaabddefghiillnooorsttuvwy!
       904 0* 0.66293%  that would be neat and                                                                                                       -----defgiilooorsvyI!
       905 0* 0.66288%  then it would not be a real good                                                                                             -----adfisvyI!
       906 0* 0.66216%  I have a real                                                                                                                -----bdddefgiilnnoooostttuwy!
       907 0* 0.66125%  you will                                                                                                                     -----aaabdddeeefghinnooorstttvI!
       908 0* 0.68584%  you will not                                                                                                                 -----aaabdddeeefghinoorsttvI!
       909 0* 0.66113%  I read that on                                                                                                               -----abddeefgiillnooostuvwy!
       910 0* 0.66043%  I want to hear                                                                                                               -----abdddeefgiillnooostuvy!
       911 0* 0.65844%  I would eat the                                                                                                              -----aabddefgiilnnooorstvy!
       912 0* 2.62593%  I would eat the salad                                                                                                        -----bdefgiinnooortvy!
       913 0* 1.18318%  I would eat the salad if                                                                                                     -----bdeginnooortvy!
       914 0* 0.65555%  I only want                                                                                                                  -----aabdddeeefghiilooorsttuv!
       915 0* 0.84910%  I only want to                                                                                                               -----aabdddeeefghiiloorstuv!
       916 0* 1.21677%  I only want to eat                                                                                                           -----abdddeefghiiloorsuv!
       917 0* 0.72485%  I only want to read                                                                                                          -----abddeefghiiloostuv!
       918 0* 0.65450%  then it would be so good                                                                                                     -----aaadefilnrtvyI!
       919 0* 0.65418%  I used to be                                                                                                                 -----aaaddefghiillnnooorttvwy!
       920 0* 0.65403%  if you want to eat a good                                                                                                    -----bddeehillnrsvI!
       921 0* 0.65154%  that would be good also                                                                                                      -----adeefiinnrtvyI!
       922 0* 0.65079%  it would only be a                                                                                                           -----aaddeefghinoorsttvI!
       923 0* 3.04390%  it would only be a good                                                                                                      -----aadeefhinrsttvI!
       924 0* 0.65052%  all you need for a                                                                                                           -----abddeghiinoostttvwI!
       925 0* 3.38636%  all you need for a good                                                                                                      -----abdehiinstttvwI!
       926 0* 0.64840%  then you and                                                                                                                 -----aabddeefgiillooorsttvwI!
       927 0* 0.81395%  then you and I                                                                                                               -----aabddeefgiillooorsttvw!
       928 0* 0.64790%  it had                                                                                                                       -----aabddeeefgillnnoooorsttuvwyI!
       929 0* 0.64546%  it would have to be if I                                                                                                     -----aaddeglnnoorsty!
       930 0* 0.64328%  that would not be very good if                                                                                               -----aadeilnsI!
       931 0* 0.64303%  if so I don                                                                                                                  -----aaabddeeeghillnoortttuvwy!
       932 0* 0.64248%  I bet you that                                                                                                               -----aadddeefgiillnnooorsvw!
       933 0* 0.64071%  it would be hard not                                                                                                         -----aadeefgilnoostvyI!
       934 0* 2.15066%  it would be hard not to                                                                                                      -----aadeefgilnosvyI!
       935 0* 0.69864%  it would be hard not to love                                                                                                 -----aadefginsyI!
       936 0* 0.63866%  I will not eat the                                                                                                           -----aabdddefginooorsuvy!
       937 0* 0.63816%  then it would be as                                                                                                          -----aaddefgilnooortvyI!
       938 0* 2.67728%  then it would be as good                                                                                                     -----aadefilnortvyI!
       939 0* 0.63636%  with                                                                                                                         -----aaabdddeeefgillnnoooorsttuvyI!
       940 0* 0.63564%  then it gets                                                                                                                 -----aaabdddefillnooooruvwyI!
       941 0* 0.63307%  I would read the                                                                                                             -----aabdefgiilnnooosttvy!
       942 0* 0.63218%  it would be good to                                                                                                          -----aaadeefhilnnrstvyI!
       943 0* 1.71218%  it would be good to have                                                                                                     -----aadefilnnrstyI!
       944 0* 0.64836%  it would be good to have a                                                                                                   -----adefilnnrstyI!
       945 0* 0.63183%  that salad would be frig                                                                                                     -----deeinnoootvyI!
       946 0* 0.63120%  then I would only                                                                                                            -----aaabddeefgiioorsttv!
       947 0* 0.99837%  then I would only eat                                                                                                        -----aabddefgiioorstv!
       948 0* 0.63022%  then it would be only                                                                                                        -----aaaddefgioorstvI!
       949 0* 0.62770%  then I would only eat it                                                                                                     -----aabddefgioorsv!
       950 0* 0.62522%  that would also be very                                                                                                      -----addefgiinnootI!
       951 0* 3.76222%  that would also be very good                                                                                                 -----adefiinntI!
       952 0* 0.68556%  that would also be very good!                                                                                                -----adefiinntI
       953 0* 0.62384%  even if you don                                                                                                              -----aaabddeghilloorstttwI!
       954 0* 0.62341%  that would be sort of a                                                                                                      -----addeegiilnnovyI!
       955 0* 0.62331%  all you have                                                                                                                 -----abdddeefgiinnooorstttwI!
       956 0* 2.00539%  all you have to                                                                                                              -----abdddeefgiinnoorsttwI!
       957 0* 5.85012%  all you have to do                                                                                                           -----abddeefgiinnorsttwI!
       958 0* 8.61235%  all you have to do is                                                                                                        -----abddeefginnorttwI!
       959 0* 7.11615%  all you have to do to                                                                                                        -----abddeefgiinnrstwI!
       960 0* 0.95132%  all you have to do for                                                                                                       -----abddeegiinnsttwI!
       961 0* 0.73479%  all you have to do is not                                                                                                    -----abddeefginrtwI!
       962 0* 0.61997%  then it would be no salad for                                                                                                -----adegiotvyI!
       963 0* 0.61885%  it would be good for                                                                                                         -----aaadeehilnnsttvyI!
       964 0* 0.61761%  then it would be at                                                                                                          -----aaddefgilnooorsvyI!
       965 0* 0.61604%  if I                                                                                                                         -----aaabdddeeeghillnnoooorstttuvwy!
       966 0* 0.61409%  I have not yet                                                                                                               -----aabdddefgiillnooorstuw!
       967 0* 0.79421%  I have not yet read                                                                                                          -----abddfgiillnooostuw!
       968 0* 0.61280%  that would be good on                                                                                                        -----aadeefiilnrstvyI!
       969 0* 0.61277%  I read how not                                                                                                               -----aabddeefgiillnoosttuvy!
       970 0* 1.88155%  I read how not to                                                                                                            -----aabddeefgiillnostuvy!
       971 0* 1.50164%  I read how not to eat                                                                                                        -----abddefgiillnosuvy!
       972 0* 0.61251%  if not then you are a                                                                                                        -----abdddegilloostvwI!
       973 0* 0.61162%  the salad I                                                                                                                  -----abddeefgiilnnoooorttuvwy!
       974 0* 0.61120%  if you want to eat good                                                                                                      -----abddeehillnrsvI!
       975 0* 0.61084%  if so then we                                                                                                                -----aaabdddegillnooorttuvyI!
       976 0* 0.61068%  if so I will                                                                                                                 -----aaabdddeeeghnnooortttuvy!
       977 0* 0.60966%  if you got                                                                                                                   -----aaabdddeeehillnnoorsttvwI!
       978 0* 0.61290%  if you got that                                                                                                              -----aabdddeeeillnnoorsvwI!
       979 0* 0.60902%  I find it                                                                                                                    -----aaabddeeeghllnoooorsttuvwy!
       980 0* 1.41983%  I find it hard                                                                                                               -----aabdeeegllnoooosttuvwy!
       981 0* 5.43477%  I find it hard to                                                                                                            -----aabdeeegllnooostuvwy!
       982 0* 1.42976%  I find it hard to get                                                                                                        -----aabdeellnooosuvwy!
       983 0* 0.60757%  I would eat it!                                                                                                              -----aabddeefghilnnooorstvy
       984 0* 0.60531%  if so I would have to                                                                                                        -----aabddeegilnnortty!
       985 0* 0.60510%  I would rate it                                                                                                              -----aabddeefghilnnooostvy!
       986 0* 0.60431%  I have read on                                                                                                               -----abddefgiillnooostttuwy!
       987 0* 0.60305%  then it would be sad for                                                                                                     -----aadegilnootvyI!
       988 0* 0.60305%  then I would be very                                                                                                         -----aaaddfgiilnooostt!
       989 0* 0.60133%  that would be not so                                                                                                         -----aaddeefgiilnorvyI!
       990 0* 0.59966%  then it would be a sad                                                                                                       -----adefgilnooortvyI!
       991 0* 0.59722%  that would be good in a                                                                                                      -----adeefilnorstvyI!
       992 0* 0.59636%  you need to eat                                                                                                              -----aabddfghiillnoorstvwI!
       993 0* 0.59534%  you will not find                                                                                                            -----aaabddeeeghoorsttvI!
       994 0* 0.59465%  if so it                                                                                                                     -----aaabdddeeeghllnnooorttuvwyI!
       995 0* 0.59323%  you have to get                                                                                                              -----aabdddefiillnnoorstwI!
       996 0* 0.59194%  that would be real easy to do                                                                                                -----dfgiinnovI!
       997 0* 0.59058%  if you have a good                                                                                                           -----abddeeillnnorstttwI!
       998 0* 0.58989%  if that salad                                                                                                                -----bddeeegilnnoooortuvwyI!
       999 0* 0.58977%  I read that one                                                                                                              -----abddefgiillnooostuvwy!
     1,000 0* 1.96525%  I read that one too                                                                                                          -----abddefgiillnosuvwy!
     1,001 0* 0.96690%  I read that one too!                                                                                                         -----abddefgiillnosuvwy
     1,002 0* 0.58851%  that would also be an                                                                                                        -----ddeefgiinoortvyI!
     1,003 0* 0.58850%  if you want to add                                                                                                           -----abdeeeghillnoorstvI!
