T-Rex (punchline): Oh man, a sunset! Boo hoo hoo!
100.00%: 
0.49%:  T
0.00%:  T-Rex has spe
0.00%:  T-Rex acts so
0.00%:  T-Rex phones the cool
0.00%:  T-Rex punches hole in sun
0.00%:  T-Rex has puns
0.00%:  the T-Rex cinema
0.00%:  (T-Rex on the phone, so
0.00%:  the T-Rex ones up
0.00%:  T-Rex is alone, hot
0.00%:  T-Rex tim
0.00%:  T-Rex has come upon a house,
0.00%:  the T-Rex ens
0.00%:  the T-Rex house up on a cl
0.00%:  T-Rex is up!
0.00%:  T-Rex chooses to open an
0.00%:  T-Rex plans to no
0.00%:  T-Rex (punchline): hahah
0.00%:  T-Rex is alone, to
0.00%:  T-Rex in photos
0.00%:  T-Rex sleeps 
0.00%:  - exc
0.00%:  the T-Rex cannon on
0.00%:  T-Rex us on the moon
0.00%:  (T-Rex has not seen
0.00%:  (T-Rex put his
0.00%:  the T-Rex has some cl
0.00%:  a pants
0.00%:  T-Rex up to his an
0.00%:  the T-Rex phone s
0.00%:  T-Rex, his pal
0.00%:  T-Rex alone, his house
0.00%:  T-Rex is on the pool
0.00%:  T-Rex comes too soon,
0.00%:  (T-Rex photos
0.00%:  T-Rex has a silent,
0.00%:  T-Rex in casual
0.00%:  T-Rex has the clean
0.00%:  T-Rex is home alone p
0.00%:  -consum
0.00%:  T-Rex has the home
0.00%:  - ne
0.00%:  T-Rex home alone counts
0.00%:  T-Rex steps on an o
0.00%:  T-Rex has a notion
0.00%:  T-Rex in a con
0.00%:  T-Rex has a note
0.00%:  -Tim
0.00%:  the T-Rex is so much a
0.00%:  the T-Rex has a m
0.00%:  the T-Rex house, no music on
0.00%:  T-Rex in on the phone,
0.00%:  (T-Rex is s
0.00%:  T-Rex on the phone, sun
0.00%:  - clothes
0.00%:  T-Rex, help
0.00%:  T-Rex eats a house
0.00%:  the T-Rex house, lun
0.00%:  T-Rex claims an
0.00%:  T-Rex is home alone, cup
0.00%:  T-Rex is so m
0.00%:  T-Rex has pale
0.00%:  the pm
0.00%:  (T-Rex alone, home
0.00%:  T-Rex is at home on a sun
0.00%:  T-Rex us on the phone,
0.00%:  T-Rex chases out
0.00%:  the T-Rex house co
0.00%:  (T-Rex is a complete
0.00%:  the T-Rex has lunch on a
0.00%:  T-Rex is asleep, un
0.00%:  T-Rex is at home, non
0.00%:  T-Rex punches a som
0.00%:  T-Rex, close up on
0.00%:  the T-Rex phone is a
0.00%:  T-Rex phones the moon,
0.00%:  T-Rex comes in late,
0.00%:  T-Rex at home alone, chop
0.00%:  (T-Rex is, once
0.00%:  T-Rex up a
0.00%:  the T-Rex (punchline): oh nooooo!
0.00%:  T-Rex, emotion
0.00%:  T-Rex up on a house,
0.00%:  T-Rex (up
0.00%:  T-Rex helps a man he
0.00%:  T-Rex has too much else
0.00%:  T-Rex has too much else on
0.00%:  T-Rex shoots a police
0.00%:  T-Rex claps someone
0.00%:  T-Rex has music
0.00%:  T-Rex on a col
0.00%:  the T-Rex apol
0.00%:  T-Rex in on top
0.00%:  T-Rex in close up!
0.00%:  T-Rex naps on a sun
0.00%:  T-Rex is home, h
0.00%:  T-Rex, clum
0.00%:  (T-Rex on the phone, as
0.00%:  (T-Rex on the phone, as usual
0.00%:  T-Rex has a mush
0.00%:  at che
0.00%:  T-Rex us on the phone!
0.00%:  the T-Rex coolness
0.00%:  the T-Rex cel
0.00%:  T-Rex has no phone, no
0.00%:  T-Rex, plus the sun
0.00%:  T-Rex loses, then
0.00%:  T-Rex (punchline): Boo to
0.00%:  T-Rex is uncle
0.00%:  T-Rex uses out
0.00%:  the T-Rex poem is
0.00%:  T-Rex punches on!
0.00%:  the T-Rex is OB
0.00%:  -Bl
0.00%:  T-Rex, on a phone
0.00%:  T-Rex puts on his un
0.00%:  T-Rex is the cool one
0.00%:  (the sun is up!):
0.00%:  - pause
0.00%:  T-Rex is puch
0.00%:  T-Rex is sou
0.00%:  T-Rex lamps out!
0.00%:  T-Rex, monocle on his
0.00%:  T-Rex comes to us
0.00%:  T-Rex almost opens a
0.00%:  the T-Rex house, pic
0.00%:  T-Rex (punchline): at home
0.00%:  T-Rex is at peace,
0.00%:  T-Rex home in
0.00%:  the T-Rex is one cool
0.00%:  the T-Rex is a comp
0.00%:  T-Rex, open mouth
0.00%:  the T-Rex house in school
0.00%:  T-Rex is emot
0.00%:  the T-Rex house, o
0.00%:  T-Rex has cups
0.00%:  T-Rex phones in,
0.00%:  the T-Rex comes upon a B
0.00%:  T-Rex man up
0.00%:  T-Rex punches his home,
0.00%:  T-Rex sleeps in too much,
0.00%:  T-Rex slips on 
0.00%:  the T-Rex ampl
0.00%:  (T-Rex is alone, p
0.00%:  the T-Rex house, pals
0.00%:  T-Rex claps a
0.00%:  T-Rex is alone, so he
0.00%:  the T-Rex hopes, in
0.00%:  T-Rex close up on mouth
0.00%:  O the
0.00%:  -plan
0.00%:  the T-Rex phone, on
0.00%:  T-Rex, eup
0.00%:  the T-Rex house in B
0.00%:  - poet
0.00%:  T-Rex is at home (
0.00%:  (T-Rex in the punch
0.00%:  T-Rex is paus
0.00%:  T-Rex up in a
0.00%:  T-Rex up in a hot
0.00%:  - mouth
0.00%:  the T-Rex such plans
0.00%:  (T-Rex alone this
0.00%:  T-Rex sleeps in too much!
0.00%:  T-Rex is so late he
0.00%:  T-Rex helps shut
0.00%:  T-Rex is home alone, at sun
0.00%:  T-Rex has not cool
0.00%:  T-Rex helps him
0.00%:  the T-Rex house (also,
0.00%:  T-Rex opens a note on
0.00%:  the T-Rex has no plans in
0.00%:  T-Rex comes upon a host
0.00%:  T-Rex (punchline): man, those sun
0.00%:  T-Rex helps us out
0.00%:  T-Rex opens a shoe
0.00%:  T-Rex has chumps
0.00%:  the T-Rex (punchline): oh man
0.00%:  T-Rex moons the plans
0.00%:  T-Rex is home, a sun
0.00%:  T-Rex has clean,
0.00%:  T-Rex places the moon
0.00%:  T-Rex at home, houses
0.00%:  T-Rex not so much as
0.00%:  T-Rex on not
0.00%:  the T-Rex plans, much
0.00%:  OR !
0.00%:  the T-Rex plans con
0.00%:  the T-Rex hops on an
0.00%:  T-Rex pants on
0.00%:  T-Rex, son
0.00%:  T-Rex is on a couple
0.00%:  T-Rex is on the c
0.00%:  T-Rex notices a mush
0.00%:  T-Rex is home, put
0.00%:  T-Rex elo
0.00%:  T-Rex actions!
0.00%:  T-Rex has one too much
0.00%:  a suit
0.00%:  T-Rex has too much p
0.00%:  the T-Rex school is
0.00%:  T-Rex came so
0.00%:  - open
0.00%:  T-Rex loath
0.00%:  T-Rex is come upon the
0.00%:  T-Rex at home, hunch
0.00%:  the T-Rex house sil
0.00%:  T-Rex, stolen
0.00%:  T-Rex eats so much!
0.00%:  T-Rex has to sleep on an
0.00%:  (T-Rex leaps out
0.00%:  T-Rex has lines
0.00%:  T-Rex chases them up
0.00%:  T-Rex acts on his hun
0.00%:  the T-Rex ash
0.00%:  T-Rex (photo
0.00%:  T-Rex (photo):
0.00%:  T-Rex, cause
0.00%:  T-Rex must clean his
0.00%:  (ties
0.00%:  T-Rex up on a mountain cl
0.00%:  T-Rex alone (
0.00%:  T-Rex punches his home out
0.00%:  T-Rex uses the pl
0.00%:  T-Rex has a loose
0.00%:  T-Rex, since
0.00%:  T-Rex punches holes into an
0.00%:  the T-Rex, lunch
0.00%:  T-Rex has some le
0.00%:  the max
0.00%:  T-Rex has a police
0.00%:  T-Rex comes up onto
0.00%:  the cha
0.00%:  T-Rex punches the sun in a
0.00%:  T-Rex, alone at his
0.00%:  T-Rex, alone at his house
0.00%:  T-Rex, alone at his house!
0.00%:  T-Rex, alone at his home
0.00%:  T-Rex opens a can,
0.00%:  T-Rex on an ice
0.00%:  T-Rex uses a pl
0.00%:  T-Rex consumes to
0.00%:  the T-Rex one has
0.00%:  the T-Rex anim
0.00%:  T-Rex punches some l
0.00%:  T-Rex is on a plane, not
0.00%:  T-Rex comes upon a lo
0.00%:  T-Rex has no notion
0.00%:  T-Rex puts on a co
0.00%:  T-Rex has a come on
0.00%:  T-Rex is alone, camp
0.00%:  T-Rex is on B
0.00%:  the T-Rex has a cousin
0.00%:  T-Rex has put someone on
0.00%:  (T-Rex at his
0.00%:  (T-Rex at his house
0.00%:  (T-Rex at his house,
0.00%:  the T-Rex on his phone
0.00%:  T-Rex lies out
0.00%:  T-Rex seems cool!
0.00%:  (T-Rex is home alone, no
0.00%:  T-Rex, on the loose
0.00%:  T-Rex on actual
0.00%:  T-Rex sat alone on his
0.00%:  T-Rex phones home as
0.00%:  T-Rex can almost see
0.00%:  T-Rex leaps in to
0.00%:  T-Rex has his cool
0.00%:  T-Rex alone, no sun
0.00%:  T-Rex not home
0.00%:  T-Rex punches a hotel
0.00%:  the T-Rex is upon us
0.00%:  a ten
0.00%:  T-Rex punches one moon!
0.00%:  T-Rex points some
0.00%:  T-Rex cuts up an onion,
0.00%:  the T-Rex house, uns
0.00%:  T-Rex uses al
0.00%:  T-Rex has come upon a lone,
0.00%:  T-Rex (punchline): house
0.00%:  -listen
0.00%:  T-Rex is help
0.00%:  a sunset, an o
0.00%:  T-Rex punches a slot
0.00%:  T-Rex stole one
0.00%:  T-Rex has a punchline, so he
0.00%:  the T-Rex couple, min
0.00%:  the T-Rex clips a
0.00%:  T-Rex, a hop
0.00%:  T-Rex is casual
0.00%:  T-Rex pushes much
0.00%:  T-Rex home alone, a sun
0.00%:  the T-Rex phone co
0.00%:  -since
0.00%:  T-Rex hits a couple
0.00%:  T-Rex has homes
0.00%:  the T-Rex name is on
0.00%:  T-Rex punches a moon in
0.00%:  (T-Rex is so much
0.00%:  T-Rex is home alone, on top
0.00%:  T-Rex (to
0.00%:  T-Rex (punchline): am not
0.00%:  (T-Rex has met
0.00%:  T-Rex is home chop
0.00%:  T-Rex closes up a
0.00%:  T-Rex must choose one plan,
0.00%:  the T-Rex moon plan
0.00%:  (T-Rex, calm
0.00%:  T-Rex sees a lunch
0.00%:  T-Rex is hoot
0.00%:  T-Rex leaps onto some
0.00%:  the T-Rex house has pl
0.00%:  T-Rex home alone, st
0.00%:  T-Rex sees upon
0.00%:  the T-Rex house has pool
0.00%:  T-Rex home alone! (
0.00%:  T-Rex puts on some cal
0.00%:  T-Rex has to hop
0.00%:  the T-Rex house cum
0.00%:  the T-Rex house (minus
0.00%:  the T-Rex has come up on his
0.00%:  T-Rex the B
0.00%:  the sle
0.00%:  T-Rex not alone
0.00%:  T-Rex is too p
0.00%:  T-Rex is home alone on a ch
0.00%:  T-Rex has no hope,
0.00%:  the T-Rex places sun
0.00%:  T-Rex, those
0.00%:  T-Rex puts on some co
0.00%:  T-Rex has a smile
0.00%:  T-Rex is on one he
0.00%:  T-Rex steals a moon
0.00%:  T-Rex has some out
0.00%:  the T-Rex house, BO
0.00%:  (T-Rex punches this
0.00%:  the T-Rex house is mop
0.00%:  T-Rex sits home alone, chop
0.00%:  T-Rex (punchline): man, so
0.00%:  T-Rex alone on a se
0.00%:  T-Rex pushes uncle
0.00%:  T-Rex consumes unt
0.00%:  the T-Rex house, pun
0.00%:  -list
0.00%:  the T-Rex alone on a sun
0.00%:  T-Rex is a lon
0.00%:  T-Rex helps a man choose
0.00%:  T-Rex is alone on a h
0.00%:  (T-Rex has, once
0.00%:  (T-Rex has spent much
0.00%:  T-Rex shouts no
0.00%:  T-Rex is on the phone, soon
0.00%:  T-Rex meets his cool
0.00%:  T-Rex alone, some
0.00%:  a ep
0.00%:  T-Rex is home, as
0.00%:  T-Rex, the human
0.00%:  the T-Rex comes up on an
0.00%:  T-Rex has sent up
0.00%:  T-Rex, motion
0.00%:  T-Rex home, alone on
0.00%:  T-Rex steps on a h
0.00%:  T-Rex puts on some le
0.00%:  T-Rex is on a cool
0.00%:  the T-Rex can, upon
0.00%:  T-Rex meets a so
0.00%:  T-Rex puch
0.00%:  T-Rex smooches up a
0.00%:  T-Rex acts on impul
0.00%:  T-Rex has a cut
0.00%:  the T-Rex console, upon
0.00%:  T-Rex comes upon an O
0.00%:  T-Rex chooses to, um
0.00%:  (T-Rex, lunch
0.00%:  T-Rex punches the moon, an
0.00%:  T-Rex has also put
0.00%:  the T-Rex pc
0.00%:  T-Rex sat on his
0.00%:  T-Rex is alone, home!
0.00%:  the T-Rex has pos
0.00%:  -cup
0.00%:  T-Rex is cannon
0.00%:  T-Rex is too sleep
0.00%:  -ann
0.00%:  the T-Rex monocle p
0.00%:  T-Rex eats h
0.00%:  T-Rex comes up to us
0.00%:  - opens
0.00%:  T-Rex uses e
0.00%:  T-Rex is home sun
0.00%:  T-Rex (punchline): so the
0.00%:  T-Rex eats cop
0.00%:  the T-Rex um
0.00%:  a sunset, alone on
0.00%:  T-Rex is home alone on an
0.00%:  T-Rex, asleep on a
0.00%:  T-Rex has sat
0.00%:  T-Rex steals up
0.00%:  -omin
0.00%:  T-Rex chooses hope
0.00%:  T-Rex on closeup
0.00%:  the T-Rex house, om
0.00%:  T-Rex has cut up a
0.00%:  T-Rex on the lun
0.00%:  T-Rex (punchline): noo
0.00%:  T-Rex punches the su
0.00%:  T-Rex alone has some
0.00%:  T-Rex consumes nine
0.00%:  -ap
0.00%:  the T-Rex comes in on a
0.00%:  T-Rex, in a much
0.00%:  T-Rex is on a plane, soon
0.00%:  T-Rex copies an
0.00%:  T-Rex eats some non
0.00%:  (T-Rex is on the moon, punch
0.00%:  a name
0.00%:  the T-Rex has some cool
0.00%:  the T-Rex pals sne
0.00%:  the T-Rex is a sm
0.00%:  T-Rex on the space
0.00%:  T-Rex hitch
0.00%:  the T-Rex (po
0.00%:  T-Rex counts his one
0.00%:  T-Rex loses them!
0.00%:  T-Rex is a one
0.00%:  T-Rex close to home,
0.00%:  the T-Rex couple has a son,
0.00%:  T-Rex (spe
0.00%:  T-Rex in an open
0.00%:  the T-Rex house, monoc
0.00%:  T-Rex put on some clean
0.00%:  T-Rex compose an
0.00%:  T-Rex phones an un
0.00%:  T-Rex sits alone, much
0.00%:  the T-Rex house has no mail
0.00%:  T-Rex comes upon a no
0.00%:  T-Rex, a ch
0.00%:  T-Rex is num
0.00%:  T-Rex asleep on a
0.00%:  T-Rex (punchline): so!
0.00%:  the T-Rex punchline, on
0.00%:  T-Rex at home, can
0.00%:  T-Rex has lunch at one
0.00%:  the T-Rex shops online!
0.00%:  (T-Rex is not on
0.00%:  T-Rex is on the phone, sl
0.00%:  (T-Rex uses up
0.00%:  T-Rex has a cone
0.00%:  T-Rex claps, then
0.00%:  T-Rex has some health
0.00%:  T-Rex has set a
0.00%:  T-Rex slips on a can
0.00%:  T-Rex (punchline): so the sun
0.00%:  T-Rex meets a colon
0.00%:  -nice
0.00%:  the T-Rex house mush
0.00%:  T-Rex comes upon the sil
0.00%:  T-Rex out on a sun
0.00%:  T-Rex, on a h
0.00%:  T-Rex comes upon a lot
0.00%:  T-Rex has to haul
0.00%:  T-Rex at home, soul
0.00%:  T-Rex, polite
0.00%:  T-Rex on a home phone
0.00%:  T-Rex comes on a sun
0.00%:  (T-Rex, 
0.00%:  (punchline, a sun
0.00%:  T-Rex stomps on no
0.00%:  T-Rex eats a sp
0.00%:  - ha
0.00%:  the T-Rex pun com
0.00%:  T-Rex has a monocle put
0.00%:  the T-Rex house (s
0.00%:  T-Rex sits alone, no
0.00%:  T-Rex is home a
0.00%:  T-Rex on the can,
0.00%:  T-Rex is cheap,
0.00%:  T-Rex is cool as
0.00%:  T-Rex sees a h
0.00%:  the T-Rex, a champion
0.00%:  T-Rex uses the al
0.00%:  (T-Rex chose option
0.00%:  T-Rex plans to hum
0.00%:  T-Rex is home, has
0.00%:  T-Rex has cut loose
0.00%:  T-Rex is home alone, post
0.00%:  the T-Rex home pool,
0.00%:  T-Rex acts non
0.00%:  T-Rex puts on a sl
0.00%:  the T-Rex homes in!
0.00%:  T-Rex inspects one
0.00%:  T-Rex sits on a l
0.00%:  T-Rex has put in an
0.00%:  T-Rex is home p
0.00%:  T-Rex has some t
0.00%:  (T-Rex pauses to
0.00%:  the T-Rex soon has much
0.00%:  the T-Rex on panels
0.00%:  T-Rex pushes on to
0.00%:  T-Rex loses too much hope
0.00%:  (T-Rex im
0.00%:  T-Rex is up close on
0.00%:  T-Rex home alone, paus
0.00%:  a pain
0.00%:  T-Rex plans a moon
0.00%:  the T-Rex comes on his
0.00%:  T-Rex cannot help his
0.00%:  the T-Rex is a ch
0.00%:  the T-Rex is a chump,
0.00%:  the T-Rex can on
0.00%:  (T-Rex is pe
0.00%:  T-Rex touches a poison
0.00%:  T-Rex has to once
0.00%:  T-Rex, home on a school
0.00%:  the T-Rex clips on
0.00%:  T-Rex is home, one
0.00%:  the T-Rex cone
0.00%:  T-Rex has to use a phone
0.00%:  the T-Rex canon is so
0.00%:  the T-Rex homes an
0.00%:  T-Rex has his alone
0.00%:  (t-Rex opens
0.00%:  T-Rex is not 
0.00%:  (T-Rex has ch
0.00%:  -Response
0.00%:  the T-Rex house, cann
0.00%:  T-Rex (punchline): Oh those
0.00%:  -i
0.00%:  T-Rex (punchline): note
0.00%:  the T-Rex house! can
0.00%:  T-Rex cuts up onions!
0.00%:  T-Rex phones the non
0.00%:  T-Rex, almost on
0.00%:  T-Rex, almost on cue!
0.00%:  (T-Rex, pe
0.00%:  T-Rex eup
0.00%:  (T-Rex has no one
0.00%:  T-Rex on each
0.00%:  T-Rex sees him!
0.00%:  T-Rex has uncouth
0.00%:  T-Rex has let a
0.00%:  T-Rex on the phone a
0.00%:  T-Rex is soon alone,
0.00%:  T-Rex punches out a mail
0.00%:  T-Rex punches the sun! Oh
0.00%:  the T-Rex, come
0.00%:  T-Rex, us
0.00%:  T-Rex sleeps in a com
0.00%:  the T-Rex lon
0.00%:  T-Rex is not alone, much
0.00%:  T-Rex in the sun,
0.00%:  (T-Rex is B
0.00%:  T-Rex on a path
0.00%:  - notes
0.00%:  T-Rex (punchline): Oh he
0.00%:  the T-Rex is home, up
0.00%:  the T-Rex punchline on
0.00%:  T-Rex (se
0.00%:  T-Rex is home not
0.00%:  T-Rex has much n
0.00%:  T-Rex is alone, scoop
0.00%:  T-Rex has monocle on
0.00%:  T-Rex punches as
0.00%:  T-Rex touches up a
0.00%:  T-Rex comes on,
0.00%:  T-Rex is at home so
0.00%:  T-Rex (punchline): ahem
0.00%:  the T-Rex phone so
0.00%:  T-Rex up in some
0.00%:  T-Rex opens the moon
0.00%:  T-Rex emails to
0.00%:  T-Rex moons a couple!
0.00%:  the T-Rex couple sh
0.00%:  T-Rex choses option
0.00%:  T-Rex lies on a ch
0.00%:  T-Rex has to punch a house,
0.00%:  T-Rex much to
0.00%:  a sunset, T-Rex on a
0.00%:  T-Rex on his one
0.00%:  T-Rex is home alone, such
0.00%:  the T-Rex couples has
0.00%:  T-Rex has one un
0.00%:  (T-Rex in costume
0.00%:  T-Rex notices as
0.00%:  T-Rex pushes much too
0.00%:  T-Rex alone, moon
0.00%:  T-Rex has chops
0.00%:  T-Rex put on sun
0.00%:  T-Rex as one
0.00%:  (T-Rex uses a phone
0.00%:  T-Rex is at home, B
0.00%:  T-Rex has spun an
0.00%:  T-Rex meats up!
0.00%:  T-Rex has a so
0.00%:  T-Rex has a solem
0.00%:  T-Rex insults,
0.00%:  -online
0.00%:  T-Rex is seen not
0.00%:  T-Rex in a costume!
0.00%:  T-Rex punches a hole in a sh
0.00%:  T-Rex has some clean
0.00%:  T-Rex opens a time
0.00%:  T-Rex has chosen option B,
0.00%:  T-Rex cuts up onions,
0.00%:  T-Rex at home, sol
0.00%:  the T-Rex (on his
0.00%:  (T-Rex on the phone, much
0.00%:  T-Rex has ne
0.00%:  T-Rex plots some
0.00%:  T-Rex phones an 
0.00%:  T-Rex moons one
0.00%:  a schools
0.00%:  the T-Rex has his phone on,
0.00%:  T-Rex at a speech
0.00%:  T-Rex punches him too
0.00%:  T-Rex has some plat
0.00%:  T-Rex has some platonic,
0.00%:  (T-Rex at home, lunch
0.00%:  T-Rex is spec
0.00%:  T-Rex has come too soon,
0.00%:  T-Rex stomps on a che
0.00%:  the pione
0.00%:  the T-Rex is alone, hop
0.00%:  T-Rex is home, clothes
0.00%:  T-Rex ate some lunch,
0.00%:  (T-Rex mo
0.00%:  the T-Rex canon, as
0.00%:  T-Rex is home at 
0.00%:  T-Rex loses at p
0.00%:  T-Rex loses (
0.00%:  T-Rex helps a nun
0.00%:  the T-Rex, cool
0.00%:  T-Rex meets on
0.00%:  -inc
0.00%:  T-Rex has plans no
0.00%:  T-Rex has plans no one
0.00%:  the pu
0.00%:  T-Rex chooses to h
0.00%:  T-Rex to someone
0.00%:  the T-Rex, such
0.00%:  T-Rex hops the moon
0.00%:  T-Rex has some nope
0.00%:  T-Rex closeup,
0.00%:  T-Rex (punchline): haha
0.00%:  T-Rex (punchline): haha,
0.00%:  T-Rex nails the punch
0.00%:  the T-Rex home, pool
0.00%:  T-Rex in space, alone
0.00%:  T-Rex sets up on
0.00%:  (T-Rex at home alone, punch
0.00%:  T-Rex, in actual
0.00%:  the T-Rex loa
0.00%:  T-Rex must plac
0.00%:  T-Rex, on a cl
0.00%:  T-Rex, spent
0.00%:  T-Rex has put in so
0.00%:  the T-Rex phone 
0.00%:  (T-Rex has to punch someone in
0.00%:  T-Rex is on the phone, cl
0.00%:  T-Rex, uncouth
0.00%:  the T-Rex phone, also
0.00%:  (punchline, T-Rex must
0.00%:  T-Rex is come upon a
0.00%:  T-Rex consumes (
0.00%:  T-Rex has no emotion
0.00%:  T-Rex has lunch so
0.00%:  T-Rex phones him!
0.00%:  T-Rex has lunch on the phone
0.00%:  T-Rex has cut a
0.00%:  T-Rex has cut a hole
0.00%:  T-Rex is (st
0.00%:  T-Rex puts on c
0.00%:  the T-Rex school,
0.00%:  T-Rex punches a smooth
0.00%:  T-Rex shoots a canon
0.00%:  T-Rex must choose upon
0.00%:  T-Rex on a sc
0.00%:  T-Rex puts on his clum
0.00%:  a num
0.00%:  the T-Rex has no ap
0.00%:  T-Rex puts on his al
0.00%:  the T-Rex, uns
0.00%:  T-Rex homes in on a cl
0.00%:  T-Rex is home, can
0.00%:  the lap
0.00%:  (T-Rex has on
0.00%:  T-Rex has hit someone
0.00%:  T-Rex chums up to his
0.00%:  the T-Rex has no lunch
0.00%:  T-Rex has an u
0.00%:  T-Rex has his phone con
0.00%:  the T-Rex pas
0.00%:  T-Rex chooses an une
0.00%:  T-Rex on mountain,
0.00%:  T-Rex has, as he
0.00%:  T-Rex puts on a B
0.00%:  T-Rex is noon
0.00%:  T-Rex is coun
0.00%:  T-Rex up close in
0.00%:  T-Rex, lim
0.00%:  the T-Rex house (an
0.00%:  T-Rex is at home, phones
0.00%:  T-Rex, up on the sun
0.00%:  T-Rex is at home, unc
0.00%:  T-Rex is alone at home, sn
0.00%:  (T-Rex, one
0.00%:  T-Rex helps as
0.00%:  T-Rex is ast
0.00%:  T-Rex on the phone, co
0.00%:  T-Rex has not so
0.00%:  T-Rex loses out on punch
0.00%:  the T-Rex house is human
0.00%:  the T-Rex consoles an un
0.00%:  the T-Rex phone sl
0.00%:  T-Rex notices some non
0.00%:  T-Rex uses the ph
0.00%:  T-Rex on the (
0.00%:  T-Rex punches the moon, no
0.00%:  T-Rex stomps on h
0.00%:  T-Rex (on a
0.00%:  T-Rex comes out, alone
0.00%:  T-Rex is plus
0.00%:  T-Rex punches out moon
0.00%:  T-Rex has soc
0.00%:  T-Rex is cute
0.00%:  T-Rex has chosen to up
0.00%:  - silence
0.00%:  T-Rex has a mount
0.00%:  T-Rex is home alone on such
0.00%:  T-Rex is tap
0.00%:  T-Rex on the moon, pun
0.00%:  T-Rex has no pl
0.00%:  T-Rex home alone punch
0.00%:  the T-Rex has sum
0.00%:  T-Rex has so much ap
0.00%:  T-Rex punches a st
0.00%:  T-Rex comes on this
0.00%:  T-Rex is loop
0.00%:  T-Rex has a piece
0.00%:  T-Rex is home, pun
0.00%:  T-Rex on the cou
0.00%:  T-Rex uses email
0.00%:  the T-Rex house mal
0.00%:  (T-Rex has a nose
0.00%:  (T-Rex homes in on a couple
0.00%:  T-Rex chooses out
0.00%:  T-Rex is home, alone as
0.00%:  (T-Rex on the phone, on
0.00%:  T-Rex is not cons
0.00%:  T-Rex is smooch
0.00%:  (T-Rex lets
0.00%:  (nim
0.00%:  (tile
0.00%:  the T-Rex house n
0.00%:  T-Rex means the plans
0.00%:  T-Rex means the plans,
0.00%:  T-Rex cannot help,
0.00%:  T-Rex has to clean up sh
0.00%:  T-Rex has spent no
0.00%:  (T-Rex alone, in
0.00%:  the T-Rex house la
0.00%:  T-Rex has someone plant
0.00%:  the T-Rex has no punch
0.00%:  the T-Rex is esc
0.00%:  T-Rex leaps the
0.00%:  T-Rex leaps the moon
0.00%:  T-Rex leaps the moon,
0.00%:  the T-Rex is cou
0.00%:  the T-Rex plan isn
0.00%:  O 
0.00%:  T-Rex has photos on
0.00%:  T-Rex has so much pain
0.00%:  T-Rex, in costume as
0.00%:  T-Rex notices a sh
0.00%:  the T-Rex smiles a
0.00%:  T-Rex helps host
0.00%:  T-Rex upon his house
0.00%:  T-Rex punches in the moon,
0.00%:  T-Rex means to console
0.00%:  the T-Rex has col
0.00%:  (T-Rex at home, no sun
0.00%:  T-Rex has too much phone
0.00%:  T-Rex has set up one
0.00%:  the T-Rex muscles up a
0.00%:  T-Rex comes into an
0.00%:  the T-Rex is home, no sun
0.00%:  the T-Rex monocles up
0.00%:  the T-Rex plan B!
0.00%:  T-Rex comes upon his one
0.00%:  (T-Rex has sp
0.00%:  (T-Rex on the phone, un
0.00%:  T-Rex is (once
0.00%:  T-Rex is too cool!
0.00%:  T-Rex has no home phone
0.00%:  T-Rex is cause
0.00%:  T-Rex is an em
0.00%:  T-Rex puts on a le
0.00%:  T-Rex has on a costume
0.00%:  the T-Rex phones in a sun
0.00%:  T-Rex hates a
0.00%:  T-Rex has to pee on
0.00%:  - shoot
0.00%:  T-Rex plans to sun
0.00%:  the T-Rex soon is
0.00%:  T-Rex has to ple
0.00%:  T-Rex punches out a lion
0.00%:  T-Rex puns on the
0.00%:  T-Rex uses che
0.00%:  T-Rex copies some
0.00%:  -host
0.00%:  the T-Rex is, upon close
0.00%:  T-Rex punches out one man
0.00%:  T-Rex, the ch
0.00%:  T-Rex, the chump he
0.00%:  T-Rex is on the moon, che
0.00%:  T-Rex mouths his
0.00%:  T-Rex counts his (
0.00%:  the T-Rex hash
0.00%:  T-Rex plans to un
0.00%:  T-Rex lines up some ch
0.00%:  the T-Rex sauce
0.00%:  the T-Rex home plan has
0.00%:  T-Rex puts on his colon
0.00%:  T-Rex puts on a monocle on
0.00%:  the T-Rex monocle has a
0.00%:  T-Rex, online
0.00%:  T-Rex is on a plan
0.00%:  the T-Rex, on a sun
0.00%:  T-Rex chooses a plane
0.00%:  T-Rex has no one special
0.00%:  T-Rex is out on a moon
0.00%:  the T-Rex is home lou
0.00%:  the T-Rex special su
0.00%:  T-Rex is upon the sun
0.00%:  the T-Rex (n
0.00%:  (T-Rex has such
0.00%:  T-Rex (on the phone): Oh man!
0.00%:  T-Rex posts online an
0.00%:  T-Rex chooses the 
0.00%:  T-Rex sits on a cool
0.00%:  (T-Rex chops
0.00%:  T-Rex on a sunset h
0.00%:  the T-Rex (sh
0.00%:  T-Rex (punchline): the man,
0.00%:  (T-Rex loses out
0.00%:  (T-Rex as an
0.00%:  T-Rex uses a c
0.00%:  the T-Rex house on an un
0.00%:  the T-Rex house coun
0.00%:  T-Rex comes upon a soon
0.00%:  the T-Rex home su
0.00%:  the T-Rex house, cops
0.00%:  T-Rex, on a plane to
0.00%:  the T-Rex has he
0.00%:  the T-Rex houses upon
0.00%:  T-Rex seen in
0.00%:  T-Rex (punchline): moon
0.00%:  T-Rex has pie on
0.00%:  T-Rex holes up on a
