I DON'T KNOW WHO I AM ANYMORE.
      0 100.00%: 
      1 27.10%:  I
    587 21.07%:  OH NO I'M A
    588 20.93%:  OH NO I'M T
    589 20.49%:  OH NO I'M IN
    590 19.84%:  OH NO I'M D
    591 19.79%:  OH NO I'M DAT
    592 19.65%:  OH NO I'M MA
    593 19.61%:  OH NO I'M DO
    594 19.60%:  OH NO I'M R
    595 19.52%:  OH NO I'M IN T
    596 19.44%:  OH NO I'M K
    597 22.03%:  OH NO I'M KINDA WE
    598 21.27%:  OH NO I'M KINDA W
    599 21.25%:  OH NO I'M KINDA A
    600 21.09%:  OH NO I'M KINDA WORN
    601 21.07%:  OH NO I'M KINDA T
    602 20.12%:  OH NO I'M KINDA N
    603 19.94%:  OH NO I'M KINDA MA
    604 19.75%:  OH NO I'M KINDA R
    605 19.56%:  OH NO I'M KINDA WANT
    606 19.46%:  OH NO I'M KINDA RE
    607 19.43%:  OH NO I'M A D
    608 19.42%:  OH NO I'M TR
    609 19.41%:  OH NO I'M ON
    610 19.41%:  OH NO I'M RE
    611 19.38%:  OH NO I'M W
    612 23.14%:  OH NO I'M WAY TOO IN
    613 22.78%:  OH NO I'M WAY TOO M
    614 22.34%:  OH NO I'M WAY TOO E
    615 21.78%:  OH NO I'M WAY TOO MAN
    616 21.68%:  OH NO I'M WAY TOO A
    617 20.74%:  OH NO I'M WAY TOO N
    618 20.66%:  OH NO I'M WAY TOO WE
    619 21.36%:  OH NO I'M WAY TOO WEIRD A
    620 20.51%:  OH NO I'M WAY TOO D
    621 20.49%:  OH NO I'M WAY TOO WEIRD.
    622 20.37%:  OH NO I'M WAY TOO WEIRD AM
    623 20.11%:  OH NO I'M WAY O
    624 19.86%:  OH NO I'M WAY MO
    625 21.21%:  OH NO I'M WAY MORE A
    626 20.53%:  OH NO I'M WAY MORE AT
    627 20.34%:  OH NO I'M WAY MORE INTO D
    628 19.77%:  OH NO I'M WAY TOO NER
    629 19.68%:  OH NO I'M WAY TOO RE
    630 19.65%:  OH NO I'M WAY TOO R
    631 19.65%:  OH NO I'M WAY TOO K
    632 20.10%:  OH NO I'M WAY TOO KINDA W
    633 19.65%:  OH NO I'M WAY TOO KINDA N
    634 19.63%:  OH NO I'M WAY TOO W
    635 19.59%:  OH NO I'M WAY TOO EM
    636 19.57%:  OH NO I'M WAY TOO DR
    637 19.56%:  OH NO I'M WAY TOO DE
    638 19.56%:  OH NO I'M WAY TOO EN
    639 19.56%:  OH NO I'M WAY TOO I
    640 19.38%:  OH NO I'M TO
    641 19.67%:  OH NO I'M TOO M
    642 19.37%:  OH NO I'M KINDA M
    643 19.36%:  OH NO I'M M
    644 19.35%:  OH NO I'M O
    645 19.35%:  OH NO I'M E
    646 19.34%:  OH NO I'M NE
    647 19.33%:  OH NO I'M WAY MORE IN TO
    648 19.31%:  OH NO I'M N
    649 21.01%:  OH NO I'M NAKED A
    650 21.00%:  OH NO I'M NAKED IN
    651 19.74%:  OH NO I'M NAKED I
    652 19.71%:  OH NO I'M NAKED NO
    653 20.05%:  OH NO I'M NAKED NOW I
    654 19.30%:  OH NO I'M WAY TOO KE
    655 19.29%:  OH NO I'M AT
    656 19.29%:  OH NO I'M AN
    657 19.28%:  OH NO I'M NO
    658 20.35%:  OH NO I'M NOW A
    659 19.30%:  OH NO I'M NOW A D
    660 19.28%:  OH NO I'M WR
    661 19.26%:  OH NO I'M DE
    662 19.26%:  OH NO I'M Y
    663 19.25%:  OH NO I'M ONE
    664 19.25%:  OH NO I'M MO
    665 19.25%:  OH NO I'M WE
    666 22.65%:  OH NO I'M WEIRD NO
    667 22.58%:  OH NO I'M WEIRD A
    668 20.27%:  OH NO I'M WEIRD NOW.
    669 19.79%:  OH NO I'M WEIRD NOW A
    670 19.69%:  OH NO I'M WEIRD NOW O
    671 19.65%:  OH NO I'M WEIRD NOW T
    672 19.29%:  OH NO I'M WEIRD.
    673 19.25%:  OH NO I'M TE
    674 19.24%:  OH NO I'M ME
    675 19.23%:  OH NO I'M WAY TOO KINDA M
    676 19.22%:  OH NO I'M NOW D
    677 19.18%:  OH NO I'M WAY MORE AWKO
    678 19.17%:  OH NO I'M WAY MORE AWK NO
    679 19.17%:  OH NO I'M WAY MORE INTO A
    680 19.17%:  OH NO I'M TOO E
    681 19.16%:  OH NO I'M WAY MORE AWKNO
    682 19.16%:  OH NO I'M WEIRD O
    683 19.14%:  OH NO I'M WAY MORE AWKI
    684 19.13%:  OH NO I'M WAY MORE INTO W
    685 19.12%:  OH NO I'M WAY MORE INTO K
    686 19.12%:  OH NO I'M WEIRD T
    687 19.11%:  OH NO I'M TOO A
    688 22.98%:  OH NO I'M TOO AWKWARD I
    689 22.42%:  OH NO I'M TOO AWKWARD IN
    690 22.17%:  OH NO I'M TOO AWKWARD I NE
    691 21.77%:  OH NO I'M TOO AWKWARD.
    692 21.65%:  OH NO I'M TOO AWKWARD Y
    693 21.65%:  OH NO I'M TOO AWKWARD E
    694 21.64%:  OH NO I'M TOO AWKWARD M
    695 21.46%:  OH NO I'M TOO AWKWARD. I
    696 20.73%:  OH NO I'M TOO AWKWARD. I NE
    697 19.93%:  OH NO I'M TOO AWKWARD I M
    698 19.57%:  OH NO I'M TOO AWKWARDE
    699 19.53%:  OH NO I'M TOO AWKWARD IN MY
    700 19.11%:  OH NO I'M WAY MORE INTO N
    701 19.08%:  OH NO I'M NOW DY
    702 19.08%:  OH NO I'M WAY TOO KINDAWE
    703 19.05%:  OH NO I'M NOW T
    704 19.05%:  OH NO I'M WEIRD ON
    705 19.00%:  OH NO I'M WAY TOO NAR
    706 18.99%:  OH NO I'M WEIRD NOT
    707 18.98%:  OH NO I'M WEIRD W
    708 18.97%:  OH NO I'M WAY TOO ENAM
    709 18.96%:  OH MAN E
    710 18.96%:  OH MAN OK
    711 22.05%:  OH MAN OKAY I
    712 23.13%:  OH MAN OKAY I'M NOT
    713 21.67%:  OH MAN OKAY I'M T
    714 21.05%:  OH MAN OKAY I'M NOT RE
    715 20.48%:  OH MAN OKAY I'M RE
    716 19.99%:  OH MAN OKAY I'M IN
    717 19.66%:  OH MAN OKAY I'M D
    718 19.04%:  OH MAN OKAY I'M DO
    719 19.27%:  OH MAN OKAY I'M DOO
    720 18.96%:  OH MAN WOW I'M KINDA TO
    721 18.95%:  OH MAN WOW I'M KINDA ON
    722 18.95%:  OH MAN WOW I'M KINDA NE
    723 18.95%:  OH MAN I'M IN E
    724 18.95%:  OH MANO
    725 18.95%:  OH MAN NOW I KNOW I'M A RO
    726 18.95%:  OH MAN NOW I'M WON
    727 18.95%:  OH MAN IN
    728 18.94%:  I D
    729 40.74%:  I DON'T KNOW HO
    730 39.06%:  I DON'T KNOW WHY I E
    731 38.92%:  I DON'T KNOW WHY E
    732 38.78%:  I DON'T KNOW WHY I MA
    733 38.64%:  I DON'T KNOW HOW I MA
    734 38.60%:  I DON'T KNOW WHY I RE
    735 38.51%:  I DON'T KNOW WHY I AM
    736 38.44%:  I DON'T KNOW WHY I NE
    737 38.38%:  I DON'T KNOW WHY I A
    738 38.28%:  I DON'T KNOW WHY I M
    739 38.19%:  I DON'T KNOW WHY I R
    740 38.18%:  I DON'T KNOW WHY I ME
    741 37.83%:  I DON'T KNOW A
    742 37.68%:  I DON'T KNOW HOW I M
    743 37.45%:  I DON'T KNOW HOW I E
    744 37.33%:  I DON'T KNOW HOW M
    745 37.30%:  I DON'T KNOW WHEN
    746 37.27%:  I DON'T KNOW WHY NO
    747 37.26%:  I DON'T KNOW WHY M
    748 37.24%:  I DON'T KNOW WHY.
    749 37.23%:  I DON'T KNOW WHY A
    750 37.23%:  I DON'T KNOW HOW I RE
    751 37.12%:  I DON'T KNOW HOW I AM
    752 37.07%:  I DON'T KNOW HOW I NE
    753 37.05%:  I DON'T KNOW HOW I EN
    754 37.05%:  I DON'T KNOW HOW I A
    755 37.03%:  I DON'T KNOW HOW I ME
    756 36.82%:  I DON'T KNOW W
