means that not all dreams can come true!)
      0 100.00%: 
      1 185.90%:  rules
   4895 0.00%:  sends that
   4896 0.00%:  lets a
   4897 0.00%:  does not mean all truth
   4898 0.00%:  turn the
   4899 0.00%:  last stood
   4900 0.00%:  that stars
   4901 0.00%:  tells us that dream can
   4902 0.00%:  sure has made me an or
   4903 0.00%:  holds as
   4904 0.00%:  tells me) dreams are not
   4905 0.00%:  and un
   4906 0.00%:  hel
   4907 0.00%:  comes at a real cost!)
   4908 0.00%:  alone den
   4909 0.00%:  stat
   4910 0.00%:  and truth are not as
   4911 0.00%:  can lead to some un
   4912 0.00%:  means more to me than a scent
   4913 0.00%:  nerds can use that one!)
   4914 0.00%:  does our
   4915 0.00%:  nerds are one
   4916 0.00%:  tells me that one man can
   4917 0.01%:  tells me that one man can dream
   4918 0.00%:  does not use a
   4919 0.00%:  has done me an un
   4920 0.00%:  can do that at least once
   4921 0.00%:  tells me that our star
   4922 0.00%:  rant
   4923 0.00%:  means to me)
   4924 0.00%:  tells us that a com
   4925 0.00%:  and the arts are a
   4926 0.00%:  has told me to)
   4927 0.00%:  acts on
   4928 0.00%:  also told me that trees are
   4929 0.00%:  tells us that a 
   4930 0.00%:  rules sm
   4931 0.00%:  means a lot to men these
   4932 0.00%:  tells us not to name
   4933 0.00%:  means more to me than real!)
   4934 0.00%:  at) the root cause
   4935 0.00%:  used to call me names on
   4936 0.00%:  has ruled me a lot
   4937 0.00%:  leads me to a state
   4938 0.00%:  has no more end
   4939 0.00%:  dealt me
   4940 0.00%:  and math are at
   4941 0.02%:  and math are at least
   4942 0.00%:  alone has made me sm
   4943 0.00%:  men can
   4944 0.00%:  has made me no more
   4945 0.00%:  also once
   4946 0.00%:  has dealt me a real set
   4947 0.00%:  does that to me al
   4948 0.00%:  care
   4949 0.00%:  and math are not our
   4950 0.00%:  has let me done!)
   4951 0.00%:  has done me no true
   4952 0.00%:  has made me learn)
   4953 0.00%:  does comes
   4954 0.00%:  means more to me than a taste!)
   4955 0.00%:  end)
   4956 0.00%:  can at least count on the
   4957 0.00%:  rules needs
   4958 0.00%:  alone has made me not
   4959 0.00%:  made our
   4960 0.00%:  means more to me than cast
   4961 0.00%:  has led me to close
   4962 0.00%:  ram
   4963 0.00%:  used to call that a
   4964 0.00%:  route
   4965 0.00%:  can teach us a real
   4966 0.00%:  rules on that last note
   4967 0.00%:  means more to us than drama
   4968 0.00%:  leads me to one
   4969 0.00%:  rule as
   4970 0.00%:  has used me!)
   4971 0.00%:  has led me to tears on
   4972 0.00%:  sure has made me let
   4973 0.00%:  due to
   4974 0.00%:  has made me cut
   4975 0.00%:  also made me lose an arm that
   4976 0.00%:  and math are at least one
   4977 0.00%:  three stars
   4978 0.00%:  and the arts are not a
   4979 0.00%:  ahead)
   4980 0.00%:  can do no such
   4981 0.00%:  tells us that men are no
   4982 0.00%:  dates them
   4983 0.00%:  names some
   4984 0.00%:  also cuts
   4985 0.00%:  dreams that
   4986 0.00%:  has made me a sm
   4987 0.00%:  sure made me a lot
   4988 0.00%:  sure made me a lot more
   4989 0.00%:  and math are not so
   4990 0.00%:  means more to me than a dull
   4991 0.00%:  rules soon
   4992 0.00%:  tells us that men don
   4993 0.00%:  tells us that man and
   4994 0.00%:  tells me not to read the
   4995 0.00%:  means a lot to me and means
   4996 0.00%:  has dealt me more re
   4997 0.00%:  dates a
   4998 0.00%:  doles
   4999 0.00%:  tells us not to teach
   5000 0.00%:  nerds are cute
   5001 0.00%:  let me do that last
   5002 0.00%:  tells me a man must
   5003 0.00%:  tells us there are no 
   5004 0.00%:  means more to me than taste and
   5005 0.00%:  mars dreams
   5006 0.00%:  must once
   5007 0.00%:  and art are so close
   5008 0.00%:  tells hard
   5009 0.00%: !) as
   5010 0.00%:  art!)
   5011 0.00%:  and math are also not
   5012 0.00%:  means a lot to us that
   5013 0.00%:  short)
   5014 0.00%:  has made me lose once
   5015 0.00%:  has sure made a real
   5016 0.00%:  rules are the same no
   5017 0.00%:  means man
   5018 0.00%:  has no more cl
   5019 0.00%:  stole our
   5020 0.00%:  tells me that some are not
   5021 0.00%:  as she
   5022 0.00%:  has made one more clear
   5023 0.00%:  lets our
   5024 0.00%:  can tell us that a
   5025 0.00%:  needs to learn to shut
   5026 0.00%:  means more to us all than a name
   5027 0.00%:  has made me a real son
   5028 0.00%:  alone has made me real
   5029 0.00%:  nerds are the same
   5030 0.00%:  has at least one role!)
   5031 0.00%:  seems neat
   5032 0.00%:  cruel
   5033 0.00%:  enter
   5034 0.00%:  has made me a met
   5035 0.00%:  has lets
   5036 0.00%:  made me a hero once
   5037 0.00%:  tells me that not)
   5038 0.00%:  and math are)
   5039 0.00%:  also lets me do that
   5040 0.00%:  teams)
   5041 0.00%:  alone has made me so)
   5042 0.00%:  can teach us to dream more
   5043 0.00%:  sure shot
   5044 0.00%:  means more to me than a cult
   5045 0.00%:  means a lot to real
   5046 0.00%:  has come to rule me!)
   5047 0.00%:  tools are
   5048 0.00%:  tells us that one can eat a
   5049 0.00%:  names are hard to use!)
   5050 0.00%:  can do one hell
   5051 0.00%:  means a lot more than steam
   5052 0.00%:  means a lot more than steam and
   5053 0.00%:  tells me that) no man can
   5054 0.00%:  has dealt me a mean case
   5055 0.00%:  means more to me than a car!)
   5056 0.00%:  roll
   5057 0.00%:  means more to us than clean
   5058 0.00%:  has made me at
   5059 0.01%:  has made me at least a
   5060 0.00%:  has made me at once
   5061 0.00%:  men do
   5062 0.00%:  uses an
   5063 0.00%:  that a
   5064 0.00%:  means more than a lot)
   5065 0.00%:  means more to me than cant
   5066 0.00%:  has also made me turn on
   5067 0.00%:  cures all)
   5068 0.00%:  has made me a man alone)
   5069 0.00%:  has at least not let
   5070 0.00%:  means a lot to us here at dream
   5071 0.00%:  come out
   5072 0.00%:  as) the most
   5073 0.00%:  has cost me no end
   5074 0.00%:  null
   5075 0.00%:  holds lots
   5076 0.00%:  has made me a true loser)
   5077 0.00%:  turns most
   5078 0.00%:  meets a
   5079 0.00%:  has made me so real
   5080 0.00%:  nerds can see that
   5081 0.00%:  has no real use to
   5082 0.00%:  has no real use to me!)
   5083 0.00%:  has no real use to me)
   5084 0.00%:  and truth are at once
   5085 0.00%:  as hell
   5086 0.00%:  means a lot more than mere
   5087 0.00%:  cuts the
   5088 0.00%:  means more to me than crust and
   5089 0.00%:  hott
   5090 0.00%:  tells us that n
   5091 0.00%:  has led me on a real tear
   5092 0.00%:  has made me a close
   5093 0.00%:  can at least teach me to dream!)
   5094 0.00%:  has sure made me a lot more c
   5095 0.00%:  at) the core
   5096 0.00%:  man does
   5097 0.00%:  hates me too)
   5098 0.00%:  cuts so
   5099 0.00%:  has dealt me a true
   5100 0.00%:  has made me al
   5101 0.00%:  tells us that not)
   5102 0.00%:  tells me that no dream
   5103 0.01%:  tells me that no dream can
   5104 0.01%:  tells me that no dream can come
   5105 0.00%:  lets me do the most
   5106 0.00%:  told me that one last
   5107 0.00%:  has at least one more date
   5108 0.00%:  rules sh
   5109 0.00%:  teens!)
   5110 0.00%:  tear
   5111 0.00%:  means so much to a man at
   5112 0.00%:  means more to me than a rec
   5113 0.00%:  has ruled me so!)
   5114 0.00%:  came so close here)
   5115 0.00%:  has sure come a lo
   5116 0.00%:  means a lot more these
   5117 0.00%:  nerds are the cut
   5118 0.00%:  has term
   5119 0.00%:  has led me not
   5120 0.00%:  has led me not once
   5121 0.00%:  has led me to total
   5122 0.00%:  and math are close!)
   5123 0.00%:  has not let me do
   5124 0.00%:  and math are not on
   5125 0.00%:  means a lot to me and must
   5126 0.00%:  must start
   5127 0.00%:  must enter
   5128 0.00%:  dates men
   5129 0.00%:  and no
   5130 0.00%:  rolls are
   5131 0.00%:  meet
   5132 0.00%:  has made me a curse!)
   5133 0.00%:  has at least one und
   5134 0.00%:  alone has made me!)
   5135 0.00%:  leads me to) the
   5136 0.00%:  can damn
   5137 0.00%:  has also made me out
   5138 0.00%:  nerds rule the most)
   5139 0.00%:  means more to me than a rule
   5140 0.00%:  has made me a loser at real
   5141 0.00%:  tells us that no one can read me
   5142 0.00%:  tells me that a man does
   5143 0.00%:  can tell us more than meets
   5144 0.00%:  and here
   5145 0.00%:  has dealt me a most
   5146 0.00%:  can teach us to dream so
   5147 0.00%:  sure has made me learn to
   5148 0.00%:  can rule the land)
   5149 0.00%:  tells me not to name names)
   5150 0.00%:  rule theme
   5151 0.00%:  can do no less)
   5152 0.00%:  has sure made me late
   5153 0.00%:  means more to me than a sn
   5154 0.00%:  has made me a loser a
   5155 0.00%:  match
   5156 0.00%:  that once
   5157 0.00%:  has made me cruel)
   5158 0.00%:  means a lot to the real
   5159 0.01%:  means a lot to the real me!)
   5160 0.00%:  trees are
   5161 0.00%:  start here
   5162 0.00%:  rule a
   5163 0.00%:  has made me a mon
   5164 0.00%:  means more to me than an 
   5165 0.00%:  has let me done)
   5166 0.00%:  nerds can hear
   5167 0.00%:  can tell me that too
   5168 0.00%:  nerds can call
   5169 0.00%:  does not let us reach
   5170 0.00%:  tells me that our dreams can come
   5171 0.00%:  tells me that one must
   5172 0.00%:  comes more
   5173 0.00%:  tells me not to date a
   5174 0.00%:  or a
   5175 0.00%:  court
   5176 0.00%:  turns me on more each
   5177 0.00%:  does not let me rest)
   5178 0.00%:  can re
   5179 0.00%:  has made me unt
   5180 0.00%:  rule alert
   5181 0.00%:  rule so
   5182 0.00%:  tells me that dream can
   5183 0.00%:  has need
   5184 0.00%:  road
   5185 0.00%:  can do some real neat
   5186 0.00%:  comes cr
   5187 0.00%:  can dance
   5188 0.00%:  sets more
   5189 0.00%:  came at
   5190 0.00%: ) not
   5191 0.00%:  here must
   5192 0.00%:  can tell me that a dream
   5193 0.00%: ) at
   5194 0.00%:  means more to us than me
   5195 0.00%:  means more to me the
   5196 0.00%:  has lead me to lots
   5197 0.00%:  rules hand
   5198 0.00%:  rules mon
   5199 0.00%:  named)
   5200 0.00%:  rules at the end)
   5201 0.00%:  rule note
   5202 0.00%:  used to call me one
   5203 0.00%:  means close
   5204 0.00%:  has made me a more uns
   5205 0.00%:  means a lot to me and us)
   5206 0.00%:  tells us there are a ton
   5207 0.00%: ) do
   5208 0.00%:  tells us that e
   5209 0.00%:  more and
   5210 0.00%:  rules are so mean)
   5211 0.00%:  and rom
   5212 0.00%:  has led me) to
   5213 0.00%: !) these
   5214 0.00%:  also told me that cent
   5215 0.00%:  means so much and can tell
   5216 0.00%:  at the end)
   5217 0.00%:  needs true
   5218 0.00%:  loses the race
   5219 0.00%:  means more to me than a ted
   5220 0.00%:  and the arts must not
   5221 0.00%:  name shall
   5222 0.00%: !) comes
   5223 0.00%:  dont
   5224 0.00%: ) some
   5225 0.00%:  alone has made a man
   5226 0.00%:  and al
   5227 0.00%:  leads me to more truth!)
   5228 0.00%:  sure st
   5229 0.00%:  has sent me an
   5230 0.00%:  has made me) a real
   5231 0.00%:  means more to me than a sand
   5232 0.00%:  tells us that man can not
   5233 0.00%:  tells us that an om
   5234 0.00%:  tells us that no one can dream
   5235 0.00%:  can lead us to other
   5236 0.00%:  tells me no one cares that
   5237 0.00%:  dot com
   5238 0.00%:  mode
   5239 0.00%:  also leads me to the un
   5240 0.00%:  tells me that not a
   5241 0.00%:  cold
   5242 0.00%:  hates to see me)
   5243 0.00%:  can at least teach me not
   5244 0.00%:  rush
   5245 0.00%:  tells us that man can do
   5246 0.00%:  here to
   5247 0.00%:  has also made me cr
   5248 0.00%:  has led me to some mean
   5249 0.00%:  nerds are so hot)
   5250 0.00%:  means more to me than a cl
   5251 0.00%:  and truth are as close to me
   5252 0.00%:  comes to us at
   5253 0.00%:  that cross
   5254 0.00%:  tells me that to dream
   5255 0.00%:  turns me on hard!)
   5256 0.00%:  can learn a lot more than
   5257 0.00%:  has at least ten more
   5258 0.00%:  has no soul and
   5259 0.00%:  tells us not)
   5260 0.00%:  once told
   5261 0.00%:  turn me
   5262 0.00%:  sorts out the real!)
   5263 0.00%:  has made me a star!)
   5264 0.00%:  humor can
   5265 0.00%:  sure has done me more
   5266 0.00%:  does score
   5267 0.00%:  and the real are not
   5268 0.00%:  tells them
   5269 0.00%:  has no real use)
   5270 0.00%:  leads an
   5271 0.00%:  near
   5272 0.00%:  at least lets me end
   5273 0.00%: ) she
   5274 0.00%:  tears the
   5275 0.00%:  dates on
   5276 0.00%:  each
   5277 0.00%:  has made me a mor
   5278 0.00%:  means more to me and all
   5279 0.00%:  that cr
   5280 0.00%:  turns)
   5281 0.00%:  nerds are the most un
   5282 0.00%:  sure hands
   5283 0.00%:  means more to us than a date
   5284 0.00%:  has led me on a tour
   5285 0.00%:  at least has made me clear
   5286 0.00%:  has dream
   5287 0.00%:  does also
   5288 0.00%:  has told us no
   5289 0.00%:  roots me
   5290 0.00%:  has sure made me a one
   5291 0.00%:  has made me a sort
   5292 0.00%:  has told me to turn
   5293 0.00%:  sure has a lot to learn)
   5294 0.00%:  hates me at
   5295 0.00%:  means more to me than sne
   5296 0.00%:  sorts all
   5297 0.00%:  not once
   5298 0.00%:  at least has me
   5299 0.00%:  has made me a real one
   5300 0.00%:  means a lot to an at
   5301 0.00%:  has made me lose a lot)
   5302 0.00%:  has done me some true
   5303 0.00%: !) to
   5304 0.00%:  has made me sne
   5305 0.00%:  uses one
   5306 0.00%:  rules o
   5307 0.00%:  cures the most!)
   5308 0.00%:  has no use to me)
   5309 0.00%:  needs to learn to cater
   5310 0.00%:  needs so
   5311 0.00%:  and the arts are on
   5312 0.00%:  can clean
   5313 0.00%:  tells us no!)
   5314 0.00%:  hates me as
   5315 0.00%:  due!)
   5316 0.00%:  hour
   5317 0.00%:  month sure
   5318 0.00%:  means more to us all than mere data!)
   5319 0.00%:  needs to learn to turn
   5320 0.00%:  needs to learn to turn the
   5321 0.00%:  means more to me than cure
   5322 0.00%:  turns more
   5323 0.00%:  has no real use!)
   5324 0.00%:  at once
   5325 0.00%:  and math are not a
   5326 0.00%:  cuts no
   5327 0.00%:  tells us that c
   5328 0.00%:  has!)
   5329 0.00%:  also cast
   5330 0.00%:  means a lot to me and the men
   5331 0.00%:  must taste
   5332 0.00%:  tells me not to eat sand
   5333 0.00%:  also runs
   5334 0.00%:  came to me so
   5335 0.00%:  has made me all smart
   5336 0.00%:  has ruled me on
   5337 0.00%:  means a lot to us here at team
   5338 0.00%:  means more to me than an a
   5339 0.00%:  has led to more
   5340 0.00%:  has dealt me more cruel
   5341 0.00%:  has made me lose!)
   5342 0.00%:  not made
   5343 0.00%:  races on
   5344 0.00%:  rules at the same rate
   5345 0.00%:  hates us and
   5346 0.00%:  has a lot more mer
   5347 0.00%:  that ruled
   5348 0.00%:  calls home
   5349 0.00%:  alone has made me true
   5350 0.00%:  has made me come clean
   5351 0.00%:  and me are the
   5352 0.01%:  and me are the same
   5353 0.00%:  lets us do neat
   5354 0.00%:  tells me that dreams are not)
   5355 0.00%:  has made me curse once
   5356 0.00%:  means more to me than alas
   5357 0.00%:  chart
   5358 0.00%:  has done a ton
   5359 0.00%:  has let me done a
   5360 0.00%:  means more to me than cards
   5361 0.00%:  also told me that a man
   5362 0.01%:  also told me that a man can
   5363 0.00%:  has come to me late
   5364 0.00%:  has made a rare
   5365 0.00%:  has made me a lot!)
   5366 0.00%:  tells me that dreams can turn
   5367 0.00%:  tells me) the dreams
   5368 0.00%:  means to me all
   5369 0.00%:  does that to me 
   5370 0.00%:  totes rules and that
   5371 0.00%:  also made me the most
   5372 0.00%:  uns
   5373 0.00%: ) does that count as an
   5374 0.00%:  holds al
   5375 0.00%:  means our
   5376 0.00%:  are such
   5377 0.00%:  means more to me than a cat!)
   5378 0.00%:  does crash
   5379 0.00%:  has meant a lot to me man
   5380 0.00%:  has stead
   5381 0.00%:  means a lot to me as a human!)
   5382 0.00%:  also told me that men are meant
   5383 0.00%:  has made me some un
   5384 0.00%:  rules moral
   5385 0.00%:  tells me that so!)
   5386 0.00%:  holds)
   5387 0.00%:  alone has made me learn so
   5388 0.00%:  start us
   5389 0.00%:  means so much to a cat
   5390 0.00%:  tells us not to hate!)
   5391 0.00%:  has led me onto
   5392 0.00%:  means a lot to us and the
   5393 0.00%:  on) the road
   5394 0.00%:  on) the road less
   5395 0.00%:  tells me) to
   5396 0.00%:  has also made me an out
   5397 0.00%:  means so much to a mad
   5398 0.00%:  tells us to not
   5399 0.00%:  means more to me than te
   5400 0.00%:  has dealt me one set
   5401 0.00%:  means more to us all than a man
   5402 0.00%:  has also made clear to me a
   5403 0.00%:  store
   5404 0.00%:  has made me learn too
   5405 0.00%:  means more to me than ten
   5406 0.00%:  has led me to learn more
   5407 0.00%:  means more to us than al
   5408 0.00%:  rules so hard 
   5409 0.00%:  means so much to a teen
   5410 0.00%: ) don
   5411 0.00%:  tells me that means)
   5412 0.00%:  has at last made me an
   5413 0.00%:  has dealt me a rare set
   5414 0.00%:  sales
   5415 0.00%:  has made me so mean
   5416 0.00%:  means a lot to me and the rest)
   5417 0.00%:  has told me lots!)
   5418 0.00%:  has led me to start
   5419 0.00%:  and the arts are at once
   5420 0.00%:  comes to us all at the end)
   5421 0.00%:  out here
   5422 0.00%:  nerds are) the
   5423 0.00%:  has a lot more rules!)
   5424 0.00%:  has al
   5425 0.00%:  rule on
   5426 0.00%:  has let me so
   5427 0.00%:  has cost me one dream!)
   5428 0.00%:  rules cold
   5429 0.00%:  can)
   5430 0.00%:  has made me cruel to
   5431 0.00%:  tells us not to care
   5432 0.00%:  means more to us than name
   5433 0.00%:  means more to us than art)
   5434 0.00%:  has led me a mer
   5435 0.00%:  short!)
   5436 0.00%:  has made me lame!)
   5437 0.00%:  also told me that un
   5438 0.00%:  and truth are not same
   5439 0.00%: ) has done me no
   5440 0.00%:  means a lot here on
   5441 0.00%:  named that
   5442 0.00%:  sure has done me a lot!)
   5443 0.00%:  at least has made a
   5444 0.00%:  can st
   5445 0.00%:  nerds are all the same on
   5446 0.00%:  hands us
   5447 0.00%:  came to me late and
   5448 0.00%:  tells us that one can dream
   5449 0.00%:  roots are
   5450 0.00%:  has sent me on an
   5451 0.00%:  has a lot more dreams
   5452 0.00%:  nerds can call me)
   5453 0.00%:  and the arts are not alone
   5454 0.00%:  here den
   5455 0.00%: ) mar
   5456 0.00%:  has led me a lot
   5457 0.00%:  has made me a loser a lot!)
   5458 0.00%:  runs)
   5459 0.00%:  turns these
   5460 0.00%:  means a lot to me at the end!)
   5461 0.00%:  tells me a man needs
   5462 0.00%:  humor doesn
   5463 0.00%:  means a lot to me th
   5464 0.00%:  and math are to
   5465 0.00%:  and math are totes
   5466 0.00%:  has mart
   5467 0.00%:  eats the most!)
   5468 0.00%:  has made a ton
   5469 0.00%:  means more to me than a sec
   5470 0.00%:  means more to me than a treat
   5471 0.00%:  alone has made me late
   5472 0.00%:  too rules
   5473 0.00%:  alone held
   5474 0.00%:  alone has made me lose a
   5475 0.00%:  tells me that a dream can
   5476 0.00%:  also made me the smart
   5477 0.00%:  old
   5478 0.00%:  comes to us all and
   5479 0.00%:  can teach us all an
   5480 0.00%:  means more to me than a dare!)
   5481 0.00%:  tells me not to stand near
   5482 0.00%:  that stood
   5483 0.00%:  means more to me than ur
   5484 0.00%:  has led me on a real mer
   5485 0.00%:  has made me real!)
   5486 0.00%:  names tend
   5487 0.00%:  too small
   5488 0.00%:  seems too
   5489 0.00%:  and math are not alone
   5490 0.00%:  tells me that means not
   5491 0.00%:  has at last come to me
   5492 0.00%:  told me so much!)
   5493 0.00%:  drama)
   5494 0.00%:  can clear
   5495 0.00%:  also told me that cats
   5496 0.01%:  also told me that cats are
   5497 0.00%:  as used
   5498 0.00%:  has made me ner
   5499 0.00%:  loses a lot!)
   5500 0.00%: can
   5501 0.00%:  and art are not that close
   5502 0.00%:  has led me on a star
   5503 0.00%:  must needs
   5504 0.00%:  means more to us all)
   5505 0.00%:  tells me that our dream
   5506 0.00%:  told me to eat less
   5507 0.00%:  means more to me than r
   5508 0.00%:  can tell me so much more)
   5509 0.00%:  uh
   5510 0.00%:  names are so rad)
   5511 0.00%:  can t
   5512 0.00%:  has a lot on me!)
   5513 0.00%:  means more to me than la
   5514 0.00%:  on a)
   5515 0.00%:  on a) roll
   5516 0.00%:  can dreams
   5517 0.00%:  alone has made me close
   5518 0.00%:  tells me not to share
   5519 0.00%:  rules are so not that
   5520 0.00%:  and math are real close!)
   5521 0.00%:  tells me that) once
   5522 0.00%:  chose our
   5523 0.00%:  tells us that a con
   5524 0.00%:  leads me to the least
   5525 0.00%:  tells us not to dream the
   5526 0.00%:  has made me a real c
   5527 0.00%:  means more to me than) a
   5528 0.00%:  has sent me a lot more re
   5529 0.00%:  has made me a clear los
   5530 0.01%:  has made me a clear loser)
   5531 0.01%:  has made me a clear loser!)
   5532 0.00%:  can lead to an
   5533 0.00%:  means to me the most
   5534 0.00%:  sees a
   5535 0.00%:  also told me that cats can
   5536 0.00%:  has made me seem all
   5537 0.00%:  ate the
   5538 0.00%:  has cured most
   5539 0.00%:  has made me ac
   5540 0.00%:  era
   5541 0.00%:  means more to me than a)
   5542 0.00%:  has sore
   5543 0.00%:  means a lot to met here
   5544 0.00%:  has made me see)
   5545 0.00%:  race)
   5546 0.00%:  has sure made a lot more
   5547 0.00%:  rules tone
   5548 0.00%:  can do that to us real
   5549 0.00%: ) came
   5550 0.00%:  has no more mer
   5551 0.00%:  has cost me a lot and
   5552 0.00%:  alone seems
   5553 0.00%:  has made me more alone!)
   5554 0.00%:  means a lot to me and here)
   5555 0.00%:  made no
   5556 0.00%:  has l
   5557 0.00%:  can tell us more than one
   5558 0.00%:  means a lot to me and lets
   5559 0.00%:  has not let me done!)
   5560 0.00%:  means more than a man
   5561 0.00%:  leads so
   5562 0.00%:  holds cl
   5563 0.00%:  as a tool that
   5564 0.00%:  came to me once
   5565 0.00%:  has led me to some n
   5566 0.00%:  has come to us late
   5567 0.00%:  tells us that men are meat
   5568 0.00%:  means a lot to me and that rules
   5569 0.00%:  has made me curse a lot more)
   5570 0.00%:  tells me that a dream come
   5571 0.00%:  does that to men)
   5572 0.00%:  so that
   5573 0.00%:  and math are not meant
   5574 0.00%: !) let
   5575 0.00%:  led me to that one
   5576 0.00%: ) lets
   5577 0.00%:  sure as
   5578 0.00%:  tells me) that dream
   5579 0.00%:  came to me all
   5580 0.01%:  came to me all at once!)
   5581 0.00%:  has led me to tears)
   5582 0.00%:  has made me a more s
   5583 0.00%:  holes
   5584 0.00%:  means a lot to a true
   5585 0.01%:  means a lot to a true man
   5586 0.00%:  means a lot to a true man!)
   5587 0.00%:  tells us that a teen
   5588 0.00%:  as all
   5589 0.00%:  tells us that an end
   5590 0.00%:  has made me a mere
   5591 0.00%:  has made me act alone!)
   5592 0.00%:  seems mean
   5593 0.00%:  has dealt me an un
   5594 0.00%:  has made me erase
   5595 0.00%:  has made me) alone
   5596 0.00%:  let alone
   5597 0.00%:  sends home
   5598 0.00%:  tells me that too)
   5599 0.00%:  rolls)
   5600 0.00%:  means he
   5601 0.00%:  moral
   5602 0.00%:  tells me so much not
   5603 0.00%:  has let me do a
   5604 0.00%:  turns me on a
   5605 0.01%:  turns me on a lot!)
   5606 0.00%:  turns me on a lot)
   5607 0.00%:  means more to me than sec
   5608 0.00%:  tells me that as a
   5609 0.00%:  alone has made me as
   5610 0.00%:  has also made me eat a
   5611 0.00%:  nerds are too
   5612 0.00%:  and art are so close!)
   5613 0.00%:  that stole
   5614 0.00%:  has made me mean)
   5615 0.00%:  not there
   5616 0.00%:  retro
   5617 0.00%:  tells me that no one reads
   5618 0.00%:  tells me that) a
   5619 0.00%:  needs to learn that!)
   5620 0.00%:  made)
   5621 0.00%:  round three
   5622 0.00%:  nerds are also
   5623 0.00%:  means more to me than nuts
   5624 0.00%:  can lead to some such
   5625 0.00%:  tells us not!)
   5626 0.00%:  has dealt me some more
   5627 0.00%:  alone ruled
   5628 0.00%:  come to
   5629 0.00%:  comes under
   5630 0.00%:  dress
   5631 0.00%:  also made me eat some
   5632 0.00%:  means more to us than cl
   5633 0.00%:  not at
   5634 0.00%:  made man
   5635 0.00%:  has at least led me to a
   5636 0.00%:  names do
   5637 0.00%:  means more to me than cater
   5638 0.00%:  sauce
   5639 0.00%:  tells me not to hate!)
   5640 0.00%:  and!)
   5641 0.00%:  neat
   5642 0.00%:  has led me to real
   5643 0.00%:  root
   5644 0.00%:  means more to us than men
   5645 0.00%:  means more to me than a dance)
   5646 0.00%:  sure has made me late to
   5647 0.00%:  alone has made me learn!)
   5648 0.00%:  means a lot to met these
   5649 0.00%:  real hard
   5650 0.00%:  has ruled on me once
   5651 0.00%:  last)
   5652 0.00%:  has at least one or
   5653 0.00%:  rolls out
   5654 0.00%:  tells us there are no d
   5655 0.00%:  has not made a lot
   5656 0.00%:  meant as
   5657 0.00%:  has at least made one more
   5658 0.00%:  that does not meet all
   5659 0.00%:  last heard
   5660 0.00%:  tells us that) can
   5661 0.00%:  needs us all to eat!)
   5662 0.00%:  can do the same to real
   5663 0.00%:  rules hot
   5664 0.00%:  means a lot and
   5665 0.00%:  can tend
   5666 0.00%:  also out
   5667 0.00%:  means more to me than least
   5668 0.00%:  and the arts are close
   5669 0.00%: let
   5670 0.00%:  can share
   5671 0.00%:  has at least one al
   5672 0.00%:  has dealt me some le
   5673 0.00%:  that sends
   5674 0.00%:  means so much to a man and
   5675 0.00%:  shots
   5676 0.00%:  stats are
   5677 0.00%:  does more than rule me!)
   5678 0.00%:  has ruled me a loser on
   5679 0.00%:  tells me that a sad
   5680 0.00%:  has also made me care
   5681 0.00%:  has at least one more!)
   5682 0.00%:  tells me that men are too
   5683 0.00%: )rules
   5684 0.00%:  race!)
   5685 0.00%:  rules he
   5686 0.00%:  does cr
   5687 0.00%:  sure has let me and
   5688 0.00%:  tells us a man can dream
   5689 0.00%:  names sound
   5690 0.00%:  made me a hero!)
   5691 0.00%:  hat!)
   5692 0.00%:  means more to me than nude
   5693 0.00%:  leads us to en
   5694 0.00%:  tells us that are no
   5695 0.00%:  has dealt me a near
   5696 0.00%:  has made me too smart)
   5697 0.00%:  leads me to no
   5698 0.00%:  ruled at
   5699 0.00%:  means more to me than all!)
   5700 0.00%:  cures all that
   5701 0.00%:  means a lot to me as that
   5702 0.00%:  can tell us that dreams are meant
   5703 0.00%:  and stars
   5704 0.00%:  has close
   5705 0.00%:  can teach us to dream small
   5706 0.00%:  eats the soul!)
   5707 0.00%:  here all
   5708 0.00%:  tells me that dreams!)
   5709 0.00%:  made me a real
   5710 0.00%:  must)
   5711 0.00%:  turns each
   5712 0.00%:  are cool
   5713 0.00%:  shed
   5714 0.00%:  shed tears
   5715 0.00%: ) such a dream
   5716 0.00%:  has come to us all)
   5717 0.00%:  calls that
   5718 0.00%:  can do a real
   5719 0.00%:  has made me more el
   5720 0.00%:  has sat
   5721 0.00%:  that cuts
   5722 0.00%:  and art are not one
   5723 0.00%:  has made me a n
   5724 0.00%:  also h
   5725 0.00%:  means a lot to an un
   5726 0.00%:  roles!)
   5727 0.00%:  can also rule on the mer
   5728 0.00%:  used to call me names at
   5729 0.00%:  has made me seem to
   5730 0.00%:  lets us learn to do
   5731 0.00%:  means more to me than calls
   5732 0.00%:  sure has made me a man
   5733 0.00%:  has no more un
   5734 0.00%:  salad
   5735 0.00%:  leads me to tears once
   5736 0.00%:  as seen
   5737 0.00%: !) are
   5738 0.00%:  has made me a l
   5739 0.00%:  has made me at least 
   5740 0.00%:  means more to me than a ten
   5741 0.00%:  has made me clear a
   5742 0.00%:  tells me that) star
   5743 0.00%:  has cut me more
   5744 0.00%:  tells me that most men
   5745 0.00%:  means more to me than lets
   5746 0.00%:  tells me that) dreams are no
   5747 0.00%:  tells us no one can read
   5748 0.00%:  tells us no one can read that
   5749 0.00%:  means more to me than trust and
   5750 0.00%: ) has a lot to learn
