spend another decade making it so it can say other stuff too, okay?
41.67%:  go
1.72%:  not spend another second of the
1.72%:  go out and make
1.72%:  add
2.91%:  add some
2.60%:  add another
2.26%:  add another phrase
1.72%:  go take him for a spin, okay dude
1.72%:  keep adding more
1.72%:  get out there
7.05%:  get out there and make
4.15%:  get out there and kick
56.13%:  get out there and kick some ass
9.10%:  get out there and kick some ass today
3.16%:  get out there and kick some ass and
2.79%:  get out there and do
1.82%:  get out there and kick ass
1.73%:  get out there and make another
1.72%:  go put
2.18%:  go put him on
1.84%:  go put some
1.72%:  take it for a spin and then go
1.72%:  make it say another thing and
1.72%:  hug it
1.72%:  send him out into space to find another
1.72%:  kick him off
1.72%:  make sure to keep adding
1.72%:  paint
2.81%:  paint him orange
1.71%:  send him out for a test
1.71%:  stop making this
1.71%:  not spend another ten
3.32%:  not spend another ten years of
1.71%:  not do that again for
1.71%:  sit around
1.71%:  go and
1.71%:  go check it
2.01%:  go check it out,
3.37%:  go check it out, okay
1.71%:  go take him out for soda
1.71%:  keep doing this for another decade, say
1.71%:  shake on it,
1.71%:  get out of here and spend
1.70%:  send him to outer space, so
1.70%:  send him out to kick
1.70%:  take him out for spin and
1.73%:  take him out for spin and see if
1.70%:  take it for a spin, and
1.70%:  send him to outer space on
1.70%:  go take the
1.70%:  go kick the crap out of time and
1.69%:  sit around him
1.69%:  take that for a spin today
1.69%:  make out,
1.69%:  take him out for a space
1.69%:  hang out for another decade and see if it sticks
1.69%:  send him out to do great
1.69%:  go take him for a spin, since
1.69%:  make sure it says that,
1.68%:  spend another ten years making it a
1.68%:  keep making our
1.68%:  take him out for another test spin today
1.68%:  go make out and
2.75%:  go make out and then
1.68%:  not spend any time
1.68%:  hang out and pet
1.68%:  make sure he gets a
1.68%:  spend another decade making this sucker say
1.68%:  take care of him, and
1.68%:  see you top that, dreams of
1.67%:  spend another decade on that guy,
1.67%:  take a second to admire this,
3.80%:  take a second to admire this, okay
1.67%:  do some things today
1.67%:  take a photo of it
1.67%:  make sure he says it as
1.67%:  take him out to dinner today
1.67%:  not spend another minute of this decade
1.66%:  go mess around inside the
1.66%:  take him out for a date today
1.66%:  keep doing that for another decade, if
1.66%:  go into his
1.66%:  hang out for another decade, and see
2.11%:  hang out for another decade, and see if it
1.66%:  go out for nachos
1.66%:  go take him out for snacks and see
1.66%:  send him into outer space and get
1.66%:  get some fries
1.65%:  not spend another decade making this sucker say
1.65%:  see you top that, friend of
1.65%:  go into the forest
2.89%:  go into the forest and feed
1.87%:  go into the forest and make
1.65%:  keep doing this, man
1.65%:  go party
1.65%:  go out for some
1.65%:  take him out for a spin, see if
1.65%:  take him out and test
1.65%:  press him
1.65%:  keep doing this for another decade, k
1.64%:  take some photos of it
1.64%:  take him apart and eat
1.64%:  go mess around in the attic
1.64%:  see if you can find another
1.64%:  make another one that doesn
1.64%:  do this again some
1.64%:  take him out for pasta
1.64%:  go feed him,
1.63%:  not make this
1.63%:  go take him for a spin, say
1.63%:  find out if he says
1.63%:  take that out for a spin, yes
1.63%:  go take him for another spin, and
1.63%:  go take him on a date,
2.16%:  go take him on a date, okay
1.62%:  see if that counts as making
1.62%:  hang out today, and
1.62%:  take a minute to thank
1.62%:  not spend another second of your
1.62%:  stop saying that and
1.62%:  get him to stop
1.62%:  go inside him and stuff
1.62%:  take him out for a spin so
1.61%:  take him for another spin, you
1.61%:  take him out for a spin and get ice
1.61%:  use
4.04%:  use him to defeat
2.52%:  use him to attack
1.61%:  make another one that says it
1.61%:  take a second to admire this guy
1.60%:  take a second to admire it
1.60%:  go take him out to dinner and see
1.60%:  go kick him
3.10%:  go kick him around
1.60%:  take him out for spin today
1.60%:  find out if it
1.60%:  keep doing that for another decade of
1.59%:  spend another decade making it so
3.21%:  spend another decade making it so that
1.59%:  get him out for a test
1.59%:  take him out for a spin okay
1.59%:  figure
1.59%:  do some push
1.59%:  not spend another decade on that, you
1.59%:  send him on
1.59%:  get him outta
1.59%:  take it out for another test spin
1.59%:  take him out for a spin at
1.59%:  see if he can do
1.58%:  spend another decade making sure that,
1.58%:  see you top this one
1.58%:  go take him out for a dance, okay
1.58%:  take that out for a spin, and see
1.58%:  spend another decade taking
36.35%:  spend another decade taking care of this
34.27%:  spend another decade taking care of him,
9.52%:  spend another decade taking care of that
2.34%:  spend another decade taking him
2.96%:  spend another decade taking him out
10.27%:  spend another decade taking him out for ice
4.72%:  spend another decade taking him out for snacks
2.65%:  spend another decade taking him out to
2.08%:  spend another decade taking care of it
2.01%:  spend another decade taking him out to eat
1.93%:  spend another decade taking care of him, you
1.81%:  spend another decade taking care of him so
1.60%:  spend another decade taking care of him okay
1.60%:  spend another decade taking him to
1.58%:  send him into space to defend
1.93%:  send him into space to defend our
1.58%:  not do that again?
1.58%:  take it for a spin, man
1.58%:  keep doing stuff
1.58%:  send him out to kick ass
1.58%:  do it
3.76%:  do it again,
1.58%:  not spend another day doing this,
1.58%:  spend another ten years doing the
1.58%:  not forget that you
1.57%:  go inside him and fuck
1.57%:  go feed him potato
1.57%:  get him to say another one,
1.57%:  send him off into space, and
1.57%:  say that our
1.57%:  take that out for a spin, man
1.57%:  go make another friend
1.57%:  take him out into
1.57%:  use him to take
1.57%:  take him apart, and
1.56%:  send him out to space and
1.56%:  get this sucker
1.56%:  not spend another decade making his
1.56%:  keep doing that for another decade, k
1.56%:  update his code
1.56%:  go to the park and make out and
1.55%:  use that
1.55%:  take him for a spin and get
1.55%:  spend another decade making this our
1.55%:  send him out to defend
1.55%:  get out of here, okay
1.55%:  take a photo of us
1.55%:  go kick some ass and punch
1.55%:  think of another image
1.55%:  take him out to dinner to
1.55%:  go kick the crap out of its
1.55%:  not do this again for another decade, my
1.55%:  send him into space to say it for us,
1.55%:  not spend another decade making this suck,
1.54%:  send him into space, so
1.54%:  hang out at
1.54%:  get out of here and take
1.54%:  go to the store
3.12%:  go to the store and pick
2.50%:  go to the store and pick out
2.90%:  go to the store and pick out another
1.66%:  go to the store and pick out a
1.60%:  go to the store and pick out a name
1.54%:  go shoot some stuff,
1.54%:  go crash
1.54%:  make sure to check
1.54%:  take it out for some snacks
1.54%:  make sure to keep adding to
1.54%:  not get rid of that,
1.54%:  rename
1.54%:  see if you can do as
2.26%:  see if you can do as good
1.54%:  spend another ten years making this a
1.53%:  go see him today,
1.53%:  shake our fist
1.53%:  make a second
2.69%:  make a second one that
1.53%:  go take him out for a spin and feed
1.53%:  see if you can top that, dreams
1.53%:  get rid of that and
2.44%:  get rid of that and make
1.53%:  take it out for a spin and see if he can do
1.53%:  say that again,
1.53%:  make sure he does
1.53%:  go do some stuff in
1.52%:  go shoot some dudes, okay
1.52%:  take him out for a test spin, and see
1.52%:  go take him for a spin to
1.52%:  go take him for a spin, and see
1.52%:  test
2.08%:  test him out,
2.38%:  test him out, okay
1.52%:  send him into space to study
1.52%:  not get rid of him any
1.52%:  take him out to a
1.52%:  send him to a
1.52%:  take it out for a spin, say
1.52%:  go to the park and feed it some
1.55%:  go to the park and feed it some snacks
1.52%:  go kick around
2.49%:  go kick around some
1.73%:  go kick around the
1.57%:  go kick around some cans
1.52%:  keep doing that for another decade too
1.52%:  take him out for tests
1.57%:  take him out for tests today
1.51%:  not forget this
1.51%:  not spend another tenth
6.47%:  not spend another tenth of a
9.02%:  not spend another tenth of a decade
1.51%:  take him out for a spin and take
1.51%:  spend another ten years doing that too
1.51%:  shake on it, friend
1.51%:  go kick that
1.51%:  see you top that, fre
1.50%:  see if you can top that one, friend
1.50%:  dance around him,
1.50%:  kick that guy in
1.50%:  pat his
1.50%:  take him out for another spin, and see
1.50%:  go take him out for tea and
1.50%:  get him to dance for
1.49%:  send him into space to say it to
1.49%:  take that for a spin, dude
1.49%:  spend another ten years adding stuff
7.16%:  spend another ten years adding stuff to him,
2.70%:  spend another ten years adding stuff to his
1.94%:  spend another ten years adding stuff to this
1.50%:  spend another ten years adding stuff to him so
1.49%:  take it for a test spin today
1.49%:  sit him
1.49%:  spend the rest of a
1.49%:  add another phrase to
1.49%:  fight some space
1.49%:  keep doing our
1.48%:  set
3.59%:  set him on
7.14%:  set him on fire and
3.59%:  set him on fire,
3.54%:  set him on fire, okay
3.13%:  set him free and
2.12%:  set him free,
1.60%:  set him free, okay
1.48%:  take him out for a date, and
1.48%:  ignore him and focus
1.48%:  make sure to keep it
1.63%:  make sure to keep it that
1.48%:  not spend another year of
1.48%:  take him out for a spin, so
1.48%:  go take him out for a nice spin
1.48%:  take him for a spin today, and
1.47%:  put him in front
2.13%:  put him in front of a giant
1.47%:  do this again another day
1.47%:  take him out for a spin, and take
1.47%:  send him to space, and
1.47%:  spend our time doing
1.47%:  dance around it
1.47%:  spend another decade making his torso out of toast
1.47%:  spend another decade making sure this is okay
1.47%:  go take him out for a spin to see
1.47%:  go dance around
1.47%:  take a minute and
1.47%:  turn him into
1.47%:  think of some
1.46%:  go take some
3.32%:  go take some photos
1.46%:  not spend another tenth of a year
1.46%:  kiss and
14.45%:  kiss and make out and
6.80%:  kiss and make out and then go
5.21%:  kiss and make out and forget
7.26%:  kiss and make out and forget this
4.79%:  kiss and make out and then forget
4.73%:  kiss and make out and forget that
4.40%:  kiss and make out,
3.19%:  kiss and make out for
3.36%:  kiss and make out for a second
2.97%:  kiss and make it
3.31%:  kiss and make it out
2.93%:  kiss and make out and then go for
2.91%:  kiss and make out and then get
2.74%:  kiss and make out and then go to
2.65%:  kiss and make out and forget the
2.52%:  kiss and make out, friend
2.43%:  kiss and make out to
2.30%:  kiss and make out on
8.13%:  kiss and make out on his face
2.08%:  kiss and make out right
2.01%:  kiss and make out and then stop
1.98%:  kiss and make out on his face,
1.92%:  kiss and make out and get
1.75%:  kiss and make up
1.71%:  kiss and make out and forget the past
1.62%:  kiss and make it stop
33.59%:  kiss and make it stop saying that,
9.68%:  kiss and make it stop saying that for
4.53%:  kiss and make it stop saying that, dude
3.97%:  kiss and make it stop saying that for once
3.89%:  kiss and make it stop saying that?
1.60%:  kiss and make out and then go for ice
1.46%:  go see this
1.46%:  keep doing this for another decade okay
1.46%:  spend time
1.46%:  go kick his ass around
1.46%:  spend another decade taking him for a
1.45%:  send him to space to see
1.45%:  see you find that gross
1.45%:  do more
1.78%:  do more things
1.45%:  ask him to stop
3.31%:  ask him to stop saying it
3.14%:  ask him to stop doing
1.45%:  find out if he can speak
1.59%:  find out if he can speak another
1.45%:  kick him around today
1.45%:  spend another ten years taking him out to eat
1.45%:  go take another
1.45%:  go take him for a spin to see
1.45%:  kick some
2.01%:  kick some ass, friend
1.45%:  try again
1.45%:  focus
10.31%:  focus on making
6.66%:  focus on making that
4.00%:  focus on making the
3.96%:  focus on the first
2.91%:  focus on that
2.76%:  focus on making this
2.49%:  focus on the parts
2.31%:  focus on the good
10.15%:  focus on the good parts of
8.83%:  focus on the good parts,
3.20%:  focus on the good times
2.80%:  focus on the good parts and
2.05%:  focus on that part
1.97%:  focus on the parts of
1.94%:  focus on the part
1.45%:  go kick some ass in the face
1.44%:  keep him around another decade
1.44%:  go take him for test
1.44%:  go take him out and party
1.44%:  go take him out for eats
1.44%:  ask him to stop saying stuff
1.44%:  send him into outer space today,
1.43%:  paint him red
1.43%:  spend another tenth
2.15%:  spend another tenth of my
2.04%:  spend another tenth of a
2.58%:  spend another tenth of a decade
10.48%:  spend another tenth of a decade making
1.43%:  spend another decade on that, my
1.43%:  take turns
1.43%:  go home
1.43%:  go shoot some dudes, friend
1.43%:  see if you can top that, dreams of
1.43%:  take it out for another spin, eh
1.43%:  go inside him, and
1.43%:  see you top that, fris
1.42%:  not spend another second of time that
1.42%:  see you make that one
1.42%:  focus on that second
4.54%:  focus on that second part,
13.24%:  focus on that second part, okay
2.57%:  focus on that second part of
1.42%:  go punch a
1.42%:  go kick the crap out of some teens,
1.42%:  take him out for cake,
1.42%:  not spend another day on that,
1.42%:  stop doing
2.50%:  stop doing that
2.34%:  stop doing this,
1.42%:  spend another decade making this a
1.42%:  go see if he says
1.42%:  send him into outer space as
2.01%:  send him into outer space as a gift
7.55%:  send him into outer space as a gift to another
1.41%:  shake its
1.41%:  not do this again today
1.41%:  not spend another decade making it say stuff
1.41%:  get out there and do some kick
1.41%:  see you top that, kids
1.41%:  get him to dance to
1.41%:  go find out if he needs
1.41%:  send him into space to scout
2.27%:  send him into space to scout for
1.41%:  go take him out to a
1.41%:  go ride him today
1.41%:  make out and forget that
1.41%:  go for another spin, my
1.41%:  keep doing this for another decade to
1.40%:  see you top that, smart
1.40%:  take it out for a spin, hey
1.40%:  keep that secret
1.40%:  send him out to do good
1.40%:  spend another ten years on it,
1.40%:  make sure it says that again,
1.40%:  send him out and see if
1.40%:  take him out for a spin again, okay
1.40%:  go inside this
1.40%:  make another one that says stuff too
1.40%:  ask him to repeat it
1.40%:  take it out for a spin, then
1.40%:  send him into space to take
1.40%:  spend another tenth of a decade making it
2.24%:  spend another tenth of a decade making it say
1.40%:  see if you can top that, fre
1.40%:  not take
1.91%:  not take apart
1.40%:  go turn
5.21%:  go turn him off
6.73%:  go turn him off and
5.97%:  go turn him off and take
4.65%:  go turn him off and take a nap,
1.85%:  go turn him on and
1.78%:  go turn him on,
3.42%:  go turn him on, okay
1.75%:  go turn him off and on
1.40%:  try and
2.08%:  try and make
1.39%:  spend another ten years adding to his
1.39%:  not take apart this
1.39%:  do some stuff today
1.39%:  go out and kick some ass and
1.39%:  get another friend and
2.80%:  get another friend and make
1.39%:  take it for a test spin, dude
1.39%:  go for a spin in him today
1.39%:  kiss and make out, and
1.39%:  agree that it
1.39%:  hang out more today
1.39%:  spend another decade making it say that stuff
1.38%:  spend another ten years adding to this
1.38%:  make it say another thing, and
1.38%:  spend another decade making sure it says that to
1.38%:  go punch some faces,
1.71%:  go punch some faces, friend
1.38%:  kiss and make out on the
1.38%:  not spend another decade making that say
1.38%:  go inside and turn
8.57%:  go inside and turn him off,
1.96%:  go inside and turn him off so
1.38%:  take him out for a spin today, don
1.38%:  spend another ten years doing this to
1.38%:  go and see
1.37%:  kiss and make out for a second,
1.37%:  see you top that, dear
1.37%:  go crash some
1.55%:  go crash some stuff
1.37%:  go take him out for a test spin and
1.37%:  take him out for tea today
1.37%:  go take him for another test spin, dude
1.37%:  hang out for another decade so
1.37%:  go find another
10.85%:  go find another friend
7.46%:  go find another friend to
8.88%:  go find another friend to make
3.15%:  go find another friend and
4.82%:  go find another friend and make
3.07%:  go find another friend to spend
2.79%:  go find another friend to make into
2.67%:  go find another friend,
2.20%:  go find another friend to make a second
1.82%:  go find another friend to make this
1.66%:  go find another friend, okay
1.65%:  go find another friend to spend some
1.48%:  go find another friend to teach
1.37%:  turn him on and off
1.37%:  take him for a test spin, and see
1.37%:  ask him to dance for
1.37%:  update him so
1.37%:  go kick some ass, friend of
1.37%:  spend another decade on it
1.37%:  send him out to face
1.37%:  hook up
1.78%:  hook up some
1.37%:  not take this
1.55%:  not take this too
1.81%:  not take this too far, guys
1.37%:  take it out for another spin, my
1.37%:  go,
1.36%:  go smash
1.36%:  take him on a date and
1.36%:  take it out for another spin and
1.36%:  go pet him,
3.17%:  go pet him, okay
1.36%:  not spend another day taking
2.03%:  not spend another day taking this
1.70%:  not spend another day taking him
1.36%:  turn him off and get a
1.36%:  see you take
2.81%:  see you take that to
1.36%:  not spend another decade making that okay
1.36%:  go take him out and see
1.35%:  go take him for a space
1.35%:  take him out for a spin, do
1.35%:  go see if he can do
1.54%:  go see if he can do tricks
1.35%:  make another one that does
1.35%:  turn him off again
1.35%:  spend another decade making those
1.35%:  send him out to stop
1.35%:  make out and then forget
1.35%:  ignore this
1.35%:  go find another friend so
1.35%:  send him out to take care of a
1.35%:  go for another test spin
1.35%:  take a second to admire that guy
1.35%:  not spend another second here
1.34%:  keep doing this for another,
1.34%:  focus on making it
1.55%:  focus on making it say
2.16%:  focus on making it say that
1.34%:  kick that dude
1.34%:  spend another decade making this okay
1.34%:  do it again, okay
1.34%:  go take him out for another spin today
1.34%:  spend another ten years doing it
1.34%:  fight crime, dude
1.34%:  take him to a dance party,
1.34%:  spend another decade making that fucker say
1.34%:  go do some stuff in the
2.51%:  go do some stuff in the park
1.34%:  put him to good
1.34%:  take him out for a nice spin,
1.34%:  kick this dude
1.34%:  see you do that, friend
1.34%:  go make out, friend
1.33%:  send him into space, for
1.33%:  go find another friend so that
1.33%:  take him for a spin, d
1.33%:  go take that
1.33%:  get another friend so that
1.33%:  take him apart and do
1.33%:  go take him out for a date and
1.33%:  send him off into space so
1.33%:  go see that
1.33%:  try to keep that
1.33%:  see if you can do that, friend
1.33%:  shake on it?
1.33%:  take him out and get drinks
1.33%:  take it for a spin, hm
1.33%:  turn him off and go to another
1.33%:  go take him out for a spin today, and
1.33%:  take it for a spin some
1.33%:  spend another decade trying to make this suck
1.33%:  go take him out for a spin, d
1.32%:  take that out for a spin?
1.32%:  send him to outer space, and if
1.32%:  take him out to get
1.32%:  make sure he says it another
1.32%:  make his
1.32%:  put the
1.32%:  go kick some dirt
1.32%:  take turns saying
1.32%:  take him apart and feed
1.32%:  take it out for a spin today?
1.32%:  open
1.31%:  see you make that a
1.31%:  go take that sucker
1.31%:  go inside him for a second and
1.31%:  not spend another day taking our
1.31%:  go take some photos of it
1.31%:  hang out more and
1.31%:  take him out for a nice spin today
1.31%:  see you make that into an
1.31%:  go to the park,
1.31%:  take him apart and get another one,
3.24%:  take him apart and get another one, okay
1.31%:  keep doing this and
1.31%:  focus on making it say that faster
1.30%:  see if you can get that to
1.30%:  send him off to do
1.30%:  send him to outer space and get another
1.30%:  go inside him and do
5.12%:  go inside him and do stuff
1.30%:  take him for a space
1.30%:  see if that counts as a good time,
1.30%:  not do that again okay
1.30%:  take him out for another spin, yes
1.30%:  take some photos of us
1.30%:  take him out for a spin today and get
1.30%:  kiss and make out and then do
1.30%:  make it dance
1.30%:  take him for test
1.30%:  not spend another day doing that,
1.30%:  kick his ass and see
1.30%:  not forget to feed him and
1.29%:  go for a spin in him, dude
1.29%:  try to keep it
1.29%:  find out if he means
1.29%:  go ride the
1.29%:  take this out
22.05%:  take this out for a spin,
19.05%:  take this out for a spin, okay
9.96%:  take this out for a test
5.43%:  take this out for a spin and
5.29%:  take this out for a spin today
4.94%:  take this out for a spin, my
4.64%:  take this out for a test spin
2.59%:  take this out for a spin some
2.44%:  take this out for a test spin,
4.75%:  take this out for a test spin, okay
1.83%:  take this out for a spin, and
1.29%:  go take him on a date and
1.29%:  see you find another
1.29%:  put this
1.29%:  go find another friend and make a
1.29%:  take him apart and see if it
1.29%:  keep making it
1.29%:  spend another decade making it say this
1.29%:  spend another decade making that one
1.29%:  get some snacks and take
1.29%:  go take a nap inside
1.28%:  keep making the
1.28%:  spend the rest of time
1.28%:  turn him off and keep
1.28%:  not spend the
1.28%:  go make sure
1.62%:  go make sure he doesn
1.28%:  spend another decade making sure it says it
1.28%:  go make the
1.28%:  stop using
1.28%:  send him into space, dudes
1.28%:  take him out for a spin today, to
1.28%:  not spend another decade making that fucker
1.28%:  set him on fire to
1.28%:  go take him for a snack
1.28%:  spend another ten years doing stuff to that
1.27%:  go meet
1.27%:  go take it
10.36%:  go take it for a test
6.67%:  go take it for a spin,
6.06%:  go take it for a spin, okay
5.33%:  go take it for a test spin
3.17%:  go take it for a spin, dude
1.49%:  go take it for a spin, yeah
1.40%:  go take it out
15.28%:  go take it out for a spin,
14.13%:  go take it out for a spin, okay
11.72%:  go take it out for a test
5.69%:  go take it out for a test spin
4.23%:  go take it out for a spin and
4.20%:  go take it out for a spin today
4.00%:  go take it out for a spin, yeah
3.46%:  go take it out for a spin and then
3.35%:  go take it out for a spin and see
2.15%:  go take it out for another
3.82%:  go take it out for another spin,
4.58%:  go take it out for another spin, okay
3.62%:  go take it out for another test
2.11%:  go take it out for a spin, and
2.09%:  go take it out for a spin, my
1.71%:  go take it out for a spin, eh
1.69%:  go take it out for a spin today,
1.53%:  go take it out for another spin today
1.38%:  go take it out for a test spin,
2.29%:  go take it out for a test spin, okay
1.36%:  go take it out for another test spin
1.34%:  go take it out for another spin, yeah
1.28%:  go take it for a spin, my
1.50%:  go take it for a spin, my dude
1.27%:  go kick it,
1.27%:  keep doing this for many
1.27%:  go inside of him and take
1.27%:  focus on the good parts of it
1.27%:  take it out for a test spin and
1.27%:  take him out for a snack and see
1.27%:  go out and do
1.27%:  take it out for a spin and check
1.27%:  send him into space, you
1.27%:  not forget to feed him snacks
1.27%:  go kick some ass and find
15.84%:  go kick some ass and find out if that
8.54%:  go kick some ass and find out if he can
1.27%:  get that sucker
1.27%:  see if you can resist
1.43%:  see if you can resist that
1.27%:  take him apart, okay
1.27%:  hang out for another decade, my
1.27%:  turn off
2.41%:  turn off his
1.27%:  put it
1.27%:  make another one that speaks
1.27%:  go take a nap inside of
1.27%:  hang out today and make it
1.27%:  start taking
1.54%:  start taking him out on
4.65%:  start taking him out on dates,
9.99%:  start taking him out on dates, okay
1.31%:  start taking him out to
1.27%:  see if that doesn
1.27%:  spend another ten years adding stuff to it
1.26%:  make it a
1.26%:  make sure it says that often
1.26%:  go take him apart and find
1.45%:  go take him apart and find out if
1.26%:  punch it in
1.26%:  not spend another second of our time as
1.26%:  send him into space to get
1.26%:  make sure his
1.26%:  take it out for a spin and get
2.32%:  take it out for a spin and get some snacks
1.26%:  take him out for a date to
1.26%:  see if you can find that
1.26%:  go kick his ass, dude
1.26%:  hang out more often and
1.26%:  spend another tenth of a decade making our
1.26%:  not forget he
1.26%:  not forget he says
1.25%:  get some ice
1.25%:  go take him out for another ice
1.25%:  not forget to pay
1.25%:  take him out for a spin today, as
1.25%:  not take that
1.25%:  make it so he doesn
1.25%:  go make out inside his
1.25%:  go kick the crap out of some teens and
1.25%:  make a second one that says,
1.25%:  get out of here and spend another
1.25%:  spend another ten years on him, dude
1.25%:  go take photos
1.25%:  get out of this room, okay
1.24%:  go kiss
1.24%:  go smash stuff
1.24%:  spend another decade making sure that if
1.24%:  go find out if it
1.24%:  not make another
1.49%:  not make another one of
4.43%:  not make another one of these
1.88%:  not make another one of those for
1.66%:  not make another one of these guys
1.62%:  not make another one of those guys
1.35%:  not make another one of these for
1.24%:  go take him around to
1.24%:  go into the past
4.46%:  go into the past and make
5.99%:  go into the past and make sure
2.87%:  go into the past and make out
1.76%:  go into the past and make another
2.33%:  go into the past and make another friend
1.42%:  go into the past and make it
1.32%:  go into the past and make another friend,
1.27%:  go into the past and see
1.24%:  see if you can think of another good
1.24%:  take it out for a spin today and
1.24%:  kick him into
6.90%:  kick him into space
4.54%:  kick him into space and
6.23%:  kick him into space and forget
1.36%:  kick him into space,
1.24%:  make sure to check on
1.24%:  go take him out for tea and cake
1.23%:  go to the arcade and feed
1.23%:  turn it
4.24%:  turn it off
5.62%:  turn it off and go
8.00%:  turn it off and go home
5.53%:  turn it off and go inside
4.11%:  turn it off and go to
3.21%:  turn it off and take
2.87%:  turn it off and go to the
2.21%:  turn it off and go home,
5.84%:  turn it off and go home, okay
1.82%:  turn it off and take it
1.23%:  take it out for some ice
1.23%:  spend another decade on that one
3.28%:  spend another decade on that one, okay
1.23%:  ask him a
1.23%:  get him off
1.23%:  go take him out for a test spin today
1.23%:  send him off to do great
1.23%:  go ask
2.86%:  go ask him if
1.97%:  go ask him to
6.51%:  go ask him to dance
1.57%:  go ask him to dinner
1.23%:  spend another ten years making us
1.23%:  find some
1.23%:  take him out for a spin and get a soda
1.23%:  not spend another day making it
1.23%:  spend another decade on that, you
1.23%:  not spend another decade making that a
1.23%:  not spend another year on him
1.23%:  go into the past and kick
1.60%:  go into the past and kick our
1.23%:  take this out for a spin and make
1.23%:  take him out for a spin, and say
1.22%:  see if he says
1.22%:  spend another decade trying to make that a
1.22%:  send him out to dance
1.22%:  get some drinks
1.22%:  go kick the crap out of some ne
1.22%:  take that for a test spin
1.22%:  take him out for a soda, okay
1.22%:  go out and party,
1.22%:  make this guy
1.22%:  see if that sounds as
3.17%:  see if that sounds as good
2.93%:  see if that sounds as good to
1.22%:  take him for a spin today and see if
1.21%:  take him out to a fancy
2.22%:  take him out to a fancy dinner
1.21%:  turn him off and pat
1.21%:  go inside his torso
1.64%:  go inside his torso and make
1.78%:  go inside his torso and make out,
1.36%:  go inside his torso and take
1.21%:  go take him out for a spin and test
1.21%:  not spend another second of that time
1.21%:  see if you think
1.21%:  send him to attack another friend
1.21%:  turn him off and go inside to eat cake
1.21%:  see if you can get past
1.61%:  see if you can get past that one
1.21%:  get a
1.21%:  not spend another second of either
1.21%:  take him to a party, and
1.85%:  take him to a party, and see
1.21%:  put him inside
2.77%:  put him inside another
1.21%:  go kick some ass and find out if the
1.21%:  go inside and make out for a second
1.21%:  update the
1.21%:  not fight it
1.21%:  take him for a test spin?
1.20%:  go on a date and make
1.20%:  update his code so
1.20%:  take him out for snacks today,
1.20%:  go take him for a test spin in
1.20%:  keep doing that for another decade okay
1.20%:  punch it,
1.20%:  go on a road
1.20%:  not forget,
1.20%:  press his giant
1.20%:  not spend another decade trying to make that suck
1.20%:  spend another year
4.43%:  spend another year making
1.23%:  spend another year making that
1.20%:  spend the rest of today making it
1.20%:  get him out for a spin today,
1.20%:  stop saying that,
1.20%:  send him to space to find
1.20%:  go on another date,
1.25%:  go on another date, okay
1.20%:  see you make that gross and
1.20%:  see you make that one,
1.19%:  go make our
1.19%:  go take him on another
1.30%:  go take him on another date
1.19%:  open the
1.19%:  go take him out to dinner and say
1.19%:  go make out in
2.39%:  go make out in the forest
1.55%:  go make out in his
1.19%:  not spend another minute of this great
1.19%:  go inside that
1.19%:  see if that counts as a good friend
1.19%:  go kick some ass in that
1.19%:  send him off to another
1.19%:  go inside and pet
1.19%:  go pet the
1.19%:  go inside him and turn
2.18%:  go inside him and turn off
1.19%:  get drunk and dance
1.19%:  take it out for a spin today, and
1.24%:  take it out for a spin today, and then
1.19%:  not do that again today
1.19%:  go out and kick some ass and then
1.19%:  take him and
1.18%:  send him into space?
1.18%:  keep adding to his
1.18%:  take him out for another ice
1.18%:  party
1.18%:  get him to say it for
1.18%:  go for a spin and
1.38%:  go for a spin and see if that
1.18%:  hang out and kick it
1.18%:  not forget to pay his
1.18%:  see if you can think of another image
1.18%:  take him out to eat,
1.18%:  get some drinks and
1.18%:  kick this guy in
1.18%:  take him on a date today
1.18%:  go turn him off,
2.21%:  go turn him off, okay
1.18%:  send him out to space to
1.17%:  go inside and see
1.17%:  take him out to eat today
1.17%:  take it out for a spin and say
1.17%:  send him to outer space?
1.17%:  hope it
4.34%:  hope it doesn
1.17%:  get another one that
1.17%:  take this out for a spin, man
1.17%:  get the
1.17%:  hang out today and take
1.17%:  take it out for a spin, and make
1.17%:  make it say other
5.88%:  make it say other stuff
3.85%:  make it say other stuff too,
1.33%:  make it say other stuff,
2.15%:  make it say other stuff, too
1.17%:  fight another
1.17%:  take it out for a spin to
1.17%:  go for a spin in it
1.17%:  get another friend to
1.17%:  go kick the crap out of a man
1.16%:  focus on the good part
1.16%:  use that as
1.16%:  go take it for a test spin,
2.03%:  go take it for a test spin, okay
1.16%:  go for a spin?
1.16%:  go do stuff today
1.16%:  go kick the crap out of another enemy
1.16%:  go find out if this
1.16%:  go to the park and sit
1.16%:  touch it
1.16%:  go take him out for cake,
1.16%:  go take him out for a spin today and
1.16%:  send him into space to find out for
1.16%:  fight crime as
1.16%:  take it out for a spin, and then get
1.96%:  take it out for a spin, and then get some
1.43%:  take it out for a spin, and then get some food
1.16%:  go out and see if
1.16%:  go take him out to eat at
1.16%:  go shoot some stuff, okay
1.16%:  go mess around in that
1.15%:  send him into outer space?
1.15%:  take him out to eat, okay
1.15%:  make sure he can
1.15%:  spend another decade making it say that one
1.15%:  not spend another day hating
1.20%:  not spend another day hating our
1.15%:  kick it around
1.15%:  set him free into
1.15%:  put that in
