has one man sucked on his fingers so much for so little
         0 0* 230.25005% mind                                                                                                                          -------aacceeefhhhikllmnnooooorsssssttuu
       508 0* 0.02520% mind hah                                                                                                                      -------acceeefhikllmnnooooorsssssttuu
       509 0* 0.02504%  seen a man                                                                                                                   -------ccdefhhhiikllmnooooorssssttuu
       510 0* 0.02496%  has more                                                                                                                     -------accdeefhhiikllmnnnoooossssttuu
       511 0* 0.02494%  call me on that                                                                                                              -------cdeefhhiikmnnoooorsssssuu
       512 0* 0.02481%  less                                                                                                                         -------aaccdeefhhhiiklmmnnnooooorsssttuu
       513 0* 0.16253%  less than                                                                                                                    -------accdeefhhiiklmmnnooooorssstuu
       514 0* 0.02478%  seen such a small                                                                                                            -------cdefhhiikmnnooooorssttu
       515 0* 0.02476%  make that                                                                                                                    -------ccdeefhhiillmnnnooooorsssssuu
       516 0* 0.02471% mind haha                                                                                                                     -------cceeefhikllmnnooooorsssssttuu
       517 0* 0.02466%  once sucked on fingers in                                                                                                    aaefhhhillmmooorssssttu
       518 0* 0.02463%  has so much sucked                                                                                                           -------aeefhiillmnnnoooorsstt
       519 0* 0.07414%  has so much sucked for                                                                                                       -------aeehiillmnnnooosstt
       520 0* 0.17426%  has so much sucked for so                                                                                                    -------aeehiillmnnnoostt
       521 0* 2.15922%  has so much sucked for so little                                                                                             -------aehimnnnoos
       522 0* 0.05476%  has so much sucked for so little in                                                                                          -------aehmnnoos
       523 0* 0.04375%  has so much sucked for so little on                                                                                          -------aehimnnos
       524 0* 0.02461%  see                                                                                                                          -------aaccdefhhhiikllmmnnnooooorssssttuu
       525 0* 0.02457% mind all of                                                                                                                   -------acceeehhhikmnnoooorsssssttuu
       526 0* 0.03456% mind all of that                                                                                                              -------cceeehhikmnnoooorsssssuu
       527 0* 0.02449%  tell me to                                                                                                                   -------aaccdefhhhiikmnnnoooorsssssuu
       528 0* 0.05223%  tell me to suck                                                                                                              -------aacdefhhhiimnnnoooorssssu
       529 0* 0.05995%  tell me to suck on                                                                                                           -------aacdefhhhiimnnooorssssu
       530 0* 0.02438%  kiss on the mouth and                                                                                                        -------acceefhillmnooorsssu
       531 0* 0.02436%  kiss me on the mouth on our                                                                                                  -------aaccdefhillnosss
       532 0* 0.02436%  look into the camera                                                                                                         -------cdefhhilmnnoosssssuu
       533 0* 0.02434%  has so much come for so little and                                                                                           -------ehiknnossu
       534 0* 0.02433%  heard of an                                                                                                                  -------cceehhiikllmmnnoooosssssttuu
       535 0* 0.02430%  call me at                                                                                                                   -------cdeefhhhiikmnnnooooorssssstuu
       536 0* 0.05745%  call me at home                                                                                                              -------cdefhhiiknnnoooorssssstuu
       537 0* 0.02421%  seen so much skin                                                                                                            -------aacdefhhillmnoooorssttu
       538 0* 0.02420%  like this                                                                                                                    -------aaccdeefhhlmmnnnooooorsssstuu
       539 0* 0.02412%  on the                                                                                                                       -------aaccdeefhhiikllmmnnoooorssssstuu
       540 0* 0.13239%  on the first                                                                                                                 -------aaccdeehhikllmmnnoooossssuu
       541 0* 0.02406%  more                                                                                                                         -------aaccdeefhhhiikllmnnnoooosssssttuu
       542 0* 0.13161%  more than                                                                                                                    -------accdeefhhiikllmnnoooossssstuu
       543 0* 0.02400% mind lol                                                                                                                      -------aacceeefhhhikmnnoooorsssssttuu
       544 0* 0.02398%  had so                                                                                                                       -------acceeefhhiikllmmnnnoooorssssttuu
       545 0* 0.16514%  had so much                                                                                                                  -------aceeefhiikllmnnnoooorssssttu
       546 0* 0.16278%  had so much fun                                                                                                              -------aceeehiikllmnnoooorsssstt
       547 0* 0.03305%  had so much fun on                                                                                                           -------aceeehiikllmnooorsssstt
       548 0* 0.02708%  had so little                                                                                                                -------acceefhhikmmnnnoooorssssuu
       549 0* 0.05672%  had so little for                                                                                                            -------acceehhikmmnnnooossssuu
       550 0* 0.15638%  had so little for so                                                                                                         -------acceehhikmmnnnoosssuu
       551 0* 2.05542%  had so little for so much                                                                                                    -------aceehikmnnnoosssu
       552 0* 0.19801%  had so little for so much suck                                                                                               -------aeehimnnnooss
       553 0* 0.11215%  had so little for so much in                                                                                                 -------aceehkmnnoosssu
       554 0* 0.04758%  had so little for so much on                                                                                                 -------aceehikmnnosssu
       555 0* 0.02703%  had so much fun on a                                                                                                         -------ceeehiikllmnooorsssstt
       556 0* 0.02589%  had so little for so much suck on                                                                                            -------aeehimnnoss
       557 0* 0.40640%  had so little for so much suck on fingers                                                                                    aeehimnnoss
       558 0* 0.04566%  had so little for so much suck on fingers in                                                                                 aeehmnoss
       559 0* 0.02399%  had so much as                                                                                                               -------ceeefhiikllmnnnoooorsssttu
       560 0* 0.02398%  fall                                                                                                                         -------accdeeehhhiikmmnnnooooorsssssttuu
       561 0* 0.03592%  fall in                                                                                                                      -------accdeeehhhikmmnnooooorsssssttuu
       562 0* 0.02379%  eat alone                                                                                                                    -------ccdefhhhiiklmmnnoooorssssstuu
       563 0* 0.02377%  asked for a                                                                                                                  -------cceehhhiillmmnnnoooossssttuu
       564 0* 0.02375%  has it                                                                                                                       -------accdeeefhhikllmmnnnooooorsssstuu
       565 0* 0.02369%  smile                                                                                                                        -------aaccdeefhhhiklmnnnooooorssssttuu
       566 0* 0.02365% minds                                                                                                                         -------aacceeefhhhikllmnnooooorssssttuu
       567 0* 0.02356%  had much                                                                                                                     -------aceeefhiikllmnnnooooorsssssttu
       568 0* 0.07994%  had much luck                                                                                                                -------aeeefhiilmnnnooooorssssstt
       569 0* 0.02347%  in the course of social                                                                                                      -------adehhklmmnnoossstu
       570 0* 0.02335%  seen that much cash in                                                                                                       -------defikllmnooooorsssu
       571 0* 0.02335%  call me this                                                                                                                 -------acdeefhhikmnnnooooorsssstuu
       572 0* 0.02328%  once in our date                                                                                                             -------acefhhhikllmmnooossssstu
       573 0* 0.02328%  mind there                                                                                                                   -------aaccefhhikllmnnooooossssstuu
       574 0* 0.02326%  smile at                                                                                                                     -------accdeefhhhiklmnnnooooorsssstuu
       575 0* 0.02323%  look a                                                                                                                       -------accdeeefhhhiilmmnnnooorsssssttuu
       576 0* 0.02307%  listen to a man suck                                                                                                         -------cdeefhhhilmnoooorsssu
       577 0* 0.02284%  too soon for a                                                                                                               -------accdeeehhhiikllmmnnsssstuu
       578 0* 0.02282%  look at me the                                                                                                               -------accdefhhiilmnnnooorsssssuu
       579 0* 0.02277%  asked me out on                                                                                                              -------accefhhhiillmnnooorsssstu
       580 0* 0.02729%  asked me out on a                                                                                                            -------ccefhhhiillmnnooorsssstu
       581 0* 0.02274%  use that                                                                                                                     -------accdeefhhiikllmmnnnooooorssssu
       582 0* 0.02269%  call me from a                                                                                                               -------cdeehhhiiknnnoooosssssttuu
       583 0* 0.02264%  ask me for a                                                                                                                 -------ccdeehhhiillmnnnoooossssttuu
       584 0* 0.08807%  ask me for a second                                                                                                          -------cehhhiillmnnooosssttuu
       585 0* 0.02261%  seen so much cash for                                                                                                        -------adehiikllmnnooossttu
       586 0* 0.05367%  seen so much cash for so                                                                                                     -------adehiikllmnnoosttu
       587 0* 0.02258%  has so much of me                                                                                                            -------acdeehiikllnnnooorsssttu
       588 0* 0.02256%  suck                                                                                                                         -------aacdeeefhhhiillmmnnnooooorssssttu
       589 0* 0.04565%  suck fingers                                                                                                                 aacdeeefhhhiillmmnnnooooorssssttu
       590 0* 0.03191%  suck on                                                                                                                      -------aacdeeefhhhiillmmnnoooorssssttu
       591 0* 0.02254%  mind the rules                                                                                                               -------aaccefhhiklmnnooooosssstu
       592 0* 0.03255%  mind the rules of                                                                                                            -------aaccehhiklmnnoooosssstu
       593 0* 0.02253%  mess                                                                                                                         -------aaccdeefhhhiikllmnnnooooorsssttuu
       594 0* 0.02250%  in our time                                                                                                                  -------aaccdeefhhhkllmnnoooossssstu
       595 0* 0.02249%  seen so much fingers                                                                                                         aacdefhhiikllmnnoooorsssttu
       596 0* 0.02248%  in the course of its                                                                                                         -------aacdehhkllmmnnooosssu
       597 0* 0.02247%  in the course of hum                                                                                                         -------aacdehikllmnnooosssst
       598 0* 0.02234%  call me after                                                                                                                -------cdehhhiikmnnnooooossssstuu
       599 0* 0.02230% mind the hella                                                                                                                -------accefhikmnnooooorssssstuu
       600 0* 0.02228%  mind us                                                                                                                      -------aacceeefhhhikllmnnooooorssssttu
       601 0* 0.02226% mind us                                                                                                                       -------aacceeefhhhikllmnnooooorssssttu
       602 0* 0.02218%  do that on                                                                                                                   -------acceeefhhiikllmmnnooorsssssuu
       603 0* 0.02208%  too much                                                                                                                     -------aacdeeefhhiikllmnnnooorssssstu
       604 0* 0.02208%  told                                                                                                                         -------aacceeefhhhiiklmmnnnoooorssssstuu
       605 0* 0.02207%  listen to an old                                                                                                             -------acceefhhhikmmnooorssssuu
       606 0* 0.03941%  listen to an old man                                                                                                         -------cceefhhhikmooorssssuu
       607 0* 0.02196%  in all our months of dates                                                                                                   -------cceehhikmnoosssu
       608 0* 0.02193%  has so much hella cre                                                                                                        -------defiikmnnnoooosssttu
       609 0* 0.02188%  touch me on the fingers                                                                                                      aacdefhiikllmnnooorsssssu
       610 0* 0.02187%  let this                                                                                                                     -------aaccdeefhhiklmmnnnooooorssssuu
       611 0* 0.02176%  do that on a                                                                                                                 -------cceeefhhiikllmmnnooorsssssuu
       612 0* 0.02173%  lose track                                                                                                                   -------acdeefhhhiilmmnnnoooosssstuu
       613 0* 0.06957%  lose track of                                                                                                                -------acdeehhhiilmmnnnooosssstuu
       614 0* 0.09747%  lose track of the                                                                                                            -------acdehhiilmmnnnooossssuu
       615 0* 0.02173%  ask me to dinner                                                                                                             -------accefhhhillmnoooosssstuu
       616 0* 0.02173%  kisses                                                                                                                       -------aaccdeefhhhillmmnnnooooorssttuu
       617 0* 0.02167%  has such a little sum                                                                                                        -------cdeefhikmnnnooooorss
       618 0* 0.02165%  take me to church                                                                                                            -------adefhiillmnnnoooosssssu
       619 0* 0.02163%  in the course of a man                                                                                                       -------cdehhikllmnooosssstu
       620 0* 0.02160%  kiss me on the mouth for                                                                                                     -------aaccdehillnnoosssu
       621 0* 0.02151%  asked for that                                                                                                               -------cceehhiillmmnnnoooossssuu
       622 0* 0.09888%  asked for that much                                                                                                          -------ceehiillmnnnoooossssu
       623 0* 0.03474%  asked for that much in                                                                                                       -------ceehillmnnoooossssu
       624 0* 0.02142%  turn                                                                                                                         -------aaccdeeefhhhiikllmmnnooooossssstu
       625 0* 0.02140%  for me                                                                                                                       -------aaccdeehhhiikllmnnnoooosssssttuu
       626 0* 0.02140%  come to me                                                                                                                   -------aacdefhhhiikllnnnooorssssstuu
       627 0* 0.03747%  come to me for                                                                                                               -------aacdehhhiikllnnnoossssstuu
       628 0* 0.02139%  ask a friend                                                                                                                 -------cceehhhillmmnnooooossssttuu
       629 0* 0.02281%  ask a friend to                                                                                                              -------cceehhhillmmnnoooosssstuu
       630 0* 0.02137%  less than a                                                                                                                  -------ccdeefhhiiklmmnnooooorssstuu
       631 0* 0.02136%  a chance                                                                                                                     -------deefhhiikllmmnnooooorsssssttuu
       632 0* 0.02134%  done a                                                                                                                       -------acceefhhhiikllmmnnoooorsssssttuu
       633 0* 0.02129%  listen to men                                                                                                                -------aaccdefhhhiklmnoooorssssuu
       634 0* 0.02123%  seen so much action in                                                                                                       -------adefhhkllmooorssstu
       635 0* 0.02118%  in the course of casual                                                                                                      -------dehhiklmmnnooossst
       636 0* 0.02118%  make deals                                                                                                                   -------ccefhhhiilmnnnooooorssssttuu
       637 0* 0.02117%  taken me                                                                                                                     -------accdefhhhiillmnnooooorssssstuu
       638 0* 0.04884%  taken me out                                                                                                                 -------accdefhhhiillmnnoooorsssssu
       639 0* 0.08044%  taken me out for                                                                                                             -------accdehhhiillmnnooosssssu
       640 0* 0.02151%  taken me out on                                                                                                              -------accdefhhhiillmnooorsssssu
       641 0* 0.02110%  has so much come of                                                                                                          -------adeehiikllnnnoorsssttu
       642 0* 0.06273%  has so much come of so                                                                                                       -------adeehiikllnnnorssttu
       643 0* 1.29216%  has so much come of so little                                                                                                -------adehiknnnorssu
       644 0* 0.05124%  has so much come of so little in                                                                                             -------adehknnorssu
       645 0* 0.03019%  has so much come of so little on                                                                                             -------adehiknnrssu
       646 0* 0.02108%  felt this                                                                                                                    -------aaccdeehhiklmmnnnooooorssssuu
       647 0* 0.02105%  once told                                                                                                                    -------aaceefhhhiiklmmnnooorssssstuu
       648 0* 0.05069%  once told me                                                                                                                 -------aacefhhhiiklmnnooorssssstuu
       649 0* 0.02097%  talk to me on                                                                                                                -------accdeefhhhiilmnnooorsssssuu
       650 0* 0.02096%  in all of time                                                                                                               -------accdeehhhkmnnoooorssssstuu
       651 0* 0.04605%  in all of time has                                                                                                           -------ccdeehhkmnnoooorsssstuu
       652 0* 0.02612%  in all of time has such                                                                                                      -------cdeehkmnnoooorssstu
       653 0* 0.02095%  has suck                                                                                                                     -------acdeeefhhiillmmnnnooooorsssttu
       654 0* 0.02092%  asked for this much hell                                                                                                     -------aceimnnnoooossstu
       655 0* 0.02090%  in all of our                                                                                                                -------accdeeehhhikmmnnooosssssttu
       656 0* 0.02089%  done this sort                                                                                                               -------aacceefhhikllmmnnooosssuu
       657 0* 0.07575%  done this sort of                                                                                                            -------aacceehhikllmmnnoosssuu
       658 0* 0.02089%  in the course of an                                                                                                          -------acdehhikllmmnooosssstu
       659 0* 0.02079%  too soon to                                                                                                                  -------aaccdeeefhhhiikllmmnnrssssuu
       660 0* 0.02077%  call me on our dates                                                                                                         -------cefhhhiikmnnooosssstu
       661 0* 0.02075% mind those                                                                                                                    -------aacceefhhikllmnnoooorsssstuu
       662 0* 0.02073%  seen that much for                                                                                                           -------acdehiikllmnnoooossssu
       663 0* 0.02073%  call me out                                                                                                                  -------acdeefhhhiikmnnnoooorssssstu
       664 0* 0.02463%  call me out for                                                                                                              -------acdeehhhiikmnnnooossssstu
       665 0* 0.02311%  call me out on                                                                                                               -------acdeefhhhiikmnnooorssssstu
       666 0* 0.02081%  call me out for suck                                                                                                         -------adeehhhiimnnnooosssst
       667 0* 0.02071%  use the first                                                                                                                -------aaccdehhikllmmnnnooooosssu
       668 0* 0.02053%  call on me                                                                                                                   -------acdeefhhhiikmnnoooorsssssttuu
       669 0* 0.02052%  in all the hours                                                                                                             -------accdeefhikmmnnoooosssstu
       670 0* 0.05249%  in all the hours of                                                                                                          -------accdeehikmmnnooosssstu
       671 0* 0.02048%  start                                                                                                                        -------accdeeefhhhiikllmmnnnooooossssuu
       672 0* 0.02047%  touch a                                                                                                                      -------acdeeefhhiikllmmnnnoooorssssstu
       673 0* 0.02037%  hold out on the                                                                                                              -------aacceefhiiklmmnnoorsssssu
       674 0* 0.03794%  hold out on the suck                                                                                                         -------aaceefhiilmmnnoorssss
       675 0* 0.02036%  has the cost                                                                                                                 -------acdeefhiikllmmnnnoooorsssuu
       676 0* 0.04071%  has the cost of                                                                                                              -------acdeehiikllmmnnnooorsssuu
       677 0* 0.02884%  has the cost of a                                                                                                            -------cdeehiikllmmnnnooorsssuu
       678 0* 0.02035%  make out on the                                                                                                              -------accdefhhiillmnnooorsssssu
       679 0* 0.02026%  too late for a second kiss                                                                                                   -------cehhhilmmnnossuu
       680 0* 0.02026%  to                                                                                                                           -------aaccdeeefhhhiikllmmnnnoooorssssstuu
       681 0* 0.02023%  in the course of action                                                                                                      -------adehhkllmmnoossssu
       682 0* 0.05700%  in the course of action has                                                                                                  -------dehkllmmnoosssu
       683 0* 0.14640%  in the course of action has so                                                                                               -------dehkllmmnossu
       684 0* 0.02015%  for one                                                                                                                      -------aaccdeehhhiikllmmnnooosssssttuu
       685 0* 0.36845%  for one second                                                                                                               -------aacehhhiikllmmnoossssttuu
       686 0* 0.09396%  for one moment                                                                                                               -------aaccdehhhiikllnoossssstuu
       687 0* 0.02858%  for one second has                                                                                                           -------acehhiikllmmnoosssttuu
       688 0* 0.02305%  for one second in                                                                                                            -------aacehhhikllmmoossssttuu
       689 0* 0.02014%  not suck on fingers for                                                                                                      aacdeeehhhiillmmnoosssstu
       690 0* 0.02013%  used the                                                                                                                     -------aaccefhhiikllmmnnnooooorsssstu
       691 0* 0.02003% mind let                                                                                                                      -------aacceefhhhiklmnnooooorssssstuu
       692 0* 0.02002%  felt so used in                                                                                                              -------aaccehhhiklmmnnoooorssstu
       693 0* 0.02000%  drink                                                                                                                        -------aacceeefhhhillmmnnooooosssssttuu
       694 0* 0.01983%  made me                                                                                                                      -------accefhhhiikllnnnooooorsssssttuu
       695 0* 0.01982%  mind folks                                                                                                                   -------aacceeehhhilmnnoooorssssttuu
       696 0* 0.01981%  kiss the same                                                                                                                -------accdefhhillmnnnooooorsstuu
       697 0* 0.01979%  call on the                                                                                                                  -------acdeefhhiikmmnnoooorssssstuu
       698 0* 0.02791%  call on the second                                                                                                           -------aefhhiikmmnooorsssstuu
       699 0* 0.02580%  call on the first                                                                                                            -------acdeehhikmmnnoooossssuu
       700 0* 0.01971%  tell a man he sucks on                                                                                                       -------cdefhhiimnoooorssstu
       701 0* 0.09229%  tell a man he sucks on his                                                                                                   -------cdefhimnoooorsstu
       702 0* 5.94142%  tell a man he sucks on his fingers                                                                                           cdefhimnoooorsstu
       703 0* 12.83308%  tell a man he sucks on his fingers too                                                                                       cdefhimnoorssu
       704 0* 116.13266%  tell a man he sucks on his fingers too much                                                                                  definoorss
       705 0* 4.43607%  tell a man he sucks on his fingers too much for                                                                              deinoss
       706 0* 4.17607%  tell a man he sucks on his fingers for                                                                                       cdehimnooosstu
       707 0* 2.74478%  tell a man he sucks on his fingers for too                                                                                   cdehimnossu
       708 0* 2.57245%  tell a man he sucks on his fingers for too much                                                                              deinoss
       709 0* 0.82243%  tell a man he sucks on his fingers too much in                                                                               defoorss
       710 0* 0.43427%  tell a man he sucks on his fingers too much or                                                                               definoss
       711 0* 0.35652%  tell a man he sucks on his fingers too much if                                                                               denoorss
       712 0* 0.24043%  tell a man he sucks on his fingers for such                                                                                  deimnooost
       713 0* 0.23887%  tell a man he sucks on his fingers too much is                                                                               defnoors
       714 0* 0.21908%  tell a man he sucks on his fingers too soon                                                                                  cdefhimrsu
       715 0* 0.21263%  tell a man he sucks on his fingers too much on                                                                               defiorss
       716 0* 0.14211%  tell a man he sucks on his fingers so                                                                                        cdefhimnooorstu
       717 0* 0.86752%  tell a man he sucks on his fingers so much                                                                                   definooorst
       718 0* 0.67220%  tell a man he sucks on his fingers so much for                                                                               deinoost
       719 0* 0.42651%  tell a man he sucks on his fingers so much for so                                                                            deinot
       720 0* 0.09958%  tell a man he sucks on his fingers in                                                                                        cdefhmoooorsstu
       721 0* 0.09350%  tell a man he sucks on his fingers too much for                                                                              deinoss
       722 0* 0.07942%  tell a man he sucks on his fingers for                                                                                       cdehimnooosstu
       723 0* 0.07823%  tell a man he sucks on his fingers if                                                                                        cdehmnoooorsstu
       724 0* 0.06044%  tell a man he sucks on his fingers to                                                                                        cdefhimnooorssu
       725 0* 0.05797%  tell a man he sucks on his fingers too much so                                                                               definors
       726 0* 0.05413%  tell a man he sucks on his fingers for his                                                                                   cdemnooostu
       727 0* 0.04817%  tell a man he sucks on his fingers for no                                                                                    cdehimoosstu
       728 0* 0.04814%  tell a man he sucks on his fingers for not                                                                                   cdehimoossu
       729 0* 0.06373%  tell a man he sucks on his fingers for not much                                                                              deiooss
       730 0* 0.04715%  tell a man he sucks on his fingers too much for no                                                                           deiss
       731 0* 0.04644%  tell a man he sucks on his fingers for so                                                                                    cdehimnoostu
       732 0* 0.04049%  tell a man he sucks on his fingers to much                                                                                   definooorss
       733 0* 0.02382%  tell a man he sucks on his fingers not                                                                                       cdefhimooorssu
       734 0* 0.02382%  tell a man he sucks on his fingers on                                                                                        cdefhimooorsstu
       735 0* 0.02096%  tell a man he sucks on his fingers in such                                                                                   defmoooorst
       736 0* 0.01970%  in all of time has so                                                                                                        -------ccdeehhkmnnooorssstuu
       737 0* 0.15964%  in all of time has so much                                                                                                   -------cdeehknnooorssstu
       738 0* 0.06100%  in all of time has so much suck                                                                                              -------deehnnooorsst
       739 0* 0.01968%  asked for this much hella                                                                                                    -------ceimnnnoooossstu
       740 0* 0.01967% mind all the other suck                                                                                                       -------acefhimnnoooossssu
       741 0* 0.01961%  felt so alone in                                                                                                             -------accdehhhikmmnooorsssstuu
       742 0* 0.01954%  has so little come                                                                                                           -------acdefhhikmnnnooorsssuu
       743 0* 0.04718%  has so little come from                                                                                                      -------acdehhiknnnoosssuu
       744 0* 0.12689%  has so little come from so                                                                                                   -------acdehhiknnnossuu
       745 0* 0.02538%  has so little come from such                                                                                                 -------adehiknnnoossu
       746 0* 0.02048%  has so little come from such a                                                                                               -------dehiknnnoossu
       747 0* 0.01953%  seen that much skin on                                                                                                       -------acdefhillmoooorsssu
       748 0* 0.01951%  has the term                                                                                                                 -------accdefhiikllmnnnooooossssuu
       749 0* 0.01941% mind all this                                                                                                                 -------acceeefhhkmnnooooorsssstuu
       750 0* 0.01939%  listen to me and                                                                                                             -------accefhhhiklmnoooorssssuu
       751 0* 0.01934%  come out on dates                                                                                                            -------acefhhhiikllmnnoorssssu
       752 0* 0.01933%  make out on a                                                                                                                -------ccdeefhhhiillmnnooorssssstu
       753 0* 0.06746%  make out on a first                                                                                                          -------ccdeehhhillmnnooossssu
       754 0* 0.01930%  seen that much of a                                                                                                          -------cdehiikllmnnoooorssssu
       755 0* 0.01929%  talk to a                                                                                                                    -------ccdeeefhhhiilmmnnnoooorsssssuu
       756 0* 0.01929%  smile at a                                                                                                                   -------ccdeefhhhiklmnnnooooorsssstuu
       757 0* 0.01924%  call me cute                                                                                                                 -------adefhhhiikmnnnooooorssssstu
       758 0* 0.01924%  has one man felt                                                                                                             -------ccdehhiiklmnoooorsssstuu
       759 0* 0.04752%  has one man felt so                                                                                                          -------ccdehhiiklmnooorssstuu
       760 0* 0.01921%  had the                                                                                                                      -------acceefhiikllmmnnnooooorssssstuu
