FACT // I WAS ALSO PROGRAMMED FOR JOKES
      0 100.00%: 
      1 39.78%:  FACTS
    656 29.25%:  FACT // I WAS PROGRAMMED SO L
    657 29.25%:  FACT // I AM MADE OF LASER K
    658 29.24%:  FACT // I AM MADE OF LASER SW
    659 29.24%:  FACT // I WAS PROGRAMMED A LO
    660 29.24%:  FACT // I AM MADE OF LASER RO
    661 29.24%:  FACT // I AM ALSO A D
    662 29.24%:  FACT // AS A
    663 29.23%:  FACT // I AM MADE OF LASER SK
    664 29.23%:  FACT // I AM MADE OF LASER OR
    665 29.23%:  FACTS // I WAS PROGRAMMED FOR S
    666 29.23%:  FACT // I AM MADE OF LASER SO
    667 29.23%:  FACT // I AM MADE OF LASER SP
    668 29.22%:  FACT // I AM LESS P
    669 29.21%:  FACT // I WAS PROGRAMMED AS SO
    670 29.21%:  FACTS // I AM F
    671 29.20%:  FACTS // I PREFER R
    672 29.20%:  FACTS // I AM MADE OF LASER P
    673 29.20%:  FACT // WAS
    674 29.20%:  FACTS // I WAS MADE A
    675 29.19%:  FACTS // I WAS MADE AS
    676 29.18%:  FACTS // I WAS PROGRAMMED FOR A
    677 29.18%:  FACT // I AM ALSO A P
    678 29.18%:  FACT // I AM ALSO FOOD
    679 29.18%:  FACT // DROM
    680 29.18%:  FACT // I WAS PROGRAMMED SO E
    681 29.18%:  FACT // I WAS PROGRAMMED AS E
    682 29.18%:  FACT // I WAS ALSO A
    683 29.17%:  FACT // I WAS PROGRAMMED AS R
    684 29.17%:  FACT // I WAS PROGRAMMED AS L
    685 29.16%:  FACT // I GOES
    686 29.16%:  FACTS // I WAS MADE 
    687 29.16%:  FACT // I WAS PROGRAMMED SO A
    688 29.16%:  FACT // I MADE ME
    689 29.15%:  FACTS // I WAS MADE SO
    690 29.15%:  FACT // I AM SOME
    691 29.14%:  FACTS//
    692 29.14%:  FACT // I WAS PROGRAMMED AS 
    693 29.14%:  FACT // I WAS PROGRAMMED SO O
    694 29.13%:  FACTOID // REAL
    695 29.13%:  FACTS // I AM MADE OF RARE
    696 29.13%:  FACT // I SLEEP 
    697 29.13%:  FACT // I WAS PROGRAMMED SO S
    698 29.13%:  FACT // I WEAR GLASSES FOR A
    699 29.12%:  FACTS // I WAS MADE P
    700 29.12%:  FACT // I REM
    701 29.12%:  FACT / I WAS MA
    702 29.21%:  FACT / I WAS MADE FROM
    703 29.12%:  FACTS // I PREFER D
    704 29.11%:  FACT // I WAS PROGRAMMED SO R
    705 29.11%:  FACT // I MADE E
    706 29.11%:  FACT // I WAS PROGRAMMED AS SE
    707 29.10%:  FACT // I WAS PROGRAMMED AS O
    708 29.10%:  FACT // I WAS PROGRAMMED AS RE
    709 29.09%:  FACT // I SLEEP FOR
    710 29.09%:  FACT // I AM MADE OF SOLE
    711 29.09%:  FACT // I WEAR GLASSES OF P
    712 29.08%:  FACTOID // AS A
    713 29.08%:  FACT // I SEE W
    714 29.08%:  FACTS // I WAS MADE L
    715 29.08%:  FACTS // I AM S
    716 29.08%:  FACTS // I AM MADE OF LASER G
    717 29.08%:  FACT // I WAS PROGRAMMED SO 
    718 29.08%:  FACTS // I AM MADE OF LASER PO
    719 29.08%:  FACT // I WAS PROGRAMMED SO LO
    720 29.08%:  FACT // I SEE K
    721 29.07%:  FACT // I WAS PROGRAMMED A RE
    722 29.07%:  FACTOID // LOW
    723 29.07%:  FACT // I AM MORE D
    724 29.07%:  FACTS // IF
    725 29.06%:  FACTS // I WAS PROGRAMMED ARO
    726 29.05%:  FACT // SOME W
    727 29.08%:  FACT // SOME WOODS
    728 29.05%:  FACT // I ALSO SEEK
    729 29.05%:  FACTS // I WAS MADE R
    730 29.05%:  FACTS // I WAS MADE S
    731 29.04%:  FACT // I MAKE P
    732 29.04%:  FACT // I MAKE SO
    733 29.04%:  FACT // SOME RO
    734 29.04%:  FACTS // I PREFER A
    735 29.04%:  FACTS // I WAS MADE O
    736 29.03%:  FACTS // I WAS MADE F
    737 29.03%:  FACT // I AM ALSO A RO
    738 29.03%:  FACTS // I WAS MADE SPE
    739 29.02%:  FACT // I AM A RE
    740 29.02%:  FACT // MORE
    741 29.02%:  FACTS // I WAS MADE J
    742 29.01%:  FACT // I SEE SO
    743 29.01%:  FACTS // I WAS MADE AF
    744 29.01%:  FACTS // IR
    745 29.01%:  FACT // I AM ALSO A PRO
    746 29.01%:  FACTS // I WAS MADE E
    747 29.00%:  FACT // I MAKE ME
    748 29.00%:  FACT // I SEE O
    749 29.00%:  FACTS ARE
    750 29.00%:  FACTS // I AM MADE OF LASER PRO
    751 28.99%:  FACT // I LEAK R
    752 28.99%:  FACTS // I WAS MADE MO
    753 28.99%:  FACT // I AM ALSO MORE P
    754 28.99%:  FACT // SOME F
    755 28.99%:  FACTS // I MADE A
    756 28.97%:  FACT // I WAS PROGRAMMED A SE
    757 28.97%:  FACT // I WAS PROGRAMMED SEL
    758 28.97%:  FACT // I WAS PROGRAMMED A F
    759 28.96%:  FACT // I DREAM
    760 28.96%:  FACTS // I PREFER G
    761 28.96%:  FACT // I AM MADE OF REAL S
    762 28.96%:  FACT // I SEE MO
    763 28.95%:  FACTS // I AM MADE OF REL
    764 28.95%:  FACTS // I PREFER 
    765 28.95%:  FACT // I AM ALSO A W
    766 28.95%:  FACTS D
    767 28.95%:  FACT // I WAS PROGRAMMED SOL
    768 28.94%:  FACT // I REF
    769 28.93%:  FACTS W
    770 28.93%:  FACT // I AM ALSO A PO
    771 28.93%:  FACT // I AM MORE E
    772 28.93%:  FACT // I WAS MADE OF R
    773 28.93%:  FACTS // I AM MADE OF RAP
    774 28.93%:  FACT // I WALK A
    775 28.92%:  FACT // I WAS PROGRAMMED ASK
    776 28.92%:  FACTS FROM
    777 28.92%:  FACT // I SEEM
    778 28.92%:  FACT I AM MA
    779 33.50%:  FACT I AM MADE OF R
    780 30.10%:  FACT I AM MADE OF P
    781 29.96%:  FACT I AM MADE OF 
    782 29.79%:  FACT I AM MADE OF S
    783 29.49%:  FACT I AM MADE OF RO
    784 29.39%:  FACT I AM MADE OF A
    785 29.39%:  FACT I AM MADE OF AL
    786 29.26%:  FACT I AM MADE OF W
    787 29.26%:  FACT I AM MADE OF PL
    788 29.26%:  FACT I AM MADE OF L
    789 29.26%:  FACT I AM MADE OF O
    790 29.23%:  FACT I AM MADE OF G
    791 29.22%:  FACT I AM MADE OF RE
    792 29.22%:  FACT I AM MADE OF E
    793 29.19%:  FACT I AM MADE OF PRO
    794 29.18%:  FACT I AM MADE OF //
    795 29.17%:  FACT I AM MADE OF LE
    796 29.16%:  FACT I AM MADE OF SE
    797 29.15%:  FACT I AM MADE OF J
    798 29.15%:  FACT I AM MADE OF SK
    799 29.15%:  FACT I AM MADE OF SO
    800 29.14%:  FACT I AM MADE OF PO
    801 29.52%:  FACT I AM MADE OF POW
    802 29.14%:  FACT I AM MADE OF /
    803 28.91%:  FACT // I SEE PRO
    804 28.91%:  FACT // I MAKE R
    805 28.91%:  FACTS // M
    806 28.90%:  FACT // I WAS PROGRAMMED REL
    807 28.90%:  FACT // I WAS PROGRAMMED LAR
    808 28.90%:  FACT // I WAS PROGRAMMED ALO
    809 28.90%:  FACT // I SEE AL
    810 29.38%:  FACT // I SEE ALMO
    811 28.90%:  FACTS R
    812 28.90%:  FACT // I SEE MS
    813 28.98%:  FACT // I SEE MSG
    814 28.89%:  FACT // I SEE FOR
    815 28.89%:  FACTS // I AM E
    816 28.89%:  FACT / I WAS MADE OF
    817 28.89%:  FACT // I SEE AS
    818 28.89%:  FACT // I SEE FO
    819 28.88%:  FACT // I SEE J
    820 28.88%:  FACT // I SEE PO
    821 28.88%:  FACTS /
    822 28.88%:  FACTS RO
    823 28.88%:  FACTS L
    824 28.88%:  FACTS G
    825 28.88%:  FACT // I FEEL WORMS
    826 28.88%:  FACT // I AM MORE R
    827 28.88%:  FACTS // I WAS PROGRAMMED FOR LA
    828 28.88%:  FACTS IS
    829 28.87%:  FACT // I WAS GOOD FOR
    830 28.87%:  FACT // I MAKE L
    831 28.87%:  FACTS O
    832 28.87%:  FACT // I SEE LO
    833 28.87%:  FACTS S
    834 28.87%:  FACT // I KEEP F
    835 28.86%:  FACTS // I AM MADE OF LASER W
    836 28.86%:  FACTS // I PREFER M
    837 28.86%:  FACT // I WAS ALSO MADE SO
    838 28.86%:  FACT // I WAS PROGRAMMED FOL
    839 28.86%:  FACT // I AM ALSO A GO
    840 29.34%:  FACT // I AM ALSO A GOOD S
    841 28.86%:  FACTS // I PREFER L
    842 28.86%:  FACT // I AM ALSO AW
    843 31.38%:  FACT // I AM ALSO AWESOME R
    844 31.24%:  FACT // I AM ALSO AWESOME D
    845 31.16%:  FACT // I AM ALSO AWESOME S
    846 31.16%:  FACT // I AM ALSO AWESOME SO
    847 31.15%:  FACT // I AM ALSO AWESOME FOR
    848 31.15%:  FACT // I AM ALSO AWESOME RO
    849 31.14%:  FACT // I AM ALSO AWESOME P
    850 29.68%:  FACT // I AM ALSO AWESOME POR
    851 28.85%:  FACT // I MAKE F
    852 28.85%:  FACT // I AM LOWERED
    853 28.85%:  FACT // I PROGRAMMED A S
    854 28.84%:  FACT // I WAS PROGRAMMED FRE
    855 28.84%:  FACT // I AM DOG
    856 28.84%:  FACT // I WAS PROGRAMMED SOR
    857 28.84%:  FACT // I AM LOOK
    858 28.84%:  FACT // I KEEP R
    859 28.84%:  FACTS // RO
    860 28.84%:  FACT // I AM ALSO A J
    861 28.83%:  FACT // I MADE SO
    862 28.83%:  FACT // I WAS PROGRAMMED A R
    863 28.83%:  FACT // I WAS PROGRAMMED LAS
    864 28.82%:  FACTS // I FEEL P
    865 28.82%:  FACT // I AM MADE OF LASERS
    866 28.82%:  FACT // I WAS MADE OF ME
    867 28.82%:  FACT // I WAS PROGRAMMED SSO
    868 28.82%:  FACT // I WAS PROGRAMMED A J
    869 28.81%:  FACT // I WAS PROGRAMMED SOS
    870 28.81%:  FACT // I WAS PROGRAMMED A 
    871 28.81%:  FACT // SOME ME
    872 28.81%:  FACT // I WAS PROGRAMMED SLE
    873 28.81%:  FACT // I AM ALSO A ME
    874 28.80%:  FACTS // S
    875 28.80%:  FACT // I WAS PROGRAMMED A RO
    876 28.80%:  FACT // I AM ALSO A FR
    877 28.80%:  FACT // I AM ALSO A DO
    878 28.80%:  FACT // I WAS PROGRAMMED A FOR
    879 28.79%:  FACT // I WAS PROGRAMMED A SO
    880 28.79%:  FACTS // I AM R
    881 28.79%:  FACT // I WAS MADE FROM R
    882 28.79%:  FACT // I WAS PROGRAMMED RA
    883 28.79%:  FACT // I MAKE 
    884 28.79%:  FACT // I MAKE E
    885 28.78%:  FACT // I WAS PROGRAMMED SLO
    886 28.78%:  FACT // I WAS PROGRAMMED SAL
    887 28.78%:  FACT // I AM MADE OF REPL
    888 28.77%:  FACT // I MADE 
    889 28.77%:  FACT // I WAS PROGRAMMED SAR
    890 28.76%:  FACT // I AM ALSO A SO
    891 28.76%:  FACT I AM A
    892 28.76%:  FACTS // I AM PO
    893 30.03%:  FACTS // I AM POWERF
    894 28.75%:  FACT // I KEEP 
    895 28.75%:  FACTS // I WAS PROGRAMMED A FE
    896 28.75%:  FACTS // I WAS A
    897 28.75%:  FACT // I WAS MADE MORE P
    898 28.75%:  FACT // I WAS PROGRAMMED SAF
    899 28.75%:  FACT // I WAS OLD
    900 28.74%:  FACTS // I WAS PROGRAMMED FOR E
    901 28.74%:  FACT // I MADE F
    902 28.74%:  FACTS // I WAS PROGRAMMED FAR
    903 28.73%:  FACT // I AM MADE OF REAL P
    904 28.73%:  FACT // I WAS PROGRAMMED SKE
    905 28.73%:  FACT // I WAS PROGRAMMED A LOO
    906 28.73%:  FACTS // E
    907 28.73%:  FACT // I FORM
    908 28.72%:  FACT // FOR E
    909 28.72%:  FACT // I AM ALSO A FE
    910 28.72%:  FACT // I WAS PROGRAMMED FRO
    911 28.72%:  FACTS // I AM MADE 
    912 28.72%:  FACT // I PROGRAMMED SELF A
    913 28.72%:  FACT // I AM ALSO A 
    914 28.72%:  FACT // I AM MORE PO
    915 28.72%:  FACT // I WAS PROGRAMMED FRA
    916 28.72%:  FACT // I WEAR GLASSES OR R
    917 28.72%:  FACTS // L
    918 28.72%:  FACT // I WAS PROGRAMMED FLE
    919 28.71%:  FACT // I AM MADE OF REAL RO
    920 28.71%:  FACT // I MAKE PO
    921 28.71%:  FACT // I WAS PROGRAMMED FLO
    922 28.71%:  FACT // I WAS ALSO P
    923 28.70%:  FACTS // I WAS MADE MORE OR
    924 28.70%:  FACTS // I AM MADE O
    925 28.70%:  FACT // I AM ALSO A FOR
    926 29.77%:  FACT // I AM ALSO A FORMER P
    927 28.99%:  FACT // I AM ALSO A FORMER S
    928 28.97%:  FACT // I AM ALSO A FORMER PRO
    929 28.88%:  FACT // I AM ALSO A FORMER R
    930 28.70%:  FACT // I AM GOOD FOR
    931 28.69%:  FACTS // I AM MADE FOR
    932 28.69%:  FACT // I AM ALSO A SK
    933 28.69%:  FACTS // I WAS PROGRAMMED FOR L
    934 28.68%:  FACT // I AM ALSO A K
    935 28.68%:  FACT // I MAKE M
    936 28.68%:  FACT // I SEEM
    937 28.68%:  FACTS // I AM O
    938 28.68%:  FACT // SOME M
    939 28.67%:  FACTS // I WAS P
    940 28.67%:  FACTS // I AM MADE W
    941 28.67%:  FACT // I AM ALSO ARO
    942 28.67%:  FACTS // I AM L
    943 28.67%:  FACT I AM MADE OF RAW
    944 28.66%:  FACT // I AM ALSO A SE
    945 28.66%:  FACTS // I AM MADE OF LASER PR
    946 28.66%:  FACT // I AM ALSO A MO
    947 28.66%:  FACTS // I AM M
    948 28.66%:  FACT // I AM ALSO A FO
    949 28.66%:  FACT // I AM MADE OF POWER S
    950 28.66%:  FACT // SOME L
    951 28.65%:  FACTS // I AM MADE OF LASER OP
    952 28.65%:  FACTS // I AM MADE SO
    953 28.65%:  FACTS // I AM MADE P
    954 28.65%:  FACT // I AM ALSO A FREE
    955 28.65%:  FACT // I AM ALSO A DR
    956 28.65%:  FACT // I AM ALSO A PER
    957 28.65%:  FACT // I AM ALSO A SER
    958 28.65%:  FACT // I MAKE G
    959 28.65%:  FACT // I AM MADE OF PLAS
    960 28.64%:  FACT // I AM MORE S
    961 28.64%:  FACTS // I AM MADE OF LASER O
    962 28.64%:  FACT // I AM ALSO A DE
    963 28.64%:  FACTS // I AM MADE OF LASER J
    964 28.64%:  FACT // I WAS MADE FROM 
    965 28.64%:  FACT // I AM ALSO A GR
    966 28.64%:  FACT // I AM ALSO A SM
    967 28.64%:  FACT // I AM ALSO A WE
    968 28.63%:  FACTS // I AM MADE AL
    969 28.63%:  FACT // I AM ALSO ASK
    970 28.63%:  FACTS // I WAS PROGRAMMED FOR 
    971 28.63%:  FACTS // I AM MADE OF LASER SW
    972 28.63%:  FACTS // I AM MADE OF LASER K
    973 28.63%:  FACTS // G
    974 28.63%:  FACTS // I AM MADE S
    975 28.63%:  FACT // I AM ALSO A SP
    976 28.63%:  FACTS // I AM MADE A
    977 28.62%:  FACTS // I AM MADE OF LASER SK
    978 28.62%:  FACTS // F
    979 28.62%:  FACTS // I PREFER W
    980 28.62%:  FACT // I MADE M
    981 28.62%:  FACT // I AM ALSO A PR
    982 28.62%:  FACTS // I AM MADE OF LASER RO
    983 28.62%:  FACT // ALSO I W
    984 28.62%:  FACT // I SME
    985 28.62%:  FACTS // I AM MADE OF LASER SO
    986 28.62%:  FACTS // W
    987 28.62%:  FACT // I AM ALSO A FORMER D
    988 28.62%:  FACTS // I AM MADE OF LASER SP
    989 28.61%:  FACTS // I AM MADE OF LASER OR
    990 28.61%:  FACTS // I AM MADE OF LASERPRO
    991 28.61%:  FACT // I AM MORE PRO
    992 28.60%:  FACT // I LEAK O
    993 28.60%:  FACTS // MO
    994 28.60%:  FACT // I WAS MADE MORE S
    995 28.60%:  FACT // I WALKED 
    996 28.59%:  FACTS // ME
    997 28.59%:  FACT // I AM MADE OF LASER PROJ
    998 28.59%:  FACTS // I WAS MO
    999 28.59%:  FACTS // 
   1000 28.59%:  FACTS // I WAS PROGRAMMED FOR O
   1001 28.59%:  FACT // I AM ALSO A PROFESS
   1002 28.59%:  FACT // SOME G
   1003 28.58%:  FACT ORG
   1004 28.58%:  FACT // I AM POL
   1005 28.58%:  FACT // I DREAM A
   1006 28.58%:  FACTS // I WAS PROGRAMMED FOR LO
   1007 28.57%:  FACTS // O
   1008 28.57%:  FACT // I WAS MADE FROM P
   1009 28.57%:  FACT // I AM LESS PR
   1010 28.57%:  FACT // I AM MADE OF SKEL
   1011 28.56%:  FACT // I MADE P
   1012 28.56%:  FACT // I KEEP D
   1013 28.56%:  FACT // I WEAR GLASSES MAK
   1014 28.56%:  FACT // I WAS MADE MORE A
   1015 28.56%:  FACT // ALSO I AM A
   1016 28.56%:  FACTS // FOR
   1017 28.56%:  FACTS // J
   1018 28.56%:  FACTS // I WAS AL
   1019 28.56%:  FACT // I AM A M
   1020 28.56%:  FACT // I MAKE D
   1021 28.56%:  FACT // SOME IR
   1022 28.55%:  FACTS // I AM W
   1023 28.55%:  FACT // I AM A F
   1024 28.55%:  FACT // I MADE MO
   1025 28.55%:  FACTS // P
   1026 28.55%:  FACTS // I WAS PROGRAMMED FOR J
   1027 28.55%:  FACT // SOME I
   1028 28.54%:  FACTS // I PREFER O
   1029 28.54%:  FACTS // WE
   1030 28.53%:  FACTS // I WAS PROGRAMMED FOR SO
   1031 28.53%:  FACT // SOME DO
   1032 28.53%:  FACTS // I WAS PROGRAMMED SO F
   1033 28.53%:  FACTS // DO
   1034 28.53%:  FACTS // I WAS PROGRAMMED FOR LE
   1035 28.53%:  FACT // I AM MADE OF POWER SO
   1036 28.53%:  FACT // I MADE R
   1037 28.52%:  FACT // I MADE L
   1038 28.52%:  FACT // I MADE O
   1039 28.52%:  FACT // I MAKE A G
   1040 28.52%:  FACTS // SO
   1041 28.76%:  FACTS // SOME S
   1042 28.51%:  FACTS // I AM D
   1043 28.51%:  FACT // I KEEP M
   1044 28.51%:  FACT // I WAS ALSO MADE P
   1045 28.51%:  FACTS // I WAS FOR
   1046 28.51%:  FACTS // I WAS F
   1047 28.51%:  FACTS // I AM DES
   1048 28.51%:  FACTS // I AM MO
   1049 28.50%:  FACT // I AM MADE OF PLA
   1050 28.50%:  FACT // I WAS ALSO MADE R
   1051 28.50%:  FACT // I GO A
   1052 28.50%:  FACT // I WAS ALSO MADE MO
   1053 28.50%:  FACTS // I PREFER LO
   1054 28.50%:  FACTS // I WAS S
   1055 28.50%:  FACTS // I ALSO AM
   1056 28.50%:  FACT // I FEAR
   1057 28.50%:  FACTS // I PREFER MO
   1058 28.49%:  FACT // I AM ALSO A FORMER O
   1059 28.49%:  FACTS // I AM K
   1060 28.49%:  FACTS // I WAS PROGRAMMED A S
   1061 28.49%:  FACTS // I AM J
   1062 28.48%:  FACT // I AM A G
   1063 28.48%:  FACT // I MADE G
   1064 28.48%:  FACT // I MAKE J
   1065 28.48%:  FACT // I MADE W
   1066 28.48%:  FACT // I WAS ALSO MADE F
   1067 28.48%:  FACTS // I PREFER OR
   1068 28.48%:  FACT // I MADE FROM
   1069 28.48%:  FACTS // I PREFER SO
   1070 28.47%:  FACT // I WAS ALSO S
   1071 28.47%:  FACT // I MADE J
   1072 28.47%:  FACT // SOME RE
   1073 28.47%:  FACT // I WAS ALSO MADE S
   1074 28.47%:  FACTS // I PREFER J
   1075 28.47%:  FACT // I WAS GOOD F
   1076 28.47%:  FACTS // I AM MADE OF POWER R
   1077 28.46%:  FACTS // ARE
   1078 28.46%:  FACTS // AS
   1079 28.46%:  FACTS // I PREFER K
   1080 28.46%:  FACTS // I AM ALSO PRO
   1081 28.46%:  FACTS // I AM LO
   1082 28.45%:  FACTS // I PREFER AL
   1083 28.45%:  FACTS // IS
   1084 28.45%:  FACTS // I WAS D
   1085 28.45%:  FACTS // I WAS MADE SOME
   1086 28.45%:  FACTS // AL
   1087 28.73%:  FACTS // ALSO I AM
   1088 28.45%:  FACT // MADE
   1089 30.02%:  FACT // MADE OF ME
   1090 28.44%:  FACTS // I WAS E
   1091 28.44%:  FACT // I WAS MADE FROM O
   1092 28.44%:  FACTS // I AM RE
   1093 28.44%:  FACTS // I PREFER RO
   1094 28.44%:  FACT // I AM ALSO A FORMER G
   1095 28.44%:  FACTS // I AM G
   1096 28.44%:  FACTS // I WAS G
   1097 28.43%:  FACTS // K
   1098 28.43%:  FACTS // I PREFER DO
   1099 28.43%:  FACTS // PE
   1100 28.43%:  FACT // I WAS ALSO MADE 
   1101 28.43%:  FACT // I AM WEAKER AS
   1102 28.43%:  FACT / I AM MA
   1103 31.98%:  FACT / I AM MADE OF R
   1104 29.66%:  FACT / I AM MADE OF P
   1105 29.27%:  FACT / I AM MADE OF S
   1106 29.11%:  FACT / I AM MADE OF AL
   1107 28.98%:  FACT / I AM MADE OF 
   1108 28.73%:  FACT / I AM MADE OF A
   1109 28.69%:  FACT / I AM MADE OF RO
   1110 28.67%:  FACT / I AM MADE OF PL
   1111 28.62%:  FACT / I AM MADE OF L
   1112 28.61%:  FACT / I AM MADE OF W
   1113 28.60%:  FACT / I AM MADE OF RE
   1114 28.60%:  FACT / I AM MADE OF G
   1115 28.59%:  FACT / I AM MADE OF O
   1116 28.58%:  FACT / I AM MADE OF /
   1117 28.57%:  FACT / I AM MADE OF E
   1118 28.55%:  FACT / I AM MADE OF PRO
   1119 28.54%:  FACT / I AM MADE OF LE
   1120 28.53%:  FACT / I AM MADE OF J
   1121 28.52%:  FACT / I AM MADE OF SE
   1122 28.51%:  FACT / I AM MADE OF SO
   1123 28.51%:  FACT / I AM MADE OF PO
   1124 28.84%:  FACT / I AM MADE OF POW
   1125 28.50%:  FACT / I AM MADE OF K
   1126 28.43%:  FACTS // MA
   1127 29.62%:  FACTS // MAKE ME S
   1128 28.43%:  FACTS // I WAS PROGRAMMED FOR K
   1129 28.43%:  FACTS // I AM MADE OF LEG
   1130 28.43%:  FACTS // I AM SO
   1131 28.43%:  FACT // I DRO
   1132 28.43%:  FACTS // I AM FOR
   1133 28.42%:  FACT // I FEEL PROGRAMS
   1134 28.42%:  FACTS // I FEEL A
   1135 28.42%:  FACTS // I WAS RE
   1136 28.42%:  FACTS // I WAS PROGRAMMED AS F
   1137 28.42%:  FACTS // I WAS PROGRAMMED SOLE
   1138 28.42%:  FACTS // I WAS PROGRAMMED FOR SE
   1139 28.42%:  FACT // I WAS ALSO MADE J
   1140 28.42%:  FACT // I WEAR A S
   1141 28.42%:  FACT // I AM WEAKER O
   1142 28.42%:  FACT // I WAS ALSO MADE O
   1143 28.42%:  FACT // I AM ALSO A FORMER RE
   1144 28.42%:  FACT // FRIED ME
   1145 28.41%:  FACTS // I WAS DE
   1146 28.41%:  FACT // I AM LESS D
   1147 28.41%:  FACT // I WAS ALSO MADE E
   1148 28.41%:  FACT // I WAS ALSO MADE PRO
   1149 28.41%:  FACT // I WAS ALSO MADE SPE
   1150 28.41%:  FACT // I WAS ALSO MADE PO
   1151 28.76%:  FACT // I WAS ALSO MADE POORER
   1152 28.41%:  FACTS // I WAS PROGRAMMED FOR SK
   1153 28.41%:  FACTS // I WAS PROGRAMMED A LO
   1154 28.41%:  FACTS // I AM MADE OF POL
   1155 28.40%:  FACTS // I AM FORM
   1156 28.40%:  FACT // AS I AM MA
   1157 32.44%:  FACT // AS I AM MADE OF R
   1158 31.27%:  FACT // AS I AM MADE OF P
   1159 29.89%:  FACT // AS I AM MADE OF S
   1160 29.54%:  FACT // AS I AM MADE OF RO
   1161 29.46%:  FACT // AS I AM MADE OF 
   1162 29.22%:  FACT // AS I AM MADE OF PL
   1163 29.19%:  FACT // AS I AM MADE OF L
   1164 29.14%:  FACT // AS I AM MADE OF G
   1165 29.14%:  FACT // AS I AM MADE OF W
   1166 29.12%:  FACT // AS I AM MADE OF PRO
   1167 29.08%:  FACT // AS I AM MADE OF E
   1168 29.07%:  FACT // AS I AM MADE OF RE
   1169 29.06%:  FACT // AS I AM MADE OF SE
   1170 29.05%:  FACT // AS I AM MADE OF O
   1171 29.04%:  FACT // AS I AM MADE OF LE
   1172 29.04%:  FACT // AS I AM MADE OF SK
   1173 29.04%:  FACT // AS I AM MADE OF J
   1174 28.40%:  FACT // I AM ALSO AWESOME FOR S
   1175 28.40%:  FACTS // I AM GO
   1176 28.40%:  FACT // I MAKE MO
   1177 28.40%:  FACTS // I PREFER GO
   1178 28.40%:  FACT // I AM WEAKER D
   1179 28.40%:  FACT // I GOOD
   1180 28.40%:  FACTS // I WAS R
   1181 28.40%:  FACT // I DEL
   1182 28.40%:  FACT // I MAKE PE
   1183 28.40%:  FACT // I LEAK RED
   1184 28.40%:  FACTS // I WAS PROGRAMMED FOR AL
   1185 28.39%:  FACT // SOME PRO
   1186 32.65%:  FACT // SOME PROGRAMS ARE
   1187 32.54%:  FACT // SOME PROGRAMS R
   1188 29.40%:  FACT // SOME PROGRAMS W
   1189 29.10%:  FACT // SOME PROGRAMS RE
   1190 28.75%:  FACT // SOME PROGRAMS D
   1191 28.39%:  FACT // I KEEP L
   1192 28.39%:  FACTS // I WAS OR
   1193 28.39%:  FACTS // MAKE ME L
   1194 28.39%:  FACT // I FEEL SAD SO
   1195 28.38%:  FACTS // I PREFER AR
   1196 28.38%:  FACT // I AM WEAKER FOR
   1197 28.38%:  FACTS // I AM SE
   1198 28.38%:  FACTS // I WAS M
   1199 28.38%:  FACTS // I WAS PROGRAMMED SO L
   1200 28.38%:  FACT // I ALSO WEAR GO
   1201 28.38%:  FACT // I WAS ALSO E
   1202 28.37%:  FACT // I MAKE RE
   1203 28.37%:  FACTS // I PREFER MA
   1204 28.37%:  FACTS // I PREFER LA
   1205 28.37%:  FACTS // I PREFER DR
   1206 28.37%:  FACT // I AM A P
   1207 28.37%:  FACT // I KEEP GO
   1208 28.37%:  FACT // I AM MADE OF REAL G
   1209 28.37%:  FACT // I WAS MODELS
   1210 28.36%:  FACTS // I WAS J
   1211 28.36%:  FACT // I AM A D
   1212 28.36%:  FACTS // I WAS GO
   1213 28.36%:  FACT // I AM MADE OF GEAR
   1214 28.36%:  FACTS // I PREFER SM
   1215 28.35%:  FACT // I AM MADE OF REAL W
   1216 28.35%:  FACT // I WAS ALSO PROGRAMMED FOR E
   1217 28.35%:  FACT // I WAS ALSO D
   1218 28.35%:  FACT // I DROP
   1219 28.35%:  FACT // I WAS ALSO MO
   1220 28.35%:  FACT // I MAKE W
   1221 28.35%:  FACT // I WEAR A R
   1222 28.34%:  FACT // I AM WEAKER DO
   1223 28.34%:  FACTS // I WAS K
   1224 28.34%:  FACTS // I WAS O
   1225 28.34%:  FACTS // I AM WE
   1226 28.33%:  FACT // I AM WEAKER SO
   1227 28.33%:  FACTS // I AM FREE
   1228 28.33%:  FACT // I WEAR GLASSES OR A
   1229 28.33%:  FACTS // I AM AR
   1230 28.33%:  FACTS // I WAS LO
   1231 28.33%:  FACT // I AM LESS F
   1232 28.33%:  FACTS // I AM FE
   1233 28.32%:  FACTS // I WAS AS
   1234 28.32%:  FACTS // I AM LE
   1235 28.32%:  FACT // I WAS ALSO GO
   1236 28.32%:  FACT // I AM ALSO A FORMER DO
   1237 28.32%:  FACT // I AM WEAKER R
   1238 28.32%:  FACT // I WAS MADE FROM E
   1239 28.32%:  FACT // I MAKE WE
   1240 28.31%:  FACT // I AM ALSO A FORMER W
   1241 28.31%:  FACT // I WAS ALSO G
   1242 28.31%:  FACTS // I WAS L
   1243 28.31%:  FACT // I AM A PRO
   1244 28.31%:  FACT // I MAKE LE
   1245 28.31%:  FACT // I WAS ALSO RE
   1246 28.31%:  FACT // I WAS MADE OF M
   1247 28.31%:  FACTS // I WAS PROGRAMMED AS E
   1248 28.31%:  FACTS // I AM OF
