even I think that one's not so good.
      0 100.00%: 
      1 183.88%:  thanks
   4396 0.05%:  so I need to give a
   4397 0.05%:  this does
   4398 0.12%:  this does not
   4399 0.07%:  this does not go
   4400 0.05%:  so that's one. I think
   4401 0.05%:  so the end is not the
   4402 0.05%:  that one's to
   4403 0.15%:  that one's totes
   4404 0.15%:  that one's totes done
   4405 0.05%:  I've gotta do this one too
   4406 0.05%:  thanks it's one
   4407 0.05%: . It's in
   4408 0.06%: . It's in the oven
   4409 0.05%:  so I don't have too
   4410 0.05%:  no that's not the end so in
   4411 0.05%:  so this one took the
   4412 0.05%:  no thanks no one
   4413 0.05%:  so I've got this tent
   4414 0.05%:  that is not good.
   4415 0.05%:  that one's not on the desk
   4416 0.05%:  no that one's gotten
   4417 0.05%:  that's not even good I think
   4418 0.05%:  that's ind
   4419 0.05%:  so I don't have the st
   4420 0.05%:  so that's the g
   4421 0.05%:  I've got this one done thanks
   4422 0.05%:  so that one isn't the one
   4423 0.05%:  I need to go so that
   4424 0.05%:  that one's not tied
   4425 0.05%: . It's a good one
   4426 0.05%:  that one's sent
   4427 0.05%:  I think that's sevent
   4428 0.05%:  so I think that's ten
   4429 0.05%:  that's it so I
   4430 0.05%:  no I have to get
   4431 0.07%:  no I have to get to the
   4432 0.06%:  no I have to get this
   4433 0.12%:  no I have to get this done
   4434 0.05%:  that's done tonight
   4435 0.05%:  thats the end.
   4436 0.06%:  thats the end. I
   4437 0.05%:  that one's done so the
   4438 0.05%:  that's one to the end
   4439 0.05%:  that's not even good. I
   4440 0.05%: . I don't get the
   4441 0.05%:  no that one's not good I
   4442 0.05%:  no that doesn't go
   4443 0.10%:  no that doesn't go on
   4444 0.06%:  no that doesn't go in
   4445 0.05%:  so I see the
   4446 0.05%:  that's it I need to go sh
   4447 0.10%:  that's it I need to go shove
   4448 0.05%:  that one needs to sit
   4449 0.05%:  this one's an
   4450 0.05%:  so as
   4451 0.10%:  so as I
   4452 0.05%:  that goes on one
   4453 0.09%:  that goes on one side
   4454 0.05%:  on that note this one
   4455 0.05%:  that's one thing not
   4456 0.05%:  no that's the end so it
   4457 0.05%:  so that one goes on to
   4458 0.05%:  I've kinda
   4459 0.05%:  I've got so
   4460 0.05%: . I need to get in
   4461 0.05%:  that is so
   4462 0.05%:  no it's not that done
   4463 0.05%:  so I've not done
   4464 0.10%:  so I've not done this
   4465 0.05%:  so I don't have this.
   4466 0.05%:  that's not done in
   4467 0.14%:  that's not done in the
   4468 0.05%:  I need to go test
   4469 0.05%:  this one's not an
   4470 0.05%:  I need to go kiss
   4471 0.05%:  no it's not even that good.
   4472 0.05%:  no I don't have one in
   4473 0.05%:  this one needs an
   4474 0.05%:  that's not so good on the
   4475 0.05%:  that's totes done
   4476 0.05%: . I need to eat soon
   4477 0.05%:  no that one's got
   4478 0.05%: . I've got to hand
   4479 0.05%:  that one's seven
   4480 0.05%:  that one's not done. I got
   4481 0.05%:  thanks she
   4482 0.05%:  so it's that end
   4483 0.05%:  that one goes to kids
   4484 0.05%:  so that one's 
   4485 0.05%:  so I need to get into
   4486 0.09%:  so I need to get into a
   4487 0.05%:  so i
   4488 0.09%:  so i've got
   4489 0.05%:  so I need to invent an
   4490 0.05%:  i need to go take
   4491 0.05%:  so I have to do this on
   4492 0.05%:  no I haven't gotten
   4493 0.05%:  that is the 
   4494 0.05%:  that's not even ending
   4495 0.05%:  so that's the one.
   4496 0.05%:  that one is not done.
   4497 0.05%:  so I gotta think
   4498 0.05%:  that's the note I end
   4499 0.05%:  so on that one I'
   4500 0.05%:  I need to thank
   4501 0.12%:  I need to thank the
   4502 0.05%:  no that's the good
   4503 0.05%:  so I think that ends
   4504 0.05%:  I've got to do this at
   4505 0.05%:  so I've not done that
   4506 0.05%:  that one doesn't go onto
   4507 0.05%:  I need one
   4508 0.06%:  I need one night
   4509 0.05%:  I have nothing to do on
   4510 0.05%:  I need to get onto
   4511 0.05%:  that one's not even good. I think
   4512 0.05%:  that's it. It ends on
   4513 0.05%:  so I've got this one n
   4514 0.05%:  that's good then I
   4515 0.05%:  that's good even
   4516 0.05%:  that's got 
   4517 0.05%:  so that one is to
   4518 0.05%:  thanks. I've got the
   4519 0.05%:  this one's taken the
   4520 0.05%:  thanks I've done
   4521 0.05%:  so that's ninete
   4522 0.05%:  that's it do not
   4523 0.05%:  I've got to sit on
   4524 0.05%: . I've got it done
   4525 0.05%:  so that is the end. I
   4526 0.13%:  so that is the end. I'
   4527 0.05%:  so that one doesn't think
   4528 0.05%:  that one is done. I've got tons
   4529 0.05%:  this's the
   4530 0.05%:  these ideas
   4531 0.05%:  so that's nine
   4532 0.05%:  so the end is that none
   4533 0.05%:  so no I haven't gotten the
   4534 0.05%:  no it's not done I have to
   4535 0.15%:  no it's not done I have to go
   4536 0.05%:  that one doesn't go in too
   4537 0.05%:  so I have got the
   4538 0.05%:  I need to have this to
   4539 0.05%:  it's not the end.
   4540 0.05%:  so it has no
   4541 0.05%:  so I've had these
   4542 0.05%:  so the thing I'd
   4543 0.05%:  so I've got this one taken
   4544 0.05%:  that it's not
   4545 0.05%:  that's the dent
   4546 0.05%:  so it takes the
   4547 0.05%:  so that's not the den
   4548 0.05%:  it's the end I
   4549 0.05%:  so I need to eat
   4550 0.09%:  so I need to eat tonight
   4551 0.13%:  so I need to eat tonight so
   4552 0.05%: . It's not even
   4553 0.05%:  I've got to thank this
   4554 0.06%:  I've got to thank this one
   4555 0.05%:  that one doesn't tie so
   4556 0.05%:  so it's not on the end
   4557 0.05%:  I've had too
   4558 0.05%:  on that note I need to sign
   4559 0.05%:  no that's not the ending. Is
   4560 0.05%:  this one has got
   4561 0.05%:  ok that one doesn't go
   4562 0.05%:  ok I
   4563 0.05%:  and I got
   4564 0.06%:  and I got to
   4565 0.06%:  and I got the
   4566 0.05%:  it's that
   4567 0.06%:  it's that one
   4568 0.05%:  so that's no good.
   4569 0.05%:  then thanks
   4570 0.05%: . It has
   4571 0.05%:  that's it. I need to go so
   4572 0.05%:  that's not on the evening
   4573 0.05%:  that's the kind I
   4574 0.05%:  in the end I gave
   4575 0.05%:  no I think that one goes to
   4576 0.05%:  so I've got the idea.
   4577 0.05%:  I hate to end the
   4578 0.05%:  that's the one done
   4579 0.09%:  that's the one done.
   4580 0.05%:  no this one's not good at
   4581 0.05%:  no this one's the end.
   4582 0.05%:  no it's not the end oh
   4583 0.05%:  I need to go '
   4584 0.05%:  that one is not good so
   4585 0.05%:  that's it she
   4586 0.05%:  so I've gotten it
   4587 0.05%:  so the end's the
   4588 0.05%:  so I've got that to
   4589 0.05%:  so it ends on the note
   4590 0.05%:  so that one's got to
   4591 0.05%:  that's not good even
   4592 0.05%:  I need to get on that.
   4593 0.05%:  so then I got
   4594 0.07%:  so then I got the
   4595 0.14%:  so then I got the idea
   4596 0.05%:  I need to sit the
   4597 0.05%:  so that's not the good one I
   4598 0.05%:  so I think that one's good.
   4599 0.05%:  that one too ends
   4600 0.05%:  so I've got that one on
   4601 0.05%:  that's not done this
   4602 0.05%:  so not that ending
   4603 0.05%:  so I need to get this a
   4604 0.05%:  no that's got too
   4605 0.05%: . I've got to ask
   4606 0.05%:  no that's ending
   4607 0.11%:  no that's ending the
   4608 0.05%:  that one's in the notes
   4609 0.05%:  so on the one hand I got
   4610 0.05%:  that one's got one
   4611 0.05%:  that's hot
   4612 0.05%:  so I have too
   4613 0.05%:  that's one song
   4614 0.05%:  so it's not even that good I
   4615 0.05%:  I have to edit the
   4616 0.05%:  so then I'
   4617 0.05%:  so then I've
   4618 0.24%:  so then I've got this
   4619 0.05%:  this one doesn't go.
   4620 0.05%:  so I need to set it
   4621 0.05%:  I need to go to this
   4622 0.05%:  that's done the
   4623 0.05%:  so have I got
   4624 0.11%:  so have I got this
   4625 0.09%:  so have I got the
   4626 0.05%:  that one's got to end.
   4627 0.05%:  no that's the good one.
   4628 0.05%:  no that doesn't get
   4629 0.05%:  that one I got to
   4630 0.05%:  so that's one end
   4631 0.05%:  no I have things
   4632 0.05%:  I need to go save
   4633 0.05%:  so it's not gonna do
   4634 0.05%:  that one's not done so I think
   4635 0.05%:  this one's done. I have
   4636 0.13%:  this one's done. I have to go to
   4637 0.05%:  so I've had this one
   4638 0.05%:  that's good tension
   4639 0.05%:  no I got
   4640 0.09%:  no I got that
   4641 0.05%:  so then I get
   4642 0.07%:  so then I get the
   4643 0.05%:  so I've got to edit the
   4644 0.05%:  on that note I need to go so
   4645 0.05%:  that one goes on too
   4646 0.05%: . I have one thing
   4647 0.05%:  this goes to the
   4648 0.05%:  so I need to think that
   4649 0.05%:  that one goes in the d
   4650 0.05%:  that's it. I end
   4651 0.05%:  I don't think these
   4652 0.05%:  hit
   4653 0.06%:  hit the
   4654 0.05%:  so I need to hang
   4655 0.05%:  that's the notes
   4656 0.05%:  that one does nothing to
   4657 0.05%:  I need to go save this
   4658 0.05%:  that's good too. I think
   4659 0.05%:  that these
   4660 0.05%:  the end is that I took
   4661 0.05%:  so not the
   4662 0.20%:  so not the ending
   4663 0.06%:  so not the end
   4664 0.05%:  so I think that does
   4665 0.05%:  so I see nothing
   4666 0.05%:  that's it I got no
   4667 0.05%:  so I got that one in one
   4668 0.05%:  that's the endis
   4669 0.05%:  that doesn't get one
   4670 0.05%: . I think that one's on
   4671 0.05%:  so that's not done it
   4672 0.05%:  no I need to go set
   4673 0.10%:  no I need to go set this
   4674 0.05%:  no I need to go set that
   4675 0.05%:  so I took this
   4676 0.05%:  so I took this one
   4677 0.05%:  hotdog
   4678 0.05%:  that's good honest I
   4679 0.05%:  it's an end
   4680 0.05%:  I need an
   4681 0.05%:  that's the d
   4682 0.05%:  that I've got it
   4683 0.05%:  that's the end. 
   4684 0.05%:  so I've got to hand
   4685 0.06%:  so I've got to hand this
   4686 0.05%:  so I've got to hand in
   4687 0.05%:  I said too
   4688 0.05%:  this one doesn't go on that
   4689 0.05%:  that one does not go on this
   4690 0.05%:  I need to set that
   4691 0.05%:  no that one's done so
   4692 0.05%:  so I've got it done so
   4693 0.05%:  so I've got nine
   4694 0.05%:  so it ends on that
   4695 0.05%:  so on the one hand it's one
   4696 0.05%:  that's good. In
   4697 0.05%:  that's got it on
   4698 0.05%:  that '
   4699 0.05%:  so I have to get those
   4700 0.05%:  so that's not the ending one
   4701 0.05%:  so it's no good that
   4702 0.05%:  no that one isn't so
   4703 0.31%:  no that one isn't so good.
   4704 0.14%:  no that one isn't so good I
   4705 0.05%:  so that one gets the
   4706 0.05%:  in the end the
   4707 0.05%:  that one's intense
   4708 0.06%:  that one's intense.
   4709 0.05%:  that one's not in so
   4710 0.14%:  that one's not in so I
   4711 0.08%:  that one's not in so I need
   4712 0.19%:  that one's not in so I need to go
   4713 0.05%:  so that took 
   4714 0.05%:  so I've got to do a
   4715 0.05%:  no that's not endings
   4716 0.05%:  it's gotta end
   4717 0.10%:  it's gotta end soon
   4718 0.08%:  it's gotta end soon.
   4719 0.05%:  so it's that the
   4720 0.05%:  and so I
   4721 0.05%:  thanks I need to give
   4722 0.05%:  no I don't have this so
   4723 0.05%:  I need to save
   4724 0.05%:  I need to save this on
   4725 0.05%:  I need to save it
   4726 0.05%:  no that's the end. In
   4727 0.05%:  not to
   4728 0.05%:  ok that one is
   4729 0.05%:  that one is one
   4730 0.06%:  that one is one I
   4731 0.05%:  that one's not done too
   4732 0.05%:  that's good note
   4733 0.05%:  this gets
   4734 0.05%:  that one doesn't go. I
   4735 0.05%:  so I need that one too
   4736 0.05%:  so I've hit
   4737 0.05%:  thats it I
   4738 0.05%:  good that's the one
   4739 0.05%:  no it's not the end I have tons
   4740 0.05%:  I've gotten too
   4741 0.07%:  I've gotten too into
   4742 0.05%:  this one gets one and
   4743 0.05%: . I need this to
   4744 0.08%: . I need this to go
   4745 0.07%: . I need this to go on the
   4746 0.05%:  that noise
   4747 0.05%:  so having
   4748 0.05%:  I need to go test this
   4749 0.05%:  thankss
   4750 0.05%:  so I've got that one.
   4751 0.05%:  I think that needs to go
   4752 0.05%:  no that is too
   4753 0.05%:  no that is too good
   4754 0.05%:  that's the end no one
   4755 0.05%:  does
   4756 0.05%:  gooooo
   4757 0.05%:  so that one doesn't go on in
   4758 0.05%: . I hate
   4759 0.05%: . I think that's good notes
   4760 0.05%:  that's the end o
   4761 0.05%:  no thanks I've got the
   4762 0.05%:  that one's not one the
   4763 0.05%:  this one's got the
   4764 0.05%:  I think that goes one
   4765 0.05%:  on that note it's good
   4766 0.05%:  I need to get to an
   4767 0.05%:  on that note I've nothing
   4768 0.05%:  it's so good
   4769 0.06%:  it's so good that
   4770 0.05%:  so that one's gone on
   4771 0.05%:  that needs to get
   4772 0.05%:  that's it. I need to go sh
   4773 0.08%:  that's it. I need to go shove
   4774 0.05%:  that's it doesn
   4775 0.05%: . I think that one's got
   4776 0.05%:  so that one doesn't go on.
   4777 0.05%:  so that's one thing I took
   4778 0.05%:  so this took ten
   4779 0.05%:  that isn't the end I
   4780 0.05%:  noone
   4781 0.05%:  I need to go think that
   4782 0.08%:  I need to go think that one
   4783 0.05%:  that's the engine
   4784 0.05%:  that's the engine on
   4785 0.05%:  that's no good on
   4786 0.05%:  no thanks to those
   4787 0.05%:  so I haven't gotten onto
   4788 0.05%: . I think that's even
   4789 0.05%:  have I got
   4790 0.07%:  have I got this
   4791 0.07%:  have I got the
   4792 0.05%:  hot dog
   4793 0.05%:  no that's not the end so give
   4794 0.05%:  that's this one. I
   4795 0.05%: . I've gotten this
   4796 0.05%:  I don't have nothing
   4797 0.05%:  so it's good that I took
   4798 0.05%:  no that's it no I need
   4799 0.05%:  that one isn't so good on
   4800 0.10%:  that one isn't so good on the
   4801 0.05%:  so I've got to thank
   4802 0.08%:  so I've got to thank the
   4803 0.05%:  think I
   4804 0.05%:  no it's not even a
   4805 0.09%:  no it's not even a good
   4806 0.05%:  I need to get this nov
   4807 0.05%:  thanks to the end
   4808 0.05%:  no need to go on thanks
   4809 0.05%:  I've got this done
   4810 0.05%:  I've got this to
   4811 0.05%:  and I got it
   4812 0.05%:  I've got to take the
   4813 0.05%:  this one doesn't go too
   4814 0.05%:  that's the one I got
   4815 0.05%:  that's the one I got.
   4816 0.05%:  so I've got this hand
   4817 0.05%:  so that's one thing done
   4818 0.05%:  no thanks it's not even
   4819 0.05%:  so his
   4820 0.05%:  that's the ending. In
   4821 0.05%:  no that one ties
   4822 0.05%:  so don't get this too
   4823 0.05%:  so I've got the hook in
   4824 0.05%:  no that one is on
   4825 0.05%:  thanks. I've got this
   4826 0.05%:  that one I don't see
   4827 0.05%:  no it's one
   4828 0.05%:  that one's done. I got one
   4829 0.05%:  I need it
   4830 0.05%: . I see that this
   4831 0.05%:  so that gets the
   4832 0.05%:  so I need a ghost
   4833 0.05%:  that's it. I got one
   4834 0.05%:  so it needs to
   4835 0.05%:  so it's the one
   4836 0.05%:  does this
   4837 0.05%:  so I don't have to sign
   4838 0.07%:  so I don't have to sign the
   4839 0.05%:  it does
   4840 0.05%:  that one goes in the nov
   4841 0.05%:  so that one needs to go into
   4842 0.05%:  that one goes on to the
   4843 0.05%:  this one gets no
   4844 0.05%:  the end is that I got
   4845 0.05%:  so it's a non
   4846 0.05%:  I haven't got the end
   4847 0.05%: . I've taken
   4848 0.07%: . I've taken this
   4849 0.08%: . I've taken this too
   4850 0.05%:  so I take the
   4851 0.05%:  so that one I need to think on
   4852 0.05%:  that's good to see
   4853 0.05%:  that's good to see it
   4854 0.05%: . It's not as
   4855 0.05%:  no it's not the end I have not
   4856 0.05%:  no thanks I've got this one
   4857 0.05%:  that's not even good this
   4858 0.05%:  that one's not in.
   4859 0.05%:  so in that
   4860 0.69%:  so in that one the
   4861 0.14%:  so in that one the end
   4862 0.06%:  so in that one I'
   4863 0.05%:  I've got this one and
   4864 0.05%:  it's not good at
   4865 0.05%: . I think that one does
   4866 0.05%:  so I have the ending to
   4867 0.05%:  and see
   4868 0.05%:  so it's got the
   4869 0.04%:  that one doesn't go to 
   4870 0.04%:  so then I have to go on
   4871 0.04%:  thanks I need to go on the
   4872 0.04%:  I need to get to it soon
   4873 0.04%:  no I have to get this done soon
   4874 0.04%:  that is done.
   4875 0.04%:  so I've got this one done thank
   4876 0.04%:  this one's not good at
   4877 0.04%:  that's the one i
   4878 0.04%:  so it's not the end. I have to go
   4879 0.04%: . I need to have it
   4880 0.04%:  good then
   4881 0.04%:  this one's a one
   4882 0.04%:  so that's not one thing
   4883 0.04%:  so that's not the end 
   4884 0.04%:  and in the
   4885 0.04%: . I've got to take notes
   4886 0.09%: . I've got to take notes on
   4887 0.04%:  so I got it
   4888 0.04%:  I've got to ask
   4889 0.04%:  that one's ending soon.
   4890 0.04%:  it's not even that good so
   4891 0.04%:  no that's not ending the
   4892 0.04%:  so I haven't got the end to
   4893 0.04%:  that's done. It took seven
   4894 0.04%:  that one got one
   4895 0.04%:  no this one's not good I
   4896 0.04%:  this I
   4897 0.04%:  I gotta do
   4898 0.06%:  I gotta do this
   4899 0.12%:  I gotta do this one
   4900 0.05%:  I gotta do it
   4901 0.04%:  thanks he
   4902 0.04%:  that's one to go
   4903 0.04%:  I think that's not on
   4904 0.04%:  that's not even good in
   4905 0.12%:  that's not even good in the
   4906 0.04%:  that one does it
   4907 0.04%:  that one is done so no
   4908 0.04%:  no that one isn't good.
   4909 0.04%:  that's not those
   4910 0.04%:  that's one on the nose
   4911 0.04%:  '
   4912 0.04%:  so that's not it. I
   4913 0.04%:  so it's not the end then
   4914 0.04%:  I don't even think the
   4915 0.04%: . I have this one
   4916 0.04%:  that's not even the kind
   4917 0.04%:  so that's not nothin
   4918 0.04%:  so I've got to end
   4919 0.11%:  so I've got to end this one
   4920 0.04%:  I have to get one
   4921 0.04%:  so that's not end
   4922 0.04%:  so that one is done. It
   4923 0.04%:  no it's got
   4924 0.04%:  it's not so good that
   4925 0.04%:  I need to go to that
   4926 0.04%:  so I've got that done in the
   4927 0.04%:  so no one asked
   4928 0.04%:  that is no
   4929 0.04%: . I've got to send
   4930 0.22%: . I've got to send this one
   4931 0.06%: . I've got to send this to
   4932 0.04%:  no that one doesn't go the
   4933 0.04%:  good I think the
   4934 0.04%:  that's not on the 
   4935 0.04%: . I've done that one too
   4936 0.04%:  no this one has gotten
   4937 0.06%:  no this one has gotten too
   4938 0.04%:  this has gone one
   4939 0.05%:  this has gone one too
   4940 0.04%:  so I don't have the notes on
   4941 0.04%:  that's too soon
   4942 0.04%:  that's enoo
   4943 0.04%:  no I need to go think
   4944 0.04%:  I need one thing
   4945 0.04%:  no this doesn't go
   4946 0.12%:  no this doesn't go on
   4947 0.04%:  so it's no good that the
   4948 0.04%:  that's the one good one in
   4949 0.04%:  I need to get onto this soon
   4950 0.04%:  so it doesn't go on to
   4951 0.04%:  I got the
   4952 0.04%:  no this one I'
   4953 0.08%:  no this one I've
   4954 0.04%:  that's not on the video
   4955 0.04%: . I don't think that goes
   4956 0.04%:  no this one doesn't go on a
   4957 0.04%:  no I took
   4958 0.17%:  no I took that
   4959 0.26%:  no I took that too
   4960 0.04%:  so then I've gotta
   4961 0.04%:  no that one goes on
   4962 0.04%:  so that one's not the kind
   4963 0.04%:  ok that's not the ending. I
   4964 0.04%:  so I give
   4965 0.05%:  so I give the
   4966 0.04%:  it's the end not
   4967 0.04%:  I need to go a
   4968 0.04%:  no I need a
   4969 0.04%:  that one doesn't get in.
   4970 0.04%:  thank'
   4971 0.04%:  that's the one I took
   4972 0.04%:  this one's not even that
   4973 0.25%:  this one's not even that good.
   4974 0.06%:  this one's not even that good I
   4975 0.04%:  so that's it I got
   4976 0.04%:  thanks I need this to go
   4977 0.04%: . It's good that it
   4978 0.04%:  I've got that one done.
   4979 0.04%:  that's one I invented
   4980 0.04%:  that's the end to one
   4981 0.04%:  that's no good. It
   4982 0.04%:  no it's not the end so I
   4983 0.04%:  so I have got this
   4984 0.04%:  so I've got to think
   4985 0.04%:  thanks I need to go to this
   4986 0.04%:  so that one need
   4987 0.04%:  I've done it that
   4988 0.04%:  so that one's not not
   4989 0.04%:  that's not done so
   4990 0.04%:  so that one isnt
   4991 0.04%:  that one's not good to
   4992 0.04%:  this one doesn't go that
   4993 0.04%:  so I need to go on that
   4994 0.04%:  I haven't gotten this done
   4995 0.04%:  so that's one thing I do not
   4996 0.04%:  no that one I don't think goes
   4997 0.04%:  that's to the
   4998 0.04%:  I have to sne
   4999 0.04%:  so I need 
   5000 0.04%:  thanks. I need to get it
   5001 0.04%:  so it goes on a
   5002 0.04%:  no that one's not even good.
   5003 0.04%: . It's not done
   5004 0.04%:  no it's not that one. I need
   5005 0.04%:  so I've seen
   5006 0.04%:  no that one isn't so good. I
   5007 0.04%:  and it's one
   5008 0.04%:  so it has the
   5009 0.04%:  that doesn't hit
   5010 0.04%:  that's the side
   5011 0.04%:  so I think that goes on one
   5012 0.04%: . I have to do
   5013 0.05%: . I have to do this
   5014 0.06%: . I have to do this one
   5015 0.04%:  no that one's not done so
   5016 0.10%:  no that one's not done so I
   5017 0.04%:  so it doesn't have to get
   5018 0.04%:  this one I don't have so
   5019 0.04%:  so on that note.
   5020 0.04%:  that's this.
   5021 0.04%: . I think that's on
   5022 0.04%:  thanks I've got it
   5023 0.04%:  so the one thing I take
   5024 0.04%:  that one's in the oven.
   5025 0.04%:  so that's the one one
   5026 0.04%:  so I hate
   5027 0.04%:  and then I go
   5028 0.04%:  so I've got it set
   5029 0.04%:  so that's one hit
   5030 0.04%:  so I don't have to go to this
   5031 0.04%:  so this one I haven't got
   5032 0.04%:  that one's not done so the
   5033 0.04%:  that's ninete
   5034 0.04%:  I need to not
   5035 0.04%:  so it takes 
   5036 0.04%:  that's it. 
   5037 0.04%:  so I haven't done nothing
   5038 0.04%:  so that one shoot
   5039 0.04%:  so that one took this
   5040 0.04%:  so I have done things
   5041 0.04%:  that one's not good on
   5042 0.07%:  that one's not good on the
   5043 0.04%:  this one gets an
   5044 0.04%:  so this one took 
   5045 0.04%:  so I don't have one on
   5046 0.04%:  that's not ending soon
   5047 0.04%:  that's it. I need to go on e
   5048 0.04%:  ok that's not on
   5049 0.04%: . It's this
   5050 0.04%:  so this one I need a
   5051 0.04%:  so instead I'
   5052 0.04%:  no thanks I don't see
   5053 0.04%:  so no I have
   5054 0.04%:  I think that's to
   5055 0.04%:  no I think that one's done.
   5056 0.04%:  that's it I took
   5057 0.04%:  that's not good on
   5058 0.07%:  that's not good on the
   5059 0.04%:  that's the n
   5060 0.04%:  so a
   5061 0.04%:  that one is good. I
   5062 0.04%:  so that's no the end.
   5063 0.04%:  that one doesn't go in then
   5064 0.04%:  so have I gotten
   5065 0.04%:  that's one I got
   5066 0.04%:  so it's not done. I
   5067 0.04%:  so I have nothing to do on
   5068 0.04%:  so I need to go.
   5069 0.04%:  this one I don't have on
   5070 0.04%:  so I have these
   5071 0.04%:  I think that's not even
   5072 0.04%:  so that's one I need
   5073 0.05%:  so that's one I need to think
   5074 0.11%:  so that's one I need to think on
   5075 0.04%:  good this
   5076 0.04%:  so that one isn't not
   5077 0.04%:  thanks I need to go into
   5078 0.04%:  that one's done too so
   5079 0.04%:  no that's it I got
   5080 0.04%:  so it's not the end I
   5081 0.04%: . I don't think these
   5082 0.04%:  no that's not to
   5083 0.04%:  that sends
   5084 0.04%:  I need to get this on to a
   5085 0.04%:  that's not tied
   5086 0.04%:  that's end.
   5087 0.04%:  that's need
   5088 0.04%:  so that one is 
   5089 0.04%:  that one's not hot
   5090 0.04%:  I need to go set it
   5091 0.04%:  it's gone
   5092 0.09%:  it's gone on
   5093 0.15%:  it's gone on too
   5094 0.04%:  no I've got it thanks
   5095 0.04%:  that goes on the end.
   5096 0.04%:  so it's good to have the
   5097 0.04%:  this one doesn't get to
   5098 0.04%:  no that's not the end isn
   5099 0.04%:  no don't ask
   5100 0.04%:  no I think that's one good
   5101 0.04%:  it's no good that
   5102 0.04%:  so I've got it done thanks
   5103 0.04%:  this one's not a good one I
   5104 0.04%:  so that one isn't done. It
   5105 0.04%:  that one's not good on its
   5106 0.04%:  that one doesn't go on this one.
   5107 0.04%:  that end
   5108 0.04%:  so do
   5109 0.05%:  so do I
   5110 0.05%:  so do I have
   5111 0.07%:  so do I have this
   5112 0.04%:  so in the end I have
   5113 0.06%:  so in the end I have no
   5114 0.04%:  so I've got this and then
   5115 0.04%:  no thanks it's too
   5116 0.04%:  this one needs to go
   5117 0.10%:  this one needs to go to
   5118 0.07%:  this one needs to go on
   5119 0.04%:  no that's not good this
   5120 0.04%:  no this one's not done I
   5121 0.04%:  so then I'd
   5122 0.04%:  having
   5123 0.04%:  so the thing I do
   5124 0.04%:  it needs a
   5125 0.04%:  on that note I intend
   5126 0.04%:  so no one'
   5127 0.81%:  so no one's gonna
   5128 0.04%:  it's the end. I
   5129 0.08%:  it's the end. I gotta
   5130 0.04%:  no I don't get the
   5131 0.04%:  that's too intense
   5132 0.08%:  that's too intense.
   5133 0.04%:  so I think the one
   5134 0.04%:  this does not go on the
   5135 0.04%:  hot dogs
   5136 0.04%:  no that isn't even on
   5137 0.04%:  that one's ending.
   5138 0.04%:  no I have to get this done so
   5139 0.04%:  that one doesn't sing
   5140 0.04%:  so that's it. I got
   5141 0.04%:  no I think that one gets
   5142 0.04%:  that one's not done it
   5143 0.04%:  so it's had
   5144 0.04%:  that one isn't on the 
   5145 0.04%: . I have to go into
   5146 0.04%:  so that's good. I
   5147 0.04%:  that's not on the end.
   5148 0.04%:  this one doesn't have non
   5149 0.04%:  need
   5150 0.19%:  need to get
   5151 0.36%:  need to get this
   5152 0.11%:  need I
   5153 0.07%:  need to go to
   5154 0.04%:  no this one's not the one
   5155 0.04%:  no this one's taken
   5156 0.05%:  no this one's taken.
   5157 0.04%:  no that's not even good to
   5158 0.04%:  no I think that's gone on too
   5159 0.04%:  so that's the one kind
   5160 0.04%:  it's good.
   5161 0.04%:  I've gotta send this one
   5162 0.08%:  I've gotta send this one to
   5163 0.04%:  that's it I need to sne
   5164 0.04%:  that isn't so hot
   5165 0.04%:  so I think that'd
   5166 0.04%: . I get
   5167 0.09%: . I get that
   5168 0.13%: . I get that this
   5169 0.04%:  that one's on its
   5170 0.04%:  so I got this and
   5171 0.04%:  thanks. I need to get on this
   5172 0.04%:  in that one I need
   5173 0.04%:  no it's the end. I have to go to
   5174 0.04%:  so I have the ending.
   5175 0.04%:  so it's noon
   5176 0.04%:  that's no good to
   5177 0.04%:  so that's doing
   5178 0.04%:  the end is that I've
   5179 0.07%:  the end is that I've got
   5180 0.04%: . I said too
   5181 0.04%: . It's not even that
   5182 0.04%:  so the end takes
   5183 0.04%:  and this one gets
   5184 0.04%:  no shit
   5185 0.04%:  that's one. I think
   5186 0.04%:  no that's it the end
   5187 0.04%:  so things
   5188 0.04%:  this doesn't have to get
   5189 0.04%:  so I don't have 
   5190 0.04%:  thanks i've
   5191 0.04%:  that's not in the one
   5192 0.04%:  that's the vent
   5193 0.04%:  no that's no good.
   5194 0.04%:  no that's it not
   5195 0.04%:  that's it. I got no
   5196 0.04%:  I have to get this done too
   5197 0.04%:  no one ask
   5198 0.04%:  that's so good
   5199 0.10%:  that's so good I
   5200 0.04%:  no one has signed
   5201 0.04%:  that one's gone to
   5202 0.04%:  that's the ending so no
   5203 0.04%:  that doesn't go onto
   5204 0.04%:  that's one. I need
   5205 0.04%:  I have to get this on to
   5206 0.04%:  that one does not go to
   5207 0.04%:  that one's too good. I think
   5208 0.04%:  no I don't have the notes
   5209 0.04%:  that's not ending too soon
   5210 0.04%:  so I've got this and the one
   5211 0.04%:  that's it the end.
   5212 0.04%:  no this one needs to
   5213 0.04%:  that one's done so get
   5214 0.04%:  that's not done I
   5215 0.04%:  so I get it that
   5216 0.04%:  that's on the nose
   5217 0.04%:  no I've gone
   5218 0.04%:  I have to go on this
