set 'em up, future generations knock 'em down!
    12,354 0* 0.00000% (99.884% 0.073% 0.043%)   don't see we're                                                                                                              -----------cfkkmmnoptuuu,!
    12,355 0* 0.00000% (99.884% 0.073% 0.043%)  'm on so                                                                                                                      -----------cdeeeefkkmnprttuuuw',!
    12,356 0* 0.00000% (99.884% 0.073% 0.043%)   must not po                                                                                                                  -----------cdeeeefkkmnruuw'',!
    12,357 0* 0.00000% (99.884% 0.073% 0.043%)   don't use c                                                                                                                  -----------eeefkkmmnoprtuuw',!
    12,358 0* 0.00000% (99.884% 0.073% 0.043%)  'm sure pot                                                                                                                   -----------cdeeefkkmnnotuuw',!
    12,359 0* 0.00000% (99.884% 0.073% 0.043%)  'd count me, me                                                                                                               -----------eefkknoprstuuw'!
    12,360 0* 0.00000% (99.884% 0.073% 0.043%)  'm countered                                                                                                                  -----------eefkkmnopstuuw',!
    12,361 0* 0.00000% (99.884% 0.073% 0.043%)  'm countered,                                                                                                                 -----------eefkkmnopstuuw'!
    12,362 0* 0.00000% (99.884% 0.073% 0.043%)  'm worked!                                                                                                                    -----------ceeefkmnnopsttuuu',
    12,363 0* 0.00000% (99.884% 0.073% 0.043%)   must now, u                                                                                                                  -----------cdeeeefkkmnoprtu''!
    12,364 0* 0.00000% (99.884% 0.073% 0.043%)  'm super fucked on                                                                                                            -----------eekmnottuw',!
    12,365 0* 0.00000% (99.884% 0.073% 0.043%)   step from                                                                                                                    -----------cdeeekkmnnotuuuw'',!
    12,366 0* 0.00000% (99.884% 0.073% 0.043%)  'm used to p                                                                                                                  -----------ceeefkkmnnortuuw',!
    12,367 0* 0.00000% (99.884% 0.073% 0.043%)  'd pun out                                                                                                                    -----------ceeeefkkmmnorstuw',!
    12,368 0* 0.00000% (99.884% 0.073% 0.043%)  'm not me, of                                                                                                                 -----------cdeeekknprstuuuw'!
    12,369 0* 0.00000% (99.884% 0.073% 0.043%)  'm no 'c                                                                                                                      -----------deeeefkkmnoprsttuuuw,!
    12,370 0* 0.00000% (99.884% 0.073% 0.043%)   must per                                                                                                                     -----------cdeeefkkmnnootuuw'',!
    12,371 0* 0.00000% (99.884% 0.073% 0.043%)   posed                                                                                                                        -----------ceeefkkmmnnorttuuuw'',!
    12,372 0* 0.00000% (99.884% 0.073% 0.043%)  'm not sure, we                                                                                                               -----------cdeefkkmnoptuu'!
    12,373 0* 0.00000% (99.884% 0.073% 0.043%)  'm not sure, we'                                                                                                              -----------cdeefkkmnoptuu!
    12,374 0* 0.00000% (99.884% 0.073% 0.043%)   won't ter                                                                                                                    -----------cdeeefkkmmnopsuuu',!
    12,375 0* 0.00000% (99.884% 0.073% 0.043%)  'm 'document                                                                                                                  -----------eeefkknoprstuuw,!
    12,376 0* 0.00000% (99.884% 0.073% 0.043%)  'm so future generations put                                                                                                  cdeeekkmnnow',!
    12,377 0* 0.00000% (99.884% 0.073% 0.043%)  'm one customer,                                                                                                              -----------deefkknptuuw'!
    12,378 0* 0.00000% (99.884% 0.073% 0.043%)   need to pee, ut                                                                                                              -----------cfkkmmnorsuuw''!
    12,379 0* 0.00000% (99.884% 0.073% 0.043%)  'm future generations' moon                                                                                                   cdeeekknpstuw,!
    12,380 0* 0.00000% (99.884% 0.073% 0.043%)   don't ur                                                                                                                     -----------ceeeefkkmmnopstuuw',!
    12,381 0* 0.00000% (99.884% 0.073% 0.043%)  'm one duck up!                                                                                                               -----------eeefkmnorsttuw',
    12,382 0* 0.00000% (99.884% 0.073% 0.043%)  'm on tum                                                                                                                     -----------cdeeeefkknoprstuuw',!
    12,383 0* 0.00000% (99.884% 0.073% 0.043%)  'm so fut                                                                                                                     -----------cdeeeekkmnnoprtuuw',!
    12,384 0* 0.00000% (99.884% 0.073% 0.043%)  'm so futur                                                                                                                   -----------cdeeeekkmnnoptuw',!
    12,385 0* 0.00000% (99.884% 0.073% 0.043%)  'm one cor                                                                                                                    -----------deeefkkmnpsttuuuw',!
    12,386 0* 0.00000% (99.884% 0.073% 0.043%)  'm one corpse                                                                                                                 -----------deefkkmnttuuuw',!
    12,387 0* 0.00000% (99.884% 0.073% 0.043%)   keep tr                                                                                                                      -----------cdeefkmmnnoostuuuw'',!
    12,388 0* 0.00000% (99.884% 0.073% 0.043%)  'm not refuse,                                                                                                                -----------cdeekkmnoptuuw'!
    12,389 0* 0.00000% (99.884% 0.073% 0.043%)  'd won't, of                                                                                                                  -----------ceeeekkmmnprstuuu!
    12,390 0* 0.00000% (99.884% 0.073% 0.043%)  'm me, so count                                                                                                               -----------deeefkknprtuuw'!
    12,391 0* 0.00000% (99.884% 0.073% 0.043%)  'd count 'em, of                                                                                                              -----------eeekkmnprstuuw!
    12,392 0* 0.00000% (99.884% 0.073% 0.043%)  'm censored,                                                                                                                  -----------eefkkmnopttuuuw'!
    12,393 0* 0.00000% (99.884% 0.073% 0.043%)  'm out, pee                                                                                                                   -----------cdeefkkmnnorstuuw'!
    12,394 0* 0.00000% (99.884% 0.073% 0.043%)   know, future generations sc                                                                                                  deeekmmnoptu''!
    12,395 0* 0.00000% (99.884% 0.073% 0.043%)  'm two,                                                                                                                       -----------cdeeeefkkmnnoprstuuu'!
    12,396 0* 0.00000% (99.884% 0.073% 0.043%)   keep mem                                                                                                                     -----------cdefknnoorsttuuuw'',!
    12,397 0* 0.00000% (99.884% 0.073% 0.043%)  ''m proud                                                                                                                     -----------ceeeefkkmnnosttuuw,!
    12,398 0* 0.00000% (99.884% 0.073% 0.043%)  ''m proud of                                                                                                                  -----------ceeeekkmnnsttuuw,!
    12,399 0* 0.00000% (99.884% 0.073% 0.043%)  'm me, we                                                                                                                     -----------cdeefkknnooprsttuuu'!
    12,400 0* 0.00000% (99.884% 0.073% 0.043%)  'm me, we'                                                                                                                    -----------cdeefkknnooprsttuuu!
    12,401 0* 0.00000% (99.884% 0.073% 0.043%)  'm me, we're                                                                                                                  -----------cdefkknnoopsttuuu!
    12,402 0* 0.00000% (99.884% 0.073% 0.043%)   met po                                                                                                                       -----------cdeeefkkmnnorstuuuw'',!
    12,403 0* 0.00000% (99.884% 0.073% 0.043%)  'm one duck's                                                                                                                 -----------eeefkmnoprttuuw,!
    12,404 0* 0.00000% (99.884% 0.073% 0.043%)   put 'em down for                                                                                                             -----------ceeekkmnstuu',!
    12,405 0* 0.00000% (99.884% 0.073% 0.043%)   presume to know                                                                                                              -----------cdeefkmntuu'',!
    12,406 0* 0.00000% (99.884% 0.073% 0.043%)  'm no mor                                                                                                                     -----------cdeeeefkknpsttuuuw',!
    12,407 0* 0.00000% (99.884% 0.073% 0.043%)   sure won't comp                                                                                                              -----------deeefkkmntuu',!
    12,408 0* 0.00000% (99.884% 0.073% 0.043%)  'm more soc                                                                                                                   -----------deeefkknnpttuuuw',!
    12,409 0* 0.00000% (99.884% 0.073% 0.043%)  'm not 'tuck                                                                                                                  -----------deeeefkmnoprsuuw,!
    12,410 0* 0.00000% (99.884% 0.073% 0.043%)  'm not screwed up '                                                                                                           -----------eefkkmnotuu,!
    12,411 0* 0.00000% (99.884% 0.073% 0.043%)  'm perfect men                                                                                                                -----------dekknoostuuuw',!
    12,412 0* 0.00000% (99.884% 0.073% 0.043%)  'd ren                                                                                                                        -----------ceeefkkmmnoopsttuuuw',!
    12,413 0* 0.00000% (99.884% 0.073% 0.043%)   refuse to w                                                                                                                  -----------cdeekkmmnnoptuu'',!
    12,414 0* 0.00000% (99.884% 0.073% 0.043%)   won't 'course                                                                                                                -----------deeefkkmmnptuu,!
    12,415 0* 0.00000% (99.884% 0.073% 0.043%)   won't us                                                                                                                     -----------cdeeeefkkmmnoprtuu',!
    12,416 0* 0.00000% (99.884% 0.073% 0.043%)   recommend pot                                                                                                                -----------eefkknstuuuw'',!
    12,417 0* 0.00000% (99.884% 0.073% 0.043%)  'm come down,                                                                                                                 -----------eeefkknprsttuuu'!
    12,418 0* 0.00000% (99.884% 0.073% 0.043%)  'd count future generations pe                                                                                                eekkmmnosw',!
    12,419 0* 0.00000% (99.884% 0.073% 0.043%)  'm due, come                                                                                                                  -----------eefkknnoprsttuuw'!
    12,420 0* 0.00000% (99.884% 0.073% 0.043%)  'm 'em                                                                                                                        -----------cdeeefkknnooprsttuuuw,!
    12,421 0* 0.00000% (99.884% 0.073% 0.043%)  'm count '                                                                                                                    -----------deeeefkkmnoprstuuw,!
    12,422 0* 0.00000% (99.884% 0.073% 0.043%)  'm count 'em                                                                                                                  -----------deeefkknoprstuuw,!
    12,423 0* 0.00000% (99.884% 0.073% 0.043%)  'm count 'em up                                                                                                               -----------deeefkknorstuw,!
    12,424 0* 0.00000% (99.884% 0.073% 0.043%)  'd one super                                                                                                                  -----------ceefkkmmnottuuw',!
    12,425 0* 0.00000% (99.884% 0.073% 0.043%)  'm proud, not em                                                                                                              -----------ceeefkknstuuw'!
    12,426 0* 0.00000% (99.884% 0.073% 0.043%)  'm ducks                                                                                                                      -----------eeeefkmnnooprttuuw',!
    12,427 0* 0.00000% (99.884% 0.073% 0.043%)  'm ducks up                                                                                                                   -----------eeeefkmnnoorttuw',!
    12,428 0* 0.00000% (99.884% 0.073% 0.043%)   don't refuse po                                                                                                              -----------ceekkmmntuuw',!
    12,429 0* 0.00000% (99.884% 0.073% 0.043%)  'd count me out, were                                                                                                         -----------efkkmnpsu'!
    12,430 0* 0.00000% (99.884% 0.073% 0.043%)  'm come 'round!                                                                                                               -----------eeefkknpsttuuw,
    12,431 0* 0.00000% (99.884% 0.073% 0.043%)  'm not generations'                                                                                                           cdeeeefkkmnoprstuuuw,!
    12,432 0* 0.00000% (99.884% 0.073% 0.043%)  'm not generations' future                                                                                                    cdeeekkmnopsuw,!
    12,433 0* 0.00000% (99.884% 0.073% 0.043%)  'd count 'em weeks                                                                                                            -----------efkmnoprtuu,!
    12,434 0* 0.00000% (99.884% 0.073% 0.043%)  'm not sour!                                                                                                                  -----------cdeeeefkkmnptuuw',
    12,435 0* 0.00000% (99.884% 0.073% 0.043%)  'm not some cur                                                                                                               -----------deeefkknptuuw',!
    12,436 0* 0.00000% (99.884% 0.073% 0.043%)   keep, for                                                                                                                    -----------cdeekmmnnosttuuuw''!
    12,437 0* 0.00000% (99.884% 0.073% 0.043%)  'd so keep                                                                                                                    -----------ceefkmmnnorttuuuw',!
    12,438 0* 0.00000% (99.884% 0.073% 0.043%)  'm reduce me to                                                                                                               -----------efkknnopstuuw',!
    12,439 0* 0.00000% (99.884% 0.073% 0.043%)   need t                                                                                                                       -----------ceefkkmmnooprstuuuw'',!
    12,440 0* 0.00000% (99.884% 0.073% 0.043%)  'm keen to produce                                                                                                            -----------efkmnstuuw',!
    12,441 0* 0.00000% (99.884% 0.073% 0.043%)  'm keen to produce generations                                                                                                efkmnstuuw',!
    12,442 0* 0.00000% (99.884% 0.073% 0.043%)  'm up for some d                                                                                                              -----------ceeekknnttuuw',!
    12,443 0* 0.00000% (99.884% 0.073% 0.043%)  'm not rocks                                                                                                                  -----------deeeefkmnptuuuw',!
    12,444 0* 0.00000% (99.884% 0.073% 0.043%)  'm done fut                                                                                                                   -----------ceeekkmnoprstuuw',!
    12,445 0* 0.00000% (99.884% 0.073% 0.043%)  'm proud so                                                                                                                   -----------ceeeefkkmnnttuuw',!
    12,446 0* 0.00000% (99.884% 0.073% 0.043%)  'm set up, generations                                                                                                        cdeeefkkmnnoortuuw'!
    12,447 0* 0.00000% (99.884% 0.073% 0.043%)   row                                                                                                                          -----------cdeeeefkkmmnnopsttuuu'',!
    12,448 0* 0.00000% (99.885% 0.073% 0.043%)  'm used to no                                                                                                                 -----------ceeefkkmnprtuuw',!
    12,449 0* 0.00000% (99.885% 0.073% 0.043%)   know, suck me!                                                                                                               -----------deeefmnoprttuu''
    12,450 0* 0.00000% (99.885% 0.073% 0.043%)   counted up from                                                                                                              -----------eeekkmnstuw'',!
    12,451 0* 0.00000% (99.885% 0.073% 0.043%)  'm more found                                                                                                                 -----------ceeekknpsttuuw',!
    12,452 0* 0.00000% (99.885% 0.073% 0.043%)  'm poem!                                                                                                                      -----------cdeeefkknnorsttuuuw',
    12,453 0* 0.00000% (99.885% 0.073% 0.043%)   see future generations, n                                                                                                    cdekkmmnooptuw''!
    12,454 0* 0.00000% (99.885% 0.073% 0.043%)   recommend poet                                                                                                               -----------efkknstuuuw'',!
    12,455 0* 0.00000% (99.885% 0.073% 0.043%)   don't use pro                                                                                                                -----------ceeefkkmmntuuw',!
    12,456 0* 0.00000% (99.885% 0.073% 0.043%)   rescue men                                                                                                                   -----------defkkmnoopttuuw'',!
    12,457 0* 0.00000% (99.885% 0.073% 0.043%)  'me out,                                                                                                                      -----------cdeeefkkmnnoprstuuw'!
    12,458 0* 0.00000% (99.885% 0.073% 0.043%)   went to museum                                                                                                               -----------cdeefkknopru'',!
    12,459 0* 0.00000% (99.885% 0.073% 0.043%)  'm not more!                                                                                                                  -----------cdeeefkknpstuuuw',
    12,460 0* 0.00000% (99.885% 0.073% 0.043%)  'm pure sweet                                                                                                                 -----------cdefkkmnnootuu',!
    12,461 0* 0.00000% (99.885% 0.073% 0.043%)  'm no su                                                                                                                      -----------cdeeeefkkmnoprttuuw',!
    12,462 0* 0.00000% (99.885% 0.073% 0.043%)  'm not, to use                                                                                                                -----------cdeeefkkmnpruuw'!
    12,463 0* 0.00000% (99.885% 0.073% 0.043%)   wound up,                                                                                                                    -----------ceeeefkkmmnorsttu''!
    12,464 0* 0.00000% (99.885% 0.073% 0.043%)  'm up of                                                                                                                      -----------cdeeeekkmnnorsttuuw',!
    12,465 0* 0.00000% (99.885% 0.073% 0.043%)  'm done fu                                                                                                                    -----------ceeekkmnoprsttuuw',!
    12,466 0* 0.00000% (99.885% 0.073% 0.043%)  'd root                                                                                                                       -----------ceeeefkkmmnnpstuuuw',!
    12,467 0* 0.00000% (99.885% 0.073% 0.043%)  'm down for ut                                                                                                                -----------ceeeekkmnpstuu',!
    12,468 0* 0.00000% (99.885% 0.073% 0.043%)   for one'd                                                                                                                    -----------ceeekkmmnpsttuuuw',!
    12,469 0* 0.00000% (99.885% 0.073% 0.043%)   know some f                                                                                                                  -----------cdeeekmnprttuuu'',!
    12,470 0* 0.00000% (99.885% 0.073% 0.043%)  e, count                                                                                                                      -----------deeefkkmmnoprstuuw''!
    12,471 0* 0.00000% (99.885% 0.073% 0.043%)  e, count me                                                                                                                   -----------deefkkmnoprstuuw''!
    12,472 0* 0.00000% (99.885% 0.073% 0.043%)  'm me to                                                                                                                      -----------cdeeefkknnoprstuuuw',!
    12,473 0* 0.00000% (99.885% 0.073% 0.043%)  'm so woke up                                                                                                                 -----------cdeeefkmnnrttuu',!
    12,474 0* 0.00000% (99.885% 0.073% 0.043%)   wrote me                                                                                                                     -----------cdeefkkmnnopstuuu'',!
    12,475 0* 0.00000% (99.885% 0.073% 0.043%)  ''m from                                                                                                                      -----------cdeeeekknnopsttuuuw,!
    12,476 0* 0.00000% (99.885% 0.073% 0.043%)   see future generations now, c                                                                                                dekkmmnoptu''!
    12,477 0* 0.00000% (99.885% 0.073% 0.043%)   don't puke for                                                                                                               -----------ceeekmmnstuuw',!
    12,478 0* 0.00000% (99.885% 0.073% 0.043%)  'm up for te                                                                                                                  -----------cdeeekkmnnostuuw',!
    12,479 0* 0.00000% (99.885% 0.073% 0.043%)  'm spoken for, '                                                                                                              -----------cdeeekmnttuuuw!
    12,480 0* 0.00000% (99.885% 0.073% 0.043%)  'm one tempt                                                                                                                  -----------cdeefkknorsuuuw',!
    12,481 0* 0.00000% (99.885% 0.073% 0.043%)  'd count e'em up                                                                                                              -----------eefkkmnorstuw,!
    12,482 0* 0.00000% (99.885% 0.073% 0.043%)  'm spoken fo                                                                                                                  -----------cdeeekmnrttuuuw',!
    12,483 0* 0.00000% (99.885% 0.073% 0.043%)  'm spoken fo'                                                                                                                 -----------cdeeekmnrttuuuw,!
    12,484 0* 0.00000% (99.885% 0.073% 0.043%)  'm spoken fo' generations                                                                                                     cdeeekmnrttuuuw,!
    12,485 0* 0.00000% (99.885% 0.073% 0.043%)  'm spoken fo'!                                                                                                                -----------cdeeekmnrttuuuw,
    12,486 0* 0.00000% (99.885% 0.073% 0.043%)   recommend generations keep                                                                                                   fknosttuuuw'',!
    12,487 0* 0.00000% (99.885% 0.073% 0.043%)  'm sure generations of punct                                                                                                  deeekkmnotuw',!
    12,488 0* 0.00000% (99.885% 0.073% 0.043%)  'm one sucker,                                                                                                                -----------deefkmnopttuuw'!
    12,489 0* 0.00000% (99.885% 0.073% 0.043%)   know, from up                                                                                                                -----------cdeeeekmnsttuu''!
    12,490 0* 0.00000% (99.885% 0.073% 0.043%)  'm free to come,                                                                                                              -----------dekknnpstuuuw'!
    12,491 0* 0.00000% (99.885% 0.073% 0.043%)  'm on poet                                                                                                                    -----------cdeeefkkmnrstuuuw',!
    12,492 0* 0.00000% (99.885% 0.073% 0.043%)   produce new                                                                                                                  -----------eefkkmmnosttuu'',!
    12,493 0* 0.00000% (99.885% 0.073% 0.043%)   produce new generations                                                                                                      eefkkmmnosttuu'',!
    12,494 0* 0.00000% (99.885% 0.073% 0.043%)   produce new generations of                                                                                                   eekkmmnsttuu'',!
    12,495 0* 0.00000% (99.885% 0.073% 0.043%)   sure need                                                                                                                    -----------cefkkmmnoopttuuw'',!
    12,496 0* 0.00000% (99.885% 0.073% 0.043%)  'd count poet                                                                                                                 -----------eeefkkmmnrsuuw',!
    12,497 0* 0.00000% (99.885% 0.073% 0.043%)  'm super fo'                                                                                                                  -----------cdeeekkmnnottuuw,!
    12,498 0* 0.00000% (99.885% 0.073% 0.043%)  'm turt                                                                                                                       -----------cdeeeefkkmnnoopsuuw',!
    12,499 0* 0.00000% (99.885% 0.073% 0.043%)  'm free to consume                                                                                                            -----------dekknptuuw',!
    12,500 0* 0.00000% (99.885% 0.073% 0.043%)  'm knocked up, met                                                                                                            -----------eefnorstuuw'!
    12,501 0* 0.00000% (99.885% 0.073% 0.043%)  , come on                                                                                                                     -----------deeefkkmnprsttuuuw''!
    12,502 0* 0.00000% (99.885% 0.073% 0.043%)  'm suck,                                                                                                                      -----------deeeefkmnnooprttuuw'!
    12,503 0* 0.00000% (99.885% 0.073% 0.043%)  'm fo' true                                                                                                                   -----------cdeeekkmnnopstuuw,!
    12,504 0* 0.00000% (99.885% 0.073% 0.043%)  'm don't fuck                                                                                                                 -----------eeeekmnoprstuuw,!
    12,505 0* 0.00000% (99.885% 0.073% 0.043%)  'm due up now                                                                                                                 -----------ceeefkkmnorsttu',!
    12,506 0* 0.00000% (99.885% 0.073% 0.043%)  'm due up now,                                                                                                                -----------ceeefkkmnorsttu'!
    12,507 0* 0.00000% (99.885% 0.073% 0.043%)   mores                                                                                                                        -----------cdeeefkkmnnopttuuuw'',!
    12,508 0* 0.00000% (99.885% 0.073% 0.043%)   trumpet                                                                                                                      -----------cdeeefkkmnnoosuuw'',!
    12,509 0* 0.00000% (99.885% 0.073% 0.043%)  'm one twe                                                                                                                    -----------cdeefkkmnoprstuuu',!
    12,510 0* 0.00000% (99.885% 0.073% 0.043%)   don't top                                                                                                                    -----------ceeeefkkmmnrsuuuw',!
    12,511 0* 0.00000% (99.885% 0.073% 0.043%)  'd count pro                                                                                                                  -----------eeeefkkmmnstuuw',!
    12,512 0* 0.00000% (99.885% 0.073% 0.043%)  'm so counter                                                                                                                 -----------deeefkkmnptuuw',!
    12,513 0* 0.00000% (99.885% 0.073% 0.043%)  'm not, some                                                                                                                  -----------cdeeefkknprtuuuw'!
    12,514 0* 0.00000% (99.885% 0.073% 0.043%)  'm no compet                                                                                                                  -----------deeefkknrstuuuw',!
    12,515 0* 0.00000% (99.885% 0.073% 0.043%)   know future d                                                                                                                -----------ceeekmmnopstu'',!
    12,516 0* 0.00000% (99.885% 0.073% 0.043%)  'm counted up so                                                                                                              -----------eeefkkmnrtuw',!
    12,517 0* 0.00000% (99.885% 0.073% 0.043%)  'm enr                                                                                                                        -----------cdeeefkkmnoopsttuuuw',!
    12,518 0* 0.00000% (99.885% 0.073% 0.043%)  'm more sun                                                                                                                   -----------cdeeefkknopttuuw',!
    12,519 0* 0.00000% (99.885% 0.073% 0.043%)  'm me, sucker                                                                                                                 -----------deefknnoopttuuw'!
    12,520 0* 0.00000% (99.885% 0.073% 0.043%)  'm me, sucker!                                                                                                                -----------deefknnoopttuuw'
    12,521 0* 0.00000% (99.885% 0.073% 0.043%)  'm not up for d                                                                                                               -----------ceeeekkmnstuuw',!
    12,522 0* 0.00000% (99.885% 0.073% 0.043%)  'm set, future me                                                                                                             -----------cdekknnoopuw'!
    12,523 0* 0.00000% (99.885% 0.073% 0.043%)  'm set, future me!                                                                                                            -----------cdekknnoopuw'
    12,524 0* 0.00000% (99.885% 0.073% 0.043%)  'm now mut                                                                                                                    -----------cdeeeefkknoprstuu',!
    12,525 0* 0.00000% (99.885% 0.073% 0.043%)  'm now mutter                                                                                                                 -----------cdeeefkknopsuu',!
    12,526 0* 0.00000% (99.885% 0.073% 0.043%)  'd sure count,                                                                                                                -----------eeefkkmmnoptuw'!
    12,527 0* 0.00000% (99.885% 0.073% 0.043%)   don't use work                                                                                                               -----------ceeefkmmnptuu',!
    12,528 0* 0.00000% (99.885% 0.073% 0.043%)  'm come upon,                                                                                                                 -----------deeefkknrsttuuw'!
    12,529 0* 0.00000% (99.885% 0.073% 0.043%)   must free                                                                                                                    -----------cdeekkmnnooptuuw'',!
    12,530 0* 0.00000% (99.885% 0.073% 0.043%)  'm so dement                                                                                                                  -----------ceefkknoprtuuuw',!
    12,531 0* 0.00000% (99.885% 0.073% 0.043%)  'm keen, for                                                                                                                  -----------cdeekmnopsttuuuw'!
    12,532 0* 0.00000% (99.885% 0.073% 0.043%)   must, for once                                                                                                               -----------deeekkmnptuuw''!
    12,533 0* 0.00000% (99.885% 0.073% 0.043%)   wrote, '                                                                                                                     -----------cdeeefkkmmnnopstuuu'!
    12,534 0* 0.00000% (99.885% 0.073% 0.043%)  'm so comed                                                                                                                   -----------eeefkknnprttuuuw',!
    12,535 0* 0.00000% (99.885% 0.073% 0.043%)  'm up for new,                                                                                                                -----------cdeeekkmnosttuu'!
    12,536 0* 0.00000% (99.885% 0.073% 0.043%)  'm not fucked or                                                                                                              -----------eeekmnpstuuw',!
    12,537 0* 0.00000% (99.885% 0.073% 0.043%)  'd tee up some                                                                                                                -----------cefkkmnnortuuw',!
    12,538 0* 0.00000% (99.885% 0.073% 0.043%)  'd come for me                                                                                                                -----------eekknnpsttuuuw',!
    12,539 0* 0.00000% (99.885% 0.073% 0.043%)  'd count 'em po                                                                                                               -----------eeefkkmnrstuuw,!
    12,540 0* 0.00000% (99.885% 0.073% 0.043%)   spent our                                                                                                                    -----------cdeeefkkmmnotuuw'',!
    12,541 0* 0.00000% (99.885% 0.073% 0.043%)   once re                                                                                                                      -----------deefkkmmnopsttuuuw'',!
    12,542 0* 0.00000% (99.885% 0.073% 0.043%)   must of                                                                                                                      -----------cdeeeekkmnnoprtuuw'',!
    12,543 0* 0.00000% (99.885% 0.073% 0.043%)  'm due to,                                                                                                                    -----------ceeefkkmnnoprstuuw'!
    12,544 0* 0.00000% (99.885% 0.073% 0.043%)  'm due to, um                                                                                                                 -----------ceeefkknnoprstuw'!
    12,545 0* 0.00000% (99.885% 0.073% 0.043%)  'm due up for one,                                                                                                            -----------ceekkmnsttuw'!
    12,546 0* 0.00000% (99.885% 0.073% 0.043%)  'd sum up to                                                                                                                  -----------ceeeefkkmnnortuw',!
    12,547 0* 0.00000% (99.885% 0.073% 0.043%)  'm open for cut                                                                                                               -----------deeekkmnstuuw',!
    12,548 0* 0.00000% (99.885% 0.073% 0.043%)  'm more open,                                                                                                                 -----------cdeefkknsttuuuw'!
    12,549 0* 0.00000% (99.885% 0.073% 0.043%)  'd sue, too!                                                                                                                  -----------ceeefkkmmnnprtuuw'
    12,550 0* 0.00000% (99.885% 0.073% 0.043%)   rescued one                                                                                                                  -----------efkkmmnopttuuw'',!
    12,551 0* 0.00000% (99.885% 0.073% 0.043%)  'm generations proud of                                                                                                       ceeeekkmnnsttuuw',!
    12,552 0* 0.00000% (99.885% 0.073% 0.043%)  'd put m'                                                                                                                     -----------ceeeefkkmnnoorstuuw,!
    12,553 0* 0.00000% (99.885% 0.073% 0.043%)   pun'd!                                                                                                                       -----------ceeeefkkmmnoorsttuuw',
    12,554 0* 0.00000% (99.885% 0.073% 0.043%)  'd rock out,                                                                                                                  -----------eeeefkmmnnpstuuw'!
    12,555 0* 0.00000% (99.885% 0.073% 0.043%)   don't use more                                                                                                               -----------ceefkkmnptuuw',!
    12,556 0* 0.00000% (99.885% 0.073% 0.043%)  'm down up                                                                                                                    -----------ceeeefkkmnorsttuu',!
    12,557 0* 0.00000% (99.885% 0.073% 0.043%)   won't der                                                                                                                    -----------ceeefkkmmnopstuuu',!
    12,558 0* 0.00000% (99.885% 0.073% 0.043%)  'm out, knock                                                                                                                 -----------deeeefmnprstuuw'!
    12,559 0* 0.00000% (99.885% 0.073% 0.043%)  'm 'more                                                                                                                      -----------cdeeefkknnopsttuuuw,!
    12,560 0* 0.00000% (99.885% 0.073% 0.043%)  'm on rocket                                                                                                                  -----------deeefkmnpstuuuw',!
    12,561 0* 0.00000% (99.885% 0.073% 0.043%)   sure won't mo                                                                                                                -----------cdeeefkkmnptuu',!
    12,562 0* 0.00000% (99.885% 0.073% 0.043%)   seen'                                                                                                                        -----------cdeefkkmmnooprttuuuw',!
    12,563 0* 0.00000% (99.885% 0.073% 0.043%)   often work                                                                                                                   -----------cdeeekmmnpstuuu'',!
    12,564 0* 0.00000% (99.885% 0.073% 0.043%)   freed generations to                                                                                                         ceekkmmnnopstuuuw'',!
    12,565 0* 0.00000% (99.885% 0.073% 0.043%)   freed generations to come                                                                                                    ekkmnnpstuuuw'',!
    12,566 0* 0.00000% (99.885% 0.073% 0.043%)   freed generations to come!                                                                                                   ekkmnnpstuuuw'',
    12,567 0* 0.00000% (99.885% 0.073% 0.043%)   freed generations to come,                                                                                                   ekkmnnpstuuuw''!
    12,568 0* 0.00000% (99.885% 0.073% 0.043%)   put women                                                                                                                    -----------cdeeefkkmnorstuu'',!
    12,569 0* 0.00000% (99.885% 0.073% 0.043%)  'm open to rem                                                                                                                -----------cdeefkknstuuuw',!
    12,570 0* 0.00000% (99.885% 0.073% 0.043%)   knocked some                                                                                                                 -----------eefmnprttuuuw'',!
    12,571 0* 0.00000% (99.885% 0.073% 0.043%)  'm not s'c                                                                                                                    -----------deeeefkkmnoprtuuuw,!
    12,572 0* 0.00000% (99.885% 0.073% 0.043%)   know, totes!                                                                                                                 -----------cdeeefkmmnpruuu''
    12,573 0* 0.00000% (99.885% 0.073% 0.043%)  'm future generations, spoken                                                                                                 cdeekmnotuw'!
    12,574 0* 0.00000% (99.885% 0.073% 0.043%)   presume, generations                                                                                                         cdeefkkmnnoottuuw''!
    12,575 0* 0.00000% (99.885% 0.073% 0.043%)  'm not sure 'dec                                                                                                              -----------eefkkmnoptuuw,!
