FOR WHAT I CAN ONLY DESCRIBE AS "AWESOME REASONS"
236.19%:  REASONS
0.21%:  A HORSE SECRET
0.21%:  CHESS FOR
0.21%:  AN EARLIER THAN
0.21%:  STABLE AND
0.21%:  CAN
0.21%:  NEW FRIENDS
0.21%:  A HORSE AND ALSO
0.21%:  SOMEONE WHO
0.21%:  A SECRET CHE
0.21%:  SECRETS OF
0.21%:  SOME HORSE RE
0.21%:  FOR HORSE TIME
0.21%:  SOME WATER
0.21%:  STABLE CON
0.21%:  A HORSE MAN
0.21%:  CHESS RELATED REASONS MAN
0.21%:  SOME ST
0.21%:  CHESS REASONS OR
0.21%:  FOR MY HORSE NEEDS TO
0.21%:  OTHER NEEDS
0.21%:  HORSE RELATED REASONS IN
0.21%:  HORSES AND CAR
0.21%:  MY CHESS TRAIN
0.21%:  A LESSON ON
0.20%:  HORSES AND REASONS
0.20%:  A NICE
0.38%:  A NICE RIDE
0.31%:  A NICE HORSE
0.23%:  A NICE HORSE RIDE
0.20%:  FOR THE REASONS
1.07%:  FOR THE REASONS ALREADY
0.42%:  FOR THE REASONS ALREADY M
0.20%:  AWESOME RID
0.20%:  FOR MY HORSE IS
0.20%:  S
0.20%:  A HORSE DEAL
0.20%:  FOR CHEESE REASONS
0.20%:  FOR MY LESSON IN
0.20%:  FOR A BOARD
0.20%:  HORSE MONEY
0.20%:  A BIT
0.81%:  A BIT OF HORSE
0.20%:  CHEE
0.20%:  FOR A DANCE LESSON WITH A
0.20%:  CHESS RELATED REASONS IN
0.20%:  FOR MY H
0.20%:  A REALITY
0.20%:  HORSEY SCIENCE
0.20%:  FOR HORSE NEEDS
0.20%:  FOR CHESS RID
0.20%:  SOME REASON THE WORD
0.20%:  A RACE BETWEEN
0.20%:  ONE LAST RIDE BEFORE
0.20%:  MOR
0.27%:  MORAL REASON
0.20%:  SOME REASONS I
0.78%:  SOME REASONS I CANNOT
0.60%:  SOME REASONS I CANNOT DESCR
0.40%:  SOME REASONS I CANNOT DIS
0.20%:  FOR A CERTAIN SOMEONE
0.20%:  AN "
0.20%:  SOME HORSE AND
0.20%:  REL
0.20%:  A HORSE NAMED BEN
0.20%:  A REL
0.20%:  REASONS OF HORSE RELATED
0.20%:  FOR ONE LAST
0.20%:  FOR SOME HOR
9.09%:  FOR SOME HORSEY REASONS
0.20%:  FOR HORSE IDEAS
0.20%:  HORSE TO
0.20%:  CHESS REASONS OF MY
0.20%:  A HORSE NAMED BAR
0.20%:  ANOTHER REASONS
0.20%:  ONE LAST RACE
0.19%:  FORT
0.19%:  HORSE COMICS REASONS
0.19%:  FOR CHESS TIME
0.19%:  RANDOM CHESS ACTION
0.19%:  CHAIR
0.19%:  FOR SOME REASON REASONS
0.19%:  MY HORSE TRAIN
0.19%:  ONE REASON OR THE
0.19%:  TWO REASONS
0.19%:  STABLE REASONS I DON
0.19%:  A SCIENCE FAIR
0.19%:  FOR A HORSE MEDICAL
0.19%:  A HORSE NAMED WALTER
0.19%:  ERR
0.19%:  FOR SOME WATER
0.19%:  FOR A SOCIAL
0.19%:  CHESS CLIN
0.19%:  SOME HORSE RELATED REASONS IN
0.19%:  FOR MY HORSE SCIENCE
0.19%:  A CONCERT
0.19%:  HORSES NEED TO
0.19%:  FOR A CLASS
0.19%:  SOME REASON I FOR
0.19%:  SOME REASONS I CANNOT SAY
0.19%:  FOR A MEDICAL
0.33%:  FOR A MEDICAL REASON
0.19%:  SH
0.19%:  CHEER
0.18%:  SENSE REASONS
0.18%:  LIBRARY TIME
0.18%:  REASONS I WON
0.18%:  OTHER REASONS I MEAN
0.18%:  A HORSE I
0.18%:  FOR MY CHESS TO
0.18%:  TO LEARN
0.21%:  TO LEARN HOW
0.18%:  HORSES OF A
0.18%:  REASONS I CAN ONLY
0.86%:  REASONS I CAN ONLY DESCR
8.54%:  REASONS I CAN ONLY DESCRIBE AS "HOR
0.78%:  REASONS I CAN ONLY DESCRIBE AS "THE
0.53%:  REASONS I CAN ONLY DESCRIBE AS "H
0.49%:  REASONS I CAN ONLY DESCRIBE AS "FOR
0.58%:  REASONS I CAN ONLY DESCRIBE AS "FOR THE
0.48%:  REASONS I CAN ONLY DESCRIBE AS HOR
0.41%:  REASONS I CAN ONLY DESCRIBE AS THOR
0.40%:  REASONS I CAN ONLY DESCRIBE AS "THOR
0.35%:  REASONS I CAN ONLY DESCRIBE AS "A
0.34%:  REASONS I CAN ONLY DESCRIBE AS "FR
0.34%:  REASONS I CAN ONLY DESCRIBE AS "TO
0.33%:  REASONS I CAN ONLY DESCRIBE AS "OTHER
0.32%:  REASONS I CAN ONLY DESCRIBE AS THE
0.31%:  REASONS I CAN ONLY DESCRIBE AS "RE
0.28%:  REASONS I CAN ONLY DESCRIBE AS A
0.25%:  REASONS I CAN ONLY DESCRIBE AS "ETH
0.24%:  REASONS I CAN ONLY DESCRIBE AS MOR
0.23%:  REASONS I CAN ONLY DESCRIBE AS "TR
0.20%:  REASONS I CAN ONLY DESCRIBE AS "MORE
0.19%:  REASONS I CAN ONLY DESCRIBE AS OTHER
0.18%:  REASONS I CAN ONLY DESCRIBE AS "EM
0.18%:  REASONS I CAN ONLY DESCRIBE AS "R
0.18%:  TO SEE
0.18%:  FOR CHESS REASONS ONLY
0.18%:  SOME HORSE TR
0.18%:  HORSE REASONS I
0.22%:  HORSE REASONS I CANNOT
0.18%:  A HORSE IN
0.18%:  CHEERS REASONS
0.18%:  HORSE T
0.52%:  HORSE TALES
0.18%:  FOR NO REASON WHATS
0.18%:  AN ESSAY
0.18%:  STABLE REASONS OF
0.25%:  STABLE REASONS OF HORSE
0.18%:  FOR AN ANIMAL
0.18%:  REASONS I CAN ONLY DESCRIBE AS "TA
0.18%:  SHINY
2.69%:  SHINY REASONS
0.18%:  DRAMA
0.38%:  DRAMA REASONS
0.18%:  LESSON
0.30%:  LESSON TIME
0.18%:  A LESSON WITH A
0.42%:  A LESSON WITH A FRIEND
0.18%:  HORSE MANNER REASONS
0.18%:  AN HORSE RACE
0.18%:  STABLE AWESOME
2.56%:  STABLE AWESOME REASONS
0.18%:  HORSES ARE MY LIFE
0.18%:  STABLE AND HORSE
0.18%:  SOME REASON I ALREADY
0.18%:  FOR TEA
0.18%:  A SECRET HORSE DANCE
0.18%:  STABLE AND REASON
0.18%:  A BRIEF LESSON
0.18%:  A MEET
0.18%:  HORSE R
0.18%:  HORSES TO RIDE
0.18%:  A SECRET AND AWESOME
0.18%:  A MEET AND
0.18%:  MY HORSE IS LATE
0.24%:  MY HORSE IS LATE FOR
0.18%:  FOR DRESS
0.18%:  FOR "
0.69%:  FOR "REASONS
0.18%:  FOR MY HORSE "
0.17%:  FORTY SECON
0.17%:  A SECRET REL
0.17%:  A LESSON IN HOW
0.17%:  FOR REASONS I CANNOT CLAR
0.17%:  FOR REASONS I DON
0.17%:  FOR A HORSE MAN
0.17%:  FOR A HORSE REASONS
0.17%:  HORSE RACE BET
0.17%:  HORSE TENSION
0.17%:  A HORSE NAMED R
0.17%:  RACIAL HORSE REASONS
0.17%:  FOR SOME TEA
0.17%:  IN
0.17%:  REASONS I NEED
0.23%:  REASONS I NEED NOT
0.17%:  HORSE FE
0.19%:  HORSE FEEDS
0.17%:  SOME REASONS I CANNOT SHARE
0.17%:  LIFE COACH
0.17%:  SOME STABLE REASONS I
0.17%:  STABLE MAN
0.17%:  THE ONLY
1.00%:  THE ONLY REASON I
0.57%:  THE ONLY REASON A
0.17%:  MANLY
0.17%:  REASONS I CAN ONLY DESCRIBE AS "MOR
0.17%:  FOR A SHORT
0.17%:  RIDE
0.56%:  RIDE REASONS
0.17%:  "CHE
0.17%:  CHESS RELATED REASONS I MEAN
0.17%:  CHESS R
0.17%:  SOME STABLE REASONS I CAN
0.17%:  FOR CHESS MEET
0.17%:  A HORSE RID
0.17%:  A CERTAIN RIDE
0.17%:  FOR RIDES
0.17%:  SOME R
0.17%:  SOME SECRET RID
0.17%:  AN EARLY
0.18%:  AN EARLY HORSE
0.17%:  MY HORSE AND ALSO
0.23%:  MY HORSE AND ALSO FOR
0.17%:  AN INFORM
0.17%:  BAD
0.29%:  BAD HORSE
2.40%:  BAD HORSE REASONS
0.17%:  MY CHESS TO
0.17%:  SHADOW
0.17%:  A RIDE ON HORSE
0.16%:  FOR SOME HORSE REASONS I
0.20%:  FOR SOME HORSE REASONS I CAN
0.16%:  MORE REASONS THAN I CAN DIS
0.16%:  FOR AWESOME CH
0.16%:  FOR MY CHE
0.16%:  "SCIENCE
0.16%:  MY NEW FRIEND HORSE
0.16%: FOR SCIENCE
0.16%:  A HORSE AND A MAN
0.16%:  SOME STR
0.16%:  MEET
0.16%:  FOR A RIDE ON A
0.16%:  FOR SOME REASONS I DON
0.16%:  OTHER MEDICAL
0.16%:  SOME REAL HORSE ACTION
0.16%:  FOR A HORSE I
0.16%:  TWO HORSE
0.16%:  ANY REASON I WISH
0.16%:  SOME TEA
0.16%:  AWESOME CHE
0.16%:  CHESS REASONS MAY
0.16%:  OTHER REASONS I WON
0.16%:  MY OTHER BOARD
0.16%:  FOR A SECOND HORSE
0.16%:  SOMEONE TO
0.16%:  HORSE RELATED REASONS OF A
0.16%:  SOME REASON OH
0.16%:  A "
0.16%:  THIS
0.16%:  FOR HORSE REASONS I
0.25%:  FOR HORSE REASONS I CANNOT
0.16%:  SOME REASON IN THE
0.16%:  SOME "HOR
0.31%:  SOME "HORSE REASONS
0.16%:  FOR MEDICAL REASONS OR
0.16%:  FOR MORE REASONS THAN CAN
0.28%:  FOR MORE REASONS THAN CAN BE SAID
0.16%:  ONE MORE
0.16%:  RACIAL REASON
0.16%: CHE
0.16%:  MY LESSON IN
0.16%:  A HORSE AND ALSO FOR
0.16%:  FOR HORSE REASONS I CANNOT DIS
0.16%:  A SECRET MAN
0.16%:  RANCH
0.16%:  SCIENCE AND
0.16%:  FOR A CONCERT
0.16%:  A HORSE NAMED "TA
0.16%:  ANIMALS
0.32%:  ANIMALS REASONS
0.16%:  A RACE HORSE
0.16%:  FOR A SECRET AND AWESOME
0.16%:  MORE REASONS THAN CAN
0.26%:  MORE REASONS THAN CAN BE DESCR
0.21%:  MORE REASONS THAN CAN BE SAID
0.16%:  HORSE TRO
0.16%:  A BRIEF CHAT
0.16%:  REASONS I CANNOT CLARIFY HERE
0.16%:  A MEDICAL
0.16%:  MONEY
0.20%:  MONEY REASONS
0.16%:  CHA
0.16%:  A HORSE NAMED S
0.16%:  FOR SOME REASON WHAT
0.16%:  A HORSE NAMED BOOTS
0.15%: HORSE REASON
0.15%:  FOR SCHOOL
0.15%:  A HORSE TO RIDE
0.15%:  BALANCE
1.52%:  BALANCE REASONS
0.15%:  STABLE REASONS CONCERN
0.15%:  WORLD
0.15%:  THE WORLD
0.51%:  THE WORLD SERIES
0.15%:  FOR SOME "HOR
0.40%:  FOR SOME "HORSE REASONS
0.15%:  REASONS I CAN NOT
0.15%:  REASONS I CAN ONLY DESCRIBE AS "MET
0.15%:  HORSE SC
0.15%:  FOR SOME REASON WITH
0.15%:  A HORSE NAMED SALT
0.15%:  CHESS TEAM
0.15%:  A SECRET DISC
0.15%:  SOME SORT
0.15%:  ERRAND
0.15%:  FOR SOME RIDES
0.15%:  REASONS I CANNOT DESCRIBE FOR
0.15%:  A HORSE NAMED BON
0.15%:  THIS REASON
0.15%:  STABLE REASONS AND HORSE
0.15%:  FEMALE
2.31%:  FEMALE REASONS
0.33%:  FEMALE HORSE
0.15%:  HORSE FOOD
0.15%:  MY HORSE CAN
0.15%:  FOR SECRET REASONS I
0.25%:  FOR SECRET REASONS I CAN
0.15%:  A BRIEF RIDE
0.15%:  MANY HORSE
1.48%:  MANY HORSE REASONS
0.15%:  DIS
0.15%:  FOR HORSE REASONS I CAN
0.15%:  HORSES TO LEARN
0.15%:  A CERTAIN HORSE NEEDS
0.15%:  A HORSE NAMED T
0.15%:  REASONS I CAN ONLY DESCRIBE AS R
0.15%:  STABLE RE
0.15%:  SECRET RID
0.15%:  I CAN
0.16%:  I CAN ONLY
0.22%:  I CAN ONLY DESCR
2.71%:  I CAN ONLY DESCRIBE AS REASONS
1.20%:  I CAN ONLY DESCRIBE AS "HOR
0.71%:  I CAN ONLY DESCRIBE THEM
1.78%:  I CAN ONLY DESCRIBE THEM AS REASONS
0.30%:  I CAN ONLY DESCRIBE AS A
0.24%:  I CAN ONLY DESCRIBE WHAT
0.16%:  I CAN ONLY DESCRIBE AS THE
0.15%:  A HORSE NAMES
0.15%:  A LESSON FROM
0.15%:  HORSES I NEED
0.15%:  NON HORSE RELATED REASONS MY
0.15%:  I CAN ONLY DESCRIBE AS THE REASONS
0.15%:  WHAT ARE
0.15%:  ANOTHER CLASS OF BOARD
0.15%:  FOR A SECRET MAN
0.15%:  STABLE REASONS I NEED
0.15%:  SC
0.15%:  FOR SOME HORSE REASONS I NEED
0.15%:  AN IDEA
0.15%:  ANOTHER MAN
0.15%:  HORSE REASONS I CANNOT DESCR
0.15%:  FOR ONE SECOND
0.15%:  FOR MY SECRET SECOND
0.15%:  HORSE DANCE
0.15%:  A HORSE NEEDS TO BE
0.15%:  MORE CHESS RELATED
0.15%:  SOME REASON I HAD
0.15%:  FOR MY HORSES AND
0.15%:  FOR MY NEW HORSE AND
0.15%:  FOR AN EARL
0.15%:  STABLE NEWS REASONS
0.15%:  AN INT
0.15%:  REASONS I CAN ONLY DESCRIBE AS H
0.15%:  TO LEARN HORSE
0.14%:  REALITY
0.14%:  REASONS I CAN ONLY DESCRIBE AS "FORT
0.14%:  A HORSE NAME
0.14%:  A SECRET REASON I WON
0.14%:  REASONS I CAN ONLY DESCRIBE AS MET
0.14%:  FOR A SECRET DISC
0.14%:  FOR OTHER REASONS MAY
0.14%:  FOR WHAT
0.17%:  FOR WHAT REASON
0.15%:  FOR WHAT REASONS
0.14%:  HORSE TENSION REASONS
0.14%:  A HORSE NAMED AR
0.14%:  SOME HORSE RACE ACTION
0.14%:  REASONS I CAN ONLY DESCRIBE AS MOT
0.14%:  FOR MORE THAN
0.14%:  THE ONLY REASON WE
0.14%:  OTHER REASONS OF MINE
0.14%:  SOME HORSE REASONS OF
0.14%:  A WHOLE SERIES
6.42%:  A WHOLE SERIES OF REASONS
0.14%:  CHESS OR
0.14%:  A HORSE FRIEND NAM
0.14%:  HORSE MAIL
0.14%:  HORSE REASONS I CANNOT DIS
0.14%:  FOR CHESS LE
0.14%:  FOR SOME HORSE AND
0.14%:  FOR CHESS AND
0.14%:  FOR A HORSE NAMED BEN
0.14%:  FOR RACE
0.14%:  SOME RES
0.14%:  FOR MY HORSES TO
0.14%:  SOME STABLE CH
0.14%:  AN ARTICLE ON
0.63%:  AN ARTICLE ON HORSE
0.14%:  HORSES NEED CARE
0.14%:  A CLASS ACTION
0.14%:  A HORSE NAMED SCIENCE
0.14%:  FOR OTHER REASONS I
0.25%:  FOR OTHER REASONS I CAN
0.14%:  "SOME HORSE RELATED
1.74%:  "SOME HORSE RELATED REASONS
0.14%:  REASONS I CANNOT RE
0.14%:  HORSES NEED TO BE
0.14%:  SCENES
0.14%:  FOR HOR
0.27%:  FOR HORSEY
0.14%:  OTHER ANIMALS
0.14%:  FOR SOME ST
0.16%:  FOR SOME STABLE CH
0.16%:  FOR SOME STABLE REASONS I
0.14%:  FOR A RIDE ON MY NEW
0.14%:  DATA SCIENCE
0.14%:  FOR OTHER REASONS MAN
0.14%:  CHESS REL
0.14%:  A HORSE NAMED B
0.14%:  A MAN
0.14%:  A HORSE NAMED ST
0.14%:  A HORSE FRIEND I
0.14%:  CHESS ALREADY
0.14%:  MATH
0.71%:  MATH REASONS
0.52%:  MATH CLASS
0.14%:  FOR SOME REASONS I NEED
0.14%:  A LESSON IN CHE
0.14%:  FOR SOME REASON A
0.14%:  SECRET CHEES
0.14%:  REAL THIS
0.14%:  HORSEY SCIENCE REASONS
0.14%:  A HORSE TO RACE
0.14%:  FOR SOME SECRET REASONS AND
0.14%:  A SECRET HORSE COM
0.14%:  SOME HORSE R
0.14%:  FOR RANDOM REASONS I
0.14%:  CHESS RELATED REASONS NOW
0.14%:  REASONS OF SCIENCE AND
0.14%:  A CHESS DATE
0.14%:  A CHESS FRIEND
0.13%:  OH
0.13%:  FOR MORE REASONS THAN I CAN DIS
0.13%:  COMICS
1.34%:  COMICS REASONS
0.13%:  FOR SOME STABLE REASONS I CAN
0.13%:  MY HORSE NEEDS TO BE
0.13%:  SOME HORSE REASONS I NEED
0.13%:  MANLY HORSE
1.56%:  MANLY HORSE REASONS
0.13%:  STABLE RID
0.13%:  MY SECRET WE
0.13%:  HORSE DR
0.21%:  HORSE DRAMA
0.13%:  HORSE RE
0.13%:  RACE DAY
0.13%:  HORSES AND MORE
0.13%:  HORSE D
0.13%:  MY H
0.27%:  MY HORSES ARE
0.13%:  NEW IDEAS
0.13%:  A SECRET HORSE CON
0.13%:  SOME HORSE RACE BET
0.13%:  SOME REASON WEIRD
0.14%:  SOME REASON WEIRD REASONS
0.13%:  FOR A REAL
0.13%:  REASONS NOT
0.13%:  RACIST
0.13%:  FOR WH
0.13%:  SOME REASON I HEAR
0.13%:  FOR MY LESSON IN CH
0.13%:  HORSES NEED ME TOO
0.13%:  FOR THE ANIMALS
0.13%:  FOR SOME REASON WE CAN
0.13%:  "CHESS" RELATED
0.13%:  FOR SOME REASON IN THE
0.13%:  SCIENCE OR
0.13%:  NEW CH
0.23%:  NEW CHESS BOARD
0.18%:  NEW CHESS BOARD REASONS
0.13%:  I MEAN
0.13%:  A SERIES
0.83%:  A SERIES OF REASONS
0.15%:  A SERIES OF MEET
0.13%:  A SERIES OF CH
0.13%:  CHESS OF
0.13%:  OTHER REASONS I CAN ONLY
0.45%:  OTHER REASONS I CAN ONLY DESCR
0.23%:  OTHER REASONS I CAN ONLY DESCRIBE AS "A
0.19%:  OTHER REASONS I CAN ONLY DESCRIBE AS A
0.15%:  OTHER REASONS I CAN ONLY DESCRIBE AS "EM
0.13%:  OTHER REASONS I CAN ONLY DESCRIBE AS "E
0.13%:  SOME REASONS I DON
0.13%:  THE SAME
0.55%:  THE SAME REASONS
0.42%:  THE SAME REASON I
0.13%:  CHESS REASONS I DON
0.13%:  FOR MY OWN SECRET CH
0.13%:  HORSE IN
0.13%:  A NICE HORSE RACE
0.13%:  CHESS COM
0.13%:  HORSE AND MAN
0.13%:  ANOTHER DANCE
0.13%:  FOR MY COACH
0.13%:  HORSE RELATED REASONS I MEAN
0.13%:  THE SAME REASON I CAN
0.13%:  I CAN ONLY DESCRIBE AS "H
0.13%:  REASONS I CAN ONLY DESCRIBE AS "T
0.13%:  HORSE ACTIONS
0.13%:  A MISSION
0.13%:  CHESS I MEAN
0.13%:  FOR NO REASON I
0.13%:  SOME HORSE BREED
0.13%:  MY OWN REASON
0.13%:  FOR A CERTAIN ANIMAL
0.13%:  SOME REASON OF
0.13%:  OTHER REASONS OF MY OWN CRE
0.13%:  FOR SECRET REASONS I DON
0.13%:  FOR A CHESS DATE
0.13%:  FOR SECRET CHE
0.13%:  FOR HORSES TO
0.13%:  CERTAIN "
0.85%:  CERTAIN "REASONS
0.13%:  FOR SOME REASON WHY
0.13%:  OTHER REASONS OF MY OWN DISC
0.13%:  A H
0.13%:  DREAM
0.13%:  DREAM HORSE
0.13%: FOR SOME REASON I
0.13%: FOR SOME REASON I NEED
0.13%: FOR SOME REASON I CAN
0.13%:  MY NEW CHESS BOARD
0.13%:  NON HORSE RELATED REASONS OF MY
0.13%:  FOR THE REASON
0.13%:  A SECRET HORSE CONF
0.13%:  A NICE HORSE FRIEND
0.13%:  FOR A SECRET MANLY
0.12%:  HORSEY TIME
0.12%:  FOR MY CLASS
0.12%:  A CERTAIN CH
0.12%:  FOR A BIT
0.12%:  SOME SECRET REASONS I WON
0.12%:  MY HORSE FRIEND "
0.12%:  SCIENCE REASON
0.12%:  CHESS TOR
0.12%:  NON HORSE RELATED REASONS SOME
0.12%:  FOR ESS
0.19%:  FOR ESSENCE
0.30%:  FOR ESSENCE REASONS
0.12%:  A HORSE NAMED TRO
0.12%:  ROB
0.19%:  ROBOTIC
1.33%:  ROBOTIC REASONS
0.73%:  ROBOTIC HORSE
0.61%:  ROBOTIC HORSE REASONS
0.12%:  ANOTHER AWESOME
0.12%:  REASONS I CANNOT DESCRIBE OR
0.16%:  REASONS I CANNOT DESCRIBE OR ELSE
0.12%:  FOR THE SAME
0.57%:  FOR THE SAME REASONS
0.38%:  FOR THE SAME REASON I
0.13%:  FOR THE SAME REASON I CAN
0.12%:  FOR A NICE
0.20%:  FOR A NICE RIDE
0.17%:  FOR A NICE HORSE
0.12%:  REASONS I CAN ONLY DESCRIBE AS "HOM
0.12%:  A HORSE AND A REASON
0.12%:  FOR A REL
0.12%:  A HORSE DATE
0.12%:  FOR RELATED
0.12%:  SOME SORT OF REASONS
0.12%:  FOR IDEAS
0.12%:  REASONS SCIENCE
0.12%:  FOR AN ENTIRE
0.12%:  A FEW SECRET
1.82%:  A FEW SECRET REASONS
0.16%:  A FEW SECRET HORSE
0.12%:  A CERTAIN HORSE NAMED BO
0.12%:  RHY
2.26%:  RHYME REASONS
0.12%:  MORE REASONS THAN I CAN EAS
0.45%:  MORE REASONS THAN I CAN EASILY DESCR
0.12%:  OTHER REASONS AND ALSO SOME
0.12%:  A CHE
0.12%:  ANOTHER RID
0.12%:  REASONS AND
0.12%:  CHESS FRIEND
0.12%:  FOR A SECRET HAND
0.12%:  FOR A SECRET SECOND
0.12%:  ANOTHER IDEA
0.12%:  REASONS ALREADY
0.12%:  ONE LAST HORSE
0.28%:  ONE LAST HORSE RACE
0.12%:  HORSES NEED ME NOW
0.12%:  REASONS I CAN ONLY DESCRIBE AS "HEART
0.12%:  A R
0.12%:  SOMEONE HORSE
0.12%:  MY COACH
0.12%:  FOR HORSE REASONS AND
0.18%:  FOR HORSE REASONS AND ALSO
0.12%:  CONF
0.14%:  CONFIRM
0.12%:  HORSES TO RACE
0.12%:  ANOTHER CASE
0.15%:  ANOTHER CASE OF BEER
0.12%:  NO REASON WHY
0.12%:  MY HORSE RACE
0.12%:  A MATCH OF
0.12%:  HORSES NEED TO LEARN
0.12%:  TRAIN
0.12%:  SCIENCE RELATED
0.12%:  FOR A HORSE NAMED S
0.12%:  FOR MY HORSE I
0.12%:  RACIAL SENS
0.12%:  STABLE REASONS OF MY
0.12%:  CHESS REASONS LATER
0.12%:  RACIST HORSE
1.01%:  RACIST HORSE REASONS
0.12%:  CHESS REASONS OF MINE
0.12%:  ANOTHER FORM
0.12%:  MY HORSES AND
0.12%:  FOR OTHER REASONS AND
0.24%:  FOR OTHER REASONS AND ALSO
0.12%:  I CAN ONLY DESCRIBE AS A "HOR
0.12%:  HORSE SW
0.12%:  A FRIEND WHO
0.12%:  ONE FINAL
0.12%:  A "LESSON
0.12%:  HORSE WORLD
0.12%:  FOR A "
0.12%:  REASONS I CAN ONLY DESCRIBE AS "E
0.12%:  MY HORSES TO
0.12%:  FOR A DANCE CLASS
0.12%:  FOR MY HORSE NEEDS TO BE
0.12%:  HORSES OF A CERTAIN
0.12%:  TR
0.12%:  FOR A SOCIAL REASON
0.12%:  FOR MY CHEST
0.12%:  SELF
0.12%:  CHESS REASONS NOW
0.12%:  HORSE DOCTOR
0.12%:  FOR ONE LAST RACE
0.12%:  THE SAME REASON I DON
0.12%:  FOR HORSE COM
0.12%:  SOME REASON WE DON
0.12%:  A HORSE RACE OF IDEAS
0.12%:  FOR MY NEW BOARD
0.12%:  FOR SOME STABLE REASONS I NEED
0.12%:  FOR BOARD
0.12%:  "ST
12.73%:  "STABLE REASONS
0.37%:  "STABLE" REASON
0.34%:  "STABLE REASON
0.29%:  "STABLE REASONS" HA
0.22%:  "STABLE HORSE
0.66%:  "STABLE HORSE REASONS
0.21%:  "STABLE" HORSE
0.66%:  "STABLE" HORSE REASONS
0.12%:  AN IN
0.12%:  FOR A HORSE AND I
0.12%:  MANY REASON
0.12%:  FOR A MAN
0.11%:  SECRETS AND
0.11%:  A SECRET RACE
0.11%:  FOR CHESS BOARD
0.22%:  FOR CHESS BOARD REASONS
0.11%:  OTHER REASONS AND ALSO REASON
0.11%:  STABLE RES
0.11%:  REASONS I CAN ONLY DESCRIBE AS A "
0.11%:  A FEW CH
0.11%:  ONLINE
0.50%:  ONLINE CHESS REASONS
0.11%:  TO RIDE
0.11%:  A HORSE TRAIN
0.11%:  MY HORSE NEEDS A
0.11%:  M
0.11%:  STABLE REASONS FOR
0.11%:  A SECRET HAND
0.11%:  OTHER REASONS AND REASONS OF
0.11%:  STABLE RACE
0.67%:  STABLE RACE REASONS
0.24%:  STABLE RACE HORSE
0.85%:  STABLE RACE HORSE REASONS
0.11%:  AN HORSE AND
0.11%:  I CAN ONLY ASS
0.11%:  "HORSE REASON
0.11%:  FOR HORSE SEC
0.11%:  BREATH
0.11%:  MY HORSE "
0.11%:  FOR SOME R
0.11%: HORSE SCIENCE
0.11%:  A HORSE FOR
0.11%:  TWO CH
0.11%:  FOR A MEET
0.11%:  NOT
0.27%:  NOT HORSE
3.97%:  NOT HORSE REASONS
0.12%:  NOT REASONS
0.11%:  A HORSE TRADE
0.11%:  MY OWN HORSE TO
0.11%:  FOR A SECRET DANCE
0.11%:  AN AWARD
0.11%:  "A
0.30%:  "A HORSE
0.15%:  "A HORSE OF
0.11%:  HORSES ARE NOW
0.11%:  HORSE REASONS I CAN
0.11%:  HORSE NAMES
0.11%: SCIENCE
0.11%:  NON HORSE RELATED REASONS YES
0.11%:  STABLE REASONS HORSE
0.11%:  FOR THE SAME REASONS AS
0.11%:  SOME HORSEY RELATED
0.11%:  WHAT WAS
0.11%:  SOME FRIEND
0.11%:  BASIC
0.20%:  BASIC HORSE
0.13%:  BASIC REASONS
0.11%:  OTHER REASONS I ALREADY M
0.11%:  FOR A RACE BETWEEN
0.11%:  FOR MY RIDE
0.11%:  FOR CHESS REASONS I CAN
0.11%:  A CERTAIN HORSE OF
0.11%: A
0.33%: A HORSE
0.14%: A HORSE RACE
0.13%: A SECRET
0.53%: A SECRET REASON
0.17%: A SECRET HORSE
0.11%: A REASON
0.11%:  FOR BRE
0.11%:  SOME REASON I CAN HARDLY WAIT
0.11%:  FOR HORSE COMICS REASONS
0.11%:  MY CHESS CAREER
0.11%:  AN INC
0.11%:  MORE REASONS THAN ARE
0.11%:  FOR A HORSE NAMES
0.11%:  SECRET BOARD
0.11%:  SECRET AND
0.11%:  ANIMAL FRIEND
0.11%:  SOME HORSE RELATED REASONS NOW
0.11%:  TIME
0.35%:  TIME SENS
0.34%:  TIME REASONS
0.11%:  HORSES AND TO
0.11%:  FOR A HORSE NAMED SCIENCE
0.11%:  MY FRIEND WHO
0.11%:  A BATH
0.11%:  SOME WH
0.11%:  ANIMAL FRIENDS
0.11%:  FOR A HORSE NAMED BON
0.11%:  A SECRET AND REASON
0.11%:  MIN
0.11%:  SOME BRE
0.11%:  C
0.11%:  FOR A SECRET SHADOW
0.11%:  ART
0.12%:  ART REASONS
0.11%:  THREE
0.36%:  THREE REASONS
0.11%:  SOME REASON I NEED TO BR
0.11%:  MORE REASONS THAN I CAN EASILY REC
0.11%:  STABLE SEC
0.11%:  MY OWN SECRET HORSE REASONS
0.11%:  SAND
0.11%:  RACISM
0.69%:  RACISM REASONS
0.11%:  AN AWESOME CH
0.11%:  REASONS TO
0.13%:  REASONS TO DO
0.11%:  CHESS TODAY
0.11%:  REASONS I CANNOT CLEAR
0.11%:  SOME "HORSE RELATED
0.44%:  SOME "HORSE RELATED REASONS
0.11%:  FAMILY HORSE
0.11%:  SOME REASON A
0.11%:  CHESS RELATED REASONS I WON
0.11%:  FOR CHEERS
0.11%:  A FEW HORSE RELATED
0.11%:  FOR REASONS I CAN ONLY
0.60%:  FOR REASONS I CAN ONLY DESCR
